0.104273+0.0869115j -0.0667891-0.051206j 0.0276+0.105612j -0.00647162-0.0934366j -0.0243645-0.0350453j -0.0156328-0.0312964j 0.0023029+0.0607061j -0.0262693+0.0646772j -0.0204336-0.0104279j -0.00736362-0.0169429j -0.0101897+0.00615365j -0.00685501-0.0174172j 0.0179388+0.0209006j 0.0196271+0.0453695j 0.013432+0.00655906j 0.0145116+0.00520054j -0.0175817-0.00355587j -0.00555114-0.0323238j -0.00345477-0.0287288j -0.0155017-0.00614881j 0.0215795-0.0155088j -0.034437-0.00389235j -0.0163298+0.00924537j 0.00243935+0.0155485j -5.7243e-05-0.00435264j 0.0100368+0.00775905j -0.000810308+0.0220528j 0.0224861+0.00271443j 0.0172217-0.00855546j 0.00675805-0.0152018j -0.0140173-0.0275044j 0.000647951+0.0155051j 0.0191811+0.00280929j 0.000199802+0.022288j -0.0134178+0.0461423j -0.0142163+0.00381336j 0.0107291+0.00653824j -0.00643775+0.00676626j 0.0208853-0.0389571j -0.0255422+0.0246614j -0.0126642-0.0108743j -0.00381833+0.0423926j -0.00108264+0.00463225j 0.0204609+0.0178953j 0.0130488+0.00581166j 0.000835815-0.000783552j -0.00297779+0.0265697j 0.0289302+0.000707466j 0.0187568+0.0335166j -0.0166312-0.00226502j 0.00184209-0.0128558j 0.0030705+0.0104632j -0.0168405-0.00132013j 0.00867741-0.0148349j -0.0397929-0.0078008j 0.0455539-0.0271503j 0.0114459-0.0104155j 0.0116623+0.0128414j 0.0278854+0.00972565j 0.0291494+0.00607687j 0.0306947+0.0354272j 0.00864348+0.0664784j -0.0295808-0.0166307j 0.0136122-0.0392596j 0.0589057-0.00236097j -0.013708+0.114797j -0.0463412+0.0405921j 0.0952749+0.0547535j -0.405057-0.17057j -0.0614655+0.317604j 0.0131064-0.0784113j -0.168833+0.128696j 
0.00971356-0.0193239j -0.0071492-0.0285489j -0.0518385+0.0750115j 0.0211178-0.0705113j -0.0462383+0.00441426j -0.0752006+0.0493998j -0.0220659+0.0523911j 0.0588422+0.0269957j -0.0410175-0.00641838j 0.0844582+0.0151566j -0.00127953-0.0319274j -0.0270673+0.00702181j 0.0308864+0.00977114j -0.0180851-0.0132555j -0.0399559-0.0253054j -0.0380227-0.00753462j 0.00381992-0.0319155j 0.0385671+0.026491j -0.042004+0.00926073j -0.0321349-0.0167498j -0.0420575-0.00789902j -0.0514974+0.0439437j 0.0183128+0.0405953j 0.00412614+0.0284527j -0.00684199+0.0277185j 0.010005+0.0521813j -0.0192332+0.014694j 0.0162739-0.0321881j 0.0047026-0.0241678j 0.0239315+0.0392705j -0.0798272-0.00439553j 0.0522343-0.0214797j -0.0155595+0.0234049j 0.0122445+0.046469j -0.0275674-0.0347935j 0.0234476+0.0193566j 0.0547732-0.0280869j 0.0657184-0.0824423j 0.0175944-0.0103043j 0.0658589-0.0270206j 0.067964-0.0694756j -0.0517319+0.0306448j 0.0161969+0.0222611j -0.0156189-0.00132532j 0.00804089-0.00635791j 0.0913316-0.113026j -0.0429841-0.0280556j -0.0036136-0.0233309j 0.093226+0.0161323j -0.0595316-0.0219346j -0.00961719-0.00662006j -0.0350418-0.0449277j -0.0431803-0.0212209j -0.144208+0.0619497j 0.0149773-0.0480254j 0.0816878+0.0554006j 0.0109581-0.163513j -0.105756-0.00986013j -0.141962-0.00451836j -0.139595+0.00513937j -0.0678725-0.0467982j 0.10288-0.00821771j -0.0108031+0.0168718j 0.0371327+0.0124963j -0.0427011-0.00783888j 0.0869218-0.00134839j -0.0239812-0.097889j 0.0826433+0.0142661j 0.210359+0.0460575j -0.00939787+0.127495j 0.1638+0.0405363j 0.0425962-0.165466j 
-0.0398482-0.0208709j -0.0237825+0.0314621j -0.0641181+0.0143719j 0.0761649+0.029852j -0.0230978-0.0533957j -0.0295391+0.0142363j -0.0424752-0.0449278j 0.00231385+0.0279472j 0.0461454+0.0351194j -0.00133101+0.00385885j -0.0140744-0.00112239j -0.0419483-0.0381885j -0.00498872-0.0545492j 0.0606932+0.0113602j -0.0470647+0.0510928j -0.0264822+0.0506349j 0.00496231-0.0163402j -0.0223656-0.0159973j -0.0365138+0.0207985j -0.00922083-0.00185474j 0.025679-0.010309j -0.0245175+0.0633853j 0.000683739+0.0306544j 0.00893441+0.0891735j -0.0469479-0.0365129j 0.0316454-0.0422645j -0.0212649+0.0312245j -0.0278333-0.128308j -0.0172646+0.000119513j -0.0875748+0.0247368j 0.0171008+0.0298699j 0.0271693-0.00777075j -0.0079336+0.00124225j 0.0607998+0.0286991j -0.00719565+0.0198661j 0.0243801+0.0121129j 0.0970385-0.00805584j 0.0938961+0.0379976j -0.081389-0.059876j 0.0577271+0.0798201j -0.0891528-0.00164446j 0.0773833-0.00770221j 0.10356+0.0845057j 0.0166671-0.0747414j 0.0156825-0.0166474j -0.197988-0.0436603j 0.0504726+0.0568551j 0.12625+0.0386967j 0.00187244-0.0921077j -0.0371393+0.0818842j -0.139777+0.102504j -0.0827929-0.0831113j -0.11291+0.0650354j 0.0581962-0.000994914j -0.0711444-0.0272293j 0.139407-0.0811766j -0.000894692-0.130057j 0.0372994+0.0394909j -0.105068-0.028574j 0.0441295+0.023537j 0.0105047-0.0304979j -0.0502629-0.0677123j -0.0216296+0.0223865j 0.0940533+0.0967055j 0.0405514+0.0768684j 0.0120274+0.00670846j -0.0433415-0.0380695j 0.064621-0.112747j -0.0832322+0.020501j -0.00765678-0.0680219j 0.158885+0.0411984j 0.0317092-0.0380641j 
0.0250593-0.0232491j -0.043746+0.0388793j 0.0274089+0.00166808j -0.014857+0.015564j 0.0100975-0.0341822j -0.00331785-0.0345279j 0.0260984-0.0446725j -0.0483362+0.0562522j -0.0264403-0.0128323j 0.0010034+0.0893512j 0.00314633+0.0626894j 0.0187001-0.0169097j 0.0738134+0.0248971j 0.0343749+0.0251408j 0.032316-0.0539417j -0.0398765-0.0522162j -0.0307964-0.0716635j 0.041589+0.0268806j 0.0325574-0.00324134j 0.00516954+0.0282895j 0.0376646-0.0135615j -0.0204395+0.0074318j -0.042974+0.0788993j 0.00644914-0.0411166j 0.00762482-0.0444646j -0.0443446+0.0191417j -0.00473133-0.0471914j 0.03975+0.0170557j 0.00659002+0.00373562j 0.0554336-0.0946494j -0.0157027-0.0160012j 0.0127866+0.0270133j 0.0283688-0.055156j -0.0511411+0.0318424j -0.0363695-0.0381067j -0.0300985-0.0214957j -0.0194918+0.0201423j -0.0372529+0.0699363j 0.0533649-0.0255217j -0.03023-0.0589711j 0.0449511+0.0180462j -0.000894846-0.0523165j -0.0383974-0.0175066j 0.0116344+0.128771j 0.0541243-0.0673314j -0.130229-0.205015j -0.166199-0.137607j -0.0489083-0.0308652j 0.0360645-0.00667397j -0.0592047-0.0768445j -0.0963868-0.176181j 0.0468374+0.0782638j -0.0636681-0.104472j 0.155505-0.0485055j 0.129016+0.0741296j 0.0719148-0.121281j -0.0283939-0.0105285j 0.116695-0.0683286j -0.030759-0.114096j -0.122909-0.149731j -0.0215471+0.0611369j -0.0418848-0.0777053j -0.0242487-0.0399737j -0.0961693+0.0342401j -0.0241451-0.0733321j -0.0345516+0.00341528j -0.023189+0.0752345j -0.0573339-0.0143616j -0.0473173+0.0687926j -0.0921558-0.0893515j 0.00777105-0.0760349j -0.19426+0.0159131j 
-0.00565829-0.0636869j -0.0055059-4.00235e-05j -0.0127283+0.0404296j -0.00818933-0.0429675j 0.0337757+0.00722751j 0.0157695-0.0196906j -0.0470592+0.0470101j 5.12751e-06-0.0575658j 0.0348238-0.0472041j -0.0642151+0.0285185j 0.0250651-0.00684298j -0.0256593+0.0517703j -0.00738003-0.0122005j 0.0137058-0.0492844j 0.000219862+0.054933j -0.00514695+0.0364391j 0.0154714+0.0668836j -0.0448954-0.027826j 0.0451845-0.113216j -0.00779893+0.0286448j 0.0325804+0.0282231j 0.0125142-0.00251631j -0.0139056-0.0588421j 0.0191168+0.000758634j -0.00831959+0.0464066j 0.0224163-0.0431244j -0.023765-0.0569996j -0.0275977+0.00442999j -0.0225594+0.0039598j -0.0843321-0.0700546j 0.0538542+0.0748351j -0.0177109+0.0364049j 0.0433532+0.0071174j 0.020968+0.0414888j -0.0336216+0.0419178j 0.00479691-0.118134j 0.0178289+0.0390689j -0.00530959-0.000390323j 0.0512667+0.0673824j 0.00672768-0.0261733j -0.00269949+0.135073j -0.0796336+0.0239072j -0.0266141-0.0527487j -0.0236379-0.031421j -0.0160003+0.1097j 0.0934541+0.0763726j -0.0422273-0.072164j 0.000238387-0.0962965j -0.00166887+0.105773j -0.0165844-0.0860149j -0.0775815-0.0225213j 0.00301006-0.0516389j 0.062415+0.000128383j 0.130793-0.110984j -0.0553992+0.072473j -0.0343557+0.118613j -0.0381633+0.14187j -0.115791-0.012485j 0.0775144+0.155694j 0.0919841+0.017122j -0.0550654+0.0976185j 0.0100566-0.0260618j 0.1082-0.0353003j -0.0306706+0.0424477j -0.0776682-0.0332045j -0.0649345-0.0508764j -0.04554-0.0339485j -0.0550905-0.0111162j 0.020498+0.19893j -0.146543-0.0290975j -0.107074+0.0815536j 0.046702+0.0633326j 
-0.00592872-0.00870064j -0.00115511-0.00672712j 0.00634844+0.0964481j -0.0285411+0.0411931j -0.0104305+0.016677j -0.0422078+0.0301479j -0.0562267+0.00197572j 0.0564244-0.0154779j -0.0107682+0.0237339j 0.0185729-0.00235599j 0.0261487+0.0202244j 0.0275369-0.0169091j 0.0264084-0.0148939j -0.00630124+0.0407389j 0.018554-0.00111141j 0.00980138+0.0162202j 0.0252114-0.0418918j 0.020849+0.0108136j 0.0140992-0.0250761j -0.0674574-0.0319943j -0.0509361+0.0138363j 0.041531+0.0282521j 0.0607338+0.0375283j -0.0333058+0.000369284j 0.0384342+0.0105413j 0.0477778+0.0629771j 0.0381017+0.00274762j 0.0619632-0.0243023j -0.0576552-0.0151199j 0.0192529-0.0243636j -0.0996263+0.0570866j 0.0503925+0.0261538j -0.00550219-0.0364831j -0.00660119-0.00489365j -0.118382-0.0338479j 0.0457807+0.0055106j -0.0283814-0.0376134j -0.0608995-0.04518j 0.000211588+0.0300025j 0.0855923+0.0371956j -0.0765427-0.0749842j -0.0857287+0.0406627j -0.0422151+0.0469665j 0.0938219+0.0238085j 0.0310211-0.0519146j 0.0983996+0.0201326j -0.0460529+0.104573j -0.131627+0.0462752j -0.0331524-0.0816401j 0.0443503-0.00806401j -0.00555483+0.0391744j 0.0317937+0.0205048j 0.0278241-0.0467743j -0.0242161+0.068915j -0.0519621-0.075172j 0.00397632+0.0879782j -0.0191529+0.00125833j -0.0363617+0.0185493j -0.0205097+0.077114j -0.09962+0.0549828j -0.0961946+0.00147171j 0.0227839-0.0940628j 0.00738207+0.00185745j -0.016301+0.0655559j -0.108945-0.18046j -0.0429966-0.0736041j 0.0620487+0.0990648j -0.217575-0.064369j 0.0546365+0.0118492j -0.118452+0.033795j 0.019236+0.0263789j 0.0436182-0.0349992j 
-0.0198725+0.0389356j 0.0212991-0.00711366j 0.036842-0.0200486j 0.00762529+0.022646j 0.0452455+0.0271419j -0.0158723+0.0196409j -0.0340565-0.0471783j -0.0132561-0.0106856j -0.0178871+0.0160728j -0.0571236-0.0307182j 0.0208347+0.0263226j -0.0247131-0.0495765j 0.00723038-0.0237619j 0.044474-0.00658773j 0.0747059+0.0281781j 0.039458-0.0520093j -0.045904+0.0413072j 0.00179575-0.0420191j 0.0344297-0.0850653j -0.014314-0.0588267j 0.0522589-0.0406068j 0.0555163+0.0420502j -0.0530127-0.0555311j 0.0137518-0.0249982j -0.0355716+0.0425553j 0.00915344+0.0383667j 0.00658706-0.0758228j -0.0275422+0.0114081j 0.0222552-0.062185j -0.0521717-0.0604878j 0.0363774+0.0604978j 0.120385+0.0328657j -0.0681036-0.000683754j 0.0382662+0.0430541j 0.0573898-0.0480425j -0.0114907-0.0438812j 0.0101316+0.0119318j -0.0968423+0.0706453j 0.113179-0.0438111j 0.0772097+0.0197869j -0.0149311+0.179878j -0.00764403-0.0438014j 0.0897784-0.101216j 0.0636063+0.0494384j 0.137853-0.0251382j 0.0143147-0.09101j -0.048168+0.0712368j 0.00451362+0.0556019j -0.144796-0.0458936j -0.0238517+0.0872382j -0.00800647+0.040104j 0.0140381+0.112182j -0.0187908-0.00847523j 0.0353388-0.0175482j -0.0210503-0.0432771j 0.107855-0.0788626j -0.0279029-0.00435691j 0.0369824-0.00435361j -0.0242904-0.00926312j -0.0988924+0.0512838j -0.03006-0.0954405j 0.0679482+0.00371444j 0.0476018-0.0188557j -0.0845898+0.0240915j -0.00668363-0.00335819j -0.0180815+0.0892513j -0.0355388-0.0428781j 0.0207286-0.0399521j 0.0296571-0.0938925j 0.0461477+0.102001j -0.0293922-0.015268j 0.0206703-0.0154314j 
0.00867959-0.0126885j 0.0179369-0.0487806j -0.00233498+0.0293176j -0.000771393-0.0125349j 0.0157878-0.0124503j 0.0599853+0.0400393j -0.0544769+0.00671501j -0.0079946-0.0199386j -0.0421925-0.0244974j 0.0188723-0.0202276j -0.0294204+0.00913099j 0.0126249+0.00645707j 0.0436127+0.0234563j 0.0311254+0.00574225j -0.0296766+0.021177j 0.0131151+0.0393946j 0.0243253+0.00546723j -0.0608625-0.0304985j -0.0280129-0.0134273j -0.0743936-0.0365175j -0.0612521+0.0629604j 0.00168026+0.0362348j 0.0451791-0.0191234j -0.112195-0.0223951j 0.032515+0.0420533j 0.0122544+0.023954j -2.13486e-05-0.045707j 0.031926-0.0686394j 0.00183375-0.0230728j 0.119905+0.0071789j -0.0793837-0.0120548j 0.0179045-0.013975j -0.0154523+0.0660627j 0.039311-0.0213996j 0.0512919+0.0382718j -0.0493713-0.0490301j 0.0746082+0.112618j 0.0803112-0.0170707j 0.0521675+0.0559468j -0.0102638-0.0175005j 0.0773279+0.165198j 0.0525279+0.052961j -0.172673-0.239434j 0.0904071-0.0706942j -0.0394437-0.0884016j -0.19235-0.144115j -0.00741722-0.0652475j 0.0302531-0.0727351j 0.0226944+0.0021538j -0.0157315-0.0210696j -0.0267166+0.0107057j 0.00936668-0.0122721j -0.0221346+0.0515725j -0.033932+0.0242363j -0.0607602+0.00379893j 0.0035288-0.0570931j 0.0376927-0.00800158j 0.0473047+0.0577708j -0.134058-0.0162486j 0.0242635+0.0151227j -0.0774357+0.0617868j -0.0805906-0.0025813j -0.00200295-0.0571913j -0.0173701-0.00440996j -0.00100212-0.0456161j 0.0664719-0.0926062j 0.0444795+0.0381561j -0.136866+0.0676149j 0.0531696+0.100843j -0.0696618+0.0413918j -0.0109908+0.0341811j -0.000723063-0.0404056j 
0.0248955+0.0288767j 0.0389841-0.00192141j -0.0243048+0.0344423j -0.0293376+0.022596j -0.0211694-0.0110893j 0.0148755+0.00259664j 0.0180165+0.0187454j 0.00441582+0.0186137j -0.12488-0.00192552j -0.0290173+0.000710235j -0.0320459+0.0469994j 0.0195012-0.000391627j 0.0400809+0.0268935j -0.0342023-0.0538814j -0.0159308-0.0244157j 0.0502837-0.000456985j -0.0547904+0.0254125j -0.0506919+0.0208521j 0.0542371+0.00385905j -0.00789592-0.00496013j -0.0745863-0.027248j -0.0402614-0.0523685j -0.0710101+0.015762j 0.0143453+0.0661492j 0.0269373-0.0117859j 0.0672558+0.00703695j 0.00368161+0.00805333j -0.000795631+0.0433924j -0.00299261+0.0481455j -0.0157955+0.0520113j 0.0869658-0.0338987j -0.0339819-0.00112404j 0.0146144+0.0214354j 0.105811-0.0493113j 0.0748152-0.0293055j -0.0113859+0.0390968j 0.0156726+0.017289j 0.00193899+0.00376456j 0.0755059-0.0223839j 0.0298983+0.00508479j 0.0903587+0.0812225j 0.0630899-0.111436j 0.0234996-0.169949j -0.000275636-0.0194708j 0.163282-0.015772j -0.00916995-0.0563775j -0.0543883-0.0637022j -0.0189395-0.0243149j -0.0377495+0.0585913j -0.00903785+0.0555578j -0.0416563-0.0175149j -0.00721732+0.0422439j 0.00532316+0.133931j 0.0159163-0.0762999j 0.0425914+0.0936225j -0.0101239-0.0485167j -0.0068535-0.0595813j -0.0631616+0.0147182j 0.040113-0.0358823j 0.138857+0.00378388j 0.0263572+0.0217845j 0.0443138+0.00992417j 0.00722311-0.00653316j 0.00458463+0.123143j 0.0104948+0.00466362j -0.172784+0.0199157j -0.0526019-0.101023j 0.0544923-0.142815j -0.0522823-0.0446254j 0.017364-0.0178007j -0.0456872-0.00569864j -0.00824234+0.00201157j 
-0.00116533+0.00901487j -0.00427509-0.0161221j 0.00767833+0.0125339j -0.00559234-0.0109419j 0.0230138-0.036124j -0.00763514-0.00116484j -0.0184946+0.0218372j 0.0187103+0.0347821j 0.015321-0.0299846j 0.0145604+0.0200238j 0.00843087-0.00837633j -0.0267538-0.0772474j -0.0218823-0.0134673j 0.00752414-0.0327763j -0.0152083+0.0253938j -0.0312775-0.0162934j 0.0534202-0.0338715j 0.00133513+0.0161563j 0.073823+0.0826376j -0.0416708+0.017031j -0.0301616+0.0166625j -0.0184565+0.0360977j -0.0183081-0.0509375j -0.0155928+0.0820653j -0.0190887-0.0022918j -0.00302814+0.0758464j -0.00480508+0.00360832j -0.0204452-0.0192943j 0.0998746+0.00155513j 0.0559677-0.0438953j -0.0312971-0.104688j -0.014937+0.0929888j 0.0396726+0.0159065j 0.00020494-0.0335074j 0.0525234-0.000626784j -0.0266775+0.120943j 0.0942024+0.0452077j 0.0426699-0.0309594j 0.0753492+0.0944725j -0.0952941+0.0501067j -0.0178232-0.0639383j 0.065568-0.0312606j 0.0773471+0.0369842j -0.0211536-0.0476519j 0.0532844+0.0529555j 0.0915062+0.0842594j 0.0872919-0.063961j 0.00112943+0.0669326j 0.0991583-0.044144j -0.0710251-0.0588438j 0.0678625-0.00408773j -0.0173947-0.04828j 0.017016-0.041522j -0.0937252+0.0232808j -0.00855319-0.0207527j -0.000477954+0.0460277j 0.0805357-0.0206636j -0.0225752-0.000652193j -0.0424928-0.0528011j -0.0336067-0.0649058j 0.102174+0.085505j -0.0863412+0.0522925j -0.000308258-0.0622443j 0.0313253+0.0135401j 0.0670554+0.00300838j -0.0901424-0.151423j 0.191996-0.0858274j -0.0397162+0.0562473j -0.0444468+0.0299016j 0.0292452-0.0393399j 0.000337927-0.0257453j -0.0157161-0.00279669j 
0.0121462-0.0278363j -0.00875156-0.00564623j 0.0196282-0.0584611j -0.0240799-0.0311511j 0.0613404-0.0200057j 0.0470446-0.0190534j 0.0489433-0.0241036j -0.0399751-0.0183997j -0.0318625-0.0361212j -0.0102366+0.0376287j 0.00947785+0.0161217j -0.0536979+0.0623701j 0.0440448+0.0127163j 0.0254142-0.0120735j -0.0282902-0.0376952j -0.0919046-0.00921392j 0.0239829-0.0142648j 0.000482327-0.00820373j -0.0027798+0.0282299j 0.0272754+0.0023971j 0.014348+0.00737035j 0.0970994+0.0160419j -0.0694024-0.0406743j -0.0927675-0.0473179j 0.00245272+0.0580814j -0.0671927-0.0397764j -0.0424057+0.0249093j -0.000626456+0.0614532j -0.0936001-0.0563529j -0.0276715+0.0313658j -0.0201633+0.0010531j 0.0549806+0.014347j -0.0150685-0.0208085j -0.0797669-0.127304j 0.0397527+2.00897e-05j 0.00864116-0.000302528j 0.0171711+0.00500877j 0.00372684+0.084589j 0.0542535-0.0986073j -0.00975261+0.0753718j 0.038657+0.0277917j 0.00541411-0.0116914j -0.0696896-0.0538417j -0.0481401-0.0314182j -0.0705528-0.0910803j 0.074288+0.0527315j 0.0568956-0.0134348j 0.0736674-0.0517273j -0.0342217-0.0747065j -0.0193578+0.0652381j 0.00536993+0.0257049j 0.026863+0.0297458j 0.0102864-0.105452j -0.0153839+0.0295939j -0.141707-0.0525765j 0.0405937-0.0672525j 0.0835019+0.0850825j -0.000342835+0.0163307j 0.150068+0.058347j -0.093347+0.0383078j -0.00329088-0.0935152j 0.000236278-0.00623969j -0.0683229-0.0678299j -0.0758812-0.045827j 0.0405343-0.0510752j -0.0362516+0.0668237j -0.099198+0.00989035j 0.0318418-0.0715487j 0.0488026+0.02845j 0.0175684+0.0881025j -0.0142223+0.0228143j -0.050839+0.0403044j 
0.0197687-0.0168094j -0.0276333-0.00691754j 0.0139764+0.0282816j -0.0267912-0.0110183j 0.00922377+0.0376168j -0.056348-0.000115035j 0.0246557+0.0160472j -0.0141074-0.0330367j 0.0145224+0.0131098j 0.0560097-0.0682765j 0.0703832-0.0150672j -0.0126844+0.00988382j -0.0196734-0.0214503j -0.0503297-0.0129322j -0.00216451+0.0376554j -0.0683548-0.0165276j 0.07108-0.0114569j 0.0269614+0.0127367j -0.0322757-0.0353633j 0.000417459-0.0106181j 0.000558222+0.0122205j 0.0439268+0.01152j -0.0479707+0.0339537j 0.0260832-0.00393117j 0.0147273-0.0643744j -0.0123071+0.027491j 0.0567035-0.0606417j -0.00962666+0.0848153j 0.000320505+0.0721894j 0.132997+0.000830505j -0.00708543-0.0333473j -0.0388031+0.0124874j 0.00691395-0.0106178j -0.0659553-0.0635834j 0.0966841-0.033561j 0.0602937+0.00290123j 0.0165713+0.0642599j 0.0865587+0.0153009j 0.0620572-0.0799415j -0.0593802-0.000548185j -0.0292947-0.0538156j 0.0970706-0.036491j -0.178162-0.0826047j -0.0196802+0.0186607j -0.0756275-0.0991282j -0.201699-0.117788j 0.0140423-0.0979123j 0.0983014+0.0221041j -0.0439284-0.102041j 0.0393718+0.0410932j 0.0638226-0.0770495j -0.00413043-0.0217944j 0.00255667+0.00484923j 0.0315102+0.0600187j 0.0180093+0.0522479j -0.0673764+0.0860065j 0.00676524-0.0522482j 0.0302555+0.0878094j -0.0639846-0.0028903j 0.078579-0.00136395j 0.0655236+0.038335j 0.0638874+0.0549572j -0.0850989-0.0783199j -0.0118654+0.0330505j 0.0875712-0.0939924j -0.144979-0.0388397j -0.0201723-0.0635739j 0.0536352-0.0856842j 0.0527161-0.0166675j -0.0302982+0.0219881j -0.00889205+0.0388816j 0.0202376+0.0179908j 
0.00901078-0.0202637j -0.0329937-0.0113016j 0.03692-0.0469536j -0.00071986-0.0511842j 0.0475765-0.00216518j 0.0227161-0.006549j 0.0151606-0.0726674j -0.0232121+0.0381179j -0.00069653-0.0335528j 0.0189143-0.0101529j 0.00025728+0.0717661j -0.0459739+0.0498576j 0.024533-0.016726j 0.048352-0.0181467j -0.0146433-0.0499462j -0.0262382-0.0213198j 0.0310346+0.0214174j 0.0258311+0.048166j -0.0274255+0.0139616j 0.0318532-0.106971j 0.0515729+0.0256294j -0.0341771+0.105195j -0.00328676+0.0279108j 0.0292409-0.146529j 0.029503+0.00323162j -0.0331747+0.0837941j 0.00734967-0.042949j -0.0748358-0.00228182j -0.0686672-0.108153j -0.00586405+0.0205873j 0.0202335-0.0786407j -0.023092-0.136134j -0.0126967+0.050166j 0.0355931-0.0454269j 0.0152797-0.0759461j -0.00461706+0.130852j -0.122726+0.0511915j -0.106734-0.0208874j 0.057089-0.100162j -0.0182428+0.049427j -0.0116477-0.149005j -0.0151863+0.0188373j 0.0826267+0.0334542j -0.00646234-0.0195398j 0.0568885-0.0590841j 0.20117-0.0435291j 0.0455746+0.134702j 0.0171355+0.0697422j 0.0470386-0.0344247j 0.0422458+0.142569j 0.0920838+0.000653427j 0.0441106+0.0664546j 0.0428363+0.0977258j 0.0787504+0.011314j 0.0177589-0.0866904j 0.0723813+0.0832769j -0.0372745+0.0769569j -0.146972-0.029635j -0.00914432-0.0757707j 0.0452383-0.00698374j -0.0125294+0.0357962j -0.0440312-0.0457749j 0.089299+0.00328367j 0.0323708+0.0743934j -0.0512616-0.0272882j 0.0202775+0.017337j 0.0362586+0.0149434j 0.0153904+0.0415886j 0.0690336-0.00339787j 0.0142019+0.0451878j -0.0465542+0.0238397j -0.0616529+0.0554043j 
0.0162925-0.00354636j -0.0169463+0.0380052j -0.0137555-0.0303256j 0.0107824+0.0345743j -0.00270914+0.0272696j -0.00501598+0.0532102j -0.0197278+0.00943687j -0.062932+0.0336957j -0.0365876+0.0572612j 0.056125-0.0744316j 0.0124086+0.024305j 0.0214739+0.0023477j 0.0625604+0.02223j 0.0694243-0.0441881j -0.0127982-0.0969584j 0.000761262-0.00577861j -0.00936649-0.103248j -0.0847782+0.0878383j 0.0295639+0.114735j -0.00808609-0.0160639j -0.0555016-0.0642547j 0.0446017+0.0292724j -0.054611+0.0715028j -0.126112-0.0130745j 0.0512289-0.0268313j 0.0181469+0.0243932j -0.0975576+0.0622796j 0.0612395-0.00859107j -0.0786176+0.0243004j 0.13896+0.0954924j -0.0623455-0.0644481j -0.056394-0.0343502j 0.0492873-0.0388326j 0.0893261-0.107097j -0.108276-0.0234273j 0.0211332+0.129095j -0.0887232+0.0266116j -0.0179205+0.0158244j -0.03837-0.0298445j 0.102546+0.149368j -0.0936415-0.140343j -0.0298062-0.0291947j 0.0375481+0.126217j 0.0558412-0.114913j 0.066376-0.0957636j 0.0298886+0.223692j -0.0374763+0.040902j -0.0605743+0.0106452j -0.0560072+0.000139176j 0.0647303-0.00361557j -0.0508129+0.0195617j 0.0308014-0.0355542j 0.0118688-0.00728464j 0.0994813-0.0862528j -0.0621776-0.0021919j -0.0128658-0.110005j 0.0402022-0.00468684j -0.0390109+0.00577503j 0.0265413-0.0828298j -0.0361978-0.0205739j -0.0931379-0.0221876j -0.0836044+0.0629798j 0.0558187-0.0447625j -0.0520542-0.00160859j 0.0426371-0.0064966j -0.0761733+0.0472391j -0.02522-0.125019j -0.0420129+0.00943382j -0.00298873+0.0881212j -0.0606343+0.0528156j 0.0441964-0.0382005j -0.044827+0.0411275j 
0.0142168-0.0332642j -0.0221353+0.0048167j -0.0201804-0.0178803j 0.0264572+0.00443209j -0.0651528-0.0258128j -0.041655+0.00702541j 0.0273282+0.0209591j -0.0136668+0.00279942j -0.0430437+0.0137241j 0.0407293-0.0115289j 0.00296298-0.0228035j 0.0344423+0.0201012j 0.055694+0.0271635j -0.0163368+0.0351478j 0.0670379+0.027378j -0.00816792+0.018711j 0.00832175+0.0330731j -0.00575056-0.0647885j 0.0319967+0.0839369j 0.0946033+0.12123j -0.0587298+0.100031j -0.102049-0.0261324j 0.016351+0.0603204j -0.00532187+0.124567j 0.0403653-0.0608042j 0.0241013+0.0137859j 0.0953654-0.109373j -0.00241629-0.0841771j -0.070293+0.0393114j -0.0110856-0.0103863j -0.0548172+0.0247496j -0.0558685-0.0126655j -0.0378211+0.0803527j -0.0705804+0.014962j 0.0382017-0.00728109j 0.1174+0.09885j -0.0795804+0.0772906j -0.0309805-0.0297601j 0.114102+0.0263614j -0.0704683+0.13916j 0.00527685-0.0244234j 0.0252484-0.0829315j -0.0708126-0.0802522j -0.113227-0.0939511j 0.0165903+0.00596747j -0.00776899-0.0214569j -0.0487357-0.0989366j -0.0566839+0.112564j -0.0517581+0.115827j -0.0439271-0.0180869j -0.0801796+0.00155555j 0.0218231-0.0172666j 0.0142476-0.0113919j -0.0718878+0.078136j 0.0521018-0.0941745j -0.0762502+0.0489774j 0.0455027-0.0200533j -0.0197617+0.0239308j 0.102968-0.0365243j 0.000173327+0.0537155j -0.0114194+0.0128278j 0.0301812-0.068012j 0.0362191-0.0434127j -0.00379319+0.0560742j -0.0280653-0.0231147j -0.0672162+0.012144j -0.00890302-0.0435138j 0.0109148-0.0307092j 0.00490871+0.025485j 0.0559051+0.00426998j 0.0164217-0.01577j -0.0198007+0.00726281j 
