0.0069299+0.00181908j 0.00235424-0.00703531j 0.00531004-0.00482987j 0.00470555+0.00412777j 0.00399058-0.00201563j 0.000100158-0.0052777j -0.00502092-0.00248853j -0.00492379+0.00386363j 0.000192845-0.00147178j 0.00150524-0.00230523j -0.00320579-0.00336734j 0.00538855+0.000127031j -0.00391234+0.00613318j 0.00182159-0.000482017j -0.00216821-0.00114211j -0.00158539-0.00102963j -0.00139365-0.000847461j -0.000917165-0.00158225j 0.00137684+0.000650016j 0.00137984-0.0018802j -0.00414337+0.00303918j 0.00260853+0.00335502j 0.00453331-0.00112522j 7.99058e-05+0.00235173j -0.00200683-0.00060352j 0.00101525+4.43276e-05j -0.00254661+0.00226504j -0.00418816+0.00178803j -0.00013073-0.00251254j 0.000258551-0.000512405j -0.00161107+0.000866269j 0.00166062-0.00327003j -0.00253384+0.000833626j -0.00151707+0.00166276j -0.00119799+0.00181452j -0.00102053+0.00117699j -0.000213947+0.00276231j 0.00569553-0.000219273j 0.00342006-0.000437848j -0.000531043-0.00201365j 0.000917589+0.000575754j 0.00123761+0.00125275j -0.00114916-0.00270248j -0.00150187+0.00218055j 0.00167738+0.00192468j -0.00224805+0.000845071j 0.00148372-0.00190396j 0.000786294+0.00102678j -0.00190509+0.00433312j -0.00195304-0.000750332j 0.000746361+0.00124887j -0.000611841+0.00193187j -0.00254295-0.000670261j 0.00259386-0.00220623j 0.00276098-1.35057e-05j 0.00308298-0.00356701j 0.00153588-0.00072426j 0.00168968+0.00348317j 0.00446431-0.000517362j -0.00492099+0.00122134j -0.00251838+2.69749e-05j 0.00133347-0.00228376j 0.00265881-0.00426185j 0.00202506-0.00275301j 0.000594346+0.00154107j 0.00368083+0.00601772j 0.00831857+0.00250517j -0.00420448+0.00862858j 0.00272408+0.00443777j 0.000390988-0.00127076j -0.00175883-0.0163155j -0.0122015+0.0027996j -0.0151402+0.0171552j 0.0380847-0.0244539j 0.0865635+0.0124861j 0.031035+0.0483759j -0.365662-0.00762875j 
-0.00302663+0.000960634j 0.00104935+0.00381981j 0.00122387+0.00235777j -0.00202927+0.00106887j 0.00162467+0.000817882j 0.00231473-0.000760892j 7.19163e-05-0.00185151j -0.00308393-0.000737182j -0.00109611-0.00181792j 0.000497492+0.00153515j 0.00314543-0.000942723j 0.00273334+0.00154414j -0.00525881+0.0017305j 0.00212245+0.000540608j -0.00187881-0.00205854j -0.00336323-0.0027214j -0.00103779+0.00153319j 0.0051161+0.00042983j -0.00174293-0.00181665j -0.00458881+0.00327139j -0.00514293+0.000206754j 0.00203321+0.00171867j 0.00680739-0.00142148j -0.00621443-0.00210964j 0.00432828-0.00124222j -0.00483757+0.00251482j -0.0117614+0.00333507j -0.00522585+0.00058499j 0.00196847-0.00384904j 0.00275382+0.000462101j -0.00267837+0.00110247j 0.00475069+0.00113393j -0.00340053-0.000951455j -0.00784779+0.000567404j -0.00336235-0.00124276j -0.00950595-0.00119574j -0.00365532+0.00363593j -0.00104766-0.00391748j 0.00540024-0.00445028j 0.00683689+0.000291432j 0.00100125+0.00526714j -0.00225543+0.00646688j 0.0108076-0.000414016j -0.00239911-0.00286174j -0.0144095+0.000581768j -0.00946291-0.0015313j -0.00364248-0.00528589j 0.00233348-0.00346835j -0.00760314+0.000297741j -0.00552416+0.00889445j 0.00965211+0.00365642j -0.0411738+0.0120629j 0.0127997+0.00309196j -0.0171854-0.00588656j -0.0112141+0.00636134j -0.0613277+0.00247821j -0.0654728+0.0208426j -0.0637541+0.00133103j -0.00634279+0.00348623j -0.0331493+0.00451351j 0.033086-0.0035337j 0.0220135+0.0109792j -0.0162482+0.00842525j -0.0795773-0.0106441j -0.0324354-0.0116464j -0.25394-0.021516j 0.0498815+0.0153592j -0.00719231+0.00386728j 0.0126491-0.000758823j 0.0195994+0.00693164j 0.0020507-0.00699157j -0.0307522-0.00257143j 0.00875586+0.00949758j 0.000594975+0.00648778j 0.0131124+0.00227748j -0.00598163+0.000294683j -0.000298777-0.0038631j 
-0.00216469-0.0038078j -0.00306757+0.00178187j -0.000414419+0.00385668j -0.00415071-0.000423606j 0.000462124+0.000241163j 0.000438189-0.000446569j 0.00404167-0.00282844j -0.00313937-0.00193127j 0.00174914-0.00309846j -0.00656157-0.00187122j -0.000693328+0.00316783j -0.00505072-0.00111065j -0.00086202+0.000289436j -0.00150229+0.00316528j -3.30859e-06+6.76201e-05j 0.000699453-0.00158624j -0.00387071-0.00292147j 0.00289788+0.00328209j 0.00022896-0.00115692j -0.00737605+0.00167915j 0.00412903-0.00176355j 2.19143e-05+0.00144725j -0.00174216+0.000138899j -0.00379824-0.00558723j 0.0101124+0.00283953j -0.000268817-0.00151261j 0.00382726+0.000854191j 0.00511319-0.000923314j -0.00470417-0.00060891j 0.0158241-0.000428852j 0.00747206-0.00016733j -0.00172389-0.000451546j 0.000942285-0.00335868j 0.000421915+0.00325478j 0.0155523-0.00632691j -0.0190895-0.00807979j -0.00444842+0.00416981j 0.0082878-0.00227541j -0.0027583+0.000790446j -0.00915407+0.00623575j -0.0144616+0.00702474j 0.00816135+0.00260869j -0.00636408-0.000780181j 0.0011788-0.00138106j -0.00963668+0.00574137j -0.011791-0.00145619j -0.00579147+0.00410773j -0.0104433+3.98408e-05j -0.0211895+0.00939686j -0.0325729+0.013733j -0.0204107-0.000642782j 0.0249987+0.00332507j 0.00598644-0.000691521j 0.0381601-0.000139318j 0.00964284+0.00185768j -0.0736215+0.00451304j 0.130615+0.00223849j -0.0386133+0.00165385j 0.0141417-0.00627781j -0.0154164-0.00421315j -0.0323295-0.0057604j 0.0216308-0.00417958j -0.0264983-0.00258328j 0.0481386-0.00392979j 0.187368-0.000877059j -0.110506-0.00614791j -0.0102057-0.00387955j 0.0134601-0.00756892j -0.011626+0.00481372j -0.0197958+0.00840222j 0.0382736+0.00606543j -0.00220006-0.00606945j 9.58705e-05+0.000810139j -0.014134-0.000719118j 0.0019211+0.00738947j -0.00309894-0.00343985j 0.00446039-0.00204163j 
0.000182461-0.00309933j -0.00258352-0.00121584j 0.000980055+0.000676062j -7.19145e-05+0.00213706j -0.00145418-0.00220316j -0.00382156+0.000522613j 0.00118958+0.00157261j -0.00191765-0.000625648j 0.00186291-0.000572347j -0.00780195-0.00493928j -0.00734871+0.00321033j 0.00132541+0.0021413j -0.00473536+0.00373563j 0.00400218-0.000722939j 0.000166109-0.000479633j -0.0146003+0.000570718j -0.00454468+0.00335001j -0.00486787+0.000305546j 0.00467063-0.00561096j -0.0159762-0.0011423j 0.00178926-0.00103417j 0.00226134-0.00239106j 0.00857177-0.000928332j 0.00532516-0.00389817j 0.000542339+0.00720916j 0.00122968+0.000182495j 0.00819373+0.00693558j -0.00893882+0.0013841j -0.00013399+0.00515618j -0.0025448-0.00204493j -0.0078187+0.00287428j -0.00114839+0.00154997j 0.00258798-0.00554026j -0.0057621-0.00159426j -0.00413622+0.000126201j -0.00777723+0.00271529j -0.00135494-0.00207747j -0.00675759-0.0013553j -0.00292894+0.00096628j 0.0161219-0.00122351j -0.0106544-0.00407673j -0.0298559+0.00851535j 0.017025-0.00591524j 0.00988069+0.00188564j 0.00972542+0.00731472j 0.000805227-0.00045892j -0.00552364+0.00216818j 0.00218998+0.0122668j 0.00908648-0.00905187j -0.0464398+0.00846425j 0.0289442-0.00538032j -0.0104807-0.00325622j 0.0193358+0.00356431j -0.0846837+0.00685871j 0.0581705+0.00309197j 0.0107604-0.00155466j 0.0410523-0.000970864j -0.0236536-0.000623232j 0.00349893+0.0105698j 0.045338+0.0150271j 0.0582829+0.00965118j 0.0134361+0.000734501j -0.0298393+0.00851195j -0.191373+0.00765482j 0.10604+0.0062036j 0.0190143-0.00621592j -0.039487-0.00723711j 0.02838+0.00750192j 0.0523492-0.00573454j -0.001038+0.0102365j 0.0193153+0.00680829j 0.010952+0.00521953j 0.0209657+0.000112107j -0.00896989+0.00203285j 0.00344181+0.00586824j 0.00394584-0.00174838j 0.00354061+0.00279084j 
0.00101891+0.000395021j 0.0003299-0.000963764j 0.000229343+0.000286925j -0.0013186-0.000699571j 0.00345989-0.00192099j -0.000476327-0.00314653j -0.000419784-5.856e-05j 0.000307066+0.000793375j -0.00110312-0.00239466j 0.00170021+0.00391479j 0.00383041-0.00106909j -0.00425278-0.00168224j 0.00436749-0.000475458j -0.00108316+0.00146559j -0.00280342-0.00105896j 0.00849049-0.00247886j -0.0016524-0.00162315j 0.00238687-0.00217228j -0.0027918-0.00156078j 0.00646672-0.00171707j 0.00731857-0.00165973j -0.00425977-0.000616421j -0.0104989-0.00172831j 0.00471608+0.00139895j 0.0033336+0.000844174j -7.71491e-05-0.00292736j -0.001572-0.00273741j 0.00824642-0.000799361j -0.00214403-0.0015605j -0.00909258+0.00231501j 0.00474651-0.000453243j -0.0121289-0.00220838j 0.00857946+0.000147341j 0.00758476-0.00257785j 0.0071536-0.00286095j 0.00977119-0.000665774j 0.0245332-0.0023187j 0.0191046+0.00043994j -0.0206414+0.00507149j -0.00169921+0.00404685j 0.0253703+0.00333922j 0.026264-0.00115912j -0.0371198+0.00436332j -0.0282139+0.00165386j 0.0139828-0.00755864j -0.00698473+0.00139896j 0.0452754-0.0127212j -0.00866822-0.000265768j 0.00491847+0.0083357j -0.00618742+0.00407081j -0.00749264+0.00285149j 0.00810735-0.00592995j 0.00139427-0.00185686j 0.0510441+0.010225j -0.0182805+0.00276308j -0.0171816-0.00833141j -0.0109765-0.00381671j 0.0958599+0.00795682j -0.0437945-0.0110656j -0.00413849+0.01095j -0.0808952-0.00518499j 0.0526043+0.00294103j -0.170627-0.000400708j -0.0192776-0.00756399j -0.00837844-0.00362504j -0.0168706-0.00167248j 0.000161465+0.005442j -0.0366803-0.00722928j -0.0309749+0.00756927j -0.00661535-0.00496911j -0.0127295-0.00495794j -0.00872594+0.00291233j 0.00206686+0.00110643j -0.00470168-0.00336472j -0.00422121+0.00114439j 0.00211867+0.001194j -0.00182025+0.000870549j 
-0.00108861-0.00160455j -0.00131295+0.000740276j -0.00124583+0.000542113j -0.00018823+0.000325941j -0.00288559+5.51094e-05j -0.001151+0.00257599j 0.00305716+0.00300751j 0.003278-0.00408903j 0.00234719+8.39839e-05j -0.00383812+0.000775087j 0.00298132-0.000817764j 0.00239004+0.00286053j -0.00136877-0.00170212j -0.00344657-0.00100388j 0.00656068-0.000462812j -0.00329064+0.00253069j 0.00117027+0.00354346j -0.00818155-0.000530604j -0.00203498-0.00116344j -0.0036547-0.00288731j 0.00210911-0.00154752j 0.00087269+0.00185723j -0.00173924+0.0033227j 0.000834035-0.000722169j 0.00320104+0.000231533j 0.00786227-0.00220591j 0.0105276-0.000464786j 0.00804398-0.00548832j -0.00586247+0.00460484j 0.00954225-0.00714319j -0.000514365-0.00152639j -0.00257711+0.000580141j -0.017424+0.00222053j -0.0095456-0.00193976j -0.0043062-0.00904934j -0.0144017-0.00102238j -0.00388355-0.00270236j -0.00687018-0.00421005j 0.0208805-0.00341377j 0.0100296+0.00423526j -0.0011295+0.00490402j -0.00722971+0.00672174j 0.0147032-0.0054293j -0.0367238+0.00267555j -0.00040277+0.00707783j 0.00813292-0.00566325j -0.03928+0.00839443j -0.0139853+0.0011872j -0.0352411+0.0102034j -0.0930762+0.00769863j -0.0234809+0.000332202j -0.0129733+0.00317287j 0.0098757-0.0142425j 0.042911-0.00505528j 0.0315754-0.000695545j 0.0447455-0.00270919j 0.022334+0.00822934j 0.0240884+0.00351904j -0.0294441-0.00270081j -0.0119149-3.56557e-05j -0.161515-0.0146268j 0.0948513+0.00163223j 0.119126+0.00587403j -0.00424896+0.0144959j 0.021088-0.00370425j -0.0370508-0.00718235j -0.029873+0.00664322j -0.00986497-0.000583855j 0.0164569-0.00198797j 0.00868283-0.00185588j -0.00768828-0.00038423j 0.0166249+0.00181755j -0.000973855-0.00653249j -0.00606702-0.00239189j -0.00290095+0.00150475j -0.0036354-0.00261896j 0.00266116-0.00193721j 
-0.000518851-0.000409788j 3.80692e-05+0.000273162j 0.000894243-0.00173651j 0.00101502+0.00124804j -0.00248744-0.000813626j -0.000522143+0.00325563j 0.00291655-0.00184316j -0.00212141+0.00108408j -0.00168823+0.000602803j -0.00021683+0.00107976j -0.0010631-0.00118375j 5.09323e-05+0.000834817j 0.000918073+0.000977068j -0.00125522+0.00422447j 0.00362179+0.00233934j -0.000900935-0.00510762j 0.00212033-0.000354431j -0.00246709+0.00202877j 0.000343681+0.00372763j -0.00510094-0.000376676j 0.00102325+0.00044885j 0.0102142-0.00250893j 0.00568766-0.00369567j -0.00711591-0.00115148j -0.00100607-0.000535029j -0.0106309-0.000907956j 0.00208484+0.00290452j 0.00332324+0.00274402j -0.00822322-0.000163454j -0.00523801-0.00131614j 0.0120434-0.00257139j -0.00812034-0.00081709j -0.0110042+0.00271674j -0.0109171-0.00582734j -0.00129691+0.00535713j -0.0151544+0.00285949j 0.00269857+0.0028398j 0.00265556+0.00070667j 0.0072677-0.000475372j -0.00775685-0.0076431j -0.034069+0.00174611j 0.0261824-0.00920507j -0.00326862+0.00811873j 0.0192948-0.0103031j -0.0310199+0.0113315j -0.00386587-0.00514178j -0.00771373+0.00392763j 0.0529281-0.00730205j -0.0260927+0.00272941j -0.0633659+0.00385195j -0.0214234+0.00205011j -0.00837404+0.00311495j 0.0390532+0.00173428j 0.00279534+0.0102351j 0.0342827+0.00153391j -0.014787-0.00277234j 0.0063387+0.00573658j 0.0015487+0.00250343j 0.0432601+0.00188056j 0.0730501+0.0082252j -0.0474402+0.0164833j -0.197241-0.0073769j -0.021782-0.00439831j -0.00985599+0.00172864j -0.0189396+0.0012736j -0.00262158+0.0049055j 0.00113056-1.32813e-05j -0.00281908+0.0017891j 0.00803676-0.00170414j -0.0049893+0.00168125j 0.0117253+0.0068356j 0.0151363-0.00175806j -0.00621389-0.00350383j 0.00110111+0.00389495j 0.00679855+0.000776106j 0.000419604+0.000524707j -0.000839495-3.01496e-05j 
-0.000507124+0.00162411j 0.00120537+0.000376887j 0.00105645+0.00132879j -0.000907812+0.0018282j 0.000948645+0.00233023j 0.00187647-0.00167467j -0.000742584-0.00232026j -0.00114019-0.00158985j 0.00270586-0.00103985j -0.000974816-0.00237081j -0.00141374-0.00103546j 0.00311811+0.00275147j -0.00532702+0.00164845j 0.000196228+5.44659e-05j 0.000472405-0.00020236j -0.00130758-0.0013402j -0.00225359-0.00209598j -0.00274186+7.77656e-05j 0.005417+0.000161465j 0.00472743-0.00539405j -0.00620406+0.00309926j 0.000185024+0.00261467j 0.0058762-0.00129103j -0.00231655+0.00380744j -0.00722175+0.00408402j 0.00208316+0.000767117j -0.00399941-0.0033015j -0.00680895+0.000489024j 0.0016392-0.000370972j 0.00524846-0.00420879j -0.0123357+0.00137308j -0.00352798+0.000461715j -0.00330365-0.000898163j -0.00812772-0.00246123j -0.00649787+0.00173128j -0.00551764-0.000933839j 0.00119804+0.00360084j 0.0185837-0.000729649j 0.00779914-0.00723345j 0.00319842+0.00478835j 0.00205532-4.19954e-05j -0.00723497+0.00338851j 0.00615717+0.000974972j -0.0189099+0.00214784j -0.0260311+0.00185294j -0.0130962+0.00538272j 0.0281589-0.0103221j 0.00528001-0.00625035j 0.0667414-0.00598661j 0.0276265+0.00116003j 0.0276801+0.00164185j -0.0309458-0.0106003j 0.0337908+0.00226651j 0.0166386+5.85711e-05j 0.0798169+0.0131868j -0.0272537-0.00373875j -0.0371178-0.0036995j -0.0183446+0.00923513j 0.10871+0.00226546j -0.156631-0.00199252j -0.0124349-0.000759097j -0.013581-0.000609199j -0.0576057-0.00983101j -0.00804547-0.00689289j 0.0112943+0.000212644j -0.0112272-0.00546682j 0.000691233-0.00119639j 0.0157215+0.00452413j 0.00840679-0.000735683j 0.00764308+0.00338057j 0.00455436-0.00312518j -0.0078649-0.00280919j -0.00165672+0.00264886j 0.000306913+4.62188e-05j -0.000123057+0.000600126j -0.0018129+0.00289697j -0.0048464-0.00176024j 
-0.00213543-0.00162943j -0.000486157+0.00252898j 0.000419099+0.00105308j -0.00141722-0.000304391j -0.000851279+0.00153008j 0.00332002-0.000185365j 0.0028551-0.00135741j -0.00215259+0.000596361j 0.000386449+0.000406369j -0.0015586-0.00134762j 0.00445531+5.66037e-06j -0.00313511+0.00464484j -0.00434356+0.000309033j 0.00266406+0.000117525j 0.00561454-0.00287035j -0.00877135-0.00584985j 0.000641049+0.00171635j 0.00666976+0.00329252j -0.000156077-0.0032576j -0.00923973-5.44778e-05j 0.00504852+0.00159043j -0.00505003+0.00335782j 0.00453701-0.00103179j -0.00863739-0.00164222j 0.00425013-0.00195552j -0.0116967+0.00244349j -0.00157392+0.00306484j 0.000780067+0.00195544j -0.00703119-0.00339301j 0.00278126+0.00498882j -0.00530443-0.00256794j -0.00297643-0.000591722j 0.0109749-0.00360599j 0.00654573-0.000998265j -0.00893868+0.00528176j 0.0065143+0.00259603j -0.00669702+0.00588906j -0.0010877-0.00523042j -0.0288406+0.000281703j 0.0141624-0.00244279j -0.0178417+0.000112378j 0.0223753+0.00793559j 0.0182756+0.000820332j 0.00297748-0.000854763j 0.0736014-0.015176j -0.0502463+0.0118638j -0.00981425+0.00256153j 0.0196654+0.0017176j 0.0739629-0.00943445j -0.0250876-0.00147453j -0.0475892+0.000846331j 0.00615898+0.00426885j 0.00515444-0.00489245j -0.0636128-0.00383929j 0.0498095-0.000683385j -0.123821-0.0135307j -0.033562-0.00666642j -0.0788575-0.0137835j -0.16058-0.00740732j -0.060128-0.00267306j 0.0427655+0.00620114j -0.0198552+0.014875j 0.028853+0.00891665j -0.0214812+0.000316578j -0.0175759-0.00413804j -0.030177-0.00553832j 0.0138134+0.00698388j -0.0125684+0.00404514j 0.0130117+0.000951633j 0.0131396+0.00616088j 0.0172574-0.0045554j -0.0168543-0.00762146j -0.00645357+0.00249563j -0.00495+0.00221806j 0.00451876+0.00296933j -0.000670249-0.000633013j 0.00155627-0.000938738j 
7.56548e-05+0.000460916j 9.37875e-05+0.000551677j 0.00141833+0.00171146j -0.00155982-2.60482e-05j 0.00299356-0.00404632j -0.00169154+0.000707242j -0.000267943-0.00118954j -0.00510733+0.00109057j -0.00506471-0.00111668j 0.00570899+0.0046656j -0.00260686-0.00252712j -0.00383709-0.00334034j -0.00101067+0.00397351j 0.00638981+0.0025154j -0.0156918+0.00199538j 0.00427574+0.0020969j 0.00477349-0.00254623j -0.000123146-0.00594791j -0.00486118+0.00138138j -0.00177278+0.00377276j -0.0111128-0.00118365j -0.00565331-0.00394897j -0.00358958-0.00576876j 0.00435357-0.00197816j -0.00176557+0.00329744j 0.00131108-0.00144574j 0.0002038+0.00203163j 0.00288663+0.00693014j 0.012249-0.00572861j -0.000592276+0.00399398j 0.00209261+0.00743609j 0.0106057-0.0063201j 0.0203439-0.00210491j -0.00971824-0.00559952j -0.000122504+0.00531835j 0.0225643-0.00947951j -0.000339807-0.00577022j -0.0302096+0.0144495j -0.0157737+0.000545007j -0.0127472-0.00229427j 0.00910365-0.0015859j -0.000383015-0.00398795j -0.0269508+0.00968415j -0.0331181-0.00305264j 0.00799332+0.00237829j -0.00515611+0.00220314j -0.0181342+0.00257114j -0.0341379-0.00156034j 0.00258102-0.00522979j 0.0657486+0.00782738j -0.00597782-0.00113105j 0.045964-0.00180327j 0.147499+0.00297591j -0.0518563-0.00802561j -0.0087932-0.00149247j -0.0295508+0.00749005j -0.0677447+0.000870896j -0.152076-0.00901248j 0.0640319+0.00152369j 0.111328+0.00385614j -0.042748+0.00410485j -0.0144914-0.00943808j -0.0564019+0.00564305j 0.0118084-0.00509992j 0.0197658+0.00130872j 0.00503313+0.00881386j 0.0409417+0.0069608j -0.0266533+0.00341285j 0.00432808+0.00685208j -0.0140802+0.00112541j -0.00280319+0.00600315j 0.00206082+0.00594241j 0.0134335+0.00292897j 0.0018539+0.00372369j 0.00716895+0.000978441j -4.4788e-06-0.000336379j 0.00129751+0.000242302j 
-0.000839901+0.000146572j 0.00118319+0.000514026j 0.000927129-0.00413988j 0.00350058+0.00336181j -0.00508233-2.12026e-05j 0.00121382+0.00221597j 0.00240349+0.0014444j 0.000244109-0.00115426j -0.000641076-0.000773572j -0.00286643+0.00129484j 0.00553667-0.00226359j 0.0058541+0.00439738j -0.00541648+0.00193746j -0.00308605-0.000327194j 0.0132402+0.000683228j -0.0105437-0.0031641j 0.0037325+0.00448787j -0.0174338+0.00424649j 0.00253751+0.00292465j -0.00900177-0.00560141j 0.00259732+0.00197842j 0.00947075+0.00641056j 0.0157538-0.00184702j -0.00882637+0.00116176j -0.00516648-0.00167782j 0.00451794+0.00159733j -0.00335691-0.00375055j 0.0151984+0.000279253j -0.0118026-0.00272734j -0.0042828-0.00230602j -0.00932105+0.0059965j -0.0259699+0.00221905j 0.00895366+0.0039556j 0.018871-0.00583742j -0.0362691+0.00468285j 0.00429297-0.00455803j 0.0207427-0.00135394j 0.0251533-0.0126605j 0.0257043-0.00145178j -0.00674815-0.00589579j -0.0373113+0.00944421j -0.000688786-0.00571999j 0.0494812+0.00221737j 0.0466587-0.00236463j 0.0112695-0.00322638j -0.0976836-0.00140262j -0.0658646-0.00368092j 0.0219329+0.00140443j 0.0683805-0.000149173j -0.0732686-0.00189638j 0.0452135+0.00224019j 0.056252-0.00296805j -0.0319375-0.00666199j -0.0299955-0.00117893j -0.064376-0.0139311j -0.0763309-0.00520516j -0.108726+0.00807812j 0.0576939-0.00351233j 0.0468279+0.00118793j 0.0106343+0.00088885j -0.0145433+0.00887323j -0.0543221-0.00197488j 0.0257878-0.0112669j 0.0121943+0.00342515j -0.025424-0.00206933j -0.0137879-0.00554736j -0.0173321+0.00268018j 0.00624845+0.00446018j 0.0145618-0.00795108j 0.0253637-0.000389721j -0.00226588-0.00423186j 0.00656878-0.00265301j -0.0112034-0.00493969j -0.0019058+0.00346623j 0.00558508+0.00110118j 0.00215886+0.00221146j -0.0029863+0.000599604j 
0.00161654-0.00193404j -0.00194203-0.00272369j -0.000429676-0.000466843j 0.000243484-0.000452932j 0.000810033-0.000972196j -0.00249621-0.00117323j -0.00177359-4.83201e-05j -0.000870706-0.000927573j -0.000398957-0.00254837j -0.00386368-0.00155005j -0.00439026+0.0015377j -0.00279596-0.00261306j 0.000422492+0.00354668j 0.000987717-0.00110153j -0.00206204+0.00389194j 0.00863696+0.000265778j -0.00961649+0.00109909j -0.00265132+0.00220196j 0.00839822-0.000971896j -0.00603635-0.00316774j -0.00502145+3.53146e-05j 0.00305167+0.00168501j 5.82137e-05-0.00641413j 0.0126726+0.00299249j 0.0144329+0.00261545j -0.00413108+0.00227401j -0.0138592-0.00133172j -0.00288453+0.00415755j 0.0197063-0.000349272j 0.0031241+0.00289641j 0.012287+0.00277276j -0.0319641+0.00197398j 0.0218531-0.00993168j 0.0413949-0.00333823j 0.0213009-0.00444891j 0.0308487-0.0107494j -0.0111404-0.00517498j 0.0357956-0.0068954j 0.00344657+0.00963902j -0.0320432+0.0049583j 0.0468464-0.00693106j -0.0136834-0.00204505j -0.00613434-0.000144733j 0.0359162-0.000292414j -0.0362396-0.00331164j 0.111655-0.000916224j -0.0271733+0.00744701j 0.0182989+0.00417396j 0.0540055+0.000141095j 0.0788152+0.00393616j 0.0109385+0.00765111j -0.00576271-0.00517992j 0.0536251+0.00715155j -0.136215-0.00960178j 0.0277773+0.000499219j -0.0904215+0.00215161j 0.0652814+0.00517319j 0.0649117+0.0027311j 0.000157949-0.0124225j 0.0365311+0.00874189j -0.0372535-0.00611228j 0.00906788-0.00975794j -0.0138248+0.000798356j 0.0116426-0.00703166j 0.0301847-0.00256414j -0.0173975-0.00695803j -0.0015671-0.00341348j 0.016738-0.000150648j -0.00345305-0.000303127j -0.00335587+0.00128915j 0.00355365+0.00202926j 0.00215426+0.000736846j 0.000585111-0.000628514j -0.0027982-0.000967868j -0.00256447+0.00174597j 0.00601744-0.000177644j 0.00129937+0.00380578j 
0.00198862+0.00225808j 0.00126452-0.00156063j -0.000152531-0.00110847j 0.00231026-0.000490411j 0.000995433-0.000738275j -0.00253561-0.00232197j -0.00307065+0.00388967j 0.00254098+0.00269315j -0.00165147+0.00287544j 0.00292645+0.00225726j 0.000494128-0.000145775j 0.00570052-0.00178722j 0.00218792-0.00343093j 0.000270055-0.00192084j -0.00616622+0.00402135j -0.00578027+0.000834636j -0.00187668+0.00165486j 0.00487114-0.00130089j -0.00888246-0.0020304j 0.0153165+0.000323529j 0.00902286-0.00058276j -0.00678681-0.0015931j -0.00552719+1.37254e-05j -0.00529254+0.000513574j -0.00739565-0.00393799j -0.00121414-0.00243323j 0.00436411-0.000661118j -0.00645584-0.000207809j -0.0147569-0.000632108j -0.0256598+0.00102867j 0.00992716+0.00695187j 0.041309+0.0031781j 0.0128207+4.14126e-05j -0.00243825+0.00384219j 0.00377701-0.00283001j -0.00322333+0.00781378j 0.0227131-0.00732464j -0.0111049+0.00825852j -0.0277558+0.00752355j -0.00709325-0.00191961j 0.0442477-0.00653585j 0.0312515-0.00319854j 0.101104-0.00452512j -0.00065845-0.000335815j -0.0107139+0.00190226j -0.0695324-0.00411305j 0.0184047-0.00206258j 0.0643572+0.00433323j -0.110769-0.00682218j 0.0605598+0.00319171j 0.0454777+0.0102274j 0.0691675+0.0104074j -0.034181-0.00578225j -0.0616765+0.00295999j 0.0246842-0.00648772j 0.0687383-0.0038147j -0.0256078-0.000548541j 0.0577829-0.00426455j -0.0356463+0.00102289j 0.0460256+0.00724321j -0.0170291-0.0017642j 0.0168481+0.00433908j -0.000794943+0.00457234j -0.00268584+0.00577373j -0.0204442+0.00497509j 0.0293238+0.00858579j 0.00201474-0.000453961j -0.0110632-0.00216001j -0.00254341+0.002018j -0.00323116-0.00289472j -0.0120543-0.00104324j -0.00018885+0.00545862j 0.00684819+0.000645883j 0.00799069-0.00202649j -0.00568532-0.00492262j 0.00113074+0.000463434j -0.000500895+0.00127754j 
