-0.0672991+0.0303417j 0.0506094+0.369214j -0.130345+0.398283j 0.0229184+0.0380595j -0.189611+0.14646j 0.288766+0.0115616j -0.0303368+0.170237j 0.166794+0.217985j 0.0273711+0.00163026j -0.0629162-0.0868747j 0.0194692+0.0126252j 0.0796311+0.0308938j -0.0674365+0.181113j -0.122948-0.015352j -0.108568-0.0781418j -0.0664657+0.0421198j 0.0143075-0.030593j -0.0100883-0.0210698j 0.0290272-0.0555827j -0.0990346-0.119043j -0.0193968+0.00706884j 0.13206-0.0842754j 
0.178848+0.18138j -0.302369+0.0378273j -0.0623029+0.0464385j -0.0640486+0.0842541j 0.336944-0.174411j 0.0521448+0.199654j -0.143368+0.0571428j 0.0407068-0.0304638j 0.0722626+0.00149757j 0.0944846-0.185416j 0.00287546+0.139839j -0.0982166-0.0356764j 0.218756-0.119612j -0.184421-0.0178951j -0.0575944-0.107255j 0.125429-0.0113525j -0.146213-0.0355898j -0.0574901-0.0929098j -0.00918677+0.00584457j 0.0252917-0.0392004j 0.0190508-0.0782193j -0.0161982-0.0210471j 
-0.0371709-0.162995j -0.123448+0.196216j 0.02359+0.0466152j -0.445585-0.035969j 0.282053+0.193181j -0.0406719-0.0417283j -0.0812783-0.0674156j 0.00120398+0.00839186j 0.143698-0.0298985j 0.100948+0.119878j -0.0207175+0.0165014j 0.201873+0.000251409j 0.167531+0.117546j 0.0398256-0.20412j 0.0636578-0.0107196j -0.0652538+0.0581232j 0.00802766-0.0221605j 0.0171589-0.0656028j 0.0138624-0.012518j 0.0230089-0.00306804j 0.0406589-0.0112017j -0.00326742-0.00838472j 
-0.350627+0.127814j 0.0205674-0.253916j -0.0398801-0.0171942j -0.41071+0.0994742j -0.00823685-0.247592j 0.0276318-0.00595691j 0.00865489+0.0744683j -0.0106092-0.00522565j 0.128865-0.22361j -0.192367+0.0255266j 0.291632+0.0233213j 0.0393786+0.121453j -0.119197-0.159085j -0.0361492+0.111326j -0.113897-0.043666j 0.0546745-0.113203j 0.0176447+0.0434939j -0.0100085+0.0805319j -0.0342225-0.00809074j -0.0248434-0.0100958j -0.0426769-0.0109294j -0.00617813+0.0153894j 
0.00147283+0.359658j -0.0814615+0.022797j 0.000503302+0.0139735j -0.131853-0.425263j 0.0600863+0.0669199j 0.0255714-0.00175281j -0.00537557-0.015145j -0.00274663-0.00826692j 0.22001+0.18357j -0.186192-0.125935j -0.092463+0.235416j -0.193389+0.138054j 0.0742386+0.00911699j 0.0287108+0.0588063j 0.0343128-0.0679671j 0.0727078+0.0135589j -0.0272037+0.028886j -0.0351277+0.00436482j 0.00770973-0.0173536j 0.0068499-0.0101436j 0.00328858-0.0119015j -0.00814134-0.00400941j 
0.0124402-9.86269e-05j -0.0130559+0.0310886j 0.119076+0.0575354j 0.0102616+0.00776718j 0.017169-0.0169032j -0.00675304-0.0355226j -0.0651025-0.104487j -0.144855+0.344317j -0.00250764-0.000183018j -0.00280089-0.000808023j 0.00677614+0.00231901j -0.00818772-0.00145269j -0.00560493-0.00201926j -0.00209274-0.00310185j -0.00736165-0.00685141j 0.00906599+0.000970136j 0.00566263-0.0242101j -0.0150601-0.0184666j -0.0120107-0.0347481j 0.250747+0.0592431j -0.117531-0.0164523j -0.0602788+0.0347752j 
0.017438+0.0179315j -0.128298-0.00123159j -0.108054+0.0619522j -0.00714275+0.0147983j 0.0680026+0.0328j 0.0383035-0.0199673j 0.110208-0.28123j 0.0257804-0.222413j -0.00252323-0.000923929j 0.00922073+0.00289091j 0.00279337+0.000154166j -0.0021033-0.000368007j -0.0202472-0.0222451j 0.00459513-0.00487644j -0.0364336-0.0130319j 0.0200642+0.0220716j -0.0144764+0.0113458j -0.0830537-0.0229102j -0.147751-0.0630235j 0.116619-0.0873516j -0.0752795+0.0791929j 0.156044+0.0349827j 
0.0265391-0.0178136j -0.0526775+0.0471552j -0.0103423-0.160916j 0.00372228+0.0056346j 0.0476743-0.0182669j 0.031169-0.039856j 0.0860211-0.214957j -0.0423883-0.140084j -0.00741411-0.00603963j -0.0059981-0.00208489j -0.00339673+0.00844657j -0.0056367-0.0132898j -0.0101843-0.0281866j 0.0245922+0.000508649j 0.000786162-0.0162647j -0.0280954+0.0158992j 0.0143798+0.011981j 0.0170682-0.0594858j -0.049792-0.0785584j -0.163641+0.257567j -0.078278-0.137144j -0.291763-0.0758068j 
-0.0336194+0.0375395j 0.0258292-0.124561j 0.0934058-0.168642j -0.0259973+0.0136985j 0.00848957+0.0985111j -0.0144496+0.114384j -0.0128648+0.0554275j -0.0723354-0.0321879j 0.00401377+0.00447074j 0.0176453-0.00977915j -0.00625938-0.000998717j 0.0374039+0.0171288j -0.0296169+0.0166197j -0.0130561-0.00762518j -0.0382638+0.0153905j 0.106832+0.0153443j 0.0737723+0.052712j -0.112647+0.00377552j -0.147823+0.127845j 0.0980176+0.0443219j 0.136897+0.0165395j -0.0324045-0.0239588j 
-0.00270722-0.0196831j -0.0683331-0.116138j -0.0536442+0.0341477j 0.0313595-0.0216381j 0.0230053-0.120464j 0.0463611-0.232305j -0.0133778-0.269484j -0.0049191+0.142829j 0.000296086-0.00665097j -0.0415182-0.0157983j 0.0135197+0.00779161j 0.0138347-0.0217303j -0.0349386+0.0119554j -0.00188289-0.0308983j 0.00467812+0.0287366j 0.0146637-0.0737654j -0.0860755-0.121195j -0.13851+0.0821564j 0.055925+0.185348j -0.00550568-0.0485192j 0.199916+0.0385209j 0.058959-0.102293j 
0.00356078+0.0174696j -0.0537881-0.0356819j 0.136464+0.0195853j 0.00272998-0.0129059j -0.02913-0.030342j 0.0168428-0.0542399j 0.0446848+0.0539642j 0.0756196-0.186853j -0.00517232+0.00719934j -0.00575134-0.00532968j 0.0104095+0.00713218j -0.00479181+0.0114515j -0.0399022+0.00802926j 0.00744868-0.032634j -0.0382983+9.66076e-05j 0.0203376+0.0169168j -0.00542642-0.0758665j -0.127912-0.0281932j -0.0869341+0.102312j 0.303306+0.0645449j -0.0758825+0.152627j -0.0227031+0.348284j 
-0.0470539+0.103085j 0.0888896-0.0498173j -0.00738894+0.0527316j -0.0547715+0.0337959j -0.0964185+0.200262j 0.0340865-0.191054j 0.0502122+0.0699968j 0.0929739+0.108337j 0.000217508+0.00704594j 0.0357936+0.0264868j 0.00185189-0.0138676j -0.0506283+0.0214915j -0.0183389-0.019212j -0.0124812+0.0641825j -0.108018-0.188057j -0.183316+0.0193383j -0.0658926-0.00809032j 0.0762047-0.006874j -0.0154697-0.0782576j -0.0632982+0.0445479j -0.0600483-0.0364144j -0.0372845-0.0422661j 
-0.0634482+0.0606557j -0.0192116+0.0827305j 0.172989+0.172763j -0.0579109+0.0197482j -0.0319834+0.0762575j 0.030821-0.0338412j 0.0660499+0.0930894j 0.00562558-0.0671734j 0.00394407-0.0121182j -0.00974227-0.00371182j -0.0203253+0.00741697j 0.0311045-0.03873j 0.0310156-0.026008j 0.113978+0.0769221j 0.012505-0.110788j -0.0564809-0.0832191j 0.193878-0.150311j -0.218914-0.0659151j 0.0350298+0.00906498j 0.00596935-0.0226707j -0.00371307-0.004386j 0.0183761-0.00758114j 
-0.00231789-0.037155j 0.128381-0.052653j 0.0513702+0.0462558j -0.0213784+0.0144948j 0.0478793+0.0835763j 0.0329736+0.0450493j 0.0768898-0.141541j -0.0435786-0.266436j -0.00535253+0.0081926j -0.0319509+0.0453906j 0.0252672-0.00610287j -0.0183589-0.0489614j 0.0201128+0.0284091j -0.0564538-0.0075531j 0.0549904-0.026185j -0.0617541-0.0746668j -0.137987+0.0410236j 0.102179+0.169332j 0.222096-0.0751736j 0.00910362-0.106573j 0.0380034-0.237252j 0.0203652+0.0223501j 
-0.0932959-0.0899468j 0.0396273-0.0669121j 0.0145457+0.029124j 0.0748012+0.0170532j 0.000689603+0.254103j 0.00818126+0.206754j 0.00235803-0.0611071j 0.0149671+0.0317997j -0.0265785+0.0171434j 0.0325125-0.0147185j 0.0019323+0.0232236j -0.0308005-0.0684618j -0.0541427-0.212628j 0.160314-0.040147j 0.121079+0.0795544j 0.013583-0.0797531j 0.0105361-0.15467j -0.116818-0.0387045j 0.0584566+0.0397096j -0.0132899+0.0049374j 0.00461982-0.000510934j -0.00576895-0.0157099j 
-0.178774-0.116822j 0.00442869+0.0798474j -0.179697+0.120417j -0.0214908+0.000500508j -0.0308627+0.0812643j 4.43693e-05-0.00107012j 0.0308887+0.0815892j 0.0213178-0.000180896j -0.00529556-0.0159573j 0.0154406-0.0371191j -0.0436311+0.0191842j 0.0696021+0.0230924j -0.0482013-0.0381832j 0.172728-0.0516025j -0.232043+0.160954j 0.226218+0.165119j -0.17337-0.0521661j -0.0458922+0.0420115j -0.0634545+0.0190393j 0.0354442+0.0190988j 0.0151193+0.0348681j -0.0063841+0.0123805j 
-0.0154635+0.0307311j 0.0374279+0.0668345j 0.0926543-0.0877694j 0.0144803-0.0349924j 0.00232496+0.0632892j 0.00750773-0.204848j 0.000372428-0.250889j 0.0748935-0.0234555j 0.00611951-0.01671j -0.00686124+0.00243587j -0.0134171-0.00629131j 0.0554658-0.0417375j 0.122654-0.0388424j 0.0128403+0.158383j 0.0100561+0.0820145j 0.122212-0.0763207j 0.157185+0.0413712j 0.0574414-0.208585j -0.0308893+0.0727289j 0.00414967-0.0239041j -0.0320946-0.0186199j 0.0260275+0.0193032j 
-0.0484619+0.0503959j 0.132123+0.0503575j 0.00718295-0.035645j -0.0460419+0.262369j 0.076277+0.152298j 0.0335003-0.0451495j 0.0494647-0.0868774j -0.0207385-0.0179208j -0.021845+0.0105076j -0.0394417-0.239817j -0.000416596+0.111949j 0.227442+0.0713685j -0.0984112+0.166911j -0.13492-0.0384854j -0.0601655+0.0710971j 0.0515644+0.0247094j -0.0512884+0.00528062j -0.0200194+0.026225j -0.015053+0.0452565j 0.0206027+0.00676758j 0.0297032+0.0407639j 0.00369477+0.00538657j 
-0.170004+0.174894j -0.0119332-0.0834007j 0.0662281+0.0675362j 0.0106947+0.0571353j 0.0694224-0.0958502j 0.0326978+0.0507295j -0.0368024-0.0894423j -0.0630826-0.0235329j -0.0136358-0.0140683j 0.00664739-0.00528322j 0.000733153+0.0163361j 0.0251898-0.00166044j 0.215465-0.0649702j 0.187244+0.15112j -0.0691464+0.0783562j -0.000422239+0.123343j 0.109113-0.081767j -0.0254515-0.0231033j 0.0290388+0.0361344j -0.0189652-0.00763146j 0.00744126-0.00595281j -0.00366103-0.0118717j 
-0.0240189-0.0401706j -0.0898373-0.0507385j -0.044368-0.098714j -0.0906766+0.114309j -0.0469678+0.0618123j -0.0319141-0.185487j 0.0911561+0.196907j 0.0516472+0.0361383j -0.0420692+0.0447343j -0.0617609+0.0391638j 0.0680595+0.0493337j 0.0163122-0.0816159j 0.0955575+0.0019777j 0.0817353+0.00264326j 0.174951+0.0287865j 0.111276-0.17693j 0.0176519+0.0578251j -0.0180588+0.0161148j 0.0501636+0.0230572j -0.00118533-0.010273j 0.0355401-0.0223708j -0.00201424-0.00634662j 
-0.140695+0.0219417j -0.0482077+0.0348041j -0.00503375+0.0194017j 0.0758807+0.194394j 0.0475614-0.056408j 0.0164241+0.0527724j -0.0297542+0.0241205j 0.000800128+0.0137419j 0.0213652+0.351956j 0.0818763+0.143236j 0.305872-0.0609946j -0.0809268-0.0961827j 0.118068-0.0280039j -0.00523912+0.0723107j 0.013606-0.0129702j -0.0342087+0.00432734j 0.00564135+0.0289976j 0.0350089+0.00832524j -0.00886419-0.00916872j 0.0120439-0.00579709j 0.00625011-0.00149919j 0.00506869+0.00814147j 
-0.0508799-0.03553j 0.0683495-0.116747j -0.00245266+0.0167534j 0.00339346+0.147686j 0.0130056-0.260678j -0.0447273-0.232898j -0.0197345-0.1248j -0.0306835-0.0239068j 0.063962+0.0945447j 0.200732-0.0459379j -0.00386034-0.0521439j -0.0490458+0.189866j -0.137959-0.0801228j 0.0880642-0.119404j -0.0119289-0.0709996j -0.00288471+0.0251282j 0.00314914-0.0297798j -0.0341057-0.0147032j -0.0105756-0.0183253j -0.0144151+0.0042074j -0.0403416+0.0127426j 0.00233205+0.00521383j 
-0.0929832-0.165452j 0.0249579+0.126418j 0.0330156+0.0399034j -0.0710916+0.0348133j -0.0119557-0.0546462j -0.0141539-0.115025j 0.00918946-0.100563j -0.0264341-0.0153225j 0.0289746-0.0214155j -0.133186+0.0163022j 0.105893-0.0409487j -0.152777-0.12711j 0.108304-0.000434519j 0.0720567-0.0543731j 0.103476-0.0164383j -0.0359359-0.0131657j -0.0161976+0.00729124j 0.027916+0.0138422j 0.0328385-0.0169537j -0.00361479+0.000733961j -0.0179668-0.0104368j -0.00409085+0.00506651j 
0.00791853-0.161385j -0.0506506-0.0437446j -0.0273614-0.020039j -0.0413947+0.133582j 0.0809397+0.216082j 0.0307843+0.0421674j 0.0484074+0.0232515j 0.00530756-0.00530047j 0.294966-0.0764234j 0.0696848-0.13714j -0.160555-0.260122j -0.0496427+0.0703135j -0.0160737-0.0540757j 0.0119495-0.0101861j -0.0240115-0.0137361j 0.00150716+0.0117496j 0.0231489+0.00164468j 0.0110799-0.0236482j -0.00366711+0.0141188j -0.00271437-0.00912449j 0.0082883-0.00306912j 0.00794447-0.00578872j 
0.103826+0.0626656j -0.131613-0.00313584j -0.0210716+0.0171447j 0.0198472+0.214097j 0.109131+0.288725j 0.0391591+0.0233578j 0.0712227-0.0282933j -0.00566063-0.0156669j -0.14952+0.0334613j 0.0811138+0.077441j 0.121077+0.0820047j -0.149096+0.0681674j 0.0773767-0.0249138j -0.0172666-0.00779431j 0.0153257-0.0220753j -0.0326375+0.0114451j 0.00483844+0.00687051j 0.0181693-0.0206648j -0.00438362+0.000863587j 0.00366955-0.000887459j -0.00836898+0.00249615j 0.00335489-0.000326626j 
-0.122107+0.0548807j -0.00808131-0.0328167j -0.0130118-0.0011841j -0.143622-0.346062j -0.0702222+0.0944616j -0.00824767+0.0340662j 0.0157575+0.0203592j 0.0109981-0.00769299j 0.0614958+0.0345642j 0.118563-0.0171243j 0.24972-0.0618829j -0.00274035+0.0324187j 0.00977547-0.0164206j 0.00656066+0.0243851j 0.00724668+0.00061116j -0.00475265+0.00579563j -0.00204253+0.0029396j 0.00370262-0.000403873j -0.00841588+0.00174277j 0.00675278-0.00199583j 0.0035018-1.23637e-06j 0.00253745+0.000177162j 
