-0.00289061+0.0397362j 0.00735555+0.00259852j 0.00205102-0.00040876j -0.00131912+0.0566576j -0.00145501-0.0414634j -0.0057511-0.0446165j -0.00342359+0.0261899j -0.00201149-0.0201619j 0.00955592+0.038678j -0.00125384-0.0116345j -0.00467431-0.00456662j 0.00218396+0.0602457j -0.00361506-0.00295535j -0.00285393-0.0387391j -0.00121805+0.0313105j 0.00646996-0.00487429j 0.00478748+0.0161318j -0.000174012-0.034936j 0.000878269-0.0157807j -0.00723446-0.0209955j 0.00180124-0.0531757j 0.00429464-0.0157008j 0.000679437+0.0143511j -0.00388791-0.0667113j 0.00656001-0.0148051j 0.00842005-0.0167458j -0.00559062+0.010145j 0.00310193+0.0390496j -0.00239751+0.00552471j 9.48869e-05+0.0019926j 0.00201701+0.0327251j 0.000663801-0.0164616j -0.00453912+0.0309686j 0.00220839-0.0174999j 0.00643606-0.0217796j 0.00100343-0.0213895j -0.00106657+0.00636584j 0.00191453-0.026826j -0.0132846+0.0156904j 0.00545379+0.0104168j -0.00186341+0.0400753j -0.00174104+0.0125222j -0.00344494+0.0030484j -0.00159235+0.057925j 0.0125009-0.0592701j 0.00156566+0.00192075j 0.00453131+0.00250822j -0.00601547+0.0140487j 0.00547467-0.0270058j -0.00155825-0.0299235j -0.0119933+0.0479314j -0.00460255+0.00243719j 0.0148957-0.036839j -0.00112519+0.0416564j 0.00635667-0.0224382j -0.000401375-0.00548466j 0.0300565+0.0314068j 0.00877177-0.0159634j 0.00457528+0.00267856j -0.00138948+0.0138167j -0.00770254+0.0346959j 0.00879546+0.00454173j -0.0042553+0.0048877j 0.000470111+0.00511106j -0.00937456+0.0288089j -0.0111975-0.00948529j 0.00588058+0.0181782j -0.00187616-0.0214265j 0.00652588-0.00794997j -0.0100803+0.0114882j -0.00655832+0.00158125j -0.00735651-0.00889871j -0.0032632-0.00609797j -0.0136438-0.00430576j -0.00748049+0.0274533j 0.00482679-0.0139053j -0.00544283+0.00409628j 0.00788941-0.0203194j -0.000739573+0.00910235j 0.00755341+0.0198032j -0.0121077+0.00331859j 0.0128294-0.0143298j -0.003974+0.012644j 0.0161641+0.0011495j 0.00611441+0.0149837j -0.0182243+0.017507j 0.00113707+0.00519476j -0.0110762-0.0260643j 0.0416798-0.0185256j -0.100872-0.157058j 0.188007-0.0422199j 0.091607+0.0434893j -0.0186188+0.0844686j -0.246891+0.0261703j 0.0259985+0.255093j 
0.00710041+0.0122661j 0.016336-0.0207604j 0.0061291-0.00910444j 0.00383045-0.0565074j 0.00203363-0.0232721j -0.000538976+0.0604945j 0.00199067-0.0180263j 0.0186055-0.0710361j -0.0015735+0.051591j 0.0110058-0.214547j -0.000842896+0.381473j -0.0064142+0.409546j -0.00460458-0.385331j -0.00401307+0.404996j 0.0185972+0.197891j -0.0158948+0.052791j -0.0059605-0.0682928j -0.00455785+0.138575j 0.00695704+0.028311j -0.0339073-0.0573989j 0.00433391+0.0168229j 0.0254343+0.113958j -0.00942724+0.145001j 0.00374645-0.0454528j -0.0219115-0.0322065j -0.00703786-0.0232071j 0.000122232+0.0554454j -0.007274+0.0473817j 0.0191648+0.0817322j -0.0159528+0.0300757j 0.0317473+0.000348781j -0.00456271+0.0602658j -0.00176516+0.0475489j 0.0113432-0.0128133j -0.0128394+0.00400394j -0.0155833-0.00035106j 0.00928046+0.00152314j 0.00383647-0.017863j 0.0145987+0.0267751j -0.00261358+0.019905j -0.0176284+0.0214232j 0.00766204-0.0919992j 0.0143484-0.0158221j 0.019991+0.0298115j 0.000952441+0.00711368j -0.033418+0.035344j -0.00415858+0.014127j 0.04394+0.0122442j 0.0265642-0.0209074j -0.0110421+0.0313952j -0.0241995+0.0547799j -0.0171189-0.0347998j -0.000981014-0.0181051j 0.0249466+0.0157638j 0.0131631+0.0131337j -0.0291629+0.011646j 0.00753186+0.023408j 0.0202409-0.000818177j 0.0173451+0.0145071j 0.0540363-0.0110807j 0.00395191+0.0291834j -0.0252069-0.109514j -0.00573079-0.00404389j 0.00399544-0.00209156j -0.015001-0.0259362j 0.0220389+0.0310599j 0.0015544+0.00647453j -0.013281+0.0129172j 0.000902159-0.0251941j -0.0154936+0.00175675j -0.0134613-0.00602732j 0.000258982+0.00578251j -0.0277669-0.00650298j -0.0367226+0.00909863j -0.00369283-0.00367716j 0.0170734+0.0282208j 0.0190956-0.0354265j -0.00661149+0.0250659j -0.0103972-0.0169382j 0.0102148+0.00997348j 0.00159409+0.0256533j 0.0345532-0.0634703j 0.0227145-0.00113047j -0.0021818-0.005033j -0.00267978-0.000625756j -0.0116757+0.043077j -0.0512294-0.0231189j -9.6761e-05-0.00177276j 0.0272075-0.00518192j 0.0157173+0.0185423j -0.000176734+0.031169j 0.026185+0.00117178j 0.052549+0.0140059j 0.0350982-0.00635101j -0.0118812-0.000646993j 
-0.00102493+0.0183438j -0.0152246+0.014101j -0.00691692+0.129928j 0.0114606-0.00734868j -0.00298397-0.109971j 0.00599842+0.0115907j -0.0151509-0.0830341j -0.03616+0.111276j 0.0175014+0.0758609j -0.0447273-0.114026j 0.00858509+0.270818j -0.0264299-0.196848j 0.0280125-0.113033j 0.0112545+0.103486j -0.0294286-0.0766601j 0.0599349-0.0554821j -0.000968504+0.0650403j 0.0382113-0.0717558j -0.0374978+0.193828j -0.0425305+0.0480866j -0.00095699-0.0387925j -0.0127349-0.0521175j -0.0138498-0.053566j 0.0123833-0.163026j 0.132445+0.0493099j 0.0127617+0.0175477j -0.0018184-0.0368324j 0.0121056+0.0763332j 0.0345155+0.0203392j 0.0243841+0.0665688j -0.0607067-0.0112254j 0.00370369+0.0946526j -0.0224082-0.0058975j 0.0119978+0.00234063j -0.0115317+0.0708919j 0.0139025+0.035824j 0.0334888+0.0527758j -0.00946903-0.000539727j -0.013665-0.0812843j -0.0749117+0.0369703j 0.0126179-0.0251552j -0.0141217+0.0368308j -0.0309253+0.0299815j -0.00209746-0.00249106j -0.0155851+0.0526901j 0.0323614+0.0315743j -0.00452362-0.0592824j -0.0245851+0.00109556j 0.00598272-0.00986332j 0.0343648+0.0318656j -0.0220936+0.0383444j -0.0114202-0.00542645j -0.0162588-0.0470803j -0.00823338-0.0282834j 0.00285234+0.0244458j -0.0325797+0.0520875j -0.0304207-0.0579431j 0.0449914+0.0504837j -0.027574+0.0170712j -0.0133163-0.0124288j -0.00383515+0.0154389j -0.0133808-0.0114418j -0.022562-0.0148593j 0.0127712-0.0148181j 0.0157441-0.0183706j 0.0348998-0.0137074j -0.000648411+0.0402893j 0.0220819+0.00599766j 0.0194161+0.00468383j -0.00305017+0.00661973j 0.0105864+0.00465612j 0.00879948+0.00624765j 0.0203675+0.0288193j 0.00788792+0.0155962j -0.00413461+0.000292451j -0.021994-0.0521j -0.0198051-0.0073068j 0.0172531-0.0643827j -0.0575974+0.0240027j 0.00623145+0.0361777j 0.00263146-0.0144364j -0.0684808-0.0164811j -0.0623668+0.0453939j -0.00145466+0.0266061j 0.00173479+0.0643689j 0.0640469-0.0968073j 0.0410347+0.0367326j -0.0367294+0.00654037j -0.0145599+0.0374698j 0.0416361+0.0813353j 0.0418547-0.0714315j 0.0436536-0.00585281j -0.157314-0.0201973j 0.0119307-0.0151887j 0.0481825+0.00793725j 
-0.0153307-0.0395436j -0.0123159+0.00795698j -0.026395+0.0294138j 0.015738+0.0321071j -0.00137004+0.155566j 0.0205849-0.0171764j 0.0238352-0.166654j 0.0178063+0.128754j -0.00971505-0.0203312j 0.0144329-0.296928j -0.00410691+0.0264008j 0.00181397+0.0487905j -0.0124855-0.183839j 0.00354399-0.153715j -0.00073471+0.0749751j -0.0285082-0.0705624j -0.00490595+0.0613209j -0.00220841+0.228754j -0.00226585+0.341667j 0.10723+0.108494j 0.00576476-0.226271j -0.0332736+0.0307312j 0.063337-0.0272553j -0.0307057-0.0328539j -0.0358075+0.0123106j 0.008114+0.0128382j 0.000986119-0.0121026j -0.00794482-0.081145j -0.0797467-0.0312736j 0.0335702+0.0124562j -0.0176134+0.0230592j 0.00802934-0.0301779j 0.0346581-0.0733973j -0.0124229-0.0331078j -0.00147726+0.0483238j 0.0486788-0.0276426j -0.0623017+0.0413159j -0.0215915-0.0124731j -0.0409119-0.0319865j 0.0322114+0.0188448j 0.035657-0.0158865j 0.0147119+0.0193453j 0.0151783+0.046983j 0.00871157-0.0621147j -0.000154273+0.0285038j 0.00633276+0.0227321j -0.0102949+0.00365466j 0.00155535+0.0582266j -0.00436547-0.00235214j 0.000421521-0.00566219j 0.000127259+0.0141342j -0.00966024+0.0423264j -0.00854268-0.0102587j -0.0100598-0.0654923j -0.0100172-0.0295929j 0.0138376-0.00350846j -0.0124115-0.0111336j 0.0240854+0.00256736j -0.031787-0.0225351j 0.0277515+0.0352345j 0.0253599-0.0459223j -0.0124373-0.0391884j 0.0022683-0.0288036j 0.0273927-0.0140535j 0.0130251-0.00169967j -0.0260463+0.0030143j -0.00407283+0.044136j 0.0014012-0.0213503j -0.000857724+0.00853246j -0.00905+0.0304559j 0.0106904+0.0136662j 0.0420851+0.00290007j 0.0128334+0.0623774j 0.0842847-0.00445038j 0.00311329+0.00487354j -0.049345-0.0534238j -0.00618491+0.0186955j -0.0453331-0.0876383j -0.0281587-0.0281102j 0.00922409-0.0265298j -0.00237241+0.00593768j -0.0394303+0.117528j 0.0015418-0.045086j -0.00675172+0.0144398j 0.00420023+0.0217855j 0.000676155-0.0654498j 0.104462-0.0235542j -0.00592014-0.0124783j -0.0153533-0.00580348j -0.070187-0.0767887j -0.040916-0.0293631j -0.109919+0.0191129j -0.0515186-0.0127322j -0.0707538+0.0149596j 0.000721875+0.0100165j 
0.00435597+0.00206435j 0.0175289-0.0291682j 0.0106074-0.101264j 0.00231179+0.028438j 0.00870186+0.20788j 0.000198496-0.00414541j 0.00490095-0.00273227j 0.00946959-0.00587698j 0.0189607-0.0211831j -0.0103765-0.295616j 0.0193787-0.395027j -0.0185303+0.216967j 0.0361835+0.0174644j 0.0111634-0.169296j -0.00547242+0.225127j 0.0149242-0.0650163j -0.0152899+0.177552j 0.000129707+0.0795224j 0.00362424+0.157956j -0.0677658-0.0270227j 0.0055737-0.0257072j 0.0289837+0.0968279j -0.00863208-0.0594754j 0.0202993+0.0489474j 0.042132+0.140622j 0.0389921-0.0271148j 0.014268+0.0492448j -0.0226164-0.0391393j 0.0275524-0.0235792j -0.00600257-0.0332291j 0.0527094-0.0870094j 0.00461612-0.125439j 0.00053222-0.0324717j 0.00245897-0.0179253j -0.0186845-0.043453j -0.0700099-0.0614808j 0.0628368-0.0439069j -0.0148145+0.0169839j 0.0417591+0.0351711j -0.0349522-0.0432248j -0.0410984+0.0532806j -0.0130714-0.0242283j -0.0132557+0.0430246j -0.00804904+0.0124104j -0.00582022-0.05359j 0.0137313-0.00414461j 0.00954848+0.0263591j 0.0106866+0.00731604j 0.00989763+0.0314883j 0.00385281+0.0193962j -0.0173477+0.00521245j 0.0215861+0.0531299j 0.0136643-0.0415743j -0.00412032+0.0376478j 0.00103854-0.00706711j -0.00467876+0.0125471j 0.0110847+0.000687944j -1.91407e-05+0.0026538j -0.0244118-0.00347624j -0.000268654+0.0111748j 0.00453814+0.0525281j -0.00585646+0.0428645j -0.000112896-0.0113619j 0.00964801+0.00718269j 0.000938123-0.0594488j 0.000934283-0.000320528j 0.00675871+0.0273689j -0.0221732-0.0459409j 0.0263713-0.00230503j 0.0394908-0.0109944j -0.0118753-0.0146354j -0.0330719-0.0229999j 0.041817+0.00431642j -0.0592185-0.00306588j -0.0270355-0.0116851j -0.0155936+0.014854j -0.00876805-0.0290467j 0.0194907+0.0179276j -0.0422083-0.00464772j -0.0154663-0.00158381j -0.050255-0.0746807j 0.0297932-0.0725835j -0.00237781+0.0447863j 0.00751022+0.000637336j 0.0101262-0.0168738j 0.0031058+0.0414669j -0.0515621-0.00267362j -0.0229822-0.0205667j -0.0499366+0.0337339j 0.0381624+0.0469391j 0.0212978+0.0228117j 0.0823947-0.0211327j 0.0477657+0.00535117j 0.0533153-0.00376854j -0.00660058-0.00739638j 
0.0209275-0.0686763j -0.0276174-0.0243458j 0.0172005-0.136675j -0.0196419-0.0416858j -0.00743273+0.237088j 0.00311018+0.0937316j 0.00486889-0.0144354j -0.0143823-0.0704723j 0.0217288-0.302335j -0.0260969+0.0200558j 0.00293871-0.015117j -0.00901293+0.252041j 0.00715882-0.168252j 0.0139826-0.180979j -0.0247566-0.0423254j 0.0377675+0.00647418j 0.00829533+0.1222j 0.0130022-0.00216009j -0.0260359-0.162686j 0.0130417-0.0326126j -0.0231497+0.0454093j 0.00457466+0.0376181j -0.00474123+0.156369j 0.0222618+0.203207j 0.116248-0.0375919j 0.0273769+0.104983j -0.00201763+0.0638434j -0.000415953-0.178725j 0.0426496+0.0202618j 0.0235093+0.0452518j -0.0559088-0.0444115j -0.0061276+0.0670956j -0.0196276+0.14367j 0.0325+0.0310738j -0.0197344+0.0167279j -0.0085272+0.0662998j 0.00585756-0.0435888j 0.0165828+0.0186876j -0.0119164-0.0351576j -0.00136098-0.0493635j 0.0309476-0.00770611j -0.0194427-0.011225j -0.0340575-0.0429151j -0.00430063-0.0242301j -0.0344266+0.020547j -0.00882351-0.000676845j -0.0175038-0.0129993j -0.0181058-0.00420329j 0.0116063+0.0178802j 0.0407548-0.0140868j 0.00339676-0.0121186j 0.00112115-0.0147694j -0.0430118+0.0664255j 0.00616795+0.0356642j -0.00153046-0.0535815j -0.0164213-0.00048389j -0.0443816-0.00379489j 0.0421127-0.00625724j -0.0384333-0.0292646j -0.0289788+0.00751282j 0.00322965-0.0110973j -0.00939513-0.00380873j 0.00532951-0.00295366j -0.0180143+0.000297237j 0.0224098-0.00117853j -0.0200752+0.0190989j -0.00536405-0.0132744j -0.0106743-0.0256861j -0.0406836-0.00787221j -0.0251553-0.000796219j -0.0197144+0.0101051j -0.00208528-0.0277297j 0.0028281+0.0126729j -0.0021828+0.0286226j -0.015554+0.0016285j 0.0435808-0.0125848j 0.0420043+0.0152062j 0.0365787-0.0389616j 0.058692+0.0645623j -0.00575541+0.0678588j 0.086731+0.0228038j -0.0464034+0.0739565j -0.0197665+0.00382706j -0.0291323+0.0218414j 0.0108222+0.0123692j 0.0401629-0.0814461j 0.0497596+0.0267789j -0.0598201+0.00479513j 0.0114489-0.0505881j 0.0186582+0.0170251j 0.00762123-0.0614875j -0.0200876-0.00811176j -0.10231-0.0126393j -0.0231506-0.0152358j 0.0477223-0.00163296j 
-0.0351803+0.00564936j -0.00267048+0.052625j 0.00849136-1.74186e-05j 0.0106209+0.0111318j 0.0207915+0.0129136j 0.00502909-0.143214j 0.0219326-0.193766j 0.0452897-0.0564162j 0.00252936-0.00496856j -0.00487891+0.0817189j -0.0159245+0.0696747j -0.00713069-0.0678811j -0.0175196-0.332821j 0.00160265+0.0163156j 0.0205273-0.100819j -0.0192499-0.269678j -0.0453682+0.191577j -0.0100978-0.0795697j -0.0123637-0.0567929j 0.000211134+0.0488234j 0.00976861+0.0232622j -0.00394343-0.026952j -0.000885103-0.0379816j -0.0324828+0.0107845j -0.0496309+0.0659375j -0.0153078+0.213029j 0.00393031-0.131427j -0.0153132+0.0730147j -0.0296797-0.117814j 0.00847247+0.0195842j 0.039178+0.0453367j 0.00221338-0.0342321j 0.00358208-0.0725554j -0.019746+0.0230859j 0.0532629-0.0720348j -0.0119464+0.0977003j -0.0388108+0.00287586j 0.00430123+0.0565923j -0.0086352-0.0371309j 0.0208686-0.0145794j -0.0268219+0.0199647j -0.00435924-0.0390367j 0.00719854-0.00517203j -0.00781334-0.0334875j 0.0590002+0.013269j -0.0101753-0.010751j 0.0152271+0.0131417j 0.0101337+0.00230409j 0.0366971-0.00332389j -0.0118969+0.0547651j -0.0263732-0.000585596j 0.0284189+0.0651557j -0.0176625+0.0486304j -0.00711513-0.0282404j -0.0151508+0.0297395j 0.0447769+0.0158453j -0.0278322+0.0460425j 0.00176468+0.0266338j 0.0493094+0.0140873j 7.63454e-05+0.00115923j 0.0615695+0.0363716j 0.0252354+0.00773956j 0.0103667-0.0119105j 0.0114622+0.0144798j -0.00183662-0.0525686j 0.0494786-0.0211954j 0.00275928+0.00850968j -0.0105059+0.0157442j 0.0237221-0.012353j 0.0188461-0.0135524j 0.0250323-0.0155588j -0.0284641-0.00606193j 0.0187467-0.0212755j -0.0229075-0.0241623j -0.00792578+0.0532713j -0.0131403+0.0178523j -0.0408161+0.00230104j 0.0295831+0.0953038j 0.0664093+0.0257409j -0.0169703-0.0146548j -0.0389409-0.0419922j 0.0518636+0.0277416j -0.0225004+0.0327456j 0.0318139-0.0081099j -0.00398408-0.0747798j -0.0535875+0.0475307j -0.0588825+0.0160086j 0.059223+0.0133698j -0.0373997+0.0364132j -0.00938543-0.0143108j 0.00279156+0.0258746j -0.0109505+0.0013262j 0.0445453+0.00279342j -0.0118593+0.0277402j -0.0382078-0.00550132j 
0.0131506+0.0126296j 0.00857792-0.018631j -0.00547825+0.0220503j 0.0329555-0.0864988j -0.0111416+0.016976j 0.00506723+0.163894j 0.00863937+0.0809342j -0.00366464-0.207748j -0.00526534-0.101007j 0.0398491-0.0754279j -0.00652307+0.164563j 0.0142674-0.12201j -0.0276583+0.0206943j -0.0101824-0.0302965j 0.00548662+0.141627j -0.0272144-0.260169j 0.021353-0.199623j -0.0197502-0.322341j 0.0340087+0.207443j 0.0160262-0.072776j -0.00893873-0.000900973j -0.00508864-0.107312j 0.00289602+0.0396728j 0.00175529+0.298719j -0.0815784+0.0468481j 0.0152249-0.141827j 0.00661023+0.128244j -0.00769182+0.0423617j -0.0357154+0.0617681j 0.00267063+0.0460529j 0.0267516+0.00894472j 0.00775775+0.011402j 0.0218957-0.0297443j -0.0157259+0.0104966j 0.00517497-0.00966702j 0.0168566-0.0679873j -0.0246989+0.0390006j -0.0179729-0.0111629j -0.0234592-0.110545j 0.0438906-0.00276819j 0.0133859+0.0858511j 0.000759712-0.0427042j 0.00450902-0.0320018j -2.44259e-05+0.0499286j -0.0271844-0.00235133j -0.0147428+0.0686119j 0.00290324-0.0110065j 0.0230054-0.0207454j -0.00518738-0.0217829j -0.020209-0.0399871j -0.00370333-0.0237698j 0.00564092-0.0164298j -0.0140034+0.0577577j -0.0150997+0.0215761j -0.0388735+0.0247182j 0.0284289-0.0217508j 0.0440948+0.0479988j 0.040297+0.0338035j 0.0151772-0.00936137j 0.000693925+0.0091796j 0.014308+0.0144157j -0.00656274-0.00637704j 0.047964+0.00171381j 0.0198205-0.0364494j 0.0324838-0.00931392j -0.0179223-0.03935j -0.0149635+0.0332773j -0.00496694+0.00591749j 0.00375142+0.0149951j -0.0176696+0.0121385j 0.0034406+0.00401728j 0.0154516-0.00234021j 0.00847596+0.00434444j 0.0346662-0.0158676j -0.0263677-0.0583199j 0.0318444+0.00816756j 0.00226396+0.00485628j 0.0544057-0.00635254j -0.0174121-0.0331524j -0.0663613-0.0445692j -0.0621327-0.0208222j -0.0195287+0.00861617j 0.00425451+0.0164364j -0.0028633-0.00929205j -0.0213669-0.00802025j 0.0191281+0.024732j 0.0683267+0.0120211j -0.0043788-0.0728798j -0.0502765-0.00821552j -0.00752326-0.0147639j 0.00349315-0.00946183j -0.00851449+0.0122768j 0.0402545-0.00629409j -0.0012067-0.0105244j 0.012442-0.0101511j 
0.00630563-0.0387207j -0.0374872+0.018924j 0.0374622+0.00188554j -0.0166411-0.038682j 0.0116887+0.0647495j 0.0371863-0.143685j 0.0431732-0.1717j 0.0860163+0.0302164j 0.0262174-0.180163j 0.0543853-0.0606263j -0.0884666-0.0868535j -0.0296969-0.00468332j -0.173179+0.0558175j -0.0283373+0.0506476j 0.0680112-0.0822883j -0.0195918+0.0655744j -0.0589017-0.175355j -0.00469187-0.00859863j -0.0446672-0.0120645j 0.00711861+0.0159101j 0.00370677-0.213747j 0.0581828+0.175768j -0.128473+0.0180456j -0.0735627+0.133315j -0.0307584+0.080139j -0.0536415+0.106064j 0.0124953-0.0113868j -0.0214439-0.108466j -0.0154827-0.0937911j -0.0131775+0.0223211j -0.0277053-0.0153401j 0.000991331-0.00227057j -0.0275559-0.116865j -0.028132+0.0281152j 0.0425319+0.056479j 0.0587692+0.0779346j -0.0705457+0.0215368j 0.0799805+0.0510118j -0.00432093-0.00288476j 0.0254228+0.0193058j -0.0203507-0.0347498j -0.00902969-0.0344547j 0.0334718+0.0222636j -0.0610496-0.000560683j 0.0237422+0.0472326j -0.0551643-0.00578529j -0.030208+0.0523291j 0.0321317+0.000272146j -0.0189591+0.017147j 0.00555833+0.00773297j -0.00468262-0.0296482j 0.0352872-0.0458858j 0.0416731+0.0400439j 0.0154042-0.0988782j 0.0519078+0.0119789j 0.0527162-0.0208652j 0.0307473+0.0367865j -0.014703+0.0423228j 0.00784193-0.00734283j 0.0193092-0.00669422j 0.00126528-0.103558j 0.00450514-0.0104001j -0.0376053+0.00170827j -0.0228738-0.0228183j -0.020926+0.0229567j 0.0136531-0.00888502j -0.0197813-0.0329565j 0.0187223+0.00068064j 0.00727771-0.0150366j -0.0344272-0.0456184j 0.0190195-0.0105073j 0.0562476-0.00375293j -0.044875-0.0313969j 0.0513014+0.0111023j 0.0439029-0.0446372j 0.00901917+0.0910129j -0.0176635+0.0193894j -0.0155787+0.0921349j 0.0124896-0.0491783j -0.0136554-0.0780295j -0.0608535+0.0993347j -0.0436015-0.036636j 0.0381778+0.00192212j -0.0146059-0.0231814j -0.057108+0.0211187j 0.0171304-0.017297j -0.0689402-0.00758526j 0.0720703+0.0235446j 0.137829-0.000483906j 0.043533+0.0074934j -0.0020527-0.0451355j -0.00357551+0.000356908j -0.0437632-0.011987j -0.0553379+0.00471062j 0.0215533-0.0409262j 
0.00820452+0.0109068j -0.0112953-0.00540272j 0.0360761-0.00133762j -0.0336123+0.0112427j 0.0219575+0.123055j -0.040689+0.0172748j 0.00970621+0.129819j 0.0841785-0.0292113j 0.0651313+0.0731412j -0.0902318+0.115201j 0.0563276+0.0959478j -0.0100778-0.105378j 0.135723-0.118552j -0.0134654-0.0581786j 0.0954422-0.0336641j 0.0130856+0.118094j -0.0925512+0.036047j 0.0323732-0.0371782j -0.0872699+0.0433017j -0.175913-0.033895j -0.0025268-0.103941j 0.185926-0.0352668j -0.126545-0.0953377j -0.0418854+0.0390349j 0.073287-0.0873937j -0.062225-0.0885219j 0.0180404+0.0242223j -0.0343227+0.0507038j 0.0836606+0.14905j -0.0188914+0.00228268j 0.00830646+0.045788j -0.0125218-0.00954077j -0.0500602-0.00281791j 0.00632993-0.0192256j 0.07053+0.00274148j -0.0378082-0.0597798j 0.0430379-0.0245212j 0.0297201+0.0124622j 0.00409579-0.0442644j 0.0485991-0.000590803j -0.0236454+0.00760603j 0.00765428-0.0241978j -0.0233665-0.023126j -0.0130618-0.0326471j 0.0275208-0.0301088j -0.00685537-0.0953296j -0.0233452-0.0377268j 0.0161691-0.00221775j 0.0030629+0.0305537j -0.0131428+0.00713012j -0.00535475+0.0382829j 0.00533158-0.00866231j 0.0131101-0.0177744j 0.0342129+0.0808974j 0.053224-0.0388579j -0.00190197+0.0183614j -0.0181785-0.0829972j 0.0347071-0.0181324j 0.00594207-0.0365316j -0.00220686+0.0206038j -0.00205102+0.0199921j 0.00978907-0.00653947j -0.0248688+0.0101073j -0.00536242-0.00756958j -0.00303592+0.0172116j 0.0135362+0.019403j 0.0280796+0.0200636j 0.00394501+0.027565j 0.000900012-0.0323343j 0.036962+0.0229937j -0.0428737+0.0492359j -0.00574562-0.00856149j 0.0498173+0.0203104j 0.00340816+0.0257906j -0.0588276+0.0139765j -0.0746855+0.0544342j -0.0189417+0.0130436j -0.0433642+0.0292541j -0.0431481+0.0110082j -0.0539157-0.0753868j 0.00225544+0.113548j -0.0533139+0.0387247j 0.034545-0.0249163j -0.0193101-0.018457j 0.00571204+0.00629816j -0.029922-0.00292203j -0.0245801-0.0221197j 0.0144949-0.0240947j 0.149836+0.00954229j 0.00424654-0.00496715j -0.00212517+0.0136j -0.0310363+0.00186655j -0.00839075+0.00757907j 0.00296761-0.0197565j -0.00382422+0.0150895j 
-0.00632801-0.011066j 0.00327605+0.00343568j -0.0202122-0.00760153j -0.0447073-0.0246568j 0.028744+0.010265j -0.0547663-0.0227045j 0.0368565-0.0688707j 0.106263-0.00715495j 0.011942+0.0118301j -0.0476248+0.0246859j 0.12226-0.00545585j 0.0705312+0.0325107j 0.239261+0.102161j -0.0199494+0.00751027j 0.117504-0.0483272j -0.106463+0.0115948j -0.0881235-0.0109134j -0.0234795+0.0355753j -0.0488495-0.0023843j 0.0914679+0.0931705j 0.00406787+0.0281143j 0.140563+0.0380134j 0.0650769+0.0358885j -0.135112-0.00926506j -0.151032+0.00550143j -0.0853508+0.0579348j 0.0346507-0.02568j -0.0761009-0.00894309j -0.0449968-0.0108505j 0.0132868+0.00502695j 0.0444784-0.0214395j 0.00136937+0.0371907j -0.000190898+0.0223905j -0.00747008+0.0271589j 0.0844949+0.0384479j -0.015842+0.0143359j -0.033458+0.0147853j -0.027555-0.0075195j -0.0378486-0.0185139j 0.160933+0.0452307j 0.0555861+0.0174588j 0.0996594+0.0119564j 0.122669-0.0198444j 0.13687+0.0306152j 0.0509203+0.0451476j -0.000862358-0.0137149j 0.0466116-0.0180578j -0.0251794-0.0314242j 0.0415874+0.0388518j -0.0227481+0.0133532j 0.0864429-0.0153633j -0.0124123-0.00161707j -0.0509774-0.0209214j 0.00576967+0.0310129j 0.0178821-0.0143801j 0.0197788+0.0195155j 0.0824857-0.0379663j -0.0150967+0.0293801j -0.0306228-0.00662792j 0.0469797-0.0197474j 0.025837+0.045386j -0.0102066+0.0270038j 0.0365996+0.0192638j -0.0273874-0.0128482j 0.00563584-0.0371873j 0.0151995-0.00633367j -0.00129622+0.00947306j -0.0366481-0.0196999j -0.0205739-0.0250071j 0.0142082-0.0334526j -0.0297778-0.00315916j -0.00915946-0.0216349j -0.0141263-0.0243739j -0.0377403+0.0271713j 0.00824935-0.0229546j 0.033699-0.00629204j 0.00223823-0.0273535j -0.00867421-0.0127956j -0.0173126+0.0489063j 0.0472711+0.0844702j -0.0471711-0.00551665j -0.0181842-0.0502157j 0.00814739+0.0556653j -0.00536969+0.032212j 0.00274597+0.0585162j 0.0809004-0.0640244j -0.0214138+0.000529503j -0.107732+0.00356969j -0.068929+0.00398172j -0.039286-0.0243833j -0.0780841+0.00548204j 0.0529431+0.0280447j -0.0425755-0.0127361j -0.0254525+0.0169415j -0.0112312-0.00603336j 
