1.10679+0.000154802j 0.106726-0.000210639j 0.168767+0.0326299j 0.192973-0.000276043j 0.235557+0.0523198j -0.16733+0.0329941j -0.0535104+0.0982295j 0.13445-0.0638556j -0.0704186+0.0358393j 0.0322232+0.000740337j 0.214196+3.63041e-05j 0.0649836+0.0468537j 0.0684463+0.0359268j 0.140338+0.0490035j -0.0538668-0.0980474j 0.0378139+0.0349551j -0.0229618-0.0643784j -0.0441853+0.0421091j -0.0214147-0.0982025j -0.0846268+0.00308605j -0.0166732+0.0355437j 0.0410663-0.0233082j 0.0470529-0.0467282j -0.00405927-0.0845636j 0.0116654+0.0522581j 0.148477+0.00120562j 0.00325306-0.0192011j 0.0344025-0.000247844j 0.000899059+0.0483182j 0.00073543-0.000420834j 0.012342-0.0518828j 0.0176483-0.0829223j -0.0458452-0.0485656j -0.0415675-0.0223521j 0.015059+0.0348497j -0.0843363-0.000427296j -0.021802+0.0981268j 0.0429347+0.0421795j -0.0235392+0.0638626j 0.0377361-0.0345906j 
0.122097+0.0684028j -0.160088+0.0115765j 0.0122759+0.151645j -0.194057-0.116878j 0.0314618+0.00994494j -0.180953+0.0271141j 0.0179589-0.0334052j 0.0437064-0.00164171j 0.0104396+0.0249814j 0.160531-0.0405554j 0.0334181-0.142979j -0.0692553-0.179886j 0.0107868+0.245834j -0.0623427-0.114131j 0.0411116-0.184482j 0.00912227+0.000859515j -0.015105+0.00545393j -0.029341+0.0279513j 0.0538861+0.034704j 0.063494+0.00556402j 0.0286711+0.0284673j -0.073198+0.0375052j -0.0724822-0.00824777j -0.039-0.0382868j -0.0137112+0.0395524j -0.000540667+0.0214648j -0.0994681-0.0444469j 0.100331-0.0308438j 0.00815466+0.0623159j 0.0403467-0.0957058j 0.085046-0.00321141j 0.0493485-0.00105982j -0.0329373-0.0581309j 0.0338362-0.0519165j 0.136879+0.150959j 0.137211-0.186904j -0.0441836-0.0468061j 0.0584324-0.238993j 0.101836+0.00194853j -0.116078+0.0177659j 
-0.0402104+0.0428364j 0.0507872-0.104803j 0.200522-0.039162j -0.131309+0.12466j 0.0989079+0.10761j -0.0826682-0.109041j -0.0380453+0.0244676j -0.112356+0.0852105j 0.00537962-0.100555j 0.134502-0.154986j -0.112983+0.0214611j 0.0358711+0.0916985j 0.0268221-0.125593j 0.0647052-0.198502j 0.0325769-0.0674647j 0.0221979-0.0473372j 0.119391-0.0709123j -0.0694051+0.00602925j -0.109548-0.0385326j 0.0552667-0.0557202j -0.012377+0.00659729j 0.0219851+0.0190394j 0.0160408+0.00765307j -0.0716521-0.0826479j 0.0915206+0.0464635j -0.0231472+0.00906557j 0.0108858+0.0361781j 0.0298823+0.109251j 0.0136237-0.0324243j -0.0834033-0.0218864j 0.0209254+0.149029j -0.120658+0.0470991j -0.0376934-0.0262079j 0.0182625+0.106489j -0.0782248+0.0779228j -0.128461+0.0375635j 0.0118411-0.0972574j 0.0547907+0.00959669j -0.209261-0.0360012j -0.0319382+0.0433602j 
-0.00947558+0.0690009j -0.0294862+0.0571242j 0.0313476-0.0551603j 0.0599929-0.162425j -0.100054-0.113595j -0.0548242+0.185696j -0.0346454+0.0543576j -0.132691+0.00595581j -0.0602055-0.0358295j 0.225432-0.058403j -0.0193315+0.0818725j 0.126847+0.0625666j 0.349536-0.377835j -0.186147+0.0394339j -0.00223244+0.200548j 0.0186442-0.0310825j 0.100623-0.00480809j -0.0222227-0.0403515j -0.0527321-0.0230638j -0.0144452-0.012401j -0.0200582+0.0340724j 0.0113943-0.061492j -0.0192312-0.0905176j -0.0185716-0.0112401j 0.0521211-0.00724597j -0.0309601+0.12311j 0.00616981+0.0487305j 0.0394997-0.029625j -0.0045404+0.0742087j -0.0165828-0.10374j 0.119103+0.0144179j 0.105708-0.0591069j -0.113982+0.124577j -0.0853744+0.0225753j 0.156703-0.0360883j 0.0833087+0.0119928j -0.0603719-0.118292j -0.175927-0.0237278j 0.0768701-0.0368464j 0.0215708-0.107167j 
0.1334-0.0880939j 0.14727-0.0364347j -0.0800837-0.077948j 0.129276+0.0390099j -0.0519299+0.105458j 0.0181523-0.121571j -0.0218709+0.115555j -0.115422-0.159633j -0.275414+0.0642374j 0.0432724+0.0903416j -0.00147622-0.05287j -0.138204-0.136149j -0.134865+0.225427j 0.0225515+0.0233014j 0.00020252-0.084423j -0.0153191-0.00766869j 0.0430548+0.0136581j 0.103533-0.0302316j -0.0263955-0.0453179j -0.0770415-0.0684371j -0.00332213+0.0290958j 0.0392503+0.0186536j -0.0483432+0.0155462j -0.0333074+0.0165497j -0.0604207-0.0653167j 0.00533829+0.137042j -0.0963193+0.166372j -0.09589+0.0287379j -0.0406337-0.0531937j 0.0380844+0.0319376j -0.0441332-0.0107689j -0.0498667+0.0368j -0.121798+0.162414j -0.123508+0.165535j -0.0771766-0.0311442j -0.00504232+0.0511235j 0.0382616+0.0129957j 0.0325655-0.0166133j 0.00526989-0.0155078j 0.0037087+0.0479234j 
0.0633516-0.13134j 0.0232861-0.039331j -0.0102178-0.0407944j 0.0687463-0.0539049j -0.00589684-0.141125j 0.119701+0.117142j 0.00116963+0.00526797j -0.028428+0.0239482j -0.0430952-0.0679976j 0.231633+0.262076j 0.156765+0.228389j 0.44712-0.0173579j 0.111506-0.0157148j -0.307842-0.136382j 0.275744+0.211813j -0.00248452+0.00242232j -0.00846577-0.00220521j -0.0108244+0.00954665j -0.0269182+0.00162879j 0.0225832+0.0136318j 0.00983265+0.0145027j -0.0509877+0.0302365j -0.0504548+0.0325532j -0.0248305+0.0119367j -0.00864287-0.0312031j 0.037953-0.0101631j -0.0455648-0.0165718j -0.0318127+0.0231077j 0.0220033-0.0438911j 0.0275948+0.0440655j -0.00948652+0.0475244j 0.00393472+0.0868766j 0.0296396+0.0134833j -0.0415418-0.0104977j -0.077453+0.0833119j 0.000996642+0.0798699j -0.0226146+0.0135931j 0.0672711-0.0290618j -0.0728785+0.0584225j -0.0986051-0.119116j 
0.0322005+0.000263361j 0.0627681-0.000817194j 0.11922-0.253986j -0.026972+0.00337617j 0.369191+0.0849486j -0.119898-0.257722j -0.00726676+0.00819299j -0.0040188+0.12389j -0.113647-0.136027j 0.324778-0.00229495j -0.086517-0.00357158j 0.0902325+0.0673438j 0.107479-0.133739j -0.0132765-0.123004j -0.00867969-0.0139984j -0.0276918-0.0558143j 0.0036248-0.0677624j 0.0671859+0.120396j 0.135789-0.0854561j 0.013308-0.000565181j 0.0348982-0.131118j 0.00856807-0.0193948j -0.0646429+0.0520135j 0.0674495+0.0465595j -0.213401+0.0935002j 0.0529782-0.00179269j 0.00216899-0.0152024j -0.138597+0.00143214j -0.0018407-0.0577366j 0.201341+0.000373492j -0.216614-0.0910173j -0.0753196+0.035437j 0.0668544+0.0505122j -0.0062825-0.0193683j -0.0384848-0.130293j 0.0119766+0.000904049j 0.136515+0.087778j -0.0630855+0.122189j 0.00281416+0.0665302j -0.0274423+0.0593433j 
-0.067888-0.12996j -0.0242813-0.0396697j 0.122729-0.118561j -0.0716615-0.0537343j 0.0687017-0.124768j -0.0132834+0.038834j -0.273737+0.205599j 0.29536-0.165313j 0.116917+0.00316719j -0.230374+0.261316j -0.159127+0.226388j -0.125676-0.422999j -0.0398271+0.0572983j 0.0323968+0.0159904j -0.00290258+0.0071945j 0.10321-0.120103j 0.0688098+0.059866j 0.0656422+0.0318429j 0.0248992+0.0134326j 0.00214936+0.0785944j -0.0766438-0.0848791j -0.0430253+0.00877859j 0.0286305-0.0173242j 0.0193293-0.0860425j 0.00954695+0.0503077j -0.0383669-0.00999254j -0.0481266+0.00011357j 0.0329764+0.0222368j 0.0232927+0.0438759j -0.0278544+0.0422128j 0.00877008-0.0314164j -0.0244108-0.0174316j -0.0502921-0.0358764j -0.0492923-0.0331184j 0.0110146-0.0168896j -0.0214858+0.012043j 0.0267446+0.00212071j -0.0113045-0.00871131j 0.00814066-0.00177071j 0.0028765+0.00351881j 
-0.13452-0.0814082j -0.14625-0.0339004j 0.0134184+0.119158j -0.127113+0.0348113j 0.00288289+0.11774j -0.0787748+0.0779357j 0.00147344-0.0835981j -0.0176679+0.0260684j -0.123208-0.21459j -0.0567205+0.0768366j -0.000158371-0.0581882j 0.168419+0.090182j -0.276473-0.0673134j 0.106543-0.167517j 0.017205+0.115729j -0.00374738+0.0479936j -0.00648432-0.0189247j 0.0286477+0.0211872j -0.0363757+0.00818926j 0.00339327+0.0478973j -0.0695455+0.032416j -0.12623-0.16602j -0.126519-0.163319j -0.0412237-0.0396692j 0.0418916-0.0090629j -0.00244342+0.143381j -0.0492926-0.187916j 0.0927436+0.0256173j -0.0383039+0.0535041j -0.0389369+0.0250765j 0.0597346-0.0645412j -0.0308067-0.0212562j -0.0503551-0.0116042j 0.0410523-0.0183492j -0.000397027-0.0331589j 0.0727132-0.0742431j 0.0259235-0.0477225j 0.098818+0.0314334j -0.0444864+0.0102528j 0.0168958-0.00747448j 
0.0149786+0.0709068j 0.0336903+0.0569691j -0.0526582-0.193416j -0.0575853-0.16413j 0.142041-0.064288j 0.031929+0.0505873j 0.00329166+0.206488j 0.189334+0.0202022j 0.352401+0.384677j -0.217312-0.0543076j 0.020388+0.0877601j -0.1064-0.10137j -0.0485612+0.0358668j 0.129224-0.00405701j 0.0344783+0.0526123j -0.0238291-0.108817j -0.0766889-0.0383484j -0.174502+0.0222002j 0.059711-0.120641j -0.0815306+0.014848j 0.159038+0.0347224j -0.0806724-0.0169701j -0.110009-0.116454j 0.0982496+0.0763966j -0.123665+0.0143025j 0.0334694+0.120415j 0.0198858-0.0401023j -0.0445795-0.0295475j -0.00562975-0.0757157j 0.0203632-0.103925j -0.0569532-0.0055599j -0.0199905+0.0103446j -0.016399+0.0945861j 0.0109492+0.0623435j -0.0220511-0.0347956j 0.0134397-0.010547j 0.0539448-0.0193864j -0.0260159+0.0414599j -0.0978216-0.00603174j -0.0184696-0.0298039j 
-0.0420382-0.0425621j 0.0503037+0.104698j 0.0813441-0.108574j -0.130596-0.123332j 0.13589-0.053695j -0.201929-0.0417073j 0.0328875+0.0636327j 0.0815978+0.191855j -0.0296967-0.13108j 0.133132+0.150775j -0.112818-0.0249869j 0.100454+0.00575956j -0.00822539-0.103939j -0.119901-0.0758403j -0.0403632-0.025699j -0.03257-0.0441592j -0.21056+0.0296687j -0.053096+0.0140576j 0.01247+0.0968962j -0.128887-0.0334586j 0.0787086+0.0753708j -0.0164387+0.105452j 0.036262-0.0265054j 0.112681+0.062626j 0.0187395-0.149545j -0.0227365-0.00714176j -0.0204093+0.0310129j 0.0292978-0.110655j -0.0151003-0.0334503j -0.0838461+0.0217724j 0.0938831-0.0472418j 0.0823923-0.0708552j -0.0167294+0.00877258j -0.0229077+0.0211155j 0.0145396+0.00556439j 0.0589389+0.0528381j -0.112004+0.03715j 0.069436+0.00630379j 0.11705+0.0726971j 0.0207813+0.0466622j 
-0.119707+0.0713293j 0.159532+0.0102123j -0.180208-0.0284214j 0.196194-0.114459j -0.0330831-0.00726416j 0.0145574-0.153173j -0.0387389-0.182352j 0.0523946-0.116607j 0.0195395-0.233383j -0.163539-0.0470923j -0.0296543-0.145597j 0.192412+0.00868645j 0.0162259-0.0227839j -0.0430988+0.0049468j -0.0175773-0.0351996j 0.114704+0.0261923j -0.101627+0.000370401j 0.0599392+0.23897j 0.0404516-0.0459872j -0.144649-0.185187j 0.137165-0.154481j 0.0374008+0.0495416j -0.0291996+0.0622909j 0.0475449+0.0117235j -0.0891408-0.002057j 0.0041317+0.0183671j -0.105506+0.0195134j -0.103721-0.0284159j 0.00452009-0.063285j -0.038551-0.0961652j 0.0119509+0.0426338j -0.0448205+0.0338438j -0.0687034+0.011582j -0.0723442-0.0357955j 0.0265272-0.0270416j -0.0643461+0.00850701j -0.0537582+0.0354373j -0.0306771-0.0270688j 0.0139501+0.00613334j -0.0104592-0.000273353j 
-0.017688-0.0383j 0.00716984+0.0399763j -0.0224142-0.0270053j -0.0210722+0.0517868j 0.0321673+0.193297j 0.0323886+0.101378j 0.0253124-0.215503j -0.162999-0.0924372j -0.178787-0.251952j 0.161698-0.0369851j -0.0839163-0.0260663j 0.069685+0.0325383j 0.000601955+0.0546443j 0.0405165+0.0288508j 0.00874984+0.0238792j 0.129798-0.141834j 0.0683004+0.229276j -0.174956-0.147945j 0.057033-0.102525j -0.0103071+0.205802j 0.0421217+0.0353369j -0.0585007+0.017584j 0.0219903-0.124829j 0.181664+0.0108041j -0.0503571+0.0302973j -0.0609772+0.00859548j 0.0199417+0.0043003j -0.00902482-0.0323011j -0.0226754-0.00526343j 0.00369205+0.0163865j -0.0726357-0.0532461j 0.0441015-0.0834742j -0.0435003-0.01709j -0.0476213+0.01102j -0.0032387-0.0225931j -0.0256188+0.0103234j 0.139843+0.00567986j -0.0644854+0.00580821j -0.052384-0.0358031j 0.0049205-0.00631375j 
-0.0152001-0.0442875j 0.0378426+0.185276j -0.223224+0.259426j -0.00871879-0.154609j 0.0658857-0.0619767j -0.0313176-0.0949288j 0.065257-0.0638815j -0.18086-0.0419231j -0.168661-0.0582546j -0.0396367+0.00779111j 0.0699677+0.0453913j -0.0627018+0.00503574j -0.0155193-0.0268797j -0.0095993-0.0141478j -0.00234058-0.00783436j -0.209559-0.352084j -0.138939-0.251631j -0.0257698+0.182444j 0.177116-0.00587781j 0.0622328-0.0157196j -0.0188669-0.0243297j -0.0639083+0.113514j -0.0615972-0.0228478j -0.0728774-0.0724804j 0.0136955+0.0937511j 0.00524399+0.0168271j 0.00470784-0.0372741j 0.0582967-0.0633105j 0.118487-0.0387003j -0.00949078-0.0630308j -7.41405e-05+0.00365717j -0.0913754+0.0692837j -0.00254593-0.00428513j 0.0309656-0.026823j 0.0203278-0.00173208j 0.0111326-0.0271461j -0.0758722-0.00652247j 0.0167389-0.00743153j 0.000626031+0.00648854j -0.00902846-0.00484887j 
