0.00950915+0.00888031j -0.0160316+0.0184183j 0.023009-0.0443133j 0.0354476-0.102075j 0.0652162-0.077793j 0.323039-0.0437403j -0.385412-0.136743j 0.00426674-0.00995537j -0.0192483-0.0124929j -0.0319528-0.00858391j 0.0551806-0.0163385j -0.000721828+0.00504149j -0.0265195+0.0324932j 0.0464902+0.0817113j 0.126635+0.240485j 0.132397-0.146003j -0.187096-0.0034663j 0.200103-0.123696j 
0.0137171+0.000648048j -0.00464608+0.000513705j -0.0207129-0.0891345j 0.0600861+0.0651282j -0.205927+0.0610977j 0.0083853+0.136969j 0.0253587+0.0295693j -0.0127581-0.00519901j -0.00531077-0.0217642j 0.0568104+0.0160141j 0.0319041+0.00846134j 8.11899e-05+0.0230761j -0.0873245+0.0439501j 0.319796+0.270617j 0.085923+0.00551999j -0.0440338-0.199474j 0.0222383-0.0279741j -0.0015612-0.000832157j 
-0.00685559-0.0288385j -0.0721158+0.0121903j -0.0378694+0.00516246j -0.0483575+0.237618j 0.0700116+0.0226749j 0.100076+0.0353257j -0.111041-0.0191679j 0.003049+0.00290579j 0.0253157-0.0494665j -0.00017868-0.0537692j -0.0366892+0.0722335j 0.0467598-0.0273371j -0.118337+0.00792703j 0.0810693-0.255763j 0.143498-0.41299j 0.0426849+0.0696869j 0.0236167-0.0703592j 0.0171296-0.0165291j 
-0.00848552+0.0238697j 0.0222311+0.00462847j 0.059442-0.0305618j -0.0696177-0.0622825j -0.162326-0.266573j -0.0991836-0.0237634j 0.044578+0.0213861j 0.00310976+0.0154644j -0.00312466+0.024184j -0.00822201-0.0489814j 0.0187509-0.0945136j -0.0105439-0.006612j -0.014751+0.129508j 0.156891-0.432793j -0.0606896+0.132822j -0.05903+0.0323956j 0.0135925+0.0415017j -0.00237231-0.0117154j 
-0.0511428+0.00673313j -0.0220255+0.0219799j -0.181126+0.0999183j -0.150091+0.118805j 0.0375088-0.155129j -0.0172049+0.00272164j 0.03128-0.0459888j 0.0307932+0.0249427j 0.0346822+0.0292748j -0.0997613-0.0980594j 0.0481247-0.0370999j 0.0233692+0.0584768j -0.196171-0.326541j 0.0890215+0.133502j -0.0337723+0.16484j 0.0887173+0.166649j 0.00146073+0.0105435j -0.0114955-0.0357831j 
-0.0342965-0.0471186j -0.0165594+0.00413614j -0.0376932-0.151298j -0.150007-0.110781j 0.178244+0.102249j -0.0232965-0.029057j 0.0508804+0.00749141j 0.0128999-0.0343788j -0.00189863+0.0198643j -0.0890758+0.172809j -0.0347161-0.174691j 0.0905832-0.137874j -0.19497+0.323215j 0.021925-0.0518913j 0.0464686+0.0370548j 0.0987532-0.0925434j -0.0383877+0.0290968j -0.0293335+0.0208072j 
0.0420689-0.0214501j 0.1037-0.0280747j -0.158741+0.265657j 0.0721198-0.0675564j 0.0610746+0.025219j -0.0247734+0.00463038j -0.00730217-0.0232507j -0.00255861+0.0083634j 0.0122949-0.0453444j -0.0617935-0.0401809j 0.0594868+0.128876j -0.155993-0.435821j 0.0130955+0.124486j 0.0123798-0.00307143j -0.0163194-0.0853733j -0.00807504+0.0494995j -0.00206445-0.0233135j 0.00342017-0.013246j 
-0.107397+0.0193965j -0.10577+0.0295909j 0.0666262-0.0174962j 0.0488523+0.243337j -0.0392576-0.00378146j 0.0747341+0.0191811j -0.0090769+0.0297832j 0.0191767+0.0244156j 0.0241733+0.0748687j 0.0468089-0.0702429j -0.142641-0.413315j -0.0821067-0.249288j 0.120438+0.00143591j -0.0447931-0.0186498j 0.0347184+0.0650515j -0.00273077+0.0493558j 0.0248803+0.0428669j 0.00189823-0.00628659j 
-0.0270502+0.0338839j 0.00355503-0.140305j 0.207135+0.0517383j 0.0559184-0.069351j 0.0197136-0.0889207j -0.00399752+0.0026441j -0.0121645-0.000221775j 0.00105557-0.00339963j -0.0232763-0.0359299j 0.0452154-0.206884j 0.0870553-0.00906488j 0.317747-0.267196j -0.0857147-0.0460453j -0.0044259-0.0195031j 0.0307154-0.00417819j -0.0556736+0.0115447j 0.0071665-0.020894j 0.0123341-0.00281893j 
0.0461461+0.109976j -0.00692145+0.205637j -0.155505+0.0114243j 0.233437+0.0397904j -0.0173545+0.0158409j 0.032532-0.0653696j 0.0271569+0.000581046j -0.0191559+0.0668317j -0.0318018+0.100862j 0.0376926+0.170283j 0.293223-0.215263j 0.0845314+0.0122056j 0.0289832+0.0973369j 0.0232248-0.00577291j -0.0663463+0.0419738j -0.00112697+0.0358257j -0.0283377+0.0295671j 0.0011322-0.0112698j 
0.0453577-0.0317917j -0.139651+0.174265j 0.131593+0.276493j -0.0665818-0.00671208j -0.0831637-0.0483571j 0.0479688+0.0401819j -0.0124387+0.0215393j -0.0250571+0.054103j 0.136792+0.0783166j 0.0728741+0.283629j -0.130071+0.0986426j 0.144707+0.023927j 0.0667586+0.139528j 0.0359537+0.0605199j 0.00985842-0.000505446j -0.0229798+0.0240632j 0.0330047+0.0459267j 0.00663268-0.00517876j 
-0.0360311+0.220291j -0.150628+0.118305j -0.149214-0.0747187j 0.0187792-0.0558196j -0.00403571+0.00310684j -0.0349911+0.0283449j 0.000735219-0.00934572j -0.00789639-0.0829415j 0.06657-0.415015j 0.111669-0.202908j 0.013292+0.0978529j 0.0436677-0.0424175j 0.0980602-0.0394457j 0.0292203-0.0272441j -0.00627779-0.0290991j 0.0114836-0.0586473j 0.0204638-0.0112005j -0.00541578+0.023274j 
0.0755236-0.155616j -0.211847-0.23796j -0.238213+0.0114002j -0.077755+0.000337032j 0.0387776-0.0480631j 0.0137428+0.0490519j -0.0182163+0.00727373j 0.117528-0.0301672j 0.0728981+0.195717j 0.285316+0.034711j -0.00731814-0.0394484j 0.0216154-0.0192691j 0.0646602-0.0446596j 0.020889-0.0250679j 0.0342239+0.0418056j 0.0408345+0.0217514j 0.0269398-0.00493585j -0.0127523-0.0122351j 
-0.00747869-0.259848j 0.0224644+0.165757j 0.0338252+0.0181598j 0.034314-0.0172298j -0.0206601+0.0166662j 0.00846734-0.0175005j 0.0107187-0.00380292j 0.0386607-0.567385j 0.00307134-0.12771j 0.00888444-0.106437j 0.0120191+0.0188935j 0.00749467+0.023315j 0.00965664+0.0502619j 0.00474768+0.0185885j -0.00915103-0.00773741j 0.00262156+0.00629938j -0.00155928+0.0263662j -0.000542502+0.0054018j 
-0.259916-0.160797j -0.328288+0.0672647j 0.0368724+0.0764928j 0.0427485+0.0588048j -0.0394312-0.0391266j 0.0138879-0.0234452j 0.0109147+0.0138981j -0.0570046-0.0695514j -0.32431+0.0160223j -0.0837854+0.0691905j 0.0770942+0.00212611j -0.00710862-0.0111544j 0.016528-0.0162602j 0.00430889-0.00444506j -0.032331+0.018369j -0.0348402+0.0157608j 0.00537655+0.00328762j 0.0171845-0.00354928j 
-0.347428+0.0825379j 0.150237+0.111545j 0.0495059-0.00143745j 0.00234215-0.0210321j -0.00414296+0.019773j -0.0131993-0.0170445j 0.00136835-0.00933196j 0.400338-0.0193674j 0.0549092-0.0679213j 0.0473246+0.0117908j -0.00748906+0.0205759j -0.0108579+0.00642659j -0.0252645+0.0197158j -0.00875835+0.00817856j -0.00558812-0.00998913j -0.0113155+0.000880461j -0.0180932+0.00329793j -0.000579396+0.00102266j 
