-0.47434+0.000154756j -0.124551-0.263167j 0.124479-0.261825j 0.132469-0.0450387j 0.0221307-0.122698j -0.136257-0.127475j 0.137107-0.127231j 0.0223166+0.120459j -0.131525-0.0453883j -0.00913604-0.0598405j 0.0214036+0.0347828j -0.125586+0.0333919j 0.0176938+0.0721851j 0.0659954+0.0251609j -0.0115985-0.126528j -0.09648-0.0491916j -0.00334108-3.24089e-05j 0.0985909-0.0485945j 0.0110011-0.123091j -0.0669022+0.0279507j 0.0185928-0.0726454j 0.124198+0.0350763j -0.0196082+0.0353661j 0.00952828-0.0591083j 
0.166059+0.117527j -0.0585084+0.221293j -0.188915+0.125308j 0.0734373-0.229722j -0.189603-0.101194j -0.0267054+0.128546j -0.112334+0.0704227j -0.157911-0.144102j 0.193531-0.144046j 0.0139361+0.0794319j -0.120952+0.0271397j 0.0703931-0.0470179j 0.0148252-0.0430833j -0.00660741-0.0397891j -0.165303-0.116112j -0.220734-0.00469001j 0.0524307+0.0369015j 0.0828696+0.20976j 0.169619+0.114606j 0.0341211-0.0102568j -0.0342217+0.0267712j 0.0199368-0.087548j 0.0146247+0.121557j -0.0761806+0.011767j 
-0.163282-0.114832j -0.193061-0.0261591j 0.233061-0.0470847j -0.113063-0.295859j -0.292586+0.126204j -0.0340296+0.240038j -0.167893-0.0340621j -0.0298597-0.0237971j -0.0266128+0.0151373j 0.154232+0.0649888j -0.0648169-0.08762j 0.0362626-0.167391j 0.121684+0.136527j 0.00863158-0.214437j -0.167257-0.000907853j -0.0100558+0.12581j -0.087078+0.0511021j 0.0874649+0.121479j 0.0798401-0.0185647j -0.0174948+0.0239241j 0.0796681-0.0253589j 0.0228009-0.0349702j 0.0714515+0.00609184j 0.00546617+0.0185594j 
-0.117773-0.00698122j 0.0925839+0.029948j -0.255489+0.0449977j -0.0848796-0.157802j -0.0636608+0.260712j 0.0221858+0.0160113j 0.14423+0.087274j 0.0164699+0.00965274j 0.0215413-0.0148806j 0.237988-0.101308j 0.0371567+0.162889j 0.22711+0.216691j 0.0630952-0.0713878j 0.00918167+0.189645j -0.0353838-0.0835867j 0.0113724-0.169047j 0.123084+0.0139915j 0.0793667+0.0646885j -0.0838675+0.00392979j -0.0337989-0.023132j -0.156364+0.0828944j -0.03642-0.00171688j -0.0757417-0.0547627j 0.00785926-0.00919827j 
0.0804035-0.144023j -0.383992+0.150015j 0.0558637-0.0743271j -0.0136533+0.147416j 0.186335+0.180333j 0.0476293+0.0356275j -0.0141908-0.010055j -0.00107771-0.00442017j 0.00236029+0.00570886j -0.0401123-0.36875j -0.116189-0.278789j 0.150452-0.185134j 0.226827+0.0107377j 0.0809409-0.00156261j 0.0175475-0.0644542j -0.103144+0.0270752j -0.0236476+0.0423916j -0.0968399+0.0337151j 0.0272928+0.0356848j -0.00232544-0.0304779j 0.0873184+0.0147564j 0.0341304-0.0120638j 0.0117645+0.0129758j -0.000484285-0.000872437j 
-0.048648+0.0518223j 0.0395107-0.0600652j -0.0850465+0.188071j -0.012115+0.00971905j 0.00280893-0.0119405j -0.037309+0.0631683j -0.000268635-0.105818j -0.054707+0.0917145j -0.223803-0.253069j 0.00192415-0.000420975j -0.00347792-0.00170345j 0.000982212+0.00445768j -0.00743664-0.00188127j -0.0119595+0.00123403j 0.00960694-0.00559255j 0.0183548-0.0127986j 0.00667813+0.0202687j -0.0119538+0.000178918j -0.0538677+0.0311758j -0.0425868+0.0378645j 0.0356609-0.0475309j -0.158155+0.142964j 0.153469-0.120074j -0.139961-0.0756573j 
-0.0334633-0.0251145j -0.00721997+0.0965102j -0.0341677-0.0238566j 0.00963202-0.0466542j -0.0165563-0.00726839j 0.0213152-0.0975447j 0.128433+0.117159j 0.143381+0.0616518j -0.0229564+0.0921288j 0.0045547-0.00397412j -0.00228656-0.00057216j 0.00391871-0.00887752j 0.0154333+0.00725887j -0.000803597-0.0158154j -0.00509541+0.00352202j -0.0170002+0.0450197j 0.0251987+9.56368e-05j -0.0300723+0.0416677j -0.0538468-0.0795214j 0.0676354-0.0649554j -0.138644+0.0169635j -0.0975151+0.269463j 0.109489-0.127485j -0.0636082-0.146915j 
0.0871453+0.102355j -0.038597+0.0522877j 0.132316-0.0240317j 0.0205476-0.0645171j -0.0433533+0.000780378j 0.0432213-0.152463j 0.173499+0.177907j -0.0510695-0.0372047j 0.150863-0.0580079j 0.00289775-0.00244186j 0.00907407+0.00212536j 0.0126304-0.0151974j -0.0295894-0.00649701j 0.0101774-0.0221382j 0.00206083+0.00330985j -0.0256816+0.0361517j 0.0349417-0.000294452j -0.0123798-0.0186483j -0.127117+0.182644j -0.0081426+0.109758j -0.0317812-0.0409213j -0.038305-0.20182j 0.0825263+0.100223j -0.0228614+0.0932818j 
-0.00269836-0.0326956j 0.0106441-0.0538284j -0.0460472-0.097101j 0.0126537+0.00242675j -0.0791084-0.00487692j 0.164377+0.0202539j -0.0888451+0.0306378j 0.107453-0.0480641j -0.122909+0.027497j 0.00427255-0.00317998j -0.0103964+0.0144777j -0.00568449+0.00248447j -0.0700591+0.0228458j -0.0254567-0.0593581j 0.0395578-0.0264077j -0.0324096+0.10983j 0.073182-0.00751874j 0.028162-0.113555j 0.102231-0.0411425j -0.0898608+0.173959j 0.131254-0.0968527j 0.0529589-0.11649j -0.0767386-0.17154j 0.0603849-0.00212348j 
0.0983884-0.0152817j -0.114135-0.0361411j -0.105474+0.0139243j -0.0183761-0.0857489j -0.0710677+0.0141907j -0.0587104-0.0853228j 0.118095-0.0347409j -0.071144+0.190853j -0.0509638+0.0712951j 0.0101956-0.0183498j 0.0194484-0.0114618j 0.00447214-0.0366447j -0.0610111-0.00913874j -0.00500667-0.0283002j 0.0191656+0.00789185j 0.054332-0.0817929j 0.147487+0.0113398j 0.0390428-0.00876159j 0.0718107-0.07493j -0.0626614+0.00557545j 0.118473+0.0238555j 0.171036-0.22455j -0.11335+0.163108j -0.0201992+0.0685262j 
0.0164318-0.0587713j 0.145401+0.0727656j 0.00615363+0.0912734j 0.0446535+0.0327479j 0.0125027-0.0212201j 0.0471434+0.0255329j -0.150006-0.0937989j -0.10702+0.111246j 0.0351242+0.158173j -0.00981065+0.0158642j -0.0115318+0.0114768j -0.00524755+0.0233139j -0.00649981+0.0148067j -0.00438595+0.0258499j 0.0146519-0.0287706j -0.117252+0.109532j -0.188621-0.0409265j 0.0463422-0.105678j 0.0258986+0.0557643j -0.0117847+0.142153j -0.0259763-0.088504j 0.209345-0.365804j -0.112122+0.124603j 0.0340386+0.128599j 
-0.02126+0.0260856j -0.00362736-0.109444j -0.134655-0.0287284j -0.0150579+0.123236j 0.0924555+0.0956871j 0.0334552-0.0181703j -0.0529091-0.0186354j -0.119676+0.159764j 0.0606121+0.143652j -0.00630207+0.0244826j -0.0265371+0.031655j 0.00406745+0.0384288j 0.0530185+0.0566908j 0.0844684-0.0826589j -0.0562914+0.0215167j -0.0111852+0.0634119j 0.170643-0.0221844j 0.0101395-0.0288855j 0.282897+0.292774j 0.0881217+0.129553j 0.022621+0.00315266j 0.0798452-0.170331j -0.174949+0.0168926j 0.241288+0.146136j 
-0.110993+0.0656311j -0.032089+0.0748822j 0.127505+0.0165068j 0.00851278-0.130154j -0.104645-0.0648686j -0.0900637-0.0598232j 0.0394742-0.0552259j -0.123927+0.078315j 0.12784+0.0434005j 0.00427316-0.0277742j 0.031183-0.0209058j 0.00403288-0.0342924j -0.136658-0.081173j -0.108284+0.0110119j 0.0737986+0.00408955j 0.0484286+0.00844074j -0.12155-0.0217885j 0.0210487+0.0424442j 0.345047+0.277421j 0.0827965+0.0301283j 0.0481143+0.0436129j 0.0349824-0.0110659j -0.194498-0.0329662j 0.258721+0.126959j 
0.0434485-0.0654924j -0.0787505+0.136j 0.0333886+0.0529129j 0.0749002-0.0276789j -0.0802205+0.0306689j 0.201484-0.176593j -0.0472793-0.111757j -0.0304518-0.197307j -0.018597-0.133336j 0.0144333+0.0234522j 0.0146661+0.000178146j 0.0167167-0.00882104j -0.0675696+0.0800018j 0.0851125-0.100196j 0.00582111+0.0360011j 0.110024+0.0103219j -0.118485+0.146657j 0.0590531-0.118632j 0.0631318+0.0911477j 0.0457709-0.137805j 0.123847-0.117411j 0.072644-0.0538136j -0.0432485-0.0600718j 0.008056+0.0160186j 
-0.0540399+0.0652007j -0.0162062+0.00194288j 0.076525-0.0489418j 0.0295055+0.0406633j -0.0407167+0.027512j -0.00494564-0.133617j 0.0731532-0.104363j 0.0473404-0.251221j -0.0936727-0.0990121j -0.00523848-0.0188746j -0.0375046+0.0187353j -0.0115382+0.027608j 0.0151952-0.0731349j -0.135139+0.0803887j 0.0704604-0.0807123j 0.00128213+0.173721j 0.212173-0.186468j 0.0417119+0.019943j 0.16892-0.0886576j -0.253153+0.395249j 0.147504+0.0274195j 0.0641597-0.145796j -0.0335368-0.0894403j 0.00800125+0.0117524j 
0.057106-0.000719761j 0.0614271-0.0177917j -0.060898-0.0170295j 0.047635+0.0736288j 0.0727641+0.0221473j 0.0473335-0.00546339j -0.047415-0.00558905j 0.0716656-0.022589j -0.0486188+0.0713969j -0.00815134+0.119792j -0.0902945-0.0906916j 0.198964-0.0232162j -0.00457835-0.0759386j -0.0683461+0.0267308j 0.00274743+0.117851j 0.0917182+0.0610422j 0.00658237-0.00161038j -0.0952375+0.0570222j -0.00750709+0.113779j 0.0677486+0.0270934j -0.00835883+0.0760226j -0.197418-0.0299753j 0.0886683-0.0907149j 0.00365435+0.118371j 
0.015722-0.126346j 0.120984-0.0317272j 0.107015+0.0609771j 0.0209933+0.0962393j 0.0872235+0.0343351j 0.0787295-0.06879j 0.0569809+0.0880089j -0.090347+0.00992682j 0.0461053-0.0846385j -0.0247537+0.115939j -0.133358-0.0965954j 0.173277-0.00991753j -0.0895007-0.0162128j -0.0808285+0.0505763j 0.0565185+0.09813j 0.0492527-0.0370023j 0.00131676-0.00875297j 0.0395522+0.0484038j 0.0779755-0.0806343j -0.0672703-0.0665423j 0.0917078+0.00609378j 0.164191+0.0556079j -0.150994+0.0595647j 0.00706701-0.117555j 
-0.0393094+0.000850327j -0.020306-0.00476298j 0.0203444-0.00475531j -0.131243-0.001529j 0.0336036-0.0727875j -0.0751409-0.0148655j 0.0729363-0.0153878j 0.033443+0.0735373j 0.132719-0.000627413j -0.017951+0.0177303j -0.10381+0.0228924j -0.0459523+0.0127525j -0.116722+0.171729j 0.0231954-0.0747031j 0.0690397-0.0676939j -0.172185-0.260807j -0.183082+0.00341195j 0.170989-0.256571j -0.0657137-0.0594914j -0.0218855-0.0766829j -0.117414-0.169705j 0.0425175+0.019649j 0.104213+0.0235928j 0.0223942+0.0190665j 
-0.00119522-0.0293739j -0.0279868-0.0434947j -0.028337+0.0441476j -0.141253+0.0588767j -0.0781076-0.0802349j 0.0262935+0.0361305j 0.0309478-0.0306444j 0.0789126-0.0810474j -0.141682-0.0564535j -0.0205293-0.0216062j -0.127191+0.0994761j -0.0240532+0.156091j -0.245803+0.0405907j -0.0553979-0.0949749j 0.0922086-0.109704j 0.185878+0.310121j 0.000844867+0.1613j 0.177228-0.312945j 0.0827241+0.104069j -0.0525244+0.0975668j 0.244008+0.0378652j -0.0323557-0.147969j -0.126958-0.0983368j -0.0253881+0.0169701j 
0.0176733-0.00040061j -0.0010541+0.148466j 0.000866063+0.147968j 0.00104756+0.028648j -0.0318007-0.0206298j -0.116517+0.257968j 0.116721+0.255588j -0.0328088+0.0266128j 0.00085953+0.0320377j -0.012289-0.00786954j -0.0413748+0.0144986j -0.00257452-0.00579967j -0.00461039-0.0751044j 0.103483+0.165117j -0.0440821-0.0861284j 0.0050768+0.0466206j 0.365022-0.00124778j -0.00063991+0.0479947j 0.0410326-0.0807803j -0.0983946+0.165475j -0.004441+0.0747296j 0.00177031-0.0031361j 0.0409346+0.0163695j 0.0139398-0.00714362j 
-0.0548931-0.0640521j -0.0771545-0.0483294j 0.0153035+0.000911159j 0.0938339-0.0963323j 0.0443466+0.247517j -0.0688629-0.112608j 0.00340352-0.138035j -0.0418345-0.0314297j -0.0305728+0.0396059j -0.0106956+0.0161421j 0.037072-0.0865069j -0.0701233-0.154857j 0.145605-0.0304329j 0.247015+0.395138j -0.179736-0.09462j -0.0376157+0.0252795j 0.204653+0.17896j 0.00403977+0.179239j -0.0622068-0.0776016j 0.138562+0.0890118j 0.016577+0.0731297j 0.0128764+0.0245896j 0.0358622+0.0171465j 0.0076328-0.0162383j 
-0.033799-0.0701332j 0.038363-0.0487116j -0.0576259-0.145254j -0.0369492+0.125352j 0.0654108-0.182948j -0.0654926+0.108523j 0.169433+0.208156j 0.0743911+0.0485643j 0.0722846+0.0416748j 0.0140814-0.0184403j -0.0548725+0.0475482j 0.0670114+0.0687406j -0.10087-0.135913j 0.0272817+0.142155j 0.0809642-0.0853897j 0.0376545+0.124703j 0.0881368+0.155973j 0.107795+0.0122399j 0.00860855-0.0348783j 0.0714425+0.116786j 0.0498268+0.0901291j 0.0136956+0.0143833j 0.0174077+0.004305j 0.0193755-0.0206224j 
0.112116+0.0649145j 0.12578-0.0158404j -0.0356824-0.0731654j 0.129864-0.0435203j 0.123114+0.0786422j 0.0382556+0.0540573j -0.093356+0.0555196j 0.104076-0.0632524j 0.00557464+0.131505j 0.259946-0.123002j -0.193596+0.0347565j 0.0378377-4.34785e-05j -0.0444645+0.0405331j 0.0937306-0.033502j 0.343357-0.272285j 0.0229223-0.0389091j 0.118945-0.0192643j 0.0451458+0.00108451j 0.066264+0.000475899j -0.103775-0.0143419j 0.136521-0.0778349j -0.00341792+0.0356165j 0.0319561+0.020329j 0.00379326+0.0309278j 
0.0219992+0.0266287j -0.134613+0.0325927j -0.000572374+0.110387j 0.0628305-0.147012j 0.121373+0.161878j -0.0515426+0.0138383j 0.0309852+0.0146627j -0.0938925+0.0961413j -0.0146329-0.12357j 0.239543-0.147133j -0.173308-0.0190051j 0.0824914+0.163302j -0.0148058+0.00323745j 0.0937284-0.13911j 0.274638-0.291856j 0.00252636+0.0251423j -0.173681-0.023904j -0.0205287-0.0578589j -0.0547471-0.0189099j 0.0861318+0.0782903j -0.0564559+0.0548254j 0.00554938-0.034656j -0.0267695-0.0300819j -0.00697708-0.026668j 
-0.016897-0.0583632j 0.00857911-0.0911082j 0.144542-0.0736463j 0.040682-0.161856j 0.109908+0.116632j -0.14886+0.0904459j 0.045342-0.0258928j -0.0131142-0.0211519j 0.0457263-0.0303169j 0.0361502-0.133184j -0.115757-0.132094j 0.206414+0.363682j 0.0298671-0.0845381j -0.00201385-0.138164j 0.0238017-0.0626328j 0.0436129+0.0990407j 0.192342-0.03728j -0.11353-0.108541j 0.0132657+0.0240613j -0.00231631-0.0281361j 0.00730474+0.0120898j -0.00131344-0.0204646j -0.0099816-0.00977708j -0.00982787-0.0175121j 
0.0985985+0.0110653j 0.106704+0.0081783j 0.111312-0.0416647j 0.0543365+0.0722519j -0.0792189-0.191898j -0.117025-0.0288302j 0.0587776-0.0822761j -0.0717439-0.0133463j 0.0159352-0.0872013j 0.0222728+0.0694322j 0.121668+0.162079j -0.177945-0.215483j 0.113799-0.031381j 0.0620641+0.0017634j -0.0764699-0.0705396j -0.0352138-0.00329311j 0.148635-0.0133944j -0.0537881-0.0804114j -0.0151276+0.00930208j 0.0056101-0.0280267j -0.0578563+0.0124836j -0.00265892-0.0359021j -0.0211956-0.0106731j -0.0104597-0.0198777j 
-0.00167404+0.0339792j 0.0449372-0.0982802j -0.0104035-0.0532809j 0.120897+0.0286904j 0.105726+0.0491452j 0.0906184+0.0288357j -0.167102+0.0176456j -0.0795213+0.00369386j -0.014137+0.00324182j -0.0614738+0.000317626j 0.0794472-0.16815j -0.0568763-0.126677j 0.129668+0.0958789j 0.0878311+0.171469j -0.104756-0.0457735j -0.0259796-0.110613j 0.0695558+0.00635348j 0.0356292+0.113363j -0.0356143-0.0251797j 0.0248904-0.058928j -0.0671464-0.0226507j 0.00510076-0.000164041j 0.00758109+0.0132027j -0.00322401-0.00313834j 
-0.0858451+0.103352j 0.131138+0.0236834j -0.0391513-0.051941j 0.148698+0.0602247j 0.0520059-0.0368308j 0.175097-0.173515j 0.0394358+0.154469j 0.0454588+0.000714135j 0.0206946+0.06695j -0.0222105-0.0934695j 0.0826656-0.100633j -0.0416192+0.195924j 0.0297836-0.0390737j -0.0116769-0.114722j -0.124681-0.184606j -0.0112141+0.0178407j -0.0355181+0.000179014j -0.0221852-0.0323097j 0.00435175-0.00283893j 0.00724106+0.0208329j 0.0315164-0.00826119j 0.0129563+0.0175397j 0.010286-0.000351184j 0.00338643+0.00387147j 
-0.0343771+0.0239621j 0.0348709-0.0211186j 0.00407621+0.0964706j 0.0236325+0.0890419j 0.142905-0.0571644j -0.13113+0.116111j -0.0183196-0.0973792j -0.0178808+0.00775099j -0.00794299-0.0479739j 0.0684238-0.148633j -0.107753-0.133008j 0.0961754+0.26896j -0.135593-0.0190769j -0.0640023-0.0660463j 0.0572447-0.0796415j 0.0282647+0.0386721j 0.0258291-0.000138836j 0.0155963+0.0472725j 0.00222895+0.00169268j 0.00230578-0.0171521j 0.0119899-0.00683515j -0.00418667-0.00915508j 0.00239538-0.00213632j -0.00452272-0.00479764j 
-0.0488437-0.052249j 0.082494+0.18883j -0.0394648-0.0624121j 0.226095-0.251279j -0.0513709-0.0901048j 0.00497853-0.108038j 0.0360626+0.0648688j 0.00236206+0.0121143j 0.012772+0.0104049j 0.137532-0.0775728j -0.15407-0.126643j 0.157511+0.138718j 0.0415336+0.0499943j 0.0465745+0.0395615j 0.0477957+0.0267281j 0.00911742-0.00241551j 0.00472459-0.0202768j -0.0191146-0.0122377j -0.00939141-0.00555546j 0.0127437+0.000397825j -0.007324+0.00155023j -0.000200875+0.00490344j 0.00398416-0.000662912j -0.00175718-0.000636563j 
