-0.0397362-0.00289061j -0.00259852+0.00735555j -0.00040876-0.00205102j 0.0566576+0.00131912j -0.0414634+0.00145501j -0.0446165+0.0057511j 0.0261899+0.00342359j 0.0201619-0.00201149j 0.038678-0.00955592j 0.0116345-0.00125384j 0.00456662-0.00467431j -0.0602457+0.00218396j -0.00295535+0.00361506j -0.0387391+0.00285393j 0.0313105+0.00121805j -0.00487429-0.00646996j -0.0161318+0.00478748j 0.034936-0.000174012j 0.0157807+0.000878269j -0.0209955+0.00723446j -0.0531757-0.00180124j -0.0157008-0.00429464j 0.0143511-0.000679437j -0.0667113+0.00388791j 0.0148051+0.00656001j 0.0167458+0.00842005j -0.010145-0.00559062j -0.0390496+0.00310193j -0.00552471-0.00239751j 0.0019926-9.48869e-05j -0.0327251+0.00201701j 0.0164616+0.000663801j -0.0309686-0.00453912j -0.0174999-0.00220839j -0.0217796-0.00643606j -0.0213895-0.00100343j 0.00636584+0.00106657j 0.026826+0.00191453j 0.0156904+0.0132846j 0.0104168-0.00545379j -0.0400753-0.00186341j -0.0125222-0.00174104j -0.0030484-0.00344494j 0.057925+0.00159235j -0.0592701-0.0125009j -0.00192075+0.00156566j 0.00250822-0.00453131j 0.0140487+0.00601547j -0.0270058-0.00547467j 0.0299235-0.00155825j -0.0479314-0.0119933j 0.00243719+0.00460255j -0.036839-0.0148957j 0.0416564+0.00112519j -0.0224382-0.00635667j -0.00548466+0.000401375j 0.0314068-0.0300565j -0.0159634-0.00877177j 0.00267856-0.00457528j -0.0138167-0.00138948j 0.0346959+0.00770254j -0.00454173+0.00879546j 0.0048877+0.0042553j -0.00511106+0.000470111j -0.0288089-0.00937456j 0.00948529-0.0111975j 0.0181782-0.00588058j 0.0214265-0.00187616j -0.00794997-0.00652588j 0.0114882+0.0100803j -0.00158125-0.00655832j -0.00889871+0.00735651j 0.00609797-0.0032632j -0.00430576+0.0136438j -0.0274533-0.00748049j -0.0139053-0.00482679j -0.00409628-0.00544283j 0.0203194+0.00788941j -0.00910235-0.000739573j 0.0198032-0.00755341j 0.00331859+0.0121077j -0.0143298-0.0128294j 0.012644+0.003974j 0.0011495-0.0161641j 0.0149837-0.00611441j 0.017507+0.0182243j 0.00519476-0.00113707j 0.0260643-0.0110762j 0.0185256+0.0416798j 0.157058-0.100872j 0.0422199+0.188007j 0.0434893-0.091607j 0.0844686+0.0186188j -0.0261703-0.246891j -0.255093+0.0259985j 
-0.0193067-0.00579963j 0.0220439+0.00258554j -0.0420597+0.0145926j 0.0476301+0.0206998j -0.0207237+0.00712502j 0.0502309+0.00300681j 0.0469993-0.0072414j 0.10087+0.0166624j 0.0799472-0.00700628j 0.0778973+0.00704005j 0.318271+0.000409427j -0.0778088+0.00491761j 0.0621689+0.00999477j 0.328554+0.00139436j 0.0523264+0.00230377j -0.126397+0.00332512j -0.0694153-0.00468355j 0.203005+0.00320135j 0.0724344-0.011627j -0.0688315-0.0386058j -0.0832013+0.00356259j 0.0326533+0.0162556j 0.0134509-0.00499028j -0.081296+0.0218983j 0.00175971+0.0103587j 0.0363756-0.0174219j -0.016697+0.00288283j -0.0458941-0.0128821j 0.0775585-0.0319359j -0.0417027+0.017804j 0.0613983-0.0498979j 0.0495733+0.015861j -0.00576096+0.00557995j -0.00741716+0.0429782j -0.019636-0.0126164j -0.0247392-0.00714743j -0.074309+0.0104273j 0.0101976+0.00908645j 0.029233+0.0111566j -0.0450573+0.00724569j -0.0340379-0.0127113j 0.0449145+0.010676j -0.0334932+0.0163279j 0.0420471-0.0409217j -0.00446008-0.0161829j 0.0100245-0.00839388j -0.00347271+0.00218303j -0.00266977+0.00320838j -0.0240327+0.013174j 0.0227852+0.00107606j -0.0155437+0.0042403j 0.0345967-0.0217297j -0.0257808+0.0113973j 0.0285296-0.0103225j -0.0500156-0.00394656j -0.00394132+0.0100449j 0.0292743+0.00279949j -0.00389616-0.0131081j -0.000691495+0.0281864j -0.0451419+0.0014414j -0.0377655-0.0143218j -0.00940845-0.0106877j 0.00825249-0.0342517j 0.00836917-0.00176917j -0.0122941-0.0116709j 0.0161651-0.00746039j -0.00221742+0.00268627j -0.0293912-0.0232379j 0.0109304+0.0277739j 0.0186844+0.0298433j -0.0274224+0.0090244j -0.0319659+0.0190172j 0.00399713+0.0308911j 0.0241873-0.032362j -0.0148521-0.00550696j -0.00135619+0.00288198j -0.0146282-0.00942311j 0.0208032-0.00409091j -0.00625026+0.012765j -0.0143796-0.0141533j 0.0193656+0.00363194j 0.0548992+0.0250532j -0.0161067+0.00311229j 0.0231049-0.0295895j 0.0105737+0.00992378j -0.0508321-0.0036628j 0.0288749+0.00483816j -0.0187033+0.0014457j -0.0234492+0.0341775j -0.0108553-0.0173945j 0.0209302-0.00716713j 0.0115526+0.0596808j 0.00047569+0.0764012j -0.00317905+0.00660003j -0.0297142+0.000386715j 
-0.0134532-0.0028641j 0.0268612-0.00217815j -0.00704377+0.0102244j 0.0250385+0.00756306j -0.0294372+0.00670993j 0.0597263+0.00205021j 0.0880755-0.00553928j 0.0845721+0.0104203j 0.0438842-0.00609179j 0.031939+0.000146925j 0.171951-0.0150932j 0.0299979-0.00667058j 0.0395793+0.00985471j 0.456-0.00127696j 0.099136-0.00993491j -0.0450465+0.00723921j -0.129368-0.0136107j 0.207394+0.000796935j 0.048812-0.0108993j -0.0294387-0.0463735j -0.0948954-2.62436e-05j -0.0210328-0.00656199j 0.00157319-0.028792j -0.073728+0.0336865j 0.0595588-0.0123415j 0.0260463-0.0116166j -0.0427074+0.000586745j -0.0280674-0.00938976j 0.0904143+0.00331748j -0.0391447-0.0367231j 0.0612961-0.031051j 0.0985068-0.0049j -0.00926455+0.0168469j 0.0140343-0.0592966j -0.00303924-0.00484912j -0.000716137-0.0186262j -0.0349565+0.00858681j -0.00317992-0.00530959j 0.0122892+0.0107379j -0.0345397-0.00210541j -0.0184052+0.0217982j 0.0345652+0.0113497j -0.0192588+0.00196729j 0.0218554-0.0191609j -0.00311776-0.00600718j 0.00139593+0.00431409j -0.0231942-0.00126822j -0.0090942+0.0140415j -0.0152807+0.0200494j 0.0240604+0.0102499j -0.000274607+0.00451293j 0.0325941-0.0119214j 0.00917339+0.0161615j 0.0155162-0.000951738j -0.0560211-0.0137416j -0.00413942-0.00545905j 0.00959916+0.0131647j -0.0140989-0.0253961j 0.00128251+0.0159567j -0.025581+0.00249426j -0.0247734-0.0125878j 0.00803294+0.00118779j 0.0194231-0.0234394j 0.00552387-0.00881591j -0.0106338-0.0101194j -0.00478199-0.000290663j 0.0131293-0.00445311j -0.0208973-0.0359319j 0.00906542+0.000923445j -0.0209432+0.00453837j 0.00165424+0.000538065j -0.00393668-0.016224j -0.0150737+0.0165534j 0.011984-0.0283824j -0.0111218+0.00816132j -0.0233705+0.00547564j -0.020275-0.0229527j 0.0252424+0.00360612j -0.0023185+0.0122327j -0.00609171-0.0271712j 0.0278717+0.00847679j 0.0470937+0.0273363j -0.0260817+0.0202292j 0.0248605+0.0479963j -0.033019-0.00498517j -0.0987087+0.0129417j 0.0189355-0.0180916j -0.0025559-0.00600806j -0.00770873+0.0218213j -0.0130351-0.0215225j 0.0340553+0.00274492j 0.0159752+0.0644508j -0.00512489+0.089429j 0.00472424-0.00762939j -0.0278388+0.0180135j 
-0.0048428-0.00850102j -0.0608344-0.0157538j -0.104657-0.00321898j 0.0386151+0.0248483j 0.0178461-0.00682887j -0.16812-0.000341326j -0.214445+0.0175282j 0.165471+0.00213786j 0.259444-0.0053132j -0.122576-0.034116j 0.0730368-0.0182681j -0.254071-0.0142141j -0.0717479+0.0232753j -0.00499952+0.000839817j 0.0111391+0.0131967j -0.0996759-0.0394645j 0.479489+0.00317949j -0.0267086-0.00846561j -0.109347-0.0301041j 0.10326-0.0123446j 0.256701-0.00929521j 0.00651752-0.000499954j -0.0636427+0.0101813j -0.0240558-0.00369713j -0.156232+0.044583j -0.112755-0.00133653j 0.171613-0.00804314j -0.0427547+0.0318401j -0.00413134+0.0197697j -0.0239924+0.00601612j -0.00663002-0.0278564j 0.103229+0.000306378j 0.0232041-0.0106345j -0.0279796-0.0135388j -0.0584963+0.0172671j -0.0554459+0.00110336j -0.0488666-0.0318183j 0.0380649+0.0130303j 0.0147989-0.023781j -0.0469242+0.0382793j -0.0357057+0.00787367j -0.00314078+0.00612183j -0.0100156-0.000822345j 0.0177799-0.0133235j 0.0389121-0.00807527j 0.00303297+0.0333268j 0.00836072-0.00275595j 0.0019277+0.0373058j 0.0340716-0.00168104j -0.00107981+0.0262154j -0.0326077+0.0261578j -0.00331117+0.00988195j -0.00909036+0.00268563j 0.0155987+0.0189835j -0.0353937-0.0205625j -0.0500891+0.0250351j 0.0158997+0.0518546j -0.0197997-0.034314j 0.00214128-0.00114583j -0.0137014-0.0106012j 0.0144603-0.00695214j 0.00680472+0.000947813j 0.0215646-0.0131688j -0.0225901+0.0269608j -0.0293846-0.00282768j 0.0398541-0.0243232j 3.93464e-06-0.00450075j 0.030809+0.0256046j -0.0216248+0.0261895j 0.00539205-0.00289674j -0.0262669-0.011956j 0.00105842-0.0063436j 0.025005+0.00677744j 0.0101853-0.0230264j -0.0504823-0.0209436j -0.0346064+0.00626j -0.0611423+0.0230607j 0.0312935+0.0165284j -0.0116842+0.0140299j 0.00659985+0.0505326j 0.0363129-0.00627559j 0.00116903+0.0624895j 0.0468552+0.0220586j 0.0176737+0.0235017j 0.0324662+0.0118256j -0.0487238-0.00433518j 0.0209667-0.0446526j 0.0553735-0.0115745j -0.00440657+0.022415j 0.00591513-0.015883j -0.0214965-0.0067766j -0.0149336-0.0387269j 0.0188932+0.0730351j -0.0433179+0.00404793j -0.0283718-0.0319324j 
-0.0122661+0.00710041j 0.0207604+0.016336j -0.00910444-0.0061291j -0.0565074-0.00383045j -0.0232721-0.00203363j 0.0604945+0.000538976j -0.0180263-0.00199067j 0.0710361+0.0186055j 0.051591+0.0015735j 0.214547+0.0110058j -0.381473-0.000842896j -0.409546-0.0064142j -0.385331+0.00460458j 0.404996+0.00401307j 0.197891-0.0185972j 0.052791+0.0158948j 0.0682928-0.0059605j -0.138575-0.00455785j -0.028311+0.00695704j -0.0573989+0.0339073j 0.0168229-0.00433391j 0.113958-0.0254343j 0.145001+0.00942724j -0.0454528-0.00374645j 0.0322065-0.0219115j 0.0232071-0.00703786j -0.0554454+0.000122232j -0.0473817-0.007274j -0.0817322+0.0191648j 0.0300757+0.0159528j -0.000348781+0.0317473j -0.0602658-0.00456271j -0.0475489-0.00176516j -0.0128133-0.0113432j 0.00400394+0.0128394j -0.00035106+0.0155833j 0.00152314-0.00928046j 0.017863+0.00383647j 0.0267751-0.0145987j 0.019905+0.00261358j -0.0214232-0.0176284j 0.0919992+0.00766204j 0.0158221+0.0143484j 0.0298115-0.019991j 0.00711368-0.000952441j -0.035344-0.033418j 0.014127+0.00415858j 0.0122442-0.04394j -0.0209074-0.0265642j -0.0313952-0.0110421j -0.0547799-0.0241995j -0.0347998+0.0171189j -0.0181051+0.000981014j 0.0157638-0.0249466j 0.0131337-0.0131631j 0.011646+0.0291629j 0.023408-0.00753186j -0.000818177-0.0202409j 0.0145071-0.0173451j 0.0110807+0.0540363j 0.0291834-0.00395191j 0.109514-0.0252069j -0.00404389+0.00573079j 0.00209156+0.00399544j 0.0259362-0.015001j -0.0310599+0.0220389j 0.00647453-0.0015544j -0.0129172-0.013281j -0.0251941-0.000902159j 0.00175675+0.0154936j 0.00602732-0.0134613j 0.00578251-0.000258982j 0.00650298-0.0277669j 0.00909863+0.0367226j 0.00367716-0.00369283j 0.0282208-0.0170734j 0.0354265+0.0190956j -0.0250659-0.00661149j 0.0169382-0.0103972j 0.00997348-0.0102148j 0.0256533-0.00159409j -0.0634703-0.0345532j -0.00113047-0.0227145j -0.005033+0.0021818j -0.000625756+0.00267978j 0.043077+0.0116757j -0.0231189+0.0512294j 0.00177276-9.6761e-05j 0.00518192+0.0272075j -0.0185423+0.0157173j -0.031169-0.000176734j 0.00117178-0.026185j 0.0140059-0.052549j 0.00635101+0.0350982j 0.000646993-0.0118812j 
-0.0183438-0.00102493j -0.014101-0.0152246j 0.129928+0.00691692j -0.00734868-0.0114606j -0.109971+0.00298397j 0.0115907-0.00599842j -0.0830341+0.0151509j -0.111276-0.03616j 0.0758609-0.0175014j 0.114026-0.0447273j -0.270818+0.00858509j 0.196848-0.0264299j -0.113033-0.0280125j 0.103486-0.0112545j -0.0766601+0.0294286j -0.0554821-0.0599349j -0.0650403-0.000968504j 0.0717558+0.0382113j -0.193828-0.0374978j 0.0480866+0.0425305j -0.0387925+0.00095699j -0.0521175+0.0127349j -0.053566+0.0138498j -0.163026-0.0123833j -0.0493099+0.132445j -0.0175477+0.0127617j 0.0368324-0.0018184j -0.0763332+0.0121056j -0.0203392+0.0345155j 0.0665688-0.0243841j 0.0112254-0.0607067j -0.0946526+0.00370369j 0.0058975-0.0224082j 0.00234063-0.0119978j 0.0708919+0.0115317j 0.035824-0.0139025j 0.0527758-0.0334888j 0.000539727-0.00946903j -0.0812843+0.013665j 0.0369703+0.0749117j 0.0251552+0.0126179j -0.0368308-0.0141217j -0.0299815-0.0309253j -0.00249106+0.00209746j 0.0526901+0.0155851j -0.0315743+0.0323614j -0.0592824+0.00452362j 0.00109556+0.0245851j -0.00986332-0.00598272j -0.0318656+0.0343648j -0.0383444-0.0220936j -0.00542645+0.0114202j -0.0470803+0.0162588j -0.0282834+0.00823338j 0.0244458-0.00285234j 0.0520875+0.0325797j -0.0579431+0.0304207j 0.0504837-0.0449914j 0.0170712+0.027574j 0.0124288-0.0133163j 0.0154389+0.00383515j 0.0114418-0.0133808j -0.0148593+0.022562j 0.0148181+0.0127712j 0.0183706+0.0157441j 0.0137074+0.0348998j 0.0402893+0.000648411j -0.00599766+0.0220819j 0.00468383-0.0194161j 0.00661973+0.00305017j -0.00465612+0.0105864j 0.00624765-0.00879948j -0.0288193+0.0203675j 0.0155962-0.00788792j -0.000292451-0.00413461j -0.0521+0.021994j 0.0073068-0.0198051j 0.0643827+0.0172531j -0.0240027-0.0575974j 0.0361777-0.00623145j -0.0144364-0.00263146j -0.0164811+0.0684808j 0.0453939+0.0623668j 0.0266061+0.00145466j 0.0643689-0.00173479j -0.0968073-0.0640469j 0.0367326-0.0410347j -0.00654037-0.0367294j -0.0374698-0.0145599j -0.0813353+0.0416361j 0.0714315+0.0418547j -0.00585281-0.0436536j -0.0201973+0.157314j 0.0151887+0.0119307j -0.00793725+0.0481825j 
-0.0395436+0.0153307j 0.00795698+0.0123159j -0.0294138-0.026395j -0.0321071+0.015738j -0.155566-0.00137004j 0.0171764+0.0205849j 0.166654+0.0238352j 0.128754-0.0178063j 0.0203312-0.00971505j -0.296928-0.0144329j 0.0264008+0.00410691j 0.0487905-0.00181397j 0.183839-0.0124855j 0.153715+0.00354399j -0.0749751-0.00073471j 0.0705624-0.0285082j 0.0613209+0.00490595j 0.228754+0.00220841j 0.341667+0.00226585j -0.108494+0.10723j 0.226271+0.00576476j -0.0307312-0.0332736j 0.0272553+0.063337j 0.0328539-0.0307057j 0.0123106+0.0358075j 0.0128382-0.008114j -0.0121026-0.000986119j -0.081145+0.00794482j -0.0312736+0.0797467j -0.0124562+0.0335702j 0.0230592+0.0176134j -0.0301779-0.00802934j -0.0733973-0.0346581j 0.0331078-0.0124229j -0.0483238-0.00147726j 0.0276426+0.0486788j -0.0413159-0.0623017j -0.0124731+0.0215915j 0.0319865-0.0409119j -0.0188448+0.0322114j -0.0158865-0.035657j 0.0193453-0.0147119j 0.046983-0.0151783j 0.0621147+0.00871157j -0.0285038-0.000154273j 0.0227321-0.00633276j -0.00365466-0.0102949j -0.0582266+0.00155535j 0.00235214-0.00436547j -0.00566219-0.000421521j 0.0141342-0.000127259j -0.0423264-0.00966024j 0.0102587-0.00854268j 0.0654923-0.0100598j 0.0295929-0.0100172j 0.00350846+0.0138376j 0.0111336-0.0124115j -0.00256736+0.0240854j 0.0225351-0.031787j 0.0352345-0.0277515j 0.0459223+0.0253599j -0.0391884+0.0124373j 0.0288036+0.0022683j -0.0140535-0.0273927j -0.00169967-0.0130251j 0.0030143+0.0260463j -0.044136-0.00407283j -0.0213503-0.0014012j -0.00853246-0.000857724j -0.0304559-0.00905j 0.0136662-0.0106904j -0.00290007+0.0420851j 0.0623774-0.0128334j 0.00445038+0.0842847j 0.00487354-0.00311329j 0.0534238-0.049345j 0.0186955+0.00618491j -0.0876383+0.0453331j -0.0281102+0.0281587j 0.0265298+0.00922409j -0.00593768-0.00237241j -0.117528-0.0394303j 0.045086+0.0015418j -0.0144398-0.00675172j -0.0217855+0.00420023j 0.0654498+0.000676155j 0.0235542+0.104462j -0.0124783+0.00592014j -0.00580348+0.0153533j -0.0767887+0.070187j -0.0293631+0.040916j -0.0191129-0.109919j 0.0127322-0.0515186j 0.0149596+0.0707538j 0.0100165-0.000721875j 
-0.00206435+0.00435597j 0.0291682+0.0175289j -0.101264-0.0106074j 0.028438-0.00231179j 0.20788-0.00870186j -0.00414541-0.000198496j -0.00273227-0.00490095j 0.00587698+0.00946959j -0.0211831-0.0189607j 0.295616-0.0103765j 0.395027+0.0193787j -0.216967-0.0185303j 0.0174644-0.0361835j -0.169296-0.0111634j 0.225127+0.00547242j -0.0650163-0.0149242j -0.177552-0.0152899j -0.0795224+0.000129707j -0.157956+0.00362424j -0.0270227+0.0677658j -0.0257072-0.0055737j 0.0968279-0.0289837j -0.0594754+0.00863208j 0.0489474-0.0202993j -0.140622+0.042132j 0.0271148+0.0389921j -0.0492448+0.014268j 0.0391393-0.0226164j 0.0235792+0.0275524j -0.0332291+0.00600257j 0.0870094+0.0527094j 0.125439+0.00461612j 0.0324717+0.00053222j -0.0179253-0.00245897j -0.043453+0.0186845j -0.0614808+0.0700099j -0.0439069-0.0628368j -0.0169839-0.0148145j 0.0351711-0.0417591j -0.0432248+0.0349522j -0.0532806-0.0410984j 0.0242283-0.0130714j -0.0430246-0.0132557j 0.0124104+0.00804904j -0.05359+0.00582022j 0.00414461+0.0137313j 0.0263591-0.00954848j 0.00731604-0.0106866j 0.0314883-0.00989763j -0.0193962+0.00385281j -0.00521245-0.0173477j 0.0531299-0.0215861j -0.0415743-0.0136643j 0.0376478+0.00412032j -0.00706711-0.00103854j 0.0125471+0.00467876j 0.000687944-0.0110847j 0.0026538+1.91407e-05j -0.00347624+0.0244118j -0.0111748-0.000268654j 0.0525281-0.00453814j -0.0428645-0.00585646j -0.0113619+0.000112896j -0.00718269+0.00964801j 0.0594488+0.000938123j 0.000320528+0.000934283j 0.0273689-0.00675871j 0.0459409-0.0221732j -0.00230503-0.0263713j -0.0109944-0.0394908j 0.0146354-0.0118753j -0.0229999+0.0330719j -0.00431642+0.041817j -0.00306588+0.0592185j 0.0116851-0.0270355j 0.014854+0.0155936j 0.0290467-0.00876805j -0.0179276+0.0194907j 0.00464772-0.0422083j -0.00158381+0.0154663j -0.0746807+0.050255j -0.0725835-0.0297932j 0.0447863+0.00237781j 0.000637336-0.00751022j -0.0168738-0.0101262j 0.0414669-0.0031058j -0.00267362+0.0515621j 0.0205667-0.0229822j -0.0337339-0.0499366j -0.0469391+0.0381624j -0.0228117+0.0212978j -0.0211327-0.0823947j 0.00535117-0.0477657j 0.00376854+0.0533153j 0.00739638-0.00660058j 
0.0686763+0.0209275j 0.0243458-0.0276174j -0.136675-0.0172005j -0.0416858+0.0196419j 0.237088+0.00743273j 0.0937316-0.00311018j -0.0144354-0.00486889j 0.0704723-0.0143823j -0.302335-0.0217288j -0.0200558-0.0260969j 0.015117+0.00293871j -0.252041-0.00901293j -0.168252-0.00715882j -0.180979-0.0139826j -0.0423254+0.0247566j 0.00647418-0.0377675j -0.1222+0.00829533j 0.00216009+0.0130022j 0.162686-0.0260359j -0.0326126-0.0130417j 0.0454093+0.0231497j 0.0376181-0.00457466j 0.156369+0.00474123j 0.203207-0.0222618j 0.0375919+0.116248j -0.104983+0.0273769j -0.0638434-0.00201763j 0.178725-0.000415953j -0.0202618+0.0426496j 0.0452518-0.0235093j 0.0444115-0.0559088j -0.0670956-0.0061276j -0.14367-0.0196276j 0.0310738-0.0325j 0.0167279+0.0197344j 0.0662998+0.0085272j -0.0435888-0.00585756j -0.0186876+0.0165828j -0.0351576+0.0119164j -0.0493635+0.00136098j 0.00770611+0.0309476j 0.011225-0.0194427j 0.0429151-0.0340575j -0.0242301+0.00430063j 0.020547+0.0344266j 0.000676845-0.00882351j -0.0129993+0.0175038j -0.00420329+0.0181058j 0.0178802-0.0116063j 0.0140868+0.0407548j 0.0121186+0.00339676j -0.0147694-0.00112115j 0.0664255+0.0430118j 0.0356642-0.00616795j -0.0535815+0.00153046j -0.00048389+0.0164213j -0.00379489+0.0443816j -0.00625724-0.0421127j -0.0292646+0.0384333j -0.00751282-0.0289788j -0.0110973-0.00322965j 0.00380873-0.00939513j -0.00295366-0.00532951j -0.000297237-0.0180143j 0.00117853+0.0224098j -0.0190989-0.0200752j -0.0132744+0.00536405j 0.0256861-0.0106743j -0.00787221+0.0406836j -0.000796219+0.0251553j -0.0101051-0.0197144j -0.0277297+0.00208528j -0.0126729+0.0028281j 0.0286226+0.0021828j -0.0016285-0.015554j -0.0125848-0.0435808j -0.0152062+0.0420043j 0.0389616+0.0365787j -0.0645623+0.058692j 0.0678588+0.00575541j 0.0228038-0.086731j 0.0739565+0.0464034j 0.00382706+0.0197665j 0.0218414+0.0291323j 0.0123692-0.0108222j -0.0814461-0.0401629j 0.0267789-0.0497596j -0.00479513-0.0598201j 0.0505881+0.0114489j -0.0170251+0.0186582j 0.0614875+0.00762123j -0.00811176+0.0200876j -0.0126393+0.10231j 0.0152358-0.0231506j 0.00163296+0.0477223j 
0.00564936+0.0351803j 0.052625+0.00267048j 1.74186e-05+0.00849136j -0.0111318+0.0106209j -0.0129136+0.0207915j 0.143214+0.00502909j 0.193766+0.0219326j -0.0564162-0.0452897j 0.00496856+0.00252936j 0.0817189+0.00487891j 0.0696747+0.0159245j -0.0678811+0.00713069j 0.332821-0.0175196j -0.0163156+0.00160265j 0.100819+0.0205273j 0.269678-0.0192499j 0.191577+0.0453682j -0.0795697+0.0100978j -0.0567929+0.0123637j -0.0488234+0.000211134j -0.0232622+0.00976861j 0.026952-0.00394343j 0.0379816-0.000885103j -0.0107845-0.0324828j 0.0659375+0.0496309j 0.213029+0.0153078j -0.131427-0.00393031j 0.0730147+0.0153132j -0.117814+0.0296797j -0.0195842+0.00847247j 0.0453367-0.039178j -0.0342321-0.00221338j -0.0725554-0.00358208j -0.0230859-0.019746j 0.0720348+0.0532629j -0.0977003-0.0119464j -0.00287586-0.0388108j 0.0565923-0.00430123j 0.0371309-0.0086352j 0.0145794+0.0208686j 0.0199647+0.0268219j -0.0390367+0.00435924j -0.00517203-0.00719854j 0.0334875-0.00781334j -0.013269+0.0590002j -0.010751+0.0101753j -0.0131417+0.0152271j -0.00230409+0.0101337j 0.00332389+0.0366971j 0.0547651+0.0118969j -0.000585596+0.0263732j -0.0651557+0.0284189j -0.0486304-0.0176625j 0.0282404-0.00711513j -0.0297395-0.0151508j -0.0158453+0.0447769j -0.0460425-0.0278322j -0.0266338+0.00176468j -0.0140873+0.0493094j 0.00115923-7.63454e-05j -0.0363716+0.0615695j 0.00773956-0.0252354j 0.0119105+0.0103667j 0.0144798-0.0114622j -0.0525686+0.00183662j -0.0211954-0.0494786j -0.00850968+0.00275928j 0.0157442+0.0105059j 0.012353+0.0237221j 0.0135524+0.0188461j -0.0155588-0.0250323j 0.00606193-0.0284641j -0.0212755-0.0187467j 0.0241623-0.0229075j 0.0532713+0.00792578j -0.0178523-0.0131403j 0.00230104+0.0408161j 0.0953038-0.0295831j 0.0257409-0.0664093j 0.0146548-0.0169703j 0.0419922-0.0389409j -0.0277416+0.0518636j -0.0327456-0.0225004j 0.0081099+0.0318139j 0.0747798-0.00398408j -0.0475307-0.0535875j -0.0160086-0.0588825j 0.0133698-0.059223j 0.0364132+0.0373997j -0.0143108+0.00938543j 0.0258746-0.00279156j -0.0013262-0.0109505j -0.00279342+0.0445453j 0.0277402+0.0118593j -0.00550132+0.0382078j 
0.0126296-0.0131506j -0.018631-0.00857792j -0.0220503-0.00547825j 0.0864988+0.0329555j -0.016976-0.0111416j -0.163894+0.00506723j -0.0809342+0.00863937j -0.207748+0.00366464j 0.101007-0.00526534j -0.0754279-0.0398491j 0.164563+0.00652307j -0.12201-0.0142674j -0.0206943-0.0276583j 0.0302965-0.0101824j -0.141627+0.00548662j 0.260169-0.0272144j -0.199623-0.021353j -0.322341+0.0197502j 0.207443-0.0340087j 0.072776+0.0160262j 0.000900973-0.00893873j 0.107312-0.00508864j -0.0396728+0.00289602j -0.298719+0.00175529j 0.0468481+0.0815784j -0.141827-0.0152249j 0.128244-0.00661023j 0.0423617+0.00769182j 0.0617681+0.0357154j -0.0460529+0.00267063j 0.00894472-0.0267516j 0.011402-0.00775775j -0.0297443-0.0218957j -0.0104966-0.0157259j 0.00966702+0.00517497j 0.0679873+0.0168566j -0.0390006-0.0246989j -0.0111629+0.0179729j 0.110545-0.0234592j 0.00276819+0.0438906j 0.0858511-0.0133859j -0.0427042-0.000759712j -0.0320018-0.00450902j -0.0499286-2.44259e-05j 0.00235133-0.0271844j 0.0686119+0.0147428j 0.0110065+0.00290324j 0.0207454+0.0230054j 0.0217829-0.00518738j -0.0399871+0.020209j -0.0237698+0.00370333j 0.0164298+0.00564092j -0.0577577-0.0140034j -0.0215761-0.0150997j -0.0247182-0.0388735j 0.0217508+0.0284289j -0.0479988+0.0440948j -0.0338035+0.040297j 0.00936137+0.0151772j 0.0091796-0.000693925j -0.0144157+0.014308j -0.00637704+0.00656274j -0.00171381+0.047964j -0.0364494-0.0198205j -0.00931392-0.0324838j -0.03935+0.0179223j -0.0332773-0.0149635j 0.00591749+0.00496694j -0.0149951+0.00375142j -0.0121385-0.0176696j 0.00401728-0.0034406j 0.00234021+0.0154516j 0.00434444-0.00847596j 0.0158676+0.0346662j -0.0583199+0.0263677j -0.00816756+0.0318444j 0.00485628-0.00226396j -0.00635254-0.0544057j -0.0331524+0.0174121j 0.0445692-0.0663613j 0.0208222-0.0621327j -0.00861617-0.0195287j -0.0164364+0.00425451j 0.00929205-0.0028633j 0.00802025-0.0213669j -0.024732+0.0191281j -0.0120211+0.0683267j -0.0728798+0.0043788j -0.00821552+0.0502765j -0.0147639+0.00752326j -0.00946183-0.00349315j -0.0122768-0.00851449j 0.00629409+0.0402545j -0.0105244+0.0012067j -0.0101511-0.012442j 
