0.00193308-0j 0.00015793-0j -0.000892548-0j -0.0817496-0j -0.0784553-0j 0.0673079-0j -0.0231978-0j 0.0388602-0j 0.16985-0j 0.000701872-0j 0.000541758-0j -0.000188653-0j 0.000679492-0j 0.000405226-0j 5.26435e-05-0j 0.000376755-0j -0.00125957-0j 0.000193363-0j 0.0664751-0j -0.0229108-0j 0.0383794-0j 0.0269115-0j -0.0969299-0j 0.0462288-0j 0.0266902-0j -0.119296-0j -0.34867-0j -0.0284859-0j 0.0331169-0j 0.244238-0j -0.242475-0j 0.0511206-0j 0.0972475-0j 0.0267998-0j 0.0154729-0j -0.15146-0j 0.0483199-0j -0.0727778-0j 0.0336031-0j -0.0309541-0j 0.00522534-0j -0.0253209-0j -0.0804016-0j -0.0094953-0j 0.0824088-0j 0.13837-0j -0.0320133-0j 0.115306-0j 0.140103-0j -0.0559136-0j 0.20139-0j 0.0141095-0j 0.0328125-0j -0.0203964-0j -0.103095-0j -0.0112389-0j -0.00648881-0j -0.0438571-0j 0.0201693-0j 0.0232224-0j 0.0154628-0j 0.00798481-0j 0.00555287-0j -0.00113225-0j 0.000505765-0j 0.0172806-0j -0.00761749-0j 0.00332565-0j -0.0845952-0j -7.42036e-05-0j 
0.000188653-0j -0.000409068-0j -0.000250502-0j -0.0509057-0j -0.0655144-0j -0.027323-0j 0.0600865-0j 0.0806758-0j 0.0355477-0j 0.000217838-0j 0.000225484-0j 0.00371364-0j -0.000250502-0j -0.000643203-0j -0.00054164-0j 0.000159441-0j 7.70174e-05-0j -7.23137e-05-0j 0.0276675-0j -0.060844-0j -0.0816928-0j -0.251173-0j 0.0169428-0j 0.0195638-0j -0.0577655-0j 0.00978192-0j 0.0348879-0j -0.0756496-0j 0.0416991-0j 0.050272-0j 0.0246695-0j -0.0267462-0j -0.0620878-0j 0.033745-0j -0.0996376-0j 0.0206645-0j -0.0413703-0j 0.0220306-0j -0.0292532-0j 0.0125655-0j -0.0135346-0j 0.0329358-0j 0.248047-0j -0.100166-0j -0.00483007-0j 0.0191686-0j -0.306347-0j 0.0206645-0j -0.0189299-0j 0.175395-0j -0.0118312-0j 0.0931564-0j 0.00596532-0j 0.0263316-0j -0.0319974-0j 0.0145094-0j -0.0428415-0j -0.0111546-0j 0.00512985-0j 0.00720746-0j 0.0021873-0j 0.00332334-0j 0.00234995-0j -0.00300689-0j 0.000636834-0j -0.0223092-0j -0.000881847-0j 0.0482077-0j -0.00966015-0j 9.57965e-05-0j 
0.000679492-0j 0.000204534-0j -0.000902259-0j 0.0254529-0j -0.23597-0j -0.0984122-0j -0.0300433-0j 0.290578-0j -0.0177738-0j -0.000108919-0j 0.000812149-0j 0.000250502-0j 0.00228488-0j 0.000321602-0j 0.00027082-0j -7.97206e-05-0j -3.85087e-05-0j 3.61568e-05-0j 0.0996528-0j 0.030422-0j -0.294241-0j -0.0169428-0j -0.154538-0j -0.00978192-0j 0.0288828-0j 0.0352326-0j 0.12566-0j 0.0378248-0j -0.0208495-0j 0.18107-0j -0.0123348-0j 0.0133731-0j 0.0310439-0j -0.0168725-0j 0.0498188-0j 0.0744294-0j -0.149008-0j -0.0110153-0j 0.0146266-0j 0.0452586-0j 0.00676728-0j -0.0164679-0j -0.12053-0j 0.0500832-0j -0.017397-0j -0.00958429-0j -0.0206645-0j -0.188485-0j 0.00946497-0j 0.0118312-0j 0.107915-0j -0.0465782-0j -0.00298266-0j -0.0131658-0j 0.0159987-0j -0.00725471-0j 0.0214207-0j 0.00557729-0j -0.00256493-0j -0.00360373-0j -0.00109365-0j 0.01197-0j -0.00117498-0j 0.00150345-0j -0.000318417-0j 0.0111546-0j 0.000440923-0j -0.0241039-0j 0.373548-0j -4.78982e-05-0j 
0.000405226-0j 0.000525173-0j 0.000321602-0j -0.271846-0j 0.0841094-0j 0.0141095-0j -0.0771408-0j 0.0607963-0j 0.189831-0j 0.000467915-0j -0.000116439-0j 0.000643203-0j 0.000321602-0j 0.00201619-0j -0.0013258-0j -8.2335e-05-0j 0.000165433-0j 9.28384e-05-0j -0.0142874-0j 0.0781132-0j -0.0615627-0j -0.0174984-0j -0.00874922-0j -0.0101027-0j -0.0435314-0j -0.00505136-0j 0.0749391-0j 0.0971211-0j -0.0215333-0j 0.268461-0j 0.05299-0j 0.0343375-0j -0.33156-0j -0.0174258-0j -0.0750858-0j -0.0106711-0j 0.0531124-0j 0.0473217-0j 0.0375561-0j -0.00648881-0j 0.0173761-0j 0.02482-0j 0.0172806-0j -0.245182-0j 0.00249424-0j 0.0922466-0j -0.0213422-0j -0.0106711-0j -0.0910982-0j 0.0122192-0j 0.00610961-0j 0.0702016-0j -0.00308048-0j -0.0135976-0j -0.0687303-0j -0.00749263-0j -0.0322848-0j 0.0057602-0j -0.00264904-0j 0.0154816-0j -0.00112952-0j -0.00171616-0j -0.00121351-0j 0.00386034-0j -0.00032886-0j 0.0115204-0j 0.000455384-0j 0.19664-0j 0.00498848-0j -4.94691e-05-0j 
-5.26435e-05-0j 0.000453432-0j 0.000826158-0j 0.0564265-0j 0.0726196-0j 0.00762446-0j -0.066603-0j 0.170498-0j -0.117237-0j 5.9288e-05-0j 6.13689e-05-0j -0.00054164-0j -0.00027082-0j 0.0013258-0j 0.000549635-0j -0.000132378-0j -0.000106398-0j 0.000555162-0j 0.00753013-0j -0.065779-0j 0.168389-0j -0.00945573-0j -0.00472787-0j -0.0162431-0j -0.363229-0j -0.0135135-0j 0.0094953-0j -0.0817855-0j -0.0116361-0j 0.0543495-0j -0.0204822-0j 0.146772-0j -0.0671237-0j -0.0094165-0j -0.210572-0j -0.017157-0j -0.0447258-0j -0.00614763-0j 0.0964775-0j -0.0035064-0j 0.0150024-0j 0.344594-0j -0.00910767-0j -0.0991377-0j 0.00933505-0j 0.00521703-0j 0.0112483-0j 0.00562416-0j 0.00528238-0j 0.0196461-0j 0.00982303-0j -0.192018-0j -0.0115291-0j 0.00716657-0j -0.0087086-0j 0.00394896-0j 0.0883067-0j 0.0154098-0j -0.00708678-0j 0.00196162-0j -0.00543306-0j 0.000904498-0j -0.00195108-0j -0.00325078-0j -0.000177708-0j -0.00607178-0j 0.00267651-0j 0.449804-0j -0.00262916-0j 3.31878e-05-0j 
0.000376755-0j 0.000397134-0j -8.78875e-05-0j 0.0494207-0j 0.0636032-0j -0.0545661-0j 0.368362-0j -0.0315038-0j 0.0124717-0j -0.000142608-0j 0.000932144-0j -0.000159441-0j -7.97206e-05-0j -8.2335e-05-0j 0.000132378-0j 0.000726649-0j -0.000678603-0j -0.000782898-0j -0.0181126-0j 0.122274-0j -0.0104573-0j 0.067672-0j 0.033836-0j -0.0141196-0j -0.00815196-0j -0.0861889-0j -0.0228395-0j -0.024075-0j -0.525868-0j 0.0159987-0j -0.0178045-0j -0.114561-0j -0.019759-0j 0.0673912-0j 0.0389083-0j -0.014914-0j -0.0131658-0j 0.0439968-0j -0.0102634-0j 0.0250943-0j 0.0131397-0j 0.0567439-0j 0.0219072-0j -0.00802499-0j 0.10757-0j -0.0125488-0j -0.0270562-0j -0.0135281-0j -0.0378045-0j 0.0170776-0j 0.00853882-0j 0.0119247-0j -0.132853-0j 0.108854-0j -0.132277-0j -0.00949864-0j -0.00548404-0j 0.0982834-0j -0.0451993-0j -0.00471839-0j -0.0899009-0j -0.00217563-0j -0.00169601-0j -0.000956924-0j 0.00127181-0j 0.0146048-0j 0.0575865-0j 0.00281069-0j 0.00632405-0j -6.27135e-05-0j 
0.00125957-0j -0.000319193-0j 0.000518292-0j 0.165224-0j -0.0511206-0j 0.0438571-0j 0.0468852-0j 0.0253209-0j 0.305931-0j -0.000286538-0j 7.13042e-05-0j 7.70174e-05-0j 3.85087e-05-0j -0.000165433-0j -0.000106398-0j 0.000678603-0j -0.00068491-0j -0.000833903-0j 0.00874922-0j 0.00935331-0j 0.00505136-0j -0.0543908-0j -0.0271954-0j 0.0832664-0j 0.0480739-0j 0.0209132-0j -0.0458906-0j 0.0116293-0j -0.0669325-0j 0.0321457-0j -0.436742-0j 0.0277975-0j -0.0397011-0j -0.0541651-0j -0.0312722-0j 0.0879508-0j 0.0063597-0j 0.147091-0j 0.0605253-0j -0.0201693-0j -0.0105609-0j -0.0137686-0j -0.0105822-0j 0.00387644-0j 0.114578-0j -0.0564893-0j 0.0130694-0j 0.00653468-0j -0.283163-0j -0.100711-0j -0.0503553-0j -0.0057602-0j -0.141508-0j 0.0083268-0j 0.0420886-0j 0.00458828-0j 0.00264904-0j -0.0238478-0j 0.0109673-0j -0.00948049-0j -0.194856-0j 0.00105093-0j 0.0100017-0j 0.000462238-0j -0.0010222-0j -0.00705477-0j 0.184936-0j -0.00135769-0j -0.00305481-0j 3.85607e-05-0j 
0.000193363-0j -0.00041928-0j 0.00123003-0j -0.0521766-0j -0.06715-0j -0.0280051-0j 0.0615866-0j 0.0826899-0j -0.174548-0j -3.14422e-05-0j -3.25458e-05-0j 7.23137e-05-0j 3.61568e-05-0j 9.28384e-05-0j -0.000555162-0j -0.000782898-0j 0.000833903-0j -0.00135464-0j -0.00399345-0j 0.00878207-0j 0.0117913-0j 0.0347315-0j 0.0173658-0j -0.0960637-0j 0.283644-0j 0.105913-0j -0.00503564-0j 0.0109191-0j 0.0427401-0j -0.00725613-0j -0.121134-0j -0.289593-0j 0.0089616-0j 0.0345874-0j -0.102125-0j -0.101468-0j 0.00597129-0j 0.0225806-0j 0.143641-0j 0.0128792-0j -0.0138724-0j 0.356611-0j 0.00483007-0j 0.0144578-0j -0.0904811-0j -0.00276675-0j -0.00596532-0j -0.00298266-0j -0.0194025-0j 0.116189-0j 0.0580944-0j -0.013446-0j 0.111748-0j -0.00380065-0j 0.00461843-0j -0.00209425-0j 0.00618363-0j -0.120776-0j 0.0555433-0j -0.00104031-0j -0.150885-0j -0.000479682-0j -0.0115389-0j 0.000434008-0j 0.000652732-0j 0.00322005-0j 0.351318-0j -0.00695819-0j 0.00139432-0j -2.5409e-05-0j 
0.0664751-0j 0.118159-0j 0.0429095-0j -0.0172792-0j -0.035916-0j 0.313453-0j 0.0206543-0j -0.0345993-0j 0.0122192-0j 0.129437-0j 0.079453-0j -0.0276675-0j 0.0996528-0j -0.0142874-0j -0.00753013-0j -0.0181126-0j -0.00874922-0j -0.00399345-0j -0.313428-0j -0.0206526-0j 0.0345966-0j -0.0236606-0j 0.0852207-0j 0.071451-0j -0.00788685-0j 0.021186-0j -0.039344-0j -0.0699339-0j 0.0151606-0j -0.053601-0j 0.00896911-0j 0.00472714-0j 0.0359887-0j -0.210458-0j 0.0232306-0j -0.0764278-0j -0.122431-0j 0.0432384-0j 0.0279102-0j -0.105604-0j 0.0226633-0j 0.00455384-0j -0.0733962-0j 0.00445679-0j -0.0105938-0j -0.0133844-0j 0.0492795-0j -0.177495-0j 0.0133855-0j 0.0167319-0j -0.0602649-0j -0.06737-0j 0.00711289-0j 0.0516797-0j 0.0226256-0j -0.205626-0j 0.0226972-0j -0.0412555-0j 0.0138992-0j 0.0248264-0j -0.00152728-0j -0.0430158-0j 0.00980615-0j 0.00715819-0j 0.00357802-0j -0.180797-0j 0.00062356-0j 0.00303589-0j -0.0772245-0j 0.000675925-0j 
-0.0229108-0j 0.0496789-0j 0.030422-0j 0.037999-0j -0.0254637-0j 0.0206543-0j 0.286823-0j -0.0609852-0j -0.0268715-0j -0.0264551-0j 0.172921-0j 0.060844-0j 0.030422-0j 0.0781132-0j 0.065779-0j 0.122274-0j -0.00935331-0j 0.00878207-0j -0.0206526-0j -0.2868-0j 0.0609803-0j -0.0252942-0j -0.0126471-0j -0.0146036-0j 0.0431196-0j -0.0073018-0j 0.01356-0j -0.029403-0j -0.102345-0j -0.038002-0j 0.00958839-0j -0.0103955-0j -0.0791433-0j 0.0430147-0j -0.127008-0j 0.026341-0j -0.0868014-0j 0.0462238-0j -0.0613779-0j 0.0363966-0j -0.0498393-0j -0.0248971-0j 0.0252962-0j -0.038932-0j 0.00365119-0j -0.0143086-0j 0.052682-0j 0.026341-0j 0.0143097-0j 0.0178871-0j 0.00894356-0j -0.0704196-0j 0.007604-0j -0.348877-0j -0.15274-0j 0.0420271-0j -0.124092-0j 0.00843207-0j 0.0148588-0j 0.0265406-0j -0.00163273-0j 0.0148255-0j 0.0104832-0j -0.0157417-0j 0.00382507-0j 0.0168641-0j 0.000666613-0j -0.0364416-0j 0.00730238-0j 0.000722595-0j 
-0.0383794-0j -0.0667019-0j 0.126698-0j -0.0510198-0j -0.106048-0j 0.0345993-0j 0.0609852-0j 0.149084-0j 0.0360793-0j 0.0142874-0j -0.0458722-0j -0.0816928-0j 0.294241-0j 0.0615627-0j 0.168389-0j 0.0104573-0j 0.00505136-0j -0.0117913-0j -0.0345966-0j -0.0609803-0j -0.149072-0j 0.0136604-0j -0.0492022-0j 0.00788685-0j 0.0339835-0j -0.0122317-0j 0.0227153-0j 0.0394782-0j -0.00875296-0j -0.158266-0j -0.00517832-0j 0.0139577-0j 0.106263-0j -0.0232306-0j -0.100098-0j 0.0441256-0j -0.361499-0j -0.0249637-0j 0.0824097-0j 0.0609703-0j 0.0669173-0j -0.0196219-0j 0.0423753-0j -0.0996627-0j 0.00611635-0j 0.0077275-0j -0.0284516-0j 0.102477-0j -0.00772812-0j -0.00966015-0j 0.034794-0j -0.0554992-0j -0.00410663-0j -0.0298373-0j -0.0130629-0j -0.0226972-0j -0.0977997-0j -0.00455384-0j -0.00802469-0j -0.0143335-0j 0.000881777-0j 0.0248352-0j -0.00566159-0j 0.0211358-0j -0.00206577-0j -0.00910767-0j -0.000360012-0j -0.155458-0j 0.0445856-0j -0.000390246-0j 
