0.994805-0j -0.000865877-0j -0.000530239-0j -0.000108235-0j -6.37778e-06-0j -0.00469199-0j 0.144985-0j -0.000618224-0j -8.92329e-05-0j -7.72779e-05-0j -9.10729e-06-0j -4.15689e-07-0j -0.00302676-0j -0.00305813-0j -0.000478573-0j -0.000483533-0j 0.0724467-0j -0.00025223-0j 0.0104568-0j 0.0731975-0j -0.000254844-0j 0.0105652-0j -6.30575e-05-0j -2.22942e-05-0j -5.2548e-06-0j -6.3711e-05-0j -5.57355e-06-0j -2.25252e-05-0j -5.30925e-06-0j -5.63131e-06-0j -4.64463e-07-0j -1.73095e-08-0j -4.69276e-07-0j -1.74889e-08-0j 
4.15689e-07-0j -1.65687e-05-0j 4.24261e-08-0j 0.000395413-0j 0.312459-0j 7.43051e-09-0j -2.86764e-07-0j 9.79055e-10-0j 6.45222e-06-0j -2.92677e-08-0j -9.38977e-05-0j -0.0181336-0j 2.42181e-07-0j -2.35004e-07-0j -9.1576e-06-0j 8.88624e-06-0j 3.02726e-08-0j 2.01817e-08-0j 0.000199504-0j -2.93756e-08-0j -1.95837e-08-0j -0.000193592-0j -1.20662e-06-0j 1.78383e-09-0j -0.00273729-0j 1.17086e-06-0j 2.03618e-05-0j -1.73097e-09-0j 0.00265618-0j -1.97585e-05-0j 0.0227549-0j -0.241804-0j -0.0220806-0j 0.234639-0j 
0.00302676-0j 0.00050446-0j 0.000308918-0j 6.30575e-05-0j 3.7157e-06-0j 0.00273356-0j 0.000441126-0j 0.000360178-0j 5.19871e-05-0j 4.50222e-05-0j 5.30592e-06-0j 2.42181e-07-0j 0.488529-0j -0.513277-0j -0.000268124-0j 0.000281706-0j -0.00021197-0j -0.000141314-0j -3.05953e-05-0j 0.000222708-0j 0.000148472-0j 3.21452e-05-0j -3.53284e-05-0j -1.24905e-05-0j -2.94403e-06-0j 3.71181e-05-0j -3.12262e-06-0j 1.31232e-05-0j 3.09317e-06-0j 3.28081e-06-0j -2.60218e-07-0j -9.69776e-09-0j 2.73401e-07-0j 1.0189e-08-0j 
-0.00305813-0j -0.000509688-0j -0.000312119-0j -6.3711e-05-0j -3.75421e-06-0j 0.00265255-0j 0.000428054-0j 0.000349505-0j 5.04467e-05-0j 4.36881e-05-0j 5.14869e-06-0j 2.35004e-07-0j 0.513277-0j -0.51819-0j -0.000281706-0j 0.000284403-0j -0.000222708-0j -0.000148472-0j -3.21452e-05-0j 0.00022484-0j 0.000149893-0j 3.24529e-05-0j -3.71181e-05-0j -1.31232e-05-0j -3.09317e-06-0j 3.74734e-05-0j -3.28081e-06-0j 1.32488e-05-0j 3.12278e-06-0j 3.31221e-06-0j -2.73401e-07-0j -1.0189e-08-0j 2.76017e-07-0j 1.02866e-08-0j 
-0.000478573-0j 0.00375123-0j -4.88442e-05-0j 0.000947778-0j 0.000112284-0j 0.103625-0j 0.00328026-0j -5.69491e-05-0j 0.000781386-0j 0.000334791-0j 0.000120044-0j 9.1576e-06-0j 0.000268124-0j -0.000281706-0j 0.478024-0j -0.50224-0j 3.35155e-05-0j 2.23436e-05-0j -0.000459858-0j -3.52133e-05-0j -2.34755e-05-0j 0.000483154-0j -0.000262706-0j 1.97492e-06-0j -6.66076e-05-0j 0.000276015-0j -4.69341e-05-0j -2.07496e-06-0j 6.99818e-05-0j 4.93117e-05-0j -7.86349e-06-0j -4.40349e-07-0j 8.26184e-06-0j 4.62657e-07-0j 
0.000483533-0j -0.0037901-0j 4.93503e-05-0j -0.000957599-0j -0.000113448-0j 0.100555-0j 0.00318306-0j -5.52615e-05-0j 0.000758231-0j 0.00032487-0j 0.000116487-0j 8.88624e-06-0j 0.000281706-0j -0.000284403-0j 0.50224-0j -0.507047-0j 3.52133e-05-0j 2.34755e-05-0j -0.000483154-0j -3.55503e-05-0j -2.37002e-05-0j 0.000487778-0j -0.000276015-0j 2.07496e-06-0j -6.99818e-05-0j 0.000278656-0j -4.93117e-05-0j -2.09482e-06-0j 7.06516e-05-0j 4.97837e-05-0j -8.26184e-06-0j -4.62657e-07-0j 8.34092e-06-0j 4.67085e-07-0j 
0.0724467-0j -6.30575e-05-0j 0.00738473-0j 0.00074976-0j -4.64463e-07-0j -0.000341694-0j 0.0105585-0j 0.00428254-0j -6.49839e-06-0j 0.00107626-0j 6.30878e-05-0j -3.02726e-08-0j 0.00021197-0j -0.000222708-0j 3.35155e-05-0j -3.52133e-05-0j 0.482604-0j 1.76642e-05-0j -0.00073231-0j -0.507052-0j -1.8559e-05-0j 0.000769408-0j -0.000420058-0j -0.000448661-0j 3.68004e-07-0j 0.000441337-0j -7.46467e-05-0j 0.00047139-0j -3.86647e-07-0j 7.84283e-05-0j -3.09402e-06-0j 1.21222e-09-0j 3.25076e-06-0j -1.27363e-09-0j 
-0.00025223-0j 0.0120879-0j -2.57431e-05-0j -5.2548e-06-0j -3.09642e-07-0j -0.000227796-0j -3.67605e-05-0j 0.00863056-0j 0.00124571-0j -3.75185e-06-0j -4.4216e-07-0j -2.01817e-08-0j 0.000141314-0j -0.000148472-0j 2.23436e-05-0j -2.34755e-05-0j 1.76642e-05-0j 0.48344-0j 2.54961e-06-0j -1.8559e-05-0j -0.507931-0j -2.67877e-06-0j -0.000846537-0j 1.04087e-06-0j -7.05448e-05-0j 0.000889422-0j 2.60218e-07-0j -1.0936e-06-0j 7.41185e-05-0j -2.73401e-07-0j 2.16848e-08-0j 8.08147e-10-0j -2.27834e-08-0j -8.49086e-10-0j 
-0.0104568-0j -0.000865199-0j 5.57355e-06-0j 0.00503166-0j 0.00183014-0j 4.93193e-05-0j 0.144871-0j 6.49839e-06-0j 0.0041483-0j -7.72174e-05-0j 0.00129755-0j 0.000199504-0j -3.05953e-05-0j 3.21452e-05-0j 0.000459858-0j -0.000483154-0j 0.00073231-0j -2.54961e-06-0j 0.467476-0j -0.000769408-0j 2.67877e-06-0j -0.491158-0j 6.05916e-05-0j -2.25356e-07-0j -0.000719956-0j -6.36611e-05-0j -0.000249169-0j 2.36772e-07-0j 0.000756428-0j 0.000261791-0j -0.000128169-0j -1.20084e-05-0j 0.000134662-0j 1.26167e-05-0j 
-0.0731975-0j 6.3711e-05-0j -0.00746126-0j -0.00075753-0j 4.69276e-07-0j -0.000331569-0j 0.0102456-0j 0.00415564-0j -6.30583e-06-0j 0.00104437-0j 6.12184e-05-0j -2.93756e-08-0j 0.000222708-0j -0.00022484-0j 3.52133e-05-0j -3.55503e-05-0j 0.507052-0j 1.8559e-05-0j -0.000769408-0j -0.511905-0j -1.87367e-05-0j 0.000776772-0j -0.000441337-0j -0.00047139-0j 3.86647e-07-0j 0.000445562-0j -7.84283e-05-0j 0.000475902-0j -3.90347e-07-0j 7.91789e-05-0j -3.25076e-06-0j 1.27363e-09-0j 3.28187e-06-0j -1.28582e-09-0j 
0.000254844-0j -0.0122131-0j 2.60099e-05-0j 5.30925e-06-0j 3.12851e-07-0j -0.000221046-0j -3.56712e-05-0j 0.00837481-0j 0.0012088-0j -3.64067e-06-0j -4.29058e-07-0j -1.95837e-08-0j 0.000148472-0j -0.000149893-0j 2.34755e-05-0j -2.37002e-05-0j 1.8559e-05-0j 0.507931-0j 2.67877e-06-0j -1.87367e-05-0j -0.512792-0j -2.70441e-06-0j -0.000889422-0j 1.0936e-06-0j -7.41185e-05-0j 0.000897935-0j 2.73401e-07-0j -1.10407e-06-0j 7.48279e-05-0j -2.76017e-07-0j 2.27834e-08-0j 8.49086e-10-0j -2.30014e-08-0j -8.57213e-10-0j 
0.0105652-0j 0.000874165-0j -5.63131e-06-0j -0.0050838-0j -0.00184911-0j 4.78579e-05-0j 0.140578-0j 6.30583e-06-0j 0.00402538-0j -7.49293e-05-0j 0.0012591-0j 0.000193592-0j -3.21452e-05-0j 3.24529e-05-0j 0.000483154-0j -0.000487778-0j 0.000769408-0j -2.67877e-06-0j 0.491158-0j -0.000776772-0j 2.70441e-06-0j -0.495859-0j 6.36611e-05-0j -2.36772e-07-0j -0.000756428-0j -6.42704e-05-0j -0.000261791-0j 2.39038e-07-0j 0.000763668-0j 0.000264297-0j -0.000134662-0j -1.26167e-05-0j 0.00013595-0j 1.27375e-05-0j 
6.30575e-05-0j 0.0708146-0j -0.00123079-0j 0.0118787-0j -1.47947e-05-0j 5.69491e-05-0j -0.000432213-0j 0.102261-0j 0.0147508-0j 0.00843614-0j 0.00150454-0j -1.20662e-06-0j -3.53284e-05-0j 3.71181e-05-0j 0.000262706-0j -0.000276015-0j 0.000420058-0j 0.000846537-0j 6.05916e-05-0j -0.000441337-0j -0.000889422-0j -6.36611e-05-0j 0.471731-0j 7.47769e-05-0j -0.0012574-0j -0.495629-0j -0.00118266-0j -7.8565e-05-0j 0.0013211-0j 0.00124257-0j -9.85551e-05-0j 5.80211e-08-0j 0.000103548-0j -6.09604e-08-0j 
2.22942e-05-0j 3.7157e-06-0j 0.124827-0j -0.000133469-0j 2.73687e-08-0j 2.01345e-05-0j 3.2492e-06-0j -0.00076236-0j 3.82922e-07-0j 0.0181925-0j -1.12306e-05-0j 1.78383e-09-0j -1.24905e-05-0j 1.31232e-05-0j -1.97492e-06-0j 2.07496e-06-0j 0.000448661-0j -1.04087e-06-0j -2.25356e-07-0j -0.00047139-0j 1.0936e-06-0j 2.36772e-07-0j 7.47769e-05-0j 0.475004-0j -2.16848e-08-0j -7.8565e-05-0j -0.00126178-0j -0.499067-0j 2.27834e-08-0j 0.0013257-0j 5.50784e-07-0j -7.14307e-11-0j -5.78686e-07-0j 7.50493e-11-0j 
-5.2548e-06-0j -0.0179546-0j -5.36315e-07-0j -0.00148384-0j 0.0166222-0j -4.74576e-06-0j 0.000109585-0j 8.9589e-05-0j 0.17527-0j 1.11845e-05-0j 0.00574541-0j 0.00273729-0j 2.94403e-06-0j -3.09317e-06-0j -6.66076e-05-0j 6.99818e-05-0j 3.68004e-07-0j -7.05448e-05-0j 0.000719956-0j -3.86647e-07-0j 7.41185e-05-0j -0.000756428-0j 0.0012574-0j 2.16848e-08-0j 0.456735-0j -0.0013211-0j 7.34802e-05-0j -2.27834e-08-0j -0.479872-0j -7.72026e-05-0j -0.00116409-0j -0.000220377-0j 0.00122306-0j 0.000231541-0j 
-6.3711e-05-0j -0.0715484-0j 0.00124354-0j -0.0120018-0j 1.49481e-05-0j 5.52615e-05-0j -0.000419405-0j 0.099231-0j 0.0143137-0j 0.00818616-0j 0.00145996-0j -1.17086e-06-0j -3.71181e-05-0j 3.74734e-05-0j 0.000276015-0j -0.000278656-0j 0.000441337-0j 0.000889422-0j 6.36611e-05-0j -0.000445562-0j -0.000897935-0j -6.42704e-05-0j 0.495629-0j 7.8565e-05-0j -0.0013211-0j -0.500372-0j -0.00124257-0j -7.93169e-05-0j 0.00133374-0j 0.00125446-0j -0.000103548-0j 6.09604e-08-0j 0.000104539-0j -6.15438e-08-0j 
-5.57355e-06-0j 8.8304e-05-0j -0.0102933-0j 0.0982105-0j -0.000186788-0j -5.03363e-06-0j 7.72174e-05-0j 0.000126839-0j -0.000423384-0j 0.142605-0j 0.0253262-0j -2.03618e-05-0j 3.12262e-06-0j -3.28081e-06-0j -4.69341e-05-0j 4.93117e-05-0j -7.46467e-05-0j 2.60218e-07-0j 0.000249169-0j 7.84283e-05-0j -2.73401e-07-0j -0.000261791-0j 0.00118266-0j 0.00126178-0j 7.34802e-05-0j -0.00124257-0j 0.460165-0j -0.0013257-0j -7.72026e-05-0j -0.483477-0j -0.00250166-0j 1.2256e-06-0j 0.00262839-0j -1.28769e-06-0j 
-2.25252e-05-0j -3.75421e-06-0j -0.12612-0j 0.000134852-0j -2.76523e-08-0j 1.95379e-05-0j 3.15292e-06-0j -0.000739769-0j 3.71575e-07-0j 0.0176534-0j -1.08978e-05-0j 1.73097e-09-0j -1.31232e-05-0j 1.32488e-05-0j -2.07496e-06-0j 2.09482e-06-0j 0.00047139-0j -1.0936e-06-0j -2.36772e-07-0j -0.000475902-0j 1.10407e-06-0j 2.39038e-07-0j 7.8565e-05-0j 0.499067-0j -2.27834e-08-0j -7.93169e-05-0j -0.0013257-0j -0.503843-0j 2.30014e-08-0j 0.00133839-0j 5.78686e-07-0j -7.50493e-11-0j -5.84224e-07-0j 7.57677e-11-0j 
5.30925e-06-0j 0.0181407-0j 5.41873e-07-0j 0.00149922-0j -0.0167945-0j -4.60513e-06-0j 0.000106338-0j 8.69342e-05-0j 0.170076-0j 1.0853e-05-0j 0.00557516-0j 0.00265618-0j 3.09317e-06-0j -3.12278e-06-0j -6.99818e-05-0j 7.06516e-05-0j 3.86647e-07-0j -7.41185e-05-0j 0.000756428-0j -3.90347e-07-0j 7.48279e-05-0j -0.000763668-0j 0.0013211-0j 2.27834e-08-0j 0.479872-0j -0.00133374-0j 7.72026e-05-0j -2.30014e-08-0j -0.484465-0j -7.79416e-05-0j -0.00122306-0j -0.000231541-0j 0.00123477-0j 0.000233757-0j 
5.63131e-06-0j -8.92191e-05-0j 0.0103999-0j -0.0992282-0j 0.000188724-0j -4.88448e-06-0j 7.49293e-05-0j 0.00012308-0j -0.000410838-0j 0.13838-0j 0.0245757-0j -1.97585e-05-0j 3.28081e-06-0j -3.31221e-06-0j -4.93117e-05-0j 4.97837e-05-0j -7.84283e-05-0j 2.73401e-07-0j 0.000261791-0j 7.91789e-05-0j -2.76017e-07-0j -0.000264297-0j 0.00124257-0j 0.0013257-0j 7.72026e-05-0j -0.00125446-0j 0.483477-0j -0.00133839-0j -7.79416e-05-0j -0.488104-0j -0.00262839-0j 1.28769e-06-0j 0.00265355-0j -1.30001e-06-0j 
4.64463e-07-0j -1.47947e-05-0j -9.06561e-06-0j -0.025127-0j 0.0668544-0j 4.19469e-07-0j -1.29373e-05-0j -5.25732e-06-0j 0.000217783-0j 0.000252516-0j 0.199563-0j 0.0227549-0j -2.60218e-07-0j 2.73401e-07-0j 7.86349e-06-0j -8.26184e-06-0j 3.09402e-06-0j -2.16848e-08-0j -0.000128169-0j -3.25076e-06-0j 2.27834e-08-0j 0.000134662-0j -9.85551e-05-0j 5.50784e-07-0j 0.00116409-0j 0.000103548-0j 0.00250166-0j -5.78686e-07-0j -0.00122306-0j -0.00262839-0j 0.445351-0j -0.00277251-0j -0.467911-0j 0.00291296-0j 
-1.73095e-08-0j 8.28493e-07-0j -1.76664e-09-0j -2.47495e-05-0j -0.0395891-0j -1.56327e-08-0j 7.24476e-07-0j -2.05979e-09-0j -2.04045e-05-0j 7.39416e-08-0j 0.000397177-0j 0.241804-0j 9.69776e-09-0j -1.0189e-08-0j -4.40349e-07-0j 4.62657e-07-0j 1.21222e-09-0j 8.08147e-10-0j 1.20084e-05-0j -1.27363e-09-0j -8.49086e-10-0j -1.26167e-05-0j -5.80211e-08-0j 7.14307e-11-0j -0.000220377-0j 6.09604e-08-0j 1.2256e-06-0j -7.50493e-11-0j 0.000231541-0j -1.28769e-06-0j 0.00277251-0j 0.430564-0j -0.00291296-0j -0.452376-0j 
-4.69276e-07-0j 1.49481e-05-0j 9.15956e-06-0j 0.0253873-0j -0.0675472-0j 4.0704e-07-0j -1.25539e-05-0j -5.10153e-06-0j 0.000211329-0j 0.000245033-0j 0.193649-0j 0.0220806-0j -2.73401e-07-0j 2.76017e-07-0j 8.26184e-06-0j -8.34092e-06-0j 3.25076e-06-0j -2.27834e-08-0j -0.000134662-0j -3.28187e-06-0j 2.30014e-08-0j 0.00013595-0j -0.000103548-0j 5.78686e-07-0j 0.00122306-0j 0.000104539-0j 0.00262839-0j -5.84224e-07-0j -0.00123477-0j -0.00265355-0j 0.467911-0j -0.00291296-0j -0.47239-0j 0.00294084-0j 
1.74889e-08-0j -8.37079e-07-0j 1.78495e-09-0j 2.5006e-05-0j 0.0399994-0j -1.51695e-08-0j 7.03009e-07-0j -1.99875e-09-0j -1.97999e-05-0j 7.17505e-08-0j 0.000385408-0j 0.234639-0j 1.0189e-08-0j -1.02866e-08-0j -4.62657e-07-0j 4.67085e-07-0j 1.27363e-09-0j 8.49086e-10-0j 1.26167e-05-0j -1.28582e-09-0j -8.57213e-10-0j -1.27375e-05-0j -6.09604e-08-0j 7.50493e-11-0j -0.000231541-0j 6.15438e-08-0j 1.28769e-06-0j -7.57677e-11-0j 0.000233757-0j -1.30001e-06-0j 0.00291296-0j 0.452376-0j -0.00294084-0j -0.456706-0j 
