0.996541-0j -0.000546941-0j -0.000432395-0j -0.000288263-0j -6.24108e-05-0j -7.20658e-05-0j -2.54791e-05-0j -6.00548e-06-0j -6.36977e-06-0j -5.30815e-07-0j -1.97823e-08-0j -0.00323371-0j 0.145238-0j -0.000390508-0j -5.6365e-05-0j -0.000356483-0j -6.30179e-05-0j -4.2012e-05-0j -5.25149e-06-0j -3.63834e-05-0j -7.42674e-06-0j -3.71337e-06-0j -4.37625e-07-0j -5.35978e-07-0j -3.45973e-08-0j -1.08971e-09-0j 
0.00323371-0j 0.000511295-0j 0.000404214-0j 0.000269476-0j 5.83433e-05-0j 6.7369e-05-0j 2.38185e-05-0j 5.61408e-06-0j 5.95464e-06-0j 4.9622e-07-0j 1.8493e-08-0j -0.0201323-0j 9.32793e-06-0j 7.22539e-06-0j 1.04289e-06-0j 6.59584e-06-0j 1.16599e-06-0j 7.77328e-07-0j 9.7166e-08-0j 6.73186e-07-0j 1.37413e-07-0j 6.87067e-08-0j 8.09716e-09-0j 9.91696e-09-0j 6.40137e-10-0j 2.01624e-11-0j 
0.145238-0j 0.00374887-0j -6.30179e-05-0j -4.2012e-05-0j 0.000864655-0j 0.000493957-0j -3.71337e-06-0j 0.00012524-0j 8.82485e-05-0j 1.47854e-05-0j 8.27973e-07-0j -9.32793e-06-0j -0.0197033-0j -1.12645e-06-0j 1.54558e-05-0j -1.02831e-06-0j 8.54919e-06-0j 5.69946e-06-0j 2.16759e-06-0j -1.04951e-07-0j 2.03649e-06-0j 5.03766e-07-0j 2.41264e-07-0j 2.21229e-07-0j 2.3867e-08-0j 1.05369e-09-0j 
-0.000390508-0j 0.0148036-0j 0.00464317-0j -3.25423e-05-0j -7.04562e-06-0j 0.000773862-0j 0.000826558-0j -6.77965e-07-0j 0.00013752-0j 5.70003e-06-0j -2.23324e-09-0j -7.22539e-06-0j -1.12645e-06-0j -0.0198991-0j 3.01951e-05-0j -7.96524e-07-0j 1.33936e-05-0j -9.38712e-08-0j -1.17339e-08-0j 1.55469e-05-0j 1.57846e-06-0j 2.38428e-06-0j -9.77825e-10-0j 2.29028e-07-0j 7.3532e-09-0j -2.43484e-12-0j 
5.6365e-05-0j 0.203117-0j 7.04562e-06-0j 4.69708e-06-0j 0.00449763-0j -0.000111627-0j 4.15167e-07-0j 0.00132636-0j 0.000459037-0j 0.000236122-0j 2.21228e-05-0j 1.04289e-06-0j -1.54558e-05-0j -3.01951e-05-0j -0.0192753-0j 1.14968e-07-0j -1.93198e-06-0j -1.28799e-06-0j 2.2956e-05-0j 1.17339e-08-0j 1.05931e-05-0j -1.13843e-07-0j 3.85297e-06-0j 2.34294e-06-0j 5.09453e-07-0j 3.38149e-08-0j 
-0.000356483-0j -5.6365e-05-0j 0.00853257-0j 0.00854203-0j 0.00123157-0j 0.00106404-0j -2.62575e-06-0j 8.86701e-05-0j -6.56437e-07-0j -5.47031e-08-0j -2.03866e-09-0j -6.59584e-06-0j -1.02831e-06-0j -7.96524e-07-0j -1.14968e-07-0j -0.019948-0j 2.4613e-05-0j 2.46403e-05-0j 2.05108e-06-0j 1.06324e-05-0j 2.17034e-06-0j -7.5742e-09-0j 1.27888e-07-0j -1.09324e-09-0j -7.05685e-11-0j -2.2227e-12-0j 
6.30179e-05-0j -0.000468609-0j 0.143476-0j 5.25149e-06-0j 0.0206959-0j 0.0058732-0j -0.000133385-0j -1.5655e-05-0j 0.0021096-0j 0.0001758-0j -1.03497e-07-0j 1.16599e-06-0j -8.54919e-06-0j -1.33936e-05-0j -1.93198e-06-0j -2.4613e-05-0j -0.0194644-0j -7.12432e-07-0j 5.18822e-05-0j -2.50888e-06-0j 2.4214e-05-0j 1.80954e-05-0j -3.01581e-08-0j 5.28852e-06-0j 2.83781e-07-0j -1.31712e-10-0j 
4.2012e-05-0j -0.000312406-0j 5.25149e-06-0j 0.143725-0j -7.20546e-05-0j 0.0118362-0j 3.09447e-07-0j 0.00300099-0j -7.35404e-06-0j -1.23212e-06-0j -6.89978e-08-0j 7.77328e-07-0j -5.69946e-06-0j 9.38712e-08-0j -1.28799e-06-0j -2.46403e-05-0j -7.12432e-07-0j -0.0194981-0j -1.80633e-07-0j -2.51484e-06-0j 4.87982e-05-0j -4.19805e-08-0j 5.78117e-06-0j -1.84358e-08-0j -1.98892e-09-0j -8.78077e-11-0j 
-5.25149e-06-0j 0.000118813-0j 0.000125697-0j -4.37625e-07-0j 0.24591-0j 1.5655e-05-0j -3.86809e-08-0j 0.00568649-0j -0.000131072-0j 0.00207647-0j 0.000393103-0j -9.7166e-08-0j 2.16759e-06-0j -1.17339e-08-0j -2.2956e-05-0j 2.05108e-06-0j -5.18822e-05-0j 1.80633e-07-0j -0.0188456-0j -1.09324e-09-0j -3.02472e-06-0j 1.59658e-08-0j 3.38833e-05-0j 1.00449e-05-0j 6.76797e-06-0j 7.52394e-07-0j 
3.63834e-05-0j 5.75272e-06-0j -0.000869752-0j -0.000871818-0j 6.56437e-07-0j 0.0207685-0j 0.0147017-0j -9.04985e-06-0j 0.00121231-0j -1.06772e-06-0j 2.0807e-10-0j 6.73186e-07-0j 1.04951e-07-0j -1.55469e-05-0j 1.17339e-08-0j -1.06324e-05-0j -2.50888e-06-0j -2.51484e-06-0j 1.09324e-09-0j -0.019636-0j 4.23617e-05-0j 4.24085e-05-0j -1.30526e-08-0j 2.019e-06-0j -1.37739e-09-0j 2.26853e-13-0j 
-7.42674e-06-0j 0.000111627-0j 8.83045e-05-0j 0.000177959-0j -0.000592614-0j 0.200443-0j 1.57196e-05-0j 0.0250386-0j 0.0115669-0j 0.00295938-0j -2.91493e-06-0j -1.37413e-07-0j 2.03649e-06-0j 1.57846e-06-0j -1.05931e-05-0j 2.17034e-06-0j -2.4214e-05-0j -4.87982e-05-0j -3.02472e-06-0j -4.23617e-05-0j -0.0190216-0j -4.31047e-06-0j 7.27353e-05-0j 5.90379e-05-0j 6.3851e-06-0j -4.4555e-09-0j 
-3.71337e-06-0j 2.76131e-05-0j 0.000133385-0j -3.09447e-07-0j 6.36879e-06-0j -0.00104552-0j 0.141217-0j 9.22479e-07-0j 0.0356593-0j -3.12952e-05-0j 6.0986e-09-0j -6.87067e-08-0j 5.03766e-07-0j 2.38428e-06-0j 1.13843e-07-0j -7.5742e-09-0j -1.80954e-05-0j 4.19805e-08-0j 1.59658e-08-0j -4.24085e-05-0j -4.31047e-06-0j -0.0191578-0j 1.77708e-09-0j 8.93938e-05-0j -5.05174e-08-0j 7.76118e-12-0j 
4.37625e-07-0j -1.32245e-05-0j 5.47031e-08-0j -1.04863e-05-0j 0.000215549-0j 0.000249648-0j 3.22341e-09-0j 0.280486-0j 2.19994e-05-0j 0.00787392-0j 0.00466269-0j 8.09716e-09-0j -2.41264e-07-0j 9.77825e-10-0j 3.85297e-06-0j -1.27888e-07-0j -3.01581e-08-0j 5.78117e-06-0j -3.38833e-05-0j -1.30526e-08-0j -7.27353e-05-0j -1.77708e-09-0j -0.0184082-0j -3.4582e-06-0j 5.30439e-05-0j 1.19453e-05-0j 
5.35978e-07-0j -1.21263e-05-0j -1.28127e-05-0j 4.46649e-08-0j 0.000131072-0j 0.000305562-0j 0.000216577-0j -0.000580374-0j 0.242065-0j 0.0405297-0j -4.01209e-05-0j 9.91696e-09-0j -2.21229e-07-0j -2.29028e-07-0j 2.34294e-06-0j 1.09324e-09-0j 5.28852e-06-0j -1.84358e-08-0j -1.00449e-05-0j 2.019e-06-0j -5.90379e-05-0j -8.93938e-05-0j -3.4582e-06-0j -0.0185509-0j 0.000132101-0j -7.67909e-08-0j 
-3.45973e-08-0j 1.30823e-06-0j 4.11365e-07-0j -2.88311e-09-0j -2.85006e-05-0j -1.63964e-05-0j 7.32293e-08-0j 0.000391042-0j 0.000556289-0j 0.309208-0j 0.0345434-0j -6.40137e-10-0j 2.3867e-08-0j 7.3532e-09-0j -5.09453e-07-0j -7.05685e-11-0j -2.83781e-07-0j 1.98892e-09-0j 6.76797e-06-0j 1.37739e-09-0j 6.3851e-06-0j -5.05174e-08-0j -5.30439e-05-0j -0.000132101-0j -0.0179449-0j 0.000134177-0j 
1.08971e-09-0j -5.77564e-08-0j 1.36214e-10-0j 9.08093e-11-0j 1.89173e-06-0j -7.61007e-09-0j 8.02648e-12-0j -4.34721e-05-0j 1.93074e-07-0j 0.000732048-0j 0.361927-0j 2.01624e-11-0j -1.05369e-09-0j 2.43484e-12-0j 3.38149e-08-0j 2.2227e-12-0j -1.31712e-10-0j -8.78077e-11-0j -7.52394e-07-0j 2.26853e-13-0j 4.4555e-09-0j -7.76118e-12-0j 1.19453e-05-0j -7.67909e-08-0j -0.000134177-0j -0.0173401-0j 
