-0.00802086-0.000367455j 0.00481833+0.0108808j -0.00958908-0.0204152j -0.011974-0.0136843j -0.00073819-0.00722086j -0.00666556-0.0293155j -0.00698363+0.00426675j 0.00807704-0.00718503j -0.0145686+0.0171202j 0.02736+0.00340507j 0.0245185+0.01166j 0.0097323-0.0013989j 0.00310034+0.00878408j 0.000602137+0.00601072j 0.0154653+0.0126644j -0.00969545-0.0137768j 0.00364044-0.0276014j -0.0229619-0.00779025j 
-0.00031667+0.00349941j 0.0160205-0.00824366j -0.0204429+0.00137527j -0.000423865-0.00129022j -0.0379645+6.73968e-05j 0.025797+0.00161513j -0.00729612-0.00537047j 0.0150409+0.00497434j -0.00695577-0.000458703j 0.00241823+0.00134772j -0.00269402+0.00377351j 0.0174709-0.0106051j 0.00414164-0.00935493j -0.0131032+0.00319439j -0.00262082-0.000475271j -0.0119135-0.00226418j 0.000847458-0.00272601j -0.0125482-0.00449958j 
0.00608029-0.00136088j -0.00538983+0.00888921j 0.00819514+0.00291263j 0.0135414+0.00116585j 0.0191122-0.000197898j -0.0267204-0.00228267j 0.0097987-0.0035423j 0.00802549+0.00232009j 0.0123536-0.00308365j -0.00140419-0.00108541j -0.00378249-0.00363318j -0.002841+0.00525972j -0.00287383+0.000424901j 0.00296796-0.00379456j -0.0009621-0.00432518j -0.00756444-0.00390811j -0.00479653+0.000856241j -0.00276756-0.00556718j 
0.00446849+0.00767392j -0.000796999+0.0128661j 0.000783552-0.0275784j -0.00783877+0.0101473j -0.000687995-0.0252287j 0.00188269+0.0137375j 0.00637549-0.0051682j -0.00717375+0.028144j 0.00591303-0.00718108j -0.0131996-0.00534128j 0.0026681-0.00170468j 0.0152824+0.0188034j 0.0033891+0.00628544j -0.00668584-0.021692j 0.00158471+0.0129193j 0.00220579-0.00871185j -0.00370949-0.0106565j -0.001339+0.00459091j 
0.00417357+0.00231893j 0.0053655+0.0129708j 0.00389788+0.014029j 0.000282675+0.0061127j -0.00832646-0.0050902j 0.000600752-0.0184898j 0.000799284+0.0304413j 0.0027815+0.00904431j 0.000749451-0.0204298j -0.00535344+0.0114256j 0.00955533-0.0206957j 0.000116554-0.00120823j 0.00470904-0.00287747j 0.00115051+0.00378283j -0.0131733-0.00362335j -0.00214588-0.0104107j -0.0122527+0.00631957j -0.00965535-0.0156647j 
-0.00382615+0.0206485j -0.0171847-0.0109915j -0.000275694-0.00146457j -0.0132025+0.0170557j -0.00209447+0.0140966j 0.010722-0.0300286j -0.00748956+0.00342152j -0.0156019+0.0171195j 0.00654765-0.000301431j -0.00514783-0.000158254j 0.0112742+0.0112362j -0.0111811-0.00986846j -0.00700659+0.00344359j 0.00406267+0.00503712j -0.00145694+0.0126613j 0.00723065+0.0163562j -0.00350644-0.00467759j 0.0028555+0.0100638j 
-0.00634804+0.00638185j -0.00310501+0.00206742j -0.000111706+0.0129763j 0.0104648-0.0281518j 0.0114097-0.0167399j -0.00348631+0.00812499j -0.0034316+0.0183989j -0.0061489+0.00333859j 0.00825824+0.00693075j -0.00316684-0.00823947j -0.0095163+0.0265985j 0.00340565+0.0118177j -0.0135888+0.0125031j 0.0122518-0.0180632j -0.0183958+0.005241j -0.0195635+0.00393926j -0.00936971-0.00546121j 0.0102928-0.00477183j 
0.00662689+0.0158954j 0.00953368+0.0058029j 0.00446143-0.00573825j 0.0189926+0.0211907j 0.000974787+0.0224517j -0.0187104-0.01251j 0.000957089+0.011025j 0.0094102+0.0020554j -0.0125766-0.0121736j 0.000971273-0.0019232j -0.0125122-0.0038398j -0.000476307+0.000551222j -0.00616102-0.00512895j 0.00537114-0.00472594j -0.0105704+0.0104799j -0.00620705+0.00200656j -0.00211519+0.00192121j -0.0108028+0.0158836j 
-0.0159003-0.0144868j -0.00835996-0.00165665j -0.00173063-8.16095e-06j -0.00641493+0.0141517j -0.000158295+0.00522134j 0.00639044-0.00904693j -0.00817535-0.00514967j -0.0070284-0.00197575j 0.00740742+0.00988813j 0.00807501-0.0076477j -0.0124304-0.0199j -0.0186729+0.00384716j -0.0110395-0.0121883j 0.0244392+0.012338j -0.00669207-0.015215j -0.0035214-0.0196646j 0.00256565-0.0144427j -0.0112653+0.00583853j 
0.00805742+0.0115069j 0.00146448-0.00549499j 0.00733344+0.00774256j -0.0120516-0.0237231j -0.0206955-0.0163308j -0.00186388+0.00440149j 0.00715534+0.00774728j 0.00813527+0.0172217j -0.0155938-0.00360675j 0.0103452-0.000523545j -0.00672098+0.00324436j 0.00128516-0.0103754j 0.00569168-0.0200153j 0.00301126+0.0112395j -0.00756437+0.0125944j 0.00267118-0.00187889j 0.00515892+0.00533117j -0.00896138+0.00222454j 
0.00303627+0.00805555j -0.000285402-0.00631794j -0.00149707+0.0241856j 0.0145064-0.0257883j 0.0116304+0.0143068j -0.00152455-0.00577319j -0.00243013+0.0276774j -0.00285045-0.00199079j 0.000460839+0.0192804j 0.00277496-0.021431j 0.00448457+0.0126519j 0.0141078-0.0232072j 0.0181749-0.0323329j -0.0115327+0.00719923j -0.0100784+0.00917299j 0.00678977-0.00977249j 0.00142467-0.00429394j 0.00599646-0.00561715j 
0.0315018-0.00216832j -0.00193506-0.00700907j 0.0107956+0.00257838j -0.0332128-0.0237015j -0.0103827-0.0101846j 0.0103709+0.0100285j 0.0109054-0.000337671j 0.00797794+0.00449082j 0.00441294+0.00579806j -0.00695839-0.000522332j 0.0262956+0.00618988j -0.0166267-0.00404814j -0.0210022-0.00458333j 0.00883442+0.00690341j 0.0098039-0.00180302j -0.00114039-0.00147203j 0.00127004-0.00290939j -0.00249523-0.017106j 
0.0164525+0.00297127j -0.00648819-0.00302125j 0.029024+0.00538178j -0.0144754-0.0147638j 0.0220957+0.00530102j -0.0208981+0.000661171j 0.024182+0.00713187j -0.000922308-0.00670575j 0.00388631+0.00324548j -0.0133729-0.00568944j -0.00338355-0.00258833j -0.0101481-0.00474462j -0.0206601-0.0141171j 0.0055879+0.00386642j 0.00916682+0.00771845j -0.00808303-0.00781653j -0.00389169-0.000694167j 0.00314578+0.00988234j 
-0.00282928-0.00349934j -0.00686446+0.0024251j 0.0209336+0.00617815j -0.0341687-0.00906206j -0.0138899-0.00446289j -0.000378343-0.00526745j 0.0196339+0.00247588j 0.01053+0.00787015j -0.00345237+0.000913675j 0.00502273+0.00789864j 0.00129383+0.00239629j 0.0126896+0.00380959j 0.00988752+0.017656j -0.00762986-0.00954505j 0.00093258+0.010984j -0.00177751+0.0121772j 0.00100752+0.0089994j -0.00580255-0.00228374j 
-0.00113964-0.0063127j -0.00179407+0.00365765j -0.00408922+0.00742102j -0.00404815+0.00557709j -0.0122695+0.0120304j 0.00518494-0.00543586j -0.00653021+0.00485641j 0.0124876-0.00661148j -4.28423e-05+0.00401376j -0.00186571+0.00433364j -0.014367+0.0113192j -0.00988995+0.011802j -0.0285346+0.0173497j 0.0221472-0.0106452j -0.00422749-0.00975649j -0.0237988+0.00304707j -0.0113186+0.00102803j 0.013635+0.00205141j 
0.0131016-0.00615438j 0.012485-0.0103828j -0.0119151-0.00473026j 0.0213563+0.00277292j 0.00501435+0.0120431j 0.00331046+0.00115861j -0.0139988+0.00590511j -0.00670726-0.00868587j -0.0250666-0.00768328j 0.00611322+0.00985393j -0.00870526-0.00698665j 0.00695055+0.0170789j 0.00574316+0.0175105j 0.00107858-0.00936333j -0.0100664-0.00633629j 0.0035464+0.00617577j 0.000178276+0.00509153j 0.00128094+0.0104681j 
0.00123475+0.00472157j 0.0130412-0.00786555j -0.000174703+0.00208249j 0.0119114-0.0137549j 0.00750082-0.00234759j -0.00272555+0.00403993j 0.0242801+0.00441843j -0.00175943-0.00182903j -0.00209016-0.0044323j -0.0160544+0.00432022j 0.00643139-0.00904915j -0.0198728-0.00449755j -0.0252744-0.00167654j -0.00133436+0.00236894j 0.0126342+0.0182511j -0.000746192+0.00379016j 0.00387033+0.00638711j -0.00742264+0.00391327j 
0.00394931+0.00208234j 0.007245-0.00422942j -0.0195067+0.0168894j -0.00143185+0.00933583j -0.0360398+0.0301718j 0.0158449-0.0193889j -0.00831324+0.00857468j 0.0347256-0.0113584j -0.00687768+0.00885084j 0.00216005-0.00178745j 0.00518404+0.00324888j -0.00846437+0.00377948j -0.0178688+0.00892585j 0.00959459-0.00810432j 0.00874628+0.000716492j -0.00701667+0.00239581j -0.00220616+0.00134499j 0.000434107+0.000857924j 
0.016868-0.018902j 0.000275502+0.00854976j 0.00197515-0.0306476j -0.0279748+0.0196629j -0.0200581-0.0162587j 0.0115748+0.0158226j 0.00371297-0.00642602j 0.015063+0.0126294j -0.00549602+0.000211496j -0.00505482-0.00278019j 0.00395711-0.00164792j -0.00588146-0.0151012j -0.0200094-0.0203799j 0.0103935+0.00885757j 0.000660831+0.00587399j -0.0100548-0.00712274j -0.00644347-0.0034503j -0.00330357+0.00552329j 
0.01165-0.0170351j -0.000736687-0.00464008j 0.0139148+0.00569122j -0.00702962+0.00561152j 0.0122491+0.0209253j -0.0100938-0.00872779j 0.0114173+0.0200131j 0.000128662-0.0194814j -0.00735984+0.00901634j 0.00528178-0.00160075j 0.00984905+0.00378828j 0.014212-0.00215833j 0.0152238+0.0126495j -0.0100763-0.0127071j -0.0124303+0.00864275j 0.00424617+0.014737j 0.000788874+0.00997451j -0.00146457-0.00387894j 
0.000244819-0.0054903j -0.015817-0.000545089j 0.00435627+0.0183886j -0.0140134-0.000275546j -0.00329644+0.00634958j 0.00120651-0.0165936j -0.00740779-0.00597244j 0.00380417-0.00527227j 0.0252915-0.0115741j -0.00792158+0.00329951j 0.0131852-0.0096654j -0.000323698+0.0158205j 0.00055098+0.0246474j -8.34842e-05-0.0101059j -0.00179914-0.012073j -0.00519131+0.00961655j -0.0129975-0.00258025j -0.0114442-0.0039478j 
-0.0112337+0.0222389j 0.00387101-0.0104254j -0.0193215+0.0220579j 0.0274151-0.0391042j 0.00549354-0.0193351j 0.0052755-0.00710677j -0.00979348+0.015821j -0.0102931+0.023767j -0.00187695-0.0116964j -0.00689779+0.00198897j -0.00605588-0.00155521j -0.00846804+0.00384212j -0.00976182-0.00576386j 0.00544253+0.00444104j -0.00586095+0.0125395j -0.00197472-0.00456459j -0.00735746-0.00434936j -0.00378821+0.00757991j 
-0.015077-0.0200022j 0.0200243-0.00709456j -0.0284524-0.0116957j 0.0342892+0.00816272j 0.0121399+0.00343545j 0.0170981+0.0017235j 0.0117988+0.00494754j -0.0143514-0.00295224j 0.00306492+0.00920816j -0.0128233-0.000379125j 0.0103538-0.0130764j -0.015661-0.00759842j -0.0218412-0.000460491j -0.00247363-0.000674423j -0.000207227+0.0118913j -0.00376261-0.000972257j 0.00408495-0.0023687j -0.0112007-0.00624585j 
0.0171383+0.00374244j -0.00369204-0.0350594j 0.00217636+0.0171345j -0.016122-0.0408211j 0.00038395-0.00963839j 0.00623074-0.00779827j 0.0170862-0.00818057j 0.00186932+0.0135724j -0.0168086+0.00951166j 0.00442148+0.0190066j -0.016231-0.00672549j 0.000872546+0.0193135j -0.00890715+0.0223151j 0.00102503+0.00174053j 0.0131049-0.00145782j -0.00555942-0.0027601j 0.0055104-0.00548465j -0.00400005+0.0113001j 
-0.0270319-0.04739j -0.0305639-0.00298148j -0.0111218-0.00107134j -0.0133259+0.0206651j -0.00261131-0.00988378j -0.00158559-0.0162817j 0.011893-0.00377827j 0.00983041+0.00950039j 0.00704825+0.0225854j 0.0109197-0.00358137j -0.00725089-0.00719155j 0.00407972-0.00949681j 0.0119948+0.00194413j 0.000564379-0.00373494j -0.0023524+0.01871j 0.00445685+0.00800303j -0.0073118+0.00946639j 0.00624613+0.0115361j 
0.0446449-0.0260026j -0.00639375-0.0280029j 0.00111784-0.0120454j -0.0208824-0.00650865j 0.00920325-0.00233304j 0.0134509-0.00179958j -0.00615695+0.00800732j -0.0105353+0.0083152j -0.0179996+0.00649822j 0.00385696+0.00393515j 0.00823582-0.00127088j 0.0114949+0.00259465j 0.000859047+0.00331461j 0.00331686-0.000645681j -0.0202153-0.00301605j -0.00337336+0.00435778j -0.00776025-0.00540533j -0.00637009+0.00479854j 
