0.0113931-0.0122284j 0.0231404-0.00413415j 0.0173093-0.00600453j -0.00762423+0.00130796j 0.00446915-0.005618j -0.023528+0.00572908j 0.0139875-0.00130405j -0.00834762-0.00596549j -0.0108995+0.00454275j 0.00959387-0.00203155j 0.0249005+0.000104513j -0.0112321-0.000818645j 0.00410434-0.000558936j 0.0074266+0.0103888j -0.00908165+0.00105461j 0.0137877+0.000822634j 0.00747211+0.00136838j -0.00846586-0.00744151j -0.0108979-0.00621098j -0.00636865-0.00472751j 0.0212418+0.00594772j -0.00139772-0.0116513j 
0.00107811+0.00213837j 0.00970886-0.0145046j 0.00260344+2.53848e-06j 0.00978268-0.00469044j 0.00317114-0.0018124j -0.00304-0.00259548j -0.00183967-0.000729326j -0.00930571+0.0109691j 0.0105982-0.0190199j 0.0122118-0.0132j 0.0156084-0.00249327j 0.0103171-0.0112535j 0.0114084-0.00968619j -0.00522133+0.0112259j 0.021899-0.0104107j 0.00371161-0.0021297j 0.0172227-0.00287423j 0.0173298-0.00316432j 0.000519837-0.00113263j 0.0144974+0.00469261j -0.00815348-0.00544658j 0.0114843+0.00342084j 
0.000899051+0.00679062j 0.00371509+0.0118363j 0.000461071-0.00255204j 0.00328885+0.0189418j -0.00795513-0.00162394j 0.0113741+0.00484088j -0.00131937-0.0032786j -5.82973e-05+0.0050315j 0.000137024+0.00238498j 0.0082253+0.00469392j -0.00169592+0.00567296j 0.0151306+0.0201637j 0.00295874+0.0108088j -0.0035083+0.00197386j -0.000987814+0.00271745j 0.0123036+0.0178514j -0.00597924+0.00945863j 0.00124432+0.00459448j 0.00891668-0.00130223j -0.00295823-0.000178967j 0.0194702-0.00918312j -0.000775488-0.00538599j 
0.000531208-0.00611694j -0.00321638+0.00445316j 0.00188872-0.00389364j -0.00430059-0.00534192j -0.0118007+0.0120303j -0.00701925-0.00753804j -0.0129649+0.0104714j -0.00279605-0.013442j 0.00825421+0.00539139j 0.0245863-0.00509447j 0.00936695+0.000147997j 0.0106002-0.0105666j 0.00842098-0.00556556j -0.0069464-0.0027292j 0.0191974+0.00898528j 0.0190479-0.00555131j 0.0151492+0.00220911j 0.000723529-0.000530424j 0.0134354+0.00860645j -0.00401001+0.00991419j -0.00646198+0.00253832j -0.0053035+0.00624608j 
0.00107382+0.0046603j 0.00608669+0.00265378j 0.0030358+0.00376045j 0.00176511+0.00661009j 0.00139424-0.0116713j -0.00477333-0.000947613j 0.00663509-0.00792928j -0.00688748+0.000252363j 0.0161461+0.00781338j 0.00602444+0.0182905j 0.00632994+0.0217093j 0.000107743+0.0157504j 0.0102031+0.0190831j -0.0113924-0.0048495j 0.00680762+0.0202495j -0.0116392+0.00974874j -0.000473101+0.0187622j 0.00612264+0.0148208j -0.00101304+0.00812125j 0.00100996+0.0143079j 0.00444383-0.00600746j 0.0023774+0.00735865j 
-0.00430915+0.00556294j 0.00558051-0.0135404j 0.000151813+0.00539744j -0.000784846+0.00482505j 0.00580554-1.97486e-05j 0.0120717-0.0134786j -0.0146819+0.0124955j -0.00694406+0.0154589j -0.00605082+0.00719472j -0.0100878+0.00127392j -0.00847515+0.00522443j -0.0216662+0.0150826j -0.0105945+0.0113498j -0.00225576+0.000556769j -0.00633445+0.00310026j 0.0157792-0.00421991j -0.00266625+0.00670579j -0.014882+0.00159285j -0.0090252+0.00122111j 0.00503826-0.000592793j -0.000372378-0.000534217j 0.00756114-0.000752258j 
0.00387329+0.00391609j 0.00302348+0.0102754j -0.00473659-0.00186954j 0.00646598+0.0151891j 0.00950103+0.0164382j -0.00604928-0.00905486j 0.00931162+0.0248929j 0.00208815+0.000911503j 0.00810644+0.00855062j -0.00269226-0.0130814j -0.00130695+0.00369525j 0.0109495+0.00696012j 0.000870489+0.00655041j -0.0035727+0.00393436j 0.00229458-0.00417215j 0.0064271-0.0306648j 0.0014592-0.000144822j -0.00677563+0.0158795j 0.00714831-0.01401j 0.000788113+0.00342433j 0.00541759-0.00899689j -0.00385632+0.00173885j 
0.0078672-0.00241685j -0.00378841-0.00172813j -0.00273812-0.00696473j 0.0116345+0.00283268j -0.0149768-0.00662377j 0.0043179-0.00877695j -0.00987851-0.00309507j 0.0158+0.0129089j -0.00558594+0.00537995j 0.010638+0.00950559j 0.0112532+0.00637971j 0.0202709+0.00892688j 0.0103338+0.00529049j 0.00564001-0.00227584j 0.00073995+0.0012971j 0.017401+0.00969567j 0.00959161+0.00909154j 0.00463848-0.00296556j 0.00201797+0.00157446j 0.000376125-0.00834673j -0.00578718-0.0110653j -0.00593298-0.00785094j 
0.000442399+0.0124617j -0.00011849+0.00147395j -0.00212411+0.0202716j 0.0060643-0.00177716j -0.00953937+0.0130418j 0.00376879+0.00933297j -0.0122074-0.00282772j 0.0117153-0.0206839j 0.010684-0.0102538j 0.00900688-0.00860212j 0.0108879-0.0173242j -0.000844891-0.000643584j 0.013196-0.00676357j -0.018077+0.010497j -0.00382127+0.00596j 0.0105761+0.00617178j 0.0039851+0.00280212j -0.00386247-0.00226362j -0.00442908+0.00280382j -0.00146988+0.00197459j 0.00294449-0.00680484j -0.000147391-0.000575156j 
-0.00357613-0.00504325j 0.00704685+0.00706399j 0.00401024-0.00648389j -0.014784+0.00175281j -0.002897+0.00670535j 0.0154933+0.00317564j -0.0172219-0.00294877j -0.02144-0.00082631j -0.0131664+0.00232815j 7.52447e-05-0.00864543j -0.0134667-0.00231329j -0.0159014-0.00695383j -0.0161383-0.00540546j 0.00367328-0.00296928j 0.00247578-0.00219258j 0.0164393+0.00950738j -0.00671176-0.0024706j -0.00965134-0.0122383j 0.00991047-0.00273702j -6.68663e-05+0.00651991j 0.00376211+0.00496447j 0.000918375+0.00568587j 
0.00359373-0.00386232j 0.0193023+0.0187436j -0.0108327+0.00244989j 0.00857365+0.00731257j 0.0058646+0.0105492j 0.00669931+0.0157605j 0.000964695-0.0109805j -0.00978108-0.0112151j 0.00395102-0.00488709j -0.00278654-0.0132632j 0.00418413-0.00755186j -0.000537253-0.0227992j -0.000656366-0.00593715j -0.00247409+0.00164137j -0.00226295-0.00633037j -0.00639028+0.0067987j -0.00241195+0.000339555j 0.00536009-0.00425507j -0.00146186-0.0205692j 0.00289761+0.00819235j -0.00326895-0.0144935j -0.00663634+0.0125939j 
-0.018976-0.00317261j -0.00446845-0.00043507j -0.0257363-0.00511172j -0.00349672+0.00660493j -0.0153425-0.00150448j -0.0152821-0.000328314j 0.000280631-0.00229164j 0.0239153+0.00680423j 0.0117052+0.0160307j 0.0130459+0.00373564j 0.0177333+0.0102959j -0.00260122-0.00711002j 0.00405025+0.0113525j -0.0141997-0.0223362j -0.00497273-0.00663785j 0.000222713+0.000959485j -0.00238975+0.00176623j -0.00443826-0.00448241j 0.000428602-0.00510123j -0.00512998-0.00181378j 0.00926286+0.0103376j 0.000470661-0.00148864j 
0.00604641+0.0141183j -0.0234803+0.00632217j 0.00792142+0.00732253j -0.00678146-0.00303177j -0.0026939+0.00787738j -0.0107978+0.00827101j 0.000889262+0.00415443j 0.00273121-0.0192258j 0.00118795-0.0104808j 0.00934962-0.0034149j 0.0030373-0.0118528j 0.00669714+0.00453351j 0.0015202-0.0110428j -0.00509442+0.0120668j 0.00340808+0.00406809j -0.00634727-0.00279646j 0.00490206-0.00559047j 0.0029352+0.00573637j 0.00889526+0.0119595j -0.00691256+0.000659243j 0.00859075-0.000367359j -0.00768057-0.00749109j 
0.0122413-0.00464709j -0.00845798+0.0139048j 0.00881993-0.0171034j -0.0111685+0.00156765j -0.00114551-0.00225371j -0.00137631+0.00162893j 0.00622248-0.00328921j -0.00560606+0.00509078j -0.0096817+0.0025816j -0.00110475+0.000172679j -0.00702209+0.00445541j 0.00765384-0.00536601j -0.0040295-0.00150963j 0.0153793-0.00299073j 0.00810072-0.00290702j -0.00539832+0.000464527j -0.00407943-0.00612981j 0.00249236-0.00367648j 0.0155185-0.00318644j 0.000236261+0.00411779j -0.00175615-0.00362823j -0.00922071+0.00200928j 
