0.132687+0.0232394j 0.0175532+0.185137j 0.0373433+0.0182233j -0.156937+0.0988407j -0.0989229-0.0900918j 0.179085-0.0848177j 0.183251+0.205285j 0.063077-0.104112j -0.0600243+0.211017j -0.0005507+0.120017j -0.26283+0.0771019j -0.106517-0.164828j -0.126524-0.0177934j 0.04878+0.161029j -0.256952-0.129613j 0.111704-0.287165j -0.0312948+0.287691j -0.212708+0.0570537j -0.0637457+0.0352107j -0.091655+0.0237344j 0.239784-0.111438j 0.115362-0.0194778j 0.104714+0.00557863j -0.0861393+0.132627j 0.0504711+0.00776072j -0.0949989-0.0809578j 0.0586797-0.0315097j -0.270943-0.126028j -0.0113665-0.00770184j -0.192143-0.281567j -0.0716305+0.0863085j 0.219411-0.182157j 0.101052+0.273246j 0.194039-0.112225j 
0.0239821+0.0381615j 0.0591108+0.00217945j -0.0479387-0.104673j -0.0365019-5.92646e-05j 0.0708764+0.0385388j -0.015414+0.0284717j -0.0154894-0.026568j 0.00379984+0.0241245j 0.0419217+0.0294817j -0.0486909+0.0291806j -0.0295278-0.00712651j -3.29653e-05-0.00322948j 0.00123313+0.0245233j 0.00229522-0.0297781j -0.0130034-0.0642525j -0.0244759+0.123931j -0.0275972+0.0572814j 0.180395+0.0359301j -0.00709295-0.0572631j -0.0160113+0.00573015j 0.0107055-0.0867498j -0.00985743-0.0279184j 0.00584533-0.0282044j 0.0126663+0.0168379j -0.0671942-0.0173998j 0.0149586+0.021081j 0.0733216+0.0646494j -0.0594685+0.0537025j -0.059994+0.0406273j -0.0163836+0.00727311j -0.039737+0.0282149j -0.0177159+0.0527322j -0.0389736+0.0968331j 0.0944698+0.0529629j 
0.0527382-0.0775604j -0.0256144+0.00269688j -0.055235-0.107948j 0.0470123-0.0238523j 0.0162293-0.0657368j -0.0234546+0.0534729j -0.0235025+0.00896379j 0.0759772-0.0387377j 0.0322226-0.0327101j -0.0452665+0.0658362j -0.00902171+0.0235183j -0.0599581+0.0135949j 0.0779311+0.0146012j 0.0233174-0.0275638j 0.0181696+0.0612295j 0.0244964-0.0647627j 0.0880237-0.0750864j -0.0221414-0.0361402j 0.0226404+0.053537j -0.0065106+0.022011j 0.03865+3.29698e-05j -0.0391944-0.0519409j -0.000696505-0.0068579j -0.00879966-0.0102843j 0.0260229+0.0703473j -0.0103896-0.0123185j -0.0327615+0.00903521j -0.0438533-0.00893308j 0.0909737+0.031532j 0.0600344-0.0899203j 0.0135728-0.0750745j 0.0571121+0.0353564j -0.0105456-0.0256622j -0.0539462-0.0388317j 
0.00559976+0.0417436j 0.059132-0.0282511j -0.0881912-0.00155978j -0.0524416+0.0230333j 0.0601035+0.0167818j 0.00255502+0.0105026j -0.0273362+0.0483136j 0.101663-0.0345346j 0.012241-0.0929788j 0.0231531+0.0402868j 0.01656+0.0534413j -0.062097-0.0108041j -0.07595-0.0523104j -0.0372825+0.079465j -0.00857622-0.00492408j 0.033183-0.00936356j 0.0306808-0.0486494j 0.0163284-0.0454296j 0.0495947+0.0814786j 0.125348-0.00168684j -6.90927e-05-0.0340428j 0.0195615-0.00848138j -0.000906442-0.0105431j -0.00991145+0.0141567j 0.0759359+0.050856j -0.0466642+0.0546118j -0.0163151-0.0169814j 0.0677919-0.0235679j -0.0723789-0.0524382j -0.00872628+0.0292276j -0.0533518+0.128207j 0.0430338+0.0354949j 0.0443242-0.0192084j -0.0290819+0.00406804j 
-0.0263111-0.0665173j -0.029247+0.0433287j -0.0141143-0.0442451j 0.0270745-0.0540242j -0.0545618-0.0188481j 0.0774161+0.0695698j -0.0442576-0.0250348j -0.0627295+0.00388415j 0.0785686+0.00730094j 0.0307127+0.127975j -0.0483078+0.0134742j 0.0587038+0.04346j -0.089905-0.0584311j -0.0686695+0.0178731j 0.0113614+0.0584718j -0.09847+0.0375183j -0.0438266+0.0509386j -0.0502883+0.012493j -0.0378872-0.0273602j 0.0542714+0.0190834j 0.000817339+0.0120834j -0.0109213-0.00534235j 0.00732273+0.0187008j -0.0231874-0.0136323j 0.0470324+0.004805j -0.0896538-0.0173866j -0.0131581+0.043215j 0.0659284-0.0650119j 0.0378099-0.128715j 0.0073953+0.0695995j -0.0297611+0.0491427j -0.0336449-0.0586992j 0.0153774+0.00466973j 0.0394719+0.0335405j 
0.0162578-0.0157448j -0.040389-0.0225359j 0.0287717+0.0106832j 0.0115386+0.00994123j -0.0252541-0.000403605j 0.0145834-0.0388975j -0.0665338-0.00839178j 0.0344194+0.00377987j 0.0150929+0.0419548j 0.0549988-0.00572291j 0.0106009-0.0504886j -0.0644221+0.00664731j 0.00531518-0.0318723j 0.0368994-0.00727829j 0.0033069-0.0312806j -0.0348164-0.00447524j 0.0206646-0.0284554j 0.0243619+0.0180274j 0.0375527+0.0154817j -0.0179707+0.0278209j 0.0433405-0.00637123j -0.0121191+0.0460527j 0.02983-0.0018279j -0.102048+0.066071j -0.00373514+0.00335386j 0.0362879-0.015417j 0.0187763+0.0315924j 0.0651487+0.0198723j 0.00318105-0.00619203j 0.0152774+0.00749539j 0.0536243+0.00348531j 0.00726571+0.00538438j 0.0603121-0.00839733j 0.0627432+0.0191153j 
-0.0115898+0.0247569j 0.0472184-0.0190063j -0.0428331+0.0251872j -0.0299831+0.0243703j 0.0294918-0.0182855j -0.0159327+0.0263473j 0.0219028-0.0117504j -0.0112083+0.0328281j -0.0229321+0.00556068j 0.00612761+0.0307625j -0.00888661+0.021773j 0.01211-0.0068442j -0.0164171+0.00528585j 0.0180513-0.0094952j 0.000932385+0.0185617j -0.0165132-0.0264249j -0.0260874+0.00197724j 0.0155017-0.0234268j 0.0323078+0.0250916j -0.0262769-0.000709508j -0.0167905+0.0668437j -0.0207239-0.0181813j 0.0494957-0.0259965j -0.0471997-0.0243929j 0.00726299-0.0107351j -0.0171342-0.00297049j -0.0648985+0.00162005j 0.00131007+0.0612262j -0.0393515-0.021304j 0.0176514-0.0360786j -0.0056267-0.00779318j -0.0251057+0.00111946j 0.00342429+0.0213926j 0.045728+0.00332622j 
-0.0311937-0.00121452j -0.041819-0.0139728j -0.00133544+0.0472597j -0.000250733+0.0872745j 0.012341+0.00088595j -0.052268+0.0253865j -0.00830493+0.0412731j 0.0217843+0.0246388j 0.0246643+0.0248447j 0.0480447-0.0204498j -0.0603987+0.0126285j -0.00117712+0.0617636j -0.0226361+0.0293304j -0.0165126-0.00923295j -0.0299488+0.035538j -0.00348415+0.0196765j -0.0161569+0.00874386j 0.0368005-0.0304393j 0.00752676-0.0122195j 0.0199859-0.0307902j 0.0356178+0.0463046j -0.00606612-0.00992j -0.021515+0.0122021j 0.0155185+0.0470269j -0.0322797+0.00492765j 0.000429304+0.0143256j -0.0796054+0.0183479j 0.018654+0.0227892j -0.039468-0.0343794j -0.0171235-0.0477366j -0.00433015-0.0484877j 0.0298798-0.019431j -0.0112864-0.00372715j 0.0119025-0.0465519j 
-0.00860982+0.0445276j 0.0240295-0.0236937j -0.00910597+0.0543099j 0.0209222+0.0541535j 0.0235338-0.0348066j 0.00356204+0.0192041j 0.00738249+0.00417013j 0.00661039-0.00139291j 0.0116953-0.0087886j -0.000835426-0.0129773j -0.0016294+0.0228458j 0.0159946+0.00279741j 0.0061094-0.030236j 0.0167866-0.0253231j 0.0251899+0.0067018j 0.0120443-0.0481576j -0.00262296-0.00305838j -0.0282428-0.0226843j 0.0165614-0.0438354j -0.0285512+0.0701856j 0.00943761+0.0191735j -0.0290102+0.00660155j 0.0292732-0.0525199j 0.0175396+0.00314511j -0.0410379-0.0285705j -0.0530769+0.0225647j 0.0540401+0.0540592j 0.00997211-0.0252005j -0.0169544+0.0204242j 0.00860993+0.00328579j -0.0244741+0.0511852j -0.0389724+0.00566314j 0.0128687-0.0147749j -0.00156401-0.00182543j 
0.0160166-0.0190839j 0.0527093-0.000311998j -0.043032-0.0400999j -0.055093-0.0646572j -0.00168145+0.00251988j 0.00161095-0.0080088j -0.0183315+0.00958194j 0.0365542-0.0172655j 0.0281128+0.0350528j 0.0288918-0.0357815j -0.0110718-0.0227251j -0.00996628+0.0264613j -0.00751057+0.020136j -0.00379375-0.0319838j 0.0152737-0.0214049j -0.0279562+0.0351769j -0.0373264+0.0361465j -0.0378213-0.0159136j 0.0620889-0.00717426j -0.025244+0.0254429j -0.0466374+0.0272748j 0.0235374-0.0327076j 0.0100323-0.121154j -0.0440394+0.0124071j 0.0808846-0.058575j -0.0469887-0.050416j -0.0235731-0.0165544j 0.0266143+0.00294024j -0.00629324+0.0501098j -0.00424868-0.025944j -0.0361881-0.0128265j -0.0374677+0.0616436j 0.00419541-0.000577858j 0.0289673-0.0578241j 
0.0312534-0.018422j -0.0589015-0.0399003j 0.0459121-0.0179999j -0.0205763-0.0200864j -0.0240974+0.0356303j -0.0418289-0.0308616j -0.0238686+0.0347831j -0.0626431+0.0286987j -0.0272693-0.058937j -0.0201147+0.046176j -0.0199875-0.00385976j -0.0359325+0.0072569j -0.0387919+0.00954086j 0.00167859-0.0016939j -0.0447103+0.00206809j -0.00874104-0.0217735j -0.0122376+0.0120352j 0.0242055+0.0258302j 0.0186929+0.0319732j -0.0250914+0.0211104j 0.0123655+0.0257346j -0.0457122+0.0901634j 0.00225486-0.0501698j 0.100262-0.0142602j 0.0584738-0.0186851j -0.031449+7.25136e-05j 0.00538355+0.0213481j 0.00188105+0.0402024j 0.0233394+0.00477862j 0.0418194-0.00485674j 0.0176805-0.00210934j -0.00237798+0.0284496j -0.0149185-0.004907j 0.0185199-0.0064929j 
-0.0167332+0.0177253j -0.0391699+0.0201022j 0.0379281+0.0289216j 0.0658209+0.04874j 0.00103214-0.00819501j -0.014842-0.0151969j -0.0255029+0.0245803j 0.019228-0.0057349j 0.0185191+0.0172377j 0.026179-0.0223349j -0.0192593-0.0223464j -0.0213628+0.0336226j -0.00854436-0.0169926j 0.00868745-0.0305474j 0.0251272+0.0110131j -0.00065745-0.0353714j -0.0336383-0.00245583j -0.0340656-0.0307077j -0.00204289-0.0244529j 0.00370166+0.027182j -0.0367833-0.00395543j 0.00349209-0.0151385j 0.0735939-0.0494716j 0.0342251-0.0258926j 0.0001459+0.0250194j -0.0285345+0.00719556j 0.0389952-0.0121967j -0.0239955-0.0253487j -0.0293168+0.0202172j 0.0114975-0.00626006j -0.0296959+0.0161935j -0.0603747-0.00180031j -0.0150974-0.0135456j 0.00564388-0.00558683j 
-0.0145272-0.0114095j -0.00686272+0.0201665j -0.000568213-0.00806843j 0.00367695-0.00167034j -0.00393965+0.0110588j 0.0117528+0.0436872j 0.0224638-0.0164503j 0.0206756+0.00455614j 0.0161283+0.0105452j 0.0082674-0.0137353j -0.00013858+0.0392514j 0.0337802-0.00680571j 0.0182088+0.0344995j -0.0129616+0.0387041j -0.00961685-0.0188495j 0.020517+0.0551407j 0.012925+0.0251477j -0.00781059+0.0211585j 0.0156433+0.0514714j -0.0616949-0.0435308j -0.00604141-0.0402614j -0.00393885+0.0154637j -0.0303967+0.00145672j 0.042331+0.00673756j 0.113983-0.0254594j 0.00653347-0.0754717j -0.0170452+0.0308589j 0.0169586+0.00701507j 0.0327904+0.0434238j -0.0191061+0.0385989j -0.0274965-0.0235463j 0.010106+0.014282j -0.00298148+0.0156153j -0.0303078-0.0119287j 
0.00837374-0.0218761j -0.0942678+0.0226775j 0.0463831-0.0365021j 0.00721088+0.0199214j 0.0117637+0.039468j 0.0038546+0.0228424j 0.0170897-0.00836691j 0.0143319+0.0149586j -0.0123859+0.0130097j 0.0111686+0.00337891j 0.00705267+0.0149803j 0.0129144-0.00206037j 0.0597834-0.010325j 0.00196465-0.0197423j -0.00479533+0.0267322j 0.0306233+0.0283836j 0.0430431+0.038212j 0.0178856+0.0343145j -0.000155761-0.0523193j 0.0356456-0.0847502j -0.00344756-0.00835429j 0.0427112+0.0280042j 0.0745269-0.0644803j -0.0272654-0.0221766j 0.0473053-0.011392j 0.0528573+0.0280982j -0.0242627+0.000228863j 0.0416136-0.034991j 0.0326476-0.0160804j -0.0185249-0.000132975j -0.0408915-0.00516909j 0.0213467-0.0035053j 0.0188298+0.0101756j -0.0170875-0.011498j 
0.000584856+0.000738111j -0.000727251+0.00835992j 0.00717968-0.0071621j 0.00916299-0.0103513j -0.00315719+0.0031843j -0.00202661-0.030738j -0.01042-0.0363636j -0.0329242+0.0451701j -0.0687731+0.0114401j 0.00505827+0.0814739j 0.0273253-0.0352695j -0.0458259-0.0399482j -0.00475716+0.00211709j -0.00414884-0.0142993j 0.0113309+0.0163254j 0.0129749+0.0153021j -0.0238122-0.0123657j -0.0137929-0.055225j -0.00231435-0.022662j -0.014916-0.00977557j 0.0311786-0.0402661j -0.0081704-0.011666j 0.0395691+0.00977185j 0.0638279+0.0927871j -0.00679467+0.0554605j 0.00308352-0.0321022j 0.013175+0.059303j 0.0250004-0.0452342j -0.0560395+0.0257116j -0.031918+0.0038214j -0.0334879-0.0344814j -0.0267413-0.0410605j -0.00188448-0.0337582j -0.00654115-0.0449697j 
0.00562893+0.0545562j 0.0461372-0.0337916j 0.000213665+0.0643693j 0.0449145+0.0319206j 0.00401191-0.0546024j -0.00634511+0.00450884j 0.00785661-0.000813992j 0.00170916+0.0001432j 0.000313816+0.00970853j 0.0017261-0.000522885j -0.00811314-0.0010234j 0.00660297+0.00466607j 0.00834348+0.00072887j -0.0114229+0.00499947j 0.00236107-0.0299373j -0.0161562+0.0144269j 0.0169098+0.0256509j -0.0238435+0.0454795j -0.0182191+0.00894755j 0.0121544-0.0241361j 0.0385412-0.0110974j -0.0460292+0.0447396j 0.0041253-0.0267232j 0.00399008+0.0269721j 0.0461684+0.0430209j 0.0387541+0.012314j 0.010152+0.0221779j 0.0190828+0.010673j 0.025331+0.0434948j -0.0168493+0.0248635j 0.0162035+0.0154698j 0.00419458+0.0299604j 0.0118307+0.00544681j -0.00800909+0.0014443j 
0.00313078+0.00300335j -0.00957624-0.0103985j 0.00721734+0.00665685j 0.000715917+0.0088736j -0.000295358+0.000485373j -0.0455682+0.0413592j 0.0279851+0.034562j -0.00296214+0.0814317j -0.068263-0.00954792j 0.0344596+0.0438365j -0.0105344+0.0374372j -0.000864894+0.0310139j -0.00602277+0.044657j -0.0021697+0.0345218j 0.0274037-0.0421898j -0.0316065+0.0347312j -0.0311863-0.00286327j -0.0559013-0.0226936j 0.025431+0.045585j -0.0130709+0.0577188j -0.00389126-0.0300457j -0.00821484-0.0549267j -0.0644909+0.0932045j -0.0408818+0.00926921j -0.00626195+0.0109206j -0.0299148-0.040996j 0.0145373-0.00989504j -0.00217376+0.0236375j -0.0124428+0.055145j -0.0245024+0.0135923j 0.0119713-0.0136342j -0.0104691+0.0168623j -0.00380889+0.0144949j -0.00570837-0.0014871j 
0.0105288-0.0400184j 0.00531919-0.0187658j -0.0475387-0.0359096j -0.0939245-0.0199934j 0.0109095+0.021847j -0.0118483-0.00175418j -0.00664156+0.0148761j 0.0118888-0.00554659j 0.014495+0.0116836j 0.0125605-0.0167382j -0.0174922-0.00739151j -0.00267167+0.0222513j 0.0167741-0.0121751j -0.0191649+0.00986057j 0.0215004+0.00312576j 0.0402208-0.0055233j 0.0187211-0.00114279j -0.0333652-0.0169563j -0.0414512-0.0336554j -0.0236969+5.7669e-05j 0.0514171-0.0273831j -0.0493971-0.0116085j -0.0268257+0.0230363j 0.0741938+0.0646003j -0.0420121+0.0303687j -0.00404118+0.00659978j 0.036339+0.0842479j -0.00143619-0.0507106j -0.0178846+0.0357969j -0.041622+0.0380339j -0.031598+0.0296647j -0.00485254-0.0273679j -0.00188016-0.0193644j -0.0587055-0.0101674j 
0.00347024+0.0114298j -0.00746101+0.00189057j 0.00231644+0.00707941j 0.0107709+0.0218867j 0.0156179-0.0112863j 0.031959+0.00311398j -0.00217406-0.03735j -0.0118084-0.0156324j 0.0169462-0.0122949j -0.0218837+0.00523563j 0.020256+0.0139166j 0.00998286-0.0430511j -0.0301194+0.0133767j -0.00362923-0.0138983j -0.00511939+0.0144281j -0.0303503+0.0234651j -0.0189663-0.0373411j 0.0297915-0.0448478j 0.0157651-0.00280172j 0.0136758+0.0311504j -0.00455509-0.075205j 0.113595+0.0239926j -0.0441183+0.00648833j 0.0258281-0.00312341j -0.00247469-0.0125105j 0.00861148-0.0410994j 0.0610877-0.0405211j 0.0166459-0.0495921j -0.0108133-0.0175908j 0.00974802-0.0240572j 0.0205829-0.0537898j 0.00724999-0.0167775j -0.0125791-0.0359159j 0.0173615-0.0330904j 
0.00305158+0.00774409j 0.0639591-0.050385j -0.0372453+0.0293839j -0.0401044-0.0184346j -0.0157335-0.0174749j 0.0235359+0.0339563j 0.0191783-0.02538j 0.0258525+0.0216052j -0.0174734+0.0175653j 0.0182535+0.00631104j 0.0272405+0.0252172j 0.0149119-0.0183524j -0.0077266-0.00379774j 0.0148009-0.0145496j -0.0604852+0.00412339j 0.0282418+0.0176093j -0.0121663-0.00878518j 0.0331605+0.0153481j 0.0251063-0.026604j 0.03943+0.0138791j -0.0277652-0.013169j 0.0110705+0.0271704j 0.0322603+0.025931j 0.0755097+0.0477596j -0.00440145-0.017336j -0.0372603+0.00102033j 0.00829384-0.0290239j 0.00430046-0.0304539j 0.0318037-0.0327724j 0.0339922-0.00389041j 0.00244916-0.0395029j 0.0255472-0.0129987j -0.00968442-0.0332254j 0.00924069-0.0200498j 
0.0252719+0.0338336j 0.0190267-0.0206626j 0.0462473+0.0157859j 0.0566024-0.0402854j -0.0316726-0.0161783j -0.0364404-0.00613434j -0.0193947+0.0044377j 0.0218332+0.0461069j -0.0264582+0.0599033j 0.063814+0.0271148j -0.0246254-0.0348395j -0.0408572+0.0318128j 0.0183821+0.00514655j -0.0153868+0.0048231j 0.00221231+0.0281409j 0.0174936+0.00127094j 0.0434229+0.0045668j 0.0235262-0.00519432j 0.000225486-0.0390879j -0.00840471+0.0219064j 0.0300194-0.000427219j 0.0571533+0.0172998j -0.102152-0.0157798j -0.0011343-0.0481462j -0.0464006-0.0904717j -0.0122984+0.0255328j 0.0251604+0.0237984j 0.0185372-0.0331625j 0.0241577-0.0250642j -0.0119421-0.010893j -0.00917903+0.0227901j 0.044937+0.0019962j 0.00236758+0.00112169j -0.0389967-0.00903833j 
