-0.396005-0.183257j 0.103495-0.566076j -0.331389+0.139523j 0.378898-0.144348j -0.0178278-0.0496406j -0.00446098+0.205848j 0.0184114-0.0489543j -0.374996-0.158497j 0.326047+0.152767j -0.0782689-0.569744j -0.401751+0.164125j -0.00611985-0.213616j 0.250058-0.0501903j -0.140827-0.0887845j 0.0739977+0.130161j -0.0771983-0.0497723j -0.0651416+0.0875488j 0.0149242+0.0489155j -0.00155293+0.15862j 0.0158277-0.0476643j 0.0627821+0.0892488j 0.0782557-0.0489534j -0.0764047+0.128295j 0.142611-0.0837006j -0.245507-0.0567696j -0.012976+0.210702j 
-0.0322413-0.0469562j 0.00210892+0.0177725j 0.014161+0.0332035j -0.0432269+0.0413725j 0.053854+0.0832963j -0.0774747+0.109535j -0.0968808-0.0249229j -0.0251707+0.0540348j -0.0359909-0.000399443j -0.0160746+0.004613j -0.0556692-0.0149251j -0.0232525-0.059143j 0.0475574-0.0218817j -0.0141203+0.053167j -0.00724505+0.0179851j 0.0431022+0.0204779j 0.127877-0.0869174j -0.0429459+0.0632225j 0.00410006-0.0054269j 0.0455051-0.062232j 0.0413154-0.150144j -0.0327948-0.0348487j -0.0141011+0.0129871j -0.0456914+0.0311939j 0.00628057-0.0516389j -0.0628339-0.00370391j 
-0.00349414-0.0781973j 0.00836256-0.00675291j -0.0622902+0.0609472j -0.0701606+0.0147319j 0.0988829+0.0716343j -0.0104945+0.0878181j -0.0316793+0.0320068j -0.0538075+0.0134973j -0.0175666-0.0812218j -0.0194344+0.00972643j 0.00359931-0.049878j -0.0169865+0.0546224j -0.0037634+0.0149463j 0.0458037-0.0915032j 0.0279382-0.0780269j 0.0654745-0.0128514j -0.008901+0.0167548j 0.0280534-0.0620592j 0.022981+0.0678809j -0.00913168-0.0198174j -0.075122+0.0281231j 0.022886-0.0310771j 0.0350952-0.0229349j 0.0784005-0.0796207j -0.0248454-0.0200388j 0.00701612-0.0303891j 
0.0448854+0.0301262j -0.0339422-0.0452678j -0.0268765-0.00475136j 0.0552107+0.0345772j 0.0536926-0.0348307j -0.0229169-0.105538j 0.00854853+0.0770713j 0.0453731+0.0331514j 0.0253753-0.0184857j -0.0227213-0.0441305j 0.0156895-0.0317081j 0.0237346-0.00727669j 0.0300835+0.0553013j 0.0358341-0.0606763j -0.00827786-0.068292j 0.0748213-0.0128006j 0.0309086+0.0669555j -0.0783718-0.0740429j 0.0435736-0.0348328j -0.0246206-0.037975j 0.0472642+0.0218363j 0.0514502-0.0939386j 0.0587036+0.000459353j 0.0477766-0.0718698j -0.0119544-0.0225233j 0.00269267-0.0267545j 
0.0555289+0.0194002j -0.029858-0.0105619j -0.0205103-0.0266525j 0.0503776-0.0205599j -0.0209475-0.0210888j -0.0621074-0.0686783j 0.0236532+0.025619j 0.0419654-0.0141499j 0.0365251-0.00447295j -0.0230252-0.0240996j 0.0136101-0.00826005j -0.0989125-0.0331079j 0.0559944-0.0364607j 0.0814585-0.0310855j 0.0321333+0.00836728j 0.0431857-0.0209123j 0.0586604-0.0498045j -0.00702648+0.113688j -0.131008-0.00502714j -0.0395146+0.001846j -0.0506619-0.161701j -0.0690164-0.0635782j 0.0600529-0.0390767j 0.0608954+0.00736117j -0.0201992-0.0316112j 0.0115258-0.00365183j 
-0.00891593+0.00070704j -0.00181833+0.0138401j -0.00957738-0.0123843j 0.0275429+0.00676515j -0.00185927-0.0165583j -0.0034813+0.0218765j 0.00600669+0.0153788j 0.00242525+0.017038j -0.0231666-0.0098242j -0.000353054-0.0149098j 0.0241362+0.0115491j -0.0136294+0.00776542j 0.00553354+0.0141938j -0.0133203-0.0113313j 0.0485062+0.0206342j -0.0118562+0.0406554j 0.00688769+0.0511468j -0.038105-0.00419321j -0.00983664-0.0253457j 0.0442088+0.0332008j -0.0887482+0.00877827j -0.00218003-0.0259777j 0.0282995+0.0480233j -0.0459276+0.0128803j -0.0297156-0.0101038j -0.0372342-0.0386776j 
-0.0174987-0.000704678j -0.00797741+0.0269783j -0.0205869-0.000479457j 0.0399839-0.0207577j -0.0269515-0.0207953j 0.0160572+0.0208334j 0.0440388+0.00397359j 0.0168662+0.00023858j -0.0265367+0.00852424j 0.0119427-0.00683172j 0.0351579+0.00625517j -0.0181541+0.00668202j -0.00604349+0.0304783j 0.010494+0.0171011j 0.0376593-0.00252448j 0.0161007+0.0473306j -0.0111518+0.032795j -0.0480032+0.0439109j 0.00292919+0.000356216j 0.0608717-0.0455464j -0.0340437+0.0367972j -0.0288583-0.0192332j 0.0102804-0.0137238j -0.00905611-0.00997226j -0.0385326-0.00480523j -0.016792-0.0152315j 
0.0175206+0.0163892j 0.0324681-0.0317596j -0.0228333-0.00668462j 0.01734+0.00325382j 0.0236295-0.0126693j 0.0172888+0.0239178j -0.0244828+0.0566522j 0.0420127+0.0383338j -0.0323887+0.0198219j -0.0721235+0.00303406j 0.00678522-0.0367498j 0.0183067+0.0103165j 0.0119596-0.0442443j -0.0417698-0.00609929j 0.0168775-0.02172j -0.0054851-0.010411j 0.0703927-0.0312521j -0.000797537-0.0344061j -0.0470609+8.87107e-06j 0.0290789+0.049217j -0.0173117+0.0655994j 0.0126608+0.00156435j 0.0737748+0.0177409j 0.0086834+0.0742021j 0.0196146+0.0176553j -0.046463+0.0348658j 
0.0183388-0.00681518j -0.0126278-0.0436373j 0.018945+0.00331784j -0.0305143+0.0455751j 0.0373784-0.000618293j -0.0254959-0.0207239j -0.0226304+0.0439321j 0.0021473-0.00887332j 0.0307506-0.0115547j -0.00977224+0.034652j -0.049811+0.0121696j 0.00263321+0.00479035j -0.0165343-0.0136166j 0.00675842+0.000630712j 0.00175929+0.0119625j -0.0266027-0.020932j -0.0135884-0.0266943j -0.0173213-0.0180702j -0.00507183+0.0130639j 0.0126013-0.000542486j 0.0306081-0.0149323j 0.0129906+0.0219581j -0.00862117+0.00254881j 0.0200104-0.0175269j 0.0131786-0.0107158j 0.0156746+0.00423026j 
-0.0065435-0.0365384j -0.0149022+0.0231946j 0.0139137-0.0265331j -0.0402886+0.00769797j 0.0054296+0.0124175j -0.0195193-0.0125686j -0.0871421-0.0471833j -0.0565303+0.0222369j 0.0145814-0.036192j 0.0403616-0.0158127j -0.0170049+0.0322386j -0.0149283-0.0275633j 0.00429405+0.00524081j -0.0258253+0.0356228j -0.0183123+0.00590828j 0.0500431+0.0504382j 0.00905319-0.00877419j 0.00182802-0.0026923j -0.00170341-0.00777073j 0.0413147+0.0380447j -0.0404723+0.0648097j -0.045522-0.0763297j 0.0279636-0.0533532j 0.0224718+0.0437373j -0.00865129-0.00237501j -0.00894478+0.0148787j 
0.0108209-0.0296715j 0.00297952-0.0264428j -0.0262818-0.00478861j -0.0289515-0.0140682j 0.0190924-0.0294979j 0.0223111-0.011557j -0.0780697+0.0360095j 0.030872+0.0204781j -0.00393307+0.0195524j -0.0316976+0.0432737j -0.0327721-0.0140069j -0.0116727-0.0245615j -0.00415399+0.00482912j -4.35786e-05+0.00865149j -0.0357178+0.0458417j 0.0332549+0.0308393j -0.0429134-0.0224632j 0.0374477-0.0224502j 0.0289805-0.0100383j -0.027088+0.051472j 0.00851929-0.0164212j -0.0194734-0.0659061j -0.0468413-0.0276714j 0.0138055-0.0136621j 0.0106217-0.0188631j 0.032045-0.0110565j 
0.00302957+0.0306418j 0.0214004-0.0156372j -0.0193715+0.0242959j 0.0112584-0.0266489j 0.00219786-0.0895601j -0.000253983-0.00566487j 0.00190504+0.0340146j 0.034045-0.0486611j -0.00990015+0.0235856j -0.0334866+0.0246905j 0.0157162-0.0224676j 0.00992757+0.0264719j 0.00409168-0.0194838j 0.000357573-0.0167904j 0.0287198+0.0176188j 0.0521263+0.0435425j 0.00116274-0.0511952j 0.0365223+0.00954955j -8.04281e-05+0.00368169j -0.0125412+0.00442403j 0.0566515+0.0606363j -0.00861075-0.0438137j -0.0204622-0.00198742j 0.00825076+0.00989261j 0.00963876+0.00786352j -0.0184384+0.0132036j 
-0.0102363+0.0430318j 0.00822285+0.0250635j 0.0286443+0.0114472j 0.00366056+0.00217525j -0.0041492-0.0691706j -0.057304-0.0111905j 0.0066781-0.0433373j -0.0547195-0.0712635j 0.0142271-0.0353455j 0.0329485-0.0331554j 0.0342154+0.0222698j 0.00971156+0.030273j 0.0161306-0.00772622j 0.00729973-0.0524629j 0.0325577+0.0391661j 0.0217026+0.0305654j -0.00971868-0.00456538j 0.0536621-0.00698711j 0.0148633-0.0224014j -0.0653497+0.0347555j 0.0168765-0.0144451j 0.0216886-0.0291995j -0.0462939+0.0622464j -0.0467972-0.01384j 0.00516491+0.00195669j -0.0174637-0.0312148j 
-0.0225543-0.00308577j 0.0157007+0.0300328j -0.0148178-0.00012759j -0.023352-0.0231628j -0.0361994-0.0319276j -0.00449435-0.00446014j -0.0610657-0.00411166j -0.0234819+0.0026271j -0.0117364-0.00353556j 0.0181128-0.0215289j 0.0231455+0.00267753j -0.00916189-0.00977618j -0.012165-0.0198034j 0.000792043+0.0181586j -0.0145015+0.0333766j 0.0124588-0.02857j -0.020231-0.039526j -0.00289374-0.0506576j -0.00597462+0.000573035j 0.0269995+0.0413212j 0.0342762+0.00181363j -0.0313374-0.00498082j -0.0208383-0.0168037j 0.0416784-0.00497872j 0.018444-0.0141108j 0.0246447+0.0106759j 
-0.0215554-0.016572j 0.00335496+0.00891638j -0.0138343+0.00158779j -0.0393184+0.00922576j -0.0273753-0.0414315j -0.0165633-0.0104819j -0.076695+0.0505619j -0.014203+0.00681387j -0.00148318-0.00900587j 0.0190666+0.00437561j -0.00212279+0.0187835j 0.00438781+0.0181194j 0.019509+0.0144274j 0.00209278-0.0176068j 0.0335061-0.0267225j 0.0314108+0.00153903j 0.013595+0.0450444j 0.0138335+0.0322611j -0.000797474-0.0131256j -0.0131112-0.0326142j -0.00979136+0.00869244j -0.0171924+0.0146544j 0.00263197+0.030475j -0.0372716+0.00709538j -0.0203846+0.0187892j -0.0308694-0.00966077j 
0.0391271+0.00859023j 0.00998783-0.0319147j 0.0335608-0.0649123j 0.0721231+0.0272947j 0.022913-0.045679j 0.00127898+0.0510252j -0.0252332-0.0447573j -0.0704783+0.0301582j -0.0357363-0.0623154j -0.0116918-0.0313087j 0.0375753-0.0110494j 0.0127483-0.0228018j -0.016447-0.000472539j -0.0278935+0.012797j 0.000410553-0.0546683j 0.029692+0.00523845j -0.0592997-0.000833024j 0.0121294+0.0633759j 0.000106156+0.0470063j 0.0132068-0.063285j 0.0585225-0.000841153j -0.0301587+0.0060174j -0.00160498-0.0557241j 0.028388+0.0120752j 0.016299-0.000908643j 0.0131163+0.0223403j 
-0.0170924+0.0143968j 0.00282445+0.0665546j -0.000559884+0.00799998j -0.0463991-0.0255859j -0.0461093+0.0383573j -0.052653-0.00646307j -0.0333492-0.049257j -0.0514445+0.0111625j 0.000785356-0.00610462j 0.0192969-0.0647029j 0.0136869+0.0157201j -0.022335+0.0244654j -0.00856448-0.00732753j 0.0513816+0.0395847j -0.0152008+0.037064j -0.0055613-0.0154641j 0.0506817-0.0629149j -0.0430463-0.0315232j -0.00762368-0.000983191j 0.0494394-0.0195579j 0.0331244+0.0730147j -0.00919311+0.0149132j -0.00689777-0.0393597j 0.0596102-0.0254724j -0.00975539+0.00404917j 0.0147053+0.0285802j 
-0.0368551-0.0555974j -0.0216016+0.00657201j -0.0099711-0.0258152j -0.0296388+0.0662057j 0.0710377+0.0555381j -0.00092679-0.0148161j -0.0704342+0.0543934j 0.0287439+0.0665214j 0.0105598-0.0271643j 0.0231239+0.00227619j -0.0349405+0.0566644j -0.0029497+0.00885714j 0.0015641+0.00162287j 0.00311098-0.00922146j 0.0270699+0.00141823j 0.0302379+0.00423247j -0.0302015+0.00701879j 0.00787912+0.0241536j -0.000326458+0.0052797j 0.00688927-0.02397j 0.0300446+0.00718104j -0.0293933+0.00420501j -0.0269427+0.00228302j -0.0037955-0.00824099j -0.00134031+0.00139881j -0.00312179-0.0090193j 
0.0254461+0.00287887j -0.00774438-0.0446346j 0.0118199+0.00912403j -0.0255591+0.0307258j -0.034482-0.0774466j -0.0376146+0.000345227j -0.0316829+0.07949j -0.0267386-0.0282943j 0.0116697-0.0112141j -0.00514255+0.0444728j -0.0254888+0.00486412j -0.00829076-0.00614349j -0.0065683+0.00779066j 0.00457185+0.00966183j 0.000725627+0.00471417j -0.0103315-0.00636294j -0.0114547+0.0103973j -0.0247055-0.00251827j -0.000742741-6.87007e-05j 0.0238558-0.00414935j -0.0127473-0.00951754j -0.009538+0.00697808j 0.000815402-0.00471685j 0.00368216-0.0103539j -0.00718639-0.00725343j 0.00802942-0.00659196j 
-0.00976916-0.0130799j -0.00435599+3.90947e-05j -0.00201589-0.00555186j -0.00842366+0.0212444j 0.0145756+0.0219924j -9.78344e-05-0.00225515j -0.0142467+0.0212326j 0.00847412+0.0212387j 0.00253244-0.00590445j 0.00468477-0.00101699j -0.00935147+0.0132925j 0.0139556-0.00705501j -0.014573-0.00159193j 0.000184898-0.00577333j -0.0366635-0.0236644j -0.108044+0.0229266j 0.0242999-0.021432j -0.0276965+0.038306j 0.00041041+0.0364645j -0.0277408-0.0375272j -0.0248128-0.0214723j 0.107751+0.0227956j 0.0374002-0.0236044j 0.000557655-0.0060405j 0.0143152-0.00206235j 0.0143704+0.00681489j 
-0.00284348-0.0183038j -0.0185953+0.00562009j 0.00158482-0.00864573j 0.0144954+0.00599538j 0.078068+0.0496331j 0.0158287-0.0109537j 0.025907-0.0424251j 0.0382333+0.00857543j 0.0141864+0.000631784j -0.00261081+0.00771414j -0.0208403+0.0169728j -0.0301814+0.0106906j 0.020562+0.0184615j 0.0375576+0.00603175j -0.000429018+0.0297897j 0.0185521+0.0138771j 0.00974214+0.00806537j -0.0129914+0.0321374j 0.000149808-0.0141125j 0.0138699-0.0321844j -0.0122869+0.0450576j -0.0324322+0.00250029j -0.0340031-0.0248427j -0.00310961-0.0178989j -0.0197645+0.0146526j 0.00341148-0.0176688j 
-0.0229649-0.000132265j 0.0152075+0.0238753j -0.0121542+0.00231257j -0.022696-0.00638431j -0.0618169-0.00428259j -0.00491847+0.00450585j -0.0391346+0.0264972j -0.0258165+0.0192548j -0.0150362-0.00157054j 0.0193649-0.0276448j 0.0232893-0.000475414j -0.0252528+0.00777284j 0.0164055+0.0165858j 0.0412107+0.0105473j -0.0217344+0.0135791j -0.0325025+0.00175777j 0.0351638+0.00148607j -0.0331624+0.0374242j -0.00566443-0.00174809j 0.00939779-0.0496841j -0.0259715+0.0363557j 0.00960683+0.0302468j -0.00881399-0.0344447j 0.00271554-0.0182283j -0.0152655+0.0182092j 0.00987583-0.00797399j 
-0.0326234+0.0253384j 0.0348921+0.0325281j 0.0178883+0.0354018j -0.0538471+0.0725417j 0.00774332+0.0431271j -0.057555+0.0129424j -0.00307367+0.0655842j 0.00175737-0.0024961j 0.0285421-0.0124096j 0.00718824-0.0277062j 0.0116836+0.0416251j 0.0176469-0.0315897j 0.00527689-0.00129173j -0.0465988+0.0156921j -0.0478397-0.0625154j 0.0211906+0.0269045j 0.0166642+0.0150959j 0.0656095+0.0338818j 0.0154384+0.0231286j -0.0521057-0.00669868j -0.00883992+0.0044899j 0.0201531-0.0297449j 0.0329041-0.0408128j 0.00894536+0.0520366j 0.0161567+0.0073716j -0.00901971+0.0304895j 
-0.0169988-0.0231568j -0.0329056-0.0225956j -0.0109268-0.0243477j 0.0347989+0.0479458j 0.00260113-0.032143j -0.000478975+0.00570464j 0.00324141+0.0884924j 0.0129044+0.0275786j -0.020017-0.0249346j 0.0211173+0.0135341j -0.00210185+0.031289j 0.0188104+0.0125783j 0.00861947-0.00848695j 0.00766812-0.0098803j -0.0199164+0.00117116j -0.00839894+0.0439931j 0.0560684-0.0615057j 0.0129476+0.0034003j 0.000406296-0.00342506j -0.0360203+0.0106285j 0.00296035+0.050471j 0.0515357-0.0439094j 0.0294191-0.0182459j 0.00124116+0.0166603j 0.00461745+0.0183642j -0.0097422+0.0271059j 
0.0307106-0.0162068j -0.0327839-0.0416519j -0.00637251-0.0196512j 0.0300639-0.0193617j -0.0769034-0.0332858j 0.0220951+0.010049j 0.0193638+0.0313673j -0.0258406+0.0148083j -0.0254374+0.00483975j 0.00387369+0.0273591j -0.0114677-0.0274704j -0.0316011-0.010873j 0.0114953+0.0190305j 0.014771+0.0125281j -0.0461439+0.0270486j -0.0194714+0.0668285j 0.00943025+0.0162556j 0.0280429+0.0528655j 0.0289481+0.00915714j -0.0378618-0.0225967j -0.0431927+0.0236125j 0.0334267-0.0303697j -0.0354267-0.0461001j -0.00115071-0.00892204j -0.00433568-0.0036815j 0.0113422-0.0242815j 
-0.0197654-0.0319384j -0.0389503-0.0115778j -0.0164941-0.0358816j 0.0564313+0.0190933j 0.0844738-0.0504113j 0.0180112-0.0135099j -0.00673844+0.0129891j 0.0407506+0.00769813j -0.0148981-0.0264459j 0.0157814+0.0200166j -0.00410806+0.0372621j -0.0101011-0.0151174j 0.0092017-0.00285937j -0.0203355+0.0456175j -0.0306379-0.0494086j 0.0411422-0.0788103j 0.043658+0.0626592j 0.0391904-0.0402351j 0.001274-0.0074232j 0.00207002+0.00175941j -0.00842299-0.00767122j -0.0484541+0.0527707j 0.0175441+0.00422531j 0.0276125+0.0339864j -0.00357599+0.00510895j -0.0134888+0.0276781j 
-0.0503244-0.0104796j 0.0123771+0.03606j -0.0300642-0.00900074j -0.00377516-0.00981647j 0.0225867+0.0439484j 0.0248937-0.0199677j -0.0372-0.00120955j 0.0309706+0.0442358j -0.0182665+0.00466387j 0.0115682-0.0445831j 0.019226+0.00560866j 0.0162309-0.00496187j -0.0129483-0.00984557j -0.0204376-0.0181611j 0.0081712+0.000294925j -0.0126322+0.0213006j -0.0313877-0.014862j 0.0124423+9.06806e-05j 0.00515423+0.0133636j -0.0170379+0.019024j 0.0134926-0.027144j 0.0263563-0.0217748j -0.000776685+0.0111794j -0.00725502+0.00083816j 0.0157908-0.0133038j 0.00291322-0.00438709j 
-0.00999409-0.0372528j -0.0703734-0.000816135j -0.0343944-0.0182157j 0.0405479-0.0377889j -0.0229399-0.0554343j 0.0159579-0.0242649j 0.0234328+0.0144693j 0.0190234-0.00312422j -0.0233906+0.00563934j 0.0323711+0.030788j -0.0160617+0.0182378j 0.0470275+0.0348526j 0.0173102-0.0177809j 0.00672576-0.0744668j 0.0732378-0.0208679j 0.0143028-0.00152498j -0.0183597-0.0662932j -0.0288306+0.0488026j -0.0470634+0.000692933j 0.000633279-0.0338102j 0.0704121+0.030542j -0.00499062+0.00996075j 0.0191987+0.0219724j -0.0408301+0.00651551j 0.0121368+0.0431146j -0.018221+0.0115198j 
0.0351703-0.005968j -0.014009-0.00733497j 0.0255498+0.00839948j -0.0151319+0.000800082j -0.0436535+0.00267655j -0.0164367+0.0198979j 0.0278681-0.0199923j -0.039547-0.0209315j 0.0196118-0.000867334j 0.00870694+0.027344j -0.0171977+0.00137675j -0.0157784+0.014839j 0.0387893-0.00394559j 0.00994036-0.0102897j -0.0106423-0.0147592j 0.0293124-0.0193714j 0.03403+0.0372889j 0.0597301+0.0459067j -0.00268856+9.61436e-06j -0.0476503-0.0445951j 0.0117408+0.0330883j -0.0158785+0.0466328j -0.0369917-0.00243629j -0.0108755+0.0167067j 0.00584741+0.0306298j -0.0177821-0.00616389j 
0.0243641-0.0123454j -0.00169469-0.0141398j 0.0218691-0.0107336j -0.0010668+0.0161928j -0.00623338+0.0151707j 0.00329011+0.0212207j 0.00191436-0.0168277j -0.0273194+0.00736155j 0.00913876-0.0122688j 0.00295591+0.0134712j -0.00892438-0.000261341j -0.0369386+0.0378491j 0.0309257-0.0115061j 0.0472922+0.0109479j -0.0259497+0.048028j 0.00206119-0.0255039j 0.0888108+0.00711629j 0.0442241-0.032791j 0.00800235-0.0250526j -0.0388092+0.00430984j -0.00616764+0.0497026j 0.0122854+0.0402359j -0.0480602+0.0206005j 0.0119769-0.011015j -0.00504836+0.0145799j -0.013517-0.00722592j 
