-0.179287+1.66533e-16j 0.0199559+0.0174296j 0.0243351+0.0378513j 0.0660939+0.120135j -0.0266191+0.0127516j 0.00667148-0.0126557j 0.0156126+0.113282j -0.0147529-0.029349j -0.00128225+0.0557769j -0.0306017+0.0354001j -0.0102005-0.0427972j 0.00413576+0.0334862j 0.0145851-0.00767905j -0.00970694+0.0617618j 0.0154617-0.02698j 0.00254174-0.0393102j 0.0100088+0.00171902j -0.000891544+0.0104371j -0.019356-0.00826122j 0.0343672-0.00155334j 0.0159924-0.00159585j -0.00648304+0.0250737j 0.0154616-0.0171683j 0.0116339+0.00599856j 0.071532+0.00896631j 0.00633591+0.0254627j 0.0126619-0.00219023j 0.0129961-0.0200398j 0.0270184+0.0085878j 0.0380056-0.0248276j -0.036695-0.0452644j 0.0497883-0.00239573j 0.0669723-0.0565033j 0.0339535+0.0898511j 0.192489+0.0480723j 0.0411464-0.158764j 0.0362357+0.117771j 0.100503-0.0352296j 0.0519374+0.0342864j 0.0489793+0.048421j 0.118865+0.0345323j -0.0397026+0.0203669j -0.0516924-0.0701432j 0.0241516+0.0289913j -0.010387+0.027747j 0.0141694-0.0010204j 0.0262101+0.0188359j -0.00842004-0.0495495j -0.0136052+0.0322406j -0.0254698+0.0198293j -0.00902717-0.00430952j 0.0107251+0.0399988j -0.00881232+0.00188659j -0.00329924+0.00414723j 0.0153665+0.00671266j 0.0122623+0.000921389j 0.0146189-0.00493004j 0.00382487-0.0226699j 0.00693413-0.0101252j 0.000316899-0.0249761j -0.00126054-0.0185124j 0.0204812-0.019156j 0.00075607+0.00387176j -0.0144029+0.0255012j -0.00195695+0.00983636j -0.000132643-0.0253961j 0.0355836-0.00611299j 0.00178612+0.00704137j 0.0129473-0.0106095j 0.0215489-0.0106291j 0.00204624-0.0224334j 0.00865801-0.00248754j 0.0279871+0.0356425j -0.056992-0.00610434j 0.00614119+0.0178782j -0.0115008-0.0018198j 0.00894608+8.45505e-05j -0.0087761-0.0301126j -0.0226376+0.0114141j -0.0189504+0.0501523j 0.00941083+0.0276847j -0.00900168+0.0122552j 0.00930327-0.0508508j -0.0070358+0.0401225j 0.0709257-0.183593j -0.0963767-0.112575j -0.300256-0.0458218j 0.034886+0.133797j 0.0399352-0.139961j 0.0594011+0.0484974j -0.0146127-0.0158397j -0.142168-0.0168879j 
0.071532-0.00896631j 0.096904+0.0736054j 0.0451292+0.0184603j 0.0460991+0.0160363j 0.0244462-0.136808j -0.0935248+0.0188213j -0.0421525+0.113176j 0.0691636+0.0799323j -0.00496915-0.101915j -0.114353-0.128169j -0.0464001-0.211627j -0.0809126+0.121479j 0.0792754+0.221121j -0.00295065-0.0609755j -0.0611211-0.024606j -0.0325894-0.266072j -0.171336+0.115494j -0.0394421-0.177705j -0.133824-0.0524522j 0.102674+0.11353j 0.0202058-0.0983579j -0.10979-0.0946764j -0.00698127-0.0193385j 0.0645874-0.078387j 0.00843958-2.43416e-14j 0.0200665+0.0895283j 0.116984-0.0250392j 0.0911284+0.0476023j -0.0154947-0.0262429j 0.100114-0.0112669j -0.0183002+0.0850514j 0.0311073+0.0108418j 0.00206096+0.045602j -0.0237287-0.146433j 0.0465383+0.0766039j 0.0286416-0.0552281j 0.0673974+0.107763j -0.0304048+0.0296293j 0.0468452+0.113726j -0.0712374-0.00274651j 0.0552915-0.0383256j -0.0169683+0.00445707j 0.00735175+0.0025104j 0.0149219-0.00603173j -0.017459+0.0495095j 0.024693-0.00501718j 0.0260422-0.00201722j 0.00282685+0.0111522j -0.00834533+0.00170445j 0.0220118+0.0590212j 0.01143+0.00703949j -0.00249318-0.0286971j -0.0032306-0.00841846j -0.0198284+0.0049066j -0.00671858-0.0316688j -0.00845022-0.0170492j -0.00680543-0.0429506j 0.0133615+0.0312847j -0.00898507+0.012985j -0.00839922+0.0238139j -0.00637812+0.0018858j -0.00969714-0.00746177j 0.00245779-0.00581432j -0.0149484-0.034176j -0.0108132-0.000257569j -0.0182751+0.0187658j 0.00651396+0.0240378j 0.0159076-0.0193168j 2.67717e-05-0.00847525j -0.00179702-0.0117959j -0.00146086-0.007256j -0.00255684+0.000610781j -0.00998088+0.00384103j 0.00535189+0.00134594j 0.00152258-0.0119395j 0.00808883+0.0120733j -0.00578098-0.00541213j -0.000816381-0.013436j -7.19791e-06-0.00508962j -0.00678191-0.0113081j -0.00756618+0.011106j 0.0059097-0.000651411j -0.00103978+0.0180355j -0.0115545-0.00168961j -0.00321316-0.00490114j -0.0263838+0.00128688j -0.0132661+0.00656105j 0.0114592+0.0135509j 0.0108916-0.0206701j 0.0136535+0.0176967j -0.0154595+0.0113768j -0.0100849+0.0347706j 
0.00633591-0.0254627j 0.000540564-0.0087209j 0.0365764+0.0266281j 0.0228852+0.0446455j -0.0321444+0.146954j -0.0124832+1.74903e-05j 0.0303394+0.0619118j -0.144228-0.0401992j 0.0137904+0.0860411j -0.127778-0.182324j 0.121584+0.0931504j -0.0561015+0.121081j 0.104494-0.124586j 0.0895681+0.0377165j -0.26011+0.0684934j 0.142014-0.0828048j 0.0676435-0.159873j -0.170754+0.0874835j 9.38908e-05+0.0816506j 0.0489876-0.00920868j -0.138149+0.044895j -0.00247886+0.0430706j 0.130249-0.101705j 0.090409+0.155811j 0.0200665-0.0895283j 0.0069315+9.29812e-15j -0.0144857-0.0258213j -0.0319892-0.129662j -0.0734442-0.0106364j -0.0112494+0.0631498j 0.0197887+0.0399566j -0.0340122+0.0320349j 0.0238065+0.117016j -0.0520361+0.0449849j -0.0331078+0.0173121j -0.00521734-0.0191483j -0.054653+0.0731276j -0.00599334+0.0223236j 0.00434187-0.000529556j -0.036344+0.0556541j -0.0210612+0.0096706j -0.00217208-0.00123181j -0.0145309-0.0166447j 0.00600919+0.0370931j 0.0178474-0.0448793j -0.0116025-0.0222584j -0.0269401-0.0252192j -0.0397987-0.00770778j -0.0146791-0.0541806j -0.00970447+0.000495997j -0.00773642-0.00385705j 0.0248353-0.00274421j 0.0352255-0.0381359j -0.0438929-0.0122147j -0.0101829+0.0413049j -0.0168556-0.0133822j -0.0417877+0.00753646j -0.00840249-0.0128942j -0.00324482+0.0161995j -0.0309701+0.00240238j 0.00577765-0.00435722j -0.0153693-0.0211388j 0.00201786-0.0150516j 0.00154404+0.0125617j 0.0157634-0.00405266j 0.00147506+0.0089175j 0.0162424+0.00160634j -0.00344716-0.0112999j 0.00603279+0.00343837j 0.00841726+0.00328212j -0.00124001+0.0153223j 0.00192196-0.000961746j -0.000662149-0.00730079j 0.00940458-0.0144829j 0.00293022+0.00896126j 0.00814284-0.00967071j 0.00762865+0.000600117j -0.00889294-0.00205955j -0.0101371+0.0017287j 0.00470855+0.0142712j 0.00219916-0.00127059j 0.00646906+0.003279j -0.00520201-0.00713422j 0.000918549+0.00551642j 0.000654894+0.00458887j 0.00266067-0.00030121j 0.0103309-0.00513138j 0.00939192+0.00823902j -0.00597921-0.0036444j -0.00622684-0.00484338j -0.0100053-0.011148j -0.00244996-0.000460149j 
0.0126619+0.00219023j 0.020097+0.0107158j -0.0358901+0.00508816j -0.00397821+0.0494061j -0.145262+0.0684553j 0.0263257+0.196132j 0.12287-0.0594679j 0.071397+0.0623501j -0.185226-0.116423j -0.114222+0.0403042j -0.177765+0.117208j 0.233009-0.0126891j -0.0379365-0.0967432j -0.0332378+0.0238541j 0.0942555+0.0909289j -0.0170569+0.105943j -0.0841316-0.00792943j -0.0587583+0.0710048j -0.0296749-0.107974j 0.0251397-0.0607579j 0.0612577+0.0417768j 0.060233-0.00562121j -0.0230324-0.00523012j -0.100983+0.0273397j 0.116984+0.0250392j -0.0144857+0.0258213j -0.16327+2.07404e-14j -0.014643+0.0163261j 0.0530906-0.0623202j 0.0120328+0.0534331j 0.0290543+0.0535995j -0.107209-0.0311881j 0.036266+0.0528009j -0.0151604+0.00906997j 0.0194213+0.0423833j 0.0441477+0.00401886j -0.00186888-0.0140612j 0.0474264-0.0261707j 0.0469945-0.0120501j -0.00975766+0.0364468j 0.0617047-0.020256j -0.0330167-0.0482747j 0.00910193+0.005291j -0.011004+0.0313503j 0.0436165-0.0222785j 0.0122139-0.0428128j -0.0180212+0.021389j 0.000158147+0.0326187j -0.00941719+0.030586j 0.0633022+0.0317099j 0.00636277-0.0307864j -0.0551139+0.0122353j -0.0263208+0.019258j -0.00305216+0.00775974j -0.0273043+0.0159703j 0.00964117+0.0177504j 0.0191784-0.00206967j 0.00594381+0.00211346j 0.0182523-0.00751529j 0.0199301+0.013906j -0.0152496-0.0108592j -0.0117184-0.0112451j -0.00392088-0.00972025j 0.00578147-0.0178061j -0.0227425-0.0247881j -0.0115232-0.0124868j -0.00309032+0.011866j -0.000341126+0.0215005j 0.0139472+0.00191966j -0.0179707+0.0166157j 0.00484359+0.00405435j -0.00978932-0.00124092j 9.0781e-05-0.00308264j -0.00281749-0.00949931j -0.00954992-0.0136713j -0.0125411+0.0010669j 0.00331958-0.00434639j 0.00385135+0.00118537j -0.00847402+0.00355212j -0.0132257+0.00614546j 0.00170527+0.0066343j 0.00531194-0.00854887j 0.00712219+0.00842122j 0.00127093+0.00199855j 0.0132109+0.00851897j -0.002446+0.0207652j 0.00270594-0.00440855j 0.00484105-0.0068462j 0.00390875-0.00813191j 0.0149683-0.00466771j -0.0136495+0.00793458j 0.00771845+0.0142979j 
0.0129961+0.0200398j -0.0241774-0.00494828j -0.0918352+0.0429166j -0.0525041-0.0776507j -0.00621511-0.0214921j -0.0438363+0.0848863j 0.0662732+0.270827j -0.0653148-0.0396478j 0.0671361-0.0232405j 0.0224892-0.21999j -0.108842-0.000521672j -0.213096-0.0801617j -0.125408-0.0665314j -0.13128-0.0147835j -0.103131+0.0656154j -0.110637+0.173087j 0.0211239-0.0763755j -0.00971365+0.0307382j -0.0111584-0.0699974j 0.0150985-0.0366797j -0.0356404+0.0936463j 0.129703-0.118697j -0.00023981-0.10699j 0.0704217-0.0400128j 0.0911284-0.0476023j -0.0319892+0.129662j -0.014643-0.0163261j 0.101008-2.77409e-14j 0.0191863-0.0280219j 0.0521392+0.00380968j 0.0253082+0.034215j 0.0475826-0.0211174j -0.0186487-0.115639j 0.0498578+0.00993841j 0.0292604-0.0284652j -0.0905943-0.0123815j 0.0151213+0.0426653j 0.033374-0.0405923j 0.00216078-0.0354437j -0.0128203-0.00731173j 0.0164689+0.0205435j 0.011875-0.0273554j -0.0024594-0.0399176j -0.0423943+0.0137091j 0.0102649-0.00337906j 0.000149825-0.0470124j -0.019405-0.0666858j -0.00889965+0.0263789j -0.00874145-0.0233317j -0.00569979+0.0434517j 0.0773703+0.00430158j -0.00298333-0.00910246j 0.0127636+0.00882887j -0.0259777+0.00666754j 0.00227971+0.0121824j -0.00926985-0.009466j -0.0132745+0.0216604j 0.010319-0.0357156j -0.0081648-0.0234966j -0.00052962+0.00348453j -0.01082-0.000985147j -0.00702283+0.00321566j -0.0101589-0.0423508j -0.0170925-0.0200607j -0.0117568+0.0159975j 0.00210751+0.00525292j -0.00274704+0.013558j -0.00592125-0.00373469j -0.0185891-0.00164001j 0.0054349+0.00110666j 0.0160185+0.0104805j -0.001121-0.00103702j 0.00933203-0.00487766j 0.00838173-0.0118935j -0.0100153+0.00928723j -0.0078897-0.00327779j -0.00469808+0.00917648j 0.00297572-0.00881724j -0.000400491-0.0122287j 0.000523173+0.00422723j -0.00219266-0.000324246j -0.00390624-0.00495845j 0.000457797-0.000307014j -0.00731855+0.00627866j 0.00406526+0.00999978j 0.00990351+0.00929529j 0.0192066-0.0153461j 0.00583756-0.0040115j -0.00339326-0.00515143j 0.00336287-0.011189j -0.0034005-0.0187737j -0.00149105-0.00624062j 
0.0270184-0.0085878j 0.046779+0.0550519j 0.0703933-0.0247113j 0.0526026+0.0521539j -0.00862352-0.152353j -0.00385661-0.0245448j -0.0918595-0.00655332j 0.0756141-0.0170177j -0.0145957+0.0278357j 0.0045447+0.0543454j -0.00281982-0.115267j 0.00220342+0.312907j -0.0213802-0.43725j 0.0645767-0.119911j 0.0324202+0.209186j 0.2112+0.164376j 0.0657194-0.200998j -0.22093-0.038799j 0.0210213-0.0348979j -0.0863146-0.0342515j 0.146481-0.0050113j 0.174164-0.0042061j -0.0397716+0.0466043j -0.0688647-0.0445622j -0.0154947+0.0262429j -0.0734442+0.0106364j 0.0530906+0.0623202j 0.0191863+0.0280219j -0.0290329+1.60427e-14j -0.0392074+0.0269054j -0.0236765+0.0253832j 0.0476087+0.0268786j 0.0203874+0.0887622j 0.0154802-0.0308019j -0.00712943-0.00487045j 0.0366116-0.0252237j 0.0233966+0.0257873j -0.0478962-0.0244594j 0.0221545+0.0869656j -0.0373881+0.00271963j 0.0204743-0.0114107j -0.00281915+0.0115857j 0.00106998+0.0124242j 0.0196606-0.00481124j 0.00225747+0.0575168j 0.00616194+0.00440357j 0.0306664+0.00581589j 0.0039818-0.0125814j 0.0106757+0.00455939j -0.00701685+0.00254259j -0.0219606+1.34841e-05j 0.00835021-0.0450955j -0.000102556+0.004061j 0.0121796+0.0773555j 0.0184304+0.0254024j 0.00893946+0.0135326j -0.00288095+0.0355964j -0.00539778+0.00335801j -0.0248319-0.000943669j 0.000465044-0.00664771j -0.0201574-0.0139788j 0.0104871+0.00494095j -0.00744914-0.00687383j -0.00844129+0.0242485j -0.00660565-0.0237247j -0.00910524+0.0206461j -0.00367478-0.0038626j 0.000394082+0.00810139j 0.00885468+0.00505194j 0.00357725-0.0082427j 0.00437461+0.000375984j 0.00911457-0.0148812j -0.00371248+0.00205291j -0.0123176+0.00197953j 0.00201523-0.000683675j -0.00219648+0.00263787j 0.00115831-0.00215206j -0.00403963-0.0107271j 0.00349043-0.00133452j -0.00332825-0.0041694j 0.000753527+0.00166335j 0.00533863+0.00596173j 0.000253483+0.00924597j 0.00146397-0.00265051j 0.0033412-0.00828741j -0.0106611-0.0117356j -0.0122582+0.0036006j -0.00311631+0.0126289j 0.0110871-0.00987771j 0.000773744+0.0157647j -0.00511665+0.010411j -0.0121861+0.009789j 
0.0380056+0.0248276j -0.000212818-0.00802046j 0.0532213+0.0584885j -0.125259+0.0997782j 0.0482565+0.0509751j 0.0388801-0.00845671j -0.014092+0.0167951j -0.194396-0.0944441j -0.087156+0.0954693j 0.0638866-0.0902353j -0.102929-0.240008j 0.0221988-0.00768573j -0.133247-0.152773j 0.0512667-0.0302843j -0.0300285-0.195109j -0.00778728-0.00658221j 0.151867-0.0515382j -0.194892+0.0397493j -0.0679625+0.196558j 0.197915-0.051163j 0.0850853-0.0293062j -0.147696-0.0541701j -0.0939246+0.01299j 0.0499049+0.0678101j 0.100114+0.0112669j -0.0112494-0.0631498j 0.0120328-0.0534331j 0.0521392-0.00380968j -0.0392074-0.0269054j -0.0613277+2.87964e-14j -0.0931322+0.0148853j -0.104955+0.0315843j 0.0859097-0.0616017j 0.0123161+0.011022j -0.036658+0.0671874j -0.0440133-0.0258232j -0.026025+0.0921792j 0.0061594+0.0112742j -0.0291141-0.0244715j -0.0168108-0.049403j -0.0439602-0.00345518j 0.0190473+0.0268863j -0.0651437+0.0387225j -0.012853+0.0499433j -0.0175863-0.034968j -0.0280467-0.0143982j -0.0359574-0.012653j -0.042095-0.0280722j 0.0458207-0.013602j 0.0256651-0.0145408j -0.0113552+0.0417348j -0.0318749-0.0477039j 0.0132492-0.00457835j -0.000686905-0.0121605j 0.0107457-0.0129071j -0.0224633-0.0202474j -0.0172869+0.0225242j -0.001717-0.0026333j 0.0108805-0.00103433j -0.000962322+0.00428541j -0.0087762+0.00256397j 0.0149774+0.00966406j 0.00129732+0.00393859j 0.013828+0.000744245j 0.006194-0.0126145j 0.0146807-0.00552159j -0.0205502+0.0148478j -0.0117208-0.00816838j -0.00710614+0.0030287j -0.000954306+0.00957244j 0.00220196+0.00379806j -0.00234941+0.00485525j 0.000389063+0.0114586j 0.0110272-0.00253882j 0.000915278-0.00547274j 0.00943746+0.011425j 0.00220953+0.00244854j 0.00432208-0.00263344j 0.0015327+0.00929688j 0.0117057+0.0159491j -0.0137003-0.00303878j 0.00236617-0.00103927j -0.00631822-0.0195442j -0.0092326+0.00207537j -0.0250087-0.00195235j -0.0111185-0.00166574j 0.0125797+0.0120792j 0.0151948+0.00792575j -0.0202996+0.0050014j -0.00573325-0.0124656j 0.0130808-0.010034j 0.00435846+0.00715658j 
-0.036695+0.0452644j 0.000779972-0.0527692j -0.0200071+0.0305937j -0.00150989+0.079422j -0.0790744+0.079829j 0.0330247+0.101168j 0.110504-0.00378498j -0.0468331+0.00189226j -0.0866594-0.243166j -0.0522081-0.133961j 0.0227139+0.0222727j -0.0269983+0.15094j -0.0394382-0.026166j 0.227233+0.20692j 0.133553-0.104975j 0.204087-0.0842181j 0.0531609-0.109636j -0.0140703-0.0541677j 0.060002-0.142007j 0.158407+0.133136j -0.066812+0.0809405j -0.0123139-0.0260067j 0.00208275+0.0859306j -0.00407374+0.018439j -0.0183002-0.0850514j 0.0197887-0.0399566j 0.0290543-0.0535995j 0.0253082-0.034215j -0.0236765-0.0253832j -0.0931322-0.0148853j -0.0521729-2.10942e-15j -0.00788884-0.0867941j -0.0161802-0.0549959j -0.0281719+0.00909274j -0.0555251-0.049721j -0.0498131+0.0189174j 0.0164505-0.0431061j 0.0916549+0.074557j 0.0266978-0.0727059j -0.0160533-0.00839707j -0.00471435+0.0498824j 0.0490718+0.0200436j 0.00529506+0.0194302j 0.018761+0.0366773j 0.00543401-0.0349597j -0.0266577-0.0133651j -0.0351831+0.00548913j 0.00784342-0.00509174j 0.0174096+0.0207332j 0.00872847+0.0579711j -0.0168317-0.0529323j 0.00812372-0.00598619j 0.0210087+0.0147449j -0.0110969-0.0234187j 0.00935277+0.00236217j 0.0298184-0.021879j 0.0027996-0.0235857j -0.00263535-0.00491071j 0.0196636+0.00131365j -0.00127791-0.0217071j -0.00838774-1.35995e-05j -0.0112563+0.00339741j -0.00858233-0.00814086j 0.002412-0.00667208j -0.00791642-0.0148564j -0.00844203-0.00272888j -0.00738496-0.00188803j 0.0063692+0.00199807j 0.00507996-0.0040118j -0.00882875-0.00113277j 0.00711933+0.00740599j -0.00927093+0.00547385j -0.00530367+0.0028061j 0.00286671+0.00166491j 0.0025264+0.00971332j -0.000927588-0.00433648j 0.00266905+0.00292891j -0.00164566+0.00466579j -0.00500003+0.00379698j -0.00538074+0.0128421j -0.0031483-0.00946214j -0.00879103+0.00207227j 0.0070841-0.0248651j 0.00228732-0.00598339j -0.00158145-0.0111708j 0.00364319-0.0079418j -0.0249043-0.0194937j -0.00658618-0.000382555j -0.00722835+0.00582374j -0.0107532-0.020413j 0.00629509-0.00400163j -0.0107156-0.00815628j 
0.0497883+0.00239573j 0.0565824+0.0584909j 0.118919-0.062943j 0.046717+0.237549j -0.0560273-0.0448385j 0.143607+0.0162438j -0.0874366+0.0800553j -0.200005-0.057168j 0.0483059+0.0627268j 0.00596769+0.0672429j -0.0655606+0.0780429j -0.0706518+0.0300433j -0.0292771+0.19956j -0.125548+0.00799282j -0.110922-0.0637062j 0.050722+0.250762j 0.0126889+0.0809562j 0.0920697+0.108191j -0.0715559-0.0929421j 0.0174945+0.0987094j 0.0326473-0.0528773j 0.0573626-0.0348166j 0.0106337+0.0394873j 0.0391401+0.0504703j 0.0311073-0.0108418j -0.0340122-0.0320349j -0.107209+0.0311881j 0.0475826+0.0211174j 0.0476087-0.0268786j -0.104955-0.0315843j -0.00788884+0.0867941j 0.129234-4.08111e-14j 0.0799424+0.0375388j 0.0593569+0.0321773j 0.0430811-0.035286j -0.0263948-0.0843727j 0.0177837+0.0765075j 0.00610602+0.00481002j 0.0593914+0.023569j -0.0593338+0.00305119j 0.0492034+0.0277056j 0.0169281-0.0309918j -0.0274609+0.0978251j 0.0587093+0.0607887j 7.80719e-05+0.0138923j -0.0675787-0.0263511j -0.00202995-0.0238802j -0.0563348+8.39905e-07j -0.00102329+0.0234443j -0.0188995-0.0432233j -0.000310643-0.0248892j 0.0054118-0.000221906j 0.00115371-0.00151704j -0.012801-0.0236681j -0.00147635-3.43486e-05j -0.0202335+0.001691j -0.00796608-0.0227128j -0.0060971-0.00201658j 0.0221382+0.0203772j 0.0113615+0.00842841j -0.00946346-0.018277j -0.0153744+0.0160344j 0.00910392+0.00313392j 0.00252766-0.00961552j 0.00233942-0.014082j 0.0081746-0.000727485j 0.00222982-0.00363017j 0.0225288-0.00479534j 0.00806594+0.00209374j -0.00300503+0.00165045j 0.00551563-0.000997662j -0.00995279-0.00391204j -0.00358567-0.00604434j 0.00230589-0.00490494j -0.00257078-0.00639296j 0.000409554-0.00997754j 0.00129478-0.00243723j -0.00563751-0.00905268j 0.00403861-0.00333185j -0.00426818+0.00795143j 0.000185972-0.00927162j -0.00213656-0.00105558j 0.00107957-0.00478626j 0.00480131-0.00621347j -0.00314109+0.00538407j -0.00734043+0.00248596j -0.00732345-0.0182024j 0.00297114+0.00493373j -0.000966191+0.00169941j -0.0038736-0.00452319j -0.0106099-0.00647253j -0.0147216+0.0134836j 
0.0669723+0.0565033j -0.052262+0.0394558j -0.021213-0.306686j 0.228581+0.0757977j 0.11088-0.0408555j -0.131062-0.173526j 0.0748031-0.0155967j 0.0298223-0.0833923j -0.0567412+0.0850869j 0.0582528+0.0203833j -0.231013-0.0225178j -0.137387+0.196169j 0.023772+0.0131445j -0.0392552-0.0881191j 0.0356708+0.00922048j -0.0129172+0.055403j -0.0435805+0.0946338j -0.0403858-0.00438945j -0.0997729-0.0346331j -0.082843+0.0665839j -6.93225e-05-0.11427j 0.0632262+0.0763113j -0.0438226-0.0820293j -0.0226199+0.0643053j 0.00206096-0.045602j 0.0238065-0.117016j 0.036266-0.0528009j -0.0186487+0.115639j 0.0203874-0.0887622j 0.0859097+0.0616017j -0.0161802+0.0549959j 0.0799424-0.0375388j 0.110938+9.88098e-15j 0.0302046-0.0281592j 0.0476291+0.0233781j -0.0204915-0.0805927j -0.0309495+0.0229684j 0.0379542+0.0980541j -0.00144397-0.113747j 0.0124745-0.0515811j 0.0627997+0.0467553j 0.0153237-0.0933331j 0.110807+0.149172j 0.0840314-0.0731619j -0.0515572+0.0179452j 0.051962+0.0340841j -0.0446697-0.00886576j 0.0298581-0.0557166j 0.00432479-0.026796j 0.0165285-0.0273906j 0.0369202-0.0214784j -0.0193742-0.0263977j 0.0153116+0.0130197j 0.000787187+0.00633434j 0.000704106+0.0103658j 0.0166881-0.0178708j 0.0031503-0.014713j 0.0109063+0.0214662j -0.00217102+0.0181559j 0.00766642-0.000957305j 0.0115172+0.00786121j -0.0165534+0.00255551j 0.000268901+0.00203187j -0.00175206-0.00470272j 0.00258375-0.00908223j -0.000818807-0.000356688j -0.000948441+0.00455684j 0.000336674+0.0035276j -0.00186044+0.00914671j -0.00737685+0.00310721j -0.013621-0.000431828j 0.000414875+0.00074883j 0.00169349-0.00892296j 0.0035635-2.56492e-06j -0.0159062-0.0104383j -0.0011045-0.000389012j -0.0119892-0.0153126j 0.00743622+0.0227378j 0.0102292-0.00212817j 0.000114324-0.0108889j 0.00475392+0.0039794j 0.00338648-0.00958337j 0.0014705-0.0104669j -0.00194471-0.0147485j -0.019378+0.0307994j 0.00227246+0.0295394j 0.0219601+0.00732846j -0.0113379-0.0231848j 0.00530986+0.0272279j 0.010767-0.00628595j -0.00653888-0.00595884j 0.023167+0.0164467j 
0.0339535-0.0898511j 0.133146-0.00788953j -0.113473-0.0532017j 0.0226135-0.151514j 0.172254+0.187938j 0.0577988-0.048261j 0.227536+0.261605j -0.176504-0.0544937j -0.243747-0.0307597j -0.00957274+0.0807692j 0.00156065+0.00883421j -0.0832439-0.144891j -0.0538663-0.195666j 0.0293936-0.0406427j 0.166827-0.0979981j -0.0400386-0.149699j 0.103794+0.0901958j 0.0258602-0.00713642j 0.0138588+0.0048653j 0.00337368-0.0269325j 0.0875424+0.11454j -0.00125289-0.0386639j 0.0352503+0.0201928j -0.0041369+0.072765j -0.0237287+0.146433j -0.0520361-0.0449849j -0.0151604-0.00906997j 0.0498578-0.00993841j 0.0154802+0.0308019j 0.0123161-0.011022j -0.0281719-0.00909274j 0.0593569-0.0321773j 0.0302046+0.0281592j -0.0154935-3.747e-15j 0.066916+0.00324724j 0.0464817-0.00453559j 0.00156722-0.00479228j 0.000882922+0.0855926j 0.0734968-0.0102074j -0.0379165-0.000897843j 0.0198359-0.105328j -0.0663109-0.0367382j 0.064845-0.0293971j -0.0447782-0.0950602j -0.0628418-0.0653612j -0.0547589-3.60261e-05j -0.0665226-0.0839289j 0.0342894+0.0590218j 0.0155823-0.0259686j 0.00739454-0.00632678j 0.00422741+0.0108377j -0.00339291-5.81442e-05j 0.0143736+0.00896889j 0.00866465-0.00836111j -0.0124443-0.00715783j 0.000914282+0.0165962j 0.0133739+0.00209973j -0.02935+0.0165178j -0.00657535+0.0024801j 0.0194893+0.00396982j 0.0100282-0.00127201j -0.0104869-0.00217607j -0.00306814+0.00997613j -0.00782968+0.0160892j -0.00441413+0.00351312j -0.00122557+0.00939649j -0.00641949+0.0133539j -0.000997407-0.0057021j -0.00203468-0.0122024j -0.00469141-0.00290486j -0.00207963+0.00439939j -0.00714924+0.00143362j -0.0049071+0.00778678j -0.0032246+0.00166303j 0.000154412-0.0183187j 0.00206383+0.00283079j -0.00612282-0.0150141j -0.00571755+0.00298671j -0.00204784-0.0045044j -0.0107603-0.000835647j -0.00187098+0.0118931j 0.00775271-0.00485052j 0.00664622+0.00806898j 0.00333052-0.018386j -0.0165115+0.000327581j -0.0244808+0.0144814j -0.00543922+0.0330447j 0.00691179+0.00656509j 0.00337137+0.00372155j 0.00852975+0.0173151j 0.00609766+0.00749891j 0.00743437+0.0292767j 
