-0.131378+0.00587521j 0.0115088+0.13301j -0.0247796-0.0678951j -0.0592257+0.0646162j -0.022768+0.032065j -0.049147-0.0132384j 0.010544-0.0207983j 0.0670421+0.000842799j 0.0115156+0.0115809j 0.0512138-0.0250629j -0.0194533-0.03486j -0.0623406-0.0544058j 0.0217224-0.0634026j -0.0182562+0.135963j -0.1372-0.0189227j 
0.00865141+0.00485278j 0.0051044-0.00893756j -0.0122729+0.00405979j 0.00942388+0.00816422j 0.0125887-0.00612499j 0.024147+0.0256366j 0.00416645-0.00186953j 0.0224104-0.00576061j 0.0133396+0.0192112j -0.0279888+0.0129495j 0.0158638+0.00724724j 0.00042166-0.00285032j 0.0113405+0.019899j -0.0102808-0.00231361j 0.00478307-0.0109565j 
0.00586688+0.000623679j 0.00544286-0.00309544j -0.0164148-0.00509064j -0.0150324-0.000209966j -0.00444108+0.0106099j 0.00339071-0.00688993j 0.000725416-0.0139518j -0.0153942+0.00349583j -0.00780088-0.00626162j 0.00672188-0.012187j 0.0147491-0.00741047j -0.0140781-0.00563431j 0.0230682+0.00134313j 0.00570682-0.00942983j 0.0057188+0.00106082j 
0.00201892+0.00622183j 0.00697211-0.00715329j -0.0200702+0.00333811j -0.00470873+0.0113085j 0.0109528+0.0079231j 0.00615948-0.0116429j 0.00593005-0.0201083j 0.00836788+0.00620657j -0.00621037+0.00384355j -0.0143144+0.0152356j 0.0129781-0.00608134j -0.0023026+0.000964615j 0.024325-0.00650879j -0.00268166-0.00902204j 0.00596868-0.0018823j 
0.000418838+0.00683714j 0.0102807+0.00200908j 0.0151987-0.00517617j 0.00145996+0.000305118j -0.00838109+0.0023064j -0.000372691+0.00546056j 0.00148187-0.0010969j 0.0101967+0.0033171j -0.00344859-0.00135377j 0.00627091+0.00874364j 0.00402858+0.000648653j 0.00142457-0.00145347j -0.00307055+0.00124351j 0.000514653-0.00345945j 0.00384643-0.00262191j 
-0.00752085+0.00462793j 0.00425725+0.0112703j 0.00718748+0.0118747j 0.00786426+0.0061524j -0.00142621-0.00973768j 0.00522998+0.00847154j 0.0111381-0.00911715j 0.0205662+0.00738789j 0.00391438-0.00676762j -0.00465822+0.0185211j 0.00106711+0.00817623j 0.0119075-0.00527879j -0.00292976-0.00329346j 0.00133605+0.00489767j -0.00414601-0.00100009j 
-0.0100128+0.00951758j 0.00618512+0.00998962j 0.000386688+0.0067396j -0.00491936+0.00357402j -0.00492019+0.00196663j -0.00146165-0.0150543j 0.00859431-0.00716135j 0.00725605+0.0040246j -0.00597055-0.00720724j -0.00597906+0.0232488j 0.0022991+0.00364906j 0.00276687-0.00654457j 0.00273375-0.00259627j 0.00141637+0.00539252j -0.00204538+0.00466477j 
0.00840288-0.00821764j -0.00802497-0.00704045j -0.00135322+0.00322166j -0.00286131+0.000413139j -0.0116419+0.00336506j -0.00347347-0.00372697j -0.00858387+0.0124703j -0.0159026-0.00010756j -0.00310782-0.00417749j -0.00340878-0.00488662j -0.000854806-0.00237912j -0.00973343+0.00466081j -4.9038e-05+0.0048422j 0.00535469-0.0043905j 0.00712846+0.00627578j 
0.0057148-0.00223596j -0.000515353-0.002146j -0.00354454+0.00071154j 0.000123983+0.00237204j 0.00332601+0.00280668j 0.000740488+0.00846919j 0.00890929-0.0049572j -7.94499e-05+0.00326576j 0.00415605-0.00857299j 0.00869208-0.00251349j -0.00230959-0.00294436j 0.000959686+0.00520507j -0.00126646-0.00564639j -0.0012053+0.000713016j -0.00187613-0.00614128j 
0.00479295-0.00190898j -0.00212476-0.00230987j 0.0189271+0.00155173j 0.00427441-0.013523j 0.00735114-0.00591249j 4.36585e-05+0.0127254j -0.0036171+0.000963946j -0.0116853-0.00255054j -0.00632396-0.00640272j -0.00801526+0.0141135j -0.00796844-0.000132131j 0.00162423+0.0147312j -0.00182437+0.00837059j 0.00555355-0.00579384j 0.0108401+0.00285112j 
0.00148667-0.00477308j -0.00937299-0.005489j -0.014051-0.00176455j 0.00076971-0.00303769j 0.00870253-0.00510826j 0.00140418-0.00389741j -0.00062047+0.00354486j -0.00501615-0.00890132j 0.00820127+0.00432945j -0.00227562-0.0110608j -0.00630156+0.00212349j 0.00141635-0.00267637j -0.00206087-0.0028934j -0.00366335+0.00299428j -0.00441367+0.000643281j 
-0.000860255+0.00391537j 0.00123977+0.00192072j -0.00458804+0.00315205j -0.0155362-0.00291575j 0.016946+0.00558801j 6.69627e-05-0.00536624j 0.00444765-0.00777073j -0.00435935-0.000488434j -0.0106904-0.00745721j 0.00105382+0.00708653j -0.0146257-0.00534274j 0.00202754-0.00466424j 0.00232797+0.00288622j -1.78425e-05-0.00218993j 0.00563349+0.00293387j 
0.00519134+0.00145551j -0.000324759-0.00931872j 0.00709405-0.00518199j 0.0062002-0.00228171j -0.00367222+0.000271863j -0.00904853-0.00706084j -0.0086141+0.00506072j -0.0125163-0.00298677j -0.0132317-0.000809371j -0.00669299+0.0152898j -0.00471685+0.00259223j 0.000814967+0.0141955j 0.00208663+0.00551653j 0.000992224-0.00550537j 0.00942422+0.00185775j 
0.0100588-0.00853295j -0.00657676-0.0118357j 0.00267417-0.004314j 0.0110814-0.0024346j 0.00304886-0.00706341j 0.00229936+0.00932328j -0.00371267-0.00276922j -0.00636194-0.000576205j -0.00607452-0.00595009j -0.00124931+0.00232553j -0.00708711+0.00381606j 0.00891982+0.0142936j 0.000381481+0.00116586j 0.00541889-0.00947058j 0.00716846+0.00112921j 
0.00192931-0.000622643j -0.00128833-0.00295232j -0.00563286-0.00428524j -0.0102624-0.00759176j 0.0214467+0.0022301j 0.00863033+0.00223988j 0.00412566-0.00908216j -0.00215716-0.00568305j -0.00258015-0.00131743j 0.00118688-0.00173512j -0.0095596-0.00483138j 0.00213566+5.24731e-07j 0.000347789+0.00105767j -0.00117853-0.00205433j 0.00133712+0.000217646j 
0.000533602-0.00360046j -0.000548113-0.0059836j 0.0105673-0.000468067j 0.00298821+0.00731335j 0.00676184-0.0034243j 0.000523187-0.0258042j 0.021591-0.00158686j 0.015077+4.00815e-05j 0.0210498+0.00105742j -0.000904532-0.0243664j 0.00697988+0.00345172j 0.00307428-0.00727069j -0.0104208-0.000597985j 0.000726708-0.00603058j 0.000723993+0.00401113j 
0.00203928+0.00147362j -0.00127032+0.00268701j -0.00812701+0.0120518j -0.00629151-0.0108057j -0.0105088+0.00396018j 0.00494348+0.00573698j -0.00478315+0.000237596j 0.000625225+0.00200039j 0.00396022-0.00269299j 0.000520236-0.00747565j 0.0108407-0.00313324j -0.0015716-0.0124975j -0.0137111-0.00466611j -0.00266808-0.00138143j -0.000761159+0.00238886j 
0.000837785-0.000675613j -0.00116279-0.00129833j -0.0060457-0.00397528j 0.00252904-0.00178398j -0.00157036-0.000133588j 0.000931607+0.00731985j -0.00526429-0.00108752j -0.00320583-0.000455518j -0.00527425+3.9205e-05j 0.00168463+0.00422504j -0.00196345+0.00080982j 0.00283964+0.00430477j 0.0022566-0.00233569j -0.000376443+0.000667039j -0.00168644-0.00185941j 
0.00208659-0.00211669j -0.00713738+0.00334238j -0.00330399+0.0102915j 0.00423422-0.00153547j 0.011924+0.00846483j -0.0134368+0.0114014j 0.0144902+0.00311046j -0.00185659+0.00416497j 0.0168471-0.00424256j 0.00873114+0.00727799j -0.00159391-0.0142037j 0.00493843+0.0087179j 0.00104701-0.0039758j 0.00200687+0.00254761j 0.00238776-0.00226516j 
0.00416551-0.000675517j 0.00106444+0.00279589j 0.00598729+0.0155529j -0.0104639+0.00915132j -0.00202707+0.00351159j -6.85768e-05-0.00412564j 0.0022611+0.000416516j -0.00159945+0.00395636j -0.000855372-0.00629601j -0.00301956+0.00335833j 0.00306346-0.00333514j -0.0118828-0.00197184j -0.00362113+0.00988554j 0.000723305+0.00187204j 0.00485928+0.000769143j 
-0.0044087+0.000969251j 0.000943808+0.00309899j -0.00621932-0.00282629j 0.0106594+0.004459j -0.0231545+0.0037973j -0.00558048+0.00166713j -0.00569761+0.00763465j 0.00369252+0.00513724j 0.00279405+0.0049663j 0.00149928+0.00118289j 0.013668+0.00191213j -1.21854e-05+0.00146564j 0.000856104-0.00805414j -0.00129036+0.00504125j -0.00812486-0.00230847j 
-0.0105132+0.00364108j 0.00334023+0.0146019j -0.0141489+0.00284517j -0.0128624-0.00539105j 0.00288582+0.00121502j 0.0108168+0.0125074j -0.00470374-0.0105739j 0.00412513+0.00362267j -0.00701286-0.00278598j 0.0090888-0.00069542j -0.00556149-0.00335588j 0.00167987-0.0124431j 0.00155052-0.0136436j -0.00254847+0.0086412j -0.0127887-0.00231448j 
-0.00119941-0.000732041j 0.00531767-0.00187258j 0.00928106-0.00553906j 0.00500336-0.00427533j -0.000572634+0.0177997j 0.0073427+0.00254616j 0.00181335+0.0015322j 0.0102055+0.00126953j -0.0022794-0.0029843j 0.00164503+0.00166903j 0.00170246-0.0159248j 0.0047363+0.00720618j -0.000658677+0.000324006j 0.00131662-0.00277208j -0.0019899+0.000341284j 
-0.00192734-0.00301072j 0.00222595+0.00177652j 0.00617761-0.00292962j 0.0065725-0.00123294j -0.00272698-0.00883365j 0.00514131+0.00671352j -0.00168307-0.00737823j 0.00369839+0.00181393j 0.00170135-0.00631036j 0.00079246-0.0118001j -0.000374921+0.000354467j 0.00305326-0.000353984j 0.00223942-0.00519906j 0.00147596-0.00409458j -0.00242618-0.00229346j 
-0.00823982+0.00429903j 0.00128508+0.00953416j -0.0121189+0.00201024j -0.0019386-0.000746842j -0.0149064+0.0099031j -0.00323666+0.00444274j -0.00753001+0.00879025j 0.00367527+0.00315785j -7.51804e-05+0.00545966j 0.00498446+0.00382763j 0.00489512-0.00576248j -0.00200969-0.0100421j 0.00346462-0.00881369j -0.00184269+0.00798488j -0.00857631+0.000452302j 
0.00136206-0.0060226j -0.00204749-0.00740594j -0.000935169-0.01134j 0.0160888+0.00321972j -0.00404869-0.00202177j 9.4072e-05-0.00108917j 0.0049804-0.00515551j 0.0071374-0.000250079j 0.00658327-0.00109333j 0.00131023-0.0114928j 0.00595088+0.00219203j 0.00645372+0.00806591j 0.000220866-0.0084989j -0.000468174-0.00170635j -0.00687708-0.00371538j 
0.00939265-0.00577679j -0.00914479-0.0170556j -0.00376957-0.0122358j 0.00892443-0.00379847j 0.00714639-0.00371261j -0.00314152-0.00563592j 0.00261509+0.00280914j -0.00371969-0.00872079j 0.00381941+0.00384379j -0.00690026-0.00124201j -0.00261104+0.00545705j 0.00692089+0.00862208j -0.00280051+0.0036426j 0.00119484-0.00887203j 0.00795252+0.00377016j 
-0.00758832+0.00894695j -0.000377949+0.00324094j -0.0177303-0.0060811j -0.0115036-0.000502946j 0.00823761+0.00821834j -0.00746608-0.014608j 0.00148662+0.00607328j -0.00232282-0.00690852j 4.48794e-05+0.0138891j 0.00340177+0.00842868j -0.00368271+0.000992136j -0.00141133-0.00663374j -0.000926412-0.00312222j -0.00823428+0.011646j -0.00702521-0.00042338j 
-0.00277105+0.000852783j 0.00650369+0.00852462j 0.0132479+0.0073287j -0.00275113-0.00134191j -0.00676053-0.00172345j 0.00754109+0.0101939j -0.00483023-0.00166355j 0.00157096+0.00636598j -0.00496522-0.00739488j -0.000586497+0.00042053j 0.000437446-0.00341112j -0.00300881-0.0010746j -3.31383e-05+0.00270849j 0.00306843-0.00151287j 0.0011975-0.000388147j 
0.00857245-0.00815762j -0.00645239-0.0076845j -0.00145338+0.00131315j 0.00498094+0.00135481j -0.0008421-0.00369765j 0.0015488+0.00608165j -0.000184112-0.00289748j -0.0017971+0.000774288j 0.00143436-0.00516792j -0.00186991-0.00432344j 0.00132317+0.000620037j 0.00150764+0.00410523j 0.000317399+0.00174342j 0.0047712-0.00732903j 0.00571668+0.0021903j 
