0.0255555+0.252869j -0.252938+0.025559j -0.0546331-0.269516j -0.279946+0.0582229j 0.0985645+0.173262j -0.105748+0.117543j -0.065628+0.0700977j -0.174152+0.0134358j 0.0843584+0.167522j -0.0293729+0.113028j 0.0665753-0.100316j -0.0566208+0.00852274j 0.0382442+0.00476662j 0.0889166-0.0826018j 0.0889964-0.078684j -0.0408079-0.000720769j -0.0228333-0.0124403j 0.0735343-0.0484739j 0.00728864+0.0238436j 0.0776622+0.0128492j -0.0571774-0.0548136j 0.0356232+0.0185388j 0.00223762+0.0510749j -0.00651318+0.00413197j 0.0280411+0.00539244j 0.0612336-0.0143507j 0.0218582+0.0170071j -0.160302-0.0241516j -0.00230903-0.001286j -0.0160178+0.00672432j -0.0405704-0.0327675j 0.0181446+0.00242789j 0.00620249+0.00392916j 0.026987-0.0441028j -0.0461646+0.00665095j -0.0741908+0.034804j -0.0798212-0.0144199j -0.0442917-0.0292719j -0.0444312-0.0746787j -0.0190823+0.00676147j -0.0361051-0.0838061j 0.0615913+0.0640277j -0.0532388-0.102333j 0.0423934+0.01719j 0.0586029+0.0501246j 0.0156877+0.11392j -0.000424262-0.10899j -0.117624+0.146247j -0.175718-0.0234113j -0.0685279-0.0688626j -0.0971935-0.120412j 0.101592-0.167177j 0.273476+0.0641988j -0.0596708+0.261691j -0.24872-0.0275373j -0.0275158+0.248557j 
0.00102034+0.00294769j -0.00250655+0.00100512j 0.000927849-0.00082617j 0.00120245-0.00158182j -0.00123388-0.00312353j -0.000328208-0.00419087j 0.0066793-0.00474912j 0.00385155+0.00246187j 0.000935131+0.00474132j -0.00243013+0.0046564j 0.000965242-0.00144973j 0.00365794+0.00263111j 0.00014502-0.00356135j -0.00204349-0.00182561j 0.00449186+0.00118721j 5.59673e-05-0.00137317j -0.00187548+0.000493801j 0.0030425+0.00166551j -0.00107574-0.000417739j -0.000745403+0.00111767j 0.00293402-0.0043427j -0.00285469-0.00651919j -0.0012011-0.00439719j 0.000787281-0.00297894j -0.000337933-0.00186854j 0.000704252+0.00094504j 0.00305245+0.000257071j 0.000994176+0.00488088j 0.00459117+0.0029166j -0.000811377-0.00290405j -0.00520286+0.0013236j -0.00126209+0.000542234j 0.000432388-0.000655331j 0.00127486+0.00247692j 0.00436261-0.00306174j -0.00419453+0.00209953j -0.000950404+0.000628163j -0.00238168-0.000343061j 8.25941e-05+0.000955281j -0.00215401-0.00252966j 0.00322309-0.0030913j -0.000485612+0.00430904j 0.00370816-6.51054e-05j -0.000584505-0.00283852j 0.00228248-0.00342921j -0.000943961-0.00395147j -3.26074e-05+0.00345943j -0.00388415-0.00498355j -0.000654999+0.000770918j -0.00228821-0.00326335j -0.00287292+0.000736968j -0.00835443-0.00409319j -0.00107379-0.00101767j -0.000109538-0.00275931j -0.00253977-0.00143402j -0.000642527+0.00260315j 
-0.00191285-0.00134615j 0.00168077-0.00223646j -0.00390206-0.0011231j -0.000289501+0.00285271j -0.000708602-0.00275516j 0.0035137-0.00020975j -0.000174766+5.0896e-05j -0.000158886-0.00139278j 0.000635366+0.00354503j 0.00205744+0.00262027j -0.00244603-0.00444054j 0.000209482+0.00240636j 0.000493066+0.00209131j 0.00286968+0.000612538j 0.00236118+0.00385275j 0.00138311-0.000228607j 0.00188679-0.00200194j 0.00369985-0.00315698j -0.00289556+0.000703557j 0.00199937+0.00175107j 0.00386096-0.000449307j 0.00191826+0.00369239j -0.00258901+0.00393717j 0.00210695-0.000749135j -0.00192458-2.23742e-05j -0.00284622-0.000172916j -0.00512349+0.00260116j -0.000373637+0.00318968j -0.0049552-0.000607541j 0.00146741+0.000149732j 0.0045793-0.00220462j -8.73756e-05-0.00316165j 0.00134711-4.1785e-05j 0.00225505+0.00286451j -0.000456071+0.00545423j -0.00430598-0.00631737j -0.00158983-0.00183189j -0.00031249+0.00256486j 0.00449302-0.00213136j 0.00391243+0.00131788j -0.000562379+0.00104727j -0.00176941+0.00256448j 0.000376713+0.00105422j -0.00276941-0.00151323j 0.00139202-0.00296018j -0.00446386-0.000856475j 0.00228922+0.00345062j -0.00404081-0.00197552j 0.000403714+0.00225054j -0.00681904-0.000746407j -0.00263364-0.000355071j -0.00785889-0.00147626j 0.00245521+0.000462471j -0.00181398+0.00130597j 0.00218037-0.000667195j -0.000158303-0.00254774j 
-0.000304007-0.000205521j 0.000303532-0.000292198j 0.000191093+0.000443502j 0.000708437-0.000408343j -0.000523402-0.000388589j 0.00239371-0.000771994j 0.000188303+0.00276445j -0.00121568-0.0010766j 0.00109408-0.00160159j 0.00458443-0.000875536j -0.00296084-0.00411229j -0.00288157+0.00470572j 0.00213487+0.00389748j 0.000769049+0.000390972j 0.00151642+0.000838201j 0.00165681+0.00137141j -0.000969714-0.00254804j 0.00401088-0.00178439j -0.0027051+0.00220983j 0.000332566+0.00333917j 0.00495338-0.00249364j 9.77617e-05+0.00217707j -0.0012686+0.00372155j 0.00402173-0.00125346j -0.0035963+0.00305615j -0.0018314+0.00196903j -0.00890775+0.00268493j 0.000447017+0.00335207j -0.00303472+0.00190099j 0.00315589+0.000654851j 0.00322355-0.000100192j -0.00120309-0.00023945j -0.00168313-0.00485003j 0.000309473+0.00465591j 0.00135629+0.00150164j -0.00306831-0.00368468j -0.00184004-0.00237245j 0.00200968+0.00332005j -1.05474e-05-0.00395693j 0.00185714-0.000122838j -0.000312683+0.00363933j 0.00124025-0.000305013j -0.000421395+0.00189897j 0.000449065-0.00130016j -0.00218262+0.000618627j -0.000860257-0.00167046j -0.000799892-0.0031702j -0.00866775+0.00272843j -0.00296106-0.0027138j -0.000842851-0.00194771j -0.00234517+0.00151931j -0.00656039-0.00252646j -0.000441946-0.000862741j -0.000584539-0.00151667j 0.00204084-0.000320495j -1.82062e-06-0.00193499j 
-0.00016111-0.000163536j 0.000269393+6.11474e-05j 0.00114279+0.000991889j 0.00148231-0.00111859j -0.00279257-0.000763538j 0.000708975-0.00287518j 0.00222786+0.00069835j 0.0008568+0.000686596j 0.000603198-0.001328j 0.00313496+0.00031992j -0.00242512-0.00354502j -0.00151613+0.00567257j 0.00286934+0.000150435j -0.000940819-0.00243076j -0.000673985+0.00227536j 0.00130572+0.00191855j -0.00199266+0.00201632j -0.00601338+4.22312e-05j 0.000195025+0.00126076j -0.000862353-0.00207982j 0.00172765+0.00498156j -0.00196813-0.0105826j 0.00394688-0.00413969j -0.0028413+0.000607726j -0.000313266-2.44239e-05j 0.00344683-0.00329112j -0.000414249-0.000907806j -0.00632589+0.00200125j 0.00132022+0.0036774j 0.00254796+0.00411466j -0.00380684-0.000858935j -0.00160401+0.00281156j -0.000537431+0.000849368j -0.0036519-0.00444115j 0.00395445+0.00133162j 0.000385328+0.00278234j -0.000137699-0.00131949j 0.00594307-0.00318867j -0.00254869-0.000796801j -0.00123118-0.00225432j -0.000824562+0.00237592j -0.00217418-0.00117743j -0.00156291-0.0063495j 0.00203728-0.00166622j 0.0012872-0.00323135j 0.000837276-0.00155464j -0.000439993+0.00106989j -0.00221414-0.00833693j 0.00098929-0.00199619j 0.00435527-0.00377995j 0.00175539+0.00131455j -0.000385373-0.0040962j -0.000943974+0.00158397j -0.000804906-0.00211794j 0.000353221-0.00173221j -0.00160359+5.35057e-06j 
0.000439029+0.00241407j -0.00273813+0.000152618j -0.00174568+0.00133158j 0.00179934+0.00103056j -0.00220376-0.00344788j 0.00165828-0.00248237j -0.00194648-0.00156312j 0.000285347-0.00310653j 0.000487101+0.00581118j -0.000745935+0.00187669j -8.21688e-06+0.000168522j -0.000907698-0.00215642j -0.00262504-0.000131674j -0.000694114-0.000710093j 0.000900736-0.00215483j -0.00180137+7.75958e-05j -0.000375803-0.000670838j 0.00172734+0.00177922j -0.000210573-0.00294598j -0.00221786+0.00126607j 0.00283719-0.00114483j -0.00139865-0.00296271j 0.000216681-0.0007598j 0.00106469+0.00371886j -0.000652525-0.00338488j -0.00136056-0.000824719j 0.00188712-0.00717233j 0.00187748+0.00172166j 0.0021761+0.000761279j -0.00552283+0.00249572j -0.00295872-0.000220234j 0.000388708-0.000997562j 0.00489148-0.00139798j -8.80947e-05+0.000945301j 0.00246237+0.00104475j -0.00276361+0.0026491j -0.000288944-0.00126717j -0.00408858+0.000103875j 0.00333788-0.0014884j 0.000692104-0.00274875j -0.00188992-0.00326384j 0.00126386+0.00244398j -0.000201238+0.000780603j 0.000470637+0.00402836j -0.00704762-0.00415616j 0.000688001-0.00196248j 0.00394762+0.000403111j -0.00168684-0.00391237j 0.00371432-0.00283973j 0.00113913+0.00493223j -0.00357855+0.000582636j -4.60884e-05-0.000599141j 0.00170415-0.00206123j 0.00187453+0.00118609j -0.000905553+3.12852e-05j -0.000265638+0.000711416j 
0.000350277+0.000979291j -0.000980408+0.000763041j 0.00366021+0.00407737j 0.00466496-0.00309994j 0.00613123-0.000407117j -0.00243379+0.00673917j -0.00101031-0.000384149j 0.000132407+0.00337367j 0.00374807+0.00103607j -0.000592655+0.00099505j 0.00232824-0.000783255j 0.00206654+0.00122425j -0.0027599-0.00654892j 0.00109451+0.00195654j -0.000759471-0.000373772j -0.00560043-0.00598002j -0.0028884-0.00262676j -3.30898e-05+0.00189818j -0.00267414-0.00160395j 0.00302819+0.000845474j -0.000304698-0.00142568j 0.00211708+0.000666022j -0.00371869+0.00518861j 0.00305833-0.0031446j 0.000193258-0.000143208j -0.00501892+0.00158024j -0.000734347-6.06087e-05j 0.000718264-0.000879649j 0.000708625+0.000884962j 0.00089771-0.00178588j 0.00366445+0.00169713j 0.000272537+0.000832497j -0.00094126-0.00413824j 0.000283868-0.00395041j 8.48409e-05-0.00299748j -0.000136824-0.00132077j -0.00266082-0.000552296j 0.00126194+0.00419579j -0.00102232+0.00207678j -0.00419326+0.000293522j 0.00531254-0.00173689j 0.00727076-0.00304202j 0.000716333+0.00389323j -0.00268386+0.00381612j -0.00261804+0.00430225j 0.00260853-0.00053992j -0.000878755-0.0023828j -0.00230025+0.00123401j -0.00175015-0.00236383j -0.000584517-0.000209424j -0.00174615-0.00634287j 0.00480188-0.00196691j -0.00571343-0.00267422j 0.0027897-0.00582111j -0.000994028+0.000206997j 0.000337812+0.0014949j 
0.00108349-0.000780115j 0.000630297+0.00135972j 0.000220134-0.00168183j -0.00191372-9.85659e-05j -0.00383427+0.00073752j -0.000522709-0.00463517j 0.00320745+0.00205606j -0.00232361+0.00235318j 0.00149706+0.00215229j -0.00480142+0.000959314j 0.00203061+0.00371226j -0.000272426-0.00143198j 0.00102111+0.00215366j -0.000215879-0.00167714j -0.00124866+0.00180322j 0.002353+0.00259913j 0.0015325+0.00180553j 0.000399302-0.000404872j -0.000319995-0.000561272j -1.83976e-05-0.000591186j -0.00185901-0.00151558j -0.000187783-0.000264663j 0.00280843-0.00547076j 0.00150351-0.000598899j 0.000108188-0.00146603j 0.00142204+0.000958159j -4.28542e-05+0.00045409j 0.000374023-0.00196484j 0.00124165-0.00107431j 0.00202897+0.0030008j -0.0045744-0.000476318j -0.000775526-0.00205413j -0.000564353+0.000780539j 0.00112175+0.00114307j 0.00191216-0.000753767j 0.00175211+0.00238168j 0.000307866+0.00226786j -0.00270414-0.00101359j -0.00100717-0.00105721j -0.000593851-0.00178823j -0.00250398+0.000796412j -0.00398669+0.00148812j 0.00201228+0.000558889j 0.00544364-0.00278838j 0.00197249+0.00601933j -0.00200179-0.000505286j -0.00045731+0.00114866j 0.00516718-0.0013676j -0.00145848+0.00156107j 0.00371916-0.00203734j 0.0018318+0.00371326j -0.000362271-0.00170218j 0.000665935+0.000232822j 0.000229928+0.000700122j -0.000918823+0.0002384j 7.13797e-05+0.00121329j 
0.00160199+0.00104215j -0.000905577+0.00163436j 0.00165643-0.00170748j -0.000904866-0.00108944j 0.00208221-0.000241284j -0.000177628+0.000553843j 0.000779501-0.000725829j 0.000351794-0.00166164j -0.00702568+0.000594631j 0.000101276-0.00330942j -0.000770077-0.00192328j -0.00124277+0.00425656j 0.00206416-0.000914417j -0.00218556+0.00277822j -0.00251797-0.00149985j 0.00168796-0.000145358j -0.000962406+0.00246535j 0.00203008+0.00162451j 0.00249404-0.00215819j -0.000388245+0.00357718j 0.00152155-0.000900936j -0.00429968-0.00238305j 0.000372447-0.00247355j -0.000989831+0.0030671j 0.00124853+0.000684254j 0.00257437-0.00353657j -0.000148352-0.00243544j 0.000580479+0.00254977j 0.00375511+0.0009758j -0.00281803+0.00146913j -0.000598086+0.00213529j 0.00282079+0.00285425j -0.000575753+0.000151226j 0.000600858+0.00301705j -0.000664223-0.000479046j -0.000204797+0.00130112j -3.62935e-05-0.00276318j -0.000726742-0.00281438j -0.000498416+0.00340995j -0.00014007-0.000850072j 0.000618306+0.000844566j -0.000400832-0.000198047j -0.00280008-0.00149386j -0.000440983+0.000285437j -0.00315349-0.00370661j 0.00257933-0.0047066j -0.00542444+0.000959249j -0.00133926+0.00164925j -0.00125719-0.00223539j 0.0023549-0.00352156j 0.00157835+0.000752291j -0.00120831-0.00111026j 0.000754581+0.000699539j -0.000532523+0.000203802j -0.000289984+0.000256109j 0.000453048+0.00043331j 
0.000101221+0.00204672j -0.00207212+9.68349e-05j 0.000561705-0.00181081j -0.00230906+0.000302273j 0.000548041+0.00311113j -0.00110484-0.00150335j 0.00160089+0.000616471j -0.000459103-0.000892002j -0.00425318-0.00317091j -0.00240808-0.00010093j 0.00527381+0.00297978j -0.00391631-0.00449199j 0.000126661+0.00445524j -0.00308753+0.00153641j 0.00091958-0.0037501j 0.00236167+0.00232525j 0.00165238-0.00195157j 0.0109593+0.00145874j 0.00158457-0.000748603j -0.00258475+0.00562277j -0.000879005-0.0073298j 0.00258263+0.00942782j -0.00150791+6.06985e-05j 0.00333803-0.00111411j -0.00161178+0.00103439j 0.000361715+0.00593845j -0.00111723+0.000675515j 0.00645526-0.000661651j -0.00231177-0.00262851j -0.00409814-0.00456958j 0.000358376+0.00172455j 0.000326641-0.0016323j 0.000348587-0.00242034j 0.00391872+0.0104483j -0.00349926-0.000732101j -0.00207725-0.00295514j 0.00198196+0.00219636j -0.00878587+0.0040341j 2.75322e-05+0.000257884j 0.00217183+0.00177586j -0.00177823-0.000472681j -0.00115708+0.00362021j 0.00536769+0.00610568j 0.000424419-0.00129198j 0.0032991+0.00324782j 0.00202532+0.00136784j -0.00366524-0.00508412j 0.00217133+0.00830905j -0.00181091+0.000429323j 0.000679543+0.00270319j -0.00193716+0.00341849j -0.0023538+0.00143261j 0.00147128-0.00231114j 0.0018102+0.00248025j -0.000876712+0.00204777j 0.00199766+0.000845639j 
-0.000571898-0.00252818j 0.00265687-0.000613535j -0.00238313+0.000417179j 0.00057314+0.00168964j -0.00250167-0.000870225j 0.00221883-0.00326103j 0.00333704+0.00210982j -0.00229239+0.00303414j 0.00770077+0.00535781j -0.00251342+0.00358327j -0.00111341-0.000133328j 0.00371798+0.00217401j -0.000322955+0.000178706j 0.00523299-0.00248281j 0.00234703+0.0055445j 0.000181871-0.000470571j 0.00195359-0.000831882j -0.00142803-0.00308046j -0.00640521+0.000290614j 0.00280608-0.00220465j 0.000907356+0.000113154j 0.00102878+0.000764447j -0.000562912-0.000121913j 0.00555024-0.00296654j -0.000860225-0.00139551j -0.0047024+0.00152721j -0.0053324+0.00496812j 0.000207905-0.00062082j -0.00269989-0.00180439j 0.00765106+0.00348769j 0.000476597-0.00209206j -0.00145325-0.00423572j 0.000150829-0.00061565j 0.000640564-0.00325395j 0.00452771+0.00240901j -0.000477071-0.00143353j -0.00363808+0.00286507j 0.000996268+0.00149751j 0.00143598-0.00471358j -0.00110944-0.000945996j -0.00104316+0.0013391j -0.00229635+0.000665936j 0.000350012+0.0027096j 0.00345514-0.00312709j 0.00161693+0.00687666j -0.00801413+0.000568827j 0.0060154+0.00433163j -0.00190248-0.00478302j -0.00185695+0.00165011j -0.00395207-0.00329521j -0.000433415-0.000711865j -0.0045447-0.00206985j 0.000253156-0.00152013j 0.000501529-0.000863224j 0.00141863-0.00175802j -0.00147484-0.0014193j 
0.00159513-0.0010902j 0.000972655+0.00145865j -0.000697794-0.000578767j -0.00104077+8.50931e-05j -0.00244447-0.000466123j 0.000492447-0.00287838j 0.00124894+0.000811535j -0.00264666+0.000348373j 0.000225733+0.00564938j -0.00588026-0.00343376j -0.00255365+0.00625259j 0.00724644+0.000495866j -0.000294447-0.00424814j 0.00215274-0.000262663j -0.000734655+0.000453209j -0.000910512-0.000605442j -0.000390208+0.00397539j -0.003241-0.00227649j -4.13447e-05-0.00192325j 0.00361572-0.00381949j -0.00417333-0.00348556j -0.00127717-0.000948435j 0.00549131-0.00232786j 0.00119077+0.000344567j 0.00430401-0.000784583j -0.000630388-0.000450114j 0.00294292+0.00350283j 0.00478216-0.00151679j 0.00536658-0.00129757j 0.000762552+0.00368874j -0.00393797-0.00235497j 0.00165572-0.00176363j -0.00164705+0.00297079j 0.00432794-0.00405734j 0.00151744-0.00062466j -0.000540695+0.00743729j -0.0044369+0.00338167j 6.46319e-05-0.0048756j -0.000790734-0.000627311j -0.00254202-0.00359271j 0.00110837-0.00285318j -0.00260775-0.00226911j -0.000980714+0.00167358j 0.00416239+0.00226296j -0.00390992+0.0072298j -0.00467079-0.00123627j 0.000732414+0.00650711j 0.00836705+0.00352071j -0.00303634+0.00215352j 0.000280439-0.000571868j 0.00204239+0.00102742j 0.00253731+0.00436416j 1.32907e-05-0.000346006j 0.000461288+0.00107663j -0.00156328-0.00135897j -0.00155265+0.00128481j 
-0.00129659+0.00201585j -0.00185073-0.00117047j 0.000422912-0.000258437j 0.000663952+0.00032864j 0.0025323-0.00137776j -0.000208574-0.000178837j 0.00458627-0.00114417j 0.000894719+0.00380305j -0.00237865+0.00438965j -0.00829555+0.00300207j 0.00583637+0.00393089j 0.00222611-0.00412767j -0.00229215-0.00333408j -0.000548015-0.000235612j 0.00125238+0.00111409j -0.00125501-0.0021261j 0.000799039-0.000749694j 0.00425662+0.00329891j 0.000496905-0.00315716j -0.000586554-3.62969e-05j -0.00118484-0.00306321j 0.00380114+0.00188449j -0.000620363-0.00258917j 0.00103205-0.00148381j 0.00207719-0.00373944j -0.00121223+0.00297314j 0.00696387-5.66694e-05j 0.00247909-0.000517096j 0.00121876-0.00022292j -0.00273428-0.00473837j -0.00304129-0.000662711j 0.000622726-0.00242381j 0.00200847+0.00166355j 0.002461+0.00252905j 5.48562e-05-0.00122857j -0.00182103-0.000659413j 0.000941493+0.00316915j -0.00753608+0.000234443j 0.00165937+0.00436342j -0.000478296-0.0006361j 0.00316505-0.00445547j -0.00190831+0.00373641j 0.00532011+0.00504198j 0.000132262+0.000773111j 0.00491489+0.00200627j 0.0026074-0.000571651j -0.00118992+0.00199461j 0.00779613-0.00225599j 0.00095703+0.00292509j -0.000851538+0.00122271j -0.00198088-0.0024683j 0.00261729-0.00286341j -0.000331731-0.00268158j 0.00372459-0.000305327j -0.00276178-0.000377694j -0.000260257+0.00295705j 
-0.000285691-0.000951623j 0.000932634-0.000421191j -0.000724755+0.00237557j 0.00242253+0.00025164j 0.00403789-0.00172461j 9.19563e-05+0.00602864j -0.0036773-0.00136037j 0.000708104+0.000748105j 0.00449635+0.00223222j 0.00100345+0.000176693j -0.00209389-0.00103048j 0.0048404-0.00067129j -0.00373157-0.00603695j 0.00401119+0.000218974j 0.000231027+0.000765044j -0.00490281-0.00507748j -0.00129622-0.000602608j -0.00544056-0.000383638j -0.00249423-0.000886935j 0.00331119-0.00316141j 0.000128812+0.00302085j -0.000168094-0.000280759j -0.00330376+0.00594956j -0.000354579+0.000356426j 0.00163321-0.000917502j -0.00427183-0.00212614j 0.001336+0.000117538j -0.00174656-0.00133569j 0.000624068-0.000643769j 0.00109441-0.000730251j 0.00430918-0.00100606j 0.00105673-0.000257742j 0.000912879+0.000711924j -0.00133772-0.00691117j 0.000299812-0.00135187j 0.00153161-0.000973221j -0.00246416-0.00123564j 0.00396095+0.000378617j 0.00253785+0.000950924j -0.00214783+0.000295012j 0.00345296-0.00231281j 0.00492657-0.00327327j -0.00335308+0.000570664j -0.00380304+0.00424653j -0.00436091-0.000270239j -0.00155506+0.000985401j 0.00464396+0.00248906j -0.00176027-0.00114171j 0.00109979+0.000350291j -0.00521983+0.00137154j -0.000840891-0.00684848j 0.00405093+0.00158626j -0.00224522+0.000202383j -0.000396133-0.00223108j 0.00015012-0.000258637j -0.00026614-0.000332228j 
0.00187424+0.00154562j -0.00142407+0.00189184j -0.00282036-0.000859137j -0.00132185+0.00347415j 0.00104951+0.0014201j 0.00235266+3.69032e-05j 0.00262628+0.00313257j 0.00156688+0.00242922j 0.0029698-0.00727022j 0.00318137-0.00214136j -0.00398449+0.000445929j 0.00520953-0.00109568j 0.00125214-0.00190225j 0.00494196-0.00948023j -0.00330741+0.00400502j 0.00241544+1.14494e-05j -0.00211357+0.0059092j -0.00919369-0.000989482j -0.00281375-0.00683735j -0.00121909-0.00403037j 0.00755581+0.00210911j -0.00820921-0.0107704j -0.00536659-0.000495907j -0.00692558+0.00736577j 0.00237002-0.00325789j 0.00647569-0.0047281j 0.000594102+0.000551464j -0.014577-0.0016892j 0.00896084+0.000604234j 0.000714621-0.00116309j -0.00564915-0.00647723j 0.0010469+0.00334646j 0.00481278+0.00820634j -0.00570719+0.00125675j 0.0124797-0.00888378j 0.00626913-0.00230292j 0.00258464-0.00492039j 0.00766813-0.00418537j 0.00799331+0.00561843j -0.00191157-0.00601867j 0.000852662+0.00214283j -0.00328805-0.00168447j -0.00406344-0.00882528j 0.000718504+0.00201465j -0.00468884-0.00184093j -0.00296797-0.00135453j 0.00288987+0.0035055j -0.00231324-0.0083643j 0.00186369-0.00121976j 0.00199618-0.00305778j 0.00196271-0.000217519j 0.00107622-0.00249359j 0.00167412+0.00290485j -0.0021442+0.000978614j -0.00177017-0.0021808j -0.00215702+0.00188078j 
-0.00168953+0.00147882j -0.00148464-0.00173503j 0.00134603-0.00219824j -0.00256301-0.00266166j -0.00360249+0.00171395j -0.00227942-0.000314024j -0.00273532-0.000559489j -0.00141892-0.000729066j 0.00511451+0.003918j 0.000191314-0.00044033j -0.00346984+0.00314571j 0.00659629+0.0019444j -0.00282652-0.0011547j -0.000105234+0.00711349j 0.00072149-0.00219697j 0.00103111+0.00192048j 0.00178363-0.000197295j 0.00487795+0.00929002j 0.00723261-0.00254272j -0.00507534+0.0023772j 0.00861297+0.00308822j -0.0104004+0.0019322j -0.00528677-0.0108795j 0.000919796+0.00121758j 0.000384397-0.000753974j -0.00773198-0.00119693j -0.00338448-0.00536689j 0.00704414+0.00392838j 0.00240826+0.000503754j 0.00583225-0.00214623j 0.00431744+0.00492888j 0.00282757+0.000876594j -0.00126229-0.00053423j -0.01207+0.00431039j 0.00557259+0.0075184j 0.00818583+0.00260288j 0.000255086+0.00399132j -0.009757-0.00381826j -0.00468095+0.00696955j 0.00139039+0.00277911j 0.000126062-0.00177246j -0.00201236+0.002576j -0.00568801+0.00506128j -0.00262196-0.00200402j -0.0059063-0.00361125j 0.000660143-0.00362919j 7.79664e-05+0.00027711j -0.00708408+0.000365008j -0.00185884-0.000383836j -0.00280955-0.00233074j -0.00177514-0.000988973j -0.00275898-0.00383885j 0.00338122-0.000708199j -2.59321e-05+0.00214073j -0.00233045+0.00135965j 0.00143612+0.00226896j 
-0.000973044+0.000565691j -0.00084647-0.00114163j -0.00188339+0.00154702j 0.00110815+0.00170519j -0.0013671-0.000179639j 0.000430031-0.00113645j -0.00179941+0.000110557j -0.000492249-0.00131868j 0.00133067+0.0012366j 0.000412328+0.00110034j 0.000388718+0.000726938j -0.00167743-0.0028182j -0.00103056+0.00139265j 5.11092e-05-0.00110927j 0.000811715-0.000821506j -0.000199051+0.000462864j 0.0010511-0.00131693j -0.000594995+0.000459538j 8.31107e-05-0.000572698j -0.00174248-0.000634643j 0.000857074+0.000938526j 0.00124901-0.000202584j 0.000311227-5.33434e-05j 0.000316067+0.0018807j -0.000852338-0.00139852j -0.000865858+2.22228e-05j 0.000975701-0.00293171j -7.48833e-05-0.000272518j -0.00149665+0.000178013j -0.00161036+0.000906313j -0.00126912-0.000929727j -0.00105337-0.00105656j 0.00326891-0.000477167j -0.000674337-0.00051439j 0.00115091+0.00162586j -0.000739573+0.000212417j 0.000787696-6.82975e-05j -0.00177638+0.000675464j 0.00132814-0.0021509j 0.00123277-0.0009409j -0.00192479-0.000252825j 0.000390334+0.00195369j -0.000113633+0.000109084j 0.000109522+0.00146338j -0.00193017-0.00193106j 0.00030318+0.0019389j 0.00371225-0.00124562j -0.000220485-0.00259305j 0.00320225-0.000987427j 0.000479986+0.0040707j -0.00105659+0.000175924j 0.00147726+0.000886715j 0.00150095-0.00133276j 0.00147595+0.00162566j 9.41493e-05-2.78846e-05j -0.00040559-0.000230614j 
-0.00152484+1.88124e-05j 0.000160637-0.00155611j -0.0010066-0.000875223j -0.000184638+0.000998628j -0.00128057-0.00135303j 0.000930426-0.00336025j 0.00450546-0.000617467j 4.06464e-05+0.00256602j 7.70846e-05+0.0052471j -0.00601359+0.0037984j 0.00311781+0.00217069j 0.00173029-0.00141801j -0.000494183-0.000473676j 0.000235987-0.000905383j 0.00224417+0.00271053j 0.000680215+5.1522e-05j 0.0022755-0.000774278j 0.00260754+0.000768034j -0.000824792-0.000951022j -0.000611028-0.000969027j -0.000952005-0.000978211j 0.00291661+0.000584246j 0.00100058-0.00433861j 0.00188283-0.002062j 0.000725956-0.00307834j -0.00119+0.00180885j 0.003323+0.00123576j 0.00210264+0.000196825j -0.0011784-0.00043827j 0.00100077-0.000919728j -0.00305242-0.000663255j -0.000805846-0.00320207j 0.00158267+0.00145078j 0.00188436+0.000721864j 0.00117945+0.00251298j -0.00210078+7.48828e-05j 0.000130438+0.00356542j -0.00542769-0.000439633j 0.000625306+0.000349664j 0.000639287-0.00054266j 5.54553e-05-0.00181243j -0.00414886+0.00427334j 0.00372743+0.00277757j 0.00167367-0.00244062j 0.00564375+0.00144613j -0.00142277+8.4968e-05j 0.00148795+0.00349394j 0.00498386-0.00468263j 0.00087313+0.00338586j -0.00174624-0.000402774j -0.000964866+0.000144611j -0.00184361-0.00240391j 0.0011685-0.00141765j 0.00171673+0.000673833j -0.00102215-0.000752385j -0.000567596+0.00103345j 
0.00058334-0.00215386j 0.00196557+0.00027025j -0.00279086-0.00175815j -0.00281212+0.00190809j -0.00387827+0.00108267j -9.97592e-05-0.00174924j -0.00335246-0.000763901j -0.00035465-0.00315205j 0.00178008-0.00112438j 0.00260388-0.000705464j -0.00242864+0.000149509j 0.000210084-0.00234653j -0.000273318+0.00293421j 0.00104002-0.000553729j -0.00035191-0.000771864j 0.00170703+0.00301206j 0.00267649+0.00157423j -0.00239208-0.0030822j 0.00022143+0.00161189j -0.000103642-0.00199563j -0.00281743+0.00223797j -0.00261283+0.0019879j 0.000710007-0.000864323j -0.00172018+0.0014232j -0.000604107+0.000661812j 0.00173839-0.00206479j -0.00122869+1.80133e-05j 8.37647e-05-0.00259569j -0.001342-0.00343622j 0.00104299+0.00281778j 0.000809666+0.000336839j -0.000259994-0.000493126j 0.000230271+0.00177099j -0.000159516-0.00168864j -0.00158444+0.00117027j 0.00295748+0.00167104j 0.000694036+0.000417895j 0.00128554-0.00116564j 0.000379147-0.00251189j 0.00111609+0.00135125j -0.00413775+0.00160252j -0.00154618-0.000510898j -0.00221401-0.00289736j 0.00100401-0.00158254j -0.000737459-0.000522765j -0.00404506+0.00219809j 0.00335194+0.00101129j 0.000137418+0.00103765j 0.000720935+0.0014815j -0.00142682+0.000784455j 0.00229665+0.0023667j -0.00109469+0.00454268j 0.00216869+0.0023233j -0.00285015+0.00282283j 0.00116199+0.000981823j 0.000714752-0.00162337j 
