0.323507+0.072934j 0.0712614-0.333462j -0.127478-0.0961255j 0.0939536-0.164704j 0.0554046-0.0682564j -0.0149445+0.00178686j 0.104277+0.102272j 0.0313868-0.0459436j -0.0653882+0.000895409j -0.042722+0.14005j 0.0751819-0.0489322j 0.0425941+0.0165691j -0.0668587+0.110495j 0.074075-0.00942081j 0.0626606+0.025806j -0.0751049-0.0627111j -0.0441382+0.00666727j 0.0495326-0.0430432j 0.199271-0.0281921j -0.0228347-0.0275209j 0.123179-0.0424396j -0.0724286-0.0779385j 0.162326+0.194649j -0.105585+0.148659j -0.0554186-0.367369j 0.36021-0.0567968j 
-0.00675248-0.00505087j -0.00636237+0.00889766j 0.00680211+0.0123956j -0.00760122-0.000379224j 0.000470619-0.0111558j 0.00728143-0.0084589j 0.0134793+0.00228881j 0.00259382+0.0202422j 0.0122334-0.00307844j 0.00888954-0.0071054j 0.0119062-0.0103537j 0.0014912-0.00692199j 0.00295388+0.00568986j 0.00826174+0.0061786j -0.008514-0.0055803j 0.0137135-0.000417293j 0.00881531-0.00681873j 0.0109346-0.0118287j 0.00656157+0.0159767j 0.00534845+0.0029513j -0.0177412+0.0163861j 0.0100283+0.00799533j -0.0121086-0.00661143j -0.00314963-0.000968338j 0.000923493+0.0136351j -0.0132023+0.00160989j 
0.00539217+0.00202316j 0.00294644-0.00437206j 0.00330313-0.00739393j 0.00170493+0.00214257j -0.00731224+0.00419387j 0.00897374-0.00353762j 0.00159948-0.0115288j -0.00278432-0.0119795j -0.0146474+0.00791369j -0.00834377+0.00868009j 0.00462257+0.0194805j 0.00192058-0.00401514j -0.0108199+0.00452026j 0.00832153+0.00514439j 0.00354479+0.0132313j -0.00128852-0.0107522j -0.00915741-0.0103378j 0.00288363+0.00785275j -0.0117392+0.00590817j 0.00630096+0.00570178j 0.0101699-0.0044123j -0.00038569-0.000388931j -0.000333335-0.000301836j 0.00542216+0.0139524j -0.00601204+0.00466681j -0.00230134-0.00527104j 
-0.00592592-0.00273566j -0.00427852+0.00778309j -0.0134866-8.75033e-05j -0.00477494-0.00769535j 0.00365178+0.00010452j 0.00599102+0.00171359j 0.00551574-0.00378576j 0.000219873+0.00367848j 0.00347148-0.000255867j 0.00899516+0.00181408j -0.000164907-0.000495259j 0.00417265-0.00190167j 0.0027063+0.00697771j 0.0161263+0.00164855j -0.010807+0.000867265j 0.0037133-0.00279118j 0.000495841-0.00564433j -0.00105146-0.0089442j 0.00217378-0.000735958j -0.000994653-0.00905645j -0.00636322-0.0023129j 0.0100494-0.00766893j 0.00179247+0.00346446j -0.0180294+0.00100262j 0.00456998+0.0071489j -0.00470356+0.0042175j 
0.00513447+0.000884468j -0.00181395-0.00947349j -0.0162967+0.0133189j 0.00664921-0.00215426j 0.00606941+0.0118917j -0.00431433+0.00366259j -0.00682128-0.0130611j -0.00747844-0.0158709j -0.00120175-0.00146564j 0.000613517+0.0136377j -0.0131572+0.00750904j -0.00392314+0.0152301j 0.00248219+0.000354679j 0.00515861-0.00490217j -0.00934165+0.00728134j -0.00508699+0.000151254j 0.0107389-0.00196041j 0.00932455-0.0096939j 0.0102779+0.00924654j -0.00081415+0.000738305j -0.0138622+0.0101174j 0.00724063+0.00565951j -0.000929035+0.00136466j -0.00332309-0.000378531j 0.000324537-0.00249573j 0.00167461+0.000335506j 
-0.00348809-0.00107443j -0.00107964+0.00356809j 0.012355+0.00664057j 0.00872816+0.00740963j -0.00337415-0.0093138j -0.00173695+0.0074932j 0.00637773+0.00580497j 0.0162332+0.0163599j 0.0129034-0.0152964j -0.00267786-0.0119795j -0.000299663-0.0160082j 0.00233586+0.0028196j 0.00285429+0.00395319j -0.011462+0.0022116j 0.00808911-0.00736926j 0.00686354+0.00137979j -0.0113263-0.0141565j 0.0111282+0.00323183j -0.00914498+0.0185028j 0.0164653+0.00795838j 0.00350346+0.00504856j -0.00132886+0.00215927j -0.00439897-0.009369j 0.00939113+0.00631455j -0.00514731+0.0112373j -0.0125159-0.00543961j 
0.00780672-0.00401272j -0.00386657-0.00656266j 0.00673126+0.00142335j -0.00828615-0.00400693j -0.000772073-0.0124886j -0.000894978-0.0199302j 0.0129274-0.00290618j -0.00648143-0.00228494j -0.00878266+0.00694605j -0.000410257+0.00233183j 0.0114521+0.000439563j -0.00470694-0.00593436j -0.000721733+0.00171828j 0.00722614+0.00426127j -0.00445644+0.00329387j 0.00353122-0.00665774j 0.0107471+8.31384e-05j 0.00342755-0.00965401j 0.0165748-0.00210898j -0.00439328+0.00304132j -0.00310067+0.0148902j 0.00381593+0.00768802j -0.00576237+0.00523483j 0.00100705+0.00180535j 0.00205761-0.0122869j 0.0124955+0.00361475j 
-0.00071466+0.00605246j 0.000500668+0.000399818j 0.00931995+0.0164434j -0.00530661-0.00801228j -0.00206754+0.00879281j 0.000577982-0.00662394j 0.00393348-0.0135706j 0.00661996+0.00353926j 0.00591325+0.000338538j 0.00740522+0.00843734j 0.00500367-0.000617773j 0.000172826+0.0111504j 0.00176452+0.00129514j 0.00154428+0.0127264j 0.000601084+0.00548363j 0.00359683-0.000265173j -0.000911767+0.00246001j -0.000678607+0.0028964j 0.00749832-0.00231604j 0.00136539+0.00223502j -0.000762542+0.000728168j -0.00199631-0.00161954j -0.000698711+0.00203741j -0.00605644+0.00366881j -0.000938535+0.000667279j -0.000351264+0.00202324j 
-0.0253038+0.00777712j 0.00790326+0.0275394j 0.0220389-0.0142007j -0.0137149+0.00383051j -0.00573173+0.0101634j 0.00455745-0.0144711j 7.02116e-06+0.00140324j 0.00547346+0.00536905j 0.00276101+0.0130854j 0.000851479-0.00739659j 0.0114342-0.00435325j -0.00304637-0.00921881j 0.00236692-0.0107513j -0.00287656+0.0143327j 0.00383266-0.0107572j 0.0146523+0.00898812j 0.0053521+0.014313j -0.0109581+0.0148249j -0.0151634-0.013491j -0.00502503-0.00110114j 0.00105676-0.0113474j -0.00324571+0.00776043j -0.00271782-0.0170883j 0.0155758-0.0119746j -0.00361675+0.0150636j -0.0139922-0.000282682j 
-0.00259017+0.00933706j 0.00439975-0.000176208j 0.024895+0.0166336j -0.00020279+0.00315433j -0.00219372+0.0159886j -0.00817845-0.0102916j -0.00654246-0.0127968j 0.00425137-0.00239086j 0.00773598-0.000254187j 0.000642144+0.00926239j -0.00190953-0.0029403j -0.00722199+0.0167974j 0.00233977-0.0137419j -0.00919318+0.0126153j 0.0091013-0.00178737j 0.00737415+0.00838024j 0.0076998+0.0100992j 0.00177851+0.00994051j 0.00743021+0.00201187j -4.90407e-05+0.00839824j -0.00456665+0.0105495j -0.00461608+0.00978118j -0.011138-0.00547891j 0.0125356-0.00947669j -0.0102877+0.0123434j -0.0144777-0.00658958j 
-0.0281921+0.010542j 0.0101731+0.0292669j -0.0153357-0.0043798j -0.0103711-0.00818857j 0.00461683+0.0106227j 0.0109657+0.000688114j -0.00221172+0.00328952j 0.00652535-0.000593154j 0.00325948+0.00414801j 0.00611179-0.00696263j 0.00195384-0.00237784j 0.00293343-0.0107713j 0.00261631+0.00364385j 0.0033889-0.00230872j -0.0038378-0.00118509j 0.00691477+0.00261065j 0.00171518+0.00235269j -0.00930426+0.00425681j -0.0114504-0.00471117j 6.65017e-05-0.00327942j -0.00452533-0.011243j 0.000234596-0.00340775j 0.00294101-0.0113057j -0.0010039-0.00255731j -0.00164862+0.014383j -0.0123125-0.00169379j 
