-0.0885231-0.188829j -0.0898913-0.102072j 0.0232249-0.134241j -0.0161969-0.0356167j -0.0564015-0.0669868j -0.0295353+0.00580072j -0.000170694-0.105185j 0.00692382-0.00634351j -0.055716+0.0601775j -0.0071024+0.0156195j 0.00586188-0.0277799j 0.0139521+0.033093j 0.0238954-0.0302252j 0.000358828-0.0334677j -0.0500442-0.0178478j -0.00778247+0.0145505j -0.000784562-0.00063059j -0.0040302-0.0621655j -0.0249096-0.00752618j 0.0138219+0.0263932j -0.0343034+0.0147651j 0.0280858-0.0534887j 0.0290805-0.0132682j -0.0436793-2.55046e-05j 
-0.0780424+0.40672j 0.195952-0.0355417j -0.187899-0.0676026j -0.0199718-0.0372638j 0.0835962-0.0504964j -0.000261572+0.00332637j -0.0168005+0.0280575j -0.00629796+0.067072j 0.0636348+0.0636949j 0.0241586+0.0214236j -0.00770412-0.0204111j 0.0109103+0.0036975j 0.0058743-0.00614305j 0.0184109-0.0293338j 0.0243266-0.0252884j 0.00497593+0.00152964j -0.00630768-0.0316942j -0.0107234+0.0109911j -0.00414141-0.012185j -0.0327077-0.00128493j -0.0240077-0.00317924j -0.0107623-0.0250857j -0.0287285+0.0300472j 0.0357592+0.023063j 
-0.146107-0.227821j 0.0731531-0.0192111j -0.072973-0.0199385j 0.121629-0.117003j -0.0104867+0.00355458j -0.0146672-0.073125j 0.0222185+0.0413521j -0.0821283-0.0970139j 0.0722379+0.0552519j -0.0489592+0.0293608j 0.0267253-0.0503978j -0.0146922+0.0737269j 0.0161688-0.00352917j -0.000664507+0.0267521j -0.0337111-0.018422j -0.0169623-0.00125099j 0.091146+0.00816119j 0.0118313+0.00868209j 0.0491452+0.00590147j -0.0185119+0.0293598j 0.0023411+0.0025806j -0.0157877+0.0596434j -0.0214417-0.0417173j 0.0499608+0.0547679j 
0.212778+0.119101j 0.0764136+0.125738j -0.00330354-0.147521j 0.0939732+0.101962j -0.0077151-0.0703205j 0.0681119-0.0193757j -0.02565+0.042046j 0.11756-0.0625598j 0.00913392+0.0562517j -0.0429626+0.0394917j 0.0377743-0.00665541j -0.000642864+0.0104137j -0.0160275+0.0101666j 0.00825738+0.00596118j -0.049454-0.00926126j 0.00236439+0.00371893j 0.0514045+0.034915j 0.0151501+0.00362728j -0.00833551-0.00704438j -0.0136791+0.0189766j 0.0218523+0.01498j -0.00718247+0.0623687j 0.00557206-0.0436218j 0.0176202+0.0198284j 
0.0822805+0.125262j 0.103088-0.0611857j -0.120352+0.00143139j 0.0730834-0.0053427j -0.0457045+0.0629426j 0.00131465-0.0256676j 0.00574799-0.0110008j -0.0340202-0.085739j -0.0482393-0.000928672j -0.047191-0.0484503j -0.0223956+0.0682394j 0.0320587-0.0142772j -0.0247379-0.0292673j 0.0083385+0.0297659j 0.00786994-0.0215505j -0.00476786+0.0164361j -0.0652806+0.0308353j -0.00108132+0.00108594j 0.0058318-0.0428864j 0.0192683-0.0299548j -0.00601531+0.0242533j -0.0334937-0.00956671j 0.0536984+0.00855474j -0.0412527-0.0280625j 
0.141559-0.107553j -0.0125568+0.112482j 0.0670099-0.0914836j -0.00959366+0.00712365j -0.0229137+0.052908j -0.0101035+0.00881937j 0.00295551-0.0273185j -0.0239294-0.0115394j -0.0517952-0.027802j 0.0574564+0.0858775j 0.0312057-0.00763251j 0.0152321-0.0730319j -0.025143+0.0255153j 0.0496747-0.09694j 0.0189002-0.0331561j 0.0394471+0.00197216j -0.0224094-0.0172694j -0.0164275+0.0158699j -0.0924308-0.0192925j -0.0763944-0.0085002j -0.0129621-0.000234836j -0.00221653-0.0317164j -0.0417012+0.0342538j 0.0363359+0.0299407j 
-0.0799775-0.0236297j 0.0347759+0.0399925j -0.0101737-0.0522936j -0.0319489+0.00517746j -0.0960751-0.0550113j -0.0108688-0.00757763j 0.0474434+0.00321296j 0.044423-0.0272262j 0.0482631-0.103901j 0.0293817-0.000825736j -0.0115158-0.0255373j -0.00921566+0.0163425j 0.0302385-0.00893692j 0.0290807-0.0131169j 0.0882267-0.00748567j -0.00209265-0.00142654j -0.010932-0.0490502j -0.033612+0.00314786j 0.0240562+0.0019609j -0.0281786-0.0438387j -0.0418052-0.0356993j 0.000366364-0.0828861j -0.0540527+0.033834j -0.000624744+0.055343j 
0.259139-0.00406468j 0.169881-0.0474472j -0.171482-0.0437686j 0.00903279-0.0224173j -0.0281955+0.0258155j -0.0132236-0.00908852j 0.0136858-0.00904357j -0.0280805-0.0257526j -0.00854183-0.0224276j 0.0720601-0.0191548j 0.0195375-0.0171606j -0.070462-0.042005j 0.0289164+0.0499178j -0.0389129-0.00901755j 0.0273477+0.0881052j 0.0079962-0.028355j 0.00980967-0.00144164j -0.00866505-0.0286999j -0.0242739+0.0883645j 0.0393343-0.0113092j 0.0274329-0.0500119j 0.0716407-0.0438457j -0.0186756-0.016586j -0.0709904-0.0187583j 
0.0777995-0.026603j -0.00970019+0.053071j 0.0350086-0.041414j 0.0492772+0.103589j -0.0442586-0.0262227j 0.0471685-0.00210125j -0.0113753+0.00828766j 0.0957266-0.0561397j -0.0329296-0.00454098j -0.00103726-0.0564657j -0.0550446-0.0348485j 0.000693478+0.0819501j 0.0416846-0.0358314j -0.0279704+0.0442924j 0.0235745-0.00527904j -0.0325933-0.00307671j 0.00939544-0.0482319j -0.00120913+0.00244629j 0.0893347+0.00664818j 0.0259208+0.014058j -0.0295016-0.00798158j -0.011034-0.0158759j -0.0107397+0.0259834j 0.0299966+0.000369186j 
-0.147262-0.101418j 0.068408+0.0898149j -0.0143692-0.112201j -0.0518165+0.0277253j 0.0229607-0.0115719j 0.00193506+0.0272476j -0.0102142-0.00929153j 0.0232284+0.0527031j -0.00937593-0.00729594j 0.0366169-0.0303222j -0.0405062-0.0349519j -0.00372244+0.0312849j 0.0126997+0.000570377j -0.0799177+0.00985279j -0.0904247+0.0190118j -0.0152409-0.0160691j 0.0231998-0.015939j 0.0408764-0.00125753j 0.020662+0.0366604j 0.0489003+0.0955735j 0.0253646+0.0256902j 0.0145781+0.0738303j 0.0316842+0.00909692j 0.0568345-0.0850235j 
-0.0790024+0.128708j -0.120039+0.00238904j 0.105737+0.0578879j -0.0482499+0.001113j 0.0316011-0.0866366j 0.00480872+0.0106776j 0.00102618+0.026312j 0.0469035+0.061671j 0.0742108+0.00323902j -0.0408571+0.0276375j 0.0537136-0.00883357j -0.0336956+0.00925045j 0.005854+0.0247748j 0.0187777+0.0310422j 0.00696691+0.0418782j -0.001354-0.00177554j 0.0647383+0.0303867j -0.00532583-0.0170988j 0.00857606+0.02159j 0.00737868-0.0313134j 0.0248061-0.0289311j 0.0324353+0.0135585j -0.0217793-0.0677828j -0.0474607+0.0481194j 
-0.209453+0.12662j 0.0015108+0.146538j 0.0718144-0.128237j 0.00960744-0.055507j -0.119394-0.0595481j -0.0252959-0.0412834j 0.0693255+0.0195959j 0.00638317-0.0716847j 0.0908647-0.103846j 0.0179723-0.0183813j 0.00576301+0.0440313j -0.00625009-0.061725j -0.0216847+0.0146008j -0.0132253-0.0194433j -0.00822694+0.00884802j 0.0153253-0.00346893j -0.0504375+0.0340267j 0.00215477-0.00421869j -0.0496782+0.00929321j 0.0103356-0.00628796j 0.015637+0.0099194j 0.000231714-0.00987202j 0.0379601+0.00644597j -0.0419626-0.0396814j 
-0.135635+0.235206j 0.0705764-0.0214491j -0.0719051-0.0165267j -0.0715918+0.0548846j -0.0800642+0.0996052j -0.0215871+0.0411998j 0.0147103-0.0741061j -0.0121157-0.00340246j -0.123704-0.114367j -0.0501293+0.054088j 0.0207349-0.0431826j 0.0148799+0.0609309j 0.00249004-0.00250602j 0.0163578+0.0304998j -0.0488464+0.00458905j -0.0122625+0.00831511j 0.0923686-0.00814906j 0.0170201-0.000943461j 0.0352121-0.0170929j -0.00145094+0.0271123j 0.0161967+0.00325644j 0.0144271+0.0740121j -0.0274448-0.049993j 0.0487945+0.029604j 
-0.0967172-0.402782j 0.186136-0.0744409j -0.199068-0.0279207j -0.0617481+0.0662807j -0.00882596-0.066245j 0.0171172+0.028818j -0.000132458+0.00291467j 0.0857099+0.0475422j 0.0179867-0.0382882j -0.0346862+0.0235224j 0.0293526+0.0296891j 0.0100319-0.0250272j -0.0236365+0.00385869j 0.0325367-0.00278976j 0.00277406-0.0113691j 0.0106461+0.0106766j -0.00518017+0.0317074j -0.00514596+0.000963803j -0.0257934-0.0250046j -0.01784-0.028106j 0.00587811+0.00581337j -0.0103532+0.00389931j 0.0078856-0.0205544j -0.023391+0.0211152j 
-0.346407+0.0243355j -0.0572189-0.205318j -0.052464+0.207063j 0.1014+0.0726781j -0.0334698-0.00189132j 0.0469803-0.0240193j -0.015759+0.0161893j 0.0593005-0.0905875j -0.0340965+0.0330612j 0.0636973-0.00108512j 0.00767283-0.00986305j -0.0321888-0.0429239j 0.00605521+0.0265871j -0.0228058-0.0460493j 0.00780761+0.00931292j 0.0153414-0.0175426j -0.0194082-0.000683143j -0.00398064+0.000980411j -0.0421117+0.0417768j -0.011931+0.0124349j 0.00236663-0.00950673j 0.00987336-0.0268407j -0.00473496+0.022244j -0.00471466-0.0124272j 
