0.0120569-0.00249013j 0.0029254+0.0118329j -0.00164446-0.0116746j 0.00774389-0.00140367j -0.00242211+0.000174124j -0.0047272-0.00252824j -0.00657772+0.00543067j 0.00142028-0.00230801j -0.00195318-0.000594355j 0.0011627-6.24492e-05j -0.00215447+0.00111921j -0.0010323+0.00239958j 0.00164972+0.00253392j -0.00184947-0.00796424j 0.00458661+0.0113521j 0.0071664-0.00568889j -0.00314486+0.00329322j 0.0109914+0.00438333j 0.00570384+0.00724812j -0.00408027+0.00249396j -0.00448772+0.00419265j -0.00841814+0.00317322j 0.00137426+0.000814857j 0.000889213-0.000488109j 0.00428677+0.00217836j -0.00203838-0.00530441j -0.00584158-0.000715459j 0.00974232+0.00353784j 0.000806784-0.00358255j 0.00136531+0.00630678j 0.00809107+0.00897078j 0.00502814+0.00221958j 0.00547881-0.00400842j 0.000956482-0.00403129j -0.00310052+0.0114792j -0.00428557-0.000700172j 0.00410811-0.0109259j -0.00516882-0.0035103j -0.00594526-0.00267296j -0.00516729+0.00264065j -0.00655698+0.00516829j -0.00103005-0.00726049j -0.00856175+0.000870803j -0.00835074+0.00749061j -0.00166581+0.00830825j -0.00684019-0.00858167j 0.00369113-0.00191952j -0.00475755-0.000971914j -0.0120373+0.00637808j -0.0127344+0.00550613j 0.000811397+0.000742909j 0.00134534-0.00209278j 0.000914708-0.00103046j 0.000934028-0.00751113j 0.0034466+0.0117844j 0.00446731+0.00142681j 0.00273744-0.00416631j 0.00669242+0.00658366j 0.000586476+0.000685625j 0.000829755-0.000737839j 0.00314032-0.00422883j 0.00257724+0.000547453j 0.0012981+0.00577899j 0.00128515-0.000720493j -0.00434043-0.00114606j -0.0124708-0.012343j -0.0113549+0.0100384j -0.0327675+0.00131771j 0.00177105+0.0310235j 
-0.00471868+0.00319147j -0.0022753-0.00380431j -0.0012542+0.00232621j 0.00514739+0.000513287j 0.00190269+0.000314216j 0.00988056-0.00258713j 0.00415775-0.000476634j -0.00132403-0.00304986j 0.00455489-0.0125612j -0.0112148-0.00895339j 0.00199994+0.00256009j -0.00254913-0.00417433j 0.00884658-0.0164893j 0.00141826-0.00413575j 0.0040695-0.00311485j -0.0128805-0.00844547j 0.0058585+0.00174034j 0.012615-0.0013476j -0.00918762+0.000132156j -0.00922294+0.00653337j -0.00146821-8.59458e-05j 0.0155667+0.00302711j -0.00581521+0.00482236j 0.00685467-0.00704363j -0.00971015+0.00014858j -0.00248606+0.00240801j -0.00398026+0.00803721j 0.00299189+0.00243576j -0.000461921-0.00209731j 0.00250499-0.00112634j 0.0035455-0.00467093j 0.00365638-0.000651042j -0.00522683-0.00582769j 0.00546534+0.00417114j 0.00686148+0.00549606j -0.00773094-0.0022802j -0.00136573-0.00447919j 0.000348778+0.00142556j -0.00327809+0.00178542j 0.00256136-0.0101425j -0.00532821-0.00422897j -0.00309025-0.00369185j 0.00191971+0.00182082j 0.00520484+0.00302828j 0.00105268+0.00561248j 0.0048431+0.00295129j -0.00255202-0.0071636j 0.00305774+0.00293022j 0.00754606-0.0013013j -0.0105646+0.00480123j -0.00174429-4.9925e-05j 0.0107729-0.00299205j -0.00373419-0.000409416j 0.00731678+0.000284185j 0.00898195+0.0082654j -0.011465-0.00519323j -0.010004-0.00191773j -0.0064491+0.000261081j 0.00256439-0.0033724j -0.000224938-0.00206547j 0.00109572+0.00311217j -0.00110489+0.0010824j -0.00528694-0.00273848j 0.00261737+0.00633192j 1.87695e-05+0.00178507j 0.00807425-0.00142737j 0.00299638-1.33093e-05j 0.00321288+0.00314267j 0.00399638+0.000506326j 
0.00322286+0.000558362j -0.000367627+0.0001325j 0.00205446-0.00258972j 0.00380229-0.0012545j 0.00699617-0.00104876j 0.00691753-0.00100836j 0.00199224-0.00559806j 0.00606628+0.00190159j -0.00425269-0.00192679j -0.00244039-0.00175317j 0.00330965+0.00225057j 0.0094719+0.00923302j 0.0085608+0.0132757j -0.0150507-0.00265782j -0.000393249-0.00239375j 0.00424148+0.00286533j -0.0055839-0.00208368j 0.0016724-0.00663836j -0.0091103+5.51769e-05j -0.00217126-0.000349833j -0.0043477+0.00348227j 0.00855896+0.000596895j 0.000431533+6.82056e-05j 0.013821+0.0074705j -0.00499513-0.00151034j 0.00303738+0.00467837j -0.00197211+0.000521519j 0.00292853-0.00108839j 0.000244027+0.000422611j -0.00299243+0.00348586j 0.00319411+0.00318531j 0.0037675-0.00215345j 0.0132934+0.00124145j -0.00984075+0.00477585j 0.000185791+0.0014713j -0.00730666-0.00820978j -0.00397126+0.00125317j 0.00688038+0.000986196j 0.0109519-0.00390023j -0.00399695+0.00399324j 0.00681768+0.000187859j -0.00412467+0.00351448j -0.00578396+0.00471491j -0.00171583-0.00100759j -0.00133341-0.00107083j 7.42671e-05-0.00381086j 0.0137624-0.00115066j -0.00567267-0.00169306j 0.00486782+0.00175232j 0.000667613-0.000845376j -6.88643e-05-5.39512e-05j 0.000724153+0.000291665j -0.000801493-0.000851899j -0.00376659-0.00093887j -0.00332183-0.00062297j 0.00867512-0.000287684j 0.0031627+0.00126907j -0.00532126-0.0032482j 0.000356801+0.00460559j 0.00363162+0.00189359j -0.00488531+0.000965146j 0.00114385+5.86911e-05j 0.00492329+0.000752291j 0.00396425-0.00323286j -0.00493223-0.00657658j 0.00560095-0.00657023j 0.0013446-0.000214949j 0.00246323-0.0019881j 0.00317549+0.00453328j 
-0.00044392+0.00090183j -0.000584816-6.54612e-05j -0.00579838+0.000322802j -0.00517375+0.00101905j -0.00223897+0.00133642j -0.0071178+0.00358546j 0.00200323+0.00488951j 0.00116788+0.0047298j 4.09027e-05+0.00249299j 0.0147192+0.000808493j 0.0131485-0.00941766j 0.000816333+3.01611e-05j 0.00141568-0.000933935j 0.0021754-0.00575479j 0.00360366+0.00560179j 0.0187402-0.00367028j -0.00448083-0.00261556j -0.00751142-0.0163374j 0.00531791-0.00696428j -0.0044522+0.00621606j 0.00992643+0.00159633j -0.000335178-0.00218756j 0.000736181+0.00121272j -0.00344802+0.00540793j -0.00486639+0.00191851j 0.00283735-0.00084727j -0.00471956-0.000948693j 0.000869583-0.00913943j 0.000867396+0.00379441j 0.0129853+0.000809114j -0.00237707+0.000417636j -0.00479209+0.00600729j 0.00131586-0.00669257j -0.000148502-0.00312581j 0.010444+0.00315156j 0.00376966+0.00143856j -0.00456836+0.00646571j -0.00673107-0.00465164j 0.00045514+0.0131228j -0.000956262+0.000190562j -7.68337e-05+0.00310164j 0.00670185+0.00141752j -0.00342889-0.00592226j -0.00432857+0.00252634j -0.00286474+0.00431472j -0.00205136-0.00560783j -0.00471855+0.000238361j -0.00125552-0.00254973j -0.000721933+0.00394978j -0.010146+0.00558596j 0.00480078+0.00197202j -0.000366025+0.000355889j -0.00131413-0.00572355j -0.00311547-0.00325955j 0.0028088+0.00759537j 0.00340827+0.00192352j 0.000528725+0.000617321j 0.00128828+0.00464014j 0.000355005+0.000293669j 0.000274891-0.00315153j -0.00415486-0.00266577j 0.00124082-0.000307928j 0.000970824+0.00336587j 0.000854634+0.00238602j 0.00469083+0.000961592j 0.00112933-0.00161078j 0.000531028+0.00253405j -0.000126329+0.00365567j -0.00329569-0.000168245j 
-0.00140739+0.00257853j 0.000842696-0.000502644j -0.00838521+0.00103778j 0.00176856+0.00199024j -0.00731062-0.00523034j -0.0013788+0.00216818j 0.00891864-0.00366251j -0.00162909+0.000314377j 0.00571752+0.00544777j -0.0131852-0.000629924j 0.00649957+0.0080912j -0.00463249-0.00205846j -0.0106168+0.00135226j -0.00437514+0.00950573j -0.000381666+0.00240638j -0.0110836-0.00572278j -0.0107676-0.00812664j -0.000984097+0.00169852j -0.00784895+0.00585517j 0.0163551+0.000270414j 0.00358313+0.00276277j -0.00692177-0.000364977j 0.00360247-0.000299571j 0.00819754-0.00525988j -0.00319366+0.00217797j -0.00603615+0.0031411j 0.000926909-0.0013342j -0.0014649-0.000940281j -0.000320771+0.00196212j -0.00652134+0.00185919j -0.00572375+0.00313354j 0.00668741-0.000987488j 0.00535701+0.000484279j -0.0196464-0.00231872j -0.00384061-0.00275442j 0.00394272+0.00570146j 0.00413627-0.00162294j 0.00175344-0.00027493j 0.0132361-0.00143138j -0.00371809-0.0026911j 0.0054824-0.000216866j -0.00848493-0.00404548j 0.00344374-0.00286335j -0.00440045-0.00130999j -0.000602445+0.00194636j 0.00186351-0.00516928j -0.00383908+0.00545945j 0.00499303-0.00567836j -0.00452314+0.00147431j -0.00496438+0.000773057j 0.0013298-0.00177222j -0.00411521+0.00223415j 0.00141339+0.0012977j -0.00220754+0.00120122j 0.00349819+0.00477142j 0.000211558+0.00873815j 0.00322444+0.00127056j 0.00503587+0.00308335j -0.00505722+0.00242103j -0.0107415+0.00445009j -0.00877795-0.000272039j -0.0132797+1.21369e-05j 0.0125864-0.00341561j 0.00200923+0.00060171j 0.00282029+0.0047478j 0.00507598-0.00142605j 0.00746326+0.00285206j 0.00385352-0.000711552j -0.0077416-0.00387278j 
0.0054809-0.00271498j 0.00301097-0.000998897j 0.00632589-0.0013113j 0.00316564-0.00480395j 0.0055886-0.00248452j 0.00770717+0.00537468j 0.00194828+0.00509426j -0.00190012+0.00967422j -0.00488326+0.0014335j 0.00287087+0.000887347j -0.0111424-0.00408307j -0.0106394-0.00157617j -0.00891448-0.00659534j -0.0147909-0.00774932j 0.0168279+0.00747552j 0.00231015-0.000699024j -0.00153216-0.00407536j -0.00954358-0.00266789j -0.00342648+8.66031e-05j 0.00645493+0.00559404j -0.00591043+0.00670187j 0.00218296+0.00145697j -0.00478504+0.00142153j 0.00408398+0.0120839j -0.00265335-0.00702122j -0.00127131-0.0015779j -0.00558144+0.00514675j 0.0026383+0.000829409j -0.00557296+0.00430898j -0.00327422+0.00389076j -0.000640346+0.00159826j 0.000833032+0.00300191j 0.00561347-0.00144363j -0.000901136-0.000189919j -0.0139797+0.0056971j 0.00746951+0.00144557j 0.00216854+0.00901903j 0.00289078-0.00337949j 0.0026327-0.00201176j 0.00447045+0.00383521j -0.00197363-0.00301131j 0.00266578+0.00550214j -0.00831074+0.000141667j -0.00377878-0.00591223j 0.0019472+0.000391344j -0.00122123+0.00294327j -0.0016552-0.00631275j -0.00460436+0.00235481j -0.00308058-0.00205128j 0.00396124-0.00163681j 0.00212434-0.00178162j 0.00251727-0.000440806j 0.00141503+1.33312e-05j 0.0028489+0.0058166j -0.00112366+0.00295221j 0.00130906-0.00322468j -0.00118505+0.00244707j -0.00383401-0.00730254j -0.00110187-0.00377216j -0.000975401+0.00093305j 0.00656847+0.00355319j -0.0095451-0.00210878j 0.00132446+0.00142606j -0.00170994-0.00109066j -0.00726607-3.10458e-05j 0.000165129+0.00180548j -0.00325483-0.000438433j -0.00138267-0.00336817j 0.00546858+0.00197712j 
0.00811926-0.000878341j 0.00189539-0.00291053j -0.00273855-0.00177005j -0.00366098+0.00338667j -0.0080656-0.00273834j 0.00302642-0.00425539j 0.00808001+0.0010922j 0.0115526-0.00953167j 1.99292e-05+0.00648831j 0.0134451-0.00571376j 2.72603e-05+0.00565299j -0.00443675+0.0127603j -0.00809923+0.00164351j 0.00557508+0.00674467j -0.002771-0.00407515j -0.00372378-0.00230476j -0.00433656-0.0041745j 0.00102711+0.0196034j 0.00991524-0.001457j -0.00700104-0.00324122j 0.00590382-0.00459537j -0.00196881+0.00208086j 0.00428768+0.00518145j -0.00725067+0.00460949j -0.000511319+0.00353717j -0.00058633+0.00280237j -0.00276396+0.000920593j 0.00169255+0.00728465j 0.00314881-0.00602507j 0.00420502-0.00466548j -0.000901462+0.00672j -0.00115689-0.00191757j -0.00646503-0.00388126j 0.000695875-0.00185558j 0.00242841-0.00241119j 0.0067589+0.00168709j -0.000120562-0.00367255j -7.98203e-05+0.000486814j 0.003771+0.0017153j -0.00387013-0.00219038j -0.00194178-0.00105822j 0.0067504+0.00316424j -0.00381402+0.00469521j -0.00482475-0.00661081j 0.00554247-0.00190628j -0.000625473+0.00253439j 0.00370408+0.00139132j -0.0109052-0.00168837j 0.00728618+0.0030257j -0.00172158-0.0107211j 0.00118947-0.00278075j 0.00425457+0.00278258j -0.000224589-0.000777621j 0.003803-0.00179271j -0.00617102-0.00166652j 0.00350923-0.00663894j -0.00757839-0.00351722j -0.000842945-0.000903068j -0.00353985-0.00141558j 0.013282-0.0027797j -0.00722952-0.00356578j 0.0266372+0.000869301j 0.000731617+0.00475418j 0.00209745-1.75577e-05j 0.00467782-0.00310888j 0.000700282-0.00217476j -5.8266e-05-0.00126448j 0.000357485-0.00351359j 0.0102254+0.00280551j 
0.00264212+0.00125813j 1.1551e-05-0.00139348j 0.000130706-0.00204066j -0.00284995+0.000308159j -0.00116254-0.004977j -0.00634173+0.00165336j 0.000447571+0.0066757j 0.00334795-0.0139158j -0.008359+0.00932746j 0.00721869+0.00318014j -0.0146951+0.0106284j 0.0210544-0.000158016j 0.00894545-0.00642738j -0.00291689+0.0150434j 0.00178852+0.00344263j 0.00794003+0.00477614j 0.00854752+0.00229814j -0.0125768+0.0182952j 0.000962833+0.00270109j -0.00443948-0.000298965j -0.00362291+0.00761012j -0.0048088-0.000103663j 0.00226585-0.00221929j 0.00856618-0.00370367j 0.0019618+0.00545277j -0.00330796-0.00122786j 0.00224943-0.00783j 0.00307567+0.00287637j -0.00281409+0.0116956j 0.00149181+0.00451212j 0.00690118+0.0029729j -0.000442151-0.00302909j 0.000760646-0.000135342j 0.00409342+0.00178032j 0.00411401-0.00496224j -0.00515802-0.00212742j -0.0024066-0.00112248j -0.0036497+9.01284e-05j -0.0123427-0.00331984j 0.00970575+0.00301837j -0.000560413-0.00157378j 0.00436471+0.00389586j -0.00363806-0.00614311j 0.00223143-0.00352869j -0.00421056+0.000495027j -0.000100099+0.00030917j -0.00328142-0.00514799j -0.00762358+0.00137638j 0.000291917-0.00025403j -0.000987636-0.00286514j 0.000658577-0.000884292j 0.00209724+0.000201293j 0.00120335-0.00201305j -0.00512595+0.000957312j -0.0016977+0.00688141j -0.00531924+0.00480981j 0.00923215-0.0030814j -0.00202667-7.53947e-05j -0.00152198-0.0020569j -0.00397887-0.00364113j 0.00551029+0.000715945j -0.011695-0.0010494j -0.00251412+0.000331671j -0.00668745+0.00589198j 0.000995398+0.00202197j -0.00391637-0.00598633j -0.000309824+0.000954043j -0.000888891-0.00233496j 0.00507965-0.000178846j 
-0.00169179-0.000299025j 0.00278059+0.000342275j 0.00139183+0.00308524j -0.00328638+0.000905801j 0.00331485-0.00423341j 0.00350761+0.00104791j -0.0084037-0.00462248j -0.00354067-0.00292557j -0.00130379-0.00483121j 0.00615261-0.00878809j -0.00417032-0.0123505j 0.00662787-0.00522519j 0.0229241-4.45401e-05j -0.00909229-0.00882361j -0.00801911+0.000922791j 0.00437663-0.0152429j 0.00322343+5.88032e-05j 0.00288297-0.00271845j 0.00220215-0.00815454j -0.00159018+0.00124176j -0.00264014-0.00410147j -0.00218622+0.00423007j 0.000815988+0.00758178j 0.00177267+0.000464691j 0.00587258+0.00297961j 0.00170713-1.09935e-05j -0.00240438-0.000422976j 0.00258209+0.002344j 0.000590074+0.00245938j -0.00304984-0.00315854j 0.000969384+0.00208506j -0.00476618-0.00110277j -0.000588056+0.00118311j 0.00438777-0.00702566j -0.0150029-0.00467627j -0.0043307+0.00244641j -0.00396436-0.00136015j 0.00379251+0.00314379j 0.00151945-0.00143101j -0.00151394+0.000638847j 0.0027031-0.00160759j 0.00571301-0.00755029j 0.00167706-0.00101487j 0.00482131+0.00151563j 0.00103365+0.000196238j -0.00803903+0.00222238j 0.00913935-0.00259707j 0.000242329+0.00260758j -0.00227075-0.0004121j -0.00842679-0.00465572j 0.00337417-0.000718536j 0.000604157+0.00188567j 0.00470369-0.000457602j -0.00119955-0.002015j -0.00191572-0.00354624j 0.00016183-0.0106513j -0.0183199-0.00967539j 0.00356619+0.00178969j 0.00855205-0.000202512j -0.000396945-0.00371142j 0.00128596-0.00496349j -0.00624268-0.0021395j -0.00732431+0.00427837j 0.00647897-0.00382634j -0.00186733+0.00036812j -0.00538313+0.00485318j 0.000570365-0.000890373j -0.00241484+0.000117142j -0.00314929-0.000734878j 
-0.000249409+2.72001e-05j -5.91755e-05-0.000425715j 0.000599059-0.000612338j 0.000598105+0.000417326j -0.000177495+0.000724911j 0.0008687+0.000250578j 0.00160289-0.0016517j -0.00221584-0.00138918j 0.000510186-0.00299164j -0.00382576+0.00176868j 0.00508279-0.0012155j -0.00241052-0.00400574j -0.000711397-0.000573743j 0.0060003-0.00262854j -0.00419636+0.000868465j -0.0025884-0.00275742j 8.64179e-05+0.00194129j 0.00436346+0.00261592j -0.00370703-0.000310016j -0.002636-4.79145e-05j 0.00115354+0.00284439j 0.00534891+0.00352013j -8.35602e-05-0.003722j -0.00220552-0.00434271j -2.90883e-05+0.00618069j 0.00188783-0.00127063j 0.000521632+0.00273949j -0.00248089-0.0100673j 6.58274e-05+0.0377107j 0.00343458+0.00568946j -0.00255837+0.00491057j 0.00189492-0.00658909j 0.00274205+0.0135284j 0.000817941-0.0047274j 0.000985535+0.00590002j 0.00229471-0.00444111j -0.00144411-0.00315296j -0.00307797+0.00623872j 0.00376447-0.00512682j -0.00261154+0.00313102j -0.000394672-0.00245983j -0.00027445+0.000301126j 0.00207391-0.00096633j 0.000669877+0.00101159j -0.000376549-0.000315072j 0.000777923+0.00270482j 0.00177511-0.0047908j -0.000111415+0.00203446j 0.00220467-0.000927701j -0.000167672+0.0010572j 3.06266e-05-0.00144683j 0.0017811+0.00123935j -0.00302431+0.00291743j -0.000597025-0.000140102j -0.00216394-0.00196643j 0.00178438-0.000438779j -0.00239059-0.00221807j -0.00290515-0.000894142j 0.00301478+0.000499645j 0.00937934-0.000805601j -0.00797382+0.000541064j 0.0277622-0.00117974j 0.00106316-0.000707268j -5.87939e-05-0.00104435j -0.000477608-0.000745612j -0.000341651+0.000459115j -0.00133038-4.77375e-05j -3.51036e-05+0.000615646j 0.00106775+0.000823991j 
0.00240065-0.00136921j -0.00305226-0.000644212j 0.00123104-2.04346e-05j 0.00334601+0.000997794j 0.00160277+0.00379122j -0.000540658+9.96832e-05j 0.000169936-0.00258083j -0.000682325-0.00264106j 0.00126954-0.00187584j 0.00428791-0.00236279j 0.0111157-0.00253569j -0.00343231+0.00629718j -0.0013817+0.00244814j 0.00885591+0.00174566j -0.00431823+0.000198917j 0.00351616-0.00445259j -0.00075563-0.00163003j 0.00543133+0.00729594j 0.000792951-0.0041523j -0.000701925-0.00310934j 0.000213371+0.000882569j -0.000993946+0.00621744j 0.000626909-0.00285867j 0.00111685-0.00384512j 0.000749821+0.00444048j -0.0114908+0.00395786j -7.77232e-05-0.00313552j 0.0048801-0.00575262j -0.00478113-0.000323618j 0.00167372+4.48287e-06j -0.000753787+0.00473285j 0.0015021-0.000792622j -0.00212384-0.000499933j 0.00423423+0.000488134j 0.0054556-0.0019935j -0.00245226-0.00440944j -0.000874701-0.00162836j -0.00670844+0.00319163j 0.00159427+0.000238558j -0.0098403+0.00812933j 0.00120502+0.000581488j -0.00595348+0.00403961j 0.0100735-0.00293381j 0.00164128-0.000432816j -0.000112867-0.00046185j 0.00130296+0.00294666j 0.00749172-0.00716495j -0.0078165+0.00292817j 0.00751599-0.000840417j 0.00385047-0.000178182j -0.0010617-0.00234453j 0.000130591+0.00116415j 0.00692324+0.00103512j 0.00286399-0.000868185j -0.00682509-0.000388342j 0.00335464-0.00593679j 0.000643853-0.00242139j 0.00468445-0.00532807j -0.00790049-0.000256958j -0.0115925-0.00153375j 0.0189996+0.00119602j -0.0555417-0.00213134j -0.0055765+0.00113846j 0.000837699-0.00232355j -0.00275715-0.00273741j 0.00686851-0.000144745j -0.00130611-0.000380982j -9.96019e-05+0.00120829j 0.00573343+0.00287236j 
0.00295844-0.00363171j -0.00294209+0.00088615j -0.000847647+0.0041554j 0.00215445+0.00537311j -0.00218622+0.0133665j 0.00118403-0.00453752j -0.00595499-0.000887826j 0.000553148+0.000981693j -0.000556444+0.0012152j -0.00544444-0.00181813j -0.0116219+0.00762689j 0.0073663-0.00166449j -0.00204937+0.00318889j -0.00314283-0.0071047j -0.00468+0.00940969j 0.0105258+0.00725633j 0.00251789-0.00470454j -0.00969894-0.00881567j -0.00353652-0.0100449j -0.00969519+0.00437471j -0.000699236-0.00491087j -0.00570887+0.00546288j 0.000535102-0.00479206j -0.00968718+0.00132832j 0.00643061+0.0028808j 0.000470349+0.00564258j -0.00378569-0.000431892j -0.00291283-0.00508156j 0.000317539-0.00582065j -0.00691432-0.000858913j -0.00325011+0.00121831j -0.0058239-0.00081282j -0.000760483+0.000638757j 0.00147085-0.00489157j -0.00254656+0.000611548j -0.000753307-0.00033879j -0.00652335+0.00622667j 0.0029775+0.00492685j -0.000533428+0.00666171j -0.00533473+0.00165975j -0.00674764+0.00426119j -0.00532116+0.00533042j 0.0040329-0.00884728j -0.00597843+0.00362099j 0.00352177-0.00215983j 0.00265253-0.00447849j -0.000983397-0.00200886j -0.000328321+0.000994022j 0.009583-0.0056839j 0.00370132+0.00607474j -0.00153177-0.00315689j 0.00296462-0.00428986j -0.00173282-0.00346121j -0.00674606+0.00723921j 0.00412453+0.00204673j 0.000459868-0.00014098j 0.000986807+0.016764j -0.012322-0.00430008j -0.00253611-0.00261038j 0.00790643+0.00494841j -0.00860184+0.00642926j 0.00874045+0.000571358j 0.00445949-0.000543463j 0.00348925-0.00191387j 0.000406987+0.00111768j 0.00368578+0.000225781j 0.0062022-0.000274548j 0.00327393+8.17145e-05j -0.00146518-0.00247726j 
0.00291823-0.00352386j 0.00374045+0.000955989j -0.00510656+0.000668119j 0.00421152-0.00073688j -0.00440028-0.00173041j -0.00668047+0.00652689j 0.00967279-0.00566995j -0.0130354-0.00115813j 0.0116695-0.000864998j 0.000252047-0.00351808j 0.00387475-0.0110999j 0.00506695-0.00120151j 0.00175635+0.00338617j 0.00342607+0.00888407j -0.00550654+0.00641733j 0.00618533-0.0105831j 0.00236321+0.000521016j -0.0023816+0.00836629j -0.0151688+0.00341725j 0.0026617-0.00350135j 0.0049707+0.00167488j -0.00286258+0.00626505j -0.00239594-0.00698861j 0.00513386+0.00337827j 0.00173288-0.00256097j 0.000845381-0.000645157j -0.00799933+0.00201038j -0.0036892+0.00295365j -0.00242854-0.00473054j -0.000853528-0.00257905j 0.000547261+0.00380522j 0.00426914-0.00276125j 0.00628723-0.0126159j -0.00346267+0.007125j -0.0130835+0.00177167j -0.000374523-0.0028005j 0.00733036-0.000469731j 0.0014078-0.00764901j -0.000365315-0.00303904j 0.0122284-0.00398624j 0.00315771-0.0011433j 0.00363564+0.00124505j -0.00119641-0.000381587j 0.000984265-0.0005015j -0.00190449-0.00380936j -0.00184133+0.00182433j 0.000853858-0.00183961j -0.00133842+0.000279728j -0.00515752+0.00459802j -0.0047462-0.00402372j 0.000437827-0.00223125j 0.00509122+0.00052279j -0.00243234-0.00170919j -0.00642088+0.0100338j -0.00275465+0.00518401j 0.00120327-0.00050655j -0.00491639-0.00118412j -0.00154323-0.00388647j 0.00902515-0.00167155j 0.0055745+0.000528781j -0.0107683+0.00185807j 0.0205374-0.00026038j 0.00341794-0.00198937j -0.00748039+0.00326811j -6.7222e-05+0.00192353j -0.00141298-1.74091e-05j -0.00209082+0.000837067j -0.00476826+0.00297139j -0.00301409+0.00278091j 
0.00305253-0.0017531j 0.00195557+0.000897074j -0.00331577-0.000430643j -0.00310316+0.00246374j 0.00177333+0.00635884j 0.00567084+0.00638471j 0.00999857+0.00480898j 0.00153353+0.00686227j -0.0060794+0.00455818j -0.00228533-0.00350949j -0.000131443-0.00639188j 0.0197002-0.0047621j -0.00590895-0.0135051j 0.00623045+0.00640745j 0.00187786+0.00827386j 0.00119528-0.0124307j -0.00678075-0.0114212j 0.0117113+0.00237936j 0.0055047-0.00421543j -0.00353001+0.0049016j 0.0153904-0.00212505j 0.00624062-0.00155852j 0.000531792-0.0043916j -0.00904946+0.00337851j 0.00317745+0.00324147j 0.00137836+5.61714e-05j -0.000107077+0.00110391j -0.00449689-0.00396801j -0.00917506+0.000966173j -0.00815808-0.00390437j -0.00291514+0.00172175j -0.00566263+0.00699886j 0.000284343+0.000233174j -0.00448355-0.0057846j -0.00618657+0.00369664j 0.00318134+0.00234618j 0.00371999-0.000524307j 0.00434538+0.00451885j 0.001395+0.000501383j 0.0016093+0.00183336j -0.00286572+0.00165773j 0.00275706-0.00128746j -0.0113178+0.000476816j -0.0072225-0.000173001j 0.00262095+0.00330304j -0.00162545-0.00187688j -0.00377721+0.00517552j 0.0066172+0.00156181j -0.00106911-0.0015017j 0.00461034+0.00690031j 0.00152215+0.000841305j -5.80655e-05+0.00211687j -0.000549508+0.00051967j 0.00210061-0.00127106j 0.00421606-0.0102989j 0.00430726-0.00518478j 0.00139067+0.00168174j 0.00367822+0.00738533j -0.00177884+0.00118072j -0.00376556-0.00301145j -0.000469783-0.0014756j -0.00481707-0.00177892j 0.00539693+0.00217358j 0.00348905-0.00948179j -0.000733364+0.00110902j -0.000803618+0.00277945j 0.00108739+0.00041076j -0.000301328+0.00153558j -0.00137681+0.000606576j 
-0.0029319+0.000869785j -0.00348466+0.000860247j 0.000841201+0.0048768j -0.000722668-0.00137368j 0.00326604+0.00405758j 0.000260955-0.00488493j 0.00356732-0.00271723j 0.00454928+0.0034363j -0.0105514-0.00230441j -0.00141689-0.00161588j -0.00618886-0.0112108j 0.00318244+0.018795j -0.0135148-0.00602387j 0.00238652-0.00334896j 0.0102399-0.00324057j -0.00841715+0.00679416j -0.00320286+0.00279921j 0.00263221-0.0148825j -0.00866622-0.00117539j 0.000878544-0.00661156j -0.000848307+0.00321114j 0.00662674-0.00993067j 0.000669689+0.00593055j -0.00170728-0.000786666j 0.00706287+0.00611431j 0.000246842+0.000755029j 0.00240707+0.00100805j 0.00039273-0.00122119j -0.00655792-0.0026729j -0.00303858-0.00421966j 0.00252318+0.00301701j -0.00179716-0.003122j 0.00464575-0.00635246j 0.00136641+0.00110409j 0.00525607+0.00144379j 0.00199747+0.00226304j -0.00440005+0.00612562j 0.00102917-0.00103819j -0.00723-0.00329013j 3.29276e-06-0.00624433j 0.00705951-0.00474682j 0.00276459-0.00191979j 0.00446565-0.00615866j 0.00291058-0.00303547j 0.00121505-0.000276028j 0.0019672-0.00157646j 0.00946683-0.00468508j -0.000165189+0.00197864j -0.00377961+0.00112279j 0.00191196+0.00684265j 0.00125113+0.00126264j -0.00312012-0.00447386j -0.00148883-0.0014427j -0.00909804-0.00298348j -0.0129917+0.00474437j 0.00365411+0.00193314j -0.0108383-0.00236734j 0.00080577+0.00287244j 0.00803166-0.00266682j 0.00633347-0.00339451j -0.00301549-0.00456746j 0.00239687+0.000522146j -0.000138022+0.00358776j -0.00854772+0.00663328j -0.00161213-0.000748492j -0.00105755-0.000187605j -0.00117966+0.00157745j 0.000249825+0.0007964j -0.00021486-0.00156861j 
