0.0695551+0.0334383j 0.0411232+0.091254j 0.00815287-0.00148182j -0.00706171+0.0997852j -0.0531355+0.0542994j 0.0625705+0.0355482j 0.0309096+0.0985833j 0.00941333-0.0399071j -0.0151434+0.0926207j -0.00343686+0.0400245j -0.0609123+0.0832683j -0.0698397+0.0129144j 0.0200453+0.021657j 0.00497138-0.0426139j 0.0117651-0.0217085j 0.00395576+0.0275444j -0.0365363+0.0175082j 0.00288303-0.0217564j -0.0348237+0.0248358j -0.00674158-0.00662832j 0.0096193+0.0179194j 0.0050833+0.00998586j 0.0116576+0.011791j -0.0178928-0.00221217j 0.0169014-0.00267369j -0.0322386+0.00338885j 0.0118774+0.00158606j 0.00516196-0.0287693j -0.02806+0.0115285j -0.0122259-0.0318969j 0.0384283-0.00365658j 0.00403527-0.0244163j -0.0383+0.00788126j 0.0201829+0.0152159j 
0.12769-0.00976435j -0.0352198+0.0970819j -0.0952984-0.143271j -0.0351978-0.125303j 0.0131656-0.0153012j 0.0462264-0.00190244j 0.0383752+0.0149624j -0.0673672-0.0239236j -0.0452299+0.0343629j -0.00602305-0.0653962j -0.00924677-0.0381565j 0.0158827-0.0496339j -0.0310943-0.0152711j -0.035507+0.0362975j 0.0452052-0.00965069j 0.028907+0.00730883j 0.0338196-0.0093579j -0.00499903+0.0222354j -0.0115987+0.02608j 0.0191861-0.0244035j -0.00366247+0.00691801j 0.0367777+0.0209495j -0.00977786-0.00302186j 0.00279059+0.00378609j 0.0113097+0.0125739j 0.0267341-0.0072428j -0.0358986-0.0336077j 0.000542145+0.00299522j -0.0257582+0.0501769j -0.00649189+0.0215508j 0.0412385-0.0019244j 0.0241606-0.0208632j -0.0216425-0.020879j -0.0100072+0.0392375j 
-0.0633789-0.0194717j -0.0384014+0.0117315j 0.124399+0.0707108j 0.0129392-0.00025853j 0.050178+0.0767522j -0.0450296+0.0201575j 0.0426412-0.0227478j -0.0570572-0.0324067j -0.0105853+0.00219743j 0.019693+0.040689j -0.031847+0.0251022j 0.0316848-0.0563063j -0.02187+0.0262951j -0.0396131+0.0210405j 0.00866568+0.00716591j 0.0399386+0.0227038j 0.105487+0.0201287j 0.0458193+0.00961387j -0.0282074+0.0451547j 0.0360044+0.0317145j 0.0352379+0.000729183j -0.00181852-0.0138784j -0.0102305-0.00198718j -0.0061093+0.00332475j 0.0400902+0.0845491j 0.00105459+0.0205995j -0.0186487-0.01064j 0.0103501+0.0106508j 0.0121037+0.00872512j -0.0288788-0.033839j 0.00819843+0.000345604j 0.0702415-0.0635823j -4.49889e-07-0.0139897j -0.0270143+0.0513014j 
-0.00326344-0.0581654j -0.0106915+0.0359031j 0.00208931+0.0505696j -0.0333908-0.0231028j 0.0172237+0.0485098j -0.0685847+0.0349563j -0.0302602-0.0379735j 0.0372999+0.0196476j 0.0409077-0.040449j 0.0404836+0.0877269j 0.00731655+0.065918j -0.0131285+0.0170873j -0.0667194+0.0424789j 0.0188604+0.0406733j 0.0561007-0.0125308j 0.0135528+0.0113597j -0.0228316-0.0280528j -0.00919686+0.0082441j -0.00233367-0.0170221j -0.0698076-0.064694j -0.0263445-0.00572893j 0.0113163+0.0329504j -0.0192313-0.000565084j 0.0120756-0.0105172j -0.0252295-0.046657j 0.0373701-0.0512753j -0.00795525-0.0321296j -0.00393731+0.0527791j 0.00900791+0.0764485j -0.0240647+0.0199308j 0.000882705-0.0728252j -0.0267738+0.00671428j -0.0226257+0.0241421j -0.00251024+0.026261j 
-0.0124156+0.0021453j -0.0926562+0.044783j 0.140572+0.00543094j 0.0360365-0.0674737j 0.0628127+0.0954032j 0.0378791-0.0214441j -0.0196378+0.00149249j 0.0156442+0.0422487j 0.00932041+0.0181019j -0.0278909-0.0373681j 0.0110801-0.016296j -0.0379426+0.0206223j 0.0303864-0.00262487j -0.00202119+0.0173997j -0.0329457+0.00885234j 0.0567778-0.0471876j -0.006432-0.0463751j -0.0728817-0.0531314j -0.00328435+0.017759j 0.0243329-0.0139139j -0.0333216+0.00428139j -0.0109011+0.00842428j 0.00415343+0.0152189j -0.00514538-0.00959193j 0.044139-0.0430878j -0.00308512+0.0136674j -0.0352521-0.0168876j 0.00844665-0.0249852j -0.0232239-0.062148j -0.000187131+0.0111383j -0.0216036+0.0155696j -0.0626634+0.0118837j -0.0331829-0.0137137j 0.00601289+0.0555385j 
0.0608-0.0966527j 0.0344731+0.067583j -0.140369+0.0106534j -0.0940602-0.0434912j -0.0121439-2.19049e-05j 0.0375909+0.0195947j -0.0114544-0.0165192j -0.0272349+0.0370402j -0.00922527+0.0180882j 0.0154368-0.04238j 0.0185576+0.00128703j -0.0385331-0.02109j -0.006194+0.0563074j 0.0331472-0.0123818j -0.0619961-0.0119446j 0.0227588+0.0154293j -0.000778246+0.00952209j 0.0225766-0.0625682j -0.00897029-0.024238j -0.0357843+0.0178912j -0.00339037-0.0136908j -0.0442642-0.0427592j -0.00478341+0.00888722j 0.00372657-0.016616j 0.0110369+0.00811126j -0.0329514-0.00432447j 0.0232502+0.0142669j 0.00455094+0.0169187j 0.0735652-0.0530781j 0.00606347-0.0444479j -0.0565879-0.0488281j -0.0338895-0.00801878j 0.00214234+0.0169535j -0.0296473-0.00158431j 
0.0152393-0.0477841j -0.0342417+0.0244951j 0.00100851+0.0501123j -0.0102746-0.0353169j -0.00115145+0.0594411j 0.0139756+0.0174434j -0.00736817+0.0657654j 0.0398192-0.0870464j -0.0403831-0.0417212j 0.0372951-0.0204061j 0.0317936-0.0380305j 0.0685605+0.034977j 0.00272044+0.0255563j 0.0224498+0.0248785j -0.0277695-0.00765383j -0.000938994-0.0734182j 0.0234482+0.01967j -0.00910003+0.0769239j 0.00287458+0.0516192j -0.00769315+0.0315668j 0.0374246+0.0530038j 0.0254749-0.0463532j 0.0115081+0.0106815j -0.019992+0.000376843j -0.0119157+0.0339752j -0.0257659+0.00507883j -0.0700905+0.0644057j 0.00326227-0.0168841j 0.00865846+0.00822397j 0.0246504-0.0279652j -0.0128043+0.010814j 0.0558546+0.0130045j -0.0205246+0.0390821j 0.0657569+0.0430623j 
0.0471558-0.078467j 0.0119198-0.00165546j -0.123737+0.0784786j -0.0389799-0.00794602j -0.0654244+0.0220252j -0.0307656-0.0548603j 0.0322148+0.0270978j 0.0199128-0.0424946j 0.00818056+0.000807j -0.055908+0.0321527j -0.0408677-0.0230447j 0.0469698+0.0202526j 0.0265833+0.0497997j -0.000939335-0.0126066j 0.069808+0.0639481j -0.00916693+0.000324703j 0.0292288-0.0322241j -0.0135333+0.00883394j -0.0100233+0.0109285j -0.017823+0.00891237j 0.000332794-0.0213402j -0.0398508+0.0846668j -0.0059972-0.00285268j -0.0106389+0.0035012j 0.00232477-0.0149213j 0.0356238-0.000478933j 0.0359851-0.0329436j 0.0263316+0.044868j -0.0465+0.00871814j -0.103328+0.0189792j -0.0415837+0.0229529j 0.00989509-0.00758526j 0.0369313+0.0199401j 0.0221412+0.0269261j 
0.0152688+0.014399j -0.0325244+0.125438j 0.0873503-0.14443j -0.0363674-0.0986021j 0.127471+0.00762671j -0.0169141-0.0509533j 0.00929583-0.036703j -0.00404284+0.0643692j 0.0447215+0.0351797j -0.0685767+0.0254508j -0.0399012+0.0146628j -0.0447946-0.00065811j 0.00998907+0.0401598j 0.0215877-0.0202661j 0.0254101+0.0223387j -0.0416947-0.00313724j 0.00738041+0.0215033j 0.0250545+0.0504279j -0.00105473+0.00289793j -0.036216+0.0328841j 0.0271484+0.00648929j -0.0127866+0.0147674j 0.00201773-0.00331658j -0.01033+0.00379248j -0.0363259+0.0207165j -0.00218134-0.00694058j 0.0203771+0.0227953j 0.0119916+0.0273259j 0.00405119+0.0223206j -0.0346151-0.00969219j -0.0308952+0.00700425j 0.0460049+0.00899965j 0.0349126+0.0371479j 0.0325201-0.0140799j 
0.0771941+0.0560477j 0.0179332+0.0235785j -0.0825756-0.156056j -0.00405621-0.0380146j -0.00700066-0.0886032j -0.0559561-0.00544116j -0.047856+0.00272255j 0.101508+0.00625707j 0.0501083-0.0521157j 0.00327524+0.0791692j 0.0139662+0.0329592j 0.000711076+0.0783478j 0.00130612-0.00350395j -0.0197634+0.0287951j -0.0259931+0.0022048j 0.0392097-0.0284524j 0.0577181-0.0135453j -0.0025235-0.00453595j -0.00195631+0.0442054j 0.049395+0.00672662j 0.017741+0.00942832j 0.0016757-0.0286993j 0.00225949+0.00585289j -0.00691585+0.00215629j 0.0530773+0.030557j -0.0048136+0.0264023j -0.0402965+0.0141838j -0.00158137-0.0232589j -0.00517505-0.0234476j 0.00356863-0.0213449j 0.0129852+0.0123789j 0.0162858-0.037179j -0.0254338-0.0120214j 0.00628929+0.0494713j 
0.0455514+0.113873j -0.104966-0.0968197j 0.0606135-0.0264341j 0.15288-0.0150139j -0.0771254+0.0216328j -0.0350776-0.0628141j 0.061341+0.0086131j -0.0259278-0.0354445j 0.00504304+0.0257812j -0.0714941+0.0312498j -0.0664951-0.0199454j 0.0434899-0.0181835j -0.0169985+0.0458047j 0.029937+0.00232332j -0.0217504-0.0165034j 0.0135403+0.0033869j -0.0166517+0.00274052j 0.00467447-0.02334j -0.00614406-0.0172911j -0.0481425-0.00130553j -0.00989208-0.000556037j -0.0133946-0.0173352j -0.00613083+0.00713707j 0.00329133-0.013269j -0.0120786-0.00926789j -0.0146544-0.0211903j 0.00217926+0.00416821j 0.00534837+0.0213448j 0.0477505-0.00709156j 0.00482071-0.0155263j -0.0369786-0.0450232j -0.0243037+0.00859773j -0.00525814+0.0212079j -0.00857419+0.00582057j 
0.0962102-0.0195055j -0.0881549+0.042219j -0.0292192-0.0250766j 0.0210947-0.104949j -0.0215452+0.0628375j -0.0735273+0.0630256j 0.0240236-0.0525562j -0.0576682-0.0177413j 0.00121589-0.0184857j 0.0664382+0.076234j -0.0174806+0.0677985j 0.016577-0.0662547j 0.0265887-0.0700765j -0.00699696-0.0314711j -0.0428797+0.00745123j -0.0286688-0.00509385j -0.0476274+0.0196792j -0.0268169-0.0118692j 0.0128374-0.0244035j 0.0340549+0.000272345j -0.00921423+0.00386348j -0.00343567-0.0175774j 0.0166168-0.00474368j 0.00174965+0.00468539j -0.0093086-0.0218965j -0.0146296+0.0257716j 0.0179501+0.015318j -0.0231214-0.0413321j -0.028007-0.0441293j 0.0465137-0.00323418j 0.0223424+0.0364149j -0.0217079+0.0384367j -0.000528492-0.0190074j -0.00895174-0.0488316j 
