0.0284889-0j 0.0254812-0j 0.0238887-0j 0.0174458-0j 0.0107438-0j -0.150871-0j -0.184779-0j -0.134943-0j -0.155819-0j -0.113794-0j -0.160023-0j -0.0371651-0j 0.383839-0j 0.00375108-0j 0.321859-0j 0.407122-0j 0.332414-0j 0.242761-0j 0.228877-0j 0.144755-0j 0.00314538-0j 0.00397863-0j 0.00324853-0j 0.00237239-0j 0.00223671-0j 0.00141462-0j 0.00132621-0j 0.359849-0j 0.214572-0j 0.0386012-0j 0.00351664-0j 0.00209692-0j 0.135707-0j 0.000377233-0j 
-0.00940885-0j -0.00942879-0j 0.00889648-0j 0.00649707-0j 0.0165367-0j 0.00192492-0j -0.0020907-0j -0.00152683-0j -0.00197531-0j 0.000986788-0j 0.00204168-0j 0.00444129-0j -0.000319869-0j 0.0740319-0j 0.00030245-0j -0.000339272-0j -0.000310368-0j -0.000226661-0j 0.00014618-0j 0.000562191-0j -0.0700004-0j 0.0785227-0j 0.0718331-0j 0.0524595-0j -0.0338326-0j -0.130116-0j -0.0295148-0j 0.000338149-0j 0.000201633-0j 0.00059415-0j -0.0782629-0j -0.046667-0j 0.000127524-0j -0.137513-0j 
-0.000154055-0j -0.00194056-0j -0.00228267-0j 0.00466338-0j 0.00284748-0j -0.00625618-0j 0.000482483-0j -0.000985687-0j -0.00637585-0j 0.0086363-0j 0.00738355-0j -0.00637404-0j -0.000137389-0j -0.00108937-0j -0.00203573-0j 0.000162146-0j -0.00207467-0j 0.00423844-0j -0.0029481-0j 0.00253943-0j -0.0161416-0j 0.00128568-0j -0.0164504-0j 0.0336072-0j -0.0233759-0j 0.0201355-0j -0.0355636-0j 0.00253253-0j 0.00151011-0j -0.00126609-0j 0.0200808-0j 0.0119739-0j -0.00448517-0j -0.010039-0j 
-0.000362147-0j -0.000362914-0j 0.000342426-0j 0.000250072-0j 0.000636497-0j -0.00439934-0j 0.00477824-0j 0.00348953-0j 0.00451452-0j -0.00225527-0j -0.0046662-0j -0.0101504-0j -0.0321877-0j -4.76832e-05-0j 0.0304349-0j -0.0341402-0j -0.0312317-0j -0.0228084-0j 0.0147098-0j 0.056572-0j 4.50866e-05-0j -5.05757e-05-0j -4.6267e-05-0j -3.37886e-05-0j 2.17913e-05-0j 8.38065e-05-0j 1.90102e-05-0j 0.0340272-0j 0.0202899-0j 0.059788-0j 5.04083e-05-0j 3.00577e-05-0j 0.0128325-0j 8.85706e-05-0j 
-0.000395399-0j 0.000317834-0j -0.000331552-0j 0.000677344-0j -0.000149114-0j -0.00382818-0j 0.00521697-0j -0.010658-0j 0.00439934-0j -0.0028874-0j 0.00451803-0j 0.0010493-0j 0.0315835-0j 4.67882e-05-0j 0.0264836-0j -0.037275-0j -0.0304349-0j 0.0621769-0j -0.0209553-0j 0.0119109-0j 3.92331e-05-0j -5.52196e-05-0j -4.50866e-05-0j 9.21095e-05-0j -3.10435e-05-0j 1.76449e-05-0j 8.64395e-05-0j -0.0329467-0j -0.0196456-0j -0.00353422-0j -4.88077e-05-0j -2.91033e-05-0j 0.0583494-0j -5.23563e-06-0j 
-0.000177887-0j -0.00224076-0j -0.0026358-0j 0.00538481-0j 0.00328799-0j -0.0149606-0j 0.00115377-0j -0.0023571-0j -0.0152467-0j 0.0206522-0j 0.0176565-0j -0.0152424-0j 0.00215396-0j 2.10497e-05-0j 0.0319158-0j -0.0025421-0j 0.0325263-0j -0.0664496-0j 0.0462199-0j -0.0398128-0j 0.000311899-0j -2.48429e-05-0j 0.000317865-0j -0.000649382-0j 0.000451686-0j -0.000389073-0j 0.000687184-0j -0.0397046-0j -0.0236753-0j 0.0198496-0j -0.000388016-0j -0.000231368-0j 0.0703178-0j 0.000193981-0j 
0.000688953-0j 0.00867844-0j 0.0102084-0j -0.0208553-0j -0.0127343-0j -0.00198506-0j 0.00015309-0j -0.000312754-0j -0.00202303-0j 0.00274026-0j 0.00234277-0j -0.00202246-0j -2.10497e-05-0j 0.00239515-0j -0.000311899-0j 2.48429e-05-0j -0.000317865-0j 0.000649382-0j -0.000451686-0j 0.000389073-0j 0.0354897-0j -0.00282676-0j 0.0361686-0j -0.0738905-0j 0.0513955-0j -0.044271-0j 0.0781918-0j 0.000388016-0j 0.000231368-0j -0.000193981-0j -0.0441507-0j -0.0263264-0j -0.000687184-0j 0.0220723-0j 
0.0562663-0j -0.0452286-0j 0.0471807-0j -0.0963877-0j 0.0212193-0j -0.00917442-0j 0.0125027-0j -0.0255424-0j 0.0105432-0j -0.00691978-0j 0.0108277-0j 0.0025147-0j -0.00171911-0j -0.00665808-0j -0.00144152-0j 0.0020289-0j 0.00165659-0j -0.00338432-0j 0.00114061-0j -0.000648317-0j -0.00558297-0j 0.00785788-0j 0.00641593-0j -0.0131074-0j 0.00441757-0j -0.00251092-0j -0.0123006-0j 0.00179331-0j 0.00106932-0j 0.000192369-0j 0.00694545-0j 0.00414147-0j -0.00317599-0j 0.000745044-0j 
0.0515344-0j 0.0516436-0j -0.048728-0j -0.0355859-0j -0.0905751-0j -0.0105432-0j 0.0114513-0j 0.00836282-0j 0.0108192-0j -0.00540486-0j -0.0111828-0j -0.024326-0j 0.00175199-0j 0.00678544-0j -0.00165659-0j 0.00185827-0j 0.00169996-0j 0.00124147-0j -0.000800663-0j -0.00307925-0j -0.00641593-0j 0.00719705-0j 0.00658391-0j 0.00480821-0j -0.00310095-0j -0.0119259-0j -0.0027052-0j -0.00185212-0j -0.00110439-0j -0.00325429-0j -0.00717323-0j -0.00427729-0j -0.000698478-0j -0.0126038-0j 
0.000843792-0j 0.0106289-0j 0.0125027-0j -0.0255424-0j -0.0155963-0j 0.0342665-0j -0.00264267-0j 0.00539883-0j 0.034922-0j -0.047303-0j -0.0404414-0j 0.0349121-0j 0.000752508-0j -9.98473e-05-0j 0.0111501-0j -0.000888112-0j 0.0113634-0j -0.0232149-0j 0.0161474-0j -0.013909-0j -0.00147947-0j 0.00011784-0j -0.00150777-0j 0.00308029-0j -0.00214254-0j 0.00184554-0j -0.0032596-0j -0.0138712-0j -0.00827121-0j 0.00693466-0j 0.00184052-0j 0.00109747-0j 0.0245663-0j -0.000920132-0j 
0.000626318-0j -0.000208033-0j -0.00028695-0j -0.000209559-0j -0.000202377-0j 0.00274944-0j -0.00616303-0j -0.00450084-0j 0.00192999-0j 0.00724107-0j 0.00291622-0j -0.0068603-0j 0.0272015-0j -0.00242281-0j -0.0124625-0j 0.0288515-0j -0.00874815-0j -0.00638875-0j -0.0309448-0j -0.0087894-0j 0.00111002-0j -0.00256977-0j 0.000779187-0j 0.000569038-0j 0.00275621-0j 0.000782861-0j 0.000468025-0j -0.0139335-0j -0.00830831-0j 0.054761-0j 0.00124104-0j 0.000740012-0j -0.00525464-0j -0.0048775-0j 
-0.00463716-0j 0.0022227-0j 0.00208379-0j 0.00152178-0j 0.000937175-0j 0.0245575-0j -0.0161181-0j -0.011771-0j 0.0253628-0j -0.00992617-0j -0.0139587-0j -0.00324187-0j -0.0624778-0j -0.000610567-0j 0.0280754-0j 0.0355129-0j 0.0289962-0j 0.0211758-0j -0.0372546-0j 0.0126268-0j 0.000274369-0j 0.000347052-0j 0.000283367-0j 0.000206942-0j -0.000364072-0j 0.000123396-0j 0.000115684-0j 0.0313893-0j -0.0885692-0j 0.00336715-0j 0.000306753-0j -0.000865548-0j 0.0118376-0j 3.29057e-05-0j 
0.000846626-0j -0.000405809-0j -0.000380445-0j -0.000277838-0j -0.000171104-0j -0.00680214-0j 0.00446453-0j 0.00326043-0j -0.00702522-0j 0.00274944-0j 0.0038664-0j 0.000897962-0j 0.0367697-0j -0.00327503-0j -0.0165231-0j -0.0209002-0j -0.0170649-0j -0.0124625-0j 0.0219252-0j -0.00743118-0j 0.00147169-0j 0.00186156-0j 0.00151995-0j 0.00111002-0j -0.00195285-0j 0.000661887-0j 0.000620519-0j -0.0184733-0j 0.0521251-0j -0.00198165-0j 0.0016454-0j -0.00464272-0j -0.00696673-0j 0.000176503-0j 
-0.00343048-0j 0.00113944-0j 0.00157169-0j 0.0011478-0j 0.00110846-0j -0.00992617-0j 0.0222501-0j 0.0162492-0j -0.00696777-0j -0.0261421-0j -0.0105283-0j 0.0247674-0j -0.0462199-0j -0.000451686-0j 0.0211758-0j -0.0490236-0j 0.0148646-0j 0.0108555-0j 0.0525803-0j 0.0149347-0j 0.000206942-0j -0.000479085-0j 0.000145265-0j 0.000106086-0j 0.000513844-0j 0.00014595-0j 8.72543e-05-0j 0.0236753-0j 0.0141172-0j -0.093048-0j 0.000231368-0j 0.000137961-0j 0.00892851-0j -0.000909317-0j 
0.0179597-0j -0.0086085-0j -0.00807047-0j -0.00589384-0j -0.00362966-0j 0.00325843-0j -0.00213864-0j -0.00156185-0j 0.00336529-0j -0.00131706-0j -0.00185212-0j -0.000430151-0j 0.000610567-0j -0.0694739-0j -0.000274369-0j -0.000347052-0j -0.000283367-0j -0.000206942-0j 0.000364072-0j -0.000123396-0j 0.0312192-0j 0.0394896-0j 0.0322431-0j 0.023547-0j -0.0414262-0j 0.0140407-0j 0.0131632-0j -0.000306753-0j 0.000865548-0j -3.29057e-05-0j 0.0349042-0j -0.098487-0j -0.000115684-0j 0.0037442-0j 
-0.0040159-0j 0.00192492-0j 0.00180461-0j 0.0013179-0j 0.000811617-0j 0.0102694-0j -0.00674023-0j -0.00492237-0j 0.0106062-0j -0.00415091-0j -0.00583721-0j -0.00135568-0j 0.0039851-0j 0.0315984-0j -0.00179077-0j -0.00226516-0j -0.0018495-0j -0.00135068-0j 0.00237625-0j -0.000805392-0j -0.0141993-0j -0.0179608-0j -0.014665-0j -0.0107098-0j 0.0188417-0j -0.00638607-0j -0.00598694-0j -0.00200214-0j 0.00564932-0j -0.000214771-0j -0.0158753-0j 0.0447943-0j -0.000755055-0j -0.00170295-0j 
0.0132862-0j -0.00441305-0j -0.00608713-0j -0.00444541-0j -0.00429306-0j -0.00131706-0j 0.00295228-0j 0.00215604-0j -0.000924525-0j -0.00346869-0j -0.00139696-0j 0.00328629-0j 0.000451686-0j -0.0513955-0j -0.000206942-0j 0.000479085-0j -0.000145265-0j -0.000106086-0j -0.000513844-0j -0.00014595-0j 0.023547-0j -0.0545131-0j 0.0165291-0j 0.0120711-0j 0.0584681-0j 0.016607-0j 0.0099283-0j -0.000231368-0j -0.000137961-0j 0.000909317-0j 0.0263264-0j 0.015698-0j -8.72543e-05-0j -0.103467-0j 
-2.65178e-06-0j -3.34033e-05-0j -3.92922e-05-0j 8.0272e-05-0j 4.90144e-05-0j -0.000569008-0j 4.38825e-05-0j -8.96496e-05-0j -0.000579892-0j 0.000785483-0j 0.000671544-0j -0.000579728-0j 0.000357053-0j 3.1379e-07-0j 0.00529056-0j -0.000421394-0j 0.00539176-0j -0.0110151-0j 0.00766168-0j -0.00659961-0j 4.64952e-06-0j -3.70335e-07-0j 4.73846e-06-0j -9.68042e-06-0j 6.73334e-06-0j -5.79996e-06-0j 1.02439e-05-0j -0.00658168-0j -0.00392455-0j 0.00329038-0j -5.7842e-06-0j -3.44903e-06-0j 0.0116563-0j 2.89169e-06-0j 
-0.00297089-0j 0.000986788-0j 0.00136112-0j 0.000994024-0j 0.000959959-0j -0.00415091-0j 0.00930451-0j 0.00679505-0j -0.00291377-0j -0.0109321-0j -0.0044027-0j 0.0103572-0j 0.0029481-0j 0.0233759-0j -0.00135068-0j 0.00312693-0j -0.000948125-0j -0.000692413-0j -0.00335379-0j -0.000952596-0j -0.0107098-0j 0.0247939-0j -0.00751782-0j -0.00549024-0j -0.0265927-0j -0.00755327-0j -0.00451563-0j -0.00151011-0j -0.000900456-0j 0.005935-0j -0.0119739-0j -0.00713985-0j -0.000569498-0j 0.0470595-0j 
0.021996-0j -0.0105432-0j -0.00988426-0j -0.00721845-0j -0.00444541-0j -0.0562478-0j 0.0369178-0j 0.0269609-0j -0.0580925-0j 0.0227354-0j 0.0319717-0j 0.00742537-0j -0.0218273-0j 0.00289618-0j 0.00980845-0j 0.0124068-0j 0.0101301-0j 0.007398-0j -0.0130153-0j 0.00441131-0j -0.00130144-0j -0.00164621-0j -0.00134413-0j -0.000981611-0j 0.00172695-0j -0.00058532-0j -0.000548737-0j 0.0109662-0j -0.0309426-0j 0.00117635-0j -0.00145506-0j 0.00410565-0j 0.00413561-0j -0.000156085-0j 
0.0162722-0j -0.00540486-0j -0.00745518-0j -0.00544449-0j -0.00525791-0j 0.0227354-0j -0.0509629-0j -0.037218-0j 0.0159594-0j 0.0598774-0j 0.0241146-0j -0.0567287-0j -0.0161474-0j 0.00214254-0j 0.007398-0j -0.0171269-0j 0.0051931-0j 0.0037925-0j 0.0183695-0j 0.00521758-0j -0.000981611-0j 0.0022725-0j -0.000689051-0j -0.000503212-0j -0.00243737-0j -0.0006923-0j -0.000413883-0j 0.00827121-0j 0.004932-0j -0.0325073-0j -0.00109747-0j -0.000654407-0j 0.00311927-0j 0.00431327-0j 
-0.00292298-0j -0.0368195-0j -0.0433107-0j 0.0884814-0j 0.0540271-0j 0.00842188-0j -0.000649504-0j 0.0013269-0j 0.00858298-0j -0.0116259-0j -0.00993952-0j 0.00858055-0j 8.93061e-05-0j 0.000345881-0j 0.00132328-0j -0.000105399-0j 0.00134859-0j -0.0027551-0j 0.00191634-0j -0.0016507-0j 0.00512503-0j -0.00040821-0j 0.00522306-0j -0.0106704-0j 0.00742196-0j -0.00639312-0j 0.0112916-0j -0.00164621-0j -0.000981611-0j 0.000822991-0j -0.00637575-0j -0.00380176-0j 0.00291548-0j 0.00318743-0j 
-5.11386e-05-0j 1.69858e-05-0j 2.34294e-05-0j 1.71104e-05-0j 1.6524e-05-0j -0.000377531-0j 0.000846258-0j 0.000618019-0j -0.000265011-0j -0.000994286-0j -0.000400432-0j 0.000942001-0j -0.00766168-0j -6.73334e-06-0j 0.00351023-0j -0.00812644-0j 0.00246404-0j 0.00179948-0j 0.00871602-0j 0.00247566-0j 3.0849e-06-0j -7.14178e-06-0j 2.16548e-06-0j 1.58144e-06-0j 7.65993e-06-0j 2.17569e-06-0j 1.30071e-06-0j 0.00392455-0j 0.00234015-0j -0.0154242-0j 3.44903e-06-0j 2.0566e-06-0j 0.00148004-0j -1.35553e-05-0j 
-0.0761964-0j 0.0365228-0j 0.0342401-0j 0.0250054-0j 0.0153994-0j -0.0138244-0j 0.0090735-0j 0.00662635-0j -0.0142777-0j 0.00558783-0j 0.00785788-0j 0.00182498-0j -0.00259042-0j -0.0100326-0j 0.00116405-0j 0.00147242-0j 0.00120222-0j 0.000877979-0j -0.00154463-0j 0.000523526-0j 0.00450834-0j 0.00570264-0j 0.00465619-0j 0.0034004-0j -0.00598232-0j 0.00202761-0j 0.00190088-0j 0.00130144-0j -0.00367221-0j 0.000139607-0j 0.00504047-0j -0.0142224-0j 0.000490805-0j 0.000540695-0j 
-6.91268e-05-0j 3.31341e-05-0j 3.10632e-05-0j 2.26854e-05-0j 1.39706e-05-0j 0.000934015-0j -0.000613033-0j -0.000447696-0j 0.000964647-0j -0.000377531-0j -0.000530902-0j -0.000123301-0j -0.0103567-0j -9.1018e-06-0j 0.00465395-0j 0.00588683-0j 0.00480658-0j 0.00351023-0j -0.00617554-0j 0.0020931-0j 4.09004e-06-0j 5.17354e-06-0j 4.22418e-06-0j 3.0849e-06-0j -5.42727e-06-0j 1.83948e-06-0j 1.72451e-06-0j 0.00520327-0j -0.0146818-0j 0.000558159-0j 4.57281e-06-0j -1.29028e-05-0j 0.00196228-0j 4.90528e-07-0j 
-0.0563686-0j 0.018723-0j 0.0258255-0j 0.0188603-0j 0.0182139-0j 0.00558783-0j -0.0125255-0j -0.0091473-0j 0.00392243-0j 0.0147164-0j 0.00592679-0j -0.0139426-0j -0.00191634-0j -0.00742196-0j 0.000877979-0j -0.00203259-0j 0.000616306-0j 0.000450086-0j 0.00218005-0j 0.000619212-0j 0.0034004-0j -0.00787218-0j 0.00238694-0j 0.00174318-0j 0.00844331-0j 0.0023982-0j 0.00143373-0j 0.000981611-0j 0.00058532-0j -0.0038579-0j 0.00380176-0j 0.00226693-0j 0.000370189-0j -0.0149416-0j 
