0.272026-0.0418066j -0.357524+0.259917j 0.249244+0.551148j 0.300713-0.0837038j -0.00399766+0.0592217j -0.146777+0.00371075j -0.034396+0.0543788j 0.0593808-0.00118547j -0.0984708+0.0939737j 0.0233245-0.0336798j 0.0402906+0.0296962j 0.0683536+0.0103707j 0.0101849-0.00461848j 0.0581031+0.0266649j 0.00884914+0.0643615j -0.0239143+0.0409215j -0.0689034+0.0325j 0.0495099+0.039088j -0.0824174-0.0837047j -0.014343-0.072072j -0.00712399-0.0456837j -0.0087157+0.0734517j 0.0196553+0.0334868j 0.0693757-0.100708j 
0.00571945+0.0182094j 0.0229926-0.00961365j -0.000939647-0.00759766j 0.0790953-0.104757j 0.0217556+0.0145633j -0.0649654-0.0925112j 0.0322602-0.0382152j 0.0318305+0.0201089j 0.0623457+0.038151j 0.0637823-0.0120386j 0.112422-0.053046j -0.114204-0.139981j -0.010326-0.00332898j -0.0888854+0.0117208j 0.023878+0.0489193j -0.106882+0.0719485j 0.136962+0.00673222j -0.148523-0.0206153j -0.140203+0.20573j 0.0862585+0.148446j -0.0922389+0.131425j -0.10434+0.0356444j 0.124197+0.010352j -0.0846926+0.236663j 
-0.0123179+0.00047273j 0.0574564+0.0284854j 0.00504112+0.00989257j 0.109189-0.0205015j 0.0105016-0.0254138j -0.0370703-0.0916474j -0.0783171-0.0145082j 0.0828912-0.00608144j 0.00339969+0.00579671j 0.0395352+0.0255186j 0.133667-0.0644147j -0.10398-0.0493237j -0.0819959+0.0388502j -0.0308971-0.00261565j -0.000172228+0.0089105j -0.19001+0.0681257j -0.0103565+0.0641817j 0.0343421+0.0721257j -0.162401-0.00276027j -0.0513965-0.137857j 0.0330807-0.145911j -0.0839244+0.17314j 0.113548+0.0199384j 0.00872394+0.0456396j 
-0.0370447-0.0311617j 0.0616113+0.0785228j -0.0422757-0.0423377j 0.0932052+0.0442766j -0.00647597-0.0160256j -0.0641766-0.118949j -0.149218-0.0199623j 0.0681527+0.0140936j 0.013017-0.0180777j 0.0254823+0.0246401j 0.163129-0.0453362j -0.0814614+0.0157026j -0.104696-0.110097j -0.0612211-0.0314894j -0.0344151+0.0511781j 0.0665692+0.102169j -0.0578792+0.00897292j 0.0190187+0.155352j -0.037549-0.270676j -0.011663+0.0156855j -0.0274643+0.0608644j 0.115943-0.0304839j 0.0418094-0.0468794j 0.145528-0.133044j 
0.00157951+0.00822199j 0.037009-0.00380075j 0.0162995-0.0349211j 0.0671484-0.0114435j 0.081724+0.0144563j 0.0306621-0.0457792j 0.144008+0.0286342j 0.109015+0.153221j -0.0294019-0.0265005j 0.02432-0.0126218j -0.161893+0.0717399j -0.210858-0.0357733j 0.174402+0.0593197j -0.118537-0.0638584j 0.206686+0.0045718j -0.141394+0.187496j 0.0371308-0.15084j 0.0819786+0.058937j -0.249613-0.238815j 0.109168+0.0949602j -0.0261801-0.0562798j -0.0539821+0.0362662j 0.0792462-0.0985442j 0.136679-0.0664356j 
-0.0241603+0.0029518j -0.00908296-0.0228476j -0.00399167-0.00212624j -0.0441627-0.047306j 0.033413-0.028723j 0.0421987+0.00160112j 0.0581087-0.045657j 0.021985+0.0370095j 0.0136262-0.00841465j -0.0128117+0.00451018j -0.00339824+0.0307119j -0.00276372+0.000860051j 0.086439+0.0919849j -0.00213611+0.00187459j 0.0286055-0.0569825j 0.00398416+0.0270274j -0.03732+0.060305j -0.0099869-0.00052j 0.0360778-0.0106928j 0.0466313+0.0583318j -0.0347924+0.0308422j -0.00634584-0.0672709j -0.0131804+0.0112979j -0.0159308+0.0178172j 
0.0349918-0.00453569j 0.0489486+0.0174747j -0.0153516-0.0257445j 0.0329816-0.00395295j -0.0135432-0.0392529j -0.0402754-0.0619199j -0.0405056+0.0108946j 0.0130139+0.00794904j 0.0055688+0.00558809j -0.0374061+0.0071287j 0.0536177-0.0603881j -0.00761607+0.0201238j -0.268857-0.0664541j 0.273636+0.0872057j -0.258534-0.0021363j 0.254092-0.166462j -0.018497-0.023634j -0.151704+0.130388j -0.0411934-0.0306068j -0.22649-0.218792j -0.0284882+0.101606j 0.0652993-0.0686187j 0.039311-0.0384017j -0.00234336+0.00907542j 
-0.0254699+0.0400239j 0.0561609-0.0413079j -0.0121034-0.0100586j 0.0697073-0.0844258j 0.000857052-0.0347899j -0.0777494+0.0179045j 0.0313105+0.0694937j 0.0451143-0.0671773j 0.0294823+0.0963771j -0.00569476-0.0230654j -0.0644648-0.0147305j -0.0453324+0.133749j -0.0538171+0.194357j 0.0556792-0.0967253j 0.0318721+0.172892j 0.00369834-0.0583494j -0.0733946-0.0780006j 0.124449+0.121702j -0.0904666+0.24421j -0.143404+0.109613j 0.0460936+0.0467515j 0.0143949+0.000682467j -0.043522-0.122783j 0.0835792-0.0273166j 
-0.00937583-0.0131411j -0.0352547+0.00163565j 0.0205019+0.0127911j 0.0139288+0.031637j 0.025203-0.00244681j 0.0222057+0.0624042j -0.0285117+0.0208381j 0.000650663+0.0346453j -0.0412857-0.00556287j -0.0322146-0.00998868j -0.0314657+0.00686247j -0.00815662-0.045075j -0.0464309-0.0345673j 0.0279608+0.0606295j -0.0645143-0.0681254j 0.0248941-0.0321096j 0.0351032+0.0272997j -0.180483+0.00732815j -0.122435+0.0526057j -0.0219822-0.00671003j -0.0699254+0.0506945j -0.0636022-0.00828777j 0.0110853+0.0773131j -0.107365+0.134429j 
0.0267626-0.0101398j 0.0122814+0.0267039j 0.00883622+0.0152576j 0.00304741+0.0768926j 0.0238935+0.0673368j 0.0759825+0.0545883j -0.0795944+0.0112285j -0.0353741-0.0514427j -0.0911125+0.0408398j 0.0466208-0.00476572j 0.0140782+0.0237004j 0.0139198+0.00650328j 0.0498118+0.0363514j -0.0829428-0.0355892j 0.0593072+0.00922002j -0.11315+0.0750431j -0.00833232+0.0698223j 0.0268485-0.026907j -0.0153151+0.0551746j 0.0633749+0.0459956j -0.00514414-0.0292559j -0.0247278+0.0326434j -0.012575+0.086959j -0.0488923+0.06618j 
-0.0295525-0.0030315j 0.0554113-0.00691602j 0.00219578-0.0401188j 0.0781763-0.00661359j 0.0170516-0.0281115j -0.0115998-0.0255576j -0.0341439+0.0350517j 0.0372965+0.0394338j 0.0433846+0.03402j -0.0496161-0.0220123j 0.0304552-0.0180057j 0.0121729+0.00658571j -0.0475473-0.0199288j -0.031362+0.0124186j -0.0139249+0.0387925j 0.0212872-0.0222262j -0.0098312+0.031063j 0.0239645+0.0511554j -0.0563391-0.0708625j -0.0235722+0.00610881j 0.014684-0.0208329j -0.000927371-0.0226769j -0.0200117-0.0236521j 0.0304911-0.0593921j 
-0.0116249-0.0100142j -0.0302307+0.00256892j -0.0112063+0.0189628j -0.0241708-0.00879782j -0.0388799-0.0204086j -0.00706189-0.0100399j -0.0327271-0.0337263j 0.0351889-0.01136j -0.0241107-0.0198635j -0.0209911-0.0126807j -0.0167503-0.0471718j -0.0243353+0.0113681j -0.05238-0.0175106j 0.0142167-0.0261569j -0.0376175-0.0110219j 0.0296152+0.00265979j 0.0564736-0.0224049j -0.0205974-0.00248905j -0.0140235+0.0268122j 0.00126414+0.0107249j -0.0387652+0.0488069j 0.0258149-0.0424226j 0.0134266+0.00185978j -0.0342583+0.0609812j 
0.00978162-0.00995778j 0.0336024+0.0199429j -0.000500161-0.0170703j 0.0572497-0.0260856j 0.0424833-0.0212261j -0.00946844-0.0833199j 0.028996+0.0282514j 0.0626694+0.0578455j -0.0548253+0.00898609j 0.0317023-0.00552786j -0.0403737+0.000177334j -0.12844-0.0309272j 0.00920432+0.0137615j -0.0818017-0.0369743j 0.0196639-0.0229816j -0.10755+0.0688876j 0.0878945-0.063862j -0.0229981+0.00919548j -0.16472-0.0733604j 0.0265266+0.0337626j 0.00935626-0.00196953j -0.0257563+0.0799028j 0.0172301-0.0498045j 0.0315532+0.0641116j 
-0.00712839-0.0114135j 0.00359448+0.0151185j -0.00901537-0.00333168j 0.0359655-0.0107098j 0.011676+0.0232291j 0.00266438-0.00797953j -0.0153629+0.0130513j 0.00359141+0.0140739j 0.0173874+0.00446268j -0.0250153+0.00851447j 0.00359866+0.0187994j 0.0128606-0.00611977j -0.00971445-0.0170232j -0.000587205+0.0110654j -0.00920977+0.00138078j -0.00629088+0.0255759j -0.0159896+0.0137629j -0.0096142+0.0218957j -0.0165309-0.0144206j 0.0360425+0.0168947j -0.0434406+0.0115398j 0.0260578-0.0170322j 0.000520268-0.0206939j 0.0304496-0.00579195j 
-0.00614074+0.00834219j -0.0139928-0.018001j 0.00552636-0.0231965j -0.0149028+0.00451439j 0.0161627+0.0243435j 0.0168325-0.00220266j 0.00219375+0.0172585j 0.0109645-0.0255152j -0.0196256-0.0113412j -0.0027015+0.032482j -0.0153988-0.00825014j -0.00335126-0.00252021j -0.0151005+0.00165542j 0.00843241+0.0386491j 0.0141575+0.015304j 0.0297773-0.0152735j 0.0223856-0.0238706j 0.032517+0.00885789j -0.00659738-0.00963375j 0.00950306+0.0202812j -0.0131281-0.0128127j -0.0129957-0.0317042j 0.0140924+0.00693252j -0.00763619-0.0002084j 
0.0156472+0.00581967j -0.0117152-0.0128535j -0.0153201-0.0251193j -0.0255263-0.00609043j 0.00429007-0.000497461j 0.025195+0.0351664j 0.0443984-0.00802147j -0.00908445+0.0272501j -0.0234835-0.0197674j 0.00616991-0.0422036j -0.0402531-0.0159421j -0.000504473+0.00394324j -0.0160513-0.0227729j 0.0378616+0.0159807j 0.00266123-0.043834j -0.00166965-0.0304055j 0.029207-0.0160858j 0.0110323-0.00981248j 0.00601541+0.0274245j 0.0155272-0.013859j -0.00807243-0.0173309j -0.00228232+0.0409461j 0.00990897+0.00871624j -0.022988+0.00881763j 
0.0353721+0.00318142j 0.00432556+0.00300012j 0.0198626+0.0250693j 0.0117587+0.0152658j -0.00452998+0.0215018j -0.00555105-0.0287747j -0.0276854-0.0144409j 0.0319583-0.00913945j -0.0171359+0.0132651j 0.00449221-0.00508652j -0.0172926+0.00781663j -0.041664+0.00170681j 0.0671096+0.0317713j -0.0729644-0.0518869j 0.0585546+0.016212j -0.0668655+0.0521221j 0.0166825-0.0213951j 0.0156239-0.0122284j -0.0565743-0.0205168j -0.00293336+0.0212689j 0.0269961-0.0169266j -0.0490994+0.040637j 0.0186563-0.0100937j 0.0256771+0.0206629j 
-0.00357843-0.0118804j 0.0420441+0.0204963j -0.0104001-0.0156139j 0.05334+0.00582922j 0.00720742+0.0133447j -0.0272344-0.0301015j -0.0655975-0.00498828j 0.0332556-0.00248925j -0.0113201+0.0084329j 0.0152327+0.0149658j 0.0346377-0.0239459j -0.0934323-0.0482934j -0.0492896-0.0160026j 0.00821233+0.025257j -0.0282622+0.0486698j -0.0976947+0.045093j 0.0450954-0.0139576j -0.129839+0.0395478j -0.126558+0.0182134j 0.000759574-0.0277251j -0.0025799+0.0206334j -0.0119467+0.0879143j -0.0105737-0.0315448j 0.0133918+0.108103j 
-0.00293922+0.0294627j 0.0304748-0.0137214j -0.00980518-0.00681075j 0.0428541-0.0592417j -0.0342951-0.00826487j -0.014846-0.00601349j -0.0293246+0.0584831j -0.0219926-0.034918j 0.0393124+0.0231788j -0.00295488-0.00722315j -0.00657663-0.0327008j 0.012324+0.0662213j -0.0214283+0.0339202j 0.0380238-0.0244533j 0.0356779+0.0364144j 0.00106617-0.0224113j 0.0164251+0.0289907j -0.0156429+0.0406292j -0.0563767+0.0158919j -0.00818184+0.00200645j 0.0261302+0.0306172j -0.0105017-0.00823779j -0.0186744+0.0115738j 0.0363415+0.0665324j 
-0.0246-0.0038934j 0.00875788-0.00985038j 0.000473841-0.00441797j 0.0131888+0.01127j -0.0730708-0.00794808j 0.0408579+0.00648031j 0.03174+0.0319464j -0.00949614-0.00170629j -0.0119449-0.0237018j 0.0258924+0.0460826j -0.00615996+0.00850772j -0.00443309-0.0251555j -0.01086-0.00600432j 0.00103803-2.74167e-05j 0.0147732+0.01521j 0.00996548+0.0132065j 0.0247225-0.022881j -0.0332498+0.0139082j -0.0138753+0.0129635j -0.00785403+0.0113901j 0.0122827+0.0118796j 0.0249096-0.0136806j -0.00601775-0.0313386j 0.02208+0.0101003j 
0.0194033-0.0187384j -0.0206471+0.00871118j 0.0212915-0.0105856j -0.0318826+0.017149j 0.0494398-0.00461807j 0.0167629-0.0215263j 0.00871866-0.0523021j 0.000776964+0.00253793j -0.0264248+0.0462374j 0.0197815-0.0164417j 0.0415445+0.0347273j -0.0113775+0.0219132j 0.0059566+0.00784035j -0.0117688+0.000616578j -0.0237772+0.0345569j -0.00644338+0.0166947j -0.00276112-0.0244017j -0.0106923+0.0151058j 0.038179-0.0233967j -0.0125891+0.0186892j -0.00158215+0.00115709j 0.0154871+0.0114393j 0.0263897-0.0173656j 0.0688879+0.0609649j 
0.00725678+0.015926j -0.00651814-0.00585587j 0.00152616+0.0244118j -0.0335902+0.00243811j 0.0346911+0.0252124j 0.00820156+0.0278092j -0.00516848-0.0145536j -0.00879704+0.0233267j -0.00029208-0.00824684j -0.0158116-0.0240703j 0.00475555-0.0187213j 0.0120571-0.0211348j -0.00372562+0.0227723j 0.00844331+0.0100666j 0.00981047+0.0201498j -0.00500299+0.0252662j 0.0156079+0.00473923j -0.0290727+0.0209627j -0.00903285+0.0192953j -0.00403933+0.00167141j 0.00933684+0.016158j 0.0388324-0.00279448j -0.0100512-0.0314161j 0.0348063-0.00670853j 
-0.0190162+0.00794775j 0.0274399+0.0063064j -0.0258303-0.0440476j -0.012686-0.0177614j -0.0459816+0.0023067j -0.0298879-0.0747701j 0.00950234-0.00457415j -0.0222531-0.0375695j 0.0476098+0.0124283j -0.0168946+0.0113171j -0.0110004+0.0132645j 0.0494019+0.0455148j 0.0159008-0.0238735j 0.0227054-0.0140246j -0.0245017-0.0389016j 0.0476852-0.0467712j -0.0340875-0.0283783j 0.0430212-0.0457042j 0.0518698-0.0402665j -0.00995995-0.0173923j 0.0117303-0.016161j 0.0367123-0.0236938j 0.00253619-0.0145195j 0.0153799-0.0600986j 
-0.017995+0.00136146j 0.0275982-0.00370286j -0.00908576+0.00278629j 0.00306581+0.00794138j -0.0461782-0.0128174j -0.036634+0.0131678j 0.00268542+0.0103101j -0.00588157+0.00678583j 0.0347872-0.00294494j 0.00969639+0.00403375j 0.0298306-0.00559339j 0.039694-0.007135j 0.0248128-0.0102064j -0.0375812+0.00306413j -0.00972624+0.0123422j 0.0176636+0.0193908j -0.0264383+0.0319917j 0.0259808+0.0103175j -0.0297783-0.0217832j 0.018687+0.00957616j -0.0102103-0.0065947j -0.00964717-0.0423157j 0.0355375+0.0164004j 0.0166043-0.0605869j 
-0.0221222-0.000376132j -0.0189446-0.0051744j 0.00489998+0.00863302j -0.0187361+0.00310398j 0.0570634-0.00217324j -0.0184637+0.0111924j -0.0157808-0.00537674j -0.00275108+0.00463527j -0.00617464+0.00348682j -0.00203942-0.0148338j 0.00436572-0.00636651j -0.00314889+0.00217306j 0.00670577+0.00381725j -0.0127585-0.00957941j 0.010707+0.00759765j -0.0158812+0.00744105j 0.00856335+0.00381049j 0.00185472-0.000409149j -0.00855749+0.00581816j -0.00464951+0.00674894j 0.0055092-0.00358826j -0.0112142+0.010661j -0.00252977+0.00722744j 0.000426052+0.0112798j 
-0.0189908+0.0112703j -0.00392735-0.0206566j -0.00913533+0.0155643j -0.00103454-0.00147171j 0.0103297+0.0263058j -0.010525+0.0151092j -0.00279926+0.00837938j 0.00801195-0.0133394j 0.0113125-0.0196826j -0.0115457+0.0282312j 0.00370878+0.00352229j 0.00889102-0.0268832j 0.0014856-0.00238592j -0.00418723+0.0249042j -0.00574809+0.0230442j 0.00266394-0.00142854j 0.00144216+0.0183481j 0.014722-0.0132139j -0.0245365+0.011073j 0.00674282-0.00848618j -0.0138992+0.00430688j -0.0261206-0.00929094j 0.0312114-0.0220642j -0.025433-0.0120184j 
-0.00657527-0.0189926j 0.0196882+0.00319218j -0.0191627-0.03588j 0.00604442+0.00388878j 0.0105134-0.0236696j -0.041279-0.036746j -0.00604113+0.0181053j -0.0190859-0.0209881j 0.00794814+0.000392254j 0.0184895+0.0210495j -0.00513256+0.00366466j -0.00618387+0.0169398j -0.0102395-0.0437519j 0.0117893-0.0234626j -0.0161979-0.012111j 0.0108075-0.0233083j -0.00199247-0.0287766j 0.0197484-0.0256263j 0.00548194-0.0177991j -0.00277894-0.011585j -0.00557998-0.00662284j -0.00592034-0.00297968j 0.00901437-0.00550262j -0.0107765-0.00239715j 
0.0124703-0.0267128j -0.00256238+0.0435531j 0.0297636+0.00268527j 0.0762931+0.0581866j 0.0205414+0.0362906j 0.0303975-0.049456j -0.0135503+0.00437208j 0.0335387+0.0469191j -0.0430795-0.00549617j 0.0224115+0.00680678j -0.0357435-0.0250793j -0.107456-0.0870741j 0.015072+0.00540292j 0.00134465-0.00464377j 0.0251126-0.0191356j -0.0384393+0.0233628j 0.0154785-0.0426083j -0.0111902+0.035404j -0.0202133-0.0268281j 0.0147844+0.00719509j -0.0103003-0.0140209j -0.047184+0.0137682j 0.0162161-0.0155608j -0.0289593-0.0193049j 
0.0154487-0.0166273j -0.0645009-0.00917856j 0.0082628-0.00378828j -0.0740532-0.0358965j -0.0167182+0.0164255j 0.0563543+0.00729235j 0.0470526-0.0264255j -0.0599644-0.0301831j 0.0194391-0.0093506j -0.00382625-0.00237992j -0.000936972+0.0364221j 0.0969786+0.0405756j 0.0449784-0.00217258j 0.03093-0.00558723j 0.0744903-0.0530939j 0.0056465-0.0332874j 0.010438-0.000175846j -0.00441857-0.0674277j 0.0322336+0.0336995j 0.00916485+0.00658989j 0.00606563-0.0104294j 0.00730202+0.0216375j -0.00699068+0.014612j 0.0379528+0.031036j 
-0.00700619+0.00828148j -0.00930957+0.0138216j -0.012582-0.0318614j -0.0377645+0.00105205j -0.0144343-0.0235866j 0.0274425-0.0889684j 0.0160985-0.0107934j -0.0507484+0.0167737j 0.0627047-0.00805876j -0.0112089+0.00761968j 0.0289315-0.0312921j 0.0605586-0.0297522j 0.0122533-0.013684j 0.0517912-0.0255236j 0.0637974-0.0529422j 0.0347133-0.0155803j 0.0209009-0.0440688j -0.020043+0.00937394j 0.0668545+0.00456098j -0.00713399-0.000712262j 0.0373896-0.014855j 0.0735679-0.0432091j -0.0656251+0.0181645j 0.0768407-0.0842009j 
