-0.0876132-0.0175136j 0.0801044-0.113512j -0.0128843+0.00463938j 0.0620923+0.0899091j -0.0261458-0.029047j 0.0396269-0.0306597j -0.0481142-0.0950051j -0.0477892-0.0300556j -0.0626299-0.0308281j 0.111524-0.0683948j -0.16606-0.0856223j 0.00570985+0.148672j -0.142555-0.014522j 0.0126521-0.151766j 0.13556+0.0678763j 
-0.0297344-0.0619283j -0.116302+0.169087j 0.0371396+0.055184j 0.0819317-0.0538736j -0.0430899+0.0268229j -0.0414459+0.0181466j -0.197432-0.0653635j -0.0108307-0.29672j -0.0622244-0.293037j -0.200729+0.041507j 0.050214-0.101379j 0.10431+0.160255j 0.0995663+0.0681053j -0.0162596+0.165847j 0.0440318+0.0845407j 
0.0452187-0.0356775j -0.101337+0.0558004j 0.00698248-0.0541514j -0.0175061+0.0978877j 0.191897+0.0179891j -0.0121914-0.0743372j -0.125941-0.0281289j -0.109626-0.0337021j -0.0294056-0.0753767j -0.0128568+0.103699j 0.0017399-0.103546j 0.0386285-0.0264342j -0.05323-0.00106591j -0.0799271+0.0882303j 0.0217247+0.0964075j 
-0.0436327+0.112933j -0.0814333+0.0566114j 0.195974+0.118869j -0.129979-0.0591624j -0.178194+0.0987582j -0.2161+0.0601973j 0.100209-0.0424746j 0.0750804-0.0405248j -0.0733014+0.154524j -0.153738-0.0438306j 0.18143+0.155938j 0.0206098-0.0437079j -0.0034094-0.0901726j 0.00769907+0.0562298j -0.0145156+0.0574556j 
-0.122721+0.270918j -0.0186614-0.142755j -0.0260511+0.126099j -0.0548061+0.0346082j -0.0224149-0.0389172j 0.0146239+0.301348j -0.0549098-0.0726483j -0.158131+0.313027j 0.0598411+0.0647137j -0.0265314+0.125553j -0.0891253+0.0306683j 0.000248121-0.153418j -0.109504-0.111043j -0.0833943-0.0925021j 0.0144411+0.184066j 
0.260855-0.138487j -0.0477588+0.0525835j 0.108406+0.0690347j -0.194799+0.109131j 0.175451+0.0537693j 0.0341088-0.380186j 0.176392-0.0482073j 0.0383167-0.189084j -0.0708964+0.0996482j 0.0500871+0.0812102j -0.00860277-0.00233249j 0.00747-0.0390245j -0.154041-0.0640707j -0.0820727+0.207667j 0.0275055+0.156796j 
-0.0272525+0.111094j -0.042465-0.0154559j 0.00843804+0.127476j -0.110816+0.0347963j -0.0649332+0.011468j -0.017227+0.0259199j 0.0518391-0.0883357j -0.0238006+0.0600119j 0.0225379+0.00461085j 0.014638+0.0781019j 0.0184216+0.0211884j -0.00757075-0.0327725j -0.0507349-0.00165123j -0.0357699+0.0289913j 0.0776172+0.17044j 
0.00673849-0.0368588j 0.102871-0.00498031j -0.11366-0.0885913j -0.0139634-0.0939281j -0.0736231+0.0395041j 0.0551919-0.0130884j 0.057423+0.0874363j 0.0500421-0.0200437j 0.050788+0.0265904j 0.0449726-0.041487j -0.00410925+0.0143228j 0.0176029+0.0637156j 0.108464+0.0910628j 0.0530343-0.0463927j -0.0181917-0.141132j 
-0.0817618+0.0987745j -0.100287-0.027919j 0.119962+0.0780074j -0.074812-0.00154299j -0.0492793+0.0504171j -0.0474016+0.00364596j 0.0209227-0.0652347j -0.0276483+0.00528892j -0.0567859+0.0263227j -0.0617003+0.0444632j 0.0840108+0.0235974j -0.0196612-0.036748j -0.0428057-0.030919j -0.00222362-0.000824618j 0.0343853+0.0823911j 
0.023435-0.091207j 0.131213-0.114098j -0.0115678-0.0591572j 0.00479056-0.0373822j 0.017535-0.00358658j 0.0581949-0.0296207j -0.0448464-0.025756j 0.00542469-0.00889728j 0.0116701+0.0400516j 0.0554314-0.023904j -0.0399276-0.0439017j -0.0251722+0.0199199j -0.0436377-0.00487863j 0.0144363-0.0392139j -0.00583187-0.100845j 
-0.124191+0.133983j -0.0169555-0.0696372j 0.0119091-0.00516253j 0.00720038+0.00363878j -0.0136974-0.0484479j -0.00221654+0.0830947j 0.0139604-0.0282473j -0.0462989+0.0706569j 0.00689951+0.0324064j 0.0112066+0.0188101j -0.000905403-0.023533j -0.0143838-0.00259203j 0.000173913-0.0436519j -0.000413393-0.030387j 0.0197421-0.00648937j 
0.0398538-0.0681932j -0.0783365-0.0318882j 0.107123+0.0271288j 0.0102948+0.0548202j 0.0422556+0.0508012j -0.0387991-0.0997425j -0.0344427-0.0259119j -0.0229405-0.00849132j -0.090629+0.0183688j -0.00287349-0.0015896j 0.0488727-0.0227411j -0.0544099-0.0171285j -0.0779716-0.0143753j 0.0159683-0.00529971j 0.001907-0.0200454j 
0.0395495+0.0229206j 0.0699926-0.0708138j 0.0271559+0.0678733j -0.0313324+0.0491973j -0.0221344-0.033027j 0.0654242+0.0123956j 0.0113826-0.0829084j -0.0248361-0.0386411j 0.0192236-0.0376999j 0.0107862+0.034501j -0.00675092+0.0172075j -0.0249643-0.0535332j -0.0776503-0.0707602j -0.0213697+0.0191458j 0.0467949+0.0831399j 
