0.0188546+0.0925313j 0.141726-0.0497141j -0.0137643-0.0099987j -0.0278115+0.0489432j 0.217085+0.00927377j -0.120788-0.0257559j -0.145117-0.0757006j -0.0878109-0.112276j 0.0283902+0.0904129j 0.194489-0.0359791j 0.023732+0.0588017j 0.0790402-0.0407941j 0.141892+0.0905568j 0.251455+0.0522293j 0.193593-0.167208j 0.184281-0.00543052j 0.108347-0.0105433j -0.199518-0.127335j 
-0.0321851+0.0784326j 0.250239-0.149881j -0.112467+0.101164j -0.0122847-0.0195375j -0.118647+0.0423882j -0.315475+0.0472595j -0.0504476-0.0106895j 0.081647-0.0370231j 0.0573944+0.00775502j -0.227471-0.136514j -0.0192207+0.0339558j -0.0647568+0.153854j 0.291592+0.140402j 0.0382434+0.101608j 0.208397-0.0930502j 0.0203952-0.145643j 0.0221921-0.0247965j -0.0134902-0.121106j 
0.00132585-0.0397287j -0.00875217-0.0208785j 0.0280838+0.0156719j -0.00638768+0.0545057j 0.0694319+0.028343j 0.0125691-0.0246626j 0.0110748+0.0125902j -0.0130784-0.0507345j 0.045605+0.00142583j 0.0022387+0.0158759j -0.0260329+0.0391031j 0.103634-0.00301454j 0.044155-0.0406197j 0.0409408-0.0130149j 0.0363737+0.0607413j -0.0284488-0.0090681j -0.0244997-0.0183094j -0.0356392-0.0560486j 
-0.0453319-0.141296j -0.015543+0.00729263j 0.016138+0.022307j 0.00045638+0.0683593j -0.0177379-0.0408682j 0.00701885+0.0818239j 0.117194+0.013301j 0.0677357+0.043005j 0.120937-0.0519709j -0.220265-0.00872474j -0.0384997-0.0398954j 0.0964554+0.0251295j 0.0911925-0.140234j -0.121673-0.000403708j 0.0180103+0.177214j -0.175004-0.0433713j -0.106749-0.0441083j 0.0246799-0.0565947j 
-0.195964+0.309305j 0.00161216+0.210799j -0.0143579+0.097912j 0.0412233-0.0756968j 0.0437879-0.0139835j -0.060344+0.118409j -0.057018-0.0111182j -0.00729627+0.0786717j -0.151763+0.196794j -0.0148729+0.342391j -0.0173998+0.0521362j 0.021558+0.122651j -0.0803948-0.220912j -0.0571281+0.266395j 0.016723-0.0569616j 0.0279736+0.0446153j -0.0528938-0.112364j 0.00510603+0.169618j 
-0.0674051+0.144915j 0.041308+0.00973771j 0.022544+0.0815091j 0.0718571-0.067262j -0.0309302+0.0337529j -0.00615162-0.0216512j -0.0623642+0.0422806j 0.0182534-0.0488096j -0.0790755+0.0682352j -0.0523198+0.182117j 0.019848+0.0541711j -0.0054576+0.138467j -0.00611864-0.0666582j -0.00348989+0.0900559j 0.0390078+0.00175638j -0.035209+0.0296319j -0.0100045-0.0154794j 0.0301595+0.0363356j 
-0.0127066-0.0208698j 0.00877018+0.0237135j -0.00909802-0.00427992j -0.00818268-0.00215036j -0.0368739-0.0164651j -0.0514619-0.00433371j -0.0186605+0.0173594j 0.00140737+0.026817j -0.0018939+0.0345647j -0.00998725-0.0888486j 0.0308406-0.0241106j -0.0346045+0.0212341j 0.00872065+0.0346572j 0.0292876-0.0799842j 0.0169758+0.0159805j 0.0171333-0.0349776j -0.0224622-0.0141934j -0.000788384+0.0778958j 
-0.0823244+0.107747j 0.0948568+0.087406j -0.0601385+0.0509512j 0.0343515-0.0158326j -0.00718696+0.00626545j -0.12534-0.0174976j -0.0899928+0.0635072j -0.0399924+0.0401266j -0.0720727+0.171274j 0.0397946-0.0709769j 0.00683851+0.0225761j -0.0267982+0.102396j 0.0429684+0.0136839j 0.115223-0.0856502j 0.082549-0.012063j 0.0261141-0.0686657j -0.0297407-0.0369592j -0.00836598+0.135993j 
-0.00232909-0.00358135j 0.0136092+0.103415j -0.00244925+0.0241004j -0.00916179-0.018954j -0.0135246-0.00164927j -0.0238058-0.0264706j -0.00998559+0.0728808j 0.00774337+0.0628159j 0.0139976+0.0551029j 0.0393906+0.00936636j 0.00711673-0.0115737j -0.0242045+0.0642994j -0.00719513-0.0142294j 0.0173916-0.046635j -0.0329479+0.0227903j -0.00742234-0.0876277j -0.070669-0.124391j -0.0588934+0.0648256j 
-0.00346233-0.011501j 0.00976137-0.0316194j -0.0016964-0.0425944j 0.016847-0.0207061j 0.0639206-0.00542191j 0.0283768+0.00341634j 0.0126708+0.035341j -0.0430122-0.029317j -0.00324207+0.0260607j -0.0198268+0.0264945j 0.040091-0.00642478j 0.00187488-0.0330786j -0.0142408-0.0321916j 0.0322595+0.00128441j 0.0782706+0.0156422j -0.0147175+0.0380921j 0.0228762+0.019123j -0.00384337-0.0168095j 
0.0718312-0.0378415j -0.0852491-0.0668443j 0.0439593-0.0168404j -0.0276349+0.0259115j 0.0122535+0.00445202j 0.103844+0.00572938j 0.00553103-0.0721016j -0.00136453-0.0726055j -0.03117-0.0438043j 0.0305649+0.0738679j 0.0013248-0.00429418j 0.0588811-0.102122j -0.05205+0.00325319j -0.0154947-0.00346239j 0.00497866+0.0200884j -0.048508+0.0705461j 0.0814398+0.0941635j 0.0189434-0.0988291j 
-0.0343799+0.00397166j 0.0106448+0.0645261j 0.0081087+0.016554j 0.00724437-0.00440849j -0.0061286+0.0069808j -0.0276992+0.00641614j 0.0111112+0.0316941j 0.0249558+0.0129094j 0.0122741-0.0103646j -0.0087826-0.0020113j 0.00855008+0.00117645j 0.0131311+0.0463789j 0.0366988-0.012919j -0.0388809-0.0138987j -0.0416874+0.0147905j 0.00990573-0.046574j -0.041299-0.0585272j -0.0230098+0.0210242j 
0.0109677-0.0370871j 0.000447737+0.0218755j -0.00990421-0.00410811j 0.0203699-0.00216019j -0.0110374+0.0237264j 0.0167858-0.0739838j -0.0157887+0.000693398j -0.00754301+0.0208358j 0.0503495+0.0176543j -0.00705771-0.0111118j -0.0397056+0.00375334j -0.0233589+0.0513005j 0.011063-0.0489974j -0.0213668+0.00226143j 0.0159919-0.00702628j 0.000170271-0.0190218j -0.0636242-0.0411743j -0.0110332-0.0122052j 
-0.004619-0.0567584j -0.0847326+0.0916712j -0.00100252-0.0132808j -0.0579046+0.0127585j -0.0148602-0.0267926j 0.000313432-0.0560348j -0.020056-0.0200577j -0.000849821+0.0285519j 0.0394887+0.0198162j 0.0260658-0.049967j -2.14609e-06-0.0112573j -0.017184+0.0318021j -0.0249961-0.086886j -0.0643996-0.0184591j -0.0486619-0.0144773j -0.0113772-0.00868326j -0.0763423-0.0150718j 0.00851289-0.00111095j 
-0.0280587+0.0203444j 0.0403569-0.00954636j 0.00949292-0.00357724j 0.016872+0.0449529j 0.0144707-0.0203122j -0.0418463-0.0162328j 0.0203545+0.0241821j -0.00131121+0.0117854j 0.0165338+0.0250022j -0.0346554-0.025679j -0.0249666+0.0071305j -0.00749548+0.0071914j 0.0326518+0.0019809j -0.0143093-0.0190661j 0.0490872+0.0136789j -0.000455577-0.0069744j -0.0194363-0.0215632j -0.00442063+0.0209581j 
-0.0394322-0.0447974j 0.00314039+0.000978598j 0.034684-0.00196034j 0.00623908-0.0192595j -0.0108242+0.00318583j 0.0094495-0.0057051j 0.0569027+0.00393428j 0.0253244-0.0165262j 0.0149867+0.0116759j 0.0150482-0.0081245j 0.0211266-0.00796587j 0.0116666-0.0389699j 0.0131689+0.0240757j -0.0165489-0.0204058j 0.0421372+0.0362619j -0.00232767+0.0425644j 0.00873653-0.00211368j 0.00121677+0.014503j 
0.0120524-0.0136365j -0.0400631-0.0135639j 0.0392436+0.0062443j -0.0271166-0.0176578j 0.0125342+0.0634625j -0.00598963+0.0190961j -0.00671824-0.0149968j 0.00785241+0.00695139j -0.0361028-0.00817151j 0.00159585+0.0252038j -0.00475501+0.00142884j 0.0387817-0.0203979j -0.0142921+0.00754579j 0.00723121-0.00495013j -0.0192121+0.0118618j 0.00760647+0.00759184j 0.0203338+0.0263065j 0.00414785+0.00596749j 
-0.0152859+0.00508907j -0.0214111+0.0280904j 0.023118-0.00222488j -0.0122867+0.00521478j 0.0148192+0.00318593j 0.00140456-0.00451303j -0.00629933+0.00366258j 0.000993954-0.0118612j -0.0206352+0.000654885j 0.0663409+0.0197692j 0.000385514+0.0040256j 0.015544-0.019188j -0.00469756+0.0162942j -0.000724806-0.00909428j -0.0222366-0.0112609j -0.00933792+0.0163473j 0.0187792+0.0175383j 0.00860147-0.00837296j 
-0.0143075+0.0038429j 0.0368499+0.0180507j -0.00484805-0.000806039j 0.0175812-0.0189049j -0.0135325+0.0184395j -0.0218249-0.0164645j 0.00336884+0.00136219j -0.00333215+0.0115792j 0.00898437+0.0302527j 0.0338564-0.00586856j -0.00570387-0.00446393j -0.0322336+0.00294721j 0.0173727+0.0342163j 0.00777984-0.00203401j 0.037583-0.0093106j -0.0151139-0.00155309j 0.00719782-0.0172466j 0.00136825-0.00359769j 
0.00586506+0.0113267j 0.0259909-0.0341917j -0.00254066-0.0234139j -0.0193559+0.00319392j 0.0163027-0.00651395j -0.0536772+0.010612j 0.00677068+0.0104506j -0.0186749+0.00435467j 0.00232958+0.0379315j 0.0123538-0.025153j 0.00756541+0.000300693j -0.0364036-0.0158788j -0.00816876+0.025535j 0.0498548+0.0245748j 0.0228357-0.0195774j 0.0130192-0.012985j 0.0173301-0.0111055j -0.0213255+0.0374347j 
0.0132194-0.0313077j -0.0392805+0.0345345j 0.0251485-0.0503216j 0.0266529+0.0205714j -0.0367826+0.0168305j 0.0100006+0.00735696j 0.0277554-0.000266863j -0.0163102+0.00798191j 0.042559-0.0250024j -0.013031-0.00699724j 0.00913887-0.022739j -0.0128118+0.0102219j -0.011186-0.0410655j -0.0189458-0.0098412j -0.0172869+0.0150441j -0.00725984+0.00552605j -0.0297849-0.0180184j -1.66333e-05-0.0205607j 
0.125509-0.120409j -0.0161975-0.0789253j -0.041442+0.00673775j -0.0479684+0.0453403j 0.00518417-0.0104993j 0.0594121-0.0115605j -0.0235882-0.0115236j -0.0145341-0.0567571j 0.0225318+0.0042987j -0.018741-0.0445374j 0.0135121-0.0101953j 0.0286111-0.0298042j -0.0243756+0.0315477j 0.00673072+0.038134j -0.00437623+0.0106181j -0.0103023+0.0128239j 0.00613427+0.0555177j -0.0156835-0.0290803j 
-0.0515298+0.0191718j 0.0666566-0.0877913j 0.010922+0.00298477j 0.0563847-0.0119892j -0.019088+0.0128007j -0.039121+0.0119527j 0.0212699-0.0460726j 0.0212187-0.0744234j 0.000418727-0.005586j -0.0440699+0.014274j -0.00706647+0.0252256j 0.0178695+0.000392629j 0.0413519-0.022422j 0.0106784+0.0946247j 0.0451136-0.0191567j -0.0199765+0.0325241j 0.063251+0.0984167j 0.0071053-0.052893j 
0.0166811-0.0784509j 0.0987526-0.0016408j -0.00605729+0.0193294j 0.0144855+0.0448473j -0.0247647-0.0320784j -0.0548314-0.0178933j 0.0804215+0.0698086j 0.0472907+0.0381181j 0.0514285+0.0287527j -0.0355672-0.0691311j -0.00679806-0.0177975j -0.0283425+0.0371673j 0.0885274+0.0562061j -0.0380638+0.00750577j 0.0415002+0.0342045j -0.0225224-0.0348982j -0.0730333-0.0372497j -0.0202872+0.00257644j 
