0.146037-0.16051j -0.109676-0.489944j -0.655206+0.0694602j -0.0422994-0.432785j 0.120885+0.0561356j 0.0556751-0.118203j 0.032622-0.078137j 0.00866669-0.0462744j -0.00128781-0.00572359j -0.0163839-0.00399551j -0.0347831-0.0360387j 0.0500936+0.0377448j -0.0560436+0.00550694j 0.0159191-0.011391j 0.0141809-0.011731j 0.0270089-0.0365805j 0.0279113+0.0290912j -0.0304754+0.00983601j -0.0273273+0.0339742j 0.0106476+0.0135667j 0.0460957+0.0122479j -0.047567+0.0463941j 0.0113355+0.031905j -0.0199718-0.0259734j 0.00815339+0.00107247j -0.0272939-0.0265744j -0.00624998-0.0057934j -0.0386799-0.00767555j 0.0397035+0.0241239j -0.0385117+0.0192742j -0.0368867+0.0430627j -0.0179849+0.0367311j -0.0149452+0.0237497j -0.0637144+0.0149094j 0.021094-0.0308237j -0.0301617+0.0352411j 
0.000431804-0.0665116j -0.0509916-0.013126j -0.000954016-0.02268j 0.0539014+0.0374053j 0.0344285+0.0259553j 0.00196458-0.100201j 0.0569081+0.0304615j -0.0207656-0.00839359j 0.0339053+0.124122j -0.033458-0.0587596j 0.0606511+0.104783j -0.0942118+0.172127j 0.0453608+0.0771353j 0.00562287+0.00614962j 0.0912466+0.0518387j -0.0707448-0.0480608j -0.00161893-0.00739396j -0.0651-9.45745e-05j 0.219233-0.1122j 0.107951-0.015789j -0.0408966+0.0434359j 0.0230083+0.00831343j -0.0109018+0.00483942j 0.0168577+0.0152413j 0.00776331-0.0531916j 0.0215914-0.0230787j -0.134269+0.0243478j 0.0938894-0.0135833j 0.328042-0.141058j -0.0667971+0.0912495j 0.11392-0.0867468j -0.0450023+0.0201533j 0.143117+0.0391851j 0.0113671-0.0332735j -0.0968279+0.16562j -0.186417+0.191227j 
-0.0125986+0.0916122j 0.0266779-0.0348485j 0.0214638+0.0179903j 0.00925611+0.0362038j 0.0152968+0.0215479j 0.00870308+0.0226854j 0.0522671-0.0285019j -0.057293-0.0593243j 0.0213423-0.10538j -0.0188645+0.0113901j 0.0462432-0.00397252j -0.0525965+0.0568467j 0.123257-0.0851606j 0.0559011-0.0182547j -0.104851+0.103399j 0.0990441-0.0389785j -0.131925+0.00639661j 0.0986603+0.0343218j 0.0322618+0.0222324j 0.0920293-0.139457j 0.0122389+0.0812771j 0.0174586-0.189767j 0.129198-0.146029j 0.155882+0.00296845j 0.0639622-0.115077j -0.0951968+0.138615j 0.15432-0.110796j -0.153448+0.0081686j 0.0785061-0.0727911j 0.0214577+0.0208797j 0.117042-0.0447801j 0.0254328+0.109181j -0.0837196+0.0740745j -0.0869495+0.121789j 0.0533584-0.03539j 0.00668886+0.043835j 
0.0636307+0.0451297j -0.00154073-0.0639619j -0.01437-5.77306e-05j -0.0202365+0.0324256j 0.0435849+0.0100281j 0.0390692+0.00154194j -0.041742-0.0665097j -0.0640541-0.0681954j -0.00977919-0.141716j 0.0954311-0.0257195j 0.0232592-0.0265309j 0.0419728-0.0666876j -0.00887217-0.0382198j 0.0497924-0.036071j 0.00543885+0.0269271j 0.0350069+0.022962j 0.0205758+0.0417368j -0.127447+0.0421334j -0.102037+0.0144939j -0.0120555-0.0775966j 0.0286122+0.0220218j 0.0070403+0.17147j 0.0515456-0.0980073j -0.191555-0.019122j 0.0824231-0.0238908j 0.0611884-0.0142035j -0.22754+0.132854j 0.268932-0.105048j -0.0713844+0.122273j 0.0829314+0.0499991j 0.0189574-0.162904j -0.0210948-0.145255j 0.134898-0.0939797j 0.179931-0.140855j -0.072045+0.0268109j 0.0435242-0.0908146j 
0.0275652-0.0724225j -0.0124721-0.0185054j 0.0175441-0.0072j -0.0103581+0.104947j 0.000602581-0.000518414j -0.0199488-0.0114487j -0.0445612+0.00163403j -0.0122048+0.0256675j -0.00639374-0.0172723j -0.0598434+0.0787692j 0.0300994-0.0742831j 0.0725612-0.156299j -0.126385+0.0020847j 0.013932-0.0235317j 0.0993182-0.0484266j -0.0824465+0.0655154j -0.0592976+0.118222j 0.0326194-0.0585674j 0.0524024-0.0692792j -0.0996804+0.00295552j 0.0866719-0.103201j -0.102644+0.00773691j -0.0549241+0.0544336j 0.236194-0.0865149j -0.178213+0.0285149j 0.123432+0.0227009j 0.121057-0.0576466j -0.0539652-0.118758j 0.0284125-0.0385168j -0.0614978-0.109013j -0.19578+0.0656936j -0.0783263+0.074438j -0.101375+0.0570671j 0.091348-0.136453j -0.0917004+0.125882j -0.0641721-0.106279j 
-0.0149978-0.0580613j 0.028489-0.0154374j -0.00851761+0.0212697j 0.000769317+0.0462552j -0.0233059-0.0311184j 0.00664496-0.00543094j 0.013305+0.0128024j -0.000365894-0.080038j 0.105239+0.186931j -0.0362851-0.0946926j -0.0595732-0.0383592j -0.0688249-0.0388538j -0.0702442-0.00665821j -0.0859979-0.125162j 0.0359041-0.0134701j -0.0156037+0.0148314j -0.0868914-0.0336033j 0.112096-0.00367095j 0.13018+0.0020577j 0.0316796+0.0728546j 0.170551+0.103002j -0.156195+0.0266142j -0.211139-0.071501j -0.220386-0.168476j 0.0815985+0.284529j -0.131536-0.0455509j 0.164445+0.257332j -0.12261+0.0159754j -0.0503124+0.00403678j -0.0722601+0.103012j 0.12778-0.185135j 0.216658-0.0104216j -0.26438-0.0414499j -0.00855833-0.101183j -0.0200544+0.242091j -0.0300165-0.0220715j 
-0.0846281-0.0987373j -0.0194953+0.0380558j -0.0090953-0.00646316j 0.0368371+0.00164144j 0.0271792+0.110325j -0.0525576-0.0570156j 0.11667+0.0941683j 0.0634471+0.255611j -0.0391182+0.0978745j -0.108123-0.0115447j 0.0254136-0.0966632j -0.093566-0.21117j 0.203595+0.108409j 0.173432+0.110556j -0.0920637-0.171725j 0.0305807+0.0194033j -0.134322-0.0511755j 0.125476-0.00786231j -0.0674916-0.0243339j 0.106031+0.235695j -0.16539-0.216728j 0.0607654+0.123688j -0.184315+0.0436926j -0.0439247-0.0559289j 0.0281076+0.0723674j -0.0451821-0.101486j -0.0248899+0.00193807j 0.0295946+0.102747j 0.0492812+0.00906699j 0.0270058-0.206923j -0.000173516+0.0718013j 0.0337662-0.0649355j 0.0838762-0.0346843j -0.07655-0.0614587j 0.0219866-0.0869545j 0.0441933-0.0556972j 
-0.00965378-0.100467j -0.1404-0.120566j -0.00751718-0.0190851j 0.132371+0.173551j -0.0737464-0.0454232j 0.0492119-0.0222538j 0.0951243+0.166015j -0.0631754-0.132584j -0.0889946+0.142358j 0.200151-0.0221802j -0.0510135-0.0431206j -0.145341-0.0215251j 0.14404+0.183074j -0.0355111-0.0613006j -0.0797243-0.0424687j 0.0857822+0.0494228j 0.0273028+0.0388626j -0.0664233+0.00163997j 0.0685944-0.0571046j 0.0544331+0.0497632j 0.0581784+0.132046j 0.0928929+0.100031j 0.1473+0.0186554j -0.00832724-0.0131937j 0.00970882-0.0851103j 0.0544843-0.0410238j -0.0245885-0.105102j 0.0798851-0.109318j -0.118995-0.265491j 0.122273+0.0451324j -0.0373602-0.0466837j -0.0968228+0.0118799j -0.0347791+0.0465922j 0.146153-0.00202525j -0.0440945+0.281296j -0.0383662+0.0444402j 
-0.00376731-0.0357627j -0.0196764+0.0439786j -0.00328-0.00727827j 0.00876061+0.00592137j -0.0246539+0.0893227j 0.00783226-0.0308125j -0.00443274-0.00741669j 0.00501788-0.00422947j -0.0176721-0.0306614j 0.0126626+0.0482361j -0.0167459-0.000590587j 0.0172275-0.0468717j -0.0247605+0.0616863j -0.0203085-0.0314399j -0.0300343+0.0603215j 0.000584499+0.00618522j 0.00588052+0.0104397j 0.0162605-0.0203896j -0.0680517+0.0642983j -0.0360933+0.038965j -0.0221149+0.0557271j -0.00493126+0.0169283j -0.0286086+0.076679j 0.0578638-0.0725841j 0.0202212-0.0984625j 0.0245986-0.0219579j 0.0326039+0.0355713j -0.0285757+0.0141447j -0.106096+0.00699055j 0.0659038-0.0539934j -0.100585+0.0345198j -0.00112135-0.00814663j 0.0677966-0.144899j -0.0226765-0.00974488j 0.143251-0.0899329j 0.0613258+0.0968116j 
-0.00442959-0.0164028j 0.0198988-0.00872599j 0.0361097-0.0181847j -0.0284468-0.00769134j 0.019891+0.0155407j 0.000742289-0.0168677j -0.0127691-0.00251733j 0.0103544+0.0366965j 0.0300247+0.00514833j -0.00711121-0.031454j -0.0146887-0.00921081j 0.0163019-0.0113261j -0.0324828+0.0290695j -0.00248412-0.015165j 0.0186423-0.00898049j -0.0251943+0.0372911j 0.0212063-0.0402351j 0.00501926-0.0104985j -0.0235452+0.0333253j -0.0125232+0.0415919j 0.0233614-0.0505886j -0.0901433-0.194957j -0.0980247+0.119564j -0.157585+0.0776689j -0.00458642+0.15129j -0.06131+0.242775j -0.153886+0.303364j -0.0283441+0.106212j -0.0639838+0.11363j -0.0639648+0.0331643j 0.183478-0.239194j 0.17039-0.0106999j 0.0268623+0.00868j -0.00188359+0.0264854j 0.013996-0.0392659j 0.0283537-0.00159113j 
0.0392511+0.0585142j 0.0926823+0.0253627j 0.0573096+0.0234337j -0.0291821-0.00309043j 0.0224854-0.0233515j -0.00101317+0.0300943j -0.0592713-0.0374152j -0.0294034-0.0293104j 0.0361881-0.0327193j 0.0050246+0.0670684j 0.0189132+0.0153443j 0.0391055+0.0271209j -0.0939091-0.0557973j -0.0597691+0.0142538j 0.0644326+0.0036283j -0.0545547-0.036682j 0.0445726+0.0586794j -0.0225767-0.0484004j -0.0237242-0.0287476j -0.0137654-0.032457j 0.128611+0.0351763j 0.15102+0.275377j -0.13774-0.0599293j -0.345764-0.0963932j 0.061437-0.0566291j -0.166929-0.174606j -0.119977-0.281696j 0.137987+0.0575193j -0.0440217-0.0114934j 0.0436428+0.038319j 0.0707891+0.104531j -0.0196419-0.134255j -0.0893025+0.059333j 0.0457148+0.0248848j -0.0544096-0.0103923j 0.0355707-0.0461552j 
0.0120352-0.055223j -0.0325433-0.165966j -0.0104049-0.00755282j 0.0260321+0.0579899j -0.00443946-0.0670734j 0.00355614+0.0402409j 0.0266569+0.102766j -0.0242302+0.0501645j -0.0549967+0.0195456j 0.0441412+0.0924363j 0.00854295-0.0557014j -0.0267667-0.0575115j 0.0148782+0.0414317j -0.0116662+0.0562012j 0.00447872-0.109375j -0.0137444+0.0655471j 0.0121933+0.063655j 0.0409791-0.0702805j 0.0217464-0.0758575j -0.0287931+0.00230519j 0.0568398-0.124026j 0.0361294-0.19429j -0.00301246+0.123984j 0.00784402+0.106823j -0.146809+0.0361858j -0.0902663+0.276022j -0.0172617-0.158343j -0.107719+0.069046j -0.129105-0.0955252j -0.0101228-0.058767j 0.107104-0.0277339j 0.0198872+0.0935722j -0.170084+0.262092j 0.0347884+0.15557j -0.0769123+0.0344474j 0.040093-0.14791j 
0.138977+0.0320137j 0.0163763-0.0740553j 0.0321374+0.00962479j -0.118548+0.0423377j -0.169516-0.0522413j 0.0948972+0.0540377j -0.0410822+0.0289176j 0.109814-0.0360011j -0.0174148-0.00942312j -0.0823705+0.075201j -0.0635929-0.0530334j 0.139546-0.000915742j -0.148213-0.00403354j 0.0493441-0.0543418j -0.107128-0.0245441j -0.0462063+0.0272122j -0.00213773+0.0963877j 0.0377569-0.0576019j -0.0932045-0.0723813j -0.111324-0.0575605j -0.203402-0.0550337j 0.0226365-0.00280582j -0.29033+0.0406175j 0.0697398-0.0491132j 0.115598-0.00414725j -0.0757761+0.0185435j -0.102739+0.0185046j -0.0750564-0.00383963j -0.014305-0.241636j 0.0514888+0.0580875j -0.0141199-0.0453191j 0.0375556+0.0155511j 0.22895-0.0493226j -0.126372+0.0339369j 0.131739+0.00186224j -0.017745+0.0796561j 
0.103826+0.150064j -0.037568-0.0934631j 0.00922959+0.0218283j -0.039989-0.0168823j -0.0555478-0.288669j 0.0583031+0.103272j 0.0109552+0.0193683j 0.0932023+0.020371j -0.0469266+0.0745761j 0.0270626-0.101288j -0.101161-0.021849j 0.0251068+0.0620711j 0.0166467-0.195462j 0.0128641+0.0518044j -0.127569-0.183632j 0.0546622-0.0272517j 0.0525431-0.0643109j -0.0377307+0.0820434j -0.0812221-0.0306616j -0.0149881-0.0583741j -0.181914-0.0851927j -0.00467597+0.042675j 0.0732638-0.201248j 0.0235454+0.162333j 0.0716101+0.225101j 0.00879579-0.123243j 0.0939508+0.0076535j 0.0338268-0.108954j -0.143545+0.0112187j 0.0329368+0.104994j -0.0327699+0.0588131j -0.0210086-0.019359j -0.0381926+0.0664531j -0.0115155+0.0495105j -0.0904774+0.0437654j 0.0793878-0.282587j 
