-0.84866+0.00297892j 0.120791-0.00625409j -0.464318-0.00762745j 0.00109273-0.112639j 0.0235312+0.0358923j -0.00326775+0.0569275j -0.00550104-0.107013j -0.0565657-0.0539256j -0.0619403-0.042006j -0.0226458+0.0395809j 0.0606205+0.047793j 0.0135494+0.0157449j -0.0395886+0.0363956j -0.0154958+0.0227471j 0.0486495-0.00322609j 0.0444156-0.0130555j 0.0169184+0.0101971j 0.0233465+0.0147383j -0.00437881-0.00980462j -0.0322072+0.0158008j 0.00350267+0.0363745j 0.0103622-0.0136521j 0.00906638-0.0118115j -0.0294253+0.0132049j -0.0205108+0.0401972j -0.0196048+0.0221197j -0.0350147-0.00997759j -0.0194301+0.0330343j 0.00218157+0.0416124j -0.008913+0.0233094j -0.0537448-0.00258485j -0.0105704+0.0216557j 0.0430267+0.0176614j -0.000682167+0.0223368j -0.00463248-0.0171332j 0.0277131+0.0171985j 0.00905692+0.0272169j -0.0158164-0.0169974j -0.0052168-0.0607204j 0.0384191-0.0203637j 
-0.0183506+0.0195129j -0.0226487-0.00910755j 0.0559881-0.0108142j -0.0311157-0.0268005j 0.0582724+0.0618732j 0.0123335+0.0664549j -0.0409883+0.0365054j -0.0215665-0.0538488j 0.0295913-0.10004j 0.0147978+0.162499j 0.100015-0.161086j -0.0535724+0.0990496j 0.016652-0.00429836j 0.229949+0.12723j 0.0466445-0.0138995j 0.124022+0.0589891j 0.261742+0.0203879j 0.060557-0.0567305j 0.018206+0.145532j 0.0326792+0.0260061j 0.00187709-0.0218529j 0.01471+0.0615478j -0.128654+0.150583j 0.0113034-0.0684674j 0.0986656-0.0108257j 0.128405-0.00748887j 0.116287+0.07119j 0.08317+0.0025023j 0.00969724-0.096384j 0.0859891-0.04617j 0.118026+0.0349826j 0.0904714-0.053286j -0.0759136-0.0794621j -0.0767453-0.0187093j 0.0395929+0.0799442j -0.00117798-0.0267865j -0.00749719-0.0490822j -0.0350023-0.00554225j -0.0164175+0.104926j -0.118281+0.0919021j 
0.0646325-0.0286183j -0.0317447-0.0113164j -0.0291628+0.0233543j 0.0763053+0.0316301j 0.0150009-0.0100823j 0.00422545-0.00122841j -0.027571-0.00411957j 0.00664859-0.0326756j -0.0171953+0.0323814j -0.0124299+0.0380127j -0.0201688-0.00413015j 0.0285572-0.0151894j 0.0165728-0.0404791j -0.067538-0.0491496j -0.087196-0.0537254j -0.133723-0.00943297j -0.0240618-0.0107424j 0.037747-0.0265727j -0.00648952-0.0412736j -0.0856412+0.048836j -0.0234564+0.0616879j -0.051348-0.0533781j 0.188328-0.0661105j -0.058996-0.00367895j -0.126145+0.0406597j -0.0824384+0.0852268j -0.131137-0.0436377j -0.104084+0.10704j 0.115419-0.068671j 0.0103344+0.163838j 0.0801797+0.0578893j -0.0604001-0.0809401j -0.157416+0.141086j 0.287433+0.205304j -0.119403-0.32483j -0.0271845+0.112887j 0.132363-0.399758j -0.0168017+0.180214j 0.0288792+0.134162j 0.0471565-0.0989724j 
-0.0528959-0.0284242j -0.00480569-0.00513012j 0.00480884+0.0376481j 0.0997543+0.0219416j -0.00600239-0.0108777j -0.00584543-0.0151898j -0.0386612-0.0287705j -0.0856083+0.0169992j -0.00346422-0.0288092j -0.0978448+0.0463725j 0.0740394+0.0517958j 0.0832691+0.0772646j 0.026954+0.00822567j 0.135603+0.0722347j 0.120249-0.181665j 0.187084+0.0954008j 0.115654+0.0341399j -0.0285508+0.0267506j 0.166775+0.0677131j 0.101289-0.041179j -0.0852776+0.0576699j -0.0501023-0.0161984j -0.0983543+0.141058j -0.119092-0.151976j 0.121551+0.0546777j 0.171155+0.136343j 0.160616+0.0494184j -0.0615271-0.132665j -0.161623+0.014758j 0.136264+0.186356j 0.0224958+0.0871466j 0.0862887+0.0137558j -0.188742+0.268967j 0.0827679-0.0609654j 0.0114009-0.165262j -0.0824104-0.0238931j 0.0250252-0.155988j -0.0717505+0.157674j -0.0296777+0.027746j 0.0123521-0.100554j 
0.0418145-0.0033623j -0.00624494+0.00978756j -0.0283122+0.00799768j 0.0471187+0.106606j -0.0546512-0.0544621j -0.00494931-0.00744711j 0.0381372-0.00770468j -0.119619-0.00429507j 0.0395782-0.00750289j 0.0151454+0.105362j -0.0944708-0.0147583j 0.143942+0.149869j 0.152524+0.110272j 0.0632314-0.121226j 0.00599094-0.0727982j -0.237707+0.084953j -0.0150142-0.0341719j -0.0431704-0.121777j 0.125195-0.0430958j -0.0856361+0.0170565j 0.0311898+0.0732157j 0.0282935-0.0915668j -0.0377338-0.0838866j 0.0374609+0.203444j -0.0653016-0.047532j -0.0400968-0.00847297j 0.0265087-0.168524j 0.0463017-0.143818j -0.130617+0.0632394j -0.082744+0.0520578j -0.113973-0.00823397j -0.0475244+0.173787j 0.020841+0.0571879j -0.0510077-0.25821j 0.0500633+0.0577228j -0.131579-0.132958j -0.0579273+0.146356j 0.0146791+0.0648557j -0.0771583-0.108734j 0.145437-0.159845j 
0.0987431+0.0513693j -0.00720607+0.00340658j -0.157775-0.106875j 0.0620803+0.0964439j -0.00735479-0.0203714j -0.016427-0.00712911j 0.107928+0.0508879j -0.0471744+0.00627411j -0.0239363+0.0669651j 0.0884638-0.0173715j 0.19391-0.0314824j 0.141297+0.0548706j -0.29385-0.114539j -0.205655+0.062883j 0.0201161-0.0488176j 0.212375-0.102922j 0.148694-0.00829227j -0.0875961-0.159744j -0.229605-0.0731391j -0.0022501-0.0405955j 0.122956+0.0896741j -0.281801-0.236981j 0.0144969-0.0520569j 0.131375-0.0568107j -0.0211883-0.130946j 0.0475871-0.0482208j 0.16302+0.0754938j -0.112891+0.0459273j 0.0869514-0.046594j -0.000749064+0.113797j 0.0117886-0.0841156j -0.154242-0.0747593j -0.0423308+0.0514258j -0.00590812-0.162705j 0.101956+0.0540591j 0.00372888-0.1361j 0.00730926+0.0109597j 0.0322481+0.0256198j -0.102514+0.0324882j 0.143176-0.0769537j 
-0.00861375+0.0400403j 0.0465543+0.0073213j 0.0258183-0.0221935j -0.0891144-0.0317624j -0.022862+0.0509439j -0.0111015-0.0964218j -0.0185988+0.0559376j 0.0269967-0.0577839j 0.00805659-0.114172j 0.0533987-0.0349513j -0.0646852+0.0132298j 0.0194816+0.112579j 0.118641+0.0921972j 0.0422847-0.0883353j 0.0931084+0.0792946j -0.0154367-0.0419631j -0.0512803-0.0227131j -0.032711-0.103548j -0.0325449+0.0729205j 0.02128-0.0565332j -0.114211-0.0573011j -0.0487619+0.0996791j -0.043844-0.0670018j -0.122459+0.0146558j -0.158734-0.0903149j 0.0785428-0.119277j -0.14271+0.0235222j 0.124945-0.112193j 0.129537+0.0860672j 0.102254+0.444201j 0.112793-0.0160702j -0.098534-0.122642j 0.0622039-0.0210488j -0.0941393-0.228426j 0.169114-0.229017j 0.283134+0.14305j 0.00646328+0.0335742j 0.0122777-0.0665419j 0.0294179-0.0220564j -0.0464959+0.104932j 
-0.0355322+0.00639153j 0.0117093+0.0105493j 0.111217+0.0130629j -0.0200877-0.159215j 0.00690042+0.0571664j 0.00187523-0.0253296j -0.0406531-0.0129265j 0.112463+0.0668864j -0.0631604-0.0228276j 0.0523198-0.0111935j -0.0365032-0.0335096j -0.0805722-0.0668914j -0.00407767-0.0398018j -0.0387612+0.0519442j -0.0313158+0.124918j 0.00804816-0.024819j 0.0149427+0.00229367j -0.0351337+0.0162649j -0.102233-0.0624375j -0.0609379-0.122195j -0.119971-0.0809073j 0.0571636+0.164946j -0.153418-0.0346388j -0.0115936-0.00777948j -0.0392739-0.0631453j 0.182983-0.11115j -0.0588558+0.097088j -0.109831-0.0420808j 0.0597693+0.0661153j -0.0163691+0.147736j -0.00853905-0.0466862j -0.0809963-0.0376742j -0.0536263+0.109166j -0.0364288-0.163826j 0.108098-0.0622194j 0.0724367-0.052919j 0.000231911+0.0197668j 0.00197307+0.0411645j -0.0611074-0.0252278j 0.0931786-0.0795379j 
0.0477879-0.00456746j 0.00149829-0.0100801j 0.00116847-0.0023237j -0.0026329+0.0101948j -0.00878304-0.0220982j -0.0429093-0.0123905j 0.0406996+0.0198757j -0.0477869+0.0167655j -0.0165014-0.00265243j -0.00939177-0.0186682j 0.0290818+0.0218921j 0.0441255+0.0197703j -0.0794209-0.0231628j 0.0206378+0.024664j 0.0587259-0.01538j 0.160107-0.0115565j 0.0398547+0.00223254j -0.036444-0.0553758j -0.0399072+0.0218968j 0.0716396-0.0280742j -0.0904282-0.0366923j -0.153793-0.0546881j -0.0268071+0.0619559j -0.0144654-0.110756j 0.286125-0.0674838j -0.234147-0.0426452j -0.0716363-0.0224023j 0.128448-0.0912006j 0.0161503+0.0669334j 0.0860322+0.0296637j -0.119548-0.148052j -0.052289-0.0124286j 0.144364-0.15219j 0.0815879+0.0222503j -0.111156-0.00735682j -0.10925+0.0457404j -0.0351902+0.138211j 0.0576502-0.0384204j 0.0113823-0.0578031j 0.0125545+0.000153646j 
-0.026807-0.00912229j -0.00300656+0.0242912j 0.000848505+0.0168824j 0.0244325-0.0177221j 0.0091068+0.00357832j 0.042443+0.0361651j -0.024414-0.0277477j 0.0248221+0.00191292j 0.00544091-0.00881242j 0.0215065+0.0143187j -0.0272627-0.0167405j -0.0192281-0.0115316j 0.0423467+0.000788863j -0.0390001-0.0365127j -0.0341808+0.0178973j -0.120361-0.00905228j -0.00256438-0.0106499j 0.0290287+0.0180151j -0.00960675-0.0344029j -0.0690943+0.0176926j 0.044723+0.0134184j 0.0947854+0.0359941j 0.0209665-0.0934254j 0.164059+0.108624j -0.22639-0.00429853j 0.295048+0.0233388j 0.218479+0.0570831j -0.146559+0.116098j -0.0216626-0.117007j -0.0622171-0.0967992j 0.123024+0.0849792j 0.0341314-0.015445j -0.154414+0.12578j -0.165196-0.0939602j 0.162903+0.186719j 0.065176-0.160748j 0.001305-0.0438756j -0.0299769+0.00131745j -0.045362+0.0718541j -0.00544929+0.00250777j 
0.0835053+0.0230693j -0.0109832-0.0340784j -0.113566-0.0713063j 0.0258577+0.104916j -0.00769163-0.0365879j 0.0507693+0.0361663j -0.00811046-0.0256818j 0.00608666-0.0586258j 0.0696503+0.0406615j 0.0032854-0.0311897j 0.080938+0.0166365j 0.0325427+0.0661277j -0.0754848-0.00589096j -0.11724-0.00128709j 0.050484-0.0378998j 0.142601-0.0480585j 0.0113519-0.00240896j -0.0422384-0.0352672j -0.000956415+0.0783999j 0.127329+0.018103j 0.381333+0.040548j 0.183323+0.0429159j -0.00423363+0.017714j -0.224375+0.0670023j -0.211344+0.110295j 0.0513416-0.0919044j -0.152721+0.0710258j 0.0538246-0.0380208j -0.124057+0.0381232j -0.152451-0.165416j -0.00596907+0.183219j 0.170606+0.154346j 0.0433602+0.00335361j -0.0320918+0.0333874j -0.00847344-0.0828547j 0.0845264+0.0644672j -0.0148875-0.0153308j -0.0627045-0.00723295j 0.0468491-0.0428856j -0.0509595+0.0447614j 
0.0453077+0.0681988j -0.00500564+0.0168787j -0.136012-0.11324j -0.18033-0.0620079j -0.0423527-0.0812166j -0.00794715-0.0356794j -0.0117849+0.0087058j 0.0969025-0.143436j 0.183042+0.0462203j -0.0137728+0.00577914j -0.012212-0.0342929j 0.0128834+0.141129j 0.0567445+0.127067j -0.16546-0.0408367j -0.181597+0.0535275j 0.0716079-0.022211j 0.0181577+0.00134845j 0.069533-0.00785017j 0.0778157+0.116019j 0.103943-0.0181915j -0.0886697-0.0319003j -0.172489-0.0877028j 0.171142-0.143558j 0.294281+0.0565953j -0.0558816-0.123459j -0.0594754-0.00892646j 0.117262-0.0151424j -0.0618828-0.0795073j -0.188984-0.101798j 0.27004+0.159834j -0.0503615+0.206272j 0.133294+0.0104335j 0.155316+0.110384j -0.0747443+0.102491j 0.00991026+0.0773975j 0.0166234+0.095845j 0.0171141-0.00104895j -0.144351+0.00736151j 0.110904-0.101838j -0.0280391+0.0878384j 
-0.0427128+0.00204693j 0.000164427+0.00289937j 0.0335922-0.0027794j -0.00253727+0.00946524j 0.0183472-0.0412274j -0.00587236+0.0137294j -0.00938974+0.0114288j -0.00146861+0.00924193j -0.0343538+0.0467489j -0.0428502+0.0283113j -0.0704572-0.0157276j -0.044755-0.0123163j 0.0694924+0.0660604j 0.125638+0.0209056j -0.0199419+0.00233195j -0.15458+0.0868983j -0.0307272+0.0163016j 0.0313555+0.080546j 0.0952272-0.056818j -0.0874436+0.00762335j -0.114155+0.0605092j -0.025924-0.0493104j -0.0813321+0.0434901j 0.0291097+0.0548042j 0.0892545-0.000295959j -0.0440234+0.0830548j 0.0627946-0.119849j -0.0114699-0.0614652j -0.0616201+0.0360511j 0.0155943+0.0426495j -0.0496244-0.0385083j -0.0287571+0.0505031j -0.0216647+0.0365253j 0.0328113-0.0931581j -0.019321+0.0281526j -0.135756-0.0813011j -0.0215306+0.0361113j 0.00477438+0.0806847j -0.0476322-0.047198j 0.0852501-0.089965j 
-0.075056-0.0281169j -0.00238755+0.020505j 0.0496303+0.0790172j -0.0172332-0.0802415j 0.0225386+0.00760861j -0.00855077+0.0130462j -0.0117992-0.0373572j -0.00112406+0.00848076j 0.00665847-0.0278955j -0.0319466+0.0387391j -0.0741288-0.0238283j -0.0275063-0.0569551j 0.0735037-0.0364512j 0.0137304-0.0265139j -0.0941403+0.0269399j -0.105466+0.00998588j 0.00151579-0.00235149j 0.0583404+0.0356562j 0.0396099-0.00373727j -0.073198+0.0250563j -0.203546-0.0473606j -0.0528181+0.00644838j 0.102868-0.0468378j 0.205385-0.0283918j 0.072081-0.0226347j -0.0231773+0.0823131j 0.118839-0.0218875j -0.0587746+0.112155j 0.0740009-0.108327j 0.0992977-0.0367928j 0.0389347-0.0530481j -0.0258049-0.114158j -0.00476347-0.0285217j -0.0285804+0.144639j -0.0205208+0.141494j -0.0113448+0.00103639j 0.0255915-0.0237586j 0.0139816-0.0696386j 0.0317167+0.0679725j -0.0709907+0.0585993j 
