0.0207186-0.0192654j -0.0262368-0.0301604j -0.139644-0.0469536j -0.0482479-0.0134228j -0.152741-0.0307428j 0.0422359-0.00962102j -0.0684788-0.192375j -0.202519-0.145935j -0.130206+0.195871j -0.0826692+0.0501906j 0.0814729+0.0022521j -0.0715852-0.198807j 0.20307-0.0785747j 0.0760938+0.00312943j -0.0362723+0.0307979j -0.188543+0.0835592j -0.0439566+0.0310082j -0.0135473+0.00902626j -0.134405+0.0268554j 0.0765238-0.0191611j -0.00522401-0.000682321j 0.0816359-0.00797574j -0.0358732-0.0439049j -0.526764-0.0358716j 
-0.0509227+0.00394396j 0.101545-0.00846642j 0.145607+0.00943011j 0.0131152-0.00950752j 0.184521+0.00343971j -0.0692482+0.00013744j 0.00733592-0.00825059j 0.0530725-0.0279971j 0.0137249+0.0263987j -0.0168666-0.00182895j -0.0228244+0.00760596j -0.120198-0.00391743j -0.00656981+0.0068087j -0.065834+0.0188984j 0.0753964-0.00210625j 0.107322-0.0298148j 0.0557243-0.00854591j -0.108887-0.00766438j -0.0244364-0.00913826j 0.0651392+0.0284907j 0.0214253+0.0655785j -0.125363-0.0192495j 0.138612-0.0282981j 0.0418857+0.0297554j 
0.0683549+0.0137678j -0.15014-0.0176854j -0.00398379+0.0134895j 0.0716041-0.0112852j -0.125072+0.00502778j 0.00733376+0.0410329j -0.0602375+0.0372266j -0.0112451-0.00762409j -0.00548984-0.00159126j -0.0792295+0.00570132j -0.0751187-0.0315823j 0.134799+0.0551086j 0.0849201+0.0174936j 0.064972+0.00543475j 0.118121+0.0047714j 0.0397721-0.00590784j -0.00682354+0.0270005j 0.0591858+0.0104816j -0.0348239+0.000127762j -0.15842+0.0279131j 0.126144-0.0315173j 0.076259-0.0357685j -0.0413695+0.00536288j -0.0500102+0.0114385j 
0.00508874+0.00917029j -0.065242+0.0137378j -0.0321709-0.0255436j -0.016862+0.0139205j -0.0548993-0.00994889j 0.0298887-0.00700891j 0.00540515-0.0149262j 0.0365179-0.019187j 0.0179941+0.0393862j 0.00399772+0.0201763j 0.0149216-0.0136031j 0.026528+0.0104008j -0.00224668+0.0238067j 0.00637012+0.0145716j -0.00211137+0.00437259j 0.038993-0.0197083j -0.0114584-0.0440611j 0.0132449-0.0072884j -0.00311419+0.020888j -0.0699796+0.00666072j 0.0866849+0.0341278j 0.0700348-0.0114855j -0.0668+0.0182138j -0.00966825+0.0222889j 
0.084535-0.000993045j -0.142757+0.00178059j 0.0301559-0.00383688j 0.121001-0.000276264j -0.045135-0.0191923j 0.0201698+0.027851j -0.0305125+0.00704459j -0.0165204-0.032887j 0.00238697+0.000845572j -0.0153365-0.0134968j -0.0373436-0.0175965j 0.0273326-0.0157882j -0.0277319-0.0258168j -0.126682-0.00315371j 0.0437865+0.00809679j -0.00959167+0.0114089j -0.0108119-0.0270872j 0.126378-0.0344755j 0.00322354-0.0148305j -0.0401159-0.0219718j 0.0538549-0.0354035j 0.0282036-0.00210118j 0.031023+0.0192374j 0.0587925-0.00900524j 
0.0170166+0.00873563j -0.00417498+0.0214065j 0.0211292+0.00607765j -0.00419748-0.0384507j -0.0103684-0.0115585j 0.0463473-0.0148241j 0.00702349-0.0293161j 0.0107267+0.0334645j 0.00272329-0.00753746j 0.0197389-0.0110725j 0.0145637-0.0092976j -0.0198224-0.0134906j 0.00891659+0.0363796j 0.022257-0.0259844j 0.0217605-0.0406286j 0.0283933-0.0203498j 0.0431461-0.0330262j 0.0335925+0.0151392j 0.0204964-0.00745368j -0.0739392-0.0289665j 0.0461603+0.0333314j 0.0321705+0.00268515j -0.0448507-0.00367321j 0.0233706+0.00745695j 
-0.00194296-0.00910908j 0.0281375+0.0119328j 0.0157581+0.0361343j -0.0190369+0.0114739j 0.0273649+0.0025453j -0.0254172+0.00611899j 0.000544387-0.0244709j -0.0135884-0.00273204j -0.0309459+0.035604j 0.0172101+0.0317837j 0.0288469+0.00152221j -0.017657-0.00713569j -0.0101645+0.00303999j 0.0314264+0.013705j -0.0190021+0.0065022j -0.105632+0.0394031j -0.0315412-0.0493662j -0.0619513+0.0207838j -0.0331134+0.0116559j 0.0114911+0.00244185j -0.0591357-0.00270924j 0.0170317+0.0198433j -0.0373258-0.0158853j -0.103109-0.00294207j 
0.0107556-0.00870561j -0.0233837-0.028082j -0.0340351+0.0167j -0.00396849+0.0189186j -0.00418565-0.0460898j -0.0256953+0.0264482j 0.0156405-0.0678383j 0.00625628+0.0173779j -0.00203518+0.00797511j 0.011947-0.00690129j -0.00695113+0.0108712j -0.0343267-0.0132736j -0.0271494-0.0254614j -0.0523506+0.0376087j -0.0715799+0.000648807j 0.033761-0.00115718j -0.0530146-0.00252824j 0.00364017-0.031876j 0.0262932-0.00075607j 0.0342721+0.030161j 0.0167186-0.00536874j -0.0209648-0.0165348j 0.00908396+0.0137863j 0.0391124+0.015541j 
-0.0409614-0.0066834j 0.0436147+0.0115485j -0.025527-0.00529579j -0.0244527-0.0444228j 0.052607+0.0176232j 0.0233159+0.0321078j 0.0272513-0.0168958j 0.00106937-0.0106425j 0.0053375-0.0305309j 0.00324628+0.0368773j 0.0756102-0.0546786j 0.00898885+0.0244509j -0.067111+0.0336887j -0.0130341-0.0359336j -0.0298579+0.0331403j 0.0379024-0.00365294j -0.0340024-0.0183928j 0.0347555+0.0256107j 0.0290443+0.00752601j 0.020214+0.00934725j 0.0184275+0.0131365j -0.0198+0.0024231j 0.0152121+0.00732183j 0.0582577+0.0125106j 
0.0451904+0.00182957j -0.00846032-0.010828j 0.0358509+0.00803223j 0.0439728+0.0257609j 0.0633612-0.0172619j -0.0342935-0.0618739j 0.0405073-0.0051102j 0.0305355-0.00208352j 0.015643-0.0172108j 0.0251677-0.000681478j 0.0149776+0.0114787j -0.0667809+0.0562185j -0.0153083+0.0392472j -0.0600492-0.0049063j -0.00790161-0.0425205j 0.0515809+0.00140948j -0.0421164-0.0223143j 0.0698989-0.00264867j 0.0305594+0.00443891j 0.00102077+0.0181773j 0.0431637+0.015467j -0.0158546-0.0117813j 0.0351059+0.0151702j 0.0835329+0.014125j 
-0.0641901-0.0177244j 0.128922-0.021294j 0.101481-0.0383702j -0.0448955-0.0123647j 0.143754-0.0292573j -0.0628067+0.0094914j -0.050162+0.0116285j 0.0280234-0.0183867j 0.0241692-0.018805j 0.0188713+0.00848686j 0.030614-0.0579317j -0.0943037+0.0447431j 0.111384+0.0313311j -0.0662432-0.0532835j 0.0106537-0.00682555j -0.00047772+0.0131378j 0.0035204-0.00833621j -0.086261-0.0382695j -0.022225+0.00046905j 0.0604142+0.028277j -0.0391058-0.00082061j -0.0681688-0.0179091j 0.0899512+0.0131782j 0.00544046+0.00135637j 
-0.0702631+0.0451851j 0.139071-0.048599j -0.0983572+0.00171855j -0.154957+0.0087667j -0.0443103-0.00342124j -0.0498402+0.0151061j 0.0201985+0.0134812j -0.0146909-0.000102889j -0.0479074-0.0128012j 0.151783+0.0338471j 0.0347409-0.0714154j 0.00292769-0.0396478j -0.0193134-0.00059678j 0.0684707+0.00831052j -0.0734849-0.0287881j -0.0141928+0.0067973j 0.0157283+0.00375714j -0.061748-0.025297j -0.0151947-0.00239263j 0.0248467+0.0121515j -0.0366195-0.00669429j -0.00964232-0.00151031j -0.00867398-0.00737285j -0.0384499-0.0071718j 
