-0.0620719+0.124896j -0.116064-0.0518643j 0.13005+0.213065j 0.252382-0.0855637j 0.0563928-0.0465022j -0.161583-0.0899863j 0.0695805+0.279383j -0.109897+0.140075j -0.0720355+0.0995098j 0.0848894+0.234773j -0.210167+0.0139751j -0.160205+0.0124974j 0.183174-0.160528j 0.028624-0.0308868j -0.00242683+0.0363735j 0.192506+0.034937j -0.0590583+0.0372715j 0.0690512-0.0922152j -0.0255954-0.0487131j -0.00438207-0.0370724j -0.0392587-0.249069j 0.12641-0.0823696j -0.0268019-0.063962j -0.0262757-0.107551j -0.0558177+0.0261425j -0.185165-0.029427j 0.0125462+0.0806906j -0.179296+0.00456433j 0.27474-0.0731325j -0.0478345-0.2807j 0.0921366-0.0346662j -0.0424899-0.110872j -0.0885948+0.137928j -0.142972-0.0891376j -0.0517006+0.0199637j 0.0339186+0.0441223j 0.0126041-0.0638163j -0.0511552+0.0203823j 0.00590276+0.0073223j 0.0403103-0.0369976j 0.0132708+0.0273625j -0.0131363+0.030906j -0.0184054-0.0235999j -0.0467038-0.00455511j -0.00464559-0.0264725j -0.00440736+0.00958714j -0.0373663-0.02563j -0.0105849-0.0316722j 0.015604+0.0207887j -0.00334738-0.0228836j -0.018654-0.00995567j 0.018574+0.0123257j -0.0196684-0.00692875j -0.0110129+0.0115895j -0.00138028+0.018767j 0.0280347-0.0205543j -0.0238688+0.0108949j 0.00346578-0.0218964j -0.00179525+0.018324j -0.00712023+0.011846j -0.0216858+0.00601709j 0.00500019+0.0109947j 0.0131409+0.0227088j -0.0166791-0.0300631j 0.00815647+0.0126432j -0.00649403+0.00271821j 0.031373+0.019219j -0.000500484+0.0355693j 0.0279741+0.00939196j -0.0176132+0.03362j 0.0318464+0.0344957j 0.0289203-0.033512j 
-0.000344694-0.000269102j 0.00149782-0.000116278j 0.00116631+0.000154302j -0.00406658-0.00170677j -0.00205125+0.000348051j -0.00529064-0.000394187j -0.00636242-0.00411013j -0.000592556+0.000654569j 0.00586017-0.00126618j -0.0011705-0.00549434j -0.00464573+0.00481645j -0.00170824-0.00206827j -0.00406899-0.00849642j 0.00284757-0.0141232j 0.00502513-0.00461301j 0.000939935+0.00212338j 0.00836883+0.0111707j 0.0157726+0.00639997j -0.00513588-0.00528122j -0.00557886+0.013002j 0.0107421+0.00226391j -0.0050002+0.00227641j 0.00493115-0.00621992j 0.0124353+0.000222799j -3.00483e-05-0.000626978j -0.00296829-0.00140744j -0.00189845-0.00216114j 0.000536217+0.00475858j 0.00161812-0.00121489j 0.000346398-0.00270923j 0.000278186+0.00070228j -0.00166866-0.000566401j 0.00385173-0.00045079j -0.00216525+0.000141886j 0.00283932+0.00316452j 0.00308182-0.00473435j -0.00290157-0.00553238j -0.00514527+0.00477713j -0.00440174-0.000527761j 0.00720577+0.00313225j -0.00250944-0.00797472j -0.0057939-0.00238172j 0.00586688+0.0103952j 0.00973732-0.00393256j -0.00530932+0.0084531j -0.00337096-0.0183118j 0.0130248+0.00128674j -0.002463-0.00363308j 0.0218182-0.00668316j -0.0164176+0.00202718j -0.00913541-0.00589209j -0.00137087-0.00375976j 0.00491492+0.0116638j -0.000141932+0.0162694j 0.00100724-0.00440183j 0.00546309+0.0072789j -3.7405e-05+0.00139671j 0.000118527+0.00264948j -0.00862188+0.00565837j -0.000988755+0.0151251j 0.00296628-0.00942772j 0.0139989+0.002268j -0.0173319+0.00501699j 0.00978177+0.0114113j 0.00336608+0.00763366j -0.00413226-0.00929365j 0.00289114+0.000886403j -0.00507389-0.00595443j -0.00117489-0.000955247j 0.00164761+0.000189972j -0.000690481-0.00191809j -0.00201448+0.000440993j 
0.000716319+0.000234289j -0.000662031+0.00022279j 0.000843486+0.00258743j 0.00172754-0.00254854j 0.00422938-0.00212673j -0.00313029-0.00379397j 0.000181349+0.00120802j 0.00402775-0.00204033j -0.00429556+0.0028514j -0.00247016+0.00636475j 0.0118374+0.00615487j 0.00164472+0.00970403j -0.00362905-0.00697558j 0.0198089-0.012695j -0.00192091-0.00421513j 0.00358297+0.0164913j 0.00160806-0.00617329j -0.00722562-0.00511874j -0.000785069-0.00206728j 0.00972539+0.00310946j -0.00462199-0.00228635j -0.0108202+0.0153576j -0.000886798-0.00368806j 0.000549323-0.0224871j -0.0149086+0.00704623j 0.00734251+0.00271013j 0.000752043+0.000912001j 0.000382948-0.0030483j 0.0026528-0.00615024j 0.0014293+0.00479512j -0.000823324-0.000228492j 0.00335225+0.0020748j -0.000751363-0.00463692j 0.00176917+0.00367967j 0.00338375+0.0012996j -0.000207403-0.000248879j 0.00182431-0.00108918j 0.00137388-0.0043541j 0.00032245+0.00306071j 0.00189586-0.00661119j -0.00249326-0.0033493j -0.00170524+0.0012314j 0.00546114+0.0020306j 0.00844404-0.0094118j -0.000995456+0.0171822j 0.00663307-0.0116236j 0.00620536-0.00322704j -0.00545543+2.23209e-06j 0.0109011-0.00773607j -0.000551759+0.00713406j -0.0112639-0.00716211j 0.00126854-0.00681317j 0.00561717+0.00829198j 0.0101715+0.00282179j -0.000764686-0.00128191j -0.000194831-0.00121611j -0.00854482-0.000781544j 0.0112721+0.00204504j -0.00545625+0.00696279j -0.00851162+0.00555204j 0.00302139-0.00860738j 0.00469494-0.0047342j -0.00564055+0.00891061j 0.011902-0.00800185j 0.000534332-6.01293e-05j 0.000774484-0.00309899j 0.00727984-3.54668e-05j -0.0072074+0.0101771j 0.00362242+0.000448638j -0.00367873+0.00608554j 0.00171975-0.00155253j 0.00212723-0.00172613j 
-0.00143648+0.00501502j -0.00477146-0.00495256j 0.00903219-0.00175766j 0.00471517+0.00410979j -0.000175509-0.000784541j 0.0128563+0.000378121j 0.00601407+0.00628982j 0.00254338-0.00018188j -0.00884852-0.0025136j -0.000147461-0.00173245j -0.00420786+0.00526112j 0.00276138+0.00925514j -0.00193005+0.00860654j 0.00650257+0.00440024j 0.0216645+0.00161058j 0.0235743-0.0115102j -0.000160251-0.0151474j 0.00910656+0.00100383j 0.00973295-0.00358844j -0.00650477+0.00280866j 0.00586916+0.0196345j -0.00180338+0.00200181j 0.0069277-0.00385831j -0.00450717+0.0103999j 0.0102348+0.0030785j -0.0112523-0.0119825j 0.00227276+0.00594026j 0.000161307+0.00153874j -0.00690636+0.00958361j -0.0042377-0.00361607j 0.00345303-0.00125608j -0.00159742-0.000205232j 0.000511844-0.0024373j -0.000514657-0.000988277j 0.00615057+0.00205588j 0.0024719-0.000567308j -0.00102083+0.00122995j 0.000166407-0.00558337j 0.000640057+0.00247023j -0.00114914-0.00662123j -0.00357222-0.00385763j 0.000508193+0.00327676j 0.00401616+0.00287015j 0.00300483+0.00134462j -0.00434592+0.0125917j -0.00682801-0.00819896j 0.00638259+0.0021541j -0.000391013-0.00706899j 0.0116655+0.00196809j -0.00949338+0.00627062j -0.00284472-0.00588895j -0.00278979+0.00718781j 0.0101638+0.000246585j -0.00639105+0.000954316j -0.0102007+0.0081287j -0.00329605-0.00353294j -0.00460266-0.00508016j -0.00565775-0.0121769j 0.00292037-0.0106477j 0.00481488+0.00850419j -0.00465697+0.00161489j 0.00222325+0.00216311j 0.00245671+0.0209501j 0.00820501+0.0040784j 0.0051173-0.000881105j -0.00557464-0.00748851j 0.00600923+0.00787035j -0.00209496-0.00248226j 0.000572256+0.00225919j 0.00223148-0.00504507j 0.00181332+0.00331455j -0.000595959-0.000855961j 
0.00112423+0.000427116j -0.00241032+0.00263917j -0.00437288-0.00226839j 0.000619695+0.000548403j 0.00330852-0.0043412j -0.0018558-0.0102686j 0.0114642-0.00401263j -0.0104646-0.000835945j 0.00091571-0.0119621j -0.00351602-0.000737607j -0.00631222-0.00553007j -0.00483477-0.00425612j -0.0216173+0.00674498j 0.00902038-0.00757089j 0.0114652-0.00494409j 0.000252414+0.00790668j -0.00833646-0.00830912j -0.00527984-0.0084998j -0.00667013-0.00386819j 0.00116675-0.00032905j 0.00183382-0.0102386j -0.0111861+0.00159237j 0.00592635+0.000352813j 0.00178644+0.00465617j 0.0043457+0.00204195j -0.00417667-0.000768984j -0.000389473-0.00310123j -0.00398475-0.00176919j -0.00264565-0.00192304j -0.00210736+0.00478611j -0.00428169+0.0016086j 0.00107779+0.00159527j -0.00191054+0.00539912j 0.00221762+0.00383231j 0.00883455+0.00617707j 0.00950208+0.00357256j -0.00934597+0.00355365j 0.00387295+0.00400078j 0.0184612+0.00681583j -0.0114748+0.0103544j 0.00429891-0.00819041j 0.00952361+0.00018379j 0.00605612+0.00138479j -0.00931137-0.0139582j -0.00180559+0.00781266j 0.00989387-0.00175809j 0.0111473-0.00477561j -0.0207814-0.00955024j 0.00092624+0.0204783j 0.00644828+0.00663368j 0.00988373+0.00352848j 0.0013457-0.00544703j 0.00627076-0.00929354j 0.0023251-0.0103875j -0.0102579+0.00409073j 0.00595063-0.00196238j -0.0140653-0.0121404j -0.000630365-0.0219801j -0.0115009-0.0059877j -0.00329365-0.00866897j 0.00861255+0.00352103j 0.0029344+0.00781634j 0.0063731-0.005631j 0.0102928-0.002359j -0.00464971+0.00363391j 0.00192325-0.000526554j -0.000766135+0.000337123j 0.00544531+0.00208023j -0.00198819-0.00135216j 8.24237e-05-0.00125029j 0.00148692-0.00203677j -0.00148995-0.00209771j 
-0.000675971+0.000672947j -0.000696793-0.00178447j 0.00269646-0.00247773j 0.000530771-0.000323759j -0.0038381-0.000433947j -0.00171882+0.00234602j -0.00336979+0.00360249j 0.00254056+0.00139675j 0.00411374+0.00464835j -0.0110169-0.00292381j 0.00330096+0.0130129j 0.00325954+0.00428139j -0.00705915-0.00904313j 0.00120446-0.0219371j 0.00690164-0.0108089j 0.0152102-0.00397309j 0.0226384+0.00470302j 0.021399+0.00201982j -0.00610283-0.00554597j -0.0010293+0.0146554j 0.016724+0.0102417j -0.00666662+0.0136766j 0.00367863-0.012954j 0.0165342-0.010997j -0.000980642-0.000992242j -0.00310231+0.00058856j 0.00250551+0.00258582j 0.00360166+0.00394302j 5.92489e-05+0.00339047j -0.00142084-0.00131089j 0.00322696+0.000154458j -3.68521e-05-0.00269458j 0.000731748+0.00119565j -0.00202844-0.00122489j -0.00264657+0.000236749j 0.00120029+0.000584636j 0.00224569+0.00132074j 0.00295751-0.00184055j 0.00477623-0.000527783j -0.00131938+0.000808126j -0.00166511+0.00647158j 0.00647727+0.00239343j -0.00786169-0.00507578j -0.00557555+0.00608647j 0.000931562-0.00607741j 0.0104027+0.0116692j -0.0134083+0.00284226j -6.75223e-05+0.00691564j -0.0148756+0.0116787j 0.0147472-0.00473747j 0.0109834+0.00079221j 0.0035312+0.00449648j -0.0107167-0.00965247j -0.00160995-0.0144231j -0.00349311+0.00710396j -0.00830892-0.00349461j 0.0019481-0.00645825j -0.000196175-0.00399104j 0.00569661-0.00898514j -0.00522716-0.0131882j 0.00473589+0.008426j -0.0100202-0.00299235j 0.0103194-0.00986816j -0.00897382-0.00422666j -0.0031404-0.00447269j 0.00534544+0.00517805j -0.00198823+0.00234231j 0.00171416+0.000494137j 0.00162397-0.000306515j -9.17618e-05+0.000721827j -4.80045e-05+0.00107301j -0.000164549+0.000671719j 
0.000720034-0.00184732j 0.000765035+0.00372142j -0.00205749-0.000671055j -0.00108541-0.00185917j 0.00392868-0.000796727j -8.44315e-05+0.00346874j 0.00201705+0.000978263j -0.000845066-0.00717597j -0.00232526+0.0128463j 0.00151703+0.00495907j -0.00280124-0.0115756j -0.00570661+0.00115886j -0.0229663+0.0141593j 0.0138066-0.00988339j 0.0101364-0.00583784j 0.022449+0.00531081j 0.0087476+0.00306581j -0.00297925-0.00508132j -0.0013692+0.00200932j 0.00654159-0.00819056j 0.00393408+0.00127312j -0.00554861+0.0145446j -0.00161657+0.000324844j -0.00802336-0.00723186j -0.00122286+0.016883j 0.00555423-0.0049171j -0.00371676-0.00461715j -0.00555068-0.00403162j -0.000443296-0.00272905j 0.00201422-0.00179407j -0.0049205+0.000267937j -0.00225223+0.00194587j -0.00308302+0.005624j 0.00228581+0.00181515j 0.00209296-0.00442742j -0.00156618-0.000760344j -0.00537528+0.000312214j -0.00215392+0.00368878j -0.0107002-0.00550186j -0.00334603-0.00785872j 0.0140143-0.000392945j -0.00336364-0.0114444j -0.00272692+0.000423418j -0.00953844-0.00261015j -0.00588748-0.0166847j -0.00969241+0.0116587j 0.00518766+0.00110055j 0.00434219+0.00319698j -0.00823008+0.00437277j -0.0067826-0.00261105j 0.0104382-4.28031e-05j -0.00195654-0.00585949j 0.000337125+0.0065678j -0.0129827+0.00141984j 0.0136872-0.00277225j 0.0126253+0.00210734j 0.00509896+0.00946368j -0.00640972+0.0164606j 0.000933663+0.0157508j 0.00916657-0.0100335j -0.00111112+0.00630779j -0.00281113+0.00942958j -0.00906862-0.00039182j -0.00879579+0.00405604j -0.00650652-0.000340995j -0.000694819-0.00245141j -0.00505403+0.00208936j 0.00775709-0.0059305j -0.0033807+0.00184004j 0.000889319-0.00408301j -0.00074477+5.38007e-05j -0.000559555-0.00108816j 
0.00122442+0.000929095j 0.000821977-0.000202869j 0.00504794+0.003616j 0.00015002+0.00221453j 0.00427448-0.00241756j 0.00305552+8.53251e-05j -0.00348297+0.00388242j 0.00443915+0.00218938j -0.00558796-0.0186125j 0.012349+0.000947841j 0.00419403+0.00356049j 0.00669964+0.00474203j 0.00141303+0.00358994j 0.0148202-0.0196547j 0.0014123-0.00628536j -0.0117401+0.00101085j -0.0277261-0.0200913j -0.000463844-0.00285322j 0.0034376-0.00424581j 0.00144178+0.0147407j -0.0114635-0.00635349j -0.00676179+0.00684015j 0.00882896+0.00202417j -0.00858812-0.00768887j -0.00204177+0.00899777j 0.00502278-0.00904696j -0.00189243-0.00103692j -0.000880688+0.000141131j -0.000717825-0.00168935j 0.000869539-0.00663981j -0.000266564+0.00100017j -0.000148351+0.00255776j 0.00131373-0.00250978j -0.00219866-0.00028554j -0.000685741+0.0052969j 0.000953363+0.00474733j 0.00517767-0.0025213j -0.000470598-0.000380626j 0.00608616-0.004496j 0.00672858+0.0127478j -0.00419297-0.0046463j -0.00257352+0.00920742j -0.000238356+0.00812187j 0.00242273+0.018114j 0.00471233-0.0229411j -0.00135998+0.0140646j -0.00210884+0.00524738j 0.013492-0.000894666j -0.00207918-0.00889303j 0.00118692-0.0163965j -0.00932951+0.0121635j -0.000782078+0.0113058j -0.0047005-0.00973331j 0.0103629+0.0183113j 0.00194843-0.00916833j -0.0040165-0.0038438j 0.00611839-0.00614158j -0.0016991-0.0164881j -0.00400803-0.00897703j -0.00230917-0.00766811j -0.0063343+0.0032239j 0.00279757-0.00196098j -0.00634636-0.00807596j -0.0129294-0.00127782j -0.000242148-0.00188703j -0.000652343-0.00177745j -0.00771234+0.000680047j 0.00255319-0.00606228j -0.00220998+0.00161959j 0.00291798-0.00153229j -0.00257072+0.000297323j -0.000232532+0.00158862j 
-0.00179452-0.0061548j 0.00241816+0.0030744j -0.00939652-0.00657158j 0.00130307-0.00799127j -0.00305437-0.00223928j -0.00745392-0.00439113j -0.000627303-0.0143534j -0.000228439+0.00882947j -0.0111401-0.0093282j -0.00268746+0.00354518j -0.00961808+0.0102931j -0.00681776+0.0145271j 0.00585063+0.00285087j -0.00492533+0.000857686j 0.00882181+0.0103751j 0.0134809+0.0159435j -0.000385665-0.0169831j -0.0122129+0.0126153j -0.00255904-0.0103504j -0.00443542+0.00565576j 0.00203818+0.00879398j 0.00538089+0.00325906j -0.00462736+0.00188958j 0.00777759+0.00385625j -8.22546e-05+0.00118661j -0.00246497-8.43923e-06j 0.00649894+0.000643389j -0.00578538-0.00162947j 0.00238268-0.0013131j 0.00028167+0.00503728j -0.00577814-0.00132087j -0.0010559+0.000337939j -0.00300342+0.00706969j 0.00431066+0.00637765j 0.00205855-0.00860309j 0.00373963+0.00274205j 0.00630324+0.00150927j 0.00874669-0.000153478j -0.00155794-0.0138298j 0.000110803+0.00702603j -0.00438574-0.000867681j -0.00636254+0.000613848j -0.00534419+0.0175233j -0.00667048-0.00556154j -0.00346161+0.00469458j 9.52738e-05-0.000664873j -0.00390423-0.000812457j -0.00998703+0.00509895j -0.00339468-0.00408961j 0.0102936-0.00118793j -0.00527963-0.0030469j -0.00120739-0.011795j -0.0159926-5.52132e-05j 0.00905349+0.00368021j 0.00621253+0.0142889j -0.000733747+0.00867003j 0.0188818-0.00624429j 0.00163269-0.00453918j -0.00244522+0.0133776j -0.00250015-0.00174533j -0.000691259-0.00933073j 0.0117468+0.000536063j -0.00163472-0.00242462j -0.00426747+0.000421609j -0.00486603+0.00119722j -0.000490613+0.00350069j 0.000516301+0.00114274j 0.00256638+0.000942401j 0.00271975-0.00114724j -0.00174509+0.00134168j 0.000552746-0.00163084j -0.000693508-0.000833345j 
-0.000480729-0.00165681j -0.000600394+0.000755368j 0.0017305-0.00423148j -0.000422967+0.000118443j 0.00365782+0.0027689j 0.00457381+0.0104708j -0.0163908+0.00508244j 0.00852533+0.00437491j -0.0022903-0.00953491j 0.00543766-0.0053822j 0.00478264+0.00798209j 0.00544714+3.99337e-05j 0.0148443-0.0102491j -0.011229-0.00370952j -0.00801326+0.00576304j -0.0162249+0.00245432j -0.00781798+0.000583212j 0.0057433+0.0107191j 0.000232927-0.0037733j -0.000238439+0.0116996j -0.00871177+0.00112604j 0.00512894-0.00675813j 0.00146283+0.00364918j 0.00302282-0.00414877j -0.00162682+0.00318698j 0.0110824-0.001701j -0.000298316-0.00228671j 0.000213776-7.64836e-05j -0.0026652+0.000622717j 0.000121389-0.0013077j -0.000360213+0.0029432j -0.00114992-0.00201008j -0.00341197+0.00646226j 0.00190404+0.00290894j 0.00303482-0.00546911j 0.00313084+0.0025572j -0.000618791+0.00136494j 0.00553667-2.45387e-05j -0.00177175+0.00128666j -0.0110397-0.0115569j 0.00976907-0.00148198j -0.00130937-0.00836292j -0.000993327+0.0101805j -0.00994643-0.0118888j -0.00364742+0.00295344j -0.000901257+0.00407369j 0.00562536+0.00239651j -0.00475572+0.00773606j -0.00746416+0.00927685j 0.00334216+0.00618355j 0.00721384-0.0103687j -0.00424888-0.00702638j 0.00161307+0.0031572j -0.00834599-0.00843196j 0.00329065+0.0110303j 0.00149976+4.77673e-05j 0.00387744-9.41621e-05j 0.00152196+0.00455282j 0.00252519+0.00828657j 0.00345811-0.00999369j 0.00108787+0.0066286j -0.00367336+0.00696521j 0.00101813+0.0105398j 0.00337333-0.00158854j -0.00734173-0.00281693j -0.001218-0.00306245j 0.0028103+0.00562499j 0.00287083-0.00118371j -0.00168316+0.00106388j 0.0015537-0.00469246j 0.00165125+0.00130375j -0.00128849-0.00299861j 
-0.00057677-0.000541846j 0.000800628-8.17198e-05j -0.00538373-0.000312033j -0.00374742-0.00222579j -0.00236257+0.00500294j 0.00257881-0.00144879j -0.00227224-0.00586117j 0.00556292-0.00591461j 0.000120618+0.0200168j -0.00210123+0.00908813j 0.00842733+0.00247249j -0.00280158+0.0126947j 0.0124451-0.000616362j -0.000192071+0.0155121j -0.00135301+0.00534548j 0.0167806+0.000175725j 0.0148506-0.00405705j -0.00989787+0.00406515j 0.00708803-0.000472566j 0.00205165-0.00980452j 0.00595219+0.012612j 0.0128195+0.00292363j -0.013185+0.00123379j -0.0027441-0.00499563j -0.00693176+0.000966992j 0.00213441+0.00474669j 0.00265111+0.00254041j -0.000823229-0.00226353j 0.00199767-0.00104652j 0.000657573+0.00671678j -0.000202097-0.000265472j 0.00198615+0.000673205j 0.00202911+0.000670009j -0.00307445-0.00138626j -0.00204006+0.00366932j 0.00594533-0.00130547j -0.00226034-0.00610181j -0.00037811+0.00469866j 0.0139897+5.39247e-05j 0.00834558+0.0187657j -0.00227085+0.000925565j -0.000959883+0.00246513j -0.000480763+0.00230201j 0.00780141+0.00336187j 0.00326543-0.0115414j 0.00517218+0.00483686j 0.00393072-0.00123665j -0.00256872-0.0152374j -0.00277353-0.00213687j -0.00202155-0.00579002j -0.00072301+0.0197662j -0.00413717+0.00314073j 0.000742048-0.0136307j 0.00939611+0.00554117j -0.00994651-0.0127709j -0.00261068+0.00257133j -0.00166617-0.00441601j -0.000492185-0.0164662j -0.00626986-0.0129122j -0.00124037+0.0062025j -0.000642068+0.00501513j -0.000165726-0.00443426j -0.0011586-0.0176317j 0.00011279+0.00293778j 0.000250109+0.00453779j 6.31207e-05+0.00485585j -0.00268443-0.00660144j -0.00319228-0.00224293j -0.00304164-0.00281738j -0.000396737-0.000122052j 9.32823e-05-0.00217893j 0.000409715+0.00134704j 
0.00220988+0.003085j -0.00161999+0.000389765j 0.00162002+0.00131652j -0.00149729-0.0012591j -0.00369286-0.0026691j 0.0017332-0.0123092j 0.00496482-0.00334322j 0.00558174-0.000728442j -0.013628-0.00560812j 0.000697584+0.00247531j 0.00972117+0.00966184j 0.00457348+0.0110131j 0.0113534-0.00417287j 0.00812842-0.00190846j 0.00445735-0.00159868j 0.00362278+0.00595442j -0.0173265-0.0189446j -0.00911308-0.00154666j 0.00278617-0.00749059j 0.00410784+0.00660609j -0.000890045+0.00635515j 3.74341e-05+0.00460977j 0.000703555-0.00102138j 9.42934e-05-0.00303237j -0.00388239-0.000715802j -0.00636215-0.00226352j 0.0026295+0.00555856j 0.00102484+0.000323732j 0.00133771+0.00140615j -0.00109419+0.0035651j 0.00134035-0.00262571j 0.0012011+0.00223791j 0.00159273-0.00394791j -0.00137181-0.00471016j -0.0021387+0.00288264j -0.00112173-0.00569285j -0.00764303-0.00220791j -0.00689344+0.00322528j -0.0028165+0.00652218j 0.00573678-0.00312083j 0.00554954+0.00404645j 0.00110022-0.0100296j -0.00315436-0.0146429j 0.00438321+0.000134602j -0.000167027-0.00460702j -0.00187953-0.000829298j 0.00182392-0.00226981j 0.000995269-0.0099371j -0.00532268+0.00217193j -0.00883008+0.00320166j 0.00836615+0.00434093j 0.000288181+0.000739153j 0.00697462+9.21081e-05j -0.0100545-0.00705713j -0.00366029-0.0106319j 0.00394516-0.000261524j -0.00695573+0.0132219j -0.00583279+0.0120604j 0.00328882-0.0018965j 0.00560142+0.00560306j 0.00143187+0.00578933j -0.00955965-0.000498662j -0.00224239-0.00799887j -0.00110095+0.00495495j 0.0031576+0.0050233j 0.000335216+0.00064212j -0.000152058-0.00225273j -0.00459056-0.000520903j 0.000204946-0.00011j -0.00222794+0.00143325j 0.00176406-0.000551126j 0.000917762+0.000233246j 
-3.3959e-05+0.00626283j 0.001947+0.000302168j -0.00292203+0.0104838j -0.0145157-8.36769e-05j -0.0108734-0.0019301j -0.0119911-9.93747e-05j -0.00388595-0.0192371j 0.00205548+0.00780531j -0.0106109+5.28223e-05j 0.00351004+0.00491631j -0.00211103-0.00120487j -0.0166339-5.87911e-05j -0.0068988+0.00389703j 0.00348969+0.0124523j 0.0110277-0.0093958j 0.000893187+0.0101247j -0.00893054+0.000123569j -0.0034376+0.00346241j -0.00253561-0.00189147j -0.00565199+0.0112277j 0.00312711-0.00197312j 0.00689923+0.00265635j -0.00280269-0.000874584j 0.00797355+0.00547485j -0.00742417+0.00581618j -0.00368234+0.00106157j -0.00685724-0.00667988j -0.0028856+0.00179426j -0.00253505-0.00583319j 0.000239388-0.0037527j -0.000703488-0.00158672j -0.00436941+0.00236669j 0.0092258-0.00145054j 0.000501691-0.00675539j -0.00540539+0.000591956j -0.00334803-0.00427083j 0.000641778+0.00912537j -0.00823574-0.00383742j -0.00192674+0.00814378j 0.00016608-0.0159136j 0.00206253+0.00147343j 0.0051747+0.000161391j -0.00879018-0.0117719j 0.00479786+0.00227539j -0.00023075-0.00282832j -0.00322285+0.00174967j -0.00191978+0.00359846j 0.0119238-0.00522069j -0.00474036-0.00141691j -0.00674628+0.00359586j -0.000620966-0.00639397j -0.00261777+0.00339895j 0.00610922+0.00397368j -0.0074183-0.0012933j -0.000261961-0.00815642j 0.000535062-0.00539297j -0.00444366+0.00425742j 0.00773731+0.0154684j 0.00754986-0.0075581j 0.00219411-0.000655086j 0.00217462+0.00214782j -0.00382523-0.00132342j 0.00249276+0.00222466j 0.00118487-0.00175585j 0.00245262-0.00299415j 0.00622885-0.00312446j 0.00371983+0.00146184j -0.000776351+0.00212695j -0.00321265-0.000363011j 0.000523332+0.000825999j -0.00169365+0.00192088j 0.00243453-0.000182087j 
-0.00280329-0.00364838j 0.000407684-0.000207907j -0.0061063-0.00502318j 0.00527507-0.00601208j 0.00467547+0.00102657j 0.00552397-0.00553373j -0.00455414+0.00956945j 0.00655316-0.00321158j -0.00223571-0.000152319j -0.000841297-0.00276456j 0.00632191+0.0104326j 0.0127832+0.0083962j 0.0153296-0.0115636j -0.00191916-0.00796798j -0.00344167+0.00832881j 0.0018059+0.00266477j -0.0046776-0.00756218j -0.00295734+0.00758402j 0.000124993-0.00763799j 0.00522326-0.0008254j -0.00314076+0.00702638j -0.000554578-0.0020204j -0.00206712+0.00184863j -0.00151561-0.00631963j 0.000636118-0.00234293j 0.00166158-0.0016632j 0.00680593+0.00303739j -0.00125651-0.003122j 0.00162444-0.000235588j -0.000628551+0.00528518j -0.000414548+0.00279286j 0.00391571-0.00126064j -0.000435275+0.000689157j -0.0004489+0.00340057j 0.000425265+0.000129325j -0.00440367-0.0078899j -0.0113396-0.00130487j -0.00564909+0.00968015j -0.00287508+0.00883133j -0.0108854+0.0035718j 0.00961762-0.0100007j -0.000802522-0.0165824j 0.000216368-0.0175925j -0.0124341-0.0027278j 0.00368954-0.00125964j -0.00700274+0.000605617j 0.00584062-0.00891122j -0.00888086-0.00383977j 0.00838561+0.0142047j -0.00284534+0.0104265j 0.0127527-0.0016881j 0.00121567-0.00601897j 0.0174696-0.00267668j -0.0205418+0.00136334j -6.92628e-05-0.0149166j 0.0170185-0.00476455j -0.00830349+0.0141211j 0.00479144+0.0125896j 0.00238584+0.00328751j 0.00697815-0.00570672j 0.0103182-0.000225916j 0.0030412+0.0110375j -0.00130912-0.00790295j 0.00292467+0.0022203j -0.00389011+0.00342345j 0.00378577-0.00186554j -0.00103148-0.000491824j 0.000596791-0.0036149j -0.00138096-0.0011857j -0.00114676-0.000957066j 0.000141045-0.00195978j -0.000533699+0.00156423j 
