-0.00111428-0.00424071j 0.00185144+0.00543613j 0.00109932-0.00473403j -0.00360203-0.00421919j 0.00165157+0.00428787j 0.00253791-0.0056399j 0.00979153+0.0058539j -0.00189182+0.00425518j -0.00802006-0.00601851j 0.00834848-0.00224372j 0.00393297-0.000700729j 0.0125523+0.000647834j -0.00139034+0.00822088j -0.0110294-0.00326225j -0.00330191-0.00541813j -0.00219025-0.00250486j 0.00556978-0.000414701j 0.00174965-0.00169487j -0.00216311-0.00224034j 0.00255109+0.00114736j 0.00656811+0.00354639j 0.00737541+0.000175075j 0.00307424+0.000233237j 0.00426884+0.00207007j -0.00161317+0.00547448j 0.00353368-0.0011498j -0.00323208+0.0015913j 0.000619603+0.00195948j 0.0062083+0.00203721j 0.00484851-0.00332063j -0.000885426-0.00493385j 1.3437e-05-6.94338e-05j 0.00740432-0.00101968j -0.00179321+0.0015585j 0.00119947+0.00396566j 0.00359404-0.000350303j 0.00301577+0.00049507j -0.00439217+0.0049693j 0.00276993+0.00375028j -0.000914449-0.00130435j 0.00715736+0.00228462j 0.00287476+0.00655763j -0.0126323-0.00303987j -0.00377172+0.00489433j 0.00160985+0.000615839j -0.00321215+0.00253754j -0.00777165+0.00224797j -0.0071971+0.003921j 0.0068524+0.00912382j 0.00637805+0.000865243j -0.00908256+0.00314661j 0.00139665+0.0051235j -0.00309674-0.00524785j 0.00744758-0.0102241j -0.00818321-0.00878742j -0.0064588-0.0016852j 0.00229158-0.0110865j 0.00220417+0.00734605j -0.00435977-0.00533067j -0.0114041-0.0180816j -0.00882545+0.00478944j -5.22162e-05+0.00261146j 0.00299148-0.00117052j -0.0091299+0.00592209j 0.00142886+0.0045921j 0.00871243-0.00604868j -0.0144814-0.0294522j 0.0203308-0.00218611j -0.032224-0.0264386j -0.0145699+0.0216158j 0.0296005-0.0152329j -0.0292358+0.026132j 0.0144637+0.0368694j -0.0370615-0.0199565j -0.0214019-0.00413339j -0.0322079+0.00158332j -0.0149743+0.0104009j 0.000384329+0.0218099j -0.0130596-0.00979464j 0.0141379+0.000421771j -0.00632228+0.0110934j 0.0136221+0.000545095j 0.000678596+0.0138377j 0.0187402+0.00515606j -0.00776779+0.00552694j 0.00402141+0.0105097j 0.0160391-0.0026581j -0.0162599-0.00674778j -0.00328207-0.00884132j -0.0236796+0.000361679j 0.00428284-0.00088504j -0.309357+0.000875885j 
0.00169161-0.00190953j 0.00216695+0.00133304j -0.000511097+0.00116533j -0.000627216+0.000821317j 0.00242173-0.00214785j -0.0015246+0.00138165j 0.00599973+0.000604475j -0.000221796-0.00891443j -0.0148295+0.00391026j 0.00502983-0.00149668j -0.002058-0.013049j 0.0099025+0.00110175j -0.00501005+0.0107262j -0.00755052-0.00093902j -0.0017082+0.00271372j -0.000296501+0.000890051j 0.00505778+0.00738788j -0.000397987-0.00621684j 5.18082e-05-0.000637291j 0.00151481+0.00628995j 0.00408776+0.00358145j 0.00456036+0.0103008j -0.000845566+0.00228108j -0.00575341+0.0109548j 0.000814775+0.0179141j 0.00765139+0.00360637j 0.00450122+0.00436429j 0.00502702-0.0115428j 0.00687626-0.00415201j 0.00728305+0.00730676j 0.00124535+0.00830134j -0.00105747+0.00483942j 0.000722579+0.0134506j -0.00154339-0.0152826j 4.23057e-05+0.0120658j -0.00080906+0.00344445j 0.00564439+0.0152887j -0.0119052-0.00970668j 0.00716446+0.0188008j -0.012351-0.02879j 0.00598895+0.027991j 0.00807399+0.0202415j -0.0116168+0.00836111j -0.0200453+0.0156088j 0.00640064+0.00172607j 0.00742679-0.000419548j 0.000331854+0.0459592j -0.00222561+0.00157862j 0.0118136+0.0293314j 0.00128318-0.0140257j 0.00169891-0.0212898j 0.00716504-0.00330605j -0.0142104+0.00778318j 0.00526056+0.012354j -0.0162945+0.00954789j -0.00719218-0.0242118j 0.00809392-0.00312837j 0.000965168-0.0267544j -0.00280199-0.00020438j -0.0195142-0.000345923j -0.0118307-0.0128049j -0.00563644-0.00718115j 0.00283798+0.0091164j -0.00199701-0.0054002j 0.000799188-0.00958269j 0.00156264+0.0044282j -0.00844836-0.00172654j -0.0248046-0.00669957j -0.000983681-0.00228894j 0.00166393-0.0070413j -0.00657612+0.00550694j 0.0151122+0.00197938j 0.00641776-0.000113648j -0.017026-0.00817379j -0.00891695-0.00249027j 0.00819533-0.00716137j 0.0129354+0.00821307j 0.0157793+0.00093981j 0.0105962-0.00499572j -0.0548716-0.00218204j -0.208038-2.03547e-05j 0.00660324-0.00309813j -0.021416+0.000951009j 0.00976437-0.000940724j 0.0171191-0.0153798j -0.0465067+0.00633372j -0.0425905+0.00599119j 0.0232436-0.0019273j 0.00154211-0.0047339j 0.0136116+0.00255471j -0.00455067+0.000235974j -0.000880969+0.00193549j 
-0.000640496-0.00143862j 0.000964235-0.000373937j 0.00256166+0.000361687j 0.00180463-1.36742e-05j -0.0013343+0.00098862j 0.00466911+0.00135998j -0.00251887-0.00419392j -0.00248221+0.00341804j 0.00948403-0.00166342j 0.0111437+0.00391807j 0.00245172-0.000799918j -0.00152188+0.0046588j -0.00472482-0.00472579j 0.00868114-0.00537717j 0.00507075+0.0100231j 8.46309e-05+0.00561683j -0.0102443-0.00406908j -0.000998797-0.0057686j -0.00055597+0.0055924j 0.00184906+0.000532058j -0.0109596+0.00087615j 0.00329567-0.00289198j 0.00460351-0.0110934j -0.00437439-0.00340654j -0.00850367-0.000761475j -0.0120852+0.000894736j -1.18036e-05+0.00322984j -0.0049082+0.00109516j 0.00530198+0.00306421j -0.00964983+0.00380722j 0.00478454+0.00161191j 0.00380586+0.000734024j -0.00352415+0.00596718j 0.000245669-0.00970132j 0.00663008-0.00448974j 0.00490067-0.00924152j 0.000372634-0.0157442j 0.00514285-0.0226648j -0.0119181-0.01198j 0.0158345-0.0140009j -0.00506581-0.00412638j 0.00270966+0.0397685j -0.0117872-0.000747913j -0.00103559-0.0108099j 0.00408331+0.0404724j -0.00376243+0.0290765j -0.0145435+0.0102865j 0.00917327-0.0160721j -0.00711676+0.0501191j -0.0036566+0.0397853j -0.00140469+0.0286675j -0.00678024-0.0453379j -0.00259737-0.0135636j 0.0150498-0.016422j 0.0212269+0.0203519j 0.00417343+0.00600575j -0.00067423+0.0302663j -0.00396347+0.0109273j -0.0122122+0.0158464j 0.00679509+0.0272098j -0.00254646-9.19077e-05j -0.00165414+0.00443209j -0.000474453+0.00499181j -0.0106628-0.00251716j -0.0032302-0.0193346j 0.0126755+0.0038047j 0.00726273-0.00209095j 0.00365413-0.00709714j -0.00542767-0.00206513j -0.0111272+0.00292049j -0.0141072-0.00396539j -0.0207527-0.00160494j -0.0155498-0.00324422j -0.0078735-0.00775398j 0.000224603-0.00440212j -0.00887413-0.000301029j -0.00935843+0.00836309j -0.0201385-0.00129108j -0.104906+0.0012886j -0.0785994-0.00282601j 0.020965+0.00291354j -0.101504+0.0022316j 0.00862698+0.000915245j 0.00825549-0.00334561j 0.0956613+0.000686049j 0.0670222-0.00547544j 0.00316781+0.000873952j -0.00902287-0.00295744j -0.0128842-0.00180483j -0.00141198-0.000500677j 0.00221244+0.000716238j 0.00152838-0.000497031j 
0.000788228+0.00262288j -0.00157329+0.000698885j -0.00326221+0.000489112j -0.00168321-0.00112837j -0.00188637+0.00194242j -0.00430538-0.00840775j -0.00124897-0.00326464j -0.00252333+0.00318918j -0.0104853+0.00744154j -0.0119951-0.000481121j -0.00268746+0.00197059j 0.00151696+0.00367022j 0.00388507+0.00274823j -0.00698197+0.00133104j 0.000928079+0.00122595j 0.000300788-0.00345788j 0.0151467-0.00407159j 0.00271384+0.0016877j 0.00290065+0.0017111j -0.0036038+0.00529079j 0.0130218+0.00751216j -0.00244073-0.00500896j -0.00900519-0.00515639j 0.00736656-0.00388794j 0.00865561+0.00130798j 0.00840696-0.00899143j -0.0100873-0.000658229j 0.00199376+0.00658297j -0.0104126+0.000203597j 0.00527836+0.000391835j 0.000176125+3.55788e-05j -0.00887027+0.00153581j 0.00536519-0.00625671j 0.0111604-0.00844954j -0.00549934-0.0104397j -0.0036756-0.0166458j -0.00526381-0.0162734j -0.0022623+0.0191625j 0.00425007-0.019835j -0.0171229-0.000749944j -0.000272757+0.00932092j 0.00550994+0.0415689j -0.0024808+0.0515718j 0.00821225+0.0142131j -0.014308+0.00313784j 0.000745153-0.0102909j -0.00127029-0.0012014j -0.0278491+0.00820731j 0.00151985-0.00558321j -0.00930682-0.00768758j 0.00590687-0.000627774j -0.0173378-0.0182094j -0.00307269+0.0183936j -0.00228642+0.00283676j -0.0090519-0.020925j -0.0191289+0.00292459j -0.00148434+0.00311575j -0.00397239+0.00626462j 0.0205428-0.00321331j -0.00135334+0.00244836j 0.00754024+0.00271914j -0.00561534+0.0079871j -0.00601432+0.00232497j 0.0104078+0.0038912j 0.0144644-0.00410058j -0.0199126+0.016477j 0.00341615-0.0016673j -0.012323-4.14624e-06j 0.0210635+0.00411201j 0.0137065+0.00593672j 0.000223074-0.000774446j 0.0101091+0.00238263j -0.00387433-0.000745804j 0.00745861-0.00278295j 0.00869659+0.000603237j 0.028014-0.00222356j 0.013321+0.00720784j -0.013468+0.0164015j -0.103001+0.00293507j 0.139123-0.00447237j -0.0965734-0.00367664j 0.0226729-0.00439256j 0.0570981+0.00406539j -0.0312384-0.00347936j -0.0082356+0.00996953j -0.0426887+0.00116448j 0.010592+0.00759989j -0.0499147-0.0013706j 0.0176251+0.00334535j 0.00312674+0.000858887j -0.000555689-0.0014716j -0.00393093-0.00161408j 
-0.000665618-0.000102375j -0.000484325-0.000306914j 0.00285443-0.00307564j 0.00143748+0.000742915j -0.00124248-0.000377995j 0.00290858+0.00653621j 0.000626559-0.00320371j -0.00433925+0.00251284j 0.00652585-0.00112247j -0.000164092+0.00122313j -0.000609705-0.000690825j -0.00223393-0.00016507j 0.00136484-0.0070528j 0.00238481-0.00115732j 0.0085886-0.00216497j -0.00120274+0.00425254j -0.00618617+0.00443978j -0.00544946-0.00432131j -0.00499413+0.00624902j -0.00207346-0.00955087j -0.00709092-0.00273928j 0.00464246-0.0165817j -0.00162909-0.000349533j -0.00877685-0.00872032j 0.00196639+0.00784329j -0.00447374+0.00158795j -0.00455796+0.0197905j -0.0019208+0.0102751j -0.00486339-0.0041668j -0.00764509+0.00109548j 0.00285099-0.0108575j -0.00148185-0.00768388j 0.00356965-0.0115946j 0.00109704-0.0269039j 0.00281698+0.0162052j 0.00466364+0.0224518j -0.0125244-0.0205216j 0.00489224+0.0151826j -0.00474653+0.00594492j 0.00370415+0.0310082j -0.00593682+0.0435825j -0.00388619+0.00935732j -0.0138755+0.00820667j 0.00156718-0.0160139j -0.00349166-0.00273158j 0.00292673-0.00570869j 0.000546803-0.0208799j -0.00225306+0.0186139j 0.00196821-0.0124775j 0.0144419+0.0307115j 0.00200683-0.00601596j 0.00393589+0.0295082j 0.0030276+0.00468141j 0.0161034+0.00960965j 0.0117164+0.00513471j 0.00372034+0.0162639j 0.0115434+0.00769469j -0.00881977-0.00610793j -0.00253988-0.00152292j 0.00308073+0.004113j -0.00542803+0.00559974j -0.00449686+0.0014286j -0.00391633-0.00495185j -0.00520284+0.0105671j -0.000656637-0.00788429j 0.00832813-0.00315987j 0.0263263+0.00546244j 0.00334578+0.00280141j 0.0193756+0.00102738j -0.0155807+0.00301709j 0.00281228+0.00448025j -0.0178769+0.00688925j -0.0577036+0.0068529j -0.0117507+0.0129434j -0.00357008-0.000964024j 0.0311529+0.00299555j -0.0517373-0.00424026j 0.173805+0.00282093j -0.0573255+0.000221929j 0.00155736+0.00475962j 0.0607925-0.00283515j 0.013261+0.00504658j 0.0535731+0.00167688j -0.00246163-0.00563196j 0.0039532-0.000673226j 0.0100016-0.000230467j -0.0213241-0.00646172j 0.00323869-0.000436586j -0.0068766-6.98906e-05j -0.000727308-0.0022561j 0.00289791+0.000340732j -0.000327218+2.66005e-05j 
0.00209179-0.00102948j 0.000473133+0.00239377j -0.00177888-0.000646959j 0.00157607-0.00102858j 0.00361269+0.00684609j -0.00568676+0.00392019j -7.67168e-05-0.00118531j -0.00226698+0.00813313j -0.00828439+0.00421844j -0.00367379-0.00151151j -0.00540066+0.00466493j 0.00635921+0.00421558j 0.00509818+0.00438875j -0.00273804-0.00503674j -0.00127411-0.00506219j -0.00168529+0.00431924j 0.00482593-0.00684815j -0.00144487-0.00182401j -0.0034653-0.00518476j 0.00815151-0.00546995j 0.00305122-0.00156465j 0.00395328+0.0020138j -0.000921632-0.0119789j 0.00107889+0.00404018j -0.00238188+0.013607j -0.00596406+0.00712313j -0.00276775-0.000599515j 0.00844189+0.00262917j 0.000177617-0.00430703j 0.00731677-0.00849011j 0.00317908-0.026394j -0.00370859-0.00649832j 0.00286347+0.0309136j -0.003104+0.00494329j 0.00335574+0.0153038j -0.0185193+0.0143915j -0.0018693-0.040284j -1.2351e-05-0.010433j 0.00622234-0.00495415j 0.0018539-0.0441303j -0.00709018-0.00271555j 0.00600321+0.0122366j -0.00449049-0.0111471j 0.00159581+0.00732189j 0.0053127-0.0366665j 0.00170635+0.0191345j 0.0180385-0.00718277j 0.00921468+0.00472315j 0.0156918+0.0237212j 5.80025e-05+0.0227447j -0.00244315+0.0121267j -0.00326036+0.0323138j 0.00111468-0.00249328j -0.00645622-0.012128j -0.00586546+0.00928705j -0.0117725-0.00245866j -0.0155557+0.00720356j 0.000213611+0.000652203j -0.00922911+0.0212032j -0.00401625-0.00793395j 0.00439602-0.00356381j -0.00959605+0.00423518j -0.00104498+5.48868e-05j 0.00594531+0.0119153j 0.0104597-0.00518337j -0.0111223-0.011814j -0.00476563+0.00597954j 0.00667248-0.0036038j -0.0010308-0.000655396j 0.000333834+0.00243264j -0.039504+0.00780925j 0.0511877-0.0018689j -0.00336601+0.00663604j 0.0395571-0.00365725j 0.00970425-0.00212217j -0.0612624-0.00355576j -0.140571-0.00258372j -0.0185496-0.00124033j -0.0321561-0.00944876j -0.0304122-0.00482075j 0.00527056+0.0050633j 0.0908764+0.00301166j -0.0245064+0.00373287j -0.00730684+0.0074067j 0.0156336+0.00379033j -0.0398859+0.000637639j 0.0100609-0.003042j 0.000966308+0.00468655j 0.00338992+0.000401332j 0.00268093-0.00061979j -0.00374931-0.00198921j -0.00217744+0.0013885j 
-0.000579736-0.000439436j 0.00114635+0.000464277j -0.00137644+0.00266728j -0.00329427+5.45514e-05j 0.000329612+0.00448782j -0.00149694-0.00140023j 0.00485746+0.000413358j -0.00341617+0.00144151j -0.00110227+0.00216659j 0.00260485+0.00261117j 0.00822253+0.00207187j 0.0031225+0.00841032j 0.00256835+0.0068525j -0.0017335-0.0103202j 0.00137789-0.00236802j 0.00497784-0.00110569j 0.00493292+0.000918016j 0.0045171-0.00363765j -0.00737198-0.00205692j -0.00261353+0.0050599j -0.00101411+0.000910905j -0.00356118-0.00324864j 0.000179177+0.00245366j 0.000962326+0.00207388j 0.0033678-0.00257637j 0.00224321+0.0034796j -0.00276464-0.0128132j 0.00805641+0.00697516j -0.006934-0.00468427j 0.00707339+0.00885307j -0.00216241-0.0150001j -0.00742431+0.0119224j 0.00191053+0.0120748j -0.00419514-0.0202393j 0.00255538-0.0160388j -0.00300649+0.00741909j -0.00114508+0.00830974j 0.00605734-0.0146818j 0.00130206+0.0263093j 0.00537091+0.0147769j 0.00894081-0.0438916j 0.00804643+0.0304131j -0.00684055+0.0523584j -0.0129592+0.00779088j 0.00143185+0.0204495j -0.000498234+0.0224798j 0.0186309-0.00834964j 0.000627263-0.00739855j 0.00569371+0.0237057j -0.00470997+0.027057j -0.0107548-0.00564109j 0.00451503-6.65593e-05j 0.0069275+0.00185069j -0.00362106-0.00374199j -0.012558+0.0101735j 9.65249e-05+0.000695392j 0.00712828+0.00134929j -0.0045139+0.00513843j -0.00307093+0.00362537j -0.0086547-0.00269836j -0.00722684-0.00755315j 0.00195+0.00470875j -0.00923973+0.0135211j 0.00120373+0.000535816j 0.001242-0.00727901j 0.00556265-0.00520373j 3.01472e-06-0.00232839j 0.00225623+0.00437859j -0.0274368+0.00578033j -0.00328645+0.00105742j 0.0182732+0.00444709j 0.000372576-0.00823572j 0.015014-0.00229735j -0.0452057-0.00244553j 0.0391708+0.000126874j 0.0932736-0.00283657j -0.0652409+0.00333143j -0.029855-0.00265009j 0.0432762+0.0049134j -0.0219416+0.00266144j 0.00106935+0.00295392j 0.00344083+0.000930101j -0.0198095-0.00324257j -0.0840571-2.66189e-05j 0.0104169+0.0042686j -0.0285177-0.00193726j 0.00190994+0.00111974j 0.00964252+0.00287236j 0.00451068-0.00017141j 0.00648565+0.00132129j -0.00129903-0.0006996j 0.00218218+0.000290089j 
0.000387022+0.00134844j -0.00140828+0.000945708j 0.0016884-0.00346423j 0.000633954+0.00344061j -0.0043769+0.00421704j -0.00418521-0.00395675j -0.0046118+0.00593249j -0.00122536+0.00104833j 0.00556852+0.00430047j -0.00182068+0.00173062j -0.00223423-0.00283716j -0.00419337+0.00302038j -0.000715149-0.000446437j 0.00783866+0.00693428j 0.00951574-0.0120038j -0.00191536+0.00290893j -0.000663168+0.000258933j 0.00188463+0.00776496j 0.000527705-0.0101231j 0.000447939-0.000389075j -0.0002836-0.00900044j -0.0035479+0.00485324j -0.00914851+0.00433504j 0.00760438+0.00579255j 0.00278396+0.0100923j -0.0180232+0.00313321j -0.0022384+0.00593155j 0.00337244-0.013548j -0.00560258+0.00273726j 0.00378845-0.0245099j 0.00752857+0.00250162j -0.00608997+0.00141752j 0.00300144+0.0126531j 0.00453578+0.00382908j 0.00215187+0.0165431j 0.00412713+0.0291044j -0.0132289+0.0400535j -0.00060124+0.00712738j -0.00664406-0.00973017j -0.00325906-0.0165535j -0.0152005-0.00579786j 0.00992226-0.0205318j 0.0168316-0.00928058j 0.0053799+0.0111588j -0.00889012+0.0185904j -0.0132698-0.0225829j 0.00973462+0.0473149j 0.00609615+0.0133774j -0.0033837-0.000551202j -0.0166254-0.0141394j -0.00349234+0.00648056j 0.00883832+0.0189931j 0.0160547+0.0316608j 0.00198012-0.0169643j 0.0115909+0.00819007j 0.000863437-0.0116132j 0.000262523-0.00469385j 0.00654577-0.00571448j 0.00357376+0.00864681j 0.00886898+0.00311685j -0.0010336+0.000403434j 0.0154321-0.00279213j 0.00188475-0.0040513j 0.0154897-0.00111866j -0.0211041-0.000986077j -0.0178695-0.00991311j 0.0187581+0.00310614j -0.0011175+0.00395274j 0.0241228-0.00406606j 0.0264423-0.00309665j -0.0206533-0.000533446j -0.0326703+0.00138373j 0.045227-0.00189421j -0.00759031-0.00267831j -0.100057+0.00449116j 0.078808-0.00102424j -0.114238-0.00122102j 0.0229691-0.000135467j 0.0279805-0.00574668j 0.067164+0.00358181j 0.0421244-0.00199135j -0.0204675-0.00846709j -0.00950431+0.00928841j 0.000203366+0.00105937j -0.0359764-0.00156207j 0.00153691-0.00809061j 0.0228089-0.000173248j -3.20723e-05+0.00278252j -0.00275809-0.00136671j -0.0023127-0.000846291j 0.000426503-0.00182497j -0.00165936-0.000711313j 
-0.00127565-0.000519262j 0.000574197+3.56225e-05j 0.00207285+0.0033529j -0.0014029+0.00164983j 0.000719401+0.00630613j 0.00101796-0.000295139j 0.000697904-0.000908599j -0.00466812+0.0037245j 0.00717062+0.000203859j 0.0049913+0.00631172j 0.00876835-0.00255821j -0.00304481+0.00388632j 0.000565733+0.00531604j 0.00056384-0.00270408j 0.00590296-0.0107167j 0.0043448+0.0078168j -0.00680272+0.00571445j 0.00121574+0.00663897j -0.00855384-0.000953983j 0.000256802+0.00443537j -0.00668412-0.00762412j 0.000416274-0.00969002j 0.000779099+0.022755j -0.00689624+0.0237907j -0.00581735-0.00165281j 0.00288882+0.00776437j -0.00523077-0.0215411j 0.00320579-0.000747586j 0.000507663-0.0273597j -0.00171304+0.0109337j -0.00923492+0.0150744j 0.000941284-0.0184929j 0.00372813-0.00913083j -0.00570102+0.0108242j -0.00781211-0.00742675j 0.000579781-0.00422374j 0.00653147-0.00745736j -0.00886179+0.0249558j -0.0121363-0.000550925j 0.00983481-0.000238756j 0.00192678+0.0444062j 0.000281291+0.0118689j -0.0123738-0.00155597j -0.0202596+0.0182106j 0.00160643-0.0032065j -0.00990812-0.0290301j 0.00958851+0.0123897j -0.0127138+0.0110608j 0.00959978+0.00454422j -0.00469464+0.00363877j -0.0164292-0.0114081j -0.011526-0.00245638j 0.00546046+0.022546j 0.00461166-0.0135757j 0.00369348-0.00116502j -0.00704031-0.00726826j 0.00584626-0.00731622j -0.0222323-0.00767297j -0.0133666-0.000248108j 0.00962844+0.0129456j -0.012155+0.0115949j -0.000865557-0.00343528j -0.00747168-0.00574886j -0.0020018+0.00339658j -0.009496-0.00125943j 0.0131926+0.00153434j 0.00874777+0.00424824j 0.00349119+0.00800353j -0.0174602-0.000147656j -0.0199653-0.00156121j 0.0656951+0.00410322j -0.0367157+0.00206266j 0.0879226+0.00150957j 0.0992999+0.00450095j 0.0403429-0.00339929j 0.0620431-0.0048688j -0.0251961+0.00230099j 0.0709638+0.00535649j -0.0183016-0.00278054j -0.0466802-0.00262237j 0.0184863-0.00644578j -0.00150149-0.00542314j 0.030392-0.00137114j 0.00590316+0.00349506j 0.0426237+0.00182811j -0.0156339+0.00384514j 0.00645085+0.00140118j -0.000149558+0.00343506j -0.00596343-0.000431356j 0.00401055+0.000296717j 0.00034822-0.000747403j 0.0023602+0.000583758j 
-0.000847355+0.000129226j 0.000160351-0.000416055j 0.000146069+0.00249576j -0.000930222-0.000527954j -0.00183593+0.00102796j 0.00365592-0.00227153j 0.000192799-0.00257073j -0.00476909+0.00190336j 0.00387679+0.00113069j 0.00509486+1.7067e-05j 0.00362828+0.00282909j 4.16197e-05+0.00501395j -0.00140317-0.0100047j 9.67901e-05-0.00905443j 0.00678877+0.00439051j 0.00314986+0.000999004j -0.00247031-0.0106045j -0.000554174+0.00488172j 0.000118406+0.000280872j -0.00112216+0.000446425j -0.0038974+0.00563546j 0.000462126-0.00250414j 0.00219608-0.0136392j -0.00102882-0.0166258j -0.00284639-0.00132907j -0.0008789+0.0073651j -0.00328268-0.0203363j -0.00599049+0.0135591j -0.00260435+0.012494j -0.00477535+0.00895686j -0.00144707+0.00416239j 0.00448265-0.0145189j 0.00283798-0.00187095j -0.00354635+0.00804742j 0.00263167-0.0459682j 0.0116559+0.00344396j -0.00334708+0.0133257j -0.00304462+0.0721919j -0.00521512-0.00722434j 0.00806833-0.0445259j 0.0069994+0.02111j 0.00839964-0.0199662j -0.0022423-0.0222764j -0.0076134+0.0180563j 0.00555591-0.047402j -0.0119338-0.00723113j -0.0100174-0.00920071j -0.00285297+0.0265688j -0.00444235-0.0365989j 0.000105937-0.0160449j 0.00266893-0.00478525j -0.00544153-0.00117586j 0.000151623+0.00898829j 0.00669407+0.0185447j -0.00323807-0.00210231j -0.00526092+0.000477914j -0.000871549+0.00901253j 0.00316115+0.0114973j -0.0082183-0.00481255j 0.0066134-0.00364251j -0.000935838+0.00892751j -0.00401832-0.00859669j -0.00863289-0.00732596j -0.000556414-0.00639715j 0.0237122+0.00716014j 0.0014267+0.00437721j 0.00400521-0.00324899j 0.0260486+0.00304919j 0.0027781+0.00240033j -0.0473624+0.00590015j -0.0673686+0.00192836j -0.0413925+0.0026084j 0.0185299-0.00506713j -0.017664-0.000512697j 0.0238132-0.000984359j 0.0170529+0.00279623j 0.0257187-0.000373321j -0.0389904-0.000818408j -0.069659+0.00601884j -0.0538048-0.00629521j 0.0365361-0.0018519j -0.0178587+0.00307774j 0.0182863+0.0027029j -0.0308596-0.00221451j 0.0126006+0.00378998j 0.00954185+0.000185777j -0.000318311+0.0017295j -0.000628284+3.88892e-05j 0.00174144+0.000744677j 0.00314228+0.000462362j 0.00156895+0.00048764j 0.000717077-0.000446434j 
-0.000143763+0.00141484j -0.00265366+0.000365954j 0.000215494+0.00332091j 0.000484019-0.000676558j 0.00064499-0.00192738j 0.00241688-0.00441502j -0.00727195+0.0011176j 0.00426936-0.00546748j 0.00442373+0.000130248j -0.00871363+0.0024276j -0.00996057-0.0015133j -0.0121232+0.00119194j 0.00161928+0.0067231j -0.000187422+0.0095193j -0.00498252-0.00750047j -0.00129515+0.0100267j -0.0148038-0.000700705j 1.86541e-05-0.00820066j 0.00811058-0.0121914j 0.00454134+0.00896897j 9.04258e-05-0.0037379j -0.000615456-0.00166823j 0.00116756-0.00579505j 0.00391307+0.00182316j -0.00506953+0.0182281j -0.00541851+0.0113935j 0.00950793+0.00433196j -0.00511821+0.00228516j 0.0177593-0.0197446j -0.00586779-0.021736j -0.00729349-0.0166145j 0.00771007+0.00582533j -0.00304717+0.0024199j -0.00153647-0.0314761j 0.00257533-0.0370973j -0.00546206+0.00154039j 0.00820967+0.00586723j -0.000437901-0.0227995j -0.00136785-0.0275084j 0.00850074-0.044549j -0.00345656-0.000165162j -0.00632877-0.0113587j 0.00737887-0.00704935j -0.00261854-0.00907453j 0.00668626-0.0224469j -0.00333004+0.00593346j 0.00699586+0.0228636j 0.0067649-0.00406529j -0.0113128+0.0139278j -0.0055506-0.0136676j 0.0189743+0.00200779j 0.0014936-0.00227137j 0.00561344+0.00796512j 0.00503484-0.00941724j -0.00705338+0.00345293j -0.00219797-0.00836575j 0.0051928+0.0074348j -0.00109349-0.00218944j 0.0143546+0.00823848j 0.00323728-0.00646869j -0.0180147-0.00835893j 0.00384118+0.00627934j 0.0135625+0.0033104j -0.000143842+0.00189275j -0.00944503-0.00443294j 0.00396129-0.00134412j 0.0218458-0.00342688j -0.0337087-0.00505905j 0.0582816+0.00250088j -0.0538483+0.00606341j 0.0550721+0.00516752j 0.092912+0.00113001j 0.0229426-0.0050953j -0.069103-0.00502715j -0.0612841-0.000544549j 0.0165295-0.00013299j 0.00961436+0.00397104j -0.0114713-0.00212679j -0.0239545-0.00144023j -0.0119608-0.00580966j 0.000951885+0.00698898j 0.0391831-0.00897157j -0.0134302+0.0006459j 0.0240489+0.0019088j 0.0107028-0.00215639j 0.00857693-0.00236936j 0.00854095+0.00248052j 0.005418+0.000914949j -0.000586052-0.000600504j -0.00605277+0.00228625j 0.00251373+2.46321e-06j -0.00117449-0.000420197j 
