-0.00452586-0.0172117j 0.0106758+0.00464201j 0.00805846-0.00537092j 0.00828007+0.0194518j 0.00360258+0.0111332j 0.00341958-0.005651j 0.0077711-0.00411053j 0.0112313+0.00686913j 0.0012805-0.00186269j 0.00279417+0.00180472j 0.000452541-0.00471568j 0.00103292-0.0033447j 0.00488295+0.00215574j 0.00410956-0.00226784j 0.00634251+0.00921667j -3.72045e-05+0.00735385j 0.00397619+0.0035435j 0.00298887+0.00463499j 7.57528e-05+0.0055575j -0.000833957+0.00816694j -0.00179718+0.00968922j 0.00197251+0.0124453j -0.000411219-0.00313032j -0.00957642-0.00532645j 0.012253+0.0139389j 0.000246847-0.011114j -0.00454695-0.00776161j 0.000123124-0.00283963j -0.00389862-0.0121324j 0.000373943-0.00357866j 0.00230568-0.00575408j 0.00525072+0.00512984j 0.00724964+0.00228066j -0.00494559+0.00190848j 0.00736744-0.000850695j 0.00188461+0.0101341j 0.00917272-0.00964299j -0.00290486-0.00501867j 0.00107984-0.00638119j 0.00681255+0.00700913j 0.00163319+0.00293611j 0.00372081-0.0103221j -0.00287437+0.00276602j 0.000293066-0.00582931j 0.00878025+0.00156105j 0.0080486-0.000711366j -0.00212351+0.00937722j -0.0104854+0.00405269j 0.00196577+0.00791548j 0.011375+0.00395172j 0.000333379+0.00148833j -0.00112308+0.0047884j -0.014525-0.00630382j -0.0105797+0.0139208j -0.0222423+0.0200969j 0.0169103+0.0124594j 
0.00433481-0.000300267j -0.00303084+0.0017657j 0.000492807+0.00247696j -0.00515279+0.000543462j -0.00356371+4.03506e-05j 6.85786e-05+0.00160904j -0.00290754+0.0035875j 0.00315384+0.00117522j 0.00247733-0.000489462j 0.0107717-0.00385764j 0.00606604-0.00214904j -0.00825361+0.00520435j 0.0110195-0.00236637j -0.0126213+0.00226428j 0.0166702-0.00435709j 0.0152439-0.00570481j 0.0159134-0.00846057j 0.0170869-0.000963121j -0.0116126+0.011131j -0.00435504-0.000209477j 0.0041196+0.0014403j 0.00128271+0.00299607j -0.0275259+0.0045266j 0.00498343+0.00389695j -0.014111-0.000190246j 0.0204083+0.00524593j -0.0125901+0.00434024j -0.0007085-0.0013195j 0.0174625-0.00398935j -0.000866428+0.000279235j -0.00322565+0.00568231j 0.023639+0.00253352j 0.0328567+0.0012812j -0.00117135-0.00511441j 0.00220305+0.00640459j 0.0173272+0.00399831j 0.00944818+0.00529412j -0.0147457-0.00605616j -0.0166446+0.00193664j 0.00345559-0.00162412j 0.00778434+0.00801455j 0.00320713+0.00827885j 0.00597341+0.00304164j 0.0189042+0.0136763j 0.00092264-0.00343777j 0.0146638+0.0053545j 0.00278882+0.0145353j -0.00136729-0.00194925j 0.0112956+0.00636847j 0.000173108-0.0101113j 0.0163562+0.00940314j 0.000187125+0.00103037j 0.00187334+0.000240806j 0.000550077-0.00265361j 0.00104745-0.00333606j -0.00151877-0.00297581j 
0.00373175-0.00061906j -0.00101241+0.00124229j 0.00489578-0.000416838j -0.000426385+0.00111629j -0.000335626+0.00182156j 0.00284564+0.000214792j -0.0142636+0.00781393j 0.00135263-0.000511566j -0.00195342+0.000364843j 0.00480261-0.00559234j 0.0147929-0.00550557j 0.00109828+0.000802335j 0.016252-0.00430993j -0.0107969+0.00286469j 0.0025751+0.00204421j 0.00134525+0.00580824j -0.0149361+0.00216837j -0.0145788+0.00223777j -0.00214951+0.00514641j 0.00331107+0.000469063j 0.00556001-0.00412219j 0.00696325-0.000440711j -0.00848803-0.00137942j -0.0185025+0.00593696j -0.00741696+0.00773547j -0.0120573-0.00141145j 0.00356164-0.00437081j 0.0297-0.00271371j -0.0289943+0.00381787j -0.0100158+0.00154986j 8.11967e-05+0.0044492j 0.00331069+0.00393661j 0.00376093-0.00213928j 0.00534043-0.00057682j 0.00462756-0.00194251j 0.00992087+0.00180566j -0.00205548+1.43352e-06j 0.00881219+0.0102191j 0.0159454+0.0081673j -0.00366616-0.00106498j 0.0201463+0.0135843j -0.0123892-0.00821416j 0.00561261+0.00931164j -0.00856451-0.00185796j -0.00551425-0.00602472j 0.0138079+0.00565977j -0.00816159-0.00613654j 0.00399035-0.0037646j -0.00290727-0.00448289j -0.0106959-0.0104572j 0.0154842+0.00487291j -0.000496754+0.00508171j -0.000820124-0.0034674j -0.00217108-0.000828681j 0.000656754-0.0025388j -0.00151461-0.00120161j 
0.00142848+0.000268837j -0.00127406+0.0011506j 0.0116159-0.00455796j 0.00206409+0.0022999j 0.000898025+0.00389056j 0.00299021-0.00100073j -0.0170574+0.00724048j 6.03182e-05+0.000510059j 0.00132901-0.000135418j -0.00154384-0.00164662j 0.000265017+0.000275055j -0.00894186+0.00658019j -0.0109456+0.0022868j -0.0206167+0.0051113j 0.00259691+0.00435069j 0.00118067+0.00403469j 0.0151216-0.0065966j -0.0216376+0.00280254j 0.0028052-0.00378624j 0.00315972-0.000409961j 0.0100481+0.00392448j 0.00866455+0.00277469j 0.00768302-0.00404919j -0.00217581-0.000353488j 0.025987+0.00545697j -0.013187+0.00121378j -0.000744564-0.00335871j -0.0220395+0.00557966j 0.00380959-0.00357701j -0.0175239-0.00275653j -0.0275093-0.00176898j 0.00245445+0.000302688j -0.00783475-0.00456232j -0.00344412-0.000440362j -0.00192423-0.00204745j -0.00947619-0.00673948j -0.00426794-0.0066418j -0.00381651+0.00160498j -0.0155454-0.00461534j -0.0113964-0.00105397j -0.000364733+0.000379135j 0.00259071+0.0111516j 0.00536787+0.00705489j -0.00151446-0.00285676j 0.00347617+0.00930976j -0.00742772-0.00362519j 0.000845731+0.00523535j -0.0042711+0.000219526j -0.00655756-0.00781886j -0.00765562-0.00882097j 0.014973+0.00982394j -0.00628917+0.00277378j -0.00170625-0.00688098j -0.00660086-0.00238414j 0.00107799-0.000619062j -0.00153645-0.000777816j 
-0.00945816+0.00589882j -0.00528669-0.00127101j 0.0099916-0.00834982j 0.000404693+0.000323097j -0.00545717+0.00413889j 0.00765414+0.000389521j -0.0015782+0.000260696j -0.012567+0.00706301j 0.016456-0.00572566j 0.00666898-0.00192409j -0.00330016+0.00388612j 0.0240344-0.00847959j -0.00219478+0.00558508j -0.0187903+0.00634195j 0.009499-0.00130804j 0.0068683-0.000967549j 0.0141856+0.00112014j 0.00688211-0.00149367j -0.00907371-0.00510071j 0.0231527-0.0127362j -0.00607698-0.000756055j 0.00459444-0.00160634j -0.0252643-0.00285408j -0.00829963+1.31507e-05j -0.0139146-0.00255157j 0.0109774-0.00221565j -0.0223558-0.00444483j 0.00742546-0.00157708j 0.00495324-0.000226461j -0.00139714-0.00815483j -0.000421451-0.000454788j 0.00327967-0.00208553j -0.0135904-0.00499772j -0.0143465+0.00201902j -4.67877e-05-0.0070835j 0.019391+0.00337875j 0.0236442+0.0103196j 0.00474231-0.00132633j -0.00051489-0.00133431j 0.019717+0.000976412j 0.00269887+0.00240224j -0.00652999+0.000888633j -0.0045492-0.00817257j 0.000703209+0.000621867j 0.0125438+0.0049422j -0.0153851-0.00306145j -0.00233267-0.00604007j 0.00155361+0.00298944j -0.0112021-0.0026242j 0.00272193+0.00248616j -0.00142402+0.000318655j -0.00519208-0.00262455j -0.00233718-0.00700082j -0.010166-0.00600465j 0.00377904+0.00624926j 0.00454321-0.00179625j 
-0.00288448+0.00276726j -0.00311806+0.000481577j 0.00291705-0.00207007j -0.00130749-0.000341522j 0.00187886-0.000820839j 0.00410921-0.00215036j 0.0104577-0.00283361j -0.0074546+0.00359471j 0.00590049+0.000204289j -0.00824896+0.00561483j -0.00820106+0.00248191j -0.00620809+0.00199053j 0.018014-0.00780209j -0.0172092+0.00480413j 0.016509-0.00579177j -0.0115639+0.00680927j 0.000628687+0.000607154j -0.00104995+0.000434544j -0.0200111+0.00711403j 0.00676419-0.00382268j -0.00620418+0.0030867j 0.0123074-0.00468193j -0.00126653-0.00919009j 0.018976-0.00464953j 0.00010261-0.00197572j 0.0277333+0.00123144j -0.00947959+0.00160949j -0.00585936-0.00643028j -0.0122085+0.00291003j -0.00794695+0.000715021j -0.0144545-0.00572696j -0.000239473+0.00150747j 0.00675701+0.00226116j -0.00290896+0.00111235j 0.0294402+0.00480139j -0.0083269-0.001776j -0.00526493-0.00106755j -0.0222543-0.00883686j 0.0105121+0.0032127j 0.0111525+0.00103132j 0.00116805+0.00453432j 0.00134147+0.00508994j -0.00643689-0.000675774j -0.0133118-0.00897785j -0.00891476-0.00875973j 0.00963663+0.00108378j -0.00823144-0.00882469j -0.00312662-0.00610336j -0.00646289-0.00234045j 1.2753e-05+0.0041478j -0.00577248-0.00399867j 0.000655742-0.000676254j -0.000590969-0.00206493j -0.00351314-0.00216488j 0.00260579+0.00182421j 0.00149681-0.00112071j 
0.0040948-0.00526732j 0.00747963-0.00243834j -0.00895998+0.00319737j 0.00698642-0.00152121j -0.00361764+0.00200046j 0.00955987-0.00431911j -0.0123731+0.00743294j -0.00819431+0.00371321j -0.00947606+0.000603919j 0.01322-0.00657549j -0.00610037+0.00555877j -0.00963147+0.00498237j -0.0121008-0.00490233j 0.018477-0.00119861j -0.00869825+0.00217828j -0.0221955+0.00511681j -0.00451424-0.00375221j 0.0154322+0.00078418j 0.0085207-0.00110216j -0.00196717-0.00101631j -0.0227759+0.00239858j -0.000228574-0.00183916j 0.0180814+0.00727601j 0.00569745+0.00187976j -0.0193305-0.00384747j 0.00763573-0.00146518j -0.00377476-0.00434647j 0.0122828+0.00186813j 0.00891957+0.00464554j -0.00976954-0.005042j -0.0257039+0.000900646j -0.00353029-0.00145126j -0.00477263+0.00102539j -0.00268964+0.00330094j 0.000648581+0.0043353j 0.0042981+0.000517952j -0.00939436-0.000891012j 0.000318127-0.00381436j -0.00607515-0.00274324j 0.0023025+0.00606835j 0.00453429+0.00960739j -0.00508475-0.00145384j 0.00268515+0.00556496j -0.0114147+0.000383221j -0.00388782+0.00485425j -0.0163623-0.00759138j -0.00358934-0.00336292j 0.0072116+0.00769011j 0.000912214-0.00171185j -0.0106848-0.00967105j 0.00875081+0.000447976j 0.00229898+0.00559501j -0.0019045+0.00187138j 0.00643824+0.00549531j -0.00593442-0.00280342j -0.00175978+0.00248198j 
0.00206609+0.00114964j -0.00652153+0.00500472j 0.0119138-0.00739688j 0.0102877-0.00508109j -0.00761576+0.00610067j -0.0101799+0.00579529j 0.00651371-0.00483104j -0.00868298+0.00573446j -0.0175539+0.0153418j 0.0024451-0.00502687j 0.00161388-0.00089969j -0.0103798-0.00100244j 0.00244853-0.00020803j 0.0185086-0.00147484j -0.00991365-0.00182562j -0.00722949+0.00141737j -0.00124107-0.000485158j -0.0101449-0.0010796j 0.0330659+0.0032104j -0.0182398+0.00270031j 0.00912975-0.00135509j 0.0106453+0.00566895j 0.0142484+0.00164864j -0.00369371-0.00192373j -0.0117499-0.00345989j 0.0108055+0.00858101j -0.0124662+0.00600281j -0.0102247-0.001508j -0.0123484-0.00191756j 4.96764e-05-0.00248088j -0.000781317+0.00368585j 0.0057525+0.00821694j -0.00869078-0.00746045j 0.00940027-0.00474082j -0.0110602-0.00690159j 0.00306861+0.00132915j -0.00971583-0.00543583j 0.000431715+0.00344141j -0.00185416+0.000180549j 0.0137562+0.00275118j 0.00667287-0.00256757j 0.00193473+0.00299831j -0.00884754-0.00537113j 0.0143156-0.000813071j -0.00998667-0.00708434j 0.00417493-0.00088473j 0.00319646+0.00143419j -0.00457834-0.00209441j -0.0147507-0.00524218j 0.00691559+0.00495311j 0.00275508+0.00506054j -0.0039855+0.000246995j -0.00385449-0.00530572j -0.00799625-0.00275037j 0.00411097+0.00040542j -0.00277558-0.00235406j 
-0.010547+0.00461624j 0.0110375+0.000224802j 0.00292799+0.00116338j 0.00669191+0.00159014j -0.00159535+0.00146401j -0.0025318+0.00114314j 0.000340106+0.000272421j -0.0019368+0.00528288j 0.00675682-0.00348707j 0.00276478+0.00353207j -0.00141561-0.00501959j 0.00275707+0.0016994j -0.0015325+0.00212899j -0.000898131-0.00127859j -0.00459436+0.000545313j -0.00355709+0.000259562j -0.00103421+0.00114349j 0.00844729-0.00316245j -0.00535242-0.00399299j -0.00697742+0.0014732j -0.0130172+0.00307782j -0.00323661-0.00155898j 0.000315374-0.000771756j -0.00654244+0.00347457j 0.00569146-0.00741776j 0.0030883-0.00247419j 0.00127926-0.00122582j 0.00387158-0.00254368j 0.00329819+0.000754882j 0.000837432+0.00156099j -0.00825862-0.00246863j -0.00929624+0.00323113j -0.0036757-0.00328567j 0.0155024+0.00361194j -0.00263362-0.00282709j -0.00452543+0.00275232j 0.0241743+0.00337935j -0.00778586+0.00162013j 0.0103832+0.00543881j -0.0133661-0.0111658j 0.0120679-0.00497586j 0.0112437+0.00286813j -0.0104963-0.00278047j 0.0149174-0.00573476j -0.000604808+0.00376045j 0.0142571-0.0010444j -0.00342963-0.00710777j -0.003367+0.00811209j -0.00695121-0.00352594j -0.00579903+0.00504412j 0.00432508+0.00894349j 0.022484+0.00107562j 0.01869+0.00354017j -0.00350265-0.0040988j 0.0198162+0.000868401j -0.00428488+0.00315467j 
-0.0101796-0.00109995j -0.00994065+0.00459513j -0.00875937-0.000356055j -0.00209011+0.00466718j 0.000755261+0.00202984j -0.00769407+0.00147588j -0.00232693-0.000757827j -0.00859954+0.00251992j 0.00485218+7.48324e-05j -0.00078464+0.00271146j -0.00124193-5.03041e-05j 0.00712699-0.00132816j 0.0101938+0.000763903j -0.0152428+0.00284353j 0.00214617+0.00149314j 0.00491578-0.000770835j 0.00213495+0.00172376j 0.00552181-0.00144911j -0.000687093+0.00323308j -0.00506614-0.00198565j 0.000793128+8.49585e-05j -0.000657781+0.00356035j -0.00542055-0.00221645j 0.00373149-0.00392904j -0.0101922+0.00675592j 0.00364087+0.00232785j -0.000762847-0.000314879j -0.0022147-0.00142255j 0.00220889-0.00308936j -0.000198224+0.000398459j -0.000540622+0.00280021j -0.00105457+0.00699751j -0.00764833+0.00132698j 0.0107427-0.00348032j -0.0129416+0.000732971j -0.00230749+0.00288626j -0.0194049-0.00440785j 0.00632794-0.000500745j 0.00191793+0.00375409j -0.0173875+0.000283052j -0.00457502-0.0101272j 0.00116996-0.00576923j 0.000842636+0.0106729j 0.00411202-0.00110777j -0.0257282-0.000838416j -0.00332896+0.00945229j 0.00736897+0.00365388j 0.00160801-0.00205983j -0.00562122-0.00351701j -0.00582068-0.00192361j -0.0192926+0.00175569j -0.017792+0.0091613j 0.00524837+0.00249339j -0.0043863+0.000325065j -0.00524332+0.00173572j -0.0227533-0.00188743j 
0.000702627+0.00558964j 0.00621794-0.000239193j 0.00106799+0.00116011j 0.000459944-0.0036758j -0.00271721-0.000614653j 0.00378791+0.000203911j 0.000554405+0.00302414j -0.000154123-0.00485003j 0.00127246-0.000256829j -0.000809642-0.000600664j 0.00319144+0.00271789j -0.00119194+0.00254653j -0.00556192+0.000846348j 0.00787652+0.0024109j 0.00169298+0.00210813j -0.000218357-0.00133557j -0.00256949+0.00437052j -0.000804826-0.0058676j -0.00113443-0.00256952j -0.000397494-0.00596926j -0.00447797-0.00504055j 0.00548588+0.000404271j 0.00385747-0.00520259j -0.00211009-0.00280179j 0.0134762+0.00887514j 0.000801264+0.000201178j 0.00415079+0.00186885j 0.0125477+0.0065375j 0.00481281-0.00226386j 0.00691417+0.00540445j -0.00562097-0.00660577j 0.00591332+0.00440773j 0.00829421+0.00321169j 0.0125076-0.0155025j -0.0042737-0.00924385j -0.00648611-0.0134269j 0.00665099-0.00134355j 0.00210596+0.0197539j 0.00451205+0.012762j 0.00081776-0.000773818j -0.00802887-0.0068697j -0.00560382+0.000379106j -0.00232893+0.0143442j 0.00587806+0.00291845j -0.010336+0.00771722j -0.00287291+0.0119503j -0.00678798-0.00203843j -0.00249322-0.0107728j 0.0229287-0.0175112j -0.0132632+0.0023737j -0.00298717+0.00739323j -0.0142098+0.00202028j -0.0104212-0.00548315j -0.0122033+0.00904298j 0.0120223-0.00110553j 0.0102191-0.00343357j 
-0.00343477-0.00083266j 0.00729239+0.00329072j 0.0119789+0.000255681j -0.00671473+0.00109173j -0.00991383+0.000139346j 0.00138705-0.00646695j 0.00543363+0.00162803j -0.00311946+0.000887733j 0.00780079+0.00323614j -0.00120864+0.000766814j 0.00468966+0.00255356j 0.00490715-0.0066028j 0.00307004+0.00469203j -0.00112501+0.0024927j 0.00132729-0.00406465j -0.00228077+0.00241491j 0.00593015-0.000728062j 0.00539448+0.00176673j -0.00718081-0.000468823j -0.00830787+0.00455308j -0.00977434-0.00198777j -0.00623208-0.00331056j -0.000104251-0.000186921j -0.0053414-0.00445463j -0.00215277-0.00419919j -0.0038884+0.00981962j 0.000260449-0.00251294j -0.00203751-0.00576008j -0.00457038+0.00505483j -0.006614-0.00960923j -0.00999242+0.00691594j 0.00913037-0.00407853j -0.00100407-0.00589473j 0.0115808-0.00306995j -0.00912464+0.00379773j -0.0129611-0.00118647j 0.010269-0.00787502j 0.00381639-0.00170779j 0.0108622-0.00994767j -0.00599567+0.0123003j -0.0057869-0.00700527j 0.0100598-0.00422417j 0.00209891-0.00137875j 0.000346242-0.000931192j 0.00666785-0.0150114j -0.012274-0.0133796j -0.00510007+0.00703349j 0.00131956+0.00758397j -0.0162619-0.0061273j -0.0034216+0.0114315j 0.00105554-0.00639885j -0.0142783-0.0154511j -0.0100117+0.00419939j -0.00847991+0.00919393j -0.00194759-0.0185162j -0.00983062+0.0068664j 
-0.00233242+0.00106461j 0.00109769-0.0024333j 0.000451335-0.00133768j 0.00424629-0.00158843j 0.00396781-0.00129969j -0.00409976-0.00123678j 0.00035024-0.00244499j 0.00308711-0.00243422j 0.000746764+0.000750872j 0.00586586-0.00103907j -0.0030906-0.000967066j 0.00203941-0.00227144j 0.00708849-0.00362002j -0.0110239-0.000594628j 0.000387313+0.000127625j -0.00010892-0.000955922j 0.00339051-0.000797973j -0.00477376+0.00126737j 0.00846651+0.00166375j -0.00722554-0.00137644j -0.00061961+0.00165403j -0.00238503-0.00327723j 0.00102958+0.00106017j 0.00147257+0.00291506j -0.00148626+0.00226273j 0.00586646+0.000117599j 0.00387349-0.000215283j 0.000480144+0.00818045j -0.0014011+0.00436281j 0.005355-0.00276538j 0.00230579+0.00210816j 0.00690206+0.0020242j -0.00335863+0.00555777j -0.00203469-0.0105386j -0.00454524+0.00764777j 0.00240635-0.00147984j -0.0183694+0.011269j 0.00498119+0.000422586j 0.00495305+0.00269293j -0.0132834+0.00453333j -0.00482139+0.000305602j -0.00684123+0.000932131j 0.0156616+0.00595137j 0.00510858-0.0051515j 0.00853337+0.0119848j 0.0219454-0.0126262j -0.00811494-0.00338788j 0.0069684+0.0117041j -0.00458995-0.00863597j 0.00364096+0.00673933j 0.0117294+0.0177098j 0.00147686-0.00929631j -0.00949924-0.00344169j 0.00199563+0.0148962j -0.0101577+0.00686633j 0.010896+0.0180404j 
0.00498755-0.00307295j -0.00191791-0.00472971j -0.00196623-0.00152478j 0.00164216+0.00206757j 0.00184752+0.00117752j 0.00292402+0.00400565j 0.00228715-0.00228838j 0.00477409+0.00362418j -0.00271773-0.0033871j 0.00295871+0.000527686j -0.00732797-0.00522908j 0.0033539+0.00275245j -0.00136831+0.00119544j -0.000507318-0.00326339j 0.00254063+0.00622307j -0.00429051+0.000922686j 0.00171048+0.000586935j -0.00669738-0.00117306j -0.000631839+0.0079554j 0.000199377-0.00147802j 0.00122213-0.000268321j -0.0045913-0.00270937j -0.00269658+0.000836038j 0.000850404+0.00296936j -0.000878404+0.00243315j 0.00238316-0.00744777j -0.0023504-0.00232841j 0.00115361+0.00270944j -0.00138318-0.0081547j 0.0115651+0.00845322j -0.00175829-0.000538944j -0.00881468-0.000412889j -0.00518594+0.00407567j 0.00527365-0.00837329j -0.00263544-0.00870688j 0.00994035+0.00349451j 0.0106374-0.00850664j -0.00556153+0.00460263j 0.00846429+0.00800275j -0.0193509-0.00807491j 0.00291568-0.00492044j -0.00118276+0.0031781j -0.000966126+0.00123155j -0.00226142-0.0134323j 0.00422477-0.000860171j -0.0124717-0.0117968j -0.00442573+0.0105369j 0.0244639-0.00988182j -0.00579519-0.00187438j 0.00769386+0.00269109j -0.00416575-0.01043j -0.0183126-0.0138774j 0.0122176-0.0183629j 0.00317685-0.00788059j -0.0151762-0.00909981j -0.0054267+0.002407j 
-0.00093552-0.00132684j 0.00426774-0.00217787j 0.00654219-0.000943719j -0.00123842-0.00123004j -0.000963749-0.00625311j -0.00866194-0.00143694j 0.000630787-0.00389516j -0.00271766+0.00210859j 0.00255543+0.00100116j 0.0027428+0.00228782j 0.00869461-0.00435646j -0.00596602-0.00187801j 0.00215717-0.00437397j -0.00502585-0.00355252j -0.0164997+0.00640502j -0.000915461-0.00589972j -0.000744892+0.00103313j 0.00291953-0.00700848j -0.0056813+0.000932186j 0.00228861-0.00215106j 9.09371e-05+0.0110562j 0.0036932-0.00311126j 0.00468923+0.00320792j -0.00666908+0.000921714j -0.00761968+0.00128149j 0.009919+0.0047723j -0.00394928-6.28671e-06j -0.00656156+0.00598297j 0.00396398-0.00530004j -0.016876+0.0197734j 0.00444438-0.00551806j 0.00275805+7.63643e-05j -0.00894315+0.0100314j 0.00760865-0.0133723j 0.00848159-0.00689557j -7.29476e-05+0.00223091j -0.00123377+0.00328393j -0.0111072-0.00705807j -0.0149674+0.00749108j 0.0108935-0.000330507j 0.0071904-0.00594039j -0.00964881-0.00107892j -0.00790373+0.00192241j 0.0121175-0.00527261j -0.00817843-0.000196678j -0.0110395-0.00140508j -0.00932474+0.00761849j 0.00940217+0.011297j 0.00389614+0.00598952j 0.00248589+0.00733445j -0.00405771+0.000338872j -0.000993458-0.0193767j 0.00142668+0.0117019j 0.00855555+0.00319201j -0.00724851-0.00352949j 0.00358924+0.00856812j 
-0.0016612+0.000852394j -0.000452383-0.000812501j -0.00203001-0.00278208j 0.00509443+0.00145843j 0.0068135+0.00398225j -0.000398068-0.00149095j 0.000585798+0.000584766j 0.00511695-0.00582436j -0.000781755-1.84413e-05j 0.000446666-0.00221108j -0.00152624+0.00298428j 0.00107775+0.000171473j 0.00683319-0.00107506j -0.00343619+7.02601e-05j -0.00509146-0.0062939j 0.0092731+0.00464433j -0.00735248-0.00370784j 0.00845201+0.000312373j -0.00357473-0.00760774j 0.00434276+0.000734233j -0.00343994-0.00898958j -0.00228627+0.0037866j -0.00656316-0.00902384j 0.0053112-0.00433585j -0.00267618+0.0113914j -0.00178369-0.00663575j -0.00321344-0.00989455j -0.00953981-0.00063621j 0.0131358+0.00295076j -0.0111195-0.0119907j 0.00607676+0.00959914j -0.00787967+0.00262086j -0.000488719-0.00678125j 0.0185533+0.00250376j 0.00893784+0.0011554j 0.00729565-0.00504334j -0.000292897+0.00120689j -0.00939373+0.0182913j -0.011745-0.0126693j -0.00373687-0.000319209j 0.00169063-0.00406551j 0.00303352-0.0188313j -0.00317241+0.00157263j 0.00213973-0.000809892j -0.00563755-0.00539925j -0.00118649-0.0107672j 0.00888666-0.0186208j 0.0127312+0.000123803j 0.0105889+0.001201j -0.00963611-0.00538559j 0.00429604-0.00741311j -0.00452528-0.0072395j -0.000468037-0.0138536j -0.00875413+0.00155539j -0.00193896+0.00341771j 0.00340337+0.00607653j 
-3.92418e-05+0.00508153j 0.000253791+0.00181814j -0.00279175+0.00304151j 0.00296863-0.000635255j 0.00332919+0.00261931j 0.00524549+0.00474463j -0.00123581+0.00209856j 0.00275517-0.000289532j -0.000163761-0.00160323j 0.000311143+2.77561e-06j -0.00240428+0.00613324j 0.00201152+0.00162164j -0.00119397+0.0027879j 0.00308349+0.00173572j 0.000159637-0.00264128j 0.000720849+0.00299226j -0.00515583-0.000390747j 0.00446194+0.00297298j 0.00404164+0.00579045j 0.00335273+0.000336786j 0.00442434-0.00162858j 0.00715724+0.0135292j 0.00830319+0.00269878j 0.00170717+0.00278815j -0.00222944-0.000444482j 0.00655881+0.0131821j 0.01069+0.020622j -0.00178309+0.0019134j 0.00114339+0.0132783j -2.97428e-06-0.00467786j 0.000802283+0.00383326j -0.00895437+0.0109164j -0.00718411-0.00269438j 0.0104888+0.00441966j 0.000467893+0.0152446j 0.00593656-0.00389435j -0.00779721-0.00474546j -0.0154029-0.00679342j 0.00195558+0.00627097j -0.00855265+0.00489591j 1.41872e-05+0.00465238j 0.0068088+0.00882034j -0.0119718-0.000155337j -0.00578489+0.0235028j 0.00314219-0.00996119j -0.00439843+0.000281349j -0.0116452+0.00880155j 0.00478917-0.00584277j 0.00792532+0.0100364j 0.00952158-0.0123303j -0.00271457+0.0106888j -0.00746218-0.00245982j 0.000765283-0.0126742j -0.00643101-0.00141724j 0.00649332+0.000933294j 0.00299429+0.000321184j 
-0.00276073+0.00157773j -0.00433406-0.000483676j -0.0059002-0.00139466j 0.00312819-0.00512176j -0.00146694-0.00206167j -0.00253397-0.00213154j -0.00760461-0.000141505j 0.00492528-0.00386609j -0.00466801+0.00257068j 0.00506817+0.00401886j -0.0108385+0.00575023j -0.00249766-0.00177605j -0.0016349-0.00465701j -0.00481721+0.00187335j 0.00557885-0.00232511j -0.00302403-0.00316913j 0.00356711+0.00423084j -0.00524709+0.00369449j 0.00586916-0.00841277j -0.00379735-0.00873858j 0.00284997-0.000874074j -0.00719463-0.000610073j 0.00455081+0.00462381j 0.00415763-0.00389611j -0.00924854+0.0021443j -0.0140864+0.00988957j -0.0100849-0.00483988j 0.00724031+0.00830274j -0.00875038+0.00271149j 0.00262999+0.00135556j -0.00926612-0.0196771j 3.63563e-05-0.000240786j 0.00714443+0.00735275j -0.000654526+0.000178679j -0.00406962-0.0114357j 0.00934647-0.0032498j 0.00709738+0.00289163j -0.00914944-0.0120661j -0.00601409+0.0046977j -0.0114108+0.00924548j 0.0173701-0.0184791j 0.00203023+0.000547715j -0.0106251-0.000302476j -0.00729825-0.00444402j 0.000515439+0.00407796j -0.00366937-0.00167921j 0.0011707+0.00136545j -0.00857801+0.00016047j 0.0135381+0.00820808j -0.0136877+0.00456497j -0.00756395-0.00311139j 0.00905745-0.0130998j -0.00859719-0.00779085j -0.0109359-0.00162641j 0.00551296+0.0103129j 0.00479753+5.40407e-05j 
0.00429421+0.0018399j -0.00361512-0.00433813j -0.00484064-0.00212905j 0.00388188+0.00153049j 0.00798007+0.00501566j 0.00175712+0.00185356j -0.00300211+0.00193319j 0.00162252-8.29692e-05j 0.00286129-0.00120274j 0.00586192+0.00626118j 0.00331822+0.00265299j -0.00146916-6.10396e-05j -0.00385688-0.00711564j 0.00203009-0.00279567j -0.00999399-0.00637778j 0.00598696-0.00110972j -0.00433048+0.00288096j 0.00275875+0.00542624j -0.016578-0.00571982j 0.0047725+0.00212048j -0.0138214-0.00586569j -1.05834e-05+0.00637233j -0.00659441+0.00836233j -0.00762673-0.00195091j 0.00710994-0.00806284j 0.00421791+0.0158536j -0.00393448+0.00122111j 0.00556452-0.00415342j 0.00802541+0.00783746j -0.00758115+0.00284899j -0.00489248-0.0104422j 0.000959486+0.00412794j -0.0050805-0.0141986j -0.00235699-0.000389558j -0.00380042+0.000422575j -0.00290809+0.00169062j -0.00142483-0.0109352j 0.00939184+0.00539837j -0.00481571+0.00551763j -0.00606295+0.00590159j -0.00265945-0.0157096j -0.0155403+0.00976776j 0.00703035+0.00955257j -0.00394161+0.00163909j 0.00448409+0.00372164j 0.00052318-0.0039878j -0.00982808-0.0102581j 0.00259191+0.0111496j -0.0142418-0.00620866j 0.000122157+0.0185441j -0.00282397-0.00195858j 0.000844628+0.00586629j 0.00389849-0.0100871j 0.00248237-0.000508949j -0.00298381+0.00218728j 0.00171723-0.00413603j 
