0.554601-0.208559j -0.182324-0.064355j 0.126771+0.00170634j -0.00755518-0.0936866j -0.11507-0.0497256j -0.0178508-0.018214j -0.0136949+0.0173568j -0.0278801-0.0176306j 0.00453614-0.00787874j -0.0914061+0.00489915j -0.0270314+0.00605005j 0.028439-0.00551483j 0.0119229-0.106058j -0.00449669+0.00497759j -0.0879553-0.0330452j -0.012484+0.0218319j 0.0429802-0.00255097j -0.0449695+0.00173726j 0.0184621-0.045817j -0.00086211-0.0214933j 0.0768259-0.00778139j -0.0264183-0.00996399j -0.0409911-0.0137436j 0.011125-0.0224271j 0.0116936-0.00747786j -0.0130982+0.00689687j 0.0146427+0.0130388j 0.0150176+0.00127818j -0.0269561-0.0376374j -0.0179102-0.00531157j 0.0174822-0.016948j -0.00108181-0.00570142j -0.0359479+0.0189777j 0.018168-0.00525881j 0.00840612+0.002248j 0.0119445-0.0333399j -0.0350451-4.74949e-05j -0.0373546+0.00252833j -0.0388848+0.0843998j 0.0587688-0.000139475j 
-0.0668033-0.00239543j 0.0808916-0.0472912j 0.080139-0.0321742j 0.138178-0.190661j 0.0842483+0.324706j 0.111337+0.0267105j -0.206942+0.0951795j 0.0589248-0.196209j -0.154255-0.130692j 0.123065-0.035435j -0.0431344+0.0412829j 0.0224831-0.0129489j 0.0319963-0.0781309j -0.0490365-0.00296381j 0.0779455-0.0142867j -0.0150515-0.0649195j -0.0125414+0.0884715j -0.00285579-0.0207393j 0.0599853-0.0224841j 0.0380478+0.0582935j 0.0273144-0.0310298j -0.0334081+0.00501493j 0.0304856+0.021543j 0.034273-0.0279081j -0.0429649-0.000828583j -0.00483712+0.00201538j -0.0220989-0.0198107j 0.0273259+0.00335388j -0.0124342-0.0351336j 0.0205036-0.0266889j -0.0116206+0.0467944j -0.00308228+0.0131513j 0.0303133+0.00618178j -0.00690375-0.00748971j -0.0173716-0.0209434j 0.00373279-0.0826247j 0.0252944-0.00710373j -0.0238158-0.00361752j -0.018407+0.0388977j -0.0319364+0.0190899j 
-0.00739509-0.0101511j -0.127121+0.0091363j -0.17506+0.0331779j 0.195883+0.193005j 0.0868471-0.42018j 0.136284+0.300551j -0.138877-0.352779j -0.272327+0.0641301j 0.0299105+0.168108j -0.0507261+0.0656545j -0.0390905+0.031649j 0.0248948+0.0468083j 0.059837+0.00701311j 0.0181746+0.0182231j -0.0115712-0.0505791j 0.114489+0.0785908j 0.015323-0.0390936j -0.0641585-0.0444692j -0.00368439+0.0206555j -0.00401798-0.0599379j -0.0036774-0.0257966j -0.0194865-0.00501567j 0.00749215+0.0217589j -0.0100392-0.00805946j -0.00902136+0.015297j 0.000509365-0.017165j -0.0080489-0.0135352j 0.00587119+0.00715955j 0.0179684-0.00271028j -0.00253533+0.00545742j 0.0120284-0.0132538j 0.00713293+0.00859959j 0.0135518-0.00727172j -0.02242+0.00710958j 0.0281389+0.0122471j 0.0394989-0.00534517j 0.00285208-0.0183778j -0.0392764+0.000697521j -0.0201772+0.0137821j 0.0370839-0.0100851j 
0.0331664-0.0412951j -0.0165032-0.00841077j 0.0618412+0.00580993j 0.117103-0.131021j 0.262001-0.167996j -0.178905-0.119743j -0.224272+0.0558386j 0.0406266+0.0464337j -0.122595+0.084139j -0.0424744-0.048096j 0.0116288+0.0847692j 0.00511804-0.027857j -0.00470067-0.0259225j 0.0467598+0.0453776j 0.0237588-0.0667553j 0.0413291-0.0273458j -0.00468265-0.00386467j 0.0117814+0.027792j 0.0549237-0.0142868j 0.0958297-0.0713619j -0.00672792+0.00465873j 0.0103356+0.0683257j 0.0292909-0.0367449j 0.0207734+0.0086265j 0.00314285-0.0267789j 0.0397097-0.0107733j -0.0175006+0.0390832j 0.014876-0.00694141j 0.0215308+0.00339044j -0.0128128-0.0213756j 0.0116553-0.0299635j 0.0180082+0.0148715j -0.0299012-0.00955561j -0.000134021+0.0156174j -0.00333018+0.0149066j -0.00698531-0.0390628j -0.021861+0.00378635j 0.0167731+0.00807889j -0.0255481+0.0435461j 0.00356711+0.0350908j 
0.00878382-0.00104132j -0.0466659+0.154046j 0.0603824+0.0579249j -0.111625+0.0779858j 0.218975-0.00498495j 0.15365+0.022094j 0.100888+0.0571402j -0.101881+0.206896j -0.120734-0.190914j 0.00910375+0.123504j -0.0315386-0.0098228j -0.043597-0.0128687j 0.109497-0.0190862j 0.0830432+0.0397543j -0.0936942-0.00689013j -0.045693-0.0741637j 0.0397727-0.0525317j -0.00999961+0.0476559j -0.024264+0.0312232j 0.00547181+0.00466835j 0.00333761+0.0979152j 0.00280879-0.0113172j 0.00866802-0.0159237j -0.0109346+0.0455438j -0.0253234-0.0288815j 0.00477411+0.00399419j 0.0189567-0.0102775j -0.00517173+0.0281842j 0.0347892-0.0262541j -0.0324577+0.0129812j 0.0192235-0.00748119j 0.02841+6.40254e-05j 0.0124063-0.0320542j -0.00599481+0.0129904j 0.0345672-0.0121497j 0.0113101+0.0400895j -0.0494913+0.00979005j 0.0657856+0.00403715j -0.0564545-0.0196224j 0.0247098+0.016355j 
0.00136714-0.0279373j -0.0684326+0.111427j -0.200144+0.0973955j 0.0206305-0.0326917j 0.159174+0.0361471j 0.0148792-0.0358452j -0.0406765+0.0415329j -0.335434+0.167375j 0.00830261+0.00774787j -0.150473+0.0792865j 0.00145853-0.0182492j -0.028025+0.0680305j 0.0368587-0.0628858j -0.00974125-0.0496261j -0.0396749+0.0369473j 0.0239349-0.0622423j 0.0769754+0.0142068j -0.0716126+0.024581j 0.00154119+0.0139925j 0.0154256+0.00128j -0.0216911-0.0331282j -0.0137543+0.0360213j 0.0614251+0.0136648j 0.0322951+0.00343237j 0.0212996+0.00434637j -0.00946657+0.00135442j 0.00433892+0.00748724j -0.00105759+0.00798636j 0.00385092-0.00256457j 0.0126616+0.0356246j -0.00343349-0.0117029j -0.00296883-0.00755902j 0.0130217-0.0012581j 0.00154035-0.00426657j 0.00630032-0.0188105j -0.000470934-0.00917442j 0.00368333-0.0216569j -0.0657404+0.0634883j 0.0313445-0.0312038j -0.00406494-0.0524321j 
-0.0301567-0.0173762j 0.0914011+0.011343j -0.0682667+0.0547336j -0.00250308+0.042492j -0.0151779+0.108011j 0.15681+0.00996116j 0.105697-0.0766639j 0.018153-0.022242j 0.023342+0.00230865j 0.0844438+0.0841537j -0.0419845-0.0536004j 0.0414435+0.0684604j 0.0190163-0.114543j -0.204719+0.0536862j -0.0978699-0.160045j -0.0114918+0.0770923j -0.00987432+0.0873201j -0.0426091-0.0656476j 0.0354611-0.0429778j 0.0048131+0.00263982j -0.0170675+0.0135607j -0.0082985-0.0252641j 0.0216982+0.00884959j -0.00993686-0.00440039j 0.0244447+0.0379172j -0.00622399+0.0012408j -0.0165199+0.00299842j -0.0104242-0.02565j -0.00768891-0.0268677j 0.0804448-0.0354556j -0.0211063+0.0307344j -0.0199929+0.0174313j -0.00584431-0.0178134j 0.0309084-0.0356271j -0.0373734-0.00948741j 0.0382016-0.0336863j -0.0797381-0.0542257j -0.0352092+0.0505186j -0.0185772+0.0244003j -0.00868975+0.0519014j 
-0.00325779-0.00355263j 0.0364893-0.00135011j 0.0944884-0.058892j -0.0447882-0.113113j 0.181906+0.0949625j 0.158724+0.0819819j 0.00755493+0.0204346j 0.236924+0.0683545j -0.260514-0.131908j 0.0985865+0.0409874j 0.0272054-0.0352497j -0.0284147-0.0141124j -0.0371757+0.016198j 0.0240576+0.118225j -0.119161-0.100938j 0.0190884+0.0815291j -0.13285-0.0235593j 0.0437545-0.00110718j -0.0350346-0.0327627j 0.0216658-0.0208533j 0.110871+0.0361378j 0.0109036+0.00749327j 0.00112586-0.00798184j -0.0247253+0.0067865j -0.0535339+0.00442249j -0.00814947-0.00131312j 0.0105307-0.00883661j -0.00765266+0.00833363j 0.00802097+0.0307599j -0.0341258-0.0010848j 0.0211212+0.0218312j 0.0168716+0.0142075j 0.0214096+0.0128622j 0.0240981+0.00197605j 0.0119382+0.0217712j -0.0209724+0.00388842j -0.0251741+0.00347461j 0.0495229-0.0532271j -0.0300385+0.0944588j 0.0712506-0.0535517j 
0.00138502+0.00485172j -0.0445011-0.0175039j -0.0604696-0.0253952j -0.182204-0.0916437j -0.118942+0.0064545j -0.141751+0.0914855j 0.122786+0.225063j 0.000307902+0.0686135j 0.0733879-0.0653372j -0.107457+0.0899333j -0.0158043-0.10129j -0.0311925+0.0426052j 0.168226+0.132488j -0.0327476-0.14009j 0.093882-0.050516j -0.0755311-0.0315683j -0.0861108-0.0397785j 0.0211268-0.0425924j 0.011088+0.0110835j 0.0154882+0.0177458j 0.0548773+0.0246277j 0.0124951-0.0201189j -0.0247391+0.0233493j -0.0544215+0.00107646j -0.019992+0.00353475j 0.0159507-0.00334565j -0.00178441+0.00222506j 0.0327287-0.0310158j 0.0259292+0.0258552j 0.0164821+0.0155315j 0.00786689-0.0243058j -0.0251413+0.00817578j -0.00742137-0.0337319j 0.00488516+0.0170456j -0.00358998-0.00179349j 0.0223662+0.0261599j 0.0543802-0.0423293j -0.0056205-0.0553614j -0.0654205+0.0204241j -0.00373055+0.0332657j 
0.0339286+0.00824107j -0.0411365-0.0132758j 0.0775077-0.000373752j 0.082654+0.0411204j 0.123579-0.0333535j -0.0293406-0.236939j 0.040752-0.0621812j 0.108482+0.0897452j -0.0878941+0.0517503j 0.040586+0.0382468j -0.0233456+0.00358339j 0.123911+0.046073j -0.0423612+0.0519658j 0.0591361+0.00757468j 0.0386118+0.259741j -0.0658233+0.0320548j -0.0514461-0.0574017j -0.0124301-0.0402103j 0.0579072+0.00074515j 0.0354569+0.0139119j 0.0454108-0.0308718j -0.0293591-0.00533849j 0.0244951+0.0318568j 0.00897561-0.0249576j -0.00830491-0.00498256j 0.0210726-0.00875829j 0.0103017+0.00930708j 0.023163+0.0101496j -0.0163136+0.0321411j -0.00208385+0.0185583j 0.0144694-0.0145564j 0.0399742+0.00670309j 0.0161938+0.0123033j -0.00291042+0.00643228j -0.0040096-0.0223343j 0.00428893+0.0459654j 0.0640197-0.01778j 0.000192684-0.0367861j 0.0113321-0.0339598j -0.00532833-0.0270591j 
0.0193338-0.05619j -0.00890629-0.0258241j -0.0514321+0.0337729j 0.0369071-0.0729174j 0.0176978+0.0132456j 0.0443267+0.0293565j 0.0331133+0.022452j -0.0218054-0.0554174j 0.0934662+0.00740992j -0.0730669+0.193428j 0.226772-0.0892227j 0.122284-0.0299j -0.106027+0.0671641j 0.0883001+0.0366656j -0.0333232+0.00785917j -0.0148231+0.0782129j -0.0280456+0.0615271j -0.00892108-0.101972j 0.0405268+0.0219624j -0.0496435+0.0127986j -0.0165864+0.0268844j 0.0564282-0.0162863j 0.0419145-0.0252247j 0.00880639-0.0109104j 0.0551744-0.0188928j -0.00358072+0.0204009j 0.0180594-0.0176183j 0.000585036+0.00413877j -0.0355163+0.0274456j 0.0481257-0.0329727j 0.00774071+0.0117776j 0.032567+0.0182968j 0.0247544+0.00265618j 0.0232822-0.00869519j 0.0216465-0.00622966j 0.0238638-0.0102601j -0.0381164+0.0188814j 0.0125731+0.0192208j -0.000563398-0.00310929j -0.00189829+0.0152121j 
0.00889577-0.0134485j 0.0403121+0.0804023j 0.0734012+0.0993305j -0.0316132+0.0552018j -0.0942663-0.12323j -0.066455-0.0863069j 0.194341-0.0954695j 0.0248205+0.00844475j -0.0064329-0.0272031j 0.159085+0.0587055j 0.0132815-0.00542402j 0.153124-0.0250437j 0.144676-0.0684851j 0.0108093-0.166327j 0.221696+0.134956j -0.0505662+0.0893265j 0.0865336+0.130049j -0.059229+0.0236912j 0.0159176-0.00784097j 0.00253188+0.0177836j 0.00420533-0.0433866j -0.000492956-0.000602647j -0.002117-0.0314284j 0.0234001+0.00145381j -0.0106411+0.00221733j 0.0106858-0.00486233j 0.000876063-0.02783j 0.00116033-0.0224241j -0.025077-0.0163916j -0.00992574-0.0445749j -0.00571048-0.00830112j 0.0402553-0.0242418j -0.0314006-0.0223948j -0.0224949-0.0411626j -0.0324202-0.00133003j 0.0421287-0.0629756j 0.044171+0.0011679j -0.0560178+0.0197252j 0.0124199+0.0219598j 0.0141163+0.0132192j 
0.0460641+0.0157226j 0.0482949+0.0185437j 0.0428619+0.0421759j 0.0208775-0.144178j 0.0565369-0.0741212j 0.0355926+0.0646346j -0.100964-0.0941056j 0.0186094-0.10805j -0.0849317-0.0956134j 0.0414775+0.0134604j 0.107757-0.195906j -0.129314+0.0302887j -0.0751575+0.0956094j 0.0185545-0.0594721j -0.126534-0.0639489j 0.159734+0.0945772j 0.0606058+0.139686j -0.0208527+0.00834834j -0.000246731-0.0255203j -0.00722081-0.00140518j 0.0194235+0.0646704j 0.00852501-0.0376427j -0.0324005-0.0125612j -0.00108985-0.0254188j -0.00343381-0.0245399j 0.029863-0.0323438j 9.72011e-05-0.0298621j 0.00932733+0.0188386j 0.0210917+0.0606313j 0.00298264-0.0111623j 0.00769743-0.00728974j 0.0369248-0.0764717j 0.0273689-0.0230244j 0.0278349-0.0465249j 0.0229976-0.0230594j 0.0111286-0.0170582j -0.0561113-0.00718139j 0.0238648+0.000857732j -0.0023558-0.0108227j 0.00361078-0.0413704j 
-0.039582-0.0142877j 0.0777999-0.0129052j 0.0965511+0.0255499j 0.0871106+0.104382j 0.0150919-0.110726j -0.0255015+0.0626361j 0.0252431-0.0194269j 0.15392+0.0400791j -0.0672399+0.121977j 0.0849187+0.0362241j 0.0444943-0.138787j -0.211436-0.126237j -0.0262005-0.257557j -0.0209972-0.206731j -0.135253-0.0965027j -0.0454533-0.0560031j 0.0134626+0.0195505j 0.0434396-0.0856149j 0.0504485-0.0148535j 0.0162676-0.00369687j 0.0295881-0.0249633j -0.0119553-0.0304965j -0.0527428+0.00211839j 0.0505646-0.0333663j -0.0109363+0.0308555j 0.000245575+0.0195211j -0.0213951+0.0315414j -0.00298967-0.0101772j -0.0447502-0.0212937j -0.0245531+0.0558855j -0.0157004-0.0241825j -0.0456073-0.022426j -0.0140906+0.0445377j 0.041434-0.0155118j 0.00223649-0.0183091j 0.0135963-0.0107847j -0.0136386-0.0347629j -0.0313118+0.0205432j 0.00274124+0.0070069j 0.0129188-0.0554412j 
-0.00172636+0.00133635j 0.0874591-0.0291732j -0.0259344+0.00914854j 0.0152739+0.00984037j -0.012591-0.00494653j -0.0398386+0.00141258j -0.021587-0.0152071j 0.0631779-0.0407679j -0.0140087+0.00251485j 0.0477483+0.0284136j -0.2944-0.0365376j 0.0214305+0.325313j 0.0762834+0.0235932j -0.212303+0.0785879j -0.209842+0.245305j -0.0148926-0.0833561j 0.0345197+0.025286j -0.0420282-0.0435254j 0.0233789-0.029918j 0.0085897-0.00636693j 0.0502354+0.000998146j -0.0826487-0.0161384j 0.0356654+0.0712272j -0.0235452+0.00254482j 0.0229399-0.00339289j -0.0171226-0.0266735j 0.0343673+0.00693004j 0.00016259+0.00606803j -0.00799985+0.0244805j -0.0231026+0.00393875j 0.0247186-0.0112829j 0.0319426+0.0150841j -0.0114184+0.0122051j -0.0444012-0.0169223j 0.00202792-0.0156441j -0.0414853+0.0237686j -0.0343762+0.00853594j -0.0269835-0.000139473j 0.00625832-0.0185809j 0.04128-0.0141568j 
-0.0361333-0.000774505j 0.0679949-0.00524389j 0.0546461+0.0221881j -0.0826987-0.0490105j -0.0618681-0.0262682j 0.00417552+0.0105561j -0.0561963-0.00719643j 0.177257-0.0566626j -0.144971-0.070537j -0.128424+0.0177791j 0.195935+0.0781907j 0.193544+0.127682j 0.21626+0.00407149j 0.134398+0.0114176j -0.05567+0.0631862j 0.0678799-0.0288544j -0.0198336+0.155951j 0.135705-0.0672249j 0.0210093+0.0713368j -0.0331137-0.0359124j 0.129116+0.0139687j 0.0515713+0.0139272j -0.0208214+0.022887j -0.0220422+0.0119486j -0.0333608+0.0326327j 0.00570493-0.013718j -0.00738943-0.0146458j 0.0354475-0.00175938j 0.0352374+0.00691689j -0.0108032-0.00787547j 0.0260295+0.0104216j 0.0424508+0.00136135j 0.0356499-0.00195099j -0.0161448-0.0358641j 0.0207884+0.0239207j 0.0231175-0.00194664j -0.00608589-0.0736994j 0.0120818+0.00830713j -0.0305959+0.0302216j 0.0221071-0.057225j 
