0.0362864-0.0338001j 0.113775+0.0165715j -0.029688+0.00794688j -0.0482003-0.0322475j 0.00392927+0.0992577j 0.00977893+0.0078495j 0.00371838-0.0172097j -0.00884173+0.0287277j 0.0112161+0.00796685j -0.0331379-0.015759j -0.0175622+0.0115687j 0.00691086+0.0327215j 0.0124868-0.0171662j -0.00265029-0.0507988j 0.0258717+0.00633363j -0.0456168+0.00958723j 0.0110937-0.0109239j -0.00854736+0.00781854j -0.00948354-0.0148025j 0.0187346-0.000802401j -0.00871974-0.0226589j 0.025959-0.00689812j 0.00149521-0.019413j 0.00927676-0.0172341j 0.00475862-0.000444575j -0.00161393+0.0275746j -0.00511442+0.00741656j 0.0134277+0.0186282j 0.0188671-0.0187925j 0.0188653+0.0111425j 0.00138752-0.0125227j -0.0290749+0.00573628j 0.00889491+0.000786148j -0.00895188+0.019078j 0.0206719+0.0114889j -0.00488183+0.0151407j 
-0.0150697+0.0454232j -0.0649596+0.0061707j -0.0377341+0.0760328j 0.0198217+0.132035j -0.000823627-0.517419j -0.00786541-0.0739453j -0.0112682+0.015084j 0.0169204-0.107001j -0.00208594+0.0539921j 0.00329766-0.00353408j 0.0150294-0.0832812j 0.043773-0.000305077j 0.0216631+0.0196469j -0.0733917-0.0186796j 0.0331804+0.0740353j 0.0315198-0.0452525j 0.00294559+0.0203658j -0.0505636+0.0057605j 0.000501398-0.0322456j 0.0136837+0.0653032j -0.026475+0.00631618j 0.0115755+0.0233918j -0.0178039-0.0112932j 0.00427661+0.0353123j 0.0372541+0.052454j -0.0207513-0.0178209j 0.0312463-0.0493893j -0.0347581-0.00286674j -0.00512393+0.0254436j -0.0245278-0.01735j 0.0162363-0.00436982j -0.0114634-0.0234482j 0.0180092+0.00727267j 0.000836753+0.0135823j 0.0179643+0.0194631j -0.0217854-0.0326044j 
0.00606275-0.0855564j -0.00417519+0.0801891j 0.0478014+0.0615508j -0.0505457+0.267891j 0.0792379-0.286763j 0.0450759-0.178484j -0.0825376+0.386417j -0.022591-0.0378702j 0.0302191-0.0225728j 0.0319187-0.129537j -0.0191935-0.0771708j 0.0120449+0.064225j 0.0194775+0.0309299j 0.052469+0.0106788j 0.0035257+0.0521986j -0.0584119-0.0652452j -0.0157317+0.0219204j 0.00994549+0.0967698j -0.0608146-0.0480305j -0.0225254+0.0844533j 0.00116195-0.0281911j -0.0305813+0.0116647j -0.00501193+0.0203339j -0.0337552-0.0258295j 0.00544443+0.00118531j -0.000851463+0.0235003j -0.0218521+0.00350755j -0.0135942-0.0320467j 0.0144708+0.00540849j -0.00166276+0.0239405j 0.0366209+0.00316819j -0.0194116-0.0254347j -0.0171664-0.013167j -0.0141007+0.0492411j 0.020662+0.0201716j 0.0222701+0.0641507j 
-0.0209715-0.100085j 0.0227306+0.0830698j 0.030898-0.10343j -0.0339961+0.0929755j 0.00588786+0.0998733j -0.0165342+0.00941647j 0.016204+0.22298j -0.0335276+0.0454529j -0.0412578-0.0510288j -0.0468881-0.0316944j 0.0158257+0.00188089j 0.00454775+0.0767817j -0.0407076+0.058495j 0.0556834+0.0246113j -0.0153881-0.0190686j -0.0262514-0.0142679j 0.0368381-0.02452j -0.00883915-0.0555356j -0.0197754-0.0273513j -0.0400772+0.0222132j -0.011976-0.016908j -0.0476807-0.00872215j 0.0316587+0.018134j -0.0279799-0.00753996j 0.00847644-0.0257061j 0.00286056+0.0171414j 0.0380207+0.0405826j 0.008301-0.022037j 0.0123456-0.0126196j 0.016286+0.00336074j -0.022753+0.000782969j 0.0042211-0.0112702j -0.0115635-0.00492947j -0.00673603+0.00599439j 0.00436478+0.0340464j 0.0277609+0.0524371j 
0.0189679+0.195009j 0.00379976+0.0526855j -0.0112384+0.22944j -0.032647+0.125204j -0.0067658-0.39879j -0.00234883-0.410634j 0.00442594-0.167535j 0.0100761-0.0122344j -0.0128034+0.142452j 0.0159235-0.090732j 0.00883977+0.0425896j -0.0576871-0.0433359j 0.0597174-0.0259778j -0.0207715+0.0698529j 0.012853+0.100812j 0.0238327+0.124231j 0.0120048+0.07234j 0.0630834+0.0134976j 0.0570038+0.0328437j 0.0211155+0.00836664j -0.0366683-0.0193172j 0.0436588-0.00339932j -0.00307681+0.0307362j -0.0249163-0.0366261j 0.00185535+0.0189485j -0.0410143-0.00363767j -0.00375524+0.0126954j 0.00519716+0.0179566j 0.0169067+0.0141535j 0.0183063+0.0245213j -1.90654e-05-0.0412233j -0.00108366+0.0230685j -0.00980446+0.00976436j 0.0178415+0.00660918j -0.0287941-0.0473172j -0.00651317-0.00508186j 
0.0508621-0.0900482j -0.0237597+0.060661j -0.111384-0.143325j 0.0908296-0.0492533j 0.0315398-0.255815j -0.0409783+0.28098j -0.0278795+0.157118j 0.0233202-0.141527j -0.0226076-0.0853489j -0.0412867+0.0495812j 0.00858726-0.00691474j -0.045226+0.0947805j -0.0250615+0.0394056j -0.144308+0.0432076j 0.00603285-0.11629j 0.0454707+0.111529j 0.0116738-0.046662j -0.068049+0.101317j -0.0310099-0.0754066j -0.00515555+0.00441998j 0.00654649-0.0178567j 0.0160055-0.0407426j -0.012105+0.0218376j -0.0052038+0.0678609j -0.00712581+0.0374478j 0.0256263-0.0139886j 0.0191758-0.00335342j -0.00103546+0.0059022j 0.0115651+0.0326895j -0.00613111-0.0100228j 0.0268265+0.059511j 0.0168811-0.000101723j -0.0414294+0.0072504j -0.0383507+0.0241003j 0.0400847-0.0717238j 0.0798007+0.02136j 
-0.0236565-0.00600055j 0.0214194-0.0211255j 0.0566615+0.0491687j -0.0642047-0.223515j -0.0383371-0.345889j 0.0172282+0.279344j 0.00175049-0.314638j 0.0207955-0.160567j 0.0375509-0.0277589j 0.059676-0.0588834j 0.0162883-0.13457j -0.0123814+0.00826753j -0.0475614+0.06276j -0.0532572+0.0257025j 0.0472501-0.137248j -0.0644074+0.265945j 0.00454859-0.0207313j -0.0205227-0.00253998j 0.0533505-0.0399785j 0.0300625-0.0758424j 0.00267453+0.0375731j -9.16248e-05+0.0227736j -0.01568-0.0164842j 0.0355729-0.0355324j 0.0230816+0.00123116j 0.00864409+0.0279325j 0.017332+0.0027609j 0.0140948-0.0166968j 0.0210628+0.0165277j -0.00428746-0.000538838j 0.00883496-0.0466454j -0.00739812-0.00133178j -0.0116613-0.0543979j -0.00719824-0.0728378j -0.0103869-0.0291351j -0.0358609+0.0876054j 
0.0154366+0.047208j 0.0144767-0.0826703j -0.084009-0.0703338j 0.0307477+0.0377j -0.0162619-0.0647781j -0.00419428+0.0391345j -0.0241936+0.0866803j -0.00396188-0.0242357j -0.0221846+0.018674j -0.0243908+0.0811926j 0.00610691+0.0725535j -0.0559063+0.0488525j 0.00302886-0.0163253j 0.0326825-0.169934j 0.0430138-0.000819793j -0.19166+0.11064j 0.0149929+0.00186757j -0.0922961+0.0645288j 0.011492-0.0240986j 1.06019e-05+0.0487711j 0.00967669-0.0419888j 0.023099-0.0428714j -0.0272852+0.00853799j 0.0228882+0.0566638j 0.0229683-0.00919243j -0.0195049-0.0062789j 0.00169543+0.0280181j -0.030636-0.0350335j -0.00963044-0.0164345j 0.00261322+0.0481527j 0.0357458+0.0407265j -0.00369485-0.016121j 0.0549351-0.101208j -1.91291e-05+0.0363778j 0.0640477-0.0180773j -0.0871776-0.00907932j 
0.00748309+0.0247741j -0.0486271+0.0787564j -0.0995872-0.0204426j 0.00812494+0.0326352j -0.0407419-0.00734044j 0.0450436-0.0692911j -0.0159324+0.0198591j 0.00662173-0.0347619j -0.0121655+0.0686423j -0.0118007+0.0370654j 0.0635519+0.110931j -0.0575077-0.0593882j -0.174173+0.129585j -0.241272-0.0787814j 0.0404239+0.030876j 0.206867+0.00344572j -0.0381916-0.0151416j -0.0334908-0.0323268j -0.0433725-0.0974844j 0.00392816+0.0592348j 0.0109129-0.00877329j 0.0806894+0.0048776j -0.0314423-0.0359604j 0.00980521+0.0378394j -0.00330504-0.0138257j -0.0451028+0.0149896j -0.00991886+0.0105135j -0.00614121-0.0341439j -0.0178092+0.000510121j -0.00836578+0.00303761j 0.0111244-0.00675725j 0.0578288-0.0243393j -0.024482+0.0521867j -0.00380392-0.0181696j -0.0336122-0.00342809j -0.0126815-0.0300625j 
-0.0128081+0.0821774j 0.111588+0.00269833j -0.0527373+0.0128068j -0.0353446+0.00600676j -0.0197025-0.0112353j 0.00225438-0.0364365j -0.0121524-0.0199632j 0.0161977-0.0332799j -0.0185387+0.053737j -0.0630204+0.0859455j 0.0995996+0.048909j -0.0306036+0.0372065j -0.159993+0.220232j 0.403377+0.133098j -0.0269145-0.0451425j -0.0643332+0.0383871j -0.0294205-0.0183645j 0.027163+0.0342261j 0.0516727-0.0362235j -0.110217+0.0277611j 0.0177015-0.0144401j -0.0235426-0.0402162j 0.00461175+0.00024068j -0.00218806+0.0450397j -0.00241664-0.0223529j -0.0240108+0.05166j -0.00174086+0.0195197j 0.020903-0.0101192j 0.0219151+0.0137623j -0.0357932-0.0312092j 0.0622969-0.0234771j 0.0287421-0.0506645j -0.0149502-0.0695096j -0.016707+0.0163856j -0.0194073-0.0155958j -0.0203379+0.0260044j 
0.0359658-0.124083j 0.0138479+0.00941456j 0.0499934-0.127087j 0.00904149+0.0859007j 0.00614782-0.0970937j 0.00264624+0.100605j 0.00118049+0.397486j -0.00332165+0.120928j 0.0102829-0.123949j -0.0161192+0.0154337j -0.0445938+0.121813j -0.0940295+0.0676662j 0.0251241-0.095716j 0.0356761+0.0554353j -0.0379083-0.0463451j -0.046983+0.19251j -0.0176027-0.0635442j 0.0516635+0.0977616j 0.0724465+0.0340233j 0.0450189+0.0415754j -0.0131076-0.00300055j 0.0436657+0.032711j -0.0224661-0.015965j 0.00315644+0.027789j -0.00968794-0.014151j 0.00580172-0.00924622j -0.00267419+0.0242275j 0.00113522-0.0352559j 0.0519731-0.0307475j 0.0134063-0.00650174j 0.0271732+0.027693j -0.00807093+0.0214422j 0.0112573-0.0293837j 0.0787881+0.00843209j -0.0432255-0.0714642j -0.00721637-0.0537436j 
-0.0680152+0.00553172j -0.0157765+0.0115498j -0.0483181+0.038769j -0.00568904+0.00835284j -0.0025155-0.033551j 0.0525618+0.0700922j 0.0163266+0.0360422j -0.0725815-0.11455j -0.0146522+0.0282418j 0.0577776-0.0758281j -0.0807443-0.00356479j -0.0179588-0.228234j -0.174613-0.127476j 0.363263-0.239564j -0.110385-0.05756j 0.117023+0.202474j -0.0440025-0.025474j 0.0595604+0.13894j -0.113913-0.108189j -0.0690764+0.0482892j 0.00915918-0.0261348j -0.0421442+0.0514985j 0.0385763-0.0309566j -0.0654193-0.0486086j -0.0276291-0.0249645j -0.0169828+0.0189195j -0.0036416+0.00857134j -0.00768763-0.0868409j 0.0144459-0.0139707j -0.0158418+0.11536j -0.0138039-0.0163961j 0.0249998-0.00579405j -0.0374653-0.0767833j -0.0423231+0.00853228j -0.0385823+0.00918164j 0.0362276+0.00842482j 
0.0161207+0.0651266j 0.0277518+0.0351929j 0.0914756+0.0270658j 0.0111809+0.00707172j 0.0253216-0.051931j 0.00107075-0.0622542j 0.040533-0.0867238j -0.0634197+0.0178614j 0.000471275-0.0295085j -0.125211-0.0808063j 0.036462+0.00587711j -0.0262011+0.192597j -0.0577465+0.129548j 0.260455+0.0838781j -0.0301011-0.0552779j -0.195212+0.249264j 0.0281983+0.0252233j 0.0837253+0.0375899j 0.000439429-0.00144835j -0.0969041-0.0839222j 0.0189035+0.00924162j -0.0499289-0.0254715j 0.0117696+0.0393001j -0.0327988-0.0310906j 0.0241483+0.00271035j 0.0177882+0.0744652j -0.0135241+0.0542389j 0.0416985-0.0180212j 0.0683201-0.0533772j -0.026028-0.00558629j -0.0283893-0.0092433j 0.00374961+0.0141217j 0.0416895-0.0335312j -0.030251-0.0207643j -0.0177468-0.00242842j 0.0394821+0.0344812j 
0.0572914+0.0221967j 0.00448794+0.0412726j 0.0225792+0.0442969j -0.126457-0.024368j -0.00544973+0.0325732j 0.0603091+0.0306176j -0.00562375+0.0141794j 0.0879813-0.107148j 0.0711453-0.0256653j 0.180057-0.0181341j -0.137403-0.0422721j -0.0374363+0.331596j 0.225092-0.168256j 0.0984281-0.147841j -0.0627747+0.0618559j 0.0410927-0.0564036j -0.0677614+0.0925996j 0.0613699+0.0292096j 0.111967-0.124094j 0.134632-0.0787782j -0.0563051+0.0073633j -0.0479289-0.0921969j 0.0193774+0.0495804j 0.0470826-0.0132959j -0.00386197+0.0364254j 0.0145725-0.0448622j -0.02079+0.0224326j -0.00733352+0.0127675j -0.0111337-0.0325564j -0.00915459+0.0245629j 0.0477569-0.00934337j -0.0684359+0.0588103j 0.0369631+0.0213633j 0.0649939+0.0418555j -0.0386842-0.0215127j -0.0187906-0.00425039j 
0.0430408-0.037993j 0.0513344-0.0739202j -0.0332663+0.0419367j -0.0116648-0.0491181j -0.0260733+0.0120884j 0.0164131+0.020542j 0.00724185-0.0945558j 0.0679396-0.0136925j 0.0579235-0.0122059j 0.0713614-0.0727721j 0.111404+0.198252j -0.3477-0.183538j 0.297389-0.164004j 0.170771+0.00855451j -0.0798566+0.00286811j 0.0380265+0.0423984j -0.0913172-0.00402491j -0.0104549+0.0497332j 0.0481521-0.00340153j 0.0556357-0.0734764j 0.0151752+0.0308609j 0.127748+0.0208631j -0.0806243-0.0289153j 0.0118549+0.0262593j -0.0281055+0.0412333j -0.0407488-0.0703892j 0.00238694-0.00838437j -0.0151625-0.0037309j 0.0363459-0.000765656j 0.0445249+0.0307286j -0.0447524+0.0878079j -0.0298777+0.0758665j -0.0120424+0.027044j -0.0329031+0.00430309j 0.0269838-0.00871998j 0.0105348-0.0239998j 
0.00642757-0.0174564j 0.0183995-0.0155091j -0.0678212+0.00751288j -0.124943-0.00671741j 0.0115996+0.016288j -0.0679607+0.0262641j 0.0398515+0.00499729j -0.0759966+0.0245277j 0.0173208+0.19058j -0.0813763-0.0908842j -0.0744298+0.0379441j -0.0454514+0.119155j 0.113438-0.0905955j -0.0065866-0.251349j 0.187466-0.0162842j -0.193177-0.0280269j -0.075924-0.080195j -0.0489844-0.0243287j 0.0397922-0.0148544j 0.000812129+0.0454002j -0.0323359+0.00854569j 0.0333151-0.00608624j -0.000201053-0.0253926j 0.0318444-0.00112212j 0.00237752+0.0251588j -0.00118177-0.00447704j -0.0189249-0.0201182j 0.00627984-0.00155857j 0.0103941+0.0129971j -0.00666591+0.000829267j -0.00724105-0.00766529j -0.0191605+0.00149447j -0.00191879+0.00572978j 0.0183317+0.00704079j 0.0416501-0.00658303j -0.021326+0.00202554j 
0.0116177+0.0255108j 0.0427734-0.00179123j 0.0548118-0.0340755j 0.0911348-0.0612959j -0.0159409+0.0269803j 0.0449357-0.0499105j -0.0511817+0.0185139j 0.045032-0.0566438j -0.0865973-0.153616j 0.0612073-0.00621478j -0.0236228-0.0598572j -0.0480487-0.0214734j 0.0366135+0.00827637j -0.11952-0.191016j -0.0193209+0.153993j -0.187194+0.11521j 0.139857+0.0500602j -0.0788561+0.0304395j 0.0302352-0.0243803j 0.0450506-0.0123541j 0.0180095-0.0483743j 0.0188199+0.0113648j -0.0294808+0.0202317j 0.0226484+0.0161169j 0.00538179-0.00439537j -0.0173221+0.00959206j -0.00292563-0.00746043j 0.0120494-0.00566941j 0.0194-0.0132467j -0.00668016-0.00180092j -0.0105041-0.0196409j -0.0160711+0.0220243j 0.0158208-0.000283614j 0.027017-0.00287426j 0.0430441-0.0329138j -0.00985449+0.00653139j 
0.012923-0.0431101j -0.0229788-0.00260615j -0.0143916-0.0279285j 0.0213477+0.0540171j 0.00439239-0.024474j 0.00861358+0.00308019j -0.00316737-0.0267867j -0.163087-0.0471848j -0.0532991-0.0136544j -0.0980565-0.0889613j 0.581835+0.0269711j 0.200506-0.0497202j 0.394995-0.0476211j -0.0220745-0.0167684j 0.0105937-0.0144965j -0.0414922+0.00654935j 0.0375594-0.00449202j -0.00104174-0.0521482j -0.1379-0.0360793j -0.142807-0.0249087j 0.0636989+0.0309309j -0.0287876+0.0815459j -0.0339698-0.0132978j 0.0994314-0.101418j 0.0348398-0.0424451j -0.0246325-0.0419784j 0.0677187-0.0205344j 0.0249273+0.00762347j 0.00109145-0.000787716j -0.012938+0.0109509j 0.0327893-0.0449476j 0.0189671+0.00973381j 0.0180938-0.005279j 0.0136803-0.0171623j 0.00223847+0.0236867j 0.0081839+0.0219371j 
-0.0360991-0.0669853j 0.0709761+0.0681214j -0.033538-0.0968359j 0.0660683+0.0897467j -0.0400792-0.134223j -0.0256847-0.0675803j -0.00681472-0.00574724j -0.0295647+0.229998j -0.0260806+0.0030832j 0.29245+0.0225415j 0.086681+0.201118j -0.162325+0.0882775j -0.00111081-0.267288j 0.0922865+0.0223379j 0.0184911-0.00443015j 0.0854375+0.143856j 0.0298475+0.00304393j -0.1162-0.0882122j -0.0914199+0.135479j 0.0668413-0.0285344j 0.0235386+0.027726j 0.0842402-0.013082j -0.00424021+0.0190631j 0.0531984-0.0141956j -0.0386315+0.0589781j -0.0226876-0.0636841j 0.0686072-0.0370566j -0.00662929+0.0528729j -0.0358643-0.0556152j -0.0204977-0.0597349j 0.0170777+0.0834181j 0.0181639+0.0499151j -0.0349994+0.00545131j -0.0287917-0.071238j 0.0062563+0.0160927j -0.0295549-0.030087j 
