0.994857-0j -0.000857216-0j -0.000524935-0j -0.000107152-0j -6.31399e-06-0j -0.00463339-0j 0.144628-0j -0.000610503-0j -8.81186e-05-0j -7.63129e-05-0j -8.99356e-06-0j -4.10498e-07-0j -0.00298146-0j -0.00301236-0j -0.000471411-0j -0.000476296-0j 0.0720873-0j -0.000248455-0j 0.0728343-0j 0.0104049-0j -0.00025103-0j 0.0105127-0j -6.21138e-05-0j -2.19605e-05-0j -6.27575e-05-0j -5.17615e-06-0j -2.21881e-05-0j -5.49014e-06-0j -5.22979e-06-0j -5.54703e-06-0j -4.57511e-07-0j -4.62252e-07-0j -1.70504e-08-0j -1.72271e-08-0j -0.0022467-0j -0.00278015-0j -0.00162176-0j -0.000350267-0j -0.000433433-0j -0.000252836-0j -0.000271315-0j -3.9161e-05-0j 0.0479074-0j -0.000335736-0j -0.000195846-0j -4.84593e-05-0j 0.00846892-0j 0.0592824-0j -2.82679e-05-0j -2.91889e-05-0j 0.0345814-0j 0.000705743-0j -2.52783e-05-0j 0.0104798-0j -3.61194e-05-0j -5.15991e-06-0j 0.000873313-0j 0.00611319-0j -3.12803e-05-0j -2.57996e-06-0j -2.10696e-05-0j -3.04051e-07-0j 0.000509432-0j -1.82469e-05-0j -6.38507e-06-0j -3.72385e-07-0j -3.19253e-06-0j -3.72462e-06-0j -3.76244e-07-0j -2.40373e-08-0j -1.86231e-06-0j -4.60803e-07-0j -2.19476e-07-0j -7.57105e-10-0j -2.97447e-08-0j -2.68801e-07-0j -9.36869e-10-0j -1.73511e-08-0j -5.46507e-10-0j 
4.10498e-07-0j -1.64032e-05-0j 4.18963e-08-0j 0.000392453-0j 0.311708-0j 6.40713e-09-0j -2.47894e-07-0j 8.44214e-10-0j 5.59177e-06-0j -2.53006e-08-0j -8.15826e-05-0j -0.0158382-0j 2.37957e-07-0j -2.32092e-07-0j -9.02064e-06-0j 8.7983e-06-0j 2.97447e-08-0j 1.98298e-08-0j -2.90115e-08-0j 0.000197018-0j -1.9341e-08-0j -0.000192162-0j -1.18857e-06-0j 1.75272e-09-0j 1.15928e-06-0j -0.00271006-0j -1.70952e-09-0j 2.01081e-05-0j 0.00264326-0j -1.96125e-05-0j 0.0225863-0j -0.0220296-0j -0.240624-0j 0.234693-0j 1.79315e-07-0j 3.84444e-09-0j -2.52145e-07-0j -6.7025e-06-0j -1.43699e-07-0j 9.42476e-06-0j 2.16543e-08-0j 0.00014343-0j 1.97676e-08-0j 4.64261e-10-0j -3.04494e-08-0j 3.07509e-06-0j -8.37812e-07-0j 4.2381e-10-0j -0.000201686-0j -5.58541e-07-0j -2.77963e-08-0j -0.00191029-0j 2.01752e-09-0j -1.79624e-08-0j -1.19749e-08-0j 1.88986e-05-0j -4.09559e-05-0j 1.1781e-06-0j 4.32549e-11-0j -4.93685e-08-0j 7.85397e-07-0j 0.0150103-0j 0.00268616-0j -2.83695e-09-0j 4.05179e-07-0j -0.000194968-0j -1.05844e-09-0j -2.65744e-05-0j 0.000321816-0j -0.0535288-0j 6.94199e-08-0j -4.18004e-06-0j -0.0211069-0j -0.0380642-0j -0.00114764-0j 0.000274156-0j -0.000816083-0j 0.0752699-0j 0.0535243-0j 
0.00298146-0j 0.00049691-0j 0.000304294-0j 6.21138e-05-0j 3.66009e-06-0j 0.00268588-0j 0.000433433-0j 0.000353896-0j 5.10805e-05-0j 4.4237e-05-0j 5.21339e-06-0j 2.37957e-07-0j 0.491101-0j -0.51073-0j -0.000265488-0j 0.000276099-0j -0.000209887-0j -0.000139924-0j 0.000218275-0j -3.02945e-05-0j 0.000145517-0j 3.15053e-05-0j -3.49811e-05-0j -1.23677e-05-0j 3.63792e-05-0j -2.91509e-06-0j 1.2862e-05-0j -3.09192e-06-0j 3.0316e-06-0j 3.2155e-06-0j -2.5766e-07-0j 2.67958e-07-0j -9.60242e-09-0j 9.98622e-09-0j 0.00130237-0j -0.00156572-0j 0.000940099-0j -0.0593859-0j 0.0713943-0j -0.042867-0j 0.000157276-0j 2.27008e-05-0j 0.000143573-0j -0.000189079-0j 0.000113528-0j -2.72912e-05-0j 2.53803e-05-0j -0.000172604-0j 1.63863e-05-0j 1.69202e-05-0j 0.000103636-0j 2.11502e-06-0j 1.46533e-05-0j -3.05124e-05-0j -2.03416e-05-0j 2.9911e-06-0j -2.5427e-06-0j 1.83205e-05-0j -1.76164e-05-0j 1.49555e-06-0j 1.22136e-05-0j 1.76252e-07-0j 1.52671e-06-0j 1.05773e-05-0j -3.59593e-06-0j 2.15864e-07-0j -1.79796e-06-0j 2.15909e-06-0j -2.11892e-07-0j 1.3934e-08-0j 1.07954e-06-0j -2.59514e-07-0j 1.27225e-07-0j 4.38878e-10-0j -1.67515e-08-0j 1.55819e-07-0j -5.27624e-10-0j 1.00581e-08-0j 3.16799e-10-0j 
-0.00301236-0j -0.00050206-0j -0.000307448-0j -6.27575e-05-0j -3.69802e-06-0j 0.00261968-0j 0.00042275-0j 0.000345174-0j 4.98215e-05-0j 4.31467e-05-0j 5.08489e-06-0j 2.32092e-07-0j 0.51073-0j -0.515713-0j -0.000276099-0j 0.000278793-0j -0.000218275-0j -0.000145517-0j 0.000220405-0j -3.15053e-05-0j 0.000146937-0j 3.18127e-05-0j -3.63792e-05-0j -1.2862e-05-0j 3.67342e-05-0j -3.0316e-06-0j 1.29875e-05-0j -3.2155e-06-0j 3.06118e-06-0j 3.24687e-06-0j -2.67958e-07-0j 2.70573e-07-0j -9.98622e-09-0j 1.00836e-08-0j -0.00131587-0j 0.00157188-0j -0.000852812-0j 0.0600013-0j -0.071675-0j 0.0388868-0j -0.000158906-0j -2.29361e-05-0j -0.00014506-0j 0.000189822-0j -0.000102987-0j 2.73985e-05-0j -2.56433e-05-0j 0.000173283-0j -1.48649e-05-0j -1.70955e-05-0j -9.40136e-05-0j -2.13694e-06-0j -1.48052e-05-0j 3.06324e-05-0j 2.04216e-05-0j -3.02209e-06-0j 2.5527e-06-0j -1.66194e-05-0j 1.76856e-05-0j -1.51105e-06-0j -1.10796e-05-0j -1.78079e-07-0j -1.38495e-06-0j -9.59523e-06-0j 3.61006e-06-0j -2.18101e-07-0j 1.80503e-06-0j -1.95862e-06-0j 2.12725e-07-0j -1.40783e-08-0j -9.79309e-07-0j 2.60534e-07-0j -1.15413e-07-0j -4.43426e-10-0j 1.68174e-08-0j -1.41351e-07-0j 5.29698e-10-0j -9.12417e-09-0j -2.87384e-10-0j 
-0.000471411-0j 0.00370458-0j -4.81131e-05-0j 0.000935967-0j 0.000110883-0j 0.103111-0j 0.00323134-0j -5.59559e-05-0j 0.000769711-0j 0.000329797-0j 0.00011825-0j 9.02064e-06-0j 0.000265488-0j -0.000276099-0j 0.480567-0j -0.499775-0j 3.3186e-05-0j 2.2124e-05-0j -3.45124e-05-0j -0.000456495-0j -2.30082e-05-0j 0.000474741-0j -0.000260792-0j 1.9555e-06-0j 0.000271216-0j -6.61199e-05-0j -2.03366e-06-0j -4.65909e-05-0j 6.87626e-05-0j 4.8453e-05-0j -7.80588e-06-0j 8.11787e-06-0j -4.37121e-07-0j 4.54592e-07-0j -0.000205923-0j 0.000247562-0j -0.000148643-0j 0.00151373-0j -0.00181982-0j 0.00109267-0j 0.00603782-0j -0.0830543-0j -2.27008e-05-0j -0.00725873-0j 0.00435833-0j 0.0998487-0j 0.000189216-0j 2.72912e-05-0j -0.0599518-0j 0.000126144-0j -1.63863e-05-0j 4.79728e-05-0j -2.31689e-06-0j -0.000227477-0j -0.000151652-0j 4.50716e-05-0j -5.76734e-05-0j 0.000136583-0j 2.78539e-06-0j 1.11497e-05-0j 9.10556e-05-0j 5.3396e-06-0j 3.46286e-05-0j -1.67242e-06-0j -5.41855e-05-0j 4.89621e-06-0j -1.34042e-05-0j 3.25344e-05-0j -6.41933e-06-0j 5.28217e-07-0j 8.04825e-06-0j -5.88627e-06-0j 3.85433e-06-0j 2.33199e-08-0j -6.35028e-07-0j 3.53427e-06-0j -2.80355e-08-0j 3.81287e-07-0j 1.68332e-08-0j 
0.000476296-0j -0.00374297-0j 4.86117e-05-0j -0.000945666-0j -0.000112033-0j 0.10057-0j 0.0031517-0j -5.45767e-05-0j 0.00075074-0j 0.000321669-0j 0.000115335-0j 8.7983e-06-0j 0.000276099-0j -0.000278793-0j 0.499775-0j -0.50465-0j 3.45124e-05-0j 2.30082e-05-0j -3.48491e-05-0j -0.000474741-0j -2.32327e-05-0j 0.000479372-0j -0.000271216-0j 2.03366e-06-0j 0.000273862-0j -6.87626e-05-0j -2.0535e-06-0j -4.8453e-05-0j 6.94335e-05-0j 4.89257e-05-0j -8.11787e-06-0j 8.19707e-06-0j -4.54592e-07-0j 4.59027e-07-0j 0.000208057-0j -0.000248536-0j 0.000134841-0j -0.00152942-0j 0.00182697-0j -0.000991213-0j -0.00610039-0j 0.083915-0j 2.29361e-05-0j 0.00728727-0j -0.00395366-0j -0.100241-0j -0.000191177-0j -2.73985e-05-0j 0.0543853-0j -0.000127451-0j 1.48649e-05-0j -4.847e-05-0j 2.3409e-06-0j 0.000228372-0j 0.000152248-0j -4.55387e-05-0j 5.79002e-05-0j -0.000123902-0j -2.79634e-06-0j -1.12652e-05-0j -8.26011e-05-0j -5.39494e-06-0j -3.14134e-05-0j 1.51714e-06-0j 5.43986e-05-0j -4.94695e-06-0j 1.34569e-05-0j -2.95136e-05-0j 6.44457e-06-0j -5.33691e-07-0j -7.30097e-06-0j 5.90941e-06-0j -3.49646e-06-0j -2.35616e-08-0j 6.37524e-07-0j -3.20611e-06-0j 2.81457e-08-0j -3.45885e-07-0j -1.52703e-08-0j 
0.0720873-0j -6.21138e-05-0j 0.00731106-0j 0.000742299-0j -4.57511e-07-0j -0.000335736-0j 0.0104798-0j 0.00422929-0j -6.38507e-06-0j 0.00106285-0j 6.23033e-05-0j -2.97447e-08-0j 0.000209887-0j -0.000218275-0j 3.3186e-05-0j -3.45124e-05-0j 0.485171-0j 1.74905e-05-0j -0.504563-0j -0.000732476-0j -1.81896e-05-0j 0.000761752-0j -0.000418046-0j -0.000446497-0j 0.000434755-0j 3.64386e-07-0j 0.000464343-0j -7.42873e-05-0j -3.7895e-07-0j 7.72565e-05-0j -3.0792e-06-0j 3.20227e-06-0j 1.2003e-09-0j -1.24828e-09-0j -0.000162796-0j 0.000195715-0j -0.000117512-0j -2.53803e-05-0j 3.05124e-05-0j -1.83205e-05-0j 0.00187955-0j -2.8376e-06-0j 0.00347137-0j -0.00225961-0j 0.00135673-0j 3.4114e-06-0j -0.0586688-0j -0.00417332-0j -2.04829e-06-0j -2.11502e-06-0j 0.00250577-0j 5.11381e-05-0j 0.000352065-0j 0.0705322-0j 2.5427e-06-0j 3.57455e-05-0j -6.14788e-05-0j -0.0423494-0j -0.000423256-0j 5.39922e-05-0j -1.52671e-06-0j -2.20315e-08-0j 3.69134e-05-0j 0.000254134-0j -4.29736e-05-0j 5.1864e-06-0j -6.49099e-05-0j 2.58025e-05-0j 2.64865e-08-0j 1.6652e-07-0j 3.89736e-05-0j -6.23515e-06-0j -1.59032e-08-0j -5.48598e-11-0j -2.00191e-07-0j 3.74374e-06-0j 6.5953e-11-0j 1.202e-07-0j -3.95999e-11-0j 
-0.000248455-0j 0.0119974-0j -2.53579e-05-0j -5.17615e-06-0j -3.05008e-07-0j -0.000223824-0j -3.61194e-05-0j 0.00854445-0j 0.00123329-0j -3.68642e-06-0j -4.34449e-07-0j -1.98298e-08-0j 0.000139924-0j -0.000145517-0j 2.2124e-05-0j -2.30082e-05-0j 1.74905e-05-0j 0.486012-0j -1.81896e-05-0j 2.52454e-06-0j -0.505437-0j -2.62544e-06-0j -0.000844581-0j 1.03064e-06-0j 0.000878338-0j -7.03818e-05-0j -1.07183e-06-0j 2.5766e-07-0j 7.31948e-05-0j -2.67958e-07-0j 2.14717e-08-0j -2.23299e-08-0j 8.00202e-10-0j -8.32185e-10-0j -0.000108531-0j 0.000130477-0j -7.83416e-05-0j -1.69202e-05-0j 2.03416e-05-0j -1.22136e-05-0j -1.31063e-05-0j -1.89174e-06-0j 0.00346641-0j 1.57566e-05-0j -9.46065e-06-0j 2.27426e-06-0j -2.11502e-06-0j -0.00416735-0j -1.36553e-06-0j -0.0587705-0j 0.00250219-0j -1.76252e-07-0j 0.000353789-0j 2.5427e-06-0j 0.0706544-0j 7.22168e-05-0j 2.11892e-07-0j -1.52671e-06-0j -0.000425328-0j -1.24629e-07-0j -0.0424228-0j 4.25542e-06-0j -1.27225e-07-0j 0.000255378-0j -8.68198e-05-0j -1.79887e-08-0j 1.4983e-07-0j 5.21289e-05-0j -5.11591e-06-0j -1.16116e-09-0j -8.9962e-08-0j 2.16261e-08-0j 3.07172e-06-0j -3.65732e-11-0j 1.39596e-09-0j -1.29849e-08-0j 4.39686e-11-0j -8.38171e-10-0j -2.63999e-11-0j 
-0.0728343-0j 6.27575e-05-0j -0.00738682-0j -0.000749992-0j 4.62252e-07-0j -0.00032746-0j 0.0102214-0j 0.00412504-0j -6.22769e-06-0j 0.00103665-0j 6.07676e-05-0j -2.90115e-08-0j 0.000218275-0j -0.000220405-0j 3.45124e-05-0j -3.48491e-05-0j 0.504563-0j 1.81896e-05-0j -0.509485-0j -0.000761752-0j -1.83671e-05-0j 0.000769184-0j -0.000434755-0j -0.000464343-0j 0.000438997-0j 3.7895e-07-0j 0.000468873-0j -7.72565e-05-0j -3.82648e-07-0j 7.80102e-05-0j -3.20227e-06-0j 3.23352e-06-0j 1.24828e-09-0j -1.26046e-09-0j 0.000164483-0j -0.000196485-0j 0.000106601-0j 2.56433e-05-0j -3.06324e-05-0j 1.66194e-05-0j -0.00189903-0j 2.86701e-06-0j -0.00350734-0j 0.0022685-0j -0.00123076-0j -3.42481e-06-0j 0.0592768-0j 0.00418972-0j 1.85811e-06-0j 2.13694e-06-0j -0.00227311-0j -5.16681e-05-0j -0.000355713-0j -0.0708095-0j -2.5527e-06-0j -3.61159e-05-0j 6.17205e-05-0j 0.0384172-0j 0.00042492-0j -5.45517e-05-0j 1.38495e-06-0j 2.22598e-08-0j -3.3486e-05-0j -0.000230538-0j 4.31426e-05-0j -5.24015e-06-0j 6.51651e-05-0j -2.34067e-05-0j -2.65906e-08-0j -1.68245e-07-0j -3.53549e-05-0j 6.25966e-06-0j 1.44266e-08-0j 5.54283e-11-0j 2.00979e-07-0j -3.39614e-06-0j -6.62123e-11-0j -1.0904e-07-0j 3.5923e-11-0j 
-0.0104049-0j -0.000854417-0j 5.49014e-06-0j 0.00498187-0j 0.0018119-0j 4.84593e-05-0j 0.144156-0j 6.38507e-06-0j 0.00409694-0j -7.60638e-05-0j 0.00128141-0j 0.000197018-0j -3.02945e-05-0j 3.15053e-05-0j 0.000456495-0j -0.000474741-0j 0.000732476-0j -2.52454e-06-0j -0.000761752-0j 0.469989-0j 2.62544e-06-0j -0.488773-0j 6.01485e-05-0j -2.2314e-07-0j -6.25526e-05-0j -0.000716509-0j 2.32059e-07-0j -0.000247989-0j 0.000745146-0j 0.000257901-0j -0.000127553-0j 0.000132651-0j -1.19505e-05-0j 1.24281e-05-0j 2.34976e-05-0j -2.8249e-05-0j 1.69615e-05-0j -0.000349123-0j 0.000419719-0j -0.00025201-0j 2.8376e-06-0j 0.00182073-0j -0.000501049-0j -3.4114e-06-0j 2.04829e-06-0j -0.0021889-0j 0.00844127-0j 0.000602366-0j 0.00131427-0j -2.90936e-05-0j -0.000361676-0j -0.100555-0j 2.64378e-07-0j -0.0101482-0j 3.49766e-05-0j 0.000239902-0j 0.120888-0j 0.00609323-0j -3.17838e-07-0j -2.57153e-06-0j -2.10009e-05-0j 8.72523e-05-0j -0.0725845-0j 1.90838e-07-0j -0.000288413-0j 5.30578e-05-0j 3.09152e-06-0j 0.000173171-0j -0.000104896-0j 1.15367e-05-0j -1.85623e-06-0j -6.37866e-05-0j 6.29821e-05-0j 7.6574e-07-0j -1.38695e-05-0j 3.82991e-05-0j -9.20581e-07-0j 8.32762e-06-0j 5.52741e-07-0j 
0.00025103-0j -0.0121217-0j 2.56206e-05-0j 5.22979e-06-0j 3.08168e-07-0j -0.000218307-0j -3.52291e-05-0j 0.00833385-0j 0.00120289-0j -3.59556e-06-0j -4.23741e-07-0j -1.9341e-08-0j 0.000145517-0j -0.000146937-0j 2.30082e-05-0j -2.32327e-05-0j 1.81896e-05-0j 0.505437-0j -1.83671e-05-0j 2.62544e-06-0j -0.510368-0j -2.65106e-06-0j -0.000878338-0j 1.07183e-06-0j 0.000886907-0j -7.31948e-05-0j -1.08229e-06-0j 2.67958e-07-0j 7.39089e-05-0j -2.70573e-07-0j 2.23299e-08-0j -2.25477e-08-0j 8.32185e-10-0j -8.40304e-10-0j 0.000109655-0j -0.00013099-0j 7.10676e-05-0j 1.70955e-05-0j -2.04216e-05-0j 1.10796e-05-0j 1.32422e-05-0j 1.91134e-06-0j -0.00350233-0j -1.58185e-05-0j 8.58223e-06-0j -2.28321e-06-0j 2.13694e-06-0j 0.00418374-0j 1.23874e-06-0j 0.0593795-0j -0.00226986-0j 1.78079e-07-0j -0.000357455-0j -2.5527e-06-0j -0.0709322-0j -7.29652e-05-0j -2.12725e-07-0j 1.38495e-06-0j 0.000427001-0j 1.25921e-07-0j 0.0384838-0j -4.29952e-06-0j 1.15413e-07-0j -0.000231666-0j 8.71612e-05-0j 1.81751e-08-0j -1.50419e-07-0j -4.72887e-05-0j 5.13602e-06-0j 1.1732e-09-0j 8.16091e-08-0j -2.17112e-08-0j -2.78651e-06-0j 3.69522e-11-0j -1.40145e-09-0j 1.17793e-08-0j -4.41415e-11-0j 7.60348e-10-0j 2.39487e-11-0j 
0.0105127-0j 0.000863271-0j -5.54703e-06-0j -0.00503349-0j -0.00183068-0j 4.72648e-05-0j 0.140603-0j 6.22769e-06-0j 0.00399596-0j -7.4189e-05-0j 0.00124983-0j 0.000192162-0j -3.15053e-05-0j 3.18127e-05-0j 0.000474741-0j -0.000479372-0j 0.000761752-0j -2.62544e-06-0j -0.000769184-0j 0.488773-0j 2.65106e-06-0j -0.493542-0j 6.25526e-05-0j -2.32059e-07-0j -6.31629e-05-0j -0.000745146-0j 2.34323e-07-0j -0.000257901-0j 0.000752416-0j 0.000260417-0j -0.000132651-0j 0.000133945-0j -1.24281e-05-0j 1.25494e-05-0j -2.37411e-05-0j 2.83601e-05-0j -1.53866e-05-0j 0.000352741-0j -0.000421369-0j 0.000228611-0j -2.86701e-06-0j -0.0018396-0j 0.000506242-0j 3.42481e-06-0j -1.85811e-06-0j 0.00219751-0j -0.00852875-0j -0.000604735-0j -0.00119224-0j 2.93951e-05-0j 0.000328095-0j 0.101597-0j -2.67118e-07-0j 0.0101881-0j -3.51141e-05-0j -0.000242389-0j -0.121364-0j -0.00552748-0j 3.19088e-07-0j 2.59818e-06-0j 1.90509e-05-0j -8.81565e-05-0j 0.0658451-0j -1.73119e-07-0j 0.000289547-0j -5.36076e-05-0j -3.10368e-06-0j -0.000157092-0j 0.000105308-0j -1.16562e-05-0j 1.68388e-06-0j 6.40374e-05-0j -5.71342e-05-0j -7.73676e-07-0j 1.3924e-05-0j -3.47431e-05-0j 9.242e-07-0j -7.5544e-06-0j -5.01419e-07-0j 
6.21138e-05-0j 0.070467-0j -0.00121851-0j 0.0117904-0j -1.46102e-05-0j 5.59559e-05-0j -0.000425767-0j 0.101759-0j 0.0146411-0j 0.00835242-0j 0.0014896-0j -1.18857e-06-0j -3.49811e-05-0j 3.63792e-05-0j 0.000260792-0j -0.000271216-0j 0.000418046-0j 0.000844581-0j -0.000434755-0j 6.01485e-05-0j -0.000878338-0j -6.25526e-05-0j 0.474266-0j 7.44162e-05-0j -0.493222-0j -0.0012577-0j -7.73905e-05-0j -0.00117996-0j 0.00130797-0j 0.00122712-0j -9.83313e-05-0j 0.000102261-0j 5.75958e-08-0j -5.98978e-08-0j 2.71327e-05-0j -3.26192e-05-0j 1.95854e-05-0j -0.000199451-0j 0.000239782-0j -0.000143972-0j -0.000313258-0j -4.50716e-05-0j -0.000431805-0j 0.000376602-0j -0.000226122-0j 5.41855e-05-0j 0.00238357-0j 0.000519121-0j -3.25344e-05-0j 0.00481554-0j -0.000311694-0j -6.32098e-06-0j 0.00847089-0j -0.00286555-0j -0.00578929-0j -0.0819653-0j 7.59914e-06-0j 0.00172055-0j -0.0101838-0j 0.000424298-0j 0.00347604-0j 0.000101568-0j -4.56272e-06-0j 0.00611461-0j 0.0985395-0j 0.000124001-0j -0.000510095-0j -0.0591657-0j -0.000122106-0j 6.65399e-06-0j 0.000306274-0j -0.000149075-0j 7.33154e-05-0j -3.07267e-09-0j -7.99949e-06-0j 8.95086e-05-0j 3.694e-09-0j 4.8031e-06-0j -2.21797e-09-0j 
2.19605e-05-0j 3.66009e-06-0j 0.124207-0j -0.000132136-0j 2.69591e-08-0j 1.97834e-05-0j 3.19253e-06-0j -0.000752853-0j 3.76244e-07-0j 0.0180568-0j -1.10906e-05-0j 1.75272e-09-0j -1.23677e-05-0j 1.2862e-05-0j -1.9555e-06-0j 2.03366e-06-0j 0.000446497-0j -1.03064e-06-0j -0.000464343-0j -2.2314e-07-0j 1.07183e-06-0j 2.32059e-07-0j 7.44162e-05-0j 0.477557-0j -7.73905e-05-0j -2.14717e-08-0j -0.496644-0j -0.00126207-0j 2.23299e-08-0j 0.00131251-0j 5.48127e-07-0j -5.70035e-07-0j -7.07285e-11-0j 7.35554e-11-0j 9.59285e-06-0j -1.15326e-05-0j 6.92449e-06-0j 1.49555e-06-0j -1.79796e-06-0j 1.07954e-06-0j -0.000334577-0j 1.67207e-07-0j 1.05751e-06-0j 0.000402232-0j -0.000241511-0j -2.01018e-07-0j -5.39922e-05-0j -1.27135e-06-0j 1.20697e-07-0j 1.24629e-07-0j 7.63353e-07-0j 1.55786e-08-0j 0.00598122-0j 6.49099e-05-0j -1.4983e-07-0j -6.36304e-06-0j -1.87288e-08-0j -3.89736e-05-0j -0.00719068-0j -0.057748-0j 8.9962e-08-0j 1.29822e-09-0j 1.12452e-08-0j 0.00431747-0j 7.64971e-06-0j 8.81117e-05-0j 0.0694252-0j -4.59308e-06-0j -1.56073e-09-0j -2.9642e-08-0j -0.0416847-0j -0.000105929-0j 9.37104e-10-0j 3.23264e-12-0j 3.5636e-08-0j 6.36024e-05-0j -3.88632e-12-0j -2.13968e-08-0j 2.33345e-12-0j 
-6.27575e-05-0j -0.0711972-0j 0.00123114-0j -0.0119126-0j 1.47616e-05-0j 5.45767e-05-0j -0.000415273-0j 0.099251-0j 0.0142802-0j 0.00814655-0j 0.00145288-0j -1.15928e-06-0j -3.63792e-05-0j 3.67342e-05-0j 0.000271216-0j -0.000273862-0j 0.000434755-0j 0.000878338-0j -0.000438997-0j 6.25526e-05-0j -0.000886907-0j -6.31629e-05-0j 0.493222-0j 7.73905e-05-0j -0.498034-0j -0.00130797-0j -7.81455e-05-0j -0.00122712-0j 0.00132073-0j 0.00123909-0j -0.000102261-0j 0.000103259-0j 5.98978e-08-0j -6.04822e-08-0j -2.74139e-05-0j 3.27474e-05-0j -1.77669e-05-0j 0.000201518-0j -0.000240725-0j 0.000130604-0j 0.000316504-0j 4.55387e-05-0j 0.00043628-0j -0.000378083-0j 0.000205126-0j -5.43986e-05-0j -0.00240827-0j -0.000521162-0j 2.95136e-05-0j -0.00486544-0j 0.000282753-0j 6.38648e-06-0j -0.00855867-0j 0.00287682-0j 0.00581205-0j 0.0828147-0j -7.62902e-06-0j -0.0015608-0j 0.0102238-0j -0.000428695-0j -0.00315329-0j -0.00010262-0j 4.13908e-06-0j -0.00554687-0j -0.098927-0j -0.000125286-0j 0.0005121-0j 0.0536722-0j 0.000122586-0j -6.72294e-06-0j -0.000277837-0j 0.000149661-0j -6.65081e-05-0j 3.10451e-09-0j 8.03094e-06-0j -8.11978e-05-0j -3.70852e-09-0j -4.35714e-06-0j 2.01203e-09-0j 
-5.17615e-06-0j -0.0178658-0j -5.28289e-07-0j -0.00146908-0j 0.0164987-0j -4.66299e-06-0j 0.000107947-0j 8.86975e-05-0j 0.17441-0j 1.10173e-05-0j 0.00568888-0j 0.00271006-0j 2.91509e-06-0j -3.0316e-06-0j -6.61199e-05-0j 6.87626e-05-0j 3.64386e-07-0j -7.03818e-05-0j -3.7895e-07-0j 0.000716509-0j 7.31948e-05-0j -0.000745146-0j 0.0012577-0j 2.14717e-08-0j -0.00130797-0j 0.459215-0j -2.23299e-08-0j 7.31284e-05-0j -0.477569-0j -7.60512e-05-0j -0.00116146-0j 0.00120788-0j -0.000219871-0j 0.000228659-0j -2.26106e-06-0j 2.71826e-06-0j -1.63212e-06-0j 5.05678e-05-0j -6.07931e-05-0j 3.65018e-05-0j -2.73049e-07-0j -0.000536907-0j 3.59838e-05-0j 3.28262e-07-0j -1.97097e-07-0j 0.000645475-0j 6.32098e-06-0j -4.32601e-05-0j -0.00038756-0j -0.00122091-0j 2.59745e-05-0j 0.00230793-0j 3.67258e-06-0j -7.59914e-06-0j 0.00146779-0j 0.0102128-0j -0.00277461-0j 4.56272e-06-0j -4.41521e-06-0j 3.72467e-07-0j -0.000881296-0j -0.114696-0j 0.00166595-0j 2.65101e-06-0j -0.012278-0j 0.000235552-0j -4.47784e-07-0j 0.007372-0j 0.137889-0j 0.000158691-0j 2.68861e-07-0j -0.000283183-0j -0.0827922-0j 1.76413e-05-0j -0.00019078-0j 0.00017003-0j -2.12086e-05-0j 0.000114549-0j 1.27342e-05-0j 
-2.21881e-05-0j -3.69802e-06-0j -0.125495-0j 0.000133506-0j -2.72385e-08-0j 1.92958e-05-0j 3.11384e-06-0j -0.000734297-0j 3.6697e-07-0j 0.0176117-0j -1.08172e-05-0j 1.70952e-09-0j -1.2862e-05-0j 1.29875e-05-0j -2.03366e-06-0j 2.0535e-06-0j 0.000464343-0j -1.07183e-06-0j -0.000468873-0j -2.32059e-07-0j 1.08229e-06-0j 2.34323e-07-0j 7.73905e-05-0j 0.496644-0j -7.81455e-05-0j -2.23299e-08-0j -0.501489-0j -0.00131251-0j 2.25477e-08-0j 0.00132531-0j 5.70035e-07-0j -5.75596e-07-0j -7.35554e-11-0j 7.42731e-11-0j -9.69226e-06-0j 1.1578e-05-0j -6.28155e-06-0j -1.51105e-06-0j 1.80503e-06-0j -9.79309e-07-0j 0.000338044-0j -1.6894e-07-0j -1.06847e-06-0j -0.000403813-0j 0.000219086-0j 2.01809e-07-0j 5.45517e-05-0j 1.27635e-06-0j -1.0949e-07-0j -1.25921e-07-0j -6.92476e-07-0j -1.57401e-08-0j -0.00604321-0j -6.51651e-05-0j 1.50419e-07-0j 6.42898e-06-0j 1.88024e-08-0j 3.53549e-05-0j 0.00721896-0j 0.0583464-0j -8.16091e-08-0j -1.31167e-09-0j -1.02011e-08-0j -0.0039166-0j -7.67978e-06-0j -8.90248e-05-0j -0.0696982-0j 4.16662e-06-0j 1.56687e-09-0j 2.99492e-08-0j 0.0378143-0j 0.000106345-0j -8.50094e-10-0j -3.26614e-12-0j -3.57761e-08-0j -5.76969e-05-0j 3.9016e-12-0j 1.94101e-08-0j -2.11679e-12-0j 
