0.49278-0j -0.512476-0j -0.0595889-0j 0.0716384-0j -0.0430136-0j -0.0363761-0j -0.00525044-0j -0.0424388-0j 0.0764855-0j -0.00612552-0j 0.0360769-0j 0.0110397-0j 0.00520725-0j -0.015317-0j -0.00221082-0j -0.0264821-0j -0.00468141-0j -0.000390118-0j -0.0299147-0j 0.0237299-0j -0.00528822-0j -0.0246783-0j -0.000440685-0j 0.0628994-0j 0.00419489-0j -0.00436256-0j 0.000349574-0j 0.0171291-0j 0.0111191-0j -0.000363546-0j -0.00563321-0j 0.000926595-0j 0.00302803-0j 0.000252336-0j -0.00099582-0j -8.2985e-05-0j -0.0208702-0j -0.00347837-0j -0.00213006-0j -0.0230991-0j -0.000434797-0j -2.56206e-05-0j 0.0177416-0j -0.00384985-0j -0.0121743-0j -0.0184507-0j -0.00235754-0j -0.000481232-0j 0.0206985-0j 0.00295693-0j -2.83568e-05-0j -0.00202905-0j 0.037019-0j 0.00181074-0j -0.0124279-0j -0.00307512-0j -0.00124253-0j 0.0387949-0j -0.00188312-0j 0.000369617-0j -0.000253631-0j 0.00344975-0j -0.00038439-0j 2.17799e-05-0j 0.00747049-0j 0.00211253-0j 0.00616984-0j -1.49454e-05-0j -0.00207132-0j -2.26504e-05-0j -0.00200597-0j 0.00377824-0j 0.000431219-0j 0.00646582-0j -0.00126842-0j 0.00077123-0j 0.00395949-0j 2.54098e-05-0j 0.00124508-0j -0.000258915-0j 0.000808228-0j 0.000762454-0j 4.54452e-05-0j -1.52567e-05-0j -0.000334328-0j 0.000155635-0j -0.000204733-0j 4.76253e-05-0j -4.1791e-05-0j 9.1709e-06-0j -2.46256e-06-0j 
-0.0110397-0j 0.00378997-0j -0.0419982-0j 0.152951-0j -0.0303159-0j 0.000269017-0j 0.172613-0j 0.000313853-0j 0.000170621-0j 0.201382-0j -0.000808228-0j 0.109478-0j -0.518595-0j 0.000113275-0j 0.0726825-0j 0.000195846-0j -0.00329945-0j 0.0393041-0j 0.000221231-0j -0.000531619-0j -0.00372712-0j 0.000182507-0j 0.0443987-0j 0.000140314-0j 0.00895629-0j -0.00307472-0j -0.10669-0j -0.000383743-0j -0.00236389-0j 0.0366271-0j 4.16599e-05-0j 0.0281594-0j 0.00646499-0j -0.0770131-0j -0.000701852-0j 0.00836069-0j 0.000154344-0j -0.00245155-0j 1.57527e-05-0j 0.000170828-0j 0.0142943-0j 0.00519883-0j -0.000397464-0j -0.00271337-0j 9.0034e-05-0j 0.000136451-0j 1.7435e-05-0j 0.0158209-0j -0.000463708-0j 0.00631319-0j 0.00575405-0j -0.00143007-0j 0.0006959-0j -4.0566e-05-0j 9.19097e-05-0j -0.00216734-0j 9.18906e-06-0j 8.65423e-05-0j 1.39264e-05-0j -0.0368105-0j 0.00833835-0j 0.00736539-0j 0.0126371-0j -0.0133879-0j -0.000167361-0j -4.7327e-05-0j -0.0110535-0j 0.00303265-0j -0.00145986-0j 0.00459612-0j 1.4835e-05-0j 7.1025e-05-0j -0.0429455-0j -0.00137461-0j 9.3805e-06-0j 0.0644497-0j 8.83269e-06-0j -0.0156193-0j 0.00265831-0j 0.00851206-0j 0.00801497-0j -1.70812e-05-0j 0.0234403-0j 0.00309583-0j -0.000235634-0j -0.0154999-0j 1.51409e-06-0j 0.00291504-0j 0.00137391-0j -0.00563729-0j 0.000499692-0j 
0.00520725-0j 0.00541212-0j 0.0600099-0j 0.0696445-0j 0.0388924-0j -0.00038439-0j -0.246641-0j 0.000432915-0j 0.000808228-0j 0.277777-0j -0.000380998-0j 0.518595-0j -0.244465-0j -0.000764993-0j -0.490853-0j -0.000279838-0j 0.00471448-0j -0.0561604-0j 0.000305157-0j 0.000250756-0j -0.00514103-0j 0.000260621-0j 0.0612416-0j -0.000641631-0j -0.00422453-0j -0.00439074-0j 0.0503239-0j 0.000162515-0j 0.0108097-0j 0.0523039-0j -0.000624209-0j -0.128768-0j -0.00273791-0j 0.0326149-0j 0.0105162-0j -0.125272-0j -0.000220537-0j 0.00350294-0j -2.25085e-05-0j 0.000235632-0j -0.0204247-0j -0.00742845-0j 0.000187477-0j -0.0037427-0j -0.000128647-0j 0.000194853-0j 2.40491e-05-0j 0.0218227-0j -0.000211144-0j -0.00297782-0j 0.00793689-0j 0.00204338-0j 0.000391183-0j 1.91343e-05-0j -0.000117911-0j -0.00309498-0j -1.313e-05-0j -0.000409703-0j 1.98871e-05-0j 0.0173629-0j -0.0119144-0j 0.00335374-0j 0.018046-0j 0.00631485-0j 0.000373107-0j -2.15498e-05-0j -0.00621342-0j -0.00433326-0j 0.00187287-0j 0.00656331-0j -0.000385309-0j 3.99249e-05-0j -0.0195547-0j 0.00650759-0j -1.20343e-05-0j 0.0362288-0j -4.18151e-05-0j -0.00711204-0j -0.00592631-0j -0.0109202-0j -0.037944-0j 3.80801e-05-0j 0.0131764-0j -0.00397166-0j 0.00612013-0j 0.0345547-0j -3.93255e-05-0j -0.0138002-0j -0.0356848-0j 0.0125675-0j -0.0129785-0j 
-0.015317-0j -0.0731443-0j -0.00179946-0j 0.00652584-0j -0.0015551-0j 0.105021-0j -0.000158553-0j -0.359081-0j 0.0750304-0j 0.000542115-0j 0.50671-0j -0.000113275-0j -0.000764993-0j -0.61524-0j 0.000928845-0j -0.000799703-0j 0.0135156-0j -1.17807e-05-0j 0.00264748-0j -0.000737591-0j -0.0447444-0j -0.00352227-0j 3.9001e-05-0j 0.00189145-0j 0.0124658-0j 0.059529-0j -1.08657e-05-0j -0.00063743-0j -0.0319669-0j -5.18879e-05-0j 0.00316725-0j 2.78637e-05-0j 0.010773-0j -9.39023e-06-0j -0.0535289-0j 4.6658e-05-0j -0.000630238-0j -0.00010504-0j 0.0123636-0j 0.00204429-0j 0.00125529-0j -7.7369e-07-0j -0.000551458-0j 0.000340716-0j -0.000367639-0j -0.00263342-0j -0.0401037-0j -0.00407177-0j 0.00188552-0j -9.19097e-05-0j 2.50961e-06-0j -6.12731e-05-0j -0.000227465-0j 0.0108182-0j -0.000449317-0j -0.000438903-0j 0.00721211-0j -0.0018814-0j 0.0516607-0j 0.00109838-0j 0.000732253-0j 0.000314253-0j 0.00524517-0j -6.76979e-07-0j 0.00323059-0j -0.0369889-0j -3.79108e-05-0j -4.51319e-07-0j -7.48862e-05-0j -3.23282e-06-0j -0.00190474-0j 0.00446226-0j -0.00375552-0j -0.000313567-0j 0.00881442-0j 0.000453058-0j 0.0369082-0j 2.31469e-06-0j 0.000538432-0j 0.000894938-0j 0.00374733-0j -0.0633758-0j -2.7924e-07-0j -5.51589e-07-0j -0.000317456-0j -0.00643461-0j 0.0373659-0j -2.30964e-06-0j 0.0037938-0j 3.96593e-06-0j -2.33829e-06-0j 
0.00221082-0j 0.0105575-0j -0.0247528-0j 0.0897673-0j -0.0213915-0j 0.000158553-0j 0.101734-0j -0.000542115-0j 0.000113275-0j -0.347845-0j 0.000764993-0j 0.0726825-0j 0.490853-0j -0.000928845-0j -0.595988-0j 0.000115427-0j -0.00194462-0j 0.023165-0j -0.00038213-0j 0.000106462-0j 0.00643782-0j 0.000508396-0j -0.0766894-0j -0.000273007-0j -0.00179359-0j -0.00856504-0j 0.0213658-0j 9.20051e-05-0j 0.0045994-0j 0.102029-0j -0.000457153-0j -0.0547896-0j -0.00155003-0j 0.0184644-0j 0.00770174-0j -0.0917456-0j 9.0967e-05-0j -0.00144489-0j 9.28428e-06-0j -0.000295069-0j 0.00842476-0j 0.00306408-0j 7.95961e-05-0j 0.00468677-0j 5.30641e-05-0j 0.000380101-0j -3.01153e-05-0j -0.0273273-0j -0.000272151-0j -0.00126428-0j -0.00993891-0j -0.000842853-0j 3.28317e-05-0j 8.12375e-06-0j 6.48534e-05-0j -0.0060374-0j 5.41583e-06-0j 0.000271557-0j 3.87939e-05-0j 0.00737166-0j 0.00491444-0j 0.00432276-0j 0.0352024-0j 0.00268107-0j -0.000466296-0j -2.77763e-05-0j -0.000521489-0j 0.00178738-0j -0.00103011-0j 0.0128031-0j 0.000274925-0j 3.35088e-06-0j -0.0252048-0j -0.00431333-0j 6.61907e-06-0j 0.00304066-0j 2.77157e-05-0j -0.00916696-0j 0.0074065-0j 0.00600629-0j 0.0251498-0j -4.75912e-05-0j 0.00110588-0j 0.00218448-0j -0.00436682-0j -0.0431852-0j 2.80594e-05-0j 0.00914697-0j 0.0254617-0j -0.0157064-0j 0.00926041-0j 
0.0264821-0j 0.0267565-0j 0.00311115-0j 0.00384985-0j 0.00224575-0j 0.00189921-0j 0.000274127-0j 0.00221574-0j 0.00135686-0j 0.000319815-0j 0.00193877-0j 0.000195846-0j 0.000279838-0j 0.000799703-0j 0.000115427-0j 0.793519-0j -0.000971683-0j -8.09736e-05-0j -0.225474-0j -0.184099-0j 0.000276099-0j -0.186007-0j 2.30082e-05-0j -0.161087-0j 0.000225434-0j 0.00022777-0j 1.87862e-05-0j -0.13289-0j 0.000197255-0j 1.89808e-05-0j -0.0424589-0j 1.64379e-05-0j 0.000162727-0j 1.35606e-05-0j 5.1992e-05-0j 4.33267e-06-0j 0.00108964-0j -0.0262174-0j 0.000111211-0j -0.0047945-0j 2.27008e-05-0j 1.33766e-06-0j 0.000953435-0j 0.115358-0j 0.000635623-0j 0.000963315-0j -0.000489336-0j -9.98854e-05-0j 0.00111234-0j -0.0229402-0j -5.8858e-06-0j -0.0152935-0j 0.000393272-0j 9.73095e-05-0j 0.000648865-0j -0.0231779-0j 6.4873e-05-0j 0.000688226-0j 9.8318e-05-0j 1.98632e-05-0j 1.32422e-05-0j -0.0267636-0j 2.00691e-05-0j 1.17045e-06-0j 0.000401465-0j 0.000113528-0j -0.00946235-0j 7.80301e-07-0j -0.0156121-0j 1.18258e-06-0j 0.000104732-0j 4.01381e-05-0j 2.31738e-05-0j -0.0165591-0j 6.62245e-05-0j 8.19316e-06-0j 7.02417e-05-0j 1.36553e-06-0j -0.00965949-0j 1.3518e-05-0j 1.4338e-05-0j 4.09743e-05-0j 4.82787e-07-0j 7.96557e-07-0j -0.00251991-0j 8.36385e-06-0j 1.06892e-05-0j 8.44877e-07-0j 2.18192e-06-0j 4.92845e-07-0j 1.28571e-07-0j 
-0.00468141-0j -0.00472992-0j 0.0259321-0j 0.0320893-0j 0.0187188-0j 0.032098-0j 0.00461827-0j 0.0374477-0j 0.0229319-0j 0.00538798-0j 0.0327667-0j 0.00329945-0j 0.00471448-0j 0.0135156-0j 0.00194462-0j 0.000971683-0j 0.774322-0j -0.00205342-0j -0.000276099-0j -0.000225434-0j -0.22002-0j -0.00022777-0j 0.00058347-0j -0.000197255-0j -0.179646-0j -0.181507-0j 0.000476401-0j -0.000162727-0j -0.15719-0j 0.000481338-0j -5.1992e-05-0j 0.000416851-0j -0.129675-0j 0.000343885-0j -0.0414318-0j 0.000109873-0j -0.000192623-0j 0.00151373-0j 0.00377875-0j 0.000847556-0j -0.0365637-0j 4.53081e-05-0j -0.000168545-0j -0.00666052-0j -0.000112363-0j -0.000170292-0j -0.0166268-0j 0.160883-0j -0.000196636-0j 0.00132451-0j -0.000199359-0j 0.000883008-0j -6.95213e-05-0j 0.00330641-0j -0.000114704-0j 0.00133824-0j 0.00220427-0j -0.000121662-0j 0.00334067-0j -0.0319932-0j -0.0213288-0j 0.00154526-0j -0.0323248-0j 3.96445e-05-0j -7.09697e-05-0j 0.00385748-0j 0.000546333-0j 2.64297e-05-0j 0.000901404-0j 4.00554e-05-0j -1.85142e-05-0j 0.00136382-0j -0.0373254-0j 0.000956084-0j 0.0022502-0j -0.0131965-0j 0.00238669-0j 4.6252e-05-0j 0.000557715-0j -0.0217732-0j -0.0230939-0j 0.00139224-0j 1.63525e-05-0j 2.69803e-05-0j 0.000145494-0j -0.0134715-0j 0.000363199-0j 2.86169e-05-0j -0.00351436-0j 1.66932e-05-0j 4.35484e-06-0j 
0.000390118-0j 0.00039416-0j -0.00657468-0j -0.00813575-0j -0.00474586-0j 2.7978e-05-0j 0.0550143-0j 3.2641e-05-0j 1.99884e-05-0j 0.0641833-0j 2.85608e-05-0j 0.0393041-0j 0.0561604-0j 1.17807e-05-0j 0.023165-0j -8.09736e-05-0j 0.00205342-0j 0.749749-0j 2.30082e-05-0j 1.87862e-05-0j -0.00058347-0j 1.89808e-05-0j -0.213038-0j 1.64379e-05-0j -0.000476401-0j -0.000481338-0j -0.173944-0j 1.35606e-05-0j -0.000416851-0j -0.175747-0j 4.33267e-06-0j -0.152201-0j -0.000343885-0j -0.12556-0j -0.000109873-0j -0.040117-0j 1.60519e-05-0j -0.000383783-0j 1.63829e-06-0j -7.06296e-05-0j 0.00455581-0j -0.0511646-0j 1.40454e-05-0j 0.00168867-0j 9.36361e-06-0j 1.4191e-05-0j -7.20861e-06-0j -0.0200459-0j 1.63863e-05-0j -0.00033581-0j 0.225128-0j -0.000223873-0j 5.79344e-06-0j 1.4335e-06-0j 9.55869e-06-0j -0.00033929-0j 9.5567e-07-0j 1.01385e-05-0j 1.44836e-06-0j 0.00398633-0j 0.00265755-0j -0.000391778-0j 0.00402764-0j -0.044769-0j 5.91414e-06-0j 1.67242e-06-0j -0.000138515-0j -0.029846-0j -0.000228537-0j -0.045233-0j 1.54285e-06-0j 5.91291e-07-0j 0.00465072-0j -0.0002424-0j 9.7558e-07-0j 0.00164428-0j 1.03476e-06-0j -0.0522305-0j -0.0001414-0j 0.00271292-0j 0.00287749-0j 6.03609e-07-0j -0.0184663-0j -0.0304678-0j -3.68877e-05-0j 0.00167853-0j 1.57466e-07-0j -0.032316-0j 0.000437887-0j -0.018851-0j -0.00491774-0j 
-0.0299147-0j 0.0291773-0j -0.00351442-0j -7.53479e-05-0j 0.00494182-0j 0.00636732-0j 0.000919043-0j -4.33657e-05-0j -0.00153274-0j -6.25929e-06-0j 0.00211419-0j -0.000221231-0j 0.000305157-0j 0.00264748-0j 0.00038213-0j 0.225474-0j -0.000276099-0j -2.30082e-05-0j -0.0130971-0j 0.207962-0j 1.60378e-05-0j -0.202836-0j 1.33648e-06-0j 0.00315273-0j -0.000254655-0j 0.000248378-0j -2.12212e-05-0j -0.292427-0j -3.86059e-06-0j 2.06982e-05-0j -0.187695-0j -3.21716e-07-0j 0.000358084-0j 2.98404e-05-0j 0.000229837-0j 1.91531e-05-0j -0.00123088-0j 0.0296157-0j -0.000125626-0j -2.36036e-05-0j -2.56433e-05-0j -1.51105e-06-0j 0.0031965-0j 0.000567916-0j -0.000718013-0j -0.00311772-0j -2.40903e-06-0j -4.91741e-07-0j -2.17703e-05-0j -0.0769098-0j -2.89761e-08-0j 0.0172758-0j -0.000444248-0j 0.000326242-0j 0.00142784-0j 0.0750141-0j -7.32819e-05-0j 0.000750494-0j -0.000318201-0j 6.65938e-05-0j -1.49586e-05-0j 0.000523807-0j -6.49524e-05-0j 3.92408e-06-0j 0.00132908-0j -2.22192e-06-0j 0.0106889-0j -8.81444e-07-0j -0.0343548-0j -3.82736e-06-0j 0.000579238-0j -4.53408e-05-0j -4.53548e-07-0j -0.0180573-0j 0.000145729-0j -9.25516e-06-0j 7.6597e-05-0j -2.67256e-08-0j -0.0319784-0j 2.97468e-05-0j 1.56353e-05-0j 0.000135649-0j -5.45366e-07-0j 1.75284e-06-0j -0.0139368-0j 2.76892e-05-0j 5.91183e-05-0j 9.21319e-07-0j 1.20675e-05-0j 1.6316e-06-0j 7.11082e-07-0j 
0.0237299-0j -0.0246783-0j 0.00564319-0j 0.00344975-0j -0.00207132-0j -0.0017517-0j -0.000252836-0j 0.00401904-0j 0.00368317-0j 0.000580099-0j 0.00173729-0j 0.000531619-0j 0.000250756-0j -0.000737591-0j -0.000106462-0j 0.184099-0j -0.000225434-0j -1.87862e-05-0j 0.207962-0j 0.324424-0j -0.000254655-0j -0.337391-0j -2.12212e-05-0j -0.437267-0j -0.000397265-0j 0.000413143-0j -3.31054e-05-0j -0.119079-0j 0.000535444-0j 3.44286e-05-0j 0.0391612-0j 4.46203e-05-0j 0.000145815-0j 1.21513e-05-0j -4.79538e-05-0j -3.99615e-06-0j -0.00100501-0j 0.0241811-0j -0.000102573-0j -0.00111234-0j -2.09377e-05-0j -1.23376e-06-0j 0.000854349-0j 0.0267636-0j 0.00289212-0j -0.000888496-0j -0.000113528-0j -2.31738e-05-0j -0.00196019-0j -0.0205561-0j -1.36553e-06-0j -0.0695861-0j 0.00178266-0j 8.71966e-05-0j 0.00117695-0j 0.0213777-0j 0.000295176-0j 0.00186817-0j -9.06817e-05-0j 1.77989e-05-0j 6.02524e-05-0j 0.0471634-0j -1.85103e-05-0j 1.04881e-06-0j 0.000359742-0j -0.000200061-0j -0.0428918-0j 3.55041e-06-0j -0.0283181-0j -1.09073e-06-0j -9.65976e-05-0j 0.000181942-0j -4.08373e-05-0j -0.0449494-0j 0.000120122-0j 3.71387e-05-0j 0.00019067-0j -2.40636e-06-0j -0.00865562-0j 2.45198e-05-0j 3.89203e-05-0j 3.67161e-05-0j 2.18842e-06-0j 1.44484e-06-0j 0.0023242-0j 7.49463e-06-0j -9.85895e-06-0j 2.2934e-06-0j -2.01245e-06-0j 4.41626e-07-0j -1.18585e-07-0j 
0.00528822-0j -0.00515787-0j -0.0292934-0j -0.00062804-0j 0.0411911-0j 0.107612-0j 0.0154833-0j -0.000732912-0j -0.0259044-0j -0.000105451-0j 0.0357314-0j -0.00372712-0j 0.00514103-0j 0.0447444-0j 0.00643782-0j 0.000276099-0j 0.22002-0j -0.00058347-0j -1.60378e-05-0j 0.000254655-0j -0.0127803-0j -0.000248378-0j 3.3892e-05-0j 3.86059e-06-0j 0.202931-0j -0.197929-0j -0.000538152-0j -0.000358084-0j 0.00307646-0j 0.000524888-0j -0.000229837-0j -8.15845e-06-0j -0.285353-0j 0.000756727-0j -0.183154-0j 0.000485706-0j 0.000217591-0j -0.00170994-0j -0.00426856-0j 4.17256e-06-0j 0.0413031-0j -5.11809e-05-0j -0.000565067-0j -3.27901e-05-0j 0.000126928-0j 0.00055114-0j -8.18547e-05-0j 0.000792036-0j 3.84848e-06-0j 0.00444059-0j -9.81455e-07-0j -0.000997464-0j 7.85327e-05-0j 0.0110851-0j -0.00025241-0j -0.00433114-0j -0.00248999-0j -0.00013267-0j -0.0108119-0j -0.107261-0j 0.0240935-0j -3.02433e-05-0j 0.104617-0j 0.000132913-0j -0.00023495-0j -7.54971e-05-0j -0.000617149-0j -2.98555e-05-0j 0.00198356-0j -0.000129637-0j -0.000102396-0j -0.0015406-0j 0.000730519-0j 0.00104259-0j 0.00495161-0j 0.0149071-0j 0.00260263-0j -9.05226e-07-0j 0.00184636-0j -0.0479124-0j -0.0251834-0j 0.00460911-0j -1.84722e-05-0j 5.93709e-05-0j 0.000804678-0j -0.0445983-0j 0.00200874-0j 3.12061e-05-0j -0.0194368-0j 5.52641e-05-0j 2.40852e-05-0j 
0.0246783-0j -0.0249191-0j -0.00570167-0j -0.00346332-0j 0.001879-0j 0.00176985-0j 0.000255456-0j 0.00391998-0j 0.00126444-0j 0.000565801-0j -0.00180564-0j 0.000182507-0j -0.000260621-0j 0.00352227-0j 0.000508396-0j -0.186007-0j 0.00022777-0j 1.89808e-05-0j 0.202836-0j 0.337391-0j -0.000248378-0j -0.340682-0j -2.06982e-05-0j 0.144913-0j -0.000413143-0j 0.000417174-0j -3.44286e-05-0j -0.111188-0j -0.00017745-0j 3.47645e-05-0j -0.414909-0j -1.47875e-05-0j 0.000136152-0j 1.1346e-05-0j 0.000508066-0j 4.23388e-05-0j 0.00101542-0j -0.0244317-0j 0.000103636-0j -0.00108492-0j 2.11547e-05-0j 1.24655e-06-0j 0.000888496-0j 0.0261039-0j -0.00292209-0j -0.000897164-0j -0.00011073-0j -2.26026e-05-0j 0.0019679-0j -0.0213777-0j -1.33187e-06-0j 0.0703072-0j 0.000366486-0j 9.06817e-05-0j -0.00106767-0j 0.0215863-0j -0.000298234-0j -0.000640965-0j -9.15664e-05-0j 1.85103e-05-0j -6.08768e-05-0j -0.0473488-0j -1.86909e-05-0j 1.09073e-06-0j 0.00176824-0j 0.000200848-0j -0.00881786-0j -3.5872e-06-0j 0.0256888-0j -1.10137e-06-0j 0.00177409-0j 3.74043e-05-0j 4.09979e-05-0j 0.015422-0j -0.000108969-0j 7.63512e-06-0j -6.54182e-05-0j 2.41582e-06-0j -0.0425449-0j -2.22432e-05-0j -1.33534e-05-0j 0.00018047-0j 4.49904e-07-0j -1.31069e-06-0j -0.0426856-0j 3.68383e-05-0j 0.000181067-0j -7.86859e-07-0j 3.69601e-05-0j 2.17072e-06-0j 2.1779e-06-0j 
-0.000440685-0j 0.000429823-0j 0.00742689-0j 0.00015923-0j -0.0104434-0j 9.37995e-05-0j 0.184442-0j -6.38837e-07-0j -2.25793e-05-0j -0.00125617-0j 3.11449e-05-0j -0.0443987-0j 0.0612416-0j 3.9001e-05-0j 0.0766894-0j -2.30082e-05-0j 0.00058347-0j 0.213038-0j 1.33648e-06-0j -2.12212e-05-0j -3.3892e-05-0j 2.06982e-05-0j -0.0123747-0j -3.21716e-07-0j 0.000538152-0j -0.000524888-0j 0.196491-0j 2.98404e-05-0j 8.15845e-06-0j -0.191648-0j 1.91531e-05-0j 0.00297883-0j -0.000756727-0j -0.276297-0j -0.000485706-0j -0.177342-0j -1.81326e-05-0j 0.000433529-0j -1.85065e-06-0j -3.47714e-07-0j -0.00514633-0j 0.0577965-0j 4.7089e-05-0j 8.31343e-06-0j -1.05773e-05-0j -4.59283e-05-0j -3.54884e-08-0j -9.86871e-05-0j -3.20707e-07-0j -0.00112584-0j 0.00110832-0j 0.000252892-0j -6.54439e-06-0j 4.806e-06-0j 2.10341e-05-0j 0.00109809-0j -1.07954e-06-0j 1.10558e-05-0j -4.68754e-06-0j 0.0133647-0j -0.00300203-0j 7.66774e-06-0j -0.0130352-0j -0.150093-0j 1.95792e-05-0j -3.2732e-08-0j 0.000156469-0j 0.0337147-0j -0.000502902-0j 0.146394-0j 8.53299e-06-0j -6.67934e-07-0j -9.10222e-05-0j -0.000264332-0j 2.14679e-06-0j -0.00185741-0j 1.12838e-06-0j 0.00102224-0j -0.000468116-0j 0.00596985-0j 0.00313783-0j 1.99829e-06-0j 0.0208599-0j -0.0670452-0j -0.000204014-0j 0.00555691-0j 8.70894e-07-0j -0.0352398-0j 0.00242181-0j -0.0624076-0j -0.0271984-0j 
-0.0628994-0j -0.0208453-0j 0.00251082-0j -0.000158428-0j -0.00353061-0j 0.00153274-0j 0.000221231-0j 3.09819e-05-0j 0.000972121-0j 4.47186e-06-0j 0.00444535-0j 0.000140314-0j 0.000641631-0j -0.00189145-0j -0.000273007-0j -0.161087-0j 0.000197255-0j 1.64379e-05-0j -0.00315273-0j 0.437267-0j 3.86059e-06-0j 0.144913-0j 3.21716e-07-0j -0.00199959-0j -0.000535444-0j -0.00017745-0j -4.46203e-05-0j -0.614866-0j 2.44854e-06-0j -1.47875e-05-0j 0.134096-0j 2.04045e-07-0j 0.000752918-0j 6.27432e-05-0j -0.000164203-0j -1.36836e-05-0j 0.000879383-0j -0.0211585-0j 8.97516e-05-0j 1.68632e-05-0j 1.83205e-05-0j 1.07954e-06-0j -0.00226457-0j -0.000405739-0j 0.000512973-0j -0.000750494-0j 1.72109e-06-0j 3.51317e-07-0j -4.57748e-05-0j 0.0544869-0j 2.07015e-08-0j -0.0123424-0j 0.00396493-0j -0.000231127-0j -0.0010201-0j 0.0180573-0j 5.23551e-05-0j -0.000475993-0j -7.6597e-05-0j -4.71785e-05-0j 1.06869e-05-0j 0.00110137-0j -1.56353e-05-0j -2.78002e-06-0j 0.00279456-0j -4.67188e-06-0j -0.0953985-0j 6.29734e-07-0j 0.0245443-0j -9.21319e-07-0j -0.000413828-0j 0.000404669-0j -9.53643e-07-0j 0.0114527-0j -0.000104114-0j 8.26026e-05-0j -4.85808e-05-0j -5.61939e-08-0j -0.0672387-0j -2.12521e-05-0j -9.91652e-06-0j 0.000285218-0j 4.86741e-06-0j -1.25229e-06-0j 0.00995694-0j 5.822e-05-0j -4.22361e-05-0j -5.84337e-07-0j -8.62141e-06-0j 3.43064e-06-0j -5.08022e-07-0j 
-0.00419489-0j 0.00436256-0j 0.0470371-0j 0.0287544-0j -0.0172649-0j -0.029605-0j -0.00425957-0j 0.0679249-0j 0.0622483-0j 0.00977304-0j 0.0293614-0j 0.00895629-0j 0.00422453-0j -0.0124658-0j -0.00179359-0j 0.000225434-0j 0.179646-0j -0.000476401-0j 0.000254655-0j 0.000397265-0j 0.202931-0j -0.000413143-0j -0.000538152-0j -0.000535444-0j 0.316575-0j -0.329229-0j -0.000839525-0j -0.000145815-0j -0.426689-0j 0.00087308-0j 4.79538e-05-0j 0.00113153-0j -0.116198-0j 0.000308146-0j 0.0382138-0j -0.000101339-0j 0.000177662-0j -0.00139616-0j -0.00348526-0j 0.000196636-0j 0.0337238-0j -4.1789e-05-0j -0.000151029-0j -0.00154526-0j -0.000511259-0j 0.000157065-0j -0.00385748-0j 0.0373254-0j 0.000346516-0j 0.00118686-0j -4.6252e-05-0j 0.00401773-0j -0.000315132-0j 0.00296279-0j -0.000208057-0j -0.0012343-0j 0.0100296-0j -0.00033025-0j -0.00308121-0j -0.0286683-0j -0.0970472-0j -0.0027231-0j 0.0298141-0j 3.55245e-05-0j -6.35941e-05-0j -0.00679774-0j 0.00247647-0j 0.000120256-0j 0.00163502-0j -3.69443e-05-0j 1.70762e-05-0j 0.00618206-0j 0.0657758-0j 0.00259527-0j 0.00408154-0j -0.0598184-0j 0.00647863-0j -8.15063e-05-0j 0.000499754-0j -0.0394935-0j -0.062688-0j 0.00124755-0j 7.41242e-05-0j 4.89385e-05-0j -0.000134193-0j -0.0120714-0j -0.00033499-0j 7.76801e-05-0j 0.00324141-0j 1.49584e-05-0j -4.0166e-06-0j 
-0.00436256-0j 0.00440512-0j -0.0475246-0j -0.0288675-0j 0.0156619-0j 0.0299118-0j 0.00430371-0j 0.0662507-0j 0.02137-0j 0.00953215-0j -0.0305166-0j 0.00307472-0j -0.00439074-0j 0.059529-0j 0.00856504-0j -0.00022777-0j -0.181507-0j 0.000481338-0j 0.000248378-0j 0.000413143-0j 0.197929-0j -0.000417174-0j -0.000524888-0j 0.00017745-0j 0.329229-0j -0.332441-0j -0.00087308-0j -0.000136152-0j 0.141408-0j 0.000881598-0j -0.000508066-0j -0.000374998-0j -0.108498-0j 0.000287726-0j -0.404871-0j 0.00107368-0j -0.000179503-0j 0.00141063-0j 0.00352138-0j 0.000191789-0j -0.0340733-0j 4.22221e-05-0j -0.000157065-0j -0.00150718-0j 0.000516557-0j 0.000158598-0j -0.0037624-0j 0.0364054-0j -0.000347879-0j 0.0012343-0j -4.5112e-05-0j -0.00405937-0j -6.47861e-05-0j 0.00308121-0j 0.000188739-0j -0.00124634-0j -0.0101335-0j 0.000113308-0j -0.00311127-0j -0.0298141-0j 0.0980529-0j 0.00273381-0j 0.030105-0j 3.69443e-05-0j -0.000312584-0j 0.00682447-0j 0.000509122-0j -0.000121503-0j -0.00148321-0j -3.73048e-05-0j -0.000313617-0j 0.00127093-0j -0.0660344-0j -0.000890429-0j -0.00370257-0j -0.0122977-0j -0.0022228-0j 8.18268e-05-0j 0.00245644-0j 0.0358265-0j 0.0215081-0j 0.00613207-0j 1.52388e-05-0j -4.43946e-05-0j 0.00246456-0j -0.0593347-0j 0.00615234-0j -2.66518e-05-0j -0.0595308-0j 7.35248e-05-0j 7.37678e-05-0j 
