0.163603+0.205231j 0.209497+0.0429475j -0.100845+0.047676j -0.0151446+0.0814781j 0.127674-0.0589098j 0.10483-0.0498818j -0.0992146-0.0583846j 0.0135461-0.076468j -0.0181197-0.00827528j -0.0569973-0.0387825j 0.0120748+0.0313682j -0.0449854+0.0811244j 0.0699926+0.0600613j 0.0382178+0.0343745j 0.000216506+0.0263397j 0.0763562-0.113951j -0.013802-0.0231041j 0.0643503-0.141925j 0.11668-0.0659771j 0.017543+0.00658678j -0.0114782+0.024301j -0.00744202-0.0595952j -0.0395138+0.0154977j -0.0842576-0.0210886j -0.0617224+0.0120496j -0.0763106+0.0207174j -0.040906+0.0519145j 0.0061784+0.00274372j 0.0106188+0.00708574j 0.00849612+0.0109184j 0.0462958-0.0394912j -0.0173055-0.0382413j -0.0136047+0.0100171j 0.0943371-0.0110979j 0.0489104-0.141265j 0.111772-0.0353488j 
-0.0147972+0.0427795j -0.00964393+0.0475517j -0.13557+0.0506367j -0.0731111+0.0050789j -0.309844+0.262687j -0.0640176-0.0570799j 0.249297-0.034279j 0.0561816-0.0906283j 0.0649214+0.0343015j -0.00956984+0.00822156j 0.0463972+0.00575218j 0.00745985+0.0176926j -0.0648393+0.0517575j -0.0357405-0.00841728j 0.0663907+0.112324j -0.00737765-0.00644034j 0.0238595+0.0204812j -0.0576532-0.051637j 0.0035688+0.00493284j -0.0353296+0.011972j 0.0156164+0.0294115j -0.0171245-0.0180532j 0.000699221-0.000562955j 0.00812134-0.0208494j 0.034721-0.00829194j 0.0138787-0.0152967j 0.00972114+0.00432749j -0.00941031-0.00974526j 0.0165355+0.00813732j 0.00180103+0.0152407j 0.0180034+0.016007j -0.0170498-0.0122211j 0.0143723-0.0070317j -0.017407+0.00806285j 0.0452352-0.0780432j -0.00582646+0.0353862j 
-0.00552231-0.0583352j 0.0799913+0.019092j -0.0408751-0.0984876j -0.124339+0.00884143j 0.0430924-0.0632104j -0.127087+0.0968587j 0.0447645+0.278281j -0.0117092+0.0245391j -0.0261376-0.0439631j 0.00309106-0.0852335j 0.0949656-0.0071785j 0.0785961-0.114368j 0.1264-0.131159j -0.121742-0.0839758j 0.101011-0.0207127j -0.0233652-0.0294128j -0.040376+0.103244j 0.042009-0.119464j -0.0164995+0.0392155j -0.0175054-0.10969j -0.00599831+0.0309585j -0.0153773+0.00907848j -0.0135087-0.0272375j -0.0307598-0.0171823j 0.0102377+0.0102946j -0.0468769+0.0379053j 0.0072157+0.0068342j -0.0316462+0.00450038j 0.035245-0.01154j 0.0373801-0.0330685j 0.0461443-0.00589899j -0.0757405+0.0702769j 0.0180292+0.0254232j -0.0663325+0.0614556j 0.0377156-0.0416811j 0.0276926-0.0521738j 
-0.00236724-0.104621j -0.0632886-0.0165611j 0.0733958-0.0805822j -0.055381-0.0781889j 0.109025+0.0170713j -0.195148+0.0574694j -0.0519191+0.239259j 0.116164+0.072017j -0.104195+0.0814875j 0.00939838+0.115058j 0.0143319-0.0659124j -0.0913325+0.0951126j 0.00613351-0.0433464j 0.0831963+0.0837675j 0.0197084-0.0147077j -0.13285+0.0907372j 0.000743133+0.0349798j 0.0117928-0.0298563j 0.0514227+0.0743522j -0.0510792+0.037789j -0.0132157-0.00767725j 0.0487114-0.03596j -0.00684202+0.0143453j 0.0157537+0.0474517j 0.00298037+0.00302256j 0.0126841+0.0271727j -0.0156014-0.00252221j 0.0103849-0.00211936j -0.0167451+0.0120231j -0.0291475+0.0189528j -0.0122592+0.0107626j 0.0529606-0.00457068j -0.00649103-0.0235417j 0.025663+0.0252262j 0.0345052+0.0247421j -0.0205974+0.0144852j 
0.0778661+0.0468529j 0.0262966-0.00460135j -0.0536958+0.0776042j 0.000393032-0.000700395j -0.181106-0.0154225j 0.0204174-0.104378j -0.0206983+0.0846989j 0.0298917+0.139589j -0.0594405-0.0952338j -0.0982008+0.083608j 0.0415036+0.0261886j -0.173591+0.0313088j -0.0657289+0.0293962j -0.0620728+0.154449j -0.00192294-0.0384564j 0.047468+0.0252735j 0.0584161+0.0142634j 0.00846004-0.0841701j 0.0483878+0.103045j -0.0913763-0.00119668j 0.0365302+0.0031139j 0.0464086-0.0236276j -0.0309269+0.0131819j -0.0558627+0.0157842j 0.0244398-0.0065447j -0.0173393+0.0335375j 0.00310854+0.00234089j -0.000533144+0.0127691j -0.00600313-0.01004j -0.0133197-0.0292012j 0.0303807-0.0287972j 0.0329058+0.0186596j 0.024599-0.0634285j 0.0119919+0.0348524j 0.0465663-0.050097j 0.027682-0.0298455j 
0.0492407+0.0571059j 0.0348801+0.0276207j -0.00442164+0.0162715j -0.020627+0.0420708j 0.116551+0.127213j 0.0647484+0.00293918j -0.0630725-0.178417j -0.0999835+0.070859j -0.0270722-0.136664j -0.0472249+0.0503403j 0.0266381-0.0441614j 0.0486203-0.152957j -0.023564-0.103339j -0.173991+0.0626577j -0.00791566-0.068134j -0.0669954-0.108251j -0.0246102+0.0945061j 0.0434122+0.0486588j -0.0915187+0.0871185j -0.0328283+0.00109488j -0.0132007-0.00635694j 0.0269363+0.0543376j -0.00997672-0.0309636j -0.0452931+0.0296945j -0.00735268+0.0225129j -0.0290764+0.0167091j 0.0121302+0.000307614j 1.84276e-05+0.00298496j -0.00683036+0.00952476j 0.00625456-0.00391485j 4.69085e-06-0.0183625j -0.00121416+0.0487149j 0.0709904-0.0226812j -0.0353264+0.0498093j -0.0516901+0.0605883j -0.0328662+0.051682j 
0.00985082-0.0578286j -0.0541397+0.00764727j 0.0169146-0.0475572j -0.17625+0.0307206j 0.00604852+0.160751j -0.0519308+0.199197j 0.267382+0.111323j 0.13873-0.0861191j -0.0255201+0.0951305j -0.0596118-0.0100668j 0.0237932+0.0342002j 0.13325+0.00628286j -0.00680096+0.10842j -0.00117959+0.0103266j -0.0693009-0.107156j 0.0452726-0.203763j -0.0430309-0.00512448j -0.0613395-0.060343j 0.0441766-0.0599137j -0.117911+0.0760381j 0.0280804-0.0254513j -0.0661647-0.00665676j 0.0102038-0.0109731j -0.0625022+0.0159325j 0.00642929-0.0109982j -0.0261038-0.0205908j 0.0267484-0.0051717j 0.0075368-0.0138321j 0.00144851+0.00354536j -0.00576836+0.00728729j 0.0394091-0.000157789j -0.0232372-0.0358532j 0.0342057-0.0207956j 0.0247006+0.00334231j -0.0526003+0.0161169j 0.0369898-0.0562301j 
-0.0862965-0.0503952j -0.010979+0.0294251j -0.0683272+0.00878386j 0.0429275+0.0147855j 0.0295361-0.0117378j 0.0102167+0.0197692j 0.0440222-0.0717616j -0.0276985-0.0202533j -0.0197531-0.0506946j 0.137626+0.051609j 0.0591387-0.0433819j 0.128071+0.0821265j 0.107167-0.149491j 0.0923336-0.193085j 0.0520859+0.0407084j 0.0138086+0.0650289j 0.0511212+0.0196558j 0.0187726+0.0698692j -0.031909+0.00264568j 0.124151-0.0170926j -0.0309029-0.00145206j -0.0237336+0.00412113j 0.00535019-0.00877474j 0.0186655-0.0152633j -0.0102371-0.0121131j -0.0250446+0.0183449j 0.0123792+0.0169902j 0.000720873+0.0193541j 0.0237647-0.00930823j 0.0264255-0.0203811j -0.0063679-0.0054832j -0.0346988+0.0428462j -0.0375209+0.0221185j -0.0228998+0.0109795j -0.00409437+0.0345373j -0.00205573+0.00431214j 
-0.00619118-0.0342222j 0.0150874+0.0696764j 0.117296+0.0397022j 0.0445502+0.0146775j -0.118042-0.0196328j -0.0140908-0.0395196j 0.0101163+0.0596773j -0.13433-0.0340328j -0.166701-0.0380521j -0.0587477-0.00409981j -0.0930441+0.128928j 0.0733962-0.0336986j -0.186172+0.375333j 0.135364-0.122702j -0.0597848+0.0450072j 0.12464-0.13726j 0.0394763+0.0481415j -0.0536086-0.154707j -0.0999829-0.0287626j -0.0119328+0.019181j -0.0066929+0.0278554j -0.0481772+0.0108691j 0.0377323-0.0249466j 0.0239372-0.00779791j 0.0144639-0.00212279j 0.0536605-0.0583639j 0.0282704-0.0388963j 0.003684-0.00557862j -0.0431632+0.00973911j -0.0296091+0.00832909j -0.00653008+0.0417522j -0.039694-0.0279867j 0.00318631+0.0363587j -0.0204173-0.000862173j -0.00856202-0.0433652j -0.0235779+0.00268046j 
-0.0740949+0.0464468j -0.0346606-0.0326406j -0.0144422+0.0957629j -0.0859787-0.0776419j -0.0851368-0.0431404j 0.0493866+0.038126j 0.11126+0.0318235j 0.0188984-0.0777817j -0.0263999-0.0925708j 0.0717997-0.0533763j 0.0667432-0.0588335j -0.238792+0.040087j 0.270607-0.233855j 0.035574-0.00686796j 0.0101847-0.0904551j 0.393418+0.221358j -0.0249411-0.00360389j 0.00848335+0.086825j 0.0506235-0.0327127j -0.0327943-0.0638562j -0.0187594-0.000106833j 0.0577521-0.0432362j -0.038905+0.0128957j -0.0155823-0.0508606j -0.0467048-0.00329775j -0.0566463+0.0420342j -0.0536237+0.0703948j -0.013883+0.024285j 0.00721011-0.0459374j -0.0118332-0.0483153j 0.0270835-0.0708932j 0.00950408+0.0817826j -0.0696269-0.0544148j 0.00929771-0.048679j 0.0934171+0.00672529j 0.0314668-0.126034j 
0.024308+0.00181722j 0.026336+0.0554582j -0.017137+0.0709655j -0.102024-0.0483484j 0.0914361-0.0112164j 0.00174937+0.00575072j -0.0495076+0.0231899j -0.0838219+0.0264159j -0.00751647+0.124732j 0.0364351+0.0610917j 0.396674-0.353701j -0.136+0.231622j -0.173985+0.254916j -0.287008-0.328416j 0.00969715+0.037963j 0.0169763+0.0352978j -0.0162276-0.122464j 0.0541442+0.0401383j -0.0546729-0.00569167j -0.0212981-0.0488302j -0.0213778+0.0356479j 0.085452-0.0817338j -0.0898967+0.0934007j -0.0659677+0.0586229j -0.0385616-0.0205332j -0.0384588+0.0510246j -0.015212+0.0117194j -0.0598532-0.00605273j 0.0237679+0.0575919j -0.014287-0.0169596j 0.0078631-0.0460297j 0.00324398-0.0201169j 0.0209081-0.0437656j -0.0247541-0.0383243j 0.0208365-0.0120107j 0.0121085-0.0131087j 
0.1154+0.051284j 0.019713+0.0305393j 0.0644997+0.09181j 0.0200416+0.0412654j -0.0585365+0.0152527j 0.0347413-0.0197689j 0.000521799+0.0374486j 0.0248394+0.132286j 0.0230966+0.046325j 0.252001+0.0926999j -0.0397141+0.172552j 0.177539-0.167361j 0.0180377-0.0898169j -0.331087-0.0198068j 0.0117252-0.0668098j 0.107038-0.0625651j -0.0803039-0.0211799j -0.0737001-0.123075j 0.0333927+0.118526j 0.0200805-0.0267872j -0.000274346-0.00309899j -0.0018411+0.0295271j -0.00964053-0.0487094j 0.0212214+0.00875131j 0.00804594+0.00590869j 0.0249301+0.0266009j 0.0362206+0.00525951j 0.00103706-0.0407799j -8.61623e-05+0.0230306j -0.0107085-0.0189945j -0.00218522-0.0356232j -0.0276211+0.00336232j 0.0175344-0.0412666j -0.0465429+0.0253746j 0.0182567-0.0348802j -0.0183567-0.00997359j 
-0.0193817+0.0165466j 0.0460169+0.0169107j -0.0905911+0.00963972j 0.0453237+0.0289986j -0.0739527-0.0796133j 0.0582577+0.0542619j 0.0900951-0.0431529j -0.0643128-0.058727j 0.208444-0.0277309j -0.0385127-0.0692071j 0.052111-0.0284109j 0.0260007-0.0352312j -0.167097+0.0323733j -0.134951-0.0467292j 0.0727496+0.0385223j -0.152991+0.0354634j -0.0404839-0.0443998j -0.0794653-0.00367978j -0.109115-0.00845907j -0.0196135-0.0198341j 0.00582451-0.0101362j 0.0012395+0.0133507j 0.0124636-0.000411737j -0.0540071+0.0198732j 0.00139593-0.0286663j 0.0217692+0.0200759j 0.0568921-0.0509058j 0.00944187-0.0167599j -0.0219502-0.0247667j -0.0462358-0.0199589j -0.0135149+0.020629j -0.0140764-0.0215225j 0.0128053+0.00478831j -0.010391+0.0236494j 0.0346407+0.00261868j -0.0525028-0.0614989j 
0.0616981-0.0404817j 0.0109364+0.014263j 0.0789137-0.0371864j 0.00698108+0.000873726j 0.0552765+0.0648956j -0.0731835+0.0122976j -0.0440812+0.0186433j 0.0601131+0.184851j 0.285314-0.144802j 0.12018+0.267983j 0.222574+0.293511j 0.180622+0.299041j -0.222521-0.16094j -0.108194+0.0688706j 0.0283834-0.146188j -0.00626479+0.0370715j -0.170353+0.117635j 0.0154785+0.0322138j 0.0810159+0.130795j 0.114616+0.0816871j -0.0369332-0.0213713j -0.0450321-0.0248213j -0.054903-0.0252852j -0.0325192-0.040178j -0.0125161-0.0570805j -0.0244093+0.00573473j 0.0371423+0.00654261j 0.00928593+0.00181997j 0.0326368-0.0175529j 0.0300844+0.00163465j 0.00467081-0.0219485j 0.00174193-0.0122895j -0.00520352+0.000157775j -0.00534648+0.0202123j -0.0357766+0.0110686j 0.0445463+0.0491548j 
-0.122435+0.0107376j 0.0618428+0.0281998j -0.119967+0.00665825j 0.0623732-0.0314844j -0.0450018+0.00985669j 0.0698491+0.0634057j 0.0548089-0.091923j 0.0900858+0.133046j -0.113072-0.115259j 0.0432366+0.0599675j 0.0213754+0.0175443j 0.270569+0.132695j 0.130672-0.204889j 0.147358-0.101738j 0.0284257-0.0729137j -0.0260476-0.0896141j 0.113761+0.0112755j 0.0214171+0.117199j 0.0844968+0.0789607j 0.0669071+0.0367879j 0.00860127-0.0342553j -0.141428+0.0177356j 0.0242437-0.0420827j -0.0509304+0.0341755j 0.00069961+0.0318805j -0.0403623+0.0374642j 0.0345736+0.029374j 0.0150553-0.0107224j 0.0223712+0.00142569j 0.0464752-0.0160845j 0.0101842+0.0235621j -0.0507102+0.00381477j -0.0269738-0.0313755j 0.0092794+0.0383387j -0.0169128+0.045719j 0.0247005-0.0364802j 
0.00758191-0.0222532j 0.00543383-0.0151603j -0.0994633+0.02869j 0.0743051+0.0260916j -0.00837928-0.0389651j -0.042482+0.0779093j 0.0295574+0.0144658j -0.0688391+0.0570975j 0.158237-0.0438695j -0.114341+0.00846692j 0.0224232+0.00650399j -0.0223895+0.1945j -0.295937+0.0820664j 0.0604643+0.0243551j 0.110858-0.0247837j -0.159186+0.129225j 0.0483387+0.0208357j -0.039479+0.0472152j -0.00206721+0.00951824j -0.0284109+0.0311531j 0.0372336-0.00174795j -0.0442744+0.00664683j 0.0102383+0.0075316j -0.0305513-0.00785974j 0.0299178+0.0111322j 0.0564336+0.00343874j 0.0337352+0.0263828j -0.0108111-0.0106554j -0.0109306-0.00958819j 0.00393319-0.0272863j -0.0178251+0.0536256j -0.00804712-0.0428143j 0.0189502-0.0638181j -0.0301971+0.012002j -0.00110863-0.0269193j -0.0368656-0.0135857j 
0.0310305+0.0210344j -0.00038981+0.0369379j 0.0763313+0.0490011j -0.109997+0.162786j -0.0114951-0.0680751j 0.0343012-0.011311j 0.0338764+0.121637j -0.150435-0.157595j -0.035355-0.163056j 0.156327+0.316803j 0.0731043+0.135463j -0.0578897-0.113355j 0.0167209+0.0415798j 0.0815289-0.0601481j -0.0897391+0.128817j 0.196251+0.0167358j 0.0135145+0.148271j -0.140085-0.24573j -0.130622-0.0286275j 0.119837+0.0683069j -0.0340981+0.0150645j 0.0437201+0.0131093j -0.00217507-0.0330262j 0.0796578+0.0199127j 0.0147532-0.0215698j 0.0437069-0.01456j 0.0181543-0.0214329j 0.00105415-0.00441673j -0.0512383+0.0126265j -0.0333377-0.00769095j 0.00264323-0.0408528j -0.0219877+0.0168407j -0.0324856-0.00341149j -0.0288357+0.00325483j 0.0240307-0.0431098j -0.0518053-0.0139874j 
-0.000323556+0.0812585j -0.0270419+0.0476313j 0.0425022+0.0791853j -0.132675+0.0460286j 0.0160488-0.0782065j 0.116501-0.0238387j -0.0564691+0.0574826j 0.0756006-0.125246j 0.181593+0.0307729j 0.110406+0.267138j 0.199411-0.04042j -0.137643-0.0634701j 0.0875915-0.100246j -0.14195+0.12605j -0.102293+0.135705j -0.0524488-0.0189324j -0.0665755+0.0281775j -0.104145-0.0944313j -0.0128027-0.0690661j 0.0115567+0.0870841j -0.0139155-0.0149357j 0.0767171+0.0463344j -0.0405551+0.0121339j 0.0147491+0.0542864j 0.0193985+0.00951926j 0.00947589+0.0100973j 0.0172586-0.00336696j -0.0253868-0.00513763j -0.00404388+0.01486j -0.0100255+0.0153936j 0.00965399-0.0275887j -0.0243859-0.0288913j 0.00844453-0.0280543j -0.025247-0.0269216j 0.011244-0.0190733j -0.0369955-0.0456495j 
-0.00775877-0.0296315j -0.0449705-0.0401238j 0.0296785+0.0468488j -0.108742-0.0872791j 0.00995518-0.0147353j 0.112281+0.0159179j -0.0434937-0.055138j 0.00976266-0.0427958j 0.00689007-0.143639j -0.196327-0.0239248j 0.207503-0.0795414j -0.105506+0.0814743j 0.056973+0.00992413j 0.00307993+0.0408342j -0.116947-0.0776905j 0.109024-0.145994j -0.0516057+0.0181763j 0.0791922+0.0953241j 0.0123613-0.048539j -0.0518257+0.0334431j -0.00220372-0.0177075j -0.0157836-0.0362838j -0.0450547+0.0150235j -0.114399+0.0330367j -0.0311944-0.00110248j -0.0904458-0.00778909j -0.00464471-0.0152254j -0.0124608+0.0154646j 0.0117844-0.00110107j -0.00783886+0.0187602j 0.0439922-0.0062333j 0.00123155-0.00391264j -0.0271341+0.0132159j 0.0337748-0.0155103j 0.0241589+0.0596431j 0.0560024-0.0492408j 
