-0.172819-6.66134e-16j -0.0637677-0.00454799j -0.0794011-0.0875672j -0.0655715-0.119768j 0.0194353+0.00365243j 0.0284131+0.0231917j 0.0562529+0.00131941j 0.00835443+0.060127j -0.0255341-0.0606376j 0.0220629+0.0042844j 0.00470449-0.0143045j -0.00510401-0.0521607j 0.0196656+0.000897683j 0.0149027+0.0430815j 0.0195357+0.0171157j -0.00312334-0.00465573j -0.0166314+0.00407412j -0.00276971-0.0580447j -0.028042-0.0180053j 0.00771167+0.0114745j -0.0138938+0.008918j -0.00707524-0.0137069j -0.00889467-0.00220763j 0.00575916+0.000180707j 0.00330608-0.0240543j 0.00728328-0.0228641j 0.0270427+0.0041104j -0.00227899+0.0136199j -0.00462667-0.00683283j 0.00667999-0.00688497j 0.0262166+0.00540731j 0.00296867+0.0311708j -0.000169047+0.00414871j -0.0128716-0.0115952j -0.0289505-0.00887051j -0.0146944-0.0156687j 0.0112184+0.00307704j 0.0282127+0.00148092j 0.0340822+0.0221563j 0.00235914+0.00259634j -0.0320079+0.00185695j 0.0392281-0.00736641j -0.0121083+0.00585831j -0.0246931-0.0175894j 0.00491011+0.0235804j 0.00381035+0.00675227j 0.00383514+0.0139991j 0.00564054+0.00349741j 0.0102547-0.008151j -0.0024252-0.00163621j 0.00608433+0.0146065j 0.00593939+0.00886702j 0.0288735-0.0199465j -0.0141027-0.0170237j -0.00201109+0.0277362j -0.00531868-0.000148849j 0.0537793-0.0453423j 0.00599789-0.0291654j -0.00657867-0.00484812j 0.0143018-0.022532j 0.00622811-0.0274357j -0.00898835+0.0236435j -0.00299654-0.000815388j -0.00973096+0.0225565j -0.0129606+0.00513089j 0.00185791+0.0126925j 0.0134218-0.0329646j -0.0107185+0.0292247j -0.01441+0.0149749j 0.0257129+0.0163412j -0.0179425-0.0335221j 0.0210699+0.0174798j -0.0237784+0.0646631j 0.0334605-0.00767965j 0.0409281+0.0160471j 0.0159887-0.0221913j -0.0135661+0.0114165j -0.00346516-0.0184944j -0.0374431-0.00982012j 0.0203405-0.02119j 0.0349804-0.0355614j -0.016005+0.0422501j 0.0335458+0.00500779j -0.00228345+0.0155834j -0.0520195+0.0684195j -0.0564075+0.0525703j -0.0425487+0.11091j 0.00705249-0.0745982j -0.137153-0.224349j 0.325838+0.0673966j 0.0644779-0.158039j -0.040156+0.0445682j -0.0112088-0.0740847j -0.0870078+0.217643j -0.0161288-0.00986384j 0.00728882+0.0114345j 0.211343+0.1339j 
0.00330608+0.0240543j 0.0112854+0.0185256j -0.0034467-0.0336655j -0.00426531+0.0183502j -0.00583382+0.0792747j -0.0192342+0.00233877j 0.0627405+0.0529461j 0.0328176-0.026776j 0.00613408-0.0190135j -0.182761-0.107402j -0.0747043-0.092489j 0.105392+0.0967992j -0.190167+0.00922577j 0.0547691+0.0928824j 0.248112+0.0924681j 0.0284524-0.076296j -0.188268-0.0722679j -0.0355691-0.0649522j 0.0487747-0.0475478j 0.00671351-0.0813702j 0.0972331-0.142611j -0.125037+0.0280301j -0.0738686-0.100034j 0.115275+0.170336j 0.0479183-1.67921e-15j -0.0173687-0.0250534j -0.00987705-0.0213883j -0.0628655+0.128724j 0.0299031-0.0654262j 0.0123199-0.0871869j 0.0755699-0.00827249j 0.0451477+0.0748853j -0.0324427+0.0632731j -0.0826248+0.024117j -0.0462664+0.0273429j -0.0439635+0.0347369j 0.0941473+0.0425484j 0.00517735+0.0173422j 0.00237241-0.089988j 0.0179216+0.0481107j 0.0683382+0.00683507j -0.0686176+0.0458573j 0.0614698-0.0413789j 0.0599731-0.0150338j -0.025998+0.00179517j 0.0188873+0.0653963j 0.0438793-0.000109354j 0.0367067-0.118153j -0.0669614-0.0243293j -0.0111288+0.00728081j -0.00642673+0.0145116j -0.0219611-0.0550493j -0.00503634+0.00831138j -0.0548238-0.0283327j 0.059778-0.0149753j 0.0404936+0.0141455j -0.0494053+0.084916j 0.0415541-0.0191077j 0.00946104+0.040946j -0.0150329-0.0398129j 0.0419502+0.0050038j 0.0389986+0.0256863j 0.0245027+0.024979j 0.026114-0.0406455j -0.00251686+0.00856177j -0.0308636-0.0385997j 0.0363124+0.0174977j -0.0107571-0.0325952j 0.0198301+0.0286197j 0.0481712-0.0138763j 0.0406444+0.0109648j 0.000200281-0.0263087j -0.057521+0.0461852j 0.126681+0.033987j -0.0112924-0.0174823j -0.0193403+0.0765485j 0.0151855+0.056192j -0.0529358-0.0295931j 0.0132249-0.0616042j -0.042832+0.0832495j 0.0843725+0.00280799j -0.0259354+0.0661236j -0.0312211-0.00302557j 0.0492149-0.096609j 0.033654+0.0381159j -0.0616512+0.019769j 0.0265658-0.0282136j -0.0555897+0.0295724j -0.00408731-0.0210872j 0.0055198-0.0243156j -0.03881+0.0156943j 0.00198684+0.078737j -0.0154784-0.0278646j -0.0190605+0.0557822j -0.0468233-0.0277225j -0.0228985+0.00966875j -0.0362239-0.00154799j 
0.00728328+0.0228641j 0.0148674+0.00136382j 0.0304303+0.0195589j -0.000747233+0.0197486j 0.0473889+0.0222266j -0.0650722+0.039001j 0.0475988-0.0120134j 0.00888715+0.0584243j -0.059434-0.0668226j -0.224881-0.158488j -0.00558114+0.111422j 0.0604639+0.0664655j -0.0968483-0.0192574j -0.0314981-0.0274464j 0.115089+0.086943j 0.043245+0.0913158j -0.0562125-0.059483j 0.101925+0.105214j -0.0593906-0.0178069j -0.0739816+0.0829335j 0.00487061-0.0281714j -0.107559-0.152866j -0.0379466+0.0457822j 0.211215+0.129695j -0.0173687+0.0250534j -0.0279529-7.56339e-16j -0.0341062-0.118313j -0.0227507-0.0872783j 0.0264673+0.0542294j -0.0448262-0.0581543j -0.0134921-0.00694042j -0.0134314-0.0888287j -0.0703289-0.0861392j 0.010434-0.0757154j -0.000824775-0.00740557j -0.0944723-0.0519315j -0.0423318-0.0219784j -0.00253269-0.11028j 0.0258043-0.0210852j 0.0372514-0.0311693j -0.0210699+0.0486214j 0.0294772-0.0635106j 0.0438095+0.0307582j 0.0409693+0.0351981j 0.0284472-0.0438639j -0.00824415-0.0689371j 0.0332269-0.0244497j -0.0550369+0.109099j 0.00715804-0.0447569j -0.04303-0.0860759j -0.0623719-0.0361973j -0.0285893+0.00829102j 0.0586628+0.00057571j -0.0353864+0.0865079j 0.012856+0.0725629j 0.0309191-0.0583027j 0.0319833-0.03445j 0.0227901-0.00645661j -0.0360481+0.0161016j -0.012094+0.0682541j -0.0515667+0.0537488j 0.00348227+0.0435805j 0.00559913-0.0352925j -0.0127977+0.126495j 0.0142174+0.0178573j -0.00572436+0.0369469j 0.014536+0.027617j -0.0407228+0.00617227j 0.0511224+0.00659281j -0.0458532+0.0358229j -0.0147427+0.0352198j 0.0408747+0.021477j -0.0224863+0.0144668j -0.0772737+0.0199572j -0.0471118+0.0549546j -0.0125671+0.014709j 0.0178724-0.0306629j -0.0226537+0.0473798j -0.0213049+0.0334872j -0.0234369-0.0365613j -0.0478161-0.013626j 0.0393115-0.105036j -0.0327682-0.084587j -0.0432138+0.0758991j 0.0108527-0.0486689j 0.013831-0.0120209j -0.0221165-0.0138761j 0.00411261+0.0162391j -0.0199975+0.00748485j 0.0546684+0.0126437j 0.0428766-0.0147201j -0.0304053+0.0110715j 0.0464024-0.0390016j 0.0870449-0.0895097j 0.0135523+0.0307686j 0.0394755-0.0109935j 0.0042174-0.00328349j 
0.0270427-0.0041104j -0.0226145-0.0137661j -0.000269218+0.00562434j 0.00382927-0.0441944j 0.0742239+0.0234616j -0.0272653-0.0154883j 0.0310949+0.0347095j -0.0124982+0.0220418j -0.0101535-0.0327277j -0.0788429-0.0133844j 0.0720961+0.0639664j 0.010233-0.0717642j -0.0143912-0.109848j 0.0804451+0.0737108j 0.00460885+0.152749j 0.0725124+0.0205774j -0.0771276+0.0437466j -0.0913059+0.0339645j 0.0205808+0.0520568j -0.0595652-0.0430092j -0.139676+0.0379544j -0.0605622-0.00957086j 0.0974367-0.0875554j 0.189773-0.0499424j -0.00987705+0.0213883j -0.0341062+0.118313j 0.0850229-1.28647e-14j -0.0139719-0.0496278j -0.00452727+0.0538188j -0.0471519+0.044797j 0.0286316+0.0160261j -0.0214181-0.0592284j -0.0698533-0.111788j 0.0462611-0.0952748j -0.0440659+0.0155788j 0.0290162+0.0198416j -0.0178858-0.0462236j -0.037009+0.0181361j -0.0405943+0.0298798j 0.0810747-0.0371294j -0.104447+0.0441674j 0.0565367-0.00491196j -0.0570189+0.118951j 0.0276038-0.0457469j -0.0238774+0.0775553j 0.0474938+0.0331605j 0.0563401+0.0600857j 0.0901796+0.113756j 0.0453163+0.0230794j -0.00705269-0.0500189j -0.132502+0.0470188j -0.0273153+0.0455487j -0.0695187+0.051213j -0.0581726-0.0438787j 0.0013859+0.0550289j -0.16264+0.0779543j -0.105841+0.0723173j -0.145079+0.0693048j -0.00453161-0.0722893j 0.0734172+0.00311684j 0.0813574-0.0867985j -0.0278221+0.000460976j -0.063506+0.0416133j -0.0314076+0.0547038j -0.11449-0.0143428j 0.0832263-0.126541j -0.0172795+0.045448j 0.0988293-0.0457774j -0.00181583-0.051582j 0.018718-0.0235873j -0.0542177+0.0089754j 0.0153152-0.0836181j 0.0725522+0.031407j 0.0190441+0.00795419j -0.00658212-0.0355379j 0.0190287-0.0733428j -0.0300939+0.0132019j 0.0292184-0.0925484j 0.0234172+0.0452124j 0.0412251-0.0567426j -0.0266111-0.039j 0.040512+0.00766046j -0.00946636-0.0259806j -0.0393008-0.00673235j -0.0826354-0.0340422j 0.0335502-0.0184582j -0.0584371+0.0776279j 0.0545543-0.0431823j 0.0632106+0.0489963j 0.0288965-0.0478864j -0.0241731+0.00968949j 0.0720526-0.0196931j -0.0119742-0.035153j -0.031123+0.0277361j -0.0520969-0.0219837j -0.0426143+0.0200987j -0.0296996-0.0594784j 
-0.00227899-0.0136199j -0.00210941-0.0125317j -0.019783+0.00792795j 0.00829609-0.0303703j 0.015217+0.00583557j 0.00410327+0.0747494j 0.0492167-0.0173462j 0.0426561+0.0121352j 0.0602379-0.0288283j -0.128512-0.148422j -0.0627013+0.0489494j 0.0379215-0.0296767j -0.113035+0.0372199j -0.0781761-0.0208071j 0.00842797+0.0622384j 0.0675441+0.128749j 0.0701161+0.0764295j 0.0167973+0.108384j -0.080887+0.0204817j -0.0122865-0.172276j 0.0127672+0.0109715j -0.0406432-0.039997j -0.0943704-0.096607j 0.0614443+0.081145j -0.0628655-0.128724j -0.0227507+0.0872783j -0.0139719+0.0496278j -0.0842162+1.87697e-15j 0.0402727+0.148494j 0.00685343+0.0557666j -0.024892-0.0944375j 0.0467597-0.0150381j 0.034538-0.00946797j -0.0132092-0.00368228j 0.0234171-0.0683637j -0.0343433-0.0888905j 0.0887142+0.0332563j 0.00509646+0.0720808j 0.0329803+0.0595321j -0.00625988-0.0620443j 0.00519884-0.00693488j -0.0230281+0.0424164j -0.0451105+0.0783057j 0.0272382+0.0201478j 0.00998036-0.00949758j -0.109852-0.0183118j -0.0197167-0.0203066j -0.0341151-0.0173146j -0.107474+0.0597482j -0.000303862+0.0371316j 0.0533407+0.0564265j 0.0400766+0.0526658j 0.0114381+0.0395128j 0.160367-0.139425j 0.0834626-0.0611727j 0.0858479+0.0226742j -0.0193294-0.0980741j 0.10762-0.0705345j -0.0368632-0.034919j -0.0103688+0.0238845j -0.0577136-0.0281285j -0.0248052+0.0149183j 0.00855754-0.0771504j -0.0233274-0.0193559j 0.0178245+0.0359349j -0.0800655+0.0694859j 0.0561937-0.0410239j -0.00896377+0.0324071j -0.0118996-0.0306775j -0.0116992+0.00892255j -0.0179876-0.0693628j -0.0708663+0.0167222j 0.0114114-0.0378637j -0.029875+0.0083245j -0.0230706-0.0208597j -0.0468375-0.000792874j 0.0604591+0.0139695j -0.0167534-0.0800445j 0.0385852+0.0233703j -0.044453-0.0321502j -0.0166254+0.0289943j 0.0427155+0.0801103j -0.0512148+0.0446108j -0.0189978-0.00876442j -0.00469322-0.0573261j 0.0094663-0.086599j 0.00799048+0.00615174j 0.000391012+0.0126965j 0.043927-0.0105792j -0.0221799-0.025428j -0.0724528+0.0309036j 0.00677879+0.00957676j 0.0506049-0.0400697j -0.0344209+0.0442252j -0.0273541+0.00718876j -0.0120258-0.0190561j 0.00937108+0.0310216j 
-0.00462667+0.00683283j 0.00686168-0.0281608j 0.0194871-0.0198462j -0.0265934-0.0404356j 0.010854+0.0310539j 0.00562149-0.0401773j 0.0133213-0.0181868j 0.0337523-0.023965j -0.0132212-0.0462363j -0.059398-0.0050051j -0.0215141+0.0103289j -0.00050935+0.080102j 0.020741+0.0109445j -0.00928822-0.0518226j 0.0105734+0.00221146j -0.000388218-0.006903j 0.0456411-0.0503061j -0.0233652+0.0426139j 0.0873219-0.0797428j -0.0467892+0.0530518j 0.0159458-0.0521359j -0.00594252-0.0966281j 0.0167631+0.0984629j 0.0262774+0.0205512j 0.0299031+0.0654262j 0.0264673-0.0542294j -0.00452727-0.0538188j 0.0402727-0.148494j 0.0781559+1.13937e-14j 0.0318675+0.0669053j -0.0572429+0.00592852j -0.0432762-0.00501745j 0.0408547-0.115891j -0.031433-0.0466812j -0.0144221-0.0509169j 0.00900688+0.0597374j 0.0150869-0.0216051j -0.0107653-0.0493336j -0.0759898+0.0733789j -0.0828612+0.046827j -0.0267264+0.0155645j -0.0106917-0.0676551j 0.0125965-0.0975306j -0.0595968+0.101166j -0.0832325+0.0142752j 0.000365078+0.089468j -0.0114253-0.0470578j 0.0305162-0.0393166j 0.0860257-0.128904j 0.00448607-0.0172628j -0.0219851-0.0764545j 0.00832894-0.00505312j 0.0308091-0.0209118j -0.0317129+0.00220218j -0.0680956-0.0389806j 0.034044+0.0311516j -0.0130578-0.032721j 0.0307745+0.0233606j 0.0179507-0.0378953j 0.0099978-0.0510594j -0.000716594-0.00878413j 0.00800683+0.0450044j -0.0115395-0.0369224j 0.0465681-0.0493209j -0.0657697-0.0575137j 0.0339234+0.0641417j 0.00187368+0.0230182j 0.091835+0.0208189j -0.0620522+0.01237j 0.0247497-0.030697j 0.04043+0.0263282j -0.0150106+0.0695122j -0.0173715-0.0580318j 0.0187938+0.0616708j -0.0854115-0.0767297j 0.0120979+0.106929j -0.0530137+0.0283351j 0.0190887+0.00382163j 0.016786+0.0249508j 0.0230698-0.0711493j -0.0119212-0.105257j -0.0205604+0.0982917j 0.0294726-0.000332817j 0.0264201-0.00846757j -0.0575792+0.0620164j -0.0123288-0.0490928j -0.0644774+0.0188091j 0.0422327-0.0217613j 0.00199279-0.0222325j -0.0236688+0.0657747j -0.0275133-0.00656548j 0.0347505+0.0133236j 0.0368038-0.0143667j 0.00572351+0.0706167j -0.0148266+0.00927443j -0.0396978+0.0180361j 0.00837387-0.0203964j 
0.00667999+0.00688497j -0.00938222-0.00411063j -0.0222069+0.00243651j -0.00223532+0.00551932j -0.0920156+0.0372013j -0.0624735-0.00534524j 0.00745756-0.0454459j 0.0544067-0.0221633j -0.0346556+0.0426951j 0.0540159+0.0821421j 0.0685809+0.0268873j -0.0125527-0.0128935j -0.0919227+0.00944697j -0.0147909-0.0567546j -0.0666073-0.0503066j -0.122161-0.0134088j -0.025513-0.00199732j 0.0277708+0.0965848j 0.201494-0.0851658j 0.0235298-0.018941j 0.0316588-0.0304761j 0.0793198-0.102335j 0.108442-0.0190679j -0.0813271-0.144164j 0.0123199+0.0871869j -0.0448262+0.0581543j -0.0471519-0.044797j 0.00685343-0.0557666j 0.0318675-0.0669053j -0.116675+2.28983e-15j -0.0857295-0.00608807j -0.055662+0.000510761j -0.0166422+0.014121j -0.104073-0.0735099j -0.0767678+0.070946j -0.12003+0.0258292j -0.0165014-0.0360583j 0.0309786-0.0417804j 0.0570433+0.0426686j 0.0817596+0.0465331j -0.0361066+0.124235j -0.115872+0.0193716j 0.0192363-0.0150068j -0.0394542-0.0619588j 0.135365-0.0442508j 0.00322124+0.0353257j 0.0908057-0.044476j 0.0105783+0.0955382j -0.126762+0.00875901j -0.144692-0.0520791j -0.0927984+0.0860084j -0.0170572-0.000119778j 0.0974262-0.0193546j 0.0651562-0.0399174j 0.0603284-0.0316883j 0.0546613+0.010742j 0.114789+0.0283704j 0.118127-0.0912652j -0.034009-0.0305641j -0.0497234+0.016712j -0.00992129-0.03445j 0.0117501+0.00589963j 0.0504336-0.00696435j 0.022413+0.0643838j -0.03082+0.00264325j -0.0788026+0.0164333j 0.0531352-0.0229308j -0.00670325+0.0366815j -0.0078301+0.0368798j -0.045704+0.0627556j 0.0878642+0.0255442j -0.0213659+0.0315223j 0.00266448+0.0146908j -0.0215708+0.0273763j -0.0292806+0.019462j 0.000136992-0.0285681j -0.0223587+0.0203462j 0.00795238+0.0151275j 0.0592994-0.0191794j 0.0323706+0.0631733j 0.0248701-0.122445j -0.0904442-0.0181421j -0.00268525-0.0110199j 0.0239865-0.0529689j 0.0269855-0.00293741j 0.0313164+0.0490484j -0.0196397+0.0146846j -0.0549533+0.00257835j 0.0871394-0.0764018j 0.0768311-0.034072j -0.0715067+0.0678112j 8.09489e-05-0.0241673j -0.0411294+0.0208908j 0.0231301+0.0613392j -0.119126+0.019936j -0.0127354-0.0447687j -0.0166137-0.0163343j 
0.0262166-0.00540731j 0.0358759+0.0227118j 0.000570765-0.0297684j 0.0384252+0.057271j 0.0383602-0.0936277j -0.0214224+0.00672517j -0.0105861-0.0141503j -0.0558+0.0564462j 0.0509993+0.00645793j 0.119607+0.130626j 0.0257287+0.0102361j -0.0565117-0.0260885j 0.0357765-0.0119676j 0.07368+0.0184312j -0.0420044+0.0286467j -0.0546707-0.108841j -0.0836688-0.000399695j -0.0668231-0.00115744j -0.0497864+0.0440751j -0.0455485+0.0876928j -0.0612764+0.102054j -0.0050239+0.146891j 0.020107-0.0540839j -0.0294049-0.13888j 0.0755699+0.00827249j -0.0134921+0.00694042j 0.0286316-0.0160261j -0.024892+0.0944375j -0.0572429-0.00592852j -0.0857295+0.00608807j 0.0583886-4.34201e-15j 0.0738285-0.032839j -0.0451479+0.0618582j -0.0025268+0.0156755j -0.0166322-0.0341612j 0.0490893+0.00884358j -0.00607145-0.036024j -0.0407556+0.0115254j 0.0399755-0.0922506j -0.0148458+0.00640545j 0.0560966-0.00557064j -0.0651586-0.0526164j 0.0365907+0.0361526j 0.0163391-0.0219319j 0.0476159+0.0144079j -0.0306467+0.0143551j 0.071411-0.08079j -0.0559728+0.0310849j -0.099158-0.0326368j -0.0416074+0.0202036j -0.0434534-0.0248233j 0.012089-0.00460377j -0.0242303-0.0812661j 0.0882028+0.0626769j 0.0480215-0.0514085j 0.159219-0.0537203j 0.107705-0.0263173j 0.132635-0.0827354j -0.0633696+0.0600981j 0.00528718+0.0713876j -0.053875+0.00236534j -0.0125839-0.0246611j 0.0820287-0.0784189j 0.00160093+0.0135278j -0.055415+0.0693778j -0.0242829+0.0735117j 0.00373795+0.0303523j 0.0210737+0.0518543j -0.0234875-0.0332969j -0.00282975+0.0203099j -0.0344864-0.0670406j -0.05899+0.0469563j 0.00173789-0.0110396j 0.0643474+0.0963123j -0.0891661+0.00199343j -0.0412211+0.154052j -0.000998457+0.0139706j -0.0665653-0.0363709j -0.083099+0.0682984j -0.101513-0.0327168j -0.0801739+0.0421141j 0.114357+0.0238954j -0.083611-0.0267184j -0.0709958+0.00863062j -0.0840866-0.0155597j -0.0600077-0.164109j -0.0357157+0.00635655j 0.0562638-0.0289501j -0.104368+0.0593219j 0.0212243-0.0553603j 0.050956-0.0673177j 0.060001+0.128689j 0.121778-0.102329j -0.0405676-0.0278089j 0.00184392-0.0314465j 0.0113249-0.0193935j -0.0163013+0.0124071j 
0.00296867-0.0311708j 0.0129315-0.0212328j 0.0350825-0.0382465j 0.000368565-0.0307931j -0.014011+0.0740315j -0.0503874+0.0150964j 0.0107914+0.0100898j 0.00894885-0.0763929j -0.0294039-0.00509988j 0.0276453+0.0522031j 0.0531715+0.0124112j -0.0158374-0.0183783j 0.0170167+0.0374319j 0.137172+0.0255357j 0.0522033+0.0644456j -0.0718062+0.0203353j -0.00637581+0.0206426j 0.020444+0.0140049j 0.0397685-0.0281429j -0.0415403-0.0886375j -0.031234+0.0598942j 0.0199194+0.0399661j 0.0694474-0.0562558j 0.0148176+0.0116373j 0.0451477-0.0748853j -0.0134314+0.0888287j -0.0214181+0.0592284j 0.0467597+0.0150381j -0.0432762+0.00501745j -0.055662-0.000510761j 0.0738285+0.032839j -0.0918656+1.98452e-15j -0.0372707-0.0177579j -0.00909953-0.0457127j -0.0523708+0.00868244j -0.0564488-0.0650379j -0.130337+0.0344499j 0.0273059-0.037933j -0.0199962+0.019505j -0.0554081+0.0136293j -0.0340548-0.0112997j 0.000291162-0.0175767j 0.0657594+0.00117358j -0.0684636+0.0746281j -0.0153228-0.014384j 0.0377414+0.0439434j 0.0667729+0.0275006j 0.0199768+0.0894948j 0.0459793+0.0370712j 0.0403646-0.0224878j -0.00675887+0.0842164j -0.0356734+0.0235848j 0.0521803+0.081113j -0.0621472+0.0475465j 0.00955034-0.0300924j -0.0118655+0.00892555j 0.00513609-0.00374866j -0.074833+0.00929012j 0.0282429+0.04612j -0.0198655+0.0140911j -0.0375551+0.00386152j 0.0185066+0.0174481j 0.00533818+0.0414759j 0.0662645+0.0645482j 0.0246104-0.0407272j -0.0306317-0.0241085j -0.00402443-0.00120775j 0.00852646+0.00224693j 0.020468+0.0736902j 0.0506357-0.0290496j -0.0959941+0.0580473j 0.0708601+0.0368407j 0.00826757+0.0854901j 0.000225382-0.00259652j 0.0387317+0.0512046j -0.000384343+0.0223307j 0.00193937-0.0581337j -0.0530078+0.0558193j -0.0121992-0.0183995j -0.00999902+0.0681585j 0.0280961+0.0286515j -0.0472216-0.076209j 0.0604295-0.068785j -0.0871239+0.0278473j -0.0585242+0.0361657j -0.0619634+0.062943j -0.10246+0.0669471j 0.0312271+0.0544768j -0.0220214+0.0960695j -0.0433101+0.0847965j 0.000588497-0.0213466j -0.0138157+0.049774j 0.0150577+0.0262488j 0.0100247+0.0334019j -0.0206815+0.0592485j -0.0670758+0.0322775j -0.0426734-0.010288j 
-0.000169047-0.00414871j 0.00763753-0.00877921j -0.0146515+0.0703399j -0.0486446+0.000764976j -0.00791326+0.0223502j -0.0215795+0.0470544j -0.0459681+0.0170983j 0.00904666+0.0228695j -0.0383666+0.0119224j -0.0192338-0.0340174j 0.0452555+0.0141659j 0.0431011+0.0207691j -0.0277332+0.0449771j 0.0347445+0.0252932j 0.0696374+0.0363101j -0.0208654+0.131272j -0.0222885+0.020291j 0.0683802+0.0195867j 0.0275196+0.00214875j -0.0412625-0.121709j 0.00630542-0.0497676j 0.0391729-0.00206945j 0.00807529-0.119324j -0.0482781-0.00123755j -0.0324427-0.0632731j -0.0703289+0.0861392j -0.0698533+0.111788j 0.034538+0.00946797j 0.0408547+0.115891j -0.0166422-0.014121j -0.0451479-0.0618582j -0.0372707+0.0177579j -0.0538279-3.62904e-15j -0.0643928+0.0786985j -0.0458457+0.0235922j 0.10191-0.0144031j -0.0204024+0.0401657j 0.00494708-0.0319752j -0.0503819-0.0537139j 0.0559747+0.0117133j 0.015316-0.0163828j -0.00346757+0.0330016j 0.0559966+0.0921397j -0.028919-0.059578j 0.0160865-0.0769525j 0.0499087-0.0193351j 0.0321302+0.00853368j 0.0541316+0.0584827j 0.0512455-0.0335645j -0.0200788+0.0779037j -0.00347141+0.0173814j -0.0101346+0.0288966j 0.0329073+0.0537873j -0.0958082-0.0353715j 0.00347976+0.0273433j -0.0820065+0.0260807j 0.03489+0.024878j -0.0560179-0.0127955j -0.0243946-2.78707e-05j 0.0205539+0.0321949j 0.0222709+0.0353712j -0.0985195-0.0902475j -0.0248562+0.0578754j -0.105956-0.0143612j 0.0121597+0.00691445j 0.0492315-0.0432433j 0.00560329-0.0235856j -0.000324692-0.0523511j 0.00630574+0.00805884j 0.0180544-0.0487509j 0.0791814+0.04887j -0.0493011-0.00650356j -0.0242576-0.0191644j 0.113982-0.0297737j -0.0136114+0.0553749j -0.0131905+0.0171941j -0.0261234-0.0113623j 0.0182365+0.0678895j -0.00735251+0.0251457j -0.0036519+0.0592636j -0.0491289+0.131228j -0.076274-0.0140506j -0.0256073+0.0393182j -0.021932-0.0373335j -0.00982098+0.0302862j 0.0592093+0.0754386j -0.0544429+0.133422j -0.036362+0.0764699j -0.0111908+0.000693162j 0.0114378-0.149188j 0.0554568+0.00692933j -0.0043526+0.0241215j -0.00116894-0.00916751j -0.0415046-0.0356165j 0.0176832-0.0577939j -0.0151208+0.0139897j 0.00294608-0.00515067j 
-0.0128716+0.0115952j -0.0340061-0.0284884j -0.0268566+0.00391717j 0.0149845+0.010014j 0.00167134-0.0514706j -0.0454354+0.0582885j 0.0299133+0.0122979j 0.0469765+0.0291355j 0.0355997-0.0262599j 0.0423986-0.015625j 0.0607935+0.0547571j 0.0617772-0.110151j 0.0617582+0.0281452j 0.0472837+0.0503514j 0.0304157+0.0317391j -0.033984+0.0309414j -0.0131881+0.00236681j -0.0450707-0.0351302j -0.00954066+0.0426824j -0.0324814-0.0258896j 0.0161788+0.0669735j 0.0345972+0.0494763j 0.12235-0.0581235j 0.0408276-0.0307207j -0.0826248-0.024117j 0.010434+0.0757154j 0.0462611+0.0952748j -0.0132092+0.00368228j -0.031433+0.0466812j -0.104073+0.0735099j -0.0025268-0.0156755j -0.00909953+0.0457127j -0.0643928-0.0786985j -0.0912537+3.93054e-14j -0.0475056-0.0259009j 0.11249+0.0570707j 0.0804938-0.0340053j 0.0212129+0.0814262j -0.00151871+0.0407374j -0.0974172+0.0555688j -0.0303473+0.00949587j -0.00441734+0.00419539j -0.0383166-0.0168632j 0.037854+0.126796j 0.0898589+0.0408138j -0.032956+0.112825j 0.0582232-0.0395527j -0.0833311-0.166317j -7.11925e-05+0.0216444j 0.028693-0.0943399j -0.0875429-0.0509646j -0.0121818-0.0650695j -0.0222874+0.0453372j -0.0428254-0.0683598j 0.0528291-0.0559362j -0.0293807-0.0484047j -0.0436217+0.0352464j 0.0670115+0.049835j 0.00909874-0.049003j -0.0838024-0.0263456j 0.0216139+0.0438035j -0.000286395-0.0235699j -0.010615+0.0793278j -0.090374+0.00833187j -0.0200858-0.0944273j -0.011865+0.00295874j 0.0323252+0.0106238j -0.013212-0.0627843j -0.0124629+0.10537j -0.0545794-0.117438j 0.0576166+0.0279792j -0.0307567+0.0751315j 0.0013568+0.0509751j -0.0470178-0.0229198j -0.0708461+0.0337047j 0.0268002+0.0242142j 0.0428391-0.0298292j -0.0461226+0.0170927j -0.0164376-0.00744393j -0.0875756-0.0033601j -0.0162448+0.0998325j 0.0750486-0.0338729j -0.0252791+0.0329037j -0.00864334-0.0173038j 0.0474202+0.0106851j 0.0531903-0.0365685j 0.000826378+0.0406473j -0.0532657+0.114264j 0.0599926-0.0332831j 0.0426697+0.0754141j -0.0658965+0.0362548j -0.0705557+0.0912907j 0.0891037+0.0514173j 0.0112777+0.00136488j -0.0128656-0.0218139j 0.00448563-0.00459643j 0.0374122-0.0319475j 
