-0.012013-0j 0.0998743-0j 0.0253225-0j -0.0105048-0j 0.0823404-0j -0.00107214-0j 0.0208039-0j 0.00246466-0j -0.00663964-0j -0.00670845-0j 0.0503913-0j 0.0509135-0j -0.00087485-0j 0.0120036-0j -0.000883916-0j 0.00514304-0j 0.012128-0j 0.00519634-0j 0.00184412-0j 0.000140679-0j 0.00186323-0j 0.000142137-0j 
0.0835083-0j 0.00484586-0j 0.00122864-0j -0.000509688-0j -0.572388-0j -5.20198e-05-0j 0.0010094-0j 0.000119584-0j -0.000322153-0j -0.000325491-0j 0.00244496-0j 0.0024703-0j 0.0060815-0j -0.0834429-0j 0.00614452-0j 0.000249538-0j -0.0843076-0j 0.000252124-0j 8.94757e-05-0j 6.82567e-06-0j 9.04029e-05-0j 6.89641e-06-0j 
0.00252441-0j 0.000446257-0j 3.71881e-05-0j 0.82029-0j -0.000713979-0j -0.000437221-0j -8.92474e-05-0j -5.25895e-06-0j 0.00139525-0j 0.00124561-0j -0.0431139-0j -0.0384901-0j 0.000183841-0j 2.65351e-05-0j 0.000164124-0j 2.29801e-05-0j 2.36893e-05-0j 2.05155e-05-0j 2.70823e-06-0j 1.23613e-07-0j 2.41778e-06-0j 1.10356e-07-0j 
-0.000356932-0j 0.0120668-0j -5.2581e-06-0j -0.000312119-0j -5.20198e-05-0j -0.576422-0j 0.00124354-0j -3.83162e-07-0j -0.000197277-0j -0.000199322-0j -3.18355e-05-0j -3.21654e-05-0j 0.00497105-0j -3.75185e-06-0j 0.00502256-0j -0.0587939-0j -3.79073e-06-0j -0.0594032-0j 7.32305e-05-0j -1.74779e-08-0j 7.39893e-05-0j -1.7659e-08-0j 
-0.103336-0j -0.00599645-0j -0.00152036-0j 1.24832e-05-0j 0.0140189-0j 1.27407e-06-0j -2.47221e-05-0j -2.92885e-06-0j -0.000383354-0j -0.000386831-0j 0.00290945-0j 0.00293584-0j 0.00723685-0j -0.0992952-0j 0.00730248-0j 0.000296945-0j -0.100196-0j 0.000299638-0j 0.000106474-0j 8.1224e-06-0j 0.00010744-0j 8.19605e-06-0j 
7.28583e-05-0j 0.116461-0j 0.0145478-0j 6.3711e-05-0j -0.0010094-0j -0.00124354-0j -0.558384-0j 0.00213517-0j 4.02691e-05-0j 4.06864e-05-0j -0.000617739-0j -0.000624141-0j -0.000504703-0j 0.00338707-0j -0.000509933-0j 0.0120573-0j 0.00342217-0j 0.0121823-0j -0.100775-0j 0.000162895-0j -0.101819-0j 0.000164583-0j 
0.00044168-0j -0.0149319-0j 6.50656e-06-0j 7.6444e-06-0j 1.27407e-06-0j 0.0141177-0j -3.04568e-05-0j 9.38438e-09-0j -0.000234756-0j -0.000236885-0j -3.78835e-05-0j -3.82271e-05-0j 0.00591544-0j -4.46462e-06-0j 0.00596908-0j -0.0699634-0j -4.5051e-06-0j -0.0705979-0j 8.71426e-05-0j -2.07983e-08-0j 8.79329e-05-0j -2.09869e-08-0j 
-4.29322e-06-0j 0.000145049-0j 0.162966-0j -3.75421e-06-0j 0.000119584-0j -3.83162e-07-0j -0.00213517-0j -0.540378-0j -2.37288e-06-0j -2.39747e-06-0j 7.31842e-05-0j 7.39426e-05-0j -3.12654e-07-0j -0.00123197-0j -3.15894e-07-0j 7.46933e-06-0j -0.00124473-0j 7.54674e-06-0j 0.011868-0j -0.128721-0j 0.011991-0j -0.130055-0j 
0.0602795-0j 0.00349793-0j 0.000886878-0j 0.000713979-0j 0.801809-0j 7.28702e-05-0j -0.00141398-0j -0.000167516-0j -0.000232542-0j -0.000207602-0j 0.00176487-0j 0.00157559-0j 0.00438986-0j -0.0602323-0j 0.00391906-0j 0.000180126-0j -0.0537725-0j 0.000160808-0j 6.4587e-05-0j 4.92703e-06-0j 5.76601e-05-0j 4.39862e-06-0j 
-9.01576e-05-0j -0.144113-0j -0.018002-0j -1.56041e-06-0j 2.47221e-05-0j 3.04568e-05-0j 0.0136759-0j -5.22944e-05-0j 4.79193e-05-0j 4.83538e-05-0j -0.000735096-0j -0.000741762-0j -0.000600585-0j 0.00403054-0j -0.000606031-0j 0.014348-0j 0.00406709-0j 0.0144781-0j -0.11992-0j 0.000193841-0j -0.121008-0j 0.000195599-0j 
-0.000257647-0j 0.00871027-0j -3.7955e-06-0j 0.000437221-0j 7.28702e-05-0j 0.807461-0j -0.00174197-0j 5.3674e-07-0j -0.000142402-0j -0.00012713-0j -2.29801e-05-0j -2.05155e-05-0j 0.00358829-0j -2.70823e-06-0j 0.00320346-0j -0.0424397-0j -2.41778e-06-0j -0.0378881-0j 5.28605e-05-0j -1.26162e-08-0j 4.71914e-05-0j -1.12632e-08-0j 
5.31259e-06-0j -0.000179489-0j -0.201661-0j 9.19478e-08-0j -2.92885e-06-0j 9.38438e-09-0j 5.22944e-05-0j 0.0132349-0j -2.82367e-06-0j -2.84928e-06-0j 8.70876e-05-0j 8.78773e-05-0j -3.72051e-07-0j -0.00146601-0j -3.75425e-07-0j 8.88834e-06-0j -0.00147931-0j 8.96894e-06-0j 0.0141227-0j -0.153175-0j 0.0142508-0j -0.154564-0j 
5.25919e-05-0j 0.0840657-0j 0.0105012-0j -8.92474e-05-0j 0.00141398-0j 0.00174197-0j 0.782193-0j -0.00299098-0j 2.90678e-05-0j 2.59503e-05-0j -0.000445908-0j -0.000398085-0j -0.000364314-0j 0.00244492-0j -0.000325242-0j 0.00870345-0j 0.00218271-0j 0.00777003-0j -0.0727433-0j 0.000117583-0j -0.0649418-0j 0.000104973-0j 
-3.09901e-06-0j 0.000104702-0j 0.117635-0j 5.25895e-06-0j -0.000167516-0j 5.3674e-07-0j 0.00299098-0j 0.75697-0j -1.71283e-06-0j -1.52914e-06-0j 5.28272e-05-0j 4.71616e-05-0j -2.25686e-07-0j -0.00088928-0j -2.01481e-07-0j 5.39165e-06-0j -0.000793907-0j 4.81341e-06-0j 0.0085668-0j -0.0929157-0j 0.00764803-0j -0.0829507-0j 
