-0.0720061-0j -0.0103932-0j -0.0590299-0j -0.0104351-0j -0.000869593-0j 0.0353457-0j -0.0362942-0j 0.00589094-0j 0.00360745-0j -0.00604903-0j 0.000736368-0j -0.00370426-0j -0.000756128-0j 4.33909e-05-0j -4.45553e-05-0j -0.0260693-0j 0.0317417-0j -0.0188178-0j -0.00420692-0j -0.00343494-0j 0.00512229-0j -0.00049579-0j -0.00303672-0j -0.000429367-0j 0.00418233-0j -5.06014e-05-0j 0.000603668-0j -0.00247947-0j 0.000522792-0j -2.30963e-06-0j -0.00035788-0j -0.000309933-0j 6.16116e-05-0j 2.81217e-06-0j -3.6526e-05-0j -1.66718e-06-0j -0.0204805-0j -0.0238939-0j 0.0434266-0j -0.00323826-0j 0.0205718-0j -0.00862378-0j -0.00256007-0j -0.00377796-0j -0.00170671-0j -0.000369514-0j 0.00686634-0j 0.00325269-0j -0.00298674-0j -0.000426678-0j -0.00136354-0j -0.00199116-0j -0.000150853-0j 0.00542832-0j -0.000431099-0j -3.55565e-05-0j 0.00361888-0j 0.00078351-0j 0.00257148-0j -3.77133e-05-0j 0.00171432-0j -0.000497791-0j 0.000371161-0j -0.00107797-0j -3.14278e-06-0j 0.00090472-0j -0.000175996-0j -0.000718648-0j -4.14825e-05-0j -0.000155592-0j -1.17124e-07-0j 0.000319867-0j 7.53933e-05-0j -4.39989e-05-0j 0.00042858-0j 7.99667e-05-0j 0.000151526-0j -3.66657e-06-0j -0.000179662-0j 3.5715e-05-0j 3.78815e-05-0j 6.66389e-06-0j -6.35201e-05-0j -1.36645e-07-0j -1.49718e-05-0j 3.15679e-06-0j 2.48349e-07-0j -1.588e-05-0j 1.17647e-07-0j -1.32334e-06-0j -4.93178e-08-0j 
0.000529179-0j 0.341731-0j 0.000433816-0j -0.00733182-0j 0.0876168-0j -0.00078351-0j 0.000266729-0j 0.0124846-0j -7.99667e-05-0j -0.00425011-0j -0.0730307-0j 2.72229e-05-0j 0.0248617-0j -0.0265588-0j 0.00904136-0j 0.000191586-0j -0.00070362-0j 0.000138294-0j -0.00295583-0j 2.52437e-05-0j 0.0108556-0j 0.0163017-0j -0.00213363-0j -0.000301678-0j -9.27101e-05-0j 0.00509839-0j -0.0598699-0j 1.82218e-05-0j 0.00110794-0j 0.000783855-0j 0.0117672-0j -0.000217763-0j -0.0187244-0j -0.00287879-0j 0.00368022-0j 0.000565817-0j 0.000150513-0j 0.000175599-0j 0.000100687-0j -0.00227523-0j -0.000456017-0j 6.3377e-05-0j 1.88142e-05-0j -0.00265444-0j 1.25428e-05-0j 0.0121497-0j -0.00152204-0j 0.00689338-0j 2.19499e-05-0j -0.000299788-0j -0.000958037-0j 1.46332e-05-0j 1.10863e-06-0j 1.25859e-05-0j 0.0141747-0j 0.00358253-0j 8.39062e-06-0j 0.00812768-0j -5.70022e-05-0j 0.00124003-0j -3.80015e-05-0j -0.000349753-0j -0.0368106-0j 7.92212e-06-0j 0.000637747-0j -0.000200547-0j 1.29341e-06-0j 5.28141e-06-0j 0.00417962-0j 0.00511591-0j 5.97499e-05-0j 7.41633e-07-0j 0.00239657-0j 0.0014467-0j 0.000908283-0j 0.000829528-0j -3.35889e-06-0j 0.000744038-0j -0.000126232-0j -0.0108542-0j -0.00375697-0j 0.000426628-0j 4.66815e-07-0j 6.97082e-05-0j 0.0015085-0j -0.00193221-0j 3.99703e-05-0j 0.00052214-0j -0.000181027-0j 0.000268538-0j 2.5159e-05-0j 
-0.000756128-0j -0.488289-0j 0.000602221-0j -0.010178-0j 0.121629-0j 0.000371161-0j 0.000380966-0j -0.00591415-0j 3.78815e-05-0j -0.00607039-0j 0.0345958-0j 3.88822e-05-0j 0.0355097-0j 0.0125813-0j 0.0129137-0j -0.000273751-0j -0.000323827-0j -0.000180968-0j 0.00422349-0j -3.60699e-05-0j 0.00499607-0j -0.023293-0j 0.00279202-0j 0.000431058-0j -4.2668e-05-0j -0.00728494-0j -0.0275539-0j -2.38447e-05-0j 0.000509909-0j -0.00112003-0j -0.0153983-0j 0.000284959-0j -0.00861754-0j -0.00132491-0j -0.00481584-0j -0.000740414-0j -0.000215064-0j 0.000243765-0j 0.000456017-0j 0.00325101-0j -0.000215935-0j -0.000432383-0j -2.6883e-05-0j -0.00368487-0j -1.7922e-05-0j -0.0173604-0j -0.00689338-0j 0.00326418-0j 3.04706e-05-0j 0.000428358-0j 0.00653612-0j 2.03137e-05-0j -1.58409e-06-0j 5.70022e-05-0j 0.0196772-0j -0.00511896-0j 3.80015e-05-0j 0.0368106-0j -2.69919e-05-0j -0.00177183-0j -1.79946e-05-0j -0.000485524-0j -0.0174307-0j -5.40479e-05-0j -0.000911257-0j -0.000908283-0j 1.7955e-06-0j -3.60319e-05-0j 0.00580211-0j -0.0349028-0j -8.53748e-05-0j 3.35889e-06-0j 0.0108542-0j 0.00200829-0j 0.000430093-0j 0.00375697-0j -1.59051e-06-0j 0.00103287-0j 0.000861209-0j -0.0051397-0j -0.00177901-0j 0.00193221-0j -3.1848e-06-0j 9.67684e-05-0j -0.0102916-0j -0.000914948-0j 0.000181027-0j -0.00356225-0j -8.57206e-05-0j -0.00183207-0j -0.000171645-0j 
0.207901-0j -0.000311887-0j 0.0052134-0j -0.0886715-0j 7.68006e-05-0j -0.00107797-0j -0.00520032-0j -0.000179662-0j 0.021281-0j -0.000866721-0j 0.00216075-0j 0.102663-0j 0.0104238-0j -1.32334e-06-0j -6.384e-06-0j -0.000782309-0j 0.00284906-0j -0.000657075-0j -0.000126245-0j 0.00991757-0j 0.000459765-0j -1.48781e-05-0j -0.000106035-0j 0.00249228-0j -0.0361184-0j 0.0001461-0j 5.41838e-05-0j 0.00832994-0j -0.00907652-0j -6.93091e-08-0j -1.24963e-05-0j 0.00209331-0j -0.000532074-0j 2.52414e-07-0j 0.000122712-0j -5.82139e-08-0j -0.000614596-0j 0.00211026-0j -0.000439088-0j -9.71761e-05-0j -0.00299564-0j 0.00364987-0j 0.00739159-0j 0.000333662-0j -5.12163e-05-0j -1.10887e-05-0j -6.9426e-05-0j -0.000473652-0j -0.0253796-0j 0.00123193-0j 0.000577094-0j 0.000175855-0j 0.00131571-0j 0.00528081-0j 3.80737e-05-0j -1.06701e-06-0j -3.65907e-05-0j -7.92212e-06-0j 0.0360278-0j 0.000218909-0j -0.000249637-0j -0.00422993-0j -5.40479e-05-0j -0.043896-0j 9.07403e-06-0j 0.000880134-0j -0.00451761-0j 0.000304155-0j 3.66365e-06-0j 6.58516e-05-0j -3.51476e-09-0j 0.000939992-0j -7.62306e-07-0j -0.000751639-0j 0.00600463-0j 0.000156396-0j 0.00641301-0j -3.11564e-05-0j -0.007316-0j -5.20076e-06-0j 0.001067-0j 6.4828e-06-0j -0.00781356-0j 1.20682e-08-0j 6.33657e-06-0j 4.42283e-05-0j -2.51107e-09-0j -0.00130002-0j -1.71315e-08-0j -5.38874e-05-0j 2.08729e-08-0j 
0.000311887-0j 0.201409-0j -0.000752489-0j 0.0127176-0j -0.151978-0j 0.000155592-0j 0.000750602-0j -0.00247923-0j 1.588e-05-0j -0.0119602-0j 0.0145027-0j 7.6608e-05-0j 0.0699633-0j 0.00527413-0j 0.0254433-0j 0.000112917-0j -0.000411226-0j 9.48406e-05-0j -0.0017421-0j 1.48781e-05-0j 0.00634448-0j 0.00960788-0j -0.00146322-0j -0.000177802-0j -5.41838e-05-0j 0.00300488-0j -0.0349905-0j 1.24963e-05-0j 0.000647531-0j 0.000461987-0j 0.00806983-0j -0.000149339-0j -0.0109434-0j -0.00168249-0j 0.00252385-0j 0.000388031-0j 8.87093e-05-0j -0.00030459-0j 6.3377e-05-0j -0.00134097-0j 0.000432383-0j -0.000526813-0j 1.10887e-05-0j 0.00460433-0j 7.39244e-06-0j 0.00716078-0j -0.000958037-0j -0.00653612-0j -3.80737e-05-0j -0.000176689-0j 0.00796356-0j -2.53825e-05-0j 6.53405e-07-0j 7.92212e-06-0j -0.0245871-0j 0.00211147-0j 5.28141e-06-0j 0.00511591-0j 5.40479e-05-0j 0.000730844-0j 3.60319e-05-0j 0.000606674-0j 0.0349028-0j -6.58516e-05-0j 0.000375874-0j -0.000126232-0j -2.24352e-06-0j -4.39011e-05-0j -0.00724987-0j -0.0425253-0j 3.52153e-05-0j 4.66815e-07-0j 0.0015085-0j -0.00250941-0j -0.000861209-0j 0.00052214-0j 3.1848e-06-0j -0.00129059-0j 0.00104929-0j 0.0102916-0j 0.00356225-0j 0.000268538-0j -3.88034e-06-0j -0.000120914-0j -0.0125392-0j 0.00183207-0j 2.5159e-05-0j -0.00434022-0j 0.000171645-0j -0.00223218-0j -0.000209131-0j 
0.00372419-0j 0.00053754-0j -0.444953-0j 0.000539709-0j 4.49758e-05-0j 0.0018579-0j 0.00187715-0j -0.0451284-0j 0.000189621-0j -0.045596-0j 3.87062e-05-0j 0.000191586-0j 3.91073e-05-0j 2.28078e-06-0j 2.30442e-06-0j 0.00134832-0j 0.00166846-0j 0.000973267-0j 0.000217584-0j -0.0258917-0j 0.000269246-0j -0.00373714-0j 0.00015706-0j 2.22071e-05-0j -0.0320393-0j 2.61713e-06-0j -0.00462448-0j -0.0186896-0j 2.74798e-05-0j 1.19455e-07-0j -0.00269761-0j 1.60299e-05-0j 3.23853e-06-0j 1.47818e-07-0j 1.88914e-06-0j 8.62272e-08-0j 0.00105926-0j 0.00123581-0j 0.000756774-0j 0.000167484-0j 0.00108133-0j 0.000446026-0j 0.000132408-0j 0.000195398-0j -0.0258178-0j 1.91114e-05-0j 0.000119656-0j 0.000170973-0j 0.000154476-0j -0.00321619-0j 7.05229e-05-0j -0.0301207-0j 7.8022e-06-0j 9.45967e-05-0j 2.22967e-05-0j -0.000268016-0j -0.0184451-0j 1.36539e-05-0j 0.000135166-0j 1.95055e-06-0j -0.0263556-0j -0.00375222-0j 1.95096e-05-0j 5.57533e-05-0j 1.62546e-07-0j -0.00229776-0j 9.10257e-06-0j -0.0108711-0j -0.000312685-0j 8.04729e-06-0j 6.05773e-09-0j 5.57416e-06-0j -0.00019148-0j 2.27564e-06-0j -0.00328319-0j 1.39354e-06-0j 7.96475e-06-0j 1.89637e-07-0j -0.00135425-0j -0.000273599-0j 1.99119e-06-0j 1.16128e-07-0j 3.28529e-06-0j 7.06735e-09-0j -0.000112854-0j 1.65932e-07-0j 4.32785e-09-0j 8.21323e-07-0j 6.18393e-09-0j 6.84436e-08-0j 2.55074e-09-0j 
0.0633425-0j 0.00908484-0j -0.000539709-0j -0.434218-0j 0.00114416-0j -0.000328433-0j -0.000331836-0j 0.00258929-0j 0.00648381-0j 0.00261612-0j -0.0629397-0j 0.006551-0j -0.0635919-0j 7.74971e-05-0j 7.83002e-05-0j -0.000238351-0j -0.000294945-0j -0.000172051-0j 0.00181943-0j 0.00302165-0j 0.00225143-0j 0.000433378-0j 0.00131334-0j -0.0359186-0j 0.0037391-0j -0.00640578-0j 0.000536277-0j 0.00218114-0j -0.044447-0j 5.07887e-06-0j 0.000312828-0j -0.0259274-0j -0.00792675-0j 6.28478e-06-0j -0.00462393-0j 3.66612e-06-0j -0.000187253-0j -0.000218462-0j -0.00013378-0j 0.0014005-0j -0.000191154-0j -7.8847e-05-0j 0.00225204-0j 0.00163392-0j -1.56044e-05-0j 0.000322997-0j 0.00100057-0j 0.00142968-0j 0.00262738-0j -0.0177546-0j 0.000589712-0j -1.82051e-05-0j 0.000400867-0j 0.00160894-0j 0.00037683-0j 4.67832e-05-0j -1.11483e-05-0j 0.00023076-0j 0.00229896-0j -0.0063765-0j -1.59295e-05-0j -0.0207137-0j 0.000329726-0j 0.000948273-0j -0.000531393-0j -0.0126845-0j 0.000467679-0j -6.57058e-06-0j 5.45804e-05-0j 0.000136005-0j 3.09282e-07-0j 0.000286393-0j 3.34235e-05-0j -0.00743925-0j -0.0181245-0j -0.00455559-0j 0.000409219-0j -0.000619958-0j -0.00747595-0j 4.77578e-05-0j -0.00650935-0j -0.000379645-0j 0.000168794-0j 3.60829e-07-0j 1.96991e-05-0j -0.000542464-0j 2.20962e-07-0j -0.00268497-0j 3.15726e-07-0j -0.000223755-0j 1.3023e-07-0j 
5.48625e-05-0j 0.108566-0j 4.49758e-05-0j -0.00114416-0j -0.420468-0j 2.73694e-05-0j 2.7653e-05-0j -0.000656445-0j 2.79338e-06-0j -0.000663247-0j 0.00781739-0j 2.82233e-06-0j 0.0078984-0j -0.0880734-0j -0.0889861-0j 1.98626e-05-0j 2.45787e-05-0j 1.43376e-05-0j -0.000461269-0j 2.61713e-06-0j -0.000570791-0j 0.00517895-0j -0.000332962-0j -4.70781e-05-0j 3.23853e-06-0j -0.0244669-0j 0.00640862-0j 1.88914e-06-0j -5.82561e-05-0j -0.0116539-0j 0.00373836-0j -3.39827e-05-0j -0.0302763-0j -0.014421-0j -0.0176612-0j -0.00841223-0j 1.56044e-05-0j 1.82051e-05-0j 1.11483e-05-0j -0.00035506-0j 1.59295e-05-0j 6.57058e-06-0j 1.95055e-06-0j -0.000414236-0j 1.30037e-06-0j 0.00385988-0j -0.000253667-0j -0.000362457-0j 2.27564e-06-0j -4.67832e-05-0j -0.000149506-0j 1.5171e-06-0j 1.14937e-07-0j 1.39354e-06-0j 0.0045032-0j -0.0171924-0j 9.29027e-07-0j 0.00275763-0j 1.99119e-06-0j 0.000393948-0j 1.32746e-06-0j -5.45804e-05-0j 0.0039403-0j 8.21323e-07-0j -0.00627677-0j -3.34235e-05-0j 1.34094e-07-0j 5.47549e-07-0j -0.0200578-0j 0.00162529-0j -0.00118817-0j 8.21152e-08-0j -0.0122828-0j 0.000459606-0j -4.77578e-05-0j 0.00028145-0j 1.17332e-07-0j -0.0073229-0j -1.96991e-05-0j -0.0175505-0j 0.000402155-0j -0.00448434-0j 4.83969e-08-0j -0.00138619-0j -0.00723923-0j -0.00640754-0j -0.000848866-0j 0.00016588-0j -0.00121292-0j -0.00264298-0j -0.000500304-0j 
-0.00420692-0j -0.000607217-0j 0.00715431-0j -8.67789e-06-0j -7.23157e-07-0j -0.00209872-0j 0.0020601-0j 0.0509779-0j -0.0002142-0j -0.0500399-0j -4.37233e-05-0j 0.000210258-0j 4.29188e-05-0j -2.57642e-06-0j 2.52901e-06-0j -0.00152309-0j -2.68268e-05-0j 0.0021519-0j -0.000245787-0j 0.0292478-0j -4.32916e-06-0j 0.00422155-0j 0.000347261-0j -2.50855e-05-0j 0.000515154-0j -2.95636e-06-0j 7.43561e-05-0j -0.0413228-0j -4.41843e-07-0j -1.34939e-07-0j -0.00596443-0j 3.54422e-05-0j -5.20717e-08-0j -2.37674e-09-0j 4.1769e-06-0j 1.90649e-07-0j 0.00361134-0j -1.98703e-05-0j -0.000854867-0j 0.000571004-0j 0.00118672-0j 0.00148283-0j 0.000451418-0j -3.14177e-06-0j -0.0880205-0j 6.51566e-05-0j -0.000135166-0j 0.000187637-0j -2.48379e-06-0j -0.0109649-0j 0.000234457-0j 0.000484306-0j 2.66001e-05-0j -0.000106858-0j -3.58504e-07-0j -0.000913746-0j 0.020836-0j -1.54237e-05-0j 0.00014834-0j 6.65002e-06-0j -0.0289243-0j 6.03312e-05-0j 2.1411e-05-0j 0.000185354-0j 5.54168e-07-0j 0.00259559-0j -1.46359e-07-0j -0.0361416-0j 5.0276e-06-0j 2.67536e-05-0j 2.06526e-08-0j -6.29669e-06-0j 0.000216299-0j -3.65897e-08-0j -0.00360318-0j -1.57417e-06-0j 8.74102e-06-0j -3.04914e-09-0j -0.00450226-0j -0.000300265-0j 2.18525e-06-0j -1.31181e-07-0j 1.09221e-05-0j -1.13635e-10-0j -0.000375188-0j 1.82104e-07-0j -4.88883e-09-0j 2.73053e-06-0j 6.78663e-09-0j 2.27544e-07-0j 8.48006e-09-0j 
-0.00343494-0j -0.00049579-0j 0.410394-0j -0.000497791-0j -4.14825e-05-0j 0.00168611-0j -0.00173135-0j -0.0409556-0j 0.000172088-0j 0.0420546-0j 3.51273e-05-0j -0.000176706-0j -3.60699e-05-0j 2.06989e-06-0j -2.12544e-06-0j 0.00248059-0j 0.00151419-0j -0.000897675-0j 0.000400304-0j -0.0476347-0j 0.000244351-0j -0.00687548-0j -0.000144862-0j 4.08559e-05-0j -0.0290768-0j 4.81491e-06-0j -0.00419688-0j 0.017238-0j 2.49389e-05-0j 2.1977e-07-0j 0.00248809-0j -1.47849e-05-0j 2.93908e-06-0j 1.3415e-07-0j -1.74241e-06-0j -7.953e-08-0j -0.000976991-0j 0.0022736-0j 0.00207159-0j -0.000154476-0j 0.000981346-0j -0.000411384-0j -0.000122124-0j 0.000359487-0j 0.0238125-0j -1.76271e-05-0j 0.000327548-0j 0.000155164-0j 0.0002842-0j 0.00296639-0j -6.50455e-05-0j -0.0554152-0j -7.19622e-06-0j 0.000258949-0j 4.10207e-05-0j 0.000247199-0j -0.0504917-0j 3.73761e-05-0j 0.000122668-0j -1.79905e-06-0j -0.0239187-0j -0.00690322-0j 1.77056e-05-0j -5.1423e-05-0j -1.49921e-07-0j -0.00628988-0j 1.67466e-05-0j 0.0100268-0j -0.000575268-0j -7.42226e-06-0j -5.58723e-09-0j 1.52587e-05-0j -0.000524157-0j 4.18666e-06-0j -0.00297961-0j 3.81468e-06-0j 7.2283e-06-0j 3.48888e-07-0j 0.00124906-0j -0.000248301-0j 1.80707e-06-0j 3.1789e-07-0j -3.03013e-06-0j 1.30023e-08-0j 0.000104089-0j 1.50589e-07-0j 1.18471e-08-0j -7.57532e-07-0j 5.61214e-09-0j -6.31276e-08-0j -2.35263e-09-0j 
-0.0715529-0j -0.0102624-0j 8.67789e-06-0j 0.00698171-0j -1.83968e-05-0j 0.000371004-0j -0.000364178-0j -0.00292491-0j -0.00732424-0j 0.00287109-0j 0.071098-0j 0.00718948-0j -0.0697898-0j -8.75423e-05-0j 8.59316e-05-0j 0.000269246-0j 4.74236e-06-0j -0.000380405-0j -0.00205527-0j -0.00341332-0j -3.62004e-05-0j -0.000489552-0j 0.00290379-0j 0.0405744-0j -6.01204e-05-0j 0.0072361-0j -8.62271e-06-0j 0.00482252-0j 0.000714656-0j -5.7372e-06-0j 0.000691665-0j -0.0573257-0j 0.000127453-0j -1.01052e-07-0j -0.0102235-0j 8.10581e-06-0j -0.000638401-0j 3.51261e-06-0j 0.000151121-0j 0.00477472-0j -0.000209784-0j -0.00026213-0j 0.00767789-0j -2.62715e-05-0j -5.32001e-05-0j 0.0011012-0j -0.00113026-0j 0.00156902-0j -4.22452e-05-0j -0.0605306-0j 0.00196052-0j 2.92717e-07-0j 0.00136668-0j -0.00181749-0j -6.05899e-06-0j 0.000159498-0j 1.25934e-05-0j -0.000260672-0j 0.00252302-0j -0.0217394-0j -1.7482e-05-0j 0.000333051-0j 0.000361862-0j 0.00315258-0j -0.00181168-0j 0.0143286-0j -7.51972e-06-0j -2.18442e-05-0j -8.77588e-07-0j 0.000452156-0j 1.05444e-06-0j -0.000323516-0j -3.77559e-05-0j 0.000119614-0j -0.0198909-0j 0.00514609-0j 0.000449102-0j 9.9682e-06-0j -0.0248541-0j 5.24124e-05-0j -0.00714376-0j 0.000428855-0j 0.000561164-0j -5.80171e-09-0j 6.54906e-05-0j -0.000595333-0j -2.49603e-07-0j -0.0089263-0j 3.46497e-07-0j -0.000743883-0j 4.32956e-07-0j 
0.00347053-0j 0.000500928-0j 0.402843-0j -0.000488631-0j -4.07193e-05-0j 0.00173135-0j -0.00174859-0j -0.0420546-0j 0.000176706-0j 0.0424732-0j 3.60699e-05-0j -0.000178464-0j -3.64289e-05-0j 2.12544e-06-0j -2.14659e-06-0j -0.0025063-0j -0.00151056-0j 0.000830621-0j -0.000404453-0j 0.0481283-0j -0.000243765-0j 0.00694673-0j 0.000134041-0j -4.12793e-05-0j 0.0290071-0j -4.86481e-06-0j 0.00418682-0j -0.0159504-0j -2.48792e-05-0j -2.22047e-07-0j -0.00230224-0j 1.36805e-05-0j -2.93204e-06-0j -1.33829e-07-0j 1.61226e-06-0j 7.35893e-08-0j 0.000987115-0j 0.00223176-0j 0.000705229-0j 0.000156077-0j -0.00100727-0j 0.00198458-0j 0.000123389-0j 0.000352873-0j -0.0240593-0j 1.78097e-05-0j 0.000111507-0j -0.000159264-0j 0.000278971-0j -0.00299713-0j 0.00031379-0j -0.0543956-0j 7.27079e-06-0j 8.81536e-05-0j 4.02659e-05-0j -0.000249761-0j -0.0171888-0j 1.27239e-05-0j -0.000125909-0j 1.8177e-06-0j 0.0245506-0j -0.0067762-0j -1.81734e-05-0j 0.000248073-0j 1.51475e-07-0j -0.00214125-0j 1.64385e-05-0j -0.048371-0j -0.000564683-0j 3.58063e-05-0j 5.64513e-09-0j 5.1945e-06-0j -0.000178438-0j 4.10963e-06-0j 0.00305833-0j 1.29863e-06-0j -7.41926e-06-0j 3.42469e-07-0j -0.0060257-0j 0.000254861-0j -1.85481e-06-0j 1.08219e-07-0j 1.46178e-05-0j 1.27631e-08-0j -0.000502142-0j -1.54568e-07-0j 4.03308e-09-0j 3.65446e-06-0j -5.7604e-09-0j 3.04538e-07-0j 1.13495e-08-0j 
-6.19738e-05-0j -0.122638-0j -7.23157e-07-0j 1.83968e-05-0j 0.00676063-0j -3.0917e-05-0j 3.03482e-05-0j 0.000741533-0j -3.15546e-06-0j -0.000727889-0j -0.00883068-0j 3.0974e-06-0j 0.0086682-0j 0.0994894-0j -0.0976589-0j -2.24372e-05-0j -3.95197e-07-0j 3.17005e-05-0j 0.000521059-0j -2.95636e-06-0j 9.17765e-06-0j -0.00585025-0j -0.000736179-0j 5.31803e-05-0j -5.20717e-08-0j 0.0276383-0j -0.000103043-0j 4.1769e-06-0j 9.3669e-07-0j 0.0131645-0j 0.00826554-0j -7.5136e-05-0j 0.000486807-0j 0.000231872-0j -0.0390489-0j -0.0185995-0j 5.32001e-05-0j -2.92717e-07-0j -1.25934e-05-0j -0.0012105-0j 1.7482e-05-0j 2.18442e-05-0j 6.65002e-06-0j 6.66043e-06-0j 4.43334e-06-0j 0.0131595-0j 0.000286547-0j -0.000397783-0j -3.65897e-08-0j -0.000159498-0j -0.000497039-0j -2.43931e-08-0j 3.91856e-07-0j -1.57417e-06-0j -7.24061e-05-0j -0.0586139-0j -1.04945e-06-0j -0.00311508-0j 2.18525e-06-0j 0.00134309-0j 1.45684e-06-0j 8.77588e-07-0j 0.00432433-0j 2.73053e-06-0j -0.0213994-0j 3.77559e-05-0j -2.15607e-09-0j 1.82035e-06-0j 0.000322505-0j 0.00540335-0j -0.00405081-0j -9.2759e-08-0j 0.0138749-0j -7.38992e-06-0j -5.24124e-05-0j -0.000317931-0j 1.28767e-07-0j 0.000117744-0j -6.54906e-05-0j -0.0192611-0j 0.00044135-0j 0.0050656-0j 1.60898e-07-0j 2.22883e-05-0j -0.0240671-0j -0.00703203-0j 0.000958897-0j 0.000551477-0j -0.00133113-0j -0.00878669-0j -0.00166328-0j 
-0.0584227-0j -0.00837923-0j 0.000497791-0j 0.400492-0j -0.0010553-0j -0.000298065-0j 0.000306063-0j 0.00234987-0j 0.00588429-0j -0.00241293-0j -0.05712-0j -0.00604219-0j 0.0586528-0j 7.03314e-05-0j -7.22187e-05-0j -0.000438511-0j -0.000267673-0j 0.000158688-0j 0.00334734-0j 0.00555914-0j 0.00204326-0j 0.000797315-0j -0.00121133-0j -0.066082-0j 0.00339337-0j -0.0117852-0j 0.000486691-0j -0.00201174-0j -0.0403373-0j 9.34395e-06-0j -0.000288531-0j 0.0239137-0j -0.0071938-0j 5.70367e-06-0j 0.0042648-0j -3.38138e-06-0j 0.000172709-0j -0.000401919-0j -0.00036621-0j -0.00129172-0j -0.000173479-0j 7.2723e-05-0j -0.00207713-0j 0.00300603-0j 1.43924e-05-0j -0.00029791-0j 0.00273895-0j 0.00129748-0j 0.00483378-0j 0.0163756-0j -0.000543909-0j -3.34933e-05-0j -0.000369732-0j 0.00440431-0j 0.000693281-0j -4.31496e-05-0j -3.05175e-05-0j 0.000631684-0j 0.00208639-0j 0.00588125-0j -1.44566e-05-0j -0.0381084-0j 0.000299239-0j -0.000874622-0j 0.00049012-0j -0.0347225-0j 0.000860421-0j 6.06025e-06-0j 0.000100415-0j -0.000125442-0j -2.85261e-07-0j 0.000783974-0j 9.14937e-05-0j -0.0136865-0j -0.0164486-0j -0.0124705-0j 0.000371381-0j -0.00114058-0j 0.0068953-0j 4.3342e-05-0j -0.00590747-0j -0.00103924-0j -0.000155684-0j 6.63843e-07-0j -1.81691e-05-0j -0.000492305-0j 6.04862e-07-0j 0.00247643-0j 2.86532e-07-0j 0.000206376-0j -1.20115e-07-0j 
0.00300557-0j 0.000433816-0j -0.00511129-0j 6.19978e-06-0j 5.16649e-07-0j -0.00445009-0j -0.00147181-0j 0.108093-0j -0.000454185-0j 0.0357502-0j -9.27101e-05-0j -0.000150216-0j -3.06627e-05-0j -5.463e-06-0j -1.80682e-06-0j 0.00108815-0j -5.68832e-05-0j -0.00153739-0j 0.000175599-0j -0.0208956-0j -9.17948e-06-0j -0.00301602-0j -0.000248095-0j 1.7922e-05-0j 0.00109232-0j 2.11213e-06-0j 0.000157663-0j 0.0295224-0j -9.36877e-07-0j 9.64049e-08-0j 0.00426119-0j -2.53211e-05-0j -1.10412e-07-0j -5.0396e-09-0j -2.98412e-06-0j -1.36206e-07-0j 0.000854867-0j 1.4196e-05-0j 0.000571872-0j 0.000135166-0j 0.0025163-0j -0.00105939-0j 0.000106858-0j 2.24459e-06-0j -0.020836-0j 1.54237e-05-0j 9.0421e-05-0j 0.000397862-0j 1.7745e-06-0j -0.00259559-0j -0.000167504-0j -0.000346005-0j 6.29669e-06-0j 7.1484e-05-0j 2.56128e-07-0j -0.000216299-0j -0.0139384-0j 1.03178e-05-0j 0.000314537-0j 1.57417e-06-0j -0.0613306-0j -4.31027e-05-0j 4.53996e-05-0j -0.000132423-0j 1.31181e-07-0j -0.00173635-0j 1.04564e-07-0j 0.0258208-0j -3.59189e-06-0j -1.91137e-05-0j 4.88883e-09-0j 4.21224e-06-0j -0.000144696-0j 2.61409e-08-0j -0.00764012-0j 1.05306e-06-0j 1.85343e-05-0j 2.17841e-09-0j 0.00321657-0j -0.000636677-0j 4.63357e-06-0j 8.77549e-08-0j -7.80313e-06-0j 8.11845e-11-0j 0.000268047-0j 3.86131e-07-0j 3.27043e-09-0j -1.95078e-06-0j 1.43903e-08-0j -1.62565e-07-0j -6.05844e-09-0j 
