-0.000483671-0j -0.000103582-0j -0.000949552-0j -0.00041958-0j -0.000828946-0j 0.000872286-0j -0.000715754-0j 0.00053821-0j -0.00126397-0j -0.00103682-0j 0.00142475-0j 0.000638739-0j 0.00066509-0j 0.00208046-0j -0.00216466-0j -0.000172703-0j 0.000363678-0j 0.00124207-0j -0.00033407-0j -0.000976733-0j 0.000822322-0j -0.000522858-0j -7.5076e-05-0j -0.000122086-0j -0.000597401-0j -0.00108174-0j -0.000716762-0j -0.00285973-0j 5.51777e-05-0j -0.000708402-0j 0.00106106-0j -0.000580077-0j 0.000120303-0j -9.4105e-05-0j 0.000531249-0j -0.000827428-0j 0.000978035-0j -0.000399799-0j -0.00122844-0j -0.000351858-0j 7.68548e-05-0j -0.00215427-0j 0.00204384-0j -0.000670969-0j 0.000658679-0j -0.00139043-0j -0.00101178-0j -0.00122794-0j 0.000535728-0j -0.000706206-0j 0.000863078-0j -0.000819146-0j 0.000417491-0j -0.000941297-0j 0.000103223-0j -0.000481274-0j 
-0.00218967-0j -0.000468935-0j -0.0042988-0j -0.00189952-0j -0.0037528-0j 0.003949-0j -0.00324035-0j 0.00243658-0j -0.00572224-0j -0.00469387-0j 0.00645012-0j 0.00289169-0j 0.00301099-0j 0.00941862-0j -0.00979983-0j -0.000781861-0j 0.00164644-0j 0.00562311-0j -0.0015124-0j -0.00442185-0j 0.00372281-0j -0.00236708-0j -0.000339883-0j -0.000552708-0j -0.00270455-0j -0.00489722-0j -0.00324492-0j -0.0129465-0j 0.0002498-0j -0.00320707-0j 0.00480362-0j -0.00262612-0j 0.000544636-0j -0.000426031-0j 0.00240506-0j -0.00374593-0j 0.00442775-0j -0.00180997-0j -0.00556138-0j -0.00159293-0j 0.000347936-0j -0.00975278-0j 0.00925283-0j -0.0030376-0j 0.00298196-0j -0.00629476-0j -0.0045805-0j -0.00555909-0j 0.00242534-0j -0.00319713-0j 0.00390732-0j -0.00370843-0j 0.00189006-0j -0.00426143-0j 0.000467309-0j -0.00217882-0j 
-1.97762e-17-0j -4.23521e-18-0j -3.88249e-17-0j -1.71556e-17-0j -3.38936e-17-0j 3.56657e-17-0j -2.92654e-17-0j 2.20061e-17-0j -5.16808e-17-0j -4.2393e-17-0j 5.82547e-17-0j 2.61165e-17-0j 2.71939e-17-0j 8.50649e-17-0j -8.85078e-17-0j -7.06143e-18-0j 1.48699e-17-0j 5.07855e-17-0j -1.36593e-17-0j -3.99362e-17-0j 3.36228e-17-0j -2.13784e-17-0j -3.06968e-18-0j -4.99181e-18-0j -2.44263e-17-0j -4.42295e-17-0j -2.93067e-17-0j -1.16927e-16-0j 2.25608e-18-0j -2.89648e-17-0j 4.33842e-17-0j -2.3718e-17-0j 4.91891e-18-0j -3.84773e-18-0j 2.17215e-17-0j -3.38316e-17-0j 3.99895e-17-0j -1.63468e-17-0j -5.0228e-17-0j -1.43866e-17-0j 3.14241e-18-0j -8.80829e-17-0j 8.35676e-17-0j -2.74343e-17-0j 2.69318e-17-0j -5.68515e-17-0j -4.13691e-17-0j -5.02073e-17-0j 2.19046e-17-0j -2.88751e-17-0j 3.52892e-17-0j -3.34929e-17-0j 1.70702e-17-0j -3.84874e-17-0j 4.22053e-18-0j -1.96781e-17-0j 
-4.35023e-17-0j -9.31635e-18-0j -8.54045e-17-0j -3.77378e-17-0j -7.4557e-17-0j 7.8455e-17-0j -6.43762e-17-0j 4.84076e-17-0j -1.13684e-16-0j -9.32534e-17-0j 1.28145e-16-0j 5.74494e-17-0j 5.98194e-17-0j 1.8712e-16-0j -1.94694e-16-0j -1.55333e-17-0j 3.27099e-17-0j 1.11715e-16-0j -3.00468e-17-0j -8.78491e-17-0j 7.39612e-17-0j -4.70269e-17-0j -6.75247e-18-0j -1.09807e-17-0j -5.37313e-17-0j -9.72933e-17-0j -6.44669e-17-0j -2.57209e-16-0j 4.96278e-18-0j -6.3715e-17-0j 9.54337e-17-0j -5.21732e-17-0j 1.08203e-17-0j -8.46398e-18-0j 4.77815e-17-0j -7.44205e-17-0j 8.79663e-17-0j -3.59587e-17-0j -1.10488e-16-0j -3.16468e-17-0j 6.91247e-18-0j -1.93759e-16-0j 1.83826e-16-0j -6.03482e-17-0j 5.92428e-17-0j -1.25058e-16-0j -9.1001e-17-0j -1.10443e-16-0j 4.81844e-17-0j -6.35175e-17-0j 7.76269e-17-0j -7.36755e-17-0j 3.755e-17-0j -8.4662e-17-0j 9.28405e-18-0j -4.32867e-17-0j 
1.40033e-17-0j 2.99891e-18-0j 2.74915e-17-0j 1.21477e-17-0j 2.39997e-17-0j -2.52545e-17-0j 2.07225e-17-0j -1.55823e-17-0j 3.65946e-17-0j 3.0018e-17-0j -4.12495e-17-0j -1.84928e-17-0j -1.92557e-17-0j -6.02335e-17-0j 6.26714e-17-0j 5.00012e-18-0j -1.05292e-17-0j -3.59606e-17-0j 9.672e-18-0j 2.82784e-17-0j -2.38079e-17-0j 1.51378e-17-0j 2.1736e-18-0j 3.53465e-18-0j 1.7296e-17-0j 3.13185e-17-0j 2.07517e-17-0j 8.2795e-17-0j -1.59751e-18-0j 2.05097e-17-0j -3.07199e-17-0j 1.67944e-17-0j -3.48303e-18-0j 2.72453e-18-0j -1.53807e-17-0j 2.39558e-17-0j -2.83161e-17-0j 1.1575e-17-0j 3.55659e-17-0j 1.0187e-17-0j -2.22511e-18-0j 6.23705e-17-0j -5.91733e-17-0j 1.94259e-17-0j -1.90701e-17-0j 4.02559e-17-0j 2.9293e-17-0j 3.55512e-17-0j -1.55104e-17-0j 2.04461e-17-0j -2.49879e-17-0j 2.3716e-17-0j -1.20872e-17-0j 2.72525e-17-0j -2.98851e-18-0j 1.39339e-17-0j 
0.00345407-0j 0.000739715-0j 0.00678109-0j 0.00299637-0j 0.0059198-0j -0.00622931-0j 0.00511145-0j -0.00384355-0j 0.00902647-0j 0.00740429-0j -0.0101747-0j -0.00456146-0j -0.00474964-0j -0.0148573-0j 0.0154586-0j 0.00123334-0j -0.00259715-0j -0.0088701-0j 0.00238571-0j 0.0069752-0j -0.0058725-0j 0.00373392-0j 0.000536144-0j 0.000871862-0j 0.00426625-0j 0.00772506-0j 0.00511865-0j 0.0204223-0j -0.000394044-0j 0.00505895-0j -0.00757741-0j 0.00414254-0j -0.000859128-0j 0.000672037-0j -0.00379384-0j 0.00590896-0j -0.0069845-0j 0.00285511-0j 0.00877273-0j 0.00251275-0j -0.000548848-0j 0.0153844-0j -0.0145958-0j 0.00479163-0j -0.00470386-0j 0.00992959-0j 0.00722545-0j 0.00876912-0j -0.00382583-0j 0.00504327-0j -0.00616355-0j 0.00584981-0j -0.00298145-0j 0.00672213-0j -0.000737151-0j 0.00343695-0j 
2.14922e-16-0j 4.60272e-17-0j 4.21939e-16-0j 1.86442e-16-0j 3.68347e-16-0j -3.87605e-16-0j 3.18049e-16-0j -2.39156e-16-0j 5.61652e-16-0j 4.60716e-16-0j -6.33096e-16-0j -2.83827e-16-0j -2.95536e-16-0j -9.24462e-16-0j 9.61878e-16-0j 7.67417e-17-0j -1.61602e-16-0j -5.51923e-16-0j 1.48446e-16-0j 4.34016e-16-0j -3.65403e-16-0j 2.32335e-16-0j 3.33604e-17-0j 5.42497e-17-0j 2.65458e-16-0j 4.80675e-16-0j 3.18497e-16-0j 1.27074e-15-0j -2.45185e-17-0j 3.14782e-16-0j -4.71488e-16-0j 2.5776e-16-0j -5.34574e-17-0j 4.18161e-17-0j -2.36063e-16-0j 3.67672e-16-0j -4.34595e-16-0j 1.77653e-16-0j 5.45864e-16-0j 1.5635e-16-0j -3.41509e-17-0j 9.57261e-16-0j -9.08189e-16-0j 2.98149e-16-0j -2.92687e-16-0j 6.17847e-16-0j 4.49588e-16-0j 5.45639e-16-0j -2.38054e-16-0j 3.13806e-16-0j -3.83513e-16-0j 3.63992e-16-0j -1.85514e-16-0j 4.1827e-16-0j -4.58676e-17-0j 2.13857e-16-0j 
-0.0170395-0j -0.00364915-0j -0.0334523-0j -0.0147816-0j -0.0292034-0j 0.0307303-0j -0.0252157-0j 0.0189609-0j -0.0445292-0j -0.0365267-0j 0.0501934-0j 0.0225025-0j 0.0234308-0j 0.0732936-0j -0.0762601-0j -0.00608427-0j 0.0128122-0j 0.0437578-0j -0.0117691-0j -0.0344099-0j 0.0289701-0j -0.0184201-0j -0.00264489-0j -0.00430105-0j -0.0210462-0j -0.0381091-0j -0.0252512-0j -0.100747-0j 0.00194389-0j -0.0249567-0j 0.0373807-0j -0.0204359-0j 0.00423823-0j -0.00331528-0j 0.0187157-0j -0.02915-0j 0.0344558-0j -0.0140847-0j -0.0432775-0j -0.0123958-0j 0.00270756-0j -0.075894-0j 0.0720035-0j -0.023638-0j 0.023205-0j -0.0489844-0j -0.0356444-0j -0.0432596-0j 0.0188735-0j -0.0248793-0j 0.0304059-0j -0.0288582-0j 0.014708-0j -0.0331615-0j 0.0036365-0j -0.0169551-0j 
-0.0193898-0j -0.00415246-0j -0.0380663-0j -0.0168204-0j -0.0332314-0j 0.0349688-0j -0.0286936-0j 0.0215761-0j -0.050671-0j -0.0415647-0j 0.0571165-0j 0.0256062-0j 0.0266626-0j 0.0834028-0j -0.0867784-0j -0.00692346-0j 0.0145794-0j 0.0497932-0j -0.0133924-0j -0.0391559-0j 0.0329658-0j -0.0209607-0j -0.0030097-0j -0.00489428-0j -0.023949-0j -0.0433654-0j -0.0287341-0j -0.114643-0j 0.002212-0j -0.0283989-0j 0.0425365-0j -0.0232545-0j 0.0048228-0j -0.00377255-0j 0.0212971-0j -0.0331705-0j 0.0392082-0j -0.0160274-0j -0.0492466-0j -0.0141055-0j 0.00308101-0j -0.0863618-0j 0.0819347-0j -0.0268983-0j 0.0264056-0j -0.0557407-0j -0.0405608-0j -0.0492263-0j 0.0214767-0j -0.0283109-0j 0.0345997-0j -0.0328385-0j 0.0167367-0j -0.0377354-0j 0.00413807-0j -0.0192937-0j 
0.0129501-0j 0.00277337-0j 0.0254239-0j 0.0112341-0j 0.0221947-0j -0.0233551-0j 0.019164-0j -0.0144104-0j 0.0338424-0j 0.0277604-0j -0.0381472-0j -0.017102-0j -0.0178075-0j -0.0557035-0j 0.057958-0j 0.00462407-0j -0.00973734-0j -0.0332561-0j 0.00894459-0j 0.0261517-0j -0.0220174-0j 0.0139993-0j 0.00201013-0j 0.00326882-0j 0.0159952-0j 0.0289631-0j 0.0191911-0j 0.0765682-0j -0.00147736-0j 0.0189672-0j -0.0284095-0j 0.0155314-0j -0.00322108-0j 0.00251963-0j -0.014224-0j 0.0221541-0j -0.0261865-0j 0.0107045-0j 0.0328911-0j 0.00942088-0j -0.00205776-0j 0.0576798-0j -0.054723-0j 0.0179649-0j -0.0176359-0j 0.0372284-0j 0.0270899-0j 0.0328775-0j -0.0143439-0j 0.0189084-0j -0.0231086-0j 0.0219323-0j -0.0111782-0j 0.0252029-0j -0.00276375-0j 0.0128859-0j 
0.052668-0j 0.0112793-0j 0.103399-0j 0.045689-0j 0.0902658-0j -0.0949852-0j 0.07794-0j -0.0586068-0j 0.137637-0j 0.112902-0j -0.155144-0j -0.0695537-0j -0.0724231-0j -0.226546-0j 0.235715-0j 0.0188061-0j -0.0396017-0j -0.135252-0j 0.0363776-0j 0.106359-0j -0.0895445-0j 0.0569352-0j 0.00817519-0j 0.0132942-0j 0.0650523-0j 0.117793-0j 0.0780498-0j 0.311402-0j -0.00600842-0j 0.0771394-0j -0.115541-0j 0.0631659-0j -0.0131001-0j 0.0102473-0j -0.0578488-0j 0.0901005-0j -0.1065-0j 0.043535-0j 0.133768-0j 0.0383146-0j -0.0083689-0j 0.234583-0j -0.222558-0j 0.0730633-0j -0.071725-0j 0.151408-0j 0.110175-0j 0.133713-0j -0.0583367-0j 0.0769003-0j -0.0939825-0j 0.0891986-0j -0.0454616-0j 0.1025-0j -0.0112402-0j 0.052407-0j 
-8.98901e-16-0j -1.92507e-16-0j -1.76474e-15-0j -7.79787e-16-0j -1.54059e-15-0j 1.62114e-15-0j -1.33023e-15-0j 1.00026e-15-0j -2.34909e-15-0j -1.92692e-15-0j 2.6479e-15-0j 1.18709e-15-0j 1.23607e-15-0j 3.86652e-15-0j -4.02301e-15-0j -3.20969e-16-0j 6.75894e-16-0j 2.30839e-15-0j -6.20867e-16-0j -1.81525e-15-0j 1.52828e-15-0j -9.7173e-16-0j -1.39528e-16-0j -2.26897e-16-0j -1.11027e-15-0j -2.0104e-15-0j -1.3321e-15-0j -5.3148e-15-0j 1.02548e-16-0j -1.31656e-15-0j 1.97198e-15-0j -1.07807e-15-0j 2.23583e-16-0j -1.74894e-16-0j 9.87323e-16-0j -1.53777e-15-0j 1.81768e-15-0j -7.43025e-16-0j -2.28305e-15-0j -6.53927e-16-0j 1.42834e-16-0j -4.0037e-15-0j 3.79846e-15-0j -1.24699e-15-0j 1.22415e-15-0j -2.58412e-15-0j -1.88038e-15-0j -2.28211e-15-0j 9.95649e-16-0j -1.31248e-15-0j 1.60403e-15-0j -1.52238e-15-0j 7.75906e-16-0j -1.7494e-15-0j 1.91839e-16-0j -8.94446e-16-0j 
0.0129263-0j 0.00276826-0j 0.0253771-0j 0.0112134-0j 0.0221538-0j -0.0233121-0j 0.0191287-0j -0.0143838-0j 0.03378-0j 0.0277093-0j -0.0380769-0j -0.0170705-0j -0.0177747-0j -0.0556008-0j 0.0578512-0j 0.00461555-0j -0.0097194-0j -0.0331948-0j 0.00892812-0j 0.0261035-0j -0.0219768-0j 0.0139736-0j 0.00200643-0j 0.00326279-0j 0.0159657-0j 0.0289097-0j 0.0191557-0j 0.0764272-0j -0.00147464-0j 0.0189323-0j -0.0283572-0j 0.0155027-0j -0.00321514-0j 0.00251499-0j -0.0141978-0j 0.0221133-0j -0.0261383-0j 0.0106848-0j 0.0328305-0j 0.00940352-0j -0.00205397-0j 0.0575735-0j -0.0546222-0j 0.0179319-0j -0.0176034-0j 0.0371598-0j 0.02704-0j 0.0328169-0j -0.0143175-0j 0.0188736-0j -0.023066-0j 0.0218919-0j -0.0111576-0j 0.0251564-0j -0.00275866-0j 0.0128622-0j 
0.00473294-0j 0.00101359-0j 0.00929179-0j 0.00410577-0j 0.00811161-0j -0.0085357-0j 0.00700397-0j -0.00526662-0j 0.0123685-0j 0.0101457-0j -0.0139418-0j -0.00625035-0j -0.0065082-0j -0.0203582-0j 0.0211822-0j 0.00168998-0j -0.00355875-0j -0.0121543-0j 0.00326902-0j 0.00955776-0j -0.00804678-0j 0.0051164-0j 0.000734651-0j 0.00119467-0j 0.00584583-0j 0.0105853-0j 0.00701383-0j 0.0279837-0j -0.000539938-0j 0.00693202-0j -0.0103829-0j 0.00567631-0j -0.00117722-0j 0.000920859-0j -0.0051985-0j 0.00809675-0j -0.00957051-0j 0.00391221-0j 0.0120208-0j 0.00344309-0j -0.000752059-0j 0.0210805-0j -0.0199998-0j 0.00656573-0j -0.00644546-0j 0.013606-0j 0.00990067-0j 0.0120159-0j -0.00524234-0j 0.00691053-0j -0.0084456-0j 0.00801571-0j -0.00408534-0j 0.009211-0j -0.00101008-0j 0.00470948-0j 
