-0.0109713-0.0206953j -0.00315426+0.00879077j 0.0191433+0.0526492j 0.0454004-0.0190221j -0.0252265-0.000765836j -0.00971061-0.0105307j -0.0181145-0.024706j 0.00145836-0.0288619j 0.0272857-0.0357537j -0.0393211+0.00291597j -0.00257785+0.0269358j -0.0200367-0.0342724j 0.0618312+0.0306268j 0.128353+0.0430817j 0.0731504-0.0112471j 0.102057+0.10913j 0.0408697+0.0417208j -0.0223884-0.0841278j 0.0797322+0.0178547j 0.0769622-0.00883688j 0.0199875-0.0026572j -0.0174025+0.0718046j -0.131298+0.200772j 0.0438972-0.0619868j -0.015487+0.000278062j 0.0116864+0.0603054j -0.0028924+0.0555596j -0.053865-0.12682j 0.0986827+0.0157442j 0.0206139-0.0391161j -0.0860087+0.010764j 0.0224707-0.0582211j -0.149381+0.0801637j -0.0219682-0.0915136j 0.0123362+0.0145893j 0.0201641-0.0661474j -0.0795254+0.0206161j 0.0792141+0.0319008j 0.0960084+0.112648j 0.0349914+0.143281j 
0.0107322+0.0160225j -0.00790879+0.00248312j 0.0104347-0.0361724j 0.01373+0.00730457j -0.0239357+0.0283495j -0.0215441+0.0020916j 0.02136-0.0217802j 0.0426163+0.00124533j -0.100096+0.00334419j 0.00361128+0.00900005j 0.0118263+0.0398688j 0.0284899+0.0126613j -0.0366008-0.0716226j -0.013899+0.00392419j 0.0698596-0.0354388j -0.0094125-0.0225832j 0.0219312-0.0240812j 0.0669841+0.00519615j 0.0318843+0.0424336j -0.0856263-0.0204242j 0.036427+0.00797927j -0.0123262+0.0358347j -0.0267141+0.0394275j -0.0123691+0.0193639j 0.00716893+0.0260671j 0.0145486+0.0169621j -0.0194688-0.0266736j -0.0074405+0.0452882j -0.0658538-0.0106792j 0.0201987-0.0133106j -0.0332334-0.0201586j 0.0181509-0.00359705j -0.000632219-0.0335973j 0.00457425-0.0604973j -0.0144684-0.0154368j 0.0274506-0.000973321j 0.00235019+0.00858383j 0.0759724+0.0562423j -0.0423751-0.0656607j 0.02158-0.064273j 
-0.00590163+0.00546897j -0.00176534+0.00338658j 0.0200916+0.0130165j 0.00542524-0.0033131j -0.0248961+0.00276778j -0.0131913+0.018865j -0.0196724-0.0127854j 2.00161e-05-0.0109933j 0.0218931+0.0122949j -0.0157248+0.000812374j 0.0104051-0.0117886j -0.00695002-0.0140046j 0.00590215+0.00207515j 0.0166955-0.0221457j 0.024966+0.00653548j 0.031971+0.00619248j 0.0163906+0.0129434j -0.0151406-0.0196152j 0.00850069-0.0299312j 0.0166303-0.0123568j 0.0172287+0.0194578j -0.0111678+0.0179635j -0.0319945+0.0337506j -0.00111106-0.0177566j 0.0156537+0.0206682j 0.0621687+0.00508225j 0.0302762+0.0321073j -0.0249781-0.020792j 0.0526387+0.000721125j 0.0194541+0.00442949j -0.0481251-0.0243247j 0.00330825+0.00121029j -0.0350198+0.0134928j 0.0235379-0.0360937j 0.00101127+0.0302817j -0.00189213+0.012089j -0.0294477-0.0329295j 0.0285583+0.000251588j 0.0131628+0.044075j -0.0183923+0.0155884j 
0.00998624-0.0317064j -0.0026032-0.00357306j -0.00535584+0.0709636j 0.0456483+0.020132j -0.0186522+0.0152262j -0.0079593-0.00732425j -0.00691271-0.0189195j 0.000446856-0.043534j -0.00552399-0.0489854j 0.0106094-0.0126821j 0.00862475-0.0120265j 0.0202887-0.0305265j 0.0350919+0.00522608j 0.0582968-0.0174125j 0.0180038-0.0118885j 0.00243356+0.0438287j 0.0105432-0.00381619j -0.00524167-0.0104826j -0.0320741+0.0350881j -0.000698564+0.031228j -0.0100445+0.00475626j 0.0137489+0.0204618j -0.0633879+0.0529901j -0.00894032+0.000995927j 0.0209155-0.0209548j 0.0340692-0.0189524j 0.00485614+0.00864164j -0.0366811-0.0294456j -0.0451138+0.0221959j 0.0142569-0.0392832j -0.00474849-0.031222j 0.00359518-0.0306806j -0.00397509+0.0533052j -0.00620076-0.0616826j -0.0165095-0.0120903j 0.0216207-0.0170529j -0.0033878+0.0140079j 0.0631771+0.0415485j -0.000974528+0.000733621j 0.0172489-0.0288935j 
-0.0115374+0.00250895j -0.0575617+0.00656924j 0.00628439+0.00815918j -0.000677008-0.00728741j 0.00223029-0.00995522j 3.00688e-05+0.0135649j 0.0110169+0.0100775j -0.0122832-0.0163003j -0.00628403+0.00349499j 0.00915703-0.000562672j 0.00931172-0.0103949j 0.00788407+0.00714932j -0.00852036-0.000464147j -0.00984265-0.00930796j -0.0169194-0.00313202j -0.0103417-0.0106548j 0.000143544+0.00499092j 0.0038182+0.0248818j -0.024124-0.00793639j -0.0227448+0.0194313j -0.0166203-0.0189928j -0.0166652-0.0295882j 0.028951-0.0307081j 0.0420915-0.0214422j 0.000185191-0.0345992j 0.0155423+0.00975874j 0.0332004-0.000133436j -0.00910724+0.0463927j -0.0148255-0.00936187j -0.0235815+0.00740447j -0.00214117-0.00845727j -0.0146402-0.0246399j 0.00210258+0.0151745j 0.0481722-0.000100789j 0.00750395+0.0382745j 0.017833+0.00586464j -0.00382067-0.0065226j 0.0275311+0.0295307j -0.0197941-0.0170816j -0.0184044-0.0350042j 
-0.011341+0.0040557j -0.0146437+0.00337451j -0.00772921-0.0122628j -0.0219867-0.044201j 0.00610536-0.0158926j 0.00939474-0.0036475j -0.0114513-0.00574801j -0.00560425+0.02783j 0.0324168+0.00476258j -0.0110231-0.00355949j -0.0173669-0.00568683j -0.0593435+0.0190139j 0.00303599+0.0262392j 0.0102172-0.00357861j -0.0399176+0.00357767j -0.00196404+0.00416305j -0.0126452+0.00488262j -0.0305304-0.0162226j 0.0232722-0.0202245j 0.0485929+0.000500258j -0.0143311-0.027313j -0.00416202-0.011884j 0.0179484-0.0181156j 0.0146468+0.000585084j 0.0112229-0.0140889j -0.0155611+0.0194409j 0.00528408-0.0300792j 0.0463445-0.0369471j 0.0635141-0.00882084j 0.00987203+0.00461189j 0.0137773-0.0247376j 0.0280426-0.00783198j -0.0111193-0.00473581j -0.0315729+0.0343173j 0.015597+0.00236631j -0.0120314-0.0343856j -0.0122364-0.00641455j -0.0371013-0.0322888j 0.0338552+0.0452672j 0.0302596+0.0727003j 
0.0148796+0.0179811j 0.00486792+0.00325925j -0.0201058+0.0141163j 0.00277638-0.00594607j -0.00747759+0.0119174j -0.00992124+0.00442691j 0.00275053-0.00608407j 0.0215891-0.0169592j -0.0182963-0.0184788j -0.000253631+0.00274205j -0.00590591+0.0108282j 0.00698831+0.00440857j 0.0123838-0.0154862j 0.0160311+0.0220382j 0.0130931-0.0120963j 0.0153008-0.00102541j 0.00774528+0.00129236j 0.0169584-0.00776215j -0.014017-0.00535803j -0.0128111-0.0124378j -0.000933662-0.00150423j 0.00646765+0.00336728j -0.0189134+0.0185234j 0.0104459-0.00391831j -0.0144064-0.0138142j -0.0149897+0.00384074j -0.00156585+0.0103462j -0.047636+0.00606237j -0.0230579+0.0115111j -0.0268518-0.0109196j -0.0020127+0.025838j -0.0334317-0.00298466j -0.00696374+0.0170791j 0.0347974-0.0182685j 0.00799548+0.00523585j 0.018832+0.0193097j -0.00568773+0.00148456j 0.00977589-0.00573633j -0.0130674-0.000198932j -0.0384469-0.00684427j 
0.00995874-0.00494014j -0.00279713-0.00620657j 0.00816418+0.00387365j 0.00989329-0.0138653j 0.0110523+0.0229615j 0.00704732+0.000467477j -0.0119212-7.13585e-05j -0.0237111-0.00624549j -0.00223129+0.0212114j -0.00803564+0.00720056j -0.0169125+0.0108695j -0.0151767-0.0187486j 0.00435462+0.0128317j 0.0191685-0.00925499j 0.0228589-0.0132921j -0.0153188+0.0253456j -0.00452662+0.00480022j 0.00624472-0.00157635j 0.0289808+0.0506059j 0.00958173+0.0363575j -0.00658542-0.00472686j 0.0225703+0.023292j -0.0169651+0.0218609j -0.0227372-0.00912094j -0.00544916+0.021284j -0.000875585+0.015828j 0.000725935+0.00709326j 0.0340914-0.0188188j 0.0233391-0.00938893j 0.0284922-0.00186537j -0.0248466-0.0136611j 0.0496171+0.00415914j -0.0382364+0.00897401j -0.0223712-0.0130336j 0.00123414-0.00980136j -0.00939767-0.0294143j -0.0313522+0.00523549j 0.0246252+0.0324833j 0.0361547-0.0387013j 0.0452321+0.00717171j 
0.0026524+0.000963705j 0.00322965+0.00970095j 0.0195236-0.00507804j -0.00283879-0.0246056j 0.0158234-0.0312117j -0.0220523+0.00620943j 0.00588191+0.0141395j -0.0159004-0.000705919j 0.00343727+0.0205439j -0.000545103-0.0023349j -0.00204762-0.0110303j -0.0205402+0.0184563j -0.0123369+0.0292202j -0.0117281-0.0322985j -0.0125187-0.0108718j -0.00563293-0.00184998j -0.00614371+0.00132677j 0.00413472-0.0059282j 0.00972696+0.00873474j 0.00529199+0.0244368j 0.00337027+0.00530473j -0.00920514+0.000435768j 0.0383895-0.0186497j 0.0180024+0.0198424j -0.00777465-0.0115975j -0.00566242+0.00704751j -0.00983704+0.00377379j 0.0283225-0.0275251j -0.0100685+0.00432805j 0.0240233-0.00240563j 0.0163695-0.0355928j 0.0210233-0.010784j -0.0051938-0.0173843j 0.0038708-0.0231784j 0.0243358+0.0238522j -0.00751085+0.00964623j -0.0233339-0.0025891j -0.00794867-0.00937467j 0.021105-0.0504465j 0.0308358+0.0311549j 
0.00122197-0.00664878j -0.00816597+0.00321255j -0.011009-0.000821971j -0.016197+0.0112069j 0.00198676+0.00118782j -0.00817987+0.0290849j 0.0183547-0.0067353j -0.00771452-0.00562379j 0.0108351-0.0137449j 0.00145523+0.00387739j 0.000425168+0.0168428j 0.000758968-0.0163157j -0.00206708-0.00326674j 0.00254894+0.0135044j -0.0107494+0.0163931j -0.0187873-0.0151788j -0.00242376+0.000210103j 0.0115248+0.00562917j 0.00526967+0.0163013j -0.00412909-0.0154481j -0.00321515+0.0136637j 0.0320807+0.0271459j -0.00152108-0.00304123j 0.00983095+0.0188948j -0.0511238+0.0241461j 0.0402703-0.0159668j 0.0169381+0.0104979j -0.0270896+0.0141886j 0.0232256+0.0124406j 0.0235542-0.0117846j 0.00511242-0.0173532j 0.00504304+0.00338476j -0.0316459+0.0373167j -0.00599146-0.0184187j 0.00547077+0.023849j -0.0351744+0.0559012j 0.00382404-0.0350268j 0.0141915-0.00816401j 0.012715+0.0160081j -0.0140429-0.0111416j 
0.0055876-0.0122556j 0.00473762+0.000931083j -0.0123699+0.0215648j 0.0285348-0.00232067j -0.00177682+0.00180034j -0.00802857-0.0118683j 0.00503833+0.00537853j 0.001496-0.0224843j 0.00480916-0.0254604j 0.00792985+0.00582911j -0.00364452+0.00486011j 0.0306105-0.016303j 0.0329324-0.0116826j 0.0328006-0.00367717j -0.00335833+0.0285894j -0.0145121-0.0295524j -0.00324282+0.00475674j -0.0131109-0.00246367j -0.0198768-0.0127439j -0.00773867-0.033305j -0.0409872-0.0223766j 0.0288157+0.0163885j -0.0311684+0.00449039j -0.0333567+0.00792609j 0.0377467+0.00784664j 0.0139204+0.0184926j -0.0159455+0.00867916j -0.0295053+0.0112329j -0.0158068+0.0177345j -0.0374751+0.000673985j 0.0202726+0.00651265j -0.0190642+0.00586606j 0.0194042-0.0227493j 0.0208331-0.0314654j 0.00763965-0.00198051j 0.0276856+0.0144161j 0.00287449+0.0117207j 0.00682869-0.0408219j -0.0222872-0.00541867j -0.0355406-0.0451255j 
-0.0152734+0.00680178j 0.00754578+0.00883019j 0.0106593-0.0259947j 0.010361+0.00361594j -0.00124036-0.00055723j 0.00093622+0.0123977j 0.00100896+0.00359696j -0.00508922-0.0189698j -0.00750237+0.0160472j -0.00328872+0.01401j -0.0172564+0.00234101j -0.0111596+0.033465j 0.0150643-0.00906456j -0.00153702-0.0151445j -0.00745977-0.0134294j -0.00142863-0.00187563j -0.0147953-0.00549334j -0.0194855-0.0113867j -0.00878918-0.0199316j 0.00721306+0.0236498j -0.0202004-0.004074j 0.0260282-0.010926j -0.00634483+0.00026133j -0.0144413+0.0135539j -0.0109725+0.0237757j 0.0079469-0.00714393j 0.0289619-0.030433j 0.00889717+0.00643127j -0.0188877+0.00928226j 0.0115077+0.0188309j -0.00745578-0.0169498j 0.0134396+0.0118775j 0.0230642-0.00610651j 0.013593-0.00671665j 0.000219547-0.0117974j 0.000928563+0.0150242j 0.028123-0.0219974j 0.00688476+0.0307391j -0.0155564+0.00266449j 0.00095234-0.00749826j 
0.00531346-0.027766j 0.00324803-0.00525152j 0.00602938-0.00585413j -0.00165098+0.000571348j -0.00742296+0.000107418j -0.00305529+0.000953516j -0.0121143-0.000672649j 0.00380731+0.00236713j 0.0218332+0.00195283j -0.00709339-0.00157155j -0.0159778-0.00521115j -0.0177224-0.0102608j 0.0177107+0.011491j 0.001914-0.00942332j -0.00990692+0.0036406j 0.00680708+0.0202183j -0.00244959+0.00504311j -0.0092896-0.0137818j -0.000432289-0.0112264j 0.0156266+0.00911339j 0.0181925+0.00739232j -0.00383464+0.0109156j -0.00714116+0.00322805j -0.0133552+0.0136461j 0.013335+0.0122469j 0.00316028-0.00479264j -0.00518494-0.00350133j 0.00240883-0.0191442j 0.012405+0.0188101j -0.00108806+0.0176369j 0.00130576+0.0214449j -0.0248217+0.0173779j -0.00755452+0.0099075j -0.00409688+0.0144818j 0.00262412-0.00745231j -0.00874743+0.0159038j 0.00610293-0.000391732j -0.0144948-0.00617806j 0.012359+0.00803674j 0.0088883+0.034325j 
0.0120478+0.0161605j -0.0138735-0.0129836j -0.00125151-0.00458361j -0.00168681+0.0283614j 0.0116675+0.0187624j -0.00217464+0.00178828j -0.00560149+0.0191543j 0.0238755-0.0146026j -0.00213131-0.00936174j -0.00399346+0.000211114j -0.000232533+0.0220583j 0.0063774+0.00496365j -0.00583282-0.0235324j -0.00232319+0.0183747j 0.00899217-0.00861913j 0.0142157-0.00995073j 0.0159362+0.0018142j 0.0139326-0.00251866j -0.0109043-0.00849463j -0.00713971-0.00958412j -0.00422959+0.00582086j 0.0307752-0.0169519j -0.0280379+0.0161934j -0.0196754+0.00389189j -0.0244698-0.00183254j -0.000702988-0.00495358j 0.0179493+0.0159812j -0.0241758+0.0086287j -0.0104609+0.0186091j -0.00810128-0.00585001j -0.0122156-0.0133703j 0.0274148+0.000209077j 0.000660781+0.0114946j 0.0185217-0.0180194j 0.0138502+0.00342899j -0.0112462-5.33402e-05j -0.000175994-0.0138456j 0.0340594-0.0101477j -0.0137638+0.00977842j 0.00403544+0.00282973j 
0.00791507-0.010427j -0.0195624+0.00868564j 8.27772e-05+0.0217809j 0.0146065-0.00381657j -0.00345615-0.00236355j 4.01105e-05-0.00594605j 0.00533954+0.00062477j -0.000857815-0.0132844j -0.00271882-0.0243777j -0.0187217+0.013646j 0.0198031-0.0178621j 0.00333058+0.00046378j 0.0196649-0.00234509j 0.00578699+0.00276253j 0.00218298+0.0278842j -0.00638813+0.0109487j -0.0133626-0.0161194j -0.00163588-0.00693182j -0.0215203-0.0119269j 0.000780901-0.000590232j -0.0136509-0.00665738j -0.0122164-0.00649306j -0.00248979+0.0143357j 0.0149914-0.00313425j 0.0273257-0.0154534j 0.00133491+0.000852852j 0.010716+0.00680671j -0.00342678+0.00435334j -0.0106798-0.0116514j 0.00387986+0.0186202j -0.00620238+0.00928266j -0.0176826-0.00231076j 0.000413544+0.0188161j 0.00321004+0.00358426j -0.0105078+0.00567322j 0.0267779-0.025424j -0.0146268+0.00982058j 0.0130043-0.00346922j -0.0192572+0.013527j -0.0057283-0.0183584j 
0.00970058+0.00791764j 0.0095602+0.00684333j 0.00376598+0.0157308j -0.00810531+0.00203105j 0.00367174-0.00490685j 0.00496419+0.0036369j 0.00544855+0.00168784j -0.0116216+0.00740711j 0.00954568-0.000824839j 0.00832532+0.0167569j -0.00515943-0.0208554j 0.00927095-0.00320479j -0.000686789-0.0151852j 0.0110934+0.0160606j 0.0291529-0.00794343j 0.00232512-0.00015326j -0.0237006+0.00739357j 0.00629763-0.0113041j -0.00386266+0.0155928j 0.00636331-0.00705679j 0.00761381-0.0162971j 0.0121567+0.00509436j -0.0071086+0.00431979j -0.0115684-0.00488609j 0.00217638+0.0123622j -0.00150663-0.0146376j 0.0084013-0.00944575j 0.00315067-0.0111436j -0.00755869+0.00442296j -0.00238391+0.00883274j -0.000778765+0.0107161j 0.003673+0.00719348j -0.0102767-0.000276371j -0.0143648+0.0130753j 0.00773588-0.0162813j -0.0170456-0.000587185j 0.0211224-0.00491246j -0.00789438+0.00278249j -0.0010977+0.00558845j 0.0114822-0.00301947j 
