-0.308899+0.0631973j 0.0214823+0.263886j -0.105755-0.0666311j -0.00613671-0.0124123j 0.15963+0.162926j -0.00291113-0.0696852j 0.0124168+0.175461j 0.211723-0.0585411j 0.252603-0.0718424j -0.0401906-0.0204997j 0.0784422-0.185031j 0.248585+0.044247j -0.0414502+0.0115887j 0.270503-0.0233313j 0.0197109+0.350908j 0.0646195+0.179104j -0.0351156-0.195122j -0.0994998-0.0880475j -0.0119081-0.0074584j -0.04184+0.000538227j -0.0140531+0.101234j 0.102316-0.0533112j 0.0418252-0.0237103j 0.0152705-0.0353966j 0.0554392-0.0518779j -0.0240515-0.0501472j -0.0089209+0.00528987j -0.0731255+0.015507j -0.0549274+0.0142594j -0.0731919-0.003762j 0.0445972-0.0284184j -0.117803+0.0942253j 0.0967322+0.0861154j 0.0431235-0.14299j 
0.0541664+0.000195121j 0.0377782-0.0489076j 0.0404075-0.0135482j -0.00910733-0.00654734j -0.0281634-0.0307671j 0.042674-0.010791j -0.0172572-0.00934725j 0.0254794-0.00967309j -0.000153868-0.0201563j -0.0244558+0.0272545j 0.083602-0.0190092j -0.026271+0.0463503j -0.00351099+0.00484357j 0.0157268-0.0139276j 0.0113491+0.0130839j 0.00490841-0.0186827j -0.00885018-0.0222727j 0.0022591-0.0493684j -0.021956-0.0516706j 0.0374203-0.0338429j 0.0823604-0.0394133j -0.093475+0.0147263j -0.0197482+0.0446283j -0.0426979-0.00258918j 0.0402796+0.0518495j 0.0376982+0.00549462j -0.0260022-0.0178908j -0.0211598+0.038668j 0.0230941+0.0902772j 0.0225581-0.0136246j -0.0327968+0.0120633j 0.0952963-0.0801607j -0.0207195-0.0471716j -0.0065392+0.0400508j 
-0.00226761-0.01152j 0.00969755+0.00291037j -0.00974169-0.00603596j 0.00261466-0.00740025j -0.0216919+0.0199251j -0.000908014-0.00640378j 0.0144566-0.00704123j -0.00667048+0.0170488j 0.00671132+0.0152332j 0.00501439-0.00679894j 0.039577-0.0259187j 0.0306468-0.0175658j -0.0314272+0.00326886j -0.00865016+0.00223902j 0.00635513+0.0146802j -8.84273e-06+0.00844482j -0.0201247-0.0127439j -0.027811+0.0122636j 0.0147482-0.00182282j 0.000379536-0.0220349j 0.0269914-0.0247648j 0.012426+0.0224796j -7.73052e-06+0.0249402j -0.00369046+0.030021j 0.0223865+0.0175206j -0.0140818+0.0174733j -0.0156899-0.050336j -0.00565214-0.00725935j 0.0125876+0.0198497j 0.0164237-0.0109425j -0.0166867+0.0205929j 0.010562+0.0429041j 0.00921841+0.00297563j -0.00248422-0.0686122j 
-0.00622093+0.00876389j 0.0332706+0.0071475j 0.00848578+0.0087174j 0.0120747+0.00960366j -0.0210488+0.0235455j 0.0189196-0.00839871j -0.0291447+0.0024853j 0.0216528-0.0139078j 0.013999-0.0128824j -0.0122888-0.001333j 0.00141855+0.00866927j -0.0100287-0.00376601j -0.0024866+0.0240995j -0.00698694+0.0543302j 0.00803445+0.00726362j -0.0294269+0.00015267j -0.0182056+0.0295728j -0.0514277+0.0222152j -0.00322605-0.0162085j -0.0159767+0.0120128j -0.0163307-0.0021134j 0.054601-0.0107232j -0.0113553+0.0192927j -0.0432111-0.0062148j -0.0220185-0.00230521j -0.00511721-0.0271669j 0.00831474-0.0163101j 0.0181853-0.0477204j 0.0188518-0.0207625j 0.0536245+0.0363387j -0.0213333-0.0142232j 0.0109711-0.000386016j 0.00222652-0.0292517j -0.0192535-0.00281502j 
0.0446452+0.0373351j 0.0134076-0.0219221j 0.0180231-0.000384199j 0.00812264-0.0317004j -0.0326585-0.00760231j 0.0334443+0.0137094j -0.00173684+0.0103107j -0.000796684+0.0109864j -0.00896654-0.000807696j -0.0143821+0.0129826j 0.0862637+0.0158247j 0.00260759+0.0133869j -0.0193366+0.00894242j -0.0513003+0.0131915j -0.0139335-0.0245255j 0.00175424+0.00241333j -0.00265711+0.000960967j -0.0460773+0.0329102j 0.0190152-0.0379787j -0.0271185-0.0129751j -0.00380517-0.0399639j 0.00407862+0.00937052j -0.0367751-0.0340922j -0.0342445-0.00015791j 0.0256612-0.0320067j 0.00139754-0.0405153j -0.0344537-0.000248465j -0.0130351+0.0504551j 0.032039+0.0325663j 0.0470689-0.0189262j -0.0202642+0.00269518j 0.0328416+0.0138741j 0.00730662-0.0102729j -0.00605571+0.010294j 
0.00659286+0.00292785j -0.0184573+0.00143942j 0.00378504-0.00803759j -0.00562101+0.0111298j 0.0215772-0.00580124j 0.00634694+0.00266785j -0.00365163-0.00602465j 0.014485-0.0057491j 0.0164425-0.00635003j 0.0023956-0.0155755j 0.0040524-0.0236968j -0.00373661+0.00774749j 0.013941-0.00493814j -0.0037517-0.0182698j 0.00969273-0.00623916j -0.00604919-0.01089j 0.0109017-0.00894192j 0.00470463-0.0065238j -0.00161937-0.00158624j -0.00096113-0.00759975j 0.0147438-0.0266713j 0.00140089+0.0328168j 0.0124907+0.0136651j -0.000158707+0.0020208j -0.00853338+0.0506053j 0.00146797+0.0384606j 0.00298667-0.000932779j 0.00595552-0.0278207j 0.0178722+0.000725533j -0.00379751-0.0058783j 0.00224116+0.0081408j -0.00491451+0.0252894j -0.00744274+0.00651181j -0.0184454-0.0256745j 
0.0061347-0.000977177j 0.00680829-0.00714544j 0.0147986+0.0438045j -0.0217604+0.0192474j -0.0067046+0.00598998j -0.0100583-0.0180588j 0.00222949+0.00903985j 0.0189849-0.00195214j 0.000211261+0.00967786j -0.00889242+0.0100283j 0.0189207-0.00109774j 0.00154018+0.0112299j -0.00970492-0.00506332j -0.0146521-0.00388429j -0.00525671-0.00771048j -0.00105612+4.56955e-05j -0.006067-0.00231117j -0.0116229+0.00755578j 0.00732025-0.00990197j -0.00429097-0.00796684j 0.00264045-0.0143629j 0.000571541+0.0144815j -0.00689932-0.00534432j -0.0123562+0.00476703j 0.0125573+0.000829164j -0.000793203+0.00118994j -0.00484638-0.00790756j -0.0025637+0.00709598j 0.0113844+0.00955262j 0.0110196-0.00851408j -0.00327885+0.0010947j 0.0065044+0.0107428j 0.00395584-0.000854535j -0.0046905-0.0067308j 
0.00303622-0.000408512j -0.0111568+0.00518971j -0.0151581+0.0156925j -0.0138066-0.00560589j -0.00840905-0.0336246j 0.00905126+0.00799288j -0.0103735+0.0124967j 0.00519167+0.0078228j -0.00548965+0.000928979j 0.0139756-0.0140381j 0.00330741+0.0451324j 0.00649765+0.0180315j -0.00729984-0.00819688j -0.0176268-0.0284716j 0.00264193+0.00413735j -0.00679748-0.0145848j -0.0130339+0.0074282j -0.0427529-0.0224282j 0.02281+0.00591724j -0.0142211+0.0153338j 0.0111926+0.0234207j -0.0111555-0.0223542j -0.0028483+0.00990456j -0.0261271+0.0110093j 0.0396729-0.00526856j 0.0748505+0.00755589j 0.00993636+0.00434977j -0.0221299+0.00435827j -0.0214201+0.00352681j -0.0460458+0.0125679j 0.0122714-0.00149497j -0.00692885+0.0148333j -0.0138333+0.0255525j -0.00556771+0.00461948j 
-0.00846333+0.00752472j 0.00957648-0.00580886j 0.00700543+0.006984j -0.000356026+0.00156361j -0.00132933+0.0151197j 0.00431524-0.00249575j -0.000320942+0.0140976j 0.00987138-0.00193832j 0.00167156+0.0119069j -0.000787744+0.0249194j 0.000713614-0.00396754j 0.0136453+0.00606082j -0.00135589-0.0129108j -0.0171528-0.000587223j -0.00560637-0.00617207j 0.00159855+0.0029818j 0.00730353+0.00958171j -0.00303339-0.0015345j 0.0238041+0.0126773j 0.00412759+0.0072311j 0.0136803+0.00996302j -0.00758133+0.0100554j 0.0050792+0.000648811j 0.0112693+0.034792j -0.0152997-0.0274196j -0.00314771-0.0254773j -0.00780311-0.0177684j 0.00909911+0.0150249j 0.0126732+0.0144478j 0.0184805+0.0136486j 0.000975922-0.00332212j 0.0192513-0.0248919j 0.0115409+0.00289511j -0.00566245-0.0100029j 
-0.0157409+0.00695436j -0.0124195+0.0241401j -0.0130355-0.00805139j 0.0107637-0.000344972j 0.00733454+0.0136609j 0.00155421+0.00541138j 0.00122473+0.00564203j 0.0022395+0.00119975j 0.0114385-0.0023927j 0.00430203-0.0205576j -0.0156984+0.00844869j 0.000475831-0.00276829j -0.00671425+0.0115684j 0.00595431+0.035535j 0.011316-0.000613027j 0.0041932-0.00747357j -0.000965955-0.00569503j 0.00487934+0.0293641j -0.00505895+0.0229018j 0.00628545+0.00654861j 0.00688951+0.0196703j 0.00273249-0.0233757j 0.00920019-0.00879252j 0.0118906-0.00295866j -0.0028266-0.0562079j -0.00605261-0.0769222j 0.00327877+0.0057692j 0.00283783+0.0221165j -0.00834651+0.00265495j -0.00633757+0.0463198j -0.000207263-0.0139252j -0.0155447-0.0125167j -0.00230055+0.0248358j 0.0100308-0.00784477j 
-0.0153627+0.010807j 0.0276938+0.0134552j 0.00731168+0.00731669j 0.00620105+0.00296657j -0.0199224+0.0384389j 0.00582871-0.00906608j -0.0169674-0.00548413j 0.00160589-0.00164731j -0.00646707-0.00764086j -0.0115224+0.00840799j 0.0115558-0.00975863j 0.0165048-0.0151256j 0.0131825+0.00421379j -0.0152669+0.036146j 0.00435306+0.00704569j -0.0325663+0.0054155j -0.0349968+0.0149826j -0.0160071+0.00201362j 0.0416958+0.0211309j -0.0175606+0.0107364j -0.0236452-0.0211434j -0.004543+0.0189133j -0.0139869-0.000316995j -0.0485188-0.0121646j -0.0287192-0.0218146j 0.0344423+0.0266206j -0.0154111-0.0106882j 0.00441795-0.0329441j -0.0238933-0.0241419j 0.000943715+0.064457j 0.0121861-0.00818264j -0.000373936-0.0347196j 0.0206274-0.0478184j 0.000304331-0.00659297j 
-0.00468916-0.0123809j -0.0150667+0.00504005j 0.000215023+0.00460907j -0.000557927+0.0246341j 0.00860232-0.00726707j -0.00836054+0.012316j -0.00933913-0.014056j 0.00270303+0.000714172j -0.00979204-0.0228342j 0.00875603-0.0213618j -0.00298458-0.000946126j 0.00365976+0.00794606j 0.00300691-0.013868j -0.0191567-0.0207017j 0.00990161-0.00724843j -0.017696+0.0194554j -0.00283961+0.0220453j -0.0165644-0.0264824j -0.0234902-0.00527969j 0.0287137+0.0150602j -0.0262328-0.000772047j -0.0367396+0.00207958j 0.0155251+0.0229308j 0.0484179+0.0329426j -0.037664+0.00317447j -0.000432688+0.0267399j -0.0323808-0.0142616j 0.010963-0.0226653j -0.00505111-0.0191874j 0.00687592+0.0528506j 0.0187815+0.00995188j -0.00102768+0.00690832j -0.00851456+0.00514118j 0.000306077+0.0081107j 
0.0137052-0.00461467j 0.012955+0.0195989j 0.0182747-0.00945591j -0.00423863+0.00115283j -0.0385705+0.00204116j 0.0149238+0.0098946j -0.00412351-0.0111905j 0.00538653+0.00289859j 0.00424208-0.00130965j -0.0108003+0.0147707j 0.0273074+0.00171538j 0.00869163-0.0228138j -0.004836+0.00227549j -0.00750516-0.00759389j -0.0113143-0.00265077j -0.0136195+0.0064043j -0.00296202-4.56974e-05j -0.0308086+0.0113849j 0.00809254-0.0325059j 0.0100495-0.0118335j 0.0383224-0.0261221j -0.0272655+0.0319303j 0.00458124+0.00641608j -0.00115023+0.0237704j 0.0153875+0.00132571j 0.0139644-0.0139212j -0.000420125-0.0129527j -0.00388375+0.0142472j 0.008068+0.0273033j 0.00620736-0.000249245j 0.000254683+8.5426e-06j 0.0132226+0.018851j 0.0205062+0.0110678j -0.00935215-0.0106334j 
-0.00288456-0.00390444j -0.00995343-0.00548843j 0.00292815+0.00276464j -0.0030517-0.0013651j -0.00555138+0.0101684j 0.0022625-0.000513564j 0.0120107-0.0152811j 0.000777277-0.0175065j 0.0060642-0.0142885j -0.00631447-0.0208106j 0.00732546-0.0139092j -0.0119615+0.011894j -0.0152392-0.0115656j 0.00727598+0.0192305j 0.00800521+0.00690241j 0.0078994+0.00109218j -0.0152784+0.0184287j 0.0103247+0.00239186j 0.0106652-0.00514544j 0.0118302-0.0143093j 0.00210812-0.0193965j 0.0111004-0.00337594j -0.00321543+0.00171727j -0.00841743-0.00558861j 0.00715161-0.0086337j 0.00951279-0.000117388j 0.00435194+0.00171518j 0.0118242-0.00713192j -0.0205168-0.0242563j 0.0151568+0.00833324j 0.0099014-0.0204976j -0.0017978-0.0021115j -0.0127665-0.00747097j -0.000232781-0.00455248j 
-0.0217177-0.00175494j -0.00859621+0.00827609j -0.0104816+0.00502818j -0.00937043-0.000400098j -0.0169592+0.0163352j 0.000537875-0.00322604j 0.00980333-0.000172818j 0.000922655-0.00113166j -0.00655224-0.0148957j -0.000850695-0.000772161j -0.00439744+0.000329809j 0.0189125+0.00209079j -0.0148534-0.0167665j 0.00541745+0.00285307j -0.0128+0.0118311j 0.0215791-0.0093905j -0.00826465+0.00947272j -0.00439953+0.00276429j 0.00140551-0.000601961j 0.00711267-0.0165734j 0.0141597-0.00556439j 0.0521964-0.0148267j 0.0116486+0.0196405j 0.00841663+0.0139566j 0.0152389+0.00450326j -0.014838-0.00121108j 0.034483-0.00626807j 0.0200154+0.0177964j -0.0106446+0.00629428j 0.0114962-0.00240708j 0.0222261-0.0179763j -0.00727573+0.00370319j 0.0122985+0.00634684j 0.00110011-0.0209881j 
-0.0132251-0.00840973j -0.00393239-0.0084376j -0.00980259+0.00203319j 0.0103292-0.0161302j -0.0163961-0.018546j -0.00640091+0.00357394j -0.0137198-0.00126382j -0.0129879-0.0138515j -0.00193097+0.00300489j -0.00251362-0.0151844j -0.0063657+0.00360354j -0.00290722-0.000342282j 0.00907344+0.0049425j 0.00111549+0.000121965j 0.0048288+0.0013236j -0.00740094+0.0051813j 0.00727603-0.0198141j -0.0203696-0.00303162j -0.0045643-0.0137347j -0.0106796+0.0144371j -0.0129516-0.00813014j -0.0170596+0.00564824j -0.00228925-0.00567334j 0.0121364+0.013486j -0.0189346-0.00208658j -0.021313-0.000825453j -0.0420116+0.00319477j -0.0265751-0.00324493j -0.00478349+0.00993792j -0.0103231+0.00400639j -0.00793841+0.0199136j -0.000779737-0.00444049j 0.00342677+0.00389579j 0.00159904+0.00314046j 
-0.00133511+0.00987754j -0.00194654+0.0339517j -0.000854919-0.0183692j -0.00139148-0.0173905j 0.00766716+0.0135462j 0.00741949+0.000852116j -0.00062782+0.0147119j 0.00643418-0.00765126j 0.0273045+0.0268026j -0.00864507+0.00681974j -0.0010505-0.0137864j 0.00992618-0.00235609j -0.011304-0.0100751j 0.000828815-0.0132756j -0.00684107+0.00653019j 0.00741252+0.0138337j -0.0160581-0.0041172j -0.00286128-0.00950819j -0.0060085+0.0178714j 0.00832329-0.00926271j -0.00395474+0.0059681j 0.00403195-0.0252065j -0.0044684+0.0116228j 0.00410506+0.0220228j 0.00462313-0.00613595j 0.000332778+0.00379693j -0.0191827-0.0144749j -0.000794872-0.000297086j -0.00711679+0.00815651j 0.00710721+0.0264027j 0.0110128-0.00332533j -0.0122138+0.0106609j 0.00855281+0.00759472j 0.00824555-0.0115808j 
-0.0113079-0.0268737j 0.00358669-0.0013833j -0.011247-0.0235123j 0.0150253+0.020541j -0.00786813+0.00158614j 0.00448141-0.00953859j 0.00541226-0.00317591j -0.00442165-0.00142809j 5.61139e-05+0.00541331j 0.00630229-0.02129j -0.0101911-0.0397746j -0.00702054-0.0134475j -0.0185606-0.00994964j -0.0183381-0.00902435j -0.00280198+0.0112429j 0.00949414+0.00785629j -0.00940567+0.00187479j 0.0080752+0.0088806j 0.00292677+0.0279019j 0.00788454-0.00947773j 0.00485497+0.00424427j 0.0118289-0.0129071j 0.00612818+0.0333067j 0.021072+0.0322783j 0.00271528+0.0256058j -0.00238492+0.0140183j 0.0102926-0.0242138j 0.0104087-0.0130407j -0.017512+0.00563607j 0.00266799+0.00885902j 0.00899057+0.0018252j -0.0137573+0.0407216j 0.0196022+0.00123814j 0.0162724-0.0344195j 
0.0073677-0.0103895j 0.00559652+0.0161247j -0.0167353+0.00654028j 0.00529118-0.0119479j -0.0235875+0.00201999j -0.00250307-0.00159283j -0.00348617-0.00313991j 0.005029+0.00164674j 0.0083076-0.0120698j 0.00295151-0.00471242j 0.00954937+0.0152934j 0.000370761+0.00333417j -0.00563326+0.0183977j -0.0199288-0.00551561j 0.00689493+0.00632364j -0.0289677-0.00262833j -0.00972952+0.00727232j -0.0146961+0.00180526j -0.0180899+0.00380979j -0.00866685-0.00767835j -0.0100276+0.000477918j -0.00778491-0.00301339j 0.016497+0.00254023j -4.64568e-05-0.0124961j 0.00144374-0.00828601j 0.0185305+0.00872139j 0.014659-0.00400275j 0.0123986+0.00362907j -0.0152976+0.0269847j -0.0182915-0.0026994j -0.00272774-0.00327148j 0.00488362+0.00142803j 0.0153659+0.00569185j -0.00171994+0.0048464j 
0.00116793+0.000325587j -0.00496844-0.012749j -0.00820377+0.00308084j 0.0101009+0.0145931j 0.00338152+0.0094217j -0.00623356+0.011229j 0.006667-0.00260286j 0.0128687+0.0100699j -0.00702823-0.00712525j 0.00799286+0.00421848j -0.00921876-0.00643165j -0.00326807-0.00538335j 0.00270979+0.0360632j -0.00633131-0.0162369j -0.00536334-0.00552234j 0.0128857+0.0355593j 0.020116+0.024026j -0.0125168-0.0268493j 0.0161743+0.00593664j 0.0165994+0.0109493j -0.0190776-0.00532588j 0.00998034-2.07356e-05j -0.0276689-0.0186839j 0.00974168+0.0173357j 0.0211484+0.00719695j -0.0288645-0.00912745j 0.0151826+0.00659953j 0.00119335-0.0261741j 0.00129431+0.0216968j -0.0158379-0.001146j 0.00667039+0.0320479j -0.000167807+0.00498641j 0.00750597-0.00205752j 0.00177091-4.5225e-05j 
-0.00639564+0.00988998j 0.001033-0.0197265j 0.00135323-0.00976209j 0.00741442-0.0042347j 0.015543+0.0123444j 0.00319657+0.00308853j -0.000289827+0.00584852j -0.00550137-0.00150011j -0.0175792-0.00469391j -0.00414908+0.0141638j -0.00179847+0.00756645j 0.00799993+0.00769349j 0.00798485-0.0167763j 0.0069741-0.00676587j 0.0132707-0.0132335j -0.026212+0.0218433j 0.000723537-0.0207653j 0.00752139+0.0178914j 0.0256751-0.0138174j 0.0107257+0.0236754j 0.00693521+0.0499577j 0.0159156+0.00323996j 0.014189+0.011365j -0.0110913+0.0135778j -0.00635377+0.0298794j 0.0261451-0.0261514j -0.00768525-0.0201074j -0.0019427+0.00802324j 0.0278365+0.00785048j 0.0210575-0.0073166j -0.0126168+0.0130592j -0.022779+0.00891025j -0.0159288-0.00230588j -0.00748941+0.00210332j 
