-0.41321-0j -0.000852354-0j 0.0292062-0j 0.00421555-0j 0.0292763-0j 0.00422567-0j 6.03902e-05-0j 0.00492313-0j 0.000341619-0j 5.03252e-06-0j 0.00695058-0j 0.0278494-0j 0.000410261-0j -0.00238941-0j -0.000298676-0j 0.0393184-0j 0.000579215-0j 8.11047e-05-0j 1.01381e-05-0j -1.75996e-05-0j 0.00519177-0j 0.000648971-0j 0.000379287-0j 0.00303429-0j 0.000486628-0j 4.96663e-05-0j -0.0143364-0j -0.00146321-0j 5.97393e-07-0j -0.0024485-0j -0.000306063-0j 0.0182058-0j 3.8241e-05-0j 2.23497e-05-0j 0.0311506-0j -0.014691-0j -0.0014994-0j 0.0031793-0j 0.00185812-0j -1.80349e-05-0j 
0.0296341-0j -0.203144-0j 0.00215595-0j -0.0297508-0j -0.00633304-0j 0.0873922-0j 0.0434135-0j -0.00853276-0j -0.00519177-0j 0.0110063-0j 0.0235791-0j 0.00102042-0j -0.00216326-0j 0.0251659-0j 0.00635798-0j -0.00281979-0j 0.00597784-0j 0.0193299-0j 0.00488355-0j 0.000753214-0j -0.00555657-0j -0.00140383-0j -0.000883627-0j -0.00349754-0j -0.00245186-0j -0.000250242-0j -0.00319212-0j -0.000325795-0j 0.000578542-0j -0.00830627-0j -0.00209852-0j 0.000443639-0j -0.000166308-0j -0.000104681-0j 0.000704812-0j 0.00105359-0j 0.000107532-0j 7.19346e-05-0j 4.52787e-05-0j -0.000248606-0j 
0.23612-0j 0.0342185-0j 0.0171783-0j 0.00247947-0j 0.0170021-0j 0.00245404-0j 0.00246394-0j 0.0014373-0j 0.0139381-0j 0.000205328-0j -0.00993469-0j 0.00813058-0j 0.000119775-0j 0.00142829-0j 0.000178537-0j -0.0561991-0j -0.000827891-0j -0.00814436-0j -0.00101805-0j 1.05204e-05-0j 0.000999598-0j 0.00012495-0j 7.36427e-05-0j 0.000589141-0j -0.0488662-0j -0.00498738-0j 0.00856977-0j 0.000874648-0j -5.99889e-05-0j 0.00139915-0j 0.000174893-0j 0.00353485-0j 7.36273e-06-0j 4.33944e-06-0j 0.00599759-0j 0.00839487-0j 0.000856798-0j 0.000612126-0j 0.000360774-0j 1.03057e-05-0j 
0.0342185-0j -0.00333883-0j -0.0024186-0j 0.0333753-0j 0.00246394-0j -0.0340009-0j -0.000240416-0j 0.0192848-0j 2.87511e-05-0j -6.09512e-05-0j 0.0681031-0j -0.00230625-0j 0.00488916-0j 0.00951234-0j 0.00240322-0j -0.00814436-0j 0.0172657-0j 0.000794679-0j 0.00020077-0j 0.000284704-0j -0.00685232-0j -0.00173119-0j 0.00300288-0j 0.0118859-0j -0.000100799-0j -1.02878e-05-0j -0.00120657-0j -0.000123146-0j 2.37847e-05-0j -0.00959125-0j -0.00242316-0j -0.00150764-0j -0.00020509-0j 0.000355744-0j 0.00086917-0j 0.00121658-0j 0.000124167-0j 8.87093e-05-0j -0.000153873-0j -0.000287066-0j 
0.021391-0j 0.287012-0j 0.00142523-0j -0.0196673-0j -0.00457143-0j 0.063083-0j -0.0613369-0j -0.0238482-0j 0.0073352-0j -0.0155503-0j -0.00853276-0j 0.00285197-0j -0.00604607-0j 0.0166364-0j 0.00420306-0j 0.00102042-0j -0.00216326-0j 0.0136915-0j 0.00345905-0j 0.000497926-0j -0.00401094-0j -0.00101334-0j -0.000742174-0j -0.00293765-0j -0.00173667-0j -0.000177248-0j -0.00211021-0j -0.000215373-0j 0.000409784-0j -0.00599578-0j -0.00151479-0j 0.00037262-0j -0.000120047-0j -8.79235e-05-0j 0.00050876-0j 0.000760524-0j 7.76206e-05-0j 5.19251e-05-0j 3.80304e-05-0j -0.000179453-0j 
-0.0299411-0j -0.401733-0j -0.0019949-0j 0.0275285-0j -0.00215595-0j 0.0297508-0j -0.0289273-0j 0.0333805-0j 0.00345938-0j -0.00733374-0j 0.0119434-0j -0.00399193-0j 0.00846273-0j 0.00784594-0j 0.00198222-0j -0.00142829-0j 0.00302793-0j -0.0191641-0j -0.00484166-0j 0.000234828-0j 0.00599578-0j 0.00151479-0j 0.00103883-0j 0.00411185-0j 0.00243083-0j 0.000248095-0j -0.000995203-0j -0.000101572-0j -0.000573579-0j -0.0253289-0j -0.00639916-0j -0.000521559-0j 0.000179453-0j 0.000123067-0j -0.000760524-0j 0.0032128-0j 0.000327905-0j -7.76206e-05-0j -5.32314e-05-0j -0.000758092-0j 
-0.146092-0j -0.0211716-0j -0.0106285-0j -0.00153409-0j 0.0520912-0j 0.00751872-0j 0.00754905-0j -0.000889282-0j 0.0427039-0j 0.000629088-0j -0.00123197-0j -0.00503054-0j -7.41068e-05-0j 0.00437603-0j 0.000547004-0j -0.00696907-0j -0.000102664-0j -0.00100996-0j -0.000126245-0j 3.22325e-05-0j -0.00786248-0j -0.00098281-0j -4.55641e-05-0j -0.000364513-0j -0.00605974-0j -0.00061847-0j 0.0262562-0j 0.00267976-0j -7.43903e-06-0j -0.000865677-0j -0.00010821-0j -0.00218708-0j -5.79127e-05-0j -2.68489e-06-0j -0.0471749-0j -0.00519406-0j -0.000530117-0j -0.00481477-0j -0.000223217-0j -6.37631e-06-0j 
-0.0211716-0j 0.0020658-0j 0.00149643-0j -0.0206499-0j 0.00754905-0j -0.104172-0j -0.000736592-0j -0.0119319-0j 8.80881e-05-0j -0.000186743-0j 0.00844524-0j 0.00142692-0j -0.00302501-0j 0.0291441-0j 0.00736304-0j -0.00100996-0j 0.00214107-0j 9.85455e-05-0j 2.48968e-05-0j 0.00087228-0j 0.0538979-0j 0.0136169-0j -0.00185794-0j -0.00735402-0j -1.24998e-05-0j -1.27576e-06-0j -0.00369673-0j -0.000377295-0j 2.94946e-06-0j 0.00593429-0j 0.00149925-0j 0.000932807-0j 0.00161316-0j -0.000220105-0j -0.00683658-0j -0.000752723-0j -7.68245e-05-0j -0.000697756-0j 9.52042e-05-0j 0.000177613-0j 
-0.041479-0j 0.284342-0j -0.00301769-0j 0.0416424-0j -0.00298674-0j 0.0412153-0j 0.0204744-0j 0.0119434-0j -0.0024485-0j 0.00519073-0j -0.0330038-0j -0.00142829-0j 0.00302793-0j 0.0118686-0j 0.00299851-0j 0.00394689-0j -0.00836724-0j -0.0270562-0j -0.00683555-0j 0.000355225-0j 0.00830627-0j 0.00209852-0j 0.00123682-0j 0.00489554-0j 0.00343189-0j 0.000350266-0j -0.00150545-0j -0.000153649-0j -0.00080979-0j -0.0350894-0j -0.00886509-0j -0.000620965-0j 0.000248606-0j 0.000146523-0j -0.00105359-0j 0.00445085-0j 0.000454263-0j -0.000107532-0j -6.3377e-05-0j -0.00105022-0j 
-0.00966548-0j -0.260315-0j -0.00743762-0j 0.102635-0j 0.000684809-0j -0.00944996-0j 0.0184436-0j -0.0360589-0j -0.00220565-0j 0.00467588-0j 0.00385551-0j 0.00431225-0j -0.00914179-0j -0.0287829-0j -0.00727178-0j -0.000461076-0j 0.000977463-0j -0.0124179-0j -0.00313729-0j -0.000861469-0j -0.0057445-0j -0.00145131-0j -0.00538704-0j -0.0213228-0j 0.00157513-0j 0.000160761-0j 0.00365091-0j 0.000372619-0j -0.000371667-0j 0.00270918-0j 0.000684455-0j 0.00270465-0j -0.000171933-0j -0.000638189-0j 0.000728651-0j -0.000343641-0j -3.50727e-05-0j 7.43676e-05-0j 0.000276042-0j 8.10856e-05-0j 
0.0459089-0j 0.30575-0j -0.00333862-0j 0.046071-0j 0.00330572-0j -0.045617-0j 0.0220159-0j -0.012106-0j -0.00263285-0j 0.00558154-0j -0.0183128-0j 0.00144775-0j -0.00306916-0j 0.0131308-0j 0.00331739-0j 0.00219001-0j -0.00464273-0j 0.0145853-0j 0.00368487-0j 0.000393003-0j -0.00919336-0j -0.00232263-0j -0.00653612-0j -0.025871-0j -0.00185005-0j -0.00018882-0j -0.00166555-0j -0.000169989-0j 0.000436537-0j -0.012868-0j -0.00325101-0j 0.00328156-0j -0.000275156-0j -0.000774318-0j 0.00116611-0j 0.00163222-0j 0.000166588-0j 0.000119016-0j 0.000334923-0j -0.000385139-0j 
-0.045438-0j 0.311481-0j -0.00330572-0j 0.045617-0j 0.00321933-0j -0.0444248-0j -0.0220688-0j 0.0130833-0j 0.00263918-0j -0.00559495-0j 0.018125-0j -0.00156462-0j 0.00331693-0j -0.0127928-0j -0.00323201-0j -0.00216755-0j 0.00459511-0j 0.0148587-0j 0.00375394-0j -0.000382888-0j -0.0270053-0j -0.00682268-0j 0.00135487-0j 0.00536279-0j -0.00188472-0j -0.000192359-0j 0.00162268-0j 0.000165614-0j 0.00044472-0j 0.012736-0j 0.00321766-0j -0.000680233-0j -0.000808266-0j 0.000160508-0j 0.00342543-0j -0.00161548-0j -0.000164879-0j 0.000349607-0j -6.9426e-05-0j 0.000381189-0j 
-0.404777-0j -0.0586602-0j -0.0294484-0j -0.00425052-0j -0.0291464-0j -0.00420692-0j -0.00422389-0j -0.00246394-0j -0.0238939-0j -0.000351991-0j -0.00341342-0j -0.0139381-0j -0.000205328-0j -0.0024485-0j -0.000306063-0j -0.0193092-0j -0.000284452-0j -0.00279829-0j -0.000349786-0j -1.80349e-05-0j -0.0017136-0j -0.0002142-0j -0.000126245-0j -0.00100996-0j -0.0167897-0j -0.0017136-0j -0.014691-0j -0.0014994-0j -2.06114e-05-0j -0.00239854-0j -0.000299817-0j -0.00605974-0j -1.26218e-05-0j -7.43903e-06-0j -0.0102816-0j -0.0143912-0j -0.0014688-0j -0.00104936-0j -0.00061847-0j -1.76669e-05-0j 
-0.0586602-0j 0.00572371-0j 0.00414617-0j -0.0572147-0j -0.00422389-0j 0.0582872-0j 0.000412142-0j -0.0330597-0j -4.92876e-05-0j 0.000104488-0j 0.0233993-0j 0.00395357-0j -0.00838142-0j -0.0163069-0j -0.00411981-0j -0.00279829-0j 0.00593226-0j 0.000273041-0j 6.89817e-05-0j -0.000488064-0j 0.0117468-0j 0.00296775-0j -0.0051478-0j -0.0203758-0j -3.46333e-05-0j -3.53475e-06-0j 0.00206841-0j 0.000211107-0j 8.17208e-06-0j 0.0164422-0j 0.00415399-0j 0.00258453-0j 0.000351582-0j -0.000609847-0j -0.00149001-0j -0.00208557-0j -0.000212858-0j -0.000152073-0j 0.000263783-0j 0.000492112-0j 
0.00213104-0j 0.0861951-0j 0.00434294-0j -0.05993-0j 0.000153448-0j -0.00211749-0j 0.00620657-0j 0.0603925-0j -0.000742236-0j 0.00157351-0j -0.00085006-0j -0.00722226-0j 0.0153109-0j -0.0170808-0j -0.00431533-0j 0.000101658-0j -0.00021551-0j 0.0041118-0j 0.00103881-0j -0.000511226-0j -0.000426745-0j -0.000107814-0j -0.0131422-0j -0.0520189-0j -0.000521553-0j -5.32308e-05-0j 0.00216658-0j 0.000221125-0j 0.000123066-0j -0.000597319-0j -0.000150908-0j 0.00659823-0j -1.27724e-05-0j -0.00155692-0j 5.41297e-05-0j 7.57657e-05-0j 7.73281e-06-0j 5.52458e-06-0j 0.000673429-0j -1.78777e-05-0j 
0.0537518-0j -0.368473-0j 0.00391056-0j -0.0539635-0j 0.00387046-0j -0.05341-0j -0.0265323-0j -0.0154772-0j 0.00317296-0j -0.00672655-0j -0.0214413-0j 0.0018509-0j -0.00392382-0j -0.0153802-0j -0.0038857-0j 0.00256414-0j -0.00543588-0j -0.0175774-0j -0.0044408-0j -0.000460329-0j -0.0107639-0j -0.00271942-0j -0.00160277-0j -0.00634402-0j 0.00222957-0j 0.000227555-0j 0.00195087-0j 0.00019911-0j -0.00052609-0j -0.0150663-0j -0.0038064-0j 0.000804695-0j -0.000322163-0j -0.000189876-0j 0.00136533-0j 0.00191106-0j 0.000195047-0j 0.000139348-0j 8.21288e-05-0j -0.000450934-0j 
