-0.039032-0j -0.0213787-0j -0.0130917-0j -0.00878221-0j -0.00170067-0j -0.0385186-0j -0.0204275-0j -0.016679-0j -0.00791155-0j -0.00685161-0j -0.00265362-0j -0.000398042-0j -0.0247856-0j -0.0274327-0j -0.012879-0j -0.0142544-0j -0.0101817-0j -0.00678782-0j -0.00482962-0j -0.0112691-0j -0.00751274-0j -0.00534541-0j -0.00557677-0j -0.00197168-0j -0.00152726-0j -0.00617235-0j -0.00218226-0j -0.0016199-0j -0.00169037-0j -0.000443629-0j -0.00179291-0j -0.000491007-0j -5.43332e-05-0j -6.01359e-05-0j 
-0.0500836-0j -0.012773-0j -0.0166871-0j -0.120696-0j 0.0261648-0j 0.00290689-0j 0.207512-0j -0.0100004-0j 0.0136856-0j 0.06914-0j -0.148788-0j 0.0106329-0j 0.0018705-0j 0.00207027-0j -0.00769473-0j -0.00851651-0j 0.103797-0j 0.000512259-0j -0.142046-0j 0.114882-0j 0.000566966-0j -0.157216-0j 0.0264718-0j -0.00384415-0j 0.0107784-0j 0.0292989-0j -0.0042547-0j -0.0473277-0j 0.0119295-0j -0.054226-0j -0.0523822-0j -0.0600172-0j 0.0022299-0j 0.00246804-0j 
0.00196376-0j 0.220711-0j 0.000658666-0j 0.0101278-0j 0.0174432-0j 0.00193793-0j -0.00813648-0j -0.02175-0j -0.236479-0j -0.00272906-0j 0.0124849-0j 0.0070886-0j 0.001247-0j 0.00138018-0j -0.00512982-0j -0.00567767-0j 0.000512259-0j 0.10569-0j 0.00556959-0j 0.000566966-0j 0.116978-0j 0.0061644-0j 0.0575737-0j 9.91985e-05-0j -0.186244-0j 0.0637224-0j 0.000109793-0j 0.0018681-0j -0.206135-0j 0.00455017-0j 0.0020676-0j 0.00503611-0j 0.0014866-0j 0.00164536-0j 
0.00969864-0j 0.0052594-0j -0.000191325-0j -0.0261648-0j -0.0580563-0j -0.000562917-0j -0.0854448-0j -0.00024375-0j -0.0235709-0j 0.00168557-0j 0.0567689-0j -0.165448-0j -0.000362222-0j -0.000400906-0j 0.00316837-0j 0.00350675-0j 0.00252995-0j -9.91985e-05-0j 0.244648-0j 0.00280014-0j -0.000109793-0j 0.270776-0j 0.00137195-0j -2.88146e-05-0j 0.0326728-0j 0.00151847-0j -3.18919e-05-0j -0.00482618-0j 0.0361621-0j -0.0151443-0j -0.0053416-0j -0.0167617-0j -0.0819252-0j -0.0906746-0j 
0.00240511-0j 0.0567646-0j 0.101033-0j 0.0723594-0j -0.00176406-0j 0.00237347-0j -0.0043532-0j 0.216278-0j 0.0480874-0j -0.182869-0j 0.0341768-0j -0.00052223-0j 0.00152726-0j 0.00169037-0j -0.00274457-0j -0.00303768-0j -0.0105964-0j -0.0108409-0j -0.00235602-0j -0.0117281-0j -0.0119987-0j -0.00260764-0j -0.250094-0j 0.051926-0j 0.0145106-0j -0.276804-0j 0.0574715-0j -0.0989715-0j 0.0160603-0j 0.0077721-0j -0.109541-0j 0.00860214-0j -8.62116e-05-0j -9.54187e-05-0j 
0.000601277-0j 0.000329333-0j 0.179405-0j -0.00470525-0j 2.61983e-05-0j 0.000593367-0j 0.00031468-0j -0.00893612-0j 0.000121875-0j 0.0938923-0j -0.00142173-0j 6.13172e-06-0j 0.000381815-0j 0.000422592-0j 0.000198397-0j 0.000219585-0j -0.00545507-0j 0.000104564-0j 7.43989e-05-0j -0.00603766-0j 0.000115732-0j 8.23444e-05-0j -0.00298786-0j -0.437454-0j 2.3527e-05-0j -0.00330696-0j -0.484173-0j 0.0221987-0j 2.60396e-05-0j -0.000237683-0j 0.0245694-0j -0.000263067-0j 8.36987e-07-0j 9.26375e-07-0j 
-0.000931494-0j -0.0786683-0j 0.00527693-0j 0.155716-0j 0.0594123-0j -0.00091924-0j 0.00603296-0j -0.0394024-0j 0.219991-0j -0.0341768-0j -0.107201-0j 0.0398074-0j -0.000591505-0j -0.000654677-0j 0.00380361-0j 0.00420982-0j 0.0019305-0j 0.00419866-0j -0.0107784-0j 0.00213667-0j 0.00464706-0j -0.0119295-0j 0.163038-0j 0.00121563-0j -0.0967587-0j 0.18045-0j 0.00134545-0j 0.0610597-0j -0.107092-0j -0.123131-0j 0.0675807-0j -0.136281-0j 0.0115727-0j 0.0128086-0j 
-0.000570421-0j 0.00247348-0j -0.0817723-0j 0.0760019-0j -0.0050668-0j -0.000562917-0j 0.00236343-0j 0.00629722-0j -0.0026502-0j 0.338808-0j 0.093691-0j -0.00205905-0j -0.000362222-0j -0.000400906-0j 0.00149008-0j 0.00164921-0j 0.00384415-0j -9.91985e-05-0j -0.00161782-0j 0.0042547-0j -0.000109793-0j -0.0017906-0j -0.0166692-0j 0.0845267-0j -0.00208722-0j -0.0184494-0j 0.093554-0j -0.231921-0j -0.00231013-0j 0.0341459-0j -0.25669-0j 0.0377926-0j -0.000431818-0j -0.000477935-0j 
0.000139724-0j 0.0203028-0j 4.68649e-05-0j 0.011128-0j 0.173152-0j 0.000137886-0j -0.00155699-0j -0.000743917-0j -0.124905-0j -0.00052223-0j -0.0398074-0j -0.0336707-0j 8.87258e-05-0j 9.82015e-05-0j -0.000981638-0j -0.00108647-0j 3.64478e-05-0j -0.000629799-0j 0.00611965-0j 4.03404e-05-0j -0.00069706-0j 0.00677321-0j 0.00529609-0j 7.05809e-06-0j 0.285458-0j 0.0058617-0j 7.81188e-06-0j 0.00205259-0j 0.315944-0j 0.0451678-0j 0.0022718-0j 0.0499915-0j -0.127914-0j -0.141575-0j 
0.000191325-0j -0.00176406-0j 0.00803717-0j -0.148224-0j 0.0194727-0j 0.000188808-0j -0.00168557-0j -0.00138085-0j 0.00790592-0j -0.0708073-0j 0.321597-0j 0.055493-0j 0.000121493-0j 0.000134468-0j -0.0010627-0j -0.0011762-0j -0.000842942-0j 3.32722e-05-0j 0.00482618-0j -0.000932966-0j 3.68256e-05-0j 0.0053416-0j 0.0077721-0j 0.00413069-0j -0.0109588-0j 0.00860214-0j 0.00457183-0j 0.202738-0j -0.0121291-0j -0.0857929-0j 0.22439-0j -0.0949553-0j 0.0274785-0j 0.0304132-0j 
-3.31385e-05-0j 0.000467391-0j 0.00018773-0j 0.0322155-0j -0.148973-0j -3.27025e-05-0j 0.000446596-0j 0.000112505-0j -0.00365286-0j -0.00252997-0j -0.159752-0j 0.222251-0j -2.10432e-05-0j -2.32905e-05-0j 0.000281566-0j 0.000311636-0j 6.86788e-05-0j -5.76291e-06-0j -0.0022299-0j 7.60134e-05-0j -6.37837e-06-0j -0.00246804-0j -0.000968657-0j 4.32467e-05-0j 0.0115727-0j -0.00107211-0j 4.78653e-05-0j 0.0126324-0j 0.0128086-0j 0.308744-0j 0.0139815-0j 0.341717-0j 0.00117781-0j 0.00130359-0j 
2.9706e-06-0j -5.64062e-05-0j 9.96371e-07-0j 0.000697-0j 0.0713467-0j 2.93152e-06-0j -5.38966e-05-0j 1.26939e-06-0j 0.0006279-0j -1.80775e-05-0j -0.00536075-0j -0.266761-0j 1.88636e-06-0j 2.08781e-06-0j -3.39803e-05-0j -3.76093e-05-0j 7.74899e-07-0j 5.166e-07-0j 0.000383303-0j 8.57657e-07-0j 5.71771e-07-0j 0.000424238-0j -1.47139e-05-0j 1.50059e-07-0j -0.00308532-0j -1.62853e-05-0j 1.66084e-07-0j 0.000128564-0j -0.00341482-0j 0.0186112-0j 0.000142294-0j 0.0205988-0j 0.399812-0j 0.442511-0j 
