-0.000690316-0.133775j 0.213447-0.146937j 0.336299-0.0676773j 0.310649-0.223832j 0.112873+0.379745j 0.159742-0.150209j 0.317854-0.27974j 0.0354961-0.24627j 0.456869+0.239233j 0.168658-0.730758j -0.134479+0.338957j 0.143762+0.0992988j 0.183723-0.42602j 0.940887-0.749968j -0.538049+0.242928j 1.09344+0.0220041j 0.217176-0.17285j 0.310609+0.357985j -0.245669+0.00804082j 0.742728+0.695942j -0.878689-0.843483j -0.109269+0.328677j 0.179681-0.27483j -1.01197+0.433252j -0.258211+0.127978j 0.242442+0.53253j 0.653381+0.0770575j -0.184814-0.673492j -0.0659616+0.675965j -0.0424038+0.248528j -0.217044+0.227867j -0.205344+1.12661j 0.384921+0.0750663j 1.04162-0.651653j -0.517956-0.342723j -0.0296514+0.493145j 0.263351-0.730834j 0.0632975+0.366584j -0.271062+0.00186029j -0.467977-0.302488j -0.194159-0.268027j 0.336949+0.818603j -0.0923299+0.922002j 1.35333+0.169541j -0.351744-0.246731j 1.02705-0.960722j -0.591481-0.0255282j 0.358913-0.817219j 0.39577+0.367718j 0.318358+0.768064j -0.740792-0.626849j -0.0371084-0.783602j 0.328844+0.651178j 0.977971-0.0178155j -0.102737-1.24989j 0.825941+0.598063j -0.193861+0.368841j -0.981109+0.490907j 0.556585+0.159137j -0.318206-1.15825j -0.135351-0.507445j -0.30348-0.523621j -0.296527+0.603882j 0.00435447+0.836188j -0.284334+0.424286j 0.252161+0.125174j 0.00691091-0.255155j -1.15809+0.362271j -0.566707-1.88049j 1.68625-0.867934j 
0.103303+0.0824287j -0.0746269+0.0170835j -0.065737+0.19194j -0.22918-0.694801j -1.24409-1.18096j 0.652293-0.519875j 0.206622+0.546281j 0.38715-0.173521j 0.0405753+0.721094j 0.000997551-0.525322j 0.0496456+0.0511088j -1.07509+0.544415j 0.164891-0.234205j 0.119828-0.801493j 0.486291+1.42177j 0.749972+1.35299j -1.24386-0.360045j -1.83996-1.63706j -0.22397-1.12336j 0.665158-1.48171j -0.0210868-0.939872j 0.982212-1.45941j -1.09586-0.198944j -0.448858-0.509538j 0.0632409+1.05698j -0.83804-0.430004j -0.940903+0.739446j 0.844235-0.0535029j -0.598434-0.672511j -1.5362-0.195369j 1.34048-1.13951j 1.45849+0.201094j 1.09396+0.537051j 0.578553-1.42396j 0.675139-0.184178j 0.0252981-0.40599j 0.0756722-0.696504j -0.902096+1.43889j 0.934486-0.550856j 1.04699+0.00999375j 1.05835-0.833381j 0.124364+0.778512j 0.13031+0.645275j 0.313915+0.748042j 1.34287+0.126059j -0.802078-6.7263e-05j 0.57658-1.14453j -0.850616+1.05456j 0.12072-0.330226j 0.273292+0.248961j -0.343875+0.152768j 0.832883+0.253565j -1.07202+0.78198j 1.60195-1.32585j -0.201702+0.42459j -0.456129-0.931996j -0.170298-0.368972j -1.6283-0.020477j 0.553119-2.21107j 0.084937+0.834362j -1.10933+0.801237j -1.17012-0.655919j -2.99676+2.51433j 0.0810957-1.64338j 1.81753+1.23237j 1.07131-0.25581j 0.657307-0.299245j 0.0327872-0.517297j -0.143294-0.406946j -0.316794+0.294662j 
0.540032+0.45724j 0.739561-0.56809j 0.443902+0.444263j -1.2026-1.29896j -0.426147-1.45918j 1.10921-0.466221j 0.00720767-0.822532j 1.45256-0.751864j -1.08198-0.955725j 0.0582727-1.42306j 0.191242+0.141636j 0.334371+0.629975j -1.00488+0.488475j 1.98637-0.516395j 0.48246-0.301897j -1.34429+0.45641j 0.274622-0.984629j -1.52419+0.387925j -0.106447-1.43513j 0.190688+1.06302j -0.789043+1.39812j -0.136098-0.810573j -0.0512893+1.82806j -0.30118+0.590558j -0.673+0.769488j 2.82327-2.47243j -0.384484-0.0419519j -0.767772+1.85862j 0.0168554+0.868545j -0.22161+2.96837j -0.091758-1.32239j -0.887632+1.29192j 1.19088-0.42872j 0.628852-0.973095j 1.30946+1.96844j -1.71608+1.72237j 1.051-0.991735j -1.31927+3.16234j 0.808509-2.66617j -0.383425-1.04503j 0.349579-0.594049j 0.367468+0.755225j -0.826564-0.275019j -1.21215+0.491249j 3.16781-4.34156j -1.24324+2.21031j 0.966035-1.48752j -0.60969+1.48514j 0.314797-3.37535j 0.763163+0.575142j 0.257448+0.610809j 0.745428-1.57874j -2.26647+3.6323j 0.202765-2.13874j -2.41187+2.97299j 0.21197+0.884586j -1.68346-1.11398j -0.219133+0.639232j 0.597903-1.79623j 0.0760821+0.313153j -0.172404+0.578123j 0.817576+1.26311j -1.62729-0.170652j 0.538402-0.741134j -1.94924+0.352378j 0.61391-1.55041j 1.64813-1.03694j -0.368776-0.435945j -0.655528-0.560801j -0.506958+0.0314491j 
0.255887+0.703885j 0.987771+0.182622j 1.19621+0.864372j -0.337327+0.363752j 0.865084+1.39429j 1.2366-0.440087j 2.14513-0.52035j -1.11894-1.2939j -0.94223+0.587998j 1.04889+0.272538j 0.00967422+0.299952j -0.155575+1.86844j -0.0381223+0.546335j -0.311852+0.613804j -0.000571346-0.390053j 0.116579+1.11661j -1.32961-1.21735j -0.712485+0.990119j -1.3557-1.91786j 0.384351-0.185541j 1.69475-0.179157j 1.30731-0.500278j 0.564436+0.368664j 0.810093+1.69284j 0.0807562-0.651424j 0.0247921-1.25583j 0.158994+0.232055j -0.978702-0.389443j 0.580507-0.750841j 0.562406-0.0184543j -1.33679-1.48148j 1.61812+0.4984j 0.417058+0.0065749j -0.131821-0.138781j 0.565093+0.371824j 0.316177+2.04005j -0.325596-2.55523j 0.381699-0.506192j -0.0104966-0.12954j -0.721379-0.287372j 0.398122-0.328073j -0.480797+1.11962j -0.111429+1.1696j -0.263206-0.240201j 0.281406-0.0475097j 0.0638762+1.47707j 0.09776-0.571804j -0.462834+0.388143j -0.140102-0.911708j -0.46376+1.56769j -0.606015+0.10012j 1.51861-0.592442j 0.782587+0.304451j 0.712232-1.35714j -1.56263+1.17457j 0.229925+0.0643716j 1.47491-0.783909j -0.213937+1.43197j -0.318139+0.211392j -0.0717403-0.0480555j -0.178108+1.20708j -0.537863-0.047143j 0.248965-0.662519j -0.547452-1.24157j -0.387648-0.349182j -1.39732+0.975248j -0.111693-0.474345j -0.330613-0.645281j -0.407678-0.801254j 0.0348475-0.496036j 
0.307549+0.796097j 0.552796-0.307371j 0.429481+0.0579205j -0.466214-0.135154j -0.685998+0.210444j -2.01599+0.236378j 1.23511-1.92676j 2.04906+1.84672j 1.0286-1.158j 1.13226+0.791529j 0.201231-0.652765j 0.153838-0.994772j -1.69564+0.43035j -0.22357-0.313074j -0.524149+1.07001j 0.737422+1.41887j 1.18724+0.185295j -0.811721+1.03414j 0.427309-1.84951j 0.537974+0.453745j 0.66185+0.367719j 0.829441-1.3397j -0.515454+0.0763398j 0.462037-0.0798393j -0.333194+0.466769j 0.753506-2.77307j 0.414849-0.191912j -0.00620907-0.703357j 0.0973781+0.542787j -0.474966+0.122032j 0.784784-1.09547j -0.25599+0.955353j 0.712722-0.349284j -0.289441-0.0619166j 0.875929+0.0893592j 0.485099+1.8844j 0.136376-0.602098j -1.07363+1.33963j -1.51486-0.966829j 0.821478+0.316281j 1.74893-1.61843j 0.455682-0.498087j 0.824543+1.33174j -0.786197-0.503092j -1.18305-1.76606j 0.519165+0.267274j 0.389866-1.3349j -1.51264+1.744j 1.03592-0.261119j -0.473416-1.30941j -0.73231-1.80725j 0.424059+0.0110192j -1.53625+2.67874j -1.3451-0.965701j 0.361018-0.0570815j 0.75833-1.45674j 0.653223-1.0216j 0.127961+1.29336j 1.34506-0.016414j -0.0818668+0.0526832j -0.304998+0.720482j -0.403131+1.49746j -0.0998033-0.298772j -0.453097+0.10549j -0.850226-0.480154j 0.867919-0.509634j 0.249646-0.76212j 0.0240264-0.301111j -0.0533761-0.142616j -0.0712767-0.199242j 
-0.209082-1.28297j -0.0570294+0.298431j 0.0125116-0.611841j -1.19508+1.38522j 0.656536+2.2781j -0.824048-0.710617j -0.236764+0.389731j 1.37872+1.55739j -1.39086+0.517748j 0.250233-1.52686j 0.965591-0.81517j 1.00519-0.83192j -0.640171-0.355087j -0.208795+1.358j -1.26682+1.06034j 0.0317946-1.45409j -1.3441+1.31435j -0.275194-1.65974j 0.215117+0.445203j 0.602732-0.267882j -0.336413+0.262057j -0.844403+1.96637j 0.491724-1.97063j -0.311236-0.559167j -1.26875-0.956856j -0.540483+2.66127j -0.0143259-1.68937j 0.23273-0.1746j -1.32971+0.233733j 0.160905-1.83919j 0.00660907+0.370173j 0.998198-1.20877j -0.917205+2.61377j -0.141337+1.25367j -1.88001-1.4201j -0.647396-0.18056j 0.617788+0.516775j 0.644683-1.10934j -0.478791+0.371465j 0.169549+1.50805j 0.182009+1.14709j -0.91073+0.187348j 0.122847-1.21609j -1.77656+0.56666j -0.269847+2.77052j -1.3027-2.18706j 0.830047+1.41155j 0.956704-0.46532j -0.0220829+2.15207j -0.0575926+1.06109j -1.88797-0.677479j -0.809108+1.12116j -0.0613468-0.733794j -0.0544845-0.00804366j 1.48972-0.845588j -0.789341+0.536448j 0.69861-0.418485j 0.702794-0.298143j -2.02931+1.56834j 0.160218-0.345781j 1.34049-1.25743j -0.653739-1.77468j 0.505678-0.126525j 0.00985121+0.33532j -0.532802+0.251331j -0.39288-0.102792j -0.841428+0.0363358j -0.359402+0.730218j 0.189924+0.594218j 0.290498+0.214735j 
-0.823086+1.75601j 0.688316+0.453872j 0.503584+2.89074j -2.06303+1.01227j 0.691159-0.50765j -0.313743-1.4347j -1.37304-0.465229j 0.319871-0.910847j -0.21383-1.02859j -0.450786-0.793789j 1.90486-0.755943j 0.18382+1.42661j 0.182875-0.586945j 0.386222-1.17883j -0.860424+1.46399j 1.07347-0.0727442j -0.282554-1.70026j -0.169765+0.958602j 0.365974-0.337668j -0.0919586+0.748901j 0.965626-0.366832j -1.90575-1.32176j 0.633085+0.181064j -0.864629+0.793018j -0.129288-1.2917j -0.800768-1.55101j -1.78393+0.134622j 0.833418+0.918808j -1.0557-0.379623j -0.107719+0.575868j 0.111193+1.01258j 0.0115393+0.396335j -0.799627+0.243053j -1.33323-0.0578689j 0.00793238+0.871726j 0.747108-0.312927j -0.857064+0.696421j -0.218565+1.2402j 0.536662-0.717716j 0.164199+0.538349j 0.988854-1.00222j 0.613513-0.362207j -0.34488-0.277059j 1.30991+1.24388j 1.01034-1.16027j 0.817044+0.896157j -1.80668-1.01729j -0.410692+0.875529j -0.0054402-1.48827j -0.572699+0.398141j -0.0532041-0.120178j 0.363608-1.27278j 0.715155+0.737993j -1.20194-0.575268j -0.635095+0.678728j 0.927142-0.488221j 1.68328-0.117193j -0.444577+0.253361j 0.575367+0.40102j 0.375151+0.252851j 0.573338+0.736754j -0.304875-0.581534j 0.296212-0.0450579j 0.492876-0.365618j 0.266824+0.0926553j -0.528926-0.333315j 0.817421-0.424638j 0.802438-0.229319j 0.647679+0.0278054j 0.243485-0.0828028j 
1.91039-2.67169j 2.95054+1.60276j -1.31447+1.60162j 0.631958+0.0279554j 0.17272-0.501983j -1.23278-0.386708j -1.45038-0.234571j -0.0833257-0.851261j 0.823464+1.23989j 0.892266+1.00852j 0.298423+0.161412j 1.14169-0.577233j 1.4716+0.294459j -0.426674-0.502834j -0.504644+1.73088j -0.840325-1.07611j 0.13768+0.324188j -0.953526+0.305801j 1.10196+0.862641j -0.255786+0.943959j 0.467971-0.63751j 0.0832848-0.952928j 0.492082+0.751311j -0.675799-0.486808j 2.12993+0.345948j 0.282003-0.71429j -0.516009-1.25122j 0.159537-0.827479j -0.0591532+1.53886j 0.159307-0.336797j -0.771295+0.971861j 0.574548-0.48766j -0.162284-0.636351j 1.06284+0.555183j 0.214804-1.89828j -0.0929435-0.431789j 0.480101-0.300114j -0.147883-0.41409j 0.488313+1.67051j -0.252793+0.033871j 0.584658+0.783226j 0.289426+0.483609j 0.0485617+0.681493j -0.601908-1.61016j 0.738126+0.284981j -0.785227+0.58427j 1.35625-0.118859j -0.117354+0.388512j 0.424185-0.368425j 0.633423-0.00868614j -0.116129-0.323873j 0.306315-0.426813j 0.646397-0.0641939j 0.458493+0.290559j 1.06339+0.41091j -0.219545-0.0598433j -0.572357-1.12457j -0.187758+0.0576274j -0.262974-0.139492j 0.0825778-0.391633j 0.112126-0.838543j -0.417603+0.139188j 0.0941496-0.209319j -0.236044-0.439898j -0.151187-0.134652j -0.302845+0.107266j -0.0384418-0.383863j -0.204407-0.423184j 0.0324689-0.373658j 0.215361-0.0194987j 
0.11876-0.0498783j 0.208015+0.253389j 0.00120556+0.326652j 0.254847+0.295823j -0.228251+0.06012j 0.232522+0.309045j 0.0233719+0.406969j 0.311243+0.160821j -0.00702914+0.113043j 0.786094+0.723735j -0.285044-0.248022j -0.568282+0.085453j -0.0897436-0.00373806j -0.040714+0.999606j 0.00333304-0.380201j -1.28098+0.456527j 0.430164+0.504787j -1.30292-0.334592j 0.101243-0.282101j 0.130777+0.427294j 0.243699-0.32323j 0.640923+0.0673338j -0.446722-0.0769256j 0.314709+0.0595226j -0.287453+0.192006j 0.940452+0.975524j -0.0199602-1.22107j -0.451853+0.0907231j 0.364431-0.136135j -0.357006-0.936559j 0.43255+0.279967j -0.839709-1.59331j 1.15794+0.340552j 0.581952+0.083587j -0.631785+1.52692j -0.76013-0.486031j 0.044135+0.424367j -1.68643+0.262918j 1.2991+0.518066j 0.683292+0.738659j 0.760259+0.059779j -0.170623-1.11444j -0.711992-0.784651j 0.545701-0.0924705j 0.953168-0.725994j -2.02863-0.16205j -0.388695-0.332036j -0.929303+0.319263j 0.692613+0.00505474j 0.152939+1.06234j 0.774611-1.30775j -0.00464761+0.930364j 0.528766-0.0279667j 0.957823+0.978388j 0.50543-0.350934j -0.77711+0.984258j 0.0173171-0.624571j -1.39953+0.417127j 0.87817+1.61039j -1.0243-0.1022j -0.724691+0.231043j 0.172874-0.468893j -0.585934+0.243882j 1.34015+1.20451j 0.472967-0.0985471j 0.608208+0.720329j -0.527795-1.38979j -1.93088+1.38095j 0.47917-4.06511j 3.64607+0.027061j 
-0.0890613-0.0779596j 0.0459631-0.126826j 0.192711-0.0547561j 0.0285428-0.201076j 0.131252+0.103863j -0.0746484-0.132363j 0.194639-0.146595j -0.130125-0.199007j -0.0292943+0.0336299j -0.00155266-0.46968j -0.03668+0.166332j 0.460263+0.251162j 0.137704+0.00414405j 0.539634-0.155592j -0.090193+0.0199504j 0.936715+0.505905j -0.275718-0.13239j 0.450105+0.65059j -0.549904+0.169758j 0.283859-0.00189621j -0.0913411-0.278625j -0.634666-0.0569679j 0.426171+0.0602696j 0.372259-0.278976j 0.587124+0.0187842j -0.333673-0.257946j -0.305647-0.0817497j 0.184272+0.188598j -0.104328-0.188807j -0.111765+0.106481j -0.103496-0.21114j -0.242071+0.517443j -0.581467-0.546699j -0.226199-0.465166j 0.785199-0.122228j 0.286913+0.490174j -0.159573-0.0510936j 1.01967+1.13118j -0.499354-0.611491j 0.0351093-0.355748j -0.695811-0.23398j -0.609025+0.236644j -0.172843+0.440353j 0.207225-0.38852j -1.73972-0.0765321j 0.450137+1.10566j -0.699143+0.482524j 0.746679+0.234518j -0.741328-0.09777j 0.510413+0.0250592j -0.992704-0.606645j 0.207123-0.0360236j 0.404638-0.623807j 0.283702-0.489173j 0.475949-0.709618j 0.714103+0.659019j -0.701822-0.0051795j 0.563907+0.839027j 0.866057-0.521907j 0.0783548+0.794521j 0.773412+0.299186j -0.123679-0.141944j 0.331789+0.368172j 0.601403-1.45232j -0.0954179-0.505604j 0.214164-0.538568j -0.622422+0.474396j 1.55206+1.41024j -2.82995+0.60152j -0.419095-2.44307j 
-0.150256-0.00582286j -0.510539+0.462028j -0.394542+0.161338j -0.847137+0.0669592j 0.340897-0.310984j -1.14397+0.22927j -0.592009-0.290975j -0.860474+0.266315j -0.652277-0.233581j -1.80957+1.05429j 0.579616-0.368732j 1.19988-0.258367j 0.563154-0.314931j -1.04955+0.359608j 0.801464+0.0892637j 1.55466-1.19513j -2.66586+1.1049j 2.14708-0.958127j -1.49005+1.1483j -0.0383322+0.727818j 1.07721-0.837144j -2.62349+1.58839j 1.62318-1.05454j 2.40841-0.582264j 2.3156-0.596572j -3.47082+2.10661j 2.34357-1.71975j 0.400202-0.0812155j -0.264953-0.21549j 1.57937-1.35533j -0.869423+0.0287731j 2.51387-1.52639j -2.95606+1.57412j -1.07766-0.390097j -0.637054-1.07393j 2.40257-0.194398j -2.14187+0.663257j 3.02447+0.487819j -2.54829+1.3335j -1.09361+0.390944j -2.62046+1.33345j 0.340067-0.213556j 1.15126-0.886386j 0.00766965+0.327997j -4.74238+2.20662j 1.00872+0.321679j -2.13326+1.03238j 1.60782-1.17752j -3.92089+1.54052j -1.18597+0.285119j -0.129544-0.470722j -1.24767+0.409881j 1.4091-1.83092j -1.66581+2.04503j 3.24248-1.39877j -0.35172+0.818867j -0.495074-0.268011j 1.23774-0.488777j -0.397342-0.186952j 0.80739+1.22056j 1.15574-1.61628j -0.234636-0.46898j 1.58828-0.412844j -0.688009-1.37256j 0.0272895+0.703731j -1.13809-0.0882089j 2.74918-1.71333j 1.33504+2.08318j 0.505785+1.26777j 1.75941+0.43589j 
0.0275128+0.0615247j 0.329675+0.140158j 0.425595+0.161676j 0.135164+0.530835j -0.248086-0.0983632j -0.13196+0.589355j -0.0365058+0.451129j 0.0605813+0.460464j -0.576571+0.394735j 0.0969628+0.950324j -0.111442-0.25794j 0.455104-0.704257j -0.0335831-0.463379j 0.377209+0.431098j 0.150389-0.315211j 0.0192237-0.863875j 0.164938+1.45555j 0.282501-0.917281j 0.0456385+0.816612j 0.512973-0.108712j -0.490181-0.484212j -0.154015+1.34944j 0.163886-0.73371j 0.073777-1.33778j 0.453645-1.25979j -0.321758+1.68118j -1.01932-1.24866j 0.332843-0.193573j -0.0502676+0.191292j 0.0644255-0.746665j -0.559909+0.468668j 0.048635-1.24342j -0.0314071+1.65921j -0.770255+0.456648j -0.254562-0.339503j 0.451867-1.45664j 0.105332+1.12684j 1.45407-1.77209j -0.213835+1.33913j -0.0622012+0.644579j 0.0955849+1.59619j -0.169115-0.0489097j -0.159129-0.426358j 0.536602-0.0774659j 0.00934102+2.60395j 0.94995-0.395037j 0.421833+1.58041j -0.0758827-0.661861j 0.0913863+2.15788j -0.0613661+0.632824j -0.3613+0.346674j -0.435767+0.598748j -0.449402-0.326554j 0.66423+0.649691j -0.529286-1.82512j 1.18081+0.0692052j -0.127693+0.399577j -0.232108-0.800504j -1.13758+0.0726566j 1.02846-0.411516j -0.682835-0.265464j 0.266436+0.4455j -0.228322-1.17634j -1.18449+0.807662j 0.930848+0.133753j 0.0693987+0.74089j -1.83028-1.57472j 0.998917-1.44569j 0.929963-0.280318j -0.189019-1.00707j 
0.00836281-0.425488j -0.68484-0.622459j 1.92106-1.20126j -0.697544-0.427863j 0.1484+0.4274j -4.7536+1.07733j 0.942382-0.282532j -2.62435+0.648968j -5.11837+2.07107j -6.53943+2.43946j 1.41612-0.438264j 7.57356-2.63734j 2.67358-1.7273j 0.0297532-0.103664j 3.65022-0.0292678j 10.0156-3.12868j -10.5777+3.02571j 12.2776-2.63745j -8.55226+3.42189j -1.50734+0.239286j 3.88972-1.3148j -15.5656+5.09816j 10.9339-3.19792j 8.06851-2.64915j 11.2151-3.79615j -22.262+6.91031j 4.53796-0.672899j 4.58047-1.87945j 0.19263-0.174251j 12.1275-3.87204j -7.23883+2.00275j 14.1771-3.4739j -14.0265+4.98753j -7.01162+1.65908j -0.0334258-10.5237j 9.73181-2.7551j -6.54292+1.65291j 13.9844-3.7571j -14.5388+3.37731j -6.41241+2.32404j -12.2751+3.74479j -1.19324+0.640048j 5.5672-0.350496j 2.40604-0.200187j -22.0696+5.57192j 10.2065-1.56213j -5.65946+2.7595j 12.0275-2.86053j -14.4809+4.56391j -5.90902+1.21167j 1.28766-0.073681j -9.90672+1.8612j 11.473-2.07809j -9.06973+2.58894j 11.3517-2.55315j 4.06901-0.873577j -1.65289-0.959908j 2.33288-0.596974j -8.9368+3.00101j 2.6341-1.05318j 8.03329+1.07246j 5.05648-0.261861j 1.75754-1.29223j -1.38116-0.237331j 4.34634+0.107143j -0.755085-1.51687j -1.73574+0.996297j -2.05094+0.75897j -0.143951-0.112379j 1.58861+1.1051j 
-0.0404547-0.184845j 0.0766594-0.772433j 1.19857+0.358772j 0.10731-0.615869j 0.209213+0.369797j -1.26722-2.27904j 0.200562+0.169279j -1.10817-1.21735j -1.29101-2.16446j -2.97184-2.35168j 0.654824+0.640665j 2.77447+2.95313j 1.08136+0.631462j -0.688054-0.837507j 0.416643+1.76982j 3.03625+3.60714j -3.08962-4.28176j 3.53819+5.30525j -3.09692-3.69477j 0.54245-0.849683j 1.24381+2.05922j -5.07907-6.52133j 3.41156+4.52169j 2.83724+3.67412j 3.4337+4.63134j -8.02035-9.28572j 1.4815+1.33225j 1.25631+1.39052j 0.728208+0.66213j 3.69837+5.11561j -2.59457-3.33084j 4.65965+5.79696j -5.49716-5.89368j -1.89716-2.91166j 4.62708-1.28125j 3.47099+3.13028j -2.01801-3.05006j 5.02333+6.22297j -4.80354-6.20302j -2.80144-2.40956j -4.28845-5.20693j -0.35146-1.0311j 0.929737+2.83618j 0.452299+0.242586j -6.79992-9.10577j 2.31712+5.4798j -1.78946-1.27853j 3.18351+5.71216j -5.19437-5.94038j -1.44857-2.44844j 0.379324+1.34386j -3.40191-3.56806j 4.15348+5.58821j -2.94888-4.10709j 2.2733+5.0392j 0.857455+1.6934j 1.02756-0.779906j 1.12641+0.955978j -2.91181-3.49654j 1.34555+2.0165j 0.373672+4.70697j 1.4866+2.19831j 0.740543+0.581604j -0.797191+0.201316j -0.00402187+2.46534j 1.72141+0.391449j -0.45103-1.17328j -0.657389+0.183716j -0.0580761+0.327471j 0.261216+1.18196j 
0.399386+0.0129124j 0.423499+0.0660111j -0.346241+1.34371j 0.00689876+0.155336j -0.660431-0.0785542j 0.260375-1.83738j -0.368306+0.579207j 0.550271-1.09112j -0.0650957-1.79516j 1.41125-3.03103j -0.435895+0.405282j -1.18975+3.32377j 0.508022+2.03882j 0.769818+0.987242j -0.463262+1.18634j -0.917455+5.11366j 0.572969-4.97151j -1.6046+5.58677j 0.0166928-3.3267j -1.21088-0.327173j -0.0199919+1.44261j 0.524953-6.68568j -0.698217+4.95635j -0.245023+3.37681j 0.0175285+4.76604j 2.37617-9.24731j -0.766786+2.62149j 0.372737+2.38263j -0.658744-0.617271j -0.100113+5.24345j 1.03115-3.05143j -1.96363+6.00006j 0.703988-5.82968j 0.605066-2.98503j 4.99764+1.36465j -1.11959+5.41464j 0.591028-2.42094j -1.82448+5.89762j 2.0185-6.28902j 0.881631-2.84246j 0.964336-5.52161j -0.312434+0.287782j -0.465352+2.24066j -0.757257+2.04934j 1.92275-9.98049j -1.02315+2.94999j -0.562199-3.18818j -0.280821+4.67348j 0.823611-6.28596j -0.431056-3.23681j -0.179497-0.564771j 2.09637-5.50707j -2.80789+4.13417j 0.873314-3.36853j 0.489762+4.98146j 0.586518+2.13581j -0.555399-1.15308j -1.10975+0.887933j 0.272678-4.00768j 0.23127+0.337385j -0.87247+3.11971j -1.31343+2.76402j 0.0379159+0.475594j 1.3536-1.75561j -0.0270102+2.01872j -0.732355-1.70486j -1.59973+0.0151315j 0.28452-2.21127j 0.298583-0.627791j -0.916022+0.447183j 
-0.253025-0.0107846j 0.1962-0.166661j -2.04001+0.87041j 0.798944+0.702995j 0.766389+0.747612j 4.27391-1.23432j -1.21214+0.489441j 2.52146-0.96954j 5.78337-2.67145j 6.32597-2.41025j -1.02853+0.360475j -8.57547+3.45529j -3.36367+1.97411j -0.662745+0.312018j -3.54231+0.181123j -11.6769+3.55414j 11.0993-4.02864j -11.323+5.43102j 8.6571-2.54798j 0.865855+0.78742j -3.78515+3.16021j 14.9186-5.18753j -10.5539+4.4726j -6.2838+2.57247j -10.9428+3.10654j 23.013-7.58235j -3.78469+1.25338j -4.80986+2.09342j -0.693062-0.0877739j -12.4828+3.73055j 7.6964-2.79857j -15.5361+3.50352j 12.9312-4.08979j 6.52316-2.10107j 1.41805+9.86911j -9.97407+2.67228j 7.29332-2.74876j -14.566+4.53809j 14.9759-4.02539j 6.54048-2.12758j 13.3552-4.28464j 1.32922-0.00131053j -4.98536+0.912406j -3.09315+1.87406j 23.3095-6.62411j -10.6827+2.71952j 8.39135-1.1221j -12.1162+3.82413j 15.0601-3.39207j 3.68506-1.30149j -0.837101-1.23659j 9.65194-3.42576j -12.9193+3.46301j 11.0126-2.02943j -12.3908+4.05606j -3.57644+1.22285j 0.629799+0.425799j -3.57497+1.31261j 11.9401-1.41933j 0.0169141-0.746295j -8.17352+2.0012j -4.51027+2.22314j -3.76424+1.5873j 2.94205-0.472535j -6.15909+3.55015j -0.151098+1.24502j -0.0697992+1.52512j 1.83415-0.844564j 0.0954751+0.0902534j -0.501598-0.72737j 
-0.051209-0.328497j 0.343979-0.41101j 0.602414+0.729633j 0.3407-0.0292558j 0.0141318+0.439098j 0.154542-1.11472j 0.0402462+0.168792j -0.0853724-0.962268j 0.394593-0.873953j -0.513726-2.43353j -0.0750149+0.641417j 0.282285+2.29258j 0.673217+0.191813j 0.613706-0.883969j -0.381346+0.660987j 0.828271+2.40593j -0.335806-2.15352j 0.34469+2.93943j 0.254191-1.94027j 0.508755+0.748509j -0.0670844+0.740726j -0.275791-3.27578j 0.184792+2.42994j 0.0137262+1.94053j 0.131999+2.08339j -0.405167-6.15614j 1.02501+1.2018j 0.388706+0.376963j -0.514661+0.852788j 0.118822+2.33752j -0.0441628-2.21837j 0.34592+3.86325j -0.325375-3.57099j 0.202454-1.52111j 1.53756-0.16014j 1.4451+2.46719j 0.383663-1.51986j 0.331805+4.08328j -0.282441-3.95007j -0.311356-1.88387j -0.659218-3.11988j 0.760694-0.258296j -0.210564+1.12714j 1.03497+0.538685j -0.685767-5.15586j -1.41531+2.45081j -0.770358-0.426204j -0.54803+2.16466j -0.4815-3.55905j -0.644629-0.391991j -0.993211+0.671029j -1.34255-3.01076j -0.367282+4.53373j 0.40519-2.40637j -0.227705+1.17313j 0.222594+0.271348j 0.0907501+0.834737j 0.159219+1.30829j -0.349353-1.90274j -0.763675+0.839403j -0.773086+1.38446j 0.59408+1.63342j -0.147573+0.509832j -1.43604-0.808502j -0.241854+0.257987j -0.605436+1.61032j 0.793297+0.620961j -1.25952-0.203552j -0.486806+0.0028577j -0.105778+0.775443j 
