0.0133091+0.258468j 0.00794131-0.13928j -0.188571+0.117441j -0.00131832-0.07307j 0.0235117-0.0521461j -0.00115177-0.0188468j 0.00167757-0.0128061j 0.00746264+0.018752j 0.0314666+0.00209191j -0.0134988+0.00197676j 0.0145919-0.0283449j -0.0159627-0.0261929j -0.0177427+0.0285248j -0.0109989+0.00675133j -0.00125651+0.0122413j -0.00907531-0.000711171j -0.00355957+0.00694438j -0.00574666-0.0014163j -0.0108287+0.0122993j 0.0165124+0.00623151j 0.0100213+0.00718057j 0.00508491+0.00222259j -0.00278044-0.0379447j 0.0155403-0.0285131j 
-0.0463899-0.0229621j 0.0490871+0.161917j 0.010175-0.0263209j 0.0287554+0.0616346j 0.0419691-0.00691j -0.026931+0.0190743j 0.00863753-0.014831j -0.00263963+0.0424294j 0.000352068-0.0230807j 0.00673684-0.00506239j 0.00470359+0.0372197j 0.0322696-0.0109188j 0.00615062-0.00638639j -0.0144+0.00235357j -0.00290575+0.00564538j -0.00213088-0.00491945j -0.00835823+0.000420849j 0.00677168+0.0109688j -0.00274691-0.0054744j 0.00695761-0.00659209j -4.86518e-07-0.0024376j -0.0160382-0.0109632j -0.00606556+0.0231425j -0.0122946+0.0300695j 
-0.279907-0.189441j 0.0279361-0.171034j 0.00406836-0.0204221j 0.0122421-0.0443181j -0.00550854+0.0123217j 0.00670265+0.0374712j 0.0327833+0.0331355j -0.00253367-0.0052464j 0.0156489+0.011725j 0.00312153-0.00183252j 0.0317852-0.0190448j 0.00345868+0.0117986j -0.0166994-0.00500613j -0.00191277-0.0132539j 0.0170117-0.00505335j 0.00805422+0.0124636j 0.00530459-0.00310372j -0.00151094+0.0108502j 0.0125543-0.00236975j -0.0155235-0.00820586j 0.00998716-0.00276258j -0.00534174+1.55497e-05j 0.018224-0.00575548j 0.0184719-0.0108579j 
-0.202206+0.215669j -0.0391608+0.278181j 0.0153295+0.0783649j 0.0223631+0.142005j 0.0294426+0.0198184j -0.00093685+0.0340319j -0.0135658+0.018079j -0.00526934+0.00838334j 0.00190786-0.00639553j -0.00176461-0.0146668j -0.00654483+0.0205421j -0.00190016+0.00736427j 0.0156638+0.00600213j 0.0141396+0.0190589j 0.0126124+0.021647j 0.00457792-0.0150658j 0.00556946+0.0124432j -0.0123598+0.0154822j -0.00850106+0.0140116j 0.0160007-0.0160767j -0.00122056+0.0136165j -0.0135321-0.0140425j -0.0098363+0.0103121j -0.00742597+0.0166491j 
0.141407+0.069097j 0.300777+0.0238772j 0.121334+0.107539j 0.0757613-0.00499162j -0.0352951-0.0177462j 0.0247416+0.00395727j 0.0204834+0.0432945j -0.020157-0.014082j -0.00209151-0.0255088j 0.0290856+0.0146165j 0.0626702-1.54649e-05j 0.01157+0.0140054j -0.0263646-0.00735874j 0.0109742+0.00767692j -0.00655798+0.0149768j 0.0135227-0.00887812j -0.00161944+0.00198163j -0.00235807-0.0231706j 0.00711718-0.0223515j 0.000732989+0.00911663j 0.0159953+0.00680562j 0.0379584-0.00283704j 0.0387948+0.00910262j -0.00682946-0.015109j 
-0.115192+0.0271945j 0.0898908-0.109916j -0.0170748-0.194231j 0.0310918-0.0787721j 0.0752356+0.0105588j -0.00565811+0.00555121j -0.0457751-0.00378934j 0.00794768-0.00900175j 0.0191494+0.0213398j 0.0203167+0.0103044j -0.0125745+0.0323612j 0.0230724-0.0256976j -0.00966372-0.00288852j -0.0340333-0.00206575j 0.0227873+0.0052943j -0.0285463+0.0086143j 0.00712307-0.00635536j -0.0141556-0.0105246j -0.00800335-0.0041194j -0.0471867-0.00941281j 0.0106082+0.00903174j -0.00460383+0.00465985j -0.0118826+0.00351692j -0.00497787+0.00510597j 
0.164947+0.0384104j -0.0179179+0.0655054j 0.00106555-0.162391j -0.0463224+0.134841j 0.0101544+0.0161482j 0.0124619-0.0150858j -0.01874-0.00389675j 0.032067-0.0089123j 0.0330869+0.0269734j 0.0268949-0.0771977j 0.000264841-0.0112433j 0.00527101+0.0190191j 0.00982832-0.0216321j 0.00105142+0.00550189j 0.00958461+0.00745089j -0.0193245-0.0012993j 0.00130622-0.00483308j -0.0155241+0.0032823j -0.0104768+0.026865j -0.00479476-0.0154844j -0.0170393+0.0127391j 0.0155577+0.0130841j -0.00360374-0.0169631j 0.0251989-0.00643577j 
-0.00423356-0.0737714j -0.0555431+0.048494j 0.296996-0.0555007j 0.0116161+0.0360169j -0.0811926+0.0620301j 0.00233097-0.0191913j -0.00481685-0.0398619j 0.0317702+0.0297976j 0.0452115+0.0575524j -0.006499-0.0163978j 0.0101157+0.0262042j 0.0111698-0.0147198j 0.0035917-0.000371812j 0.0142474-0.0243136j 0.00906022+0.0120563j -0.0186477-0.018214j 0.00978605-0.000904142j 0.0162451-0.0205355j 0.0158036-0.0235339j -0.0297136-0.0117351j -0.000729183-0.00756337j 0.0385465-0.00644075j -0.0169191+0.0198266j -0.0302902+0.0254464j 
0.0271209+0.0559773j -0.000713742+0.0644422j -0.00535918+0.0391197j -0.0643922-0.0360304j 0.0180619+0.0163852j 9.35173e-05+0.0259773j -0.0135803+0.009139j 0.0364097-0.0299283j 0.0703461-0.051204j 0.0320627+0.0359413j 0.021129-0.0191285j 0.0141033+0.0214458j 4.61499e-05-0.00894016j 0.00574572+0.0023781j 0.0155071+0.0067643j -0.00522018+0.00775502j 0.00281923+0.00336951j -0.0117314+0.000774214j 0.00784535+0.00114272j 0.00446548-0.0178452j -0.00360336+0.0148697j 0.0178029+0.00196251j -0.00377971+0.00577115j 0.00912494-0.0325314j 
0.0162758-0.0173417j 0.262622+0.127328j 0.132159-0.0647976j 0.157763+0.00901726j -0.0182346+0.0734299j -0.00411709-0.00828131j 0.0230244-0.0272279j -0.00076639+9.72093e-05j -0.00382266-0.00197765j -0.0381999+0.0428613j 0.000374244-0.0064723j 0.00181635+0.0365655j -0.00874243+0.0148038j -0.0154308+0.00678291j -0.0184716-0.00747536j 0.00475462+0.026406j -0.00430163-0.00409684j -0.00820469+0.0039512j -0.0211253+0.0169588j -0.0168586+0.00377436j 0.0148611+0.00384237j -0.013179-0.00910991j 0.0182111-0.0179925j 0.0289184-0.0156276j 
0.0478131-0.115353j -0.0793162+0.0945379j -0.102944+0.0399725j 0.00719477+0.0611765j -0.0191058+0.0452808j -0.00169713+0.00845782j 0.0321414-0.00147681j -0.0459796-0.0513594j -0.0636888-0.0875402j 0.00198837+0.020265j 0.011562+0.0325443j -0.00397539+0.0446007j -0.0105177+0.0171208j -0.0152261+0.0281263j 0.00112224+0.0179326j -0.0113808-0.0137007j 0.00202086+0.000900837j -0.00438877-0.0156916j -0.00840921+0.00324052j -0.00725336-0.0184608j -0.00227045-0.00552472j -0.0147259+0.0263376j 0.00231129+0.0437963j -0.00205943-0.0109415j 
-0.00696412+0.0206853j -0.0808705+0.0738588j 0.163375+0.257174j -0.0535072+0.0195955j -0.083807-0.0858599j 0.00969228+0.0325009j 0.0267377+0.0224551j -0.0168882+0.0333026j -0.0439582+0.0340497j 0.00974478+0.0122872j -0.0222253+0.0197085j -0.00438293-0.000186669j -0.0168983+0.00415383j -0.0335454+0.025147j 0.0018299-0.00851787j -0.00924717+0.0165788j 0.00220185-0.0125785j -0.0173623+0.00412434j -0.00830736+0.00226013j -0.0400576-0.0168831j 0.0245475+0.01489j 0.0127411+0.0107887j -0.00474041-0.0076534j -0.0203372-0.010169j 
0.0230334-0.0376904j -0.12474-0.107772j 0.317272-0.275116j -0.0582059-0.0414811j -0.0606516+0.0299341j -0.0150557-0.0110275j -0.00528019+0.0199088j -0.0334305-0.00605798j -0.0600714+0.00858566j 0.00641525-0.0132362j -0.0544593-0.00147923j -0.00163519-0.0412129j 0.0436748-0.0231183j 0.0385079-0.0309736j -0.0184231-0.0192522j -0.00248576+0.0128592j 0.000880023-0.00229985j 0.0287751+0.00168528j 0.0052504+0.0148657j -0.00329522+0.0250004j -0.0128135-0.00206897j 0.0200395+0.00232075j -0.00462037+0.00335279j -0.032879+0.019598j 
-0.0105579-0.0323804j -0.131745+0.230266j -0.216602-0.279763j -0.0989645+0.0121246j -0.0634989+0.104122j 0.0278543+0.00574356j 0.0393834-0.0108501j 0.00134859+0.00354955j 0.00779921+0.0240449j -0.00568567+0.0175359j 0.0311718+0.0186438j 0.000763919-0.0030615j -0.0311603-0.0303596j 0.00578317-0.0109303j 0.0124636-0.00666853j -0.0072485-0.0122841j -0.000184933+0.000334195j 0.00523193+0.0223901j 0.000439704+0.00856838j 0.00989097-0.0233048j 0.0108156+0.0104183j -0.0183957-0.0254499j -0.00348084+0.0227793j 0.0212171+0.0367312j 
0.0928406-0.0362793j -0.201125+0.167984j 0.0990146+0.136765j -0.118552+0.0190983j -0.035753-0.0228247j -0.0150478+0.0227203j -0.0198558+0.0149763j 0.0011411-0.00113104j -0.00843462-0.006373j 0.0142468+0.0273905j -0.0450495+0.0102684j 0.00227699+0.00185923j 0.0195944-0.0120598j 0.00414059+0.0146362j -0.00196051-0.0139395j 0.000490813-0.0016136j -0.00286676+0.000287123j 0.00121261+0.00314819j -0.00363001-0.00440463j 0.0048666-0.00704889j -0.0106814+0.0116617j 0.0109559+0.00148224j -0.0224806+0.0155428j -0.0287017+0.00370997j 
0.0459013+0.0960439j -0.180394-0.218002j -0.120326+0.101432j -0.0480942-0.108637j 0.00769811-0.0157012j -0.0312103-0.0148754j -0.0109518-0.00576138j -0.00181458-0.00467652j 0.00985323-0.00988965j -0.0223493+0.02164j -0.0312676-0.030008j -0.0229304-0.0222712j 0.0023673+0.0290106j -0.00304577+0.00568997j 0.00170283+0.00985649j -0.00971005-0.00418453j -0.00144541+0.00334861j 0.000903482-0.00895669j 0.000221201-0.000842231j 0.00810415+0.0102971j -0.0105919-0.00847625j -0.00114705+0.0163286j -0.0203446-0.0162274j -0.0054439-0.0237106j 
