-0.506424-0j -0.0515245-0j -0.0520585-0j -0.0296544-0j -0.00428024-0j -0.0366954-0j -0.0214057-0j -0.00529653-0j -0.00308964-0j 0.0620385-0j 0.010967-0j -0.0243869-0j 0.000913914-0j -0.0149339-0j -0.0213385-0j -0.00431103-0j -0.00263996-0j -0.00880169-0j -0.000359253-0j -0.00377215-0j -0.000219996-0j -0.00155593-0j -0.000314346-0j -0.000129661-0j -0.0161406-0j -0.00269011-0j 0.0541134-0j -0.00164735-0j -0.000336263-0j -0.014887-0j -1.98145e-05-0j -0.0150413-0j 0.00901891-0j -0.0130261-0j 0.00552293-0j -0.00248117-0j -0.010746-0j 0.00112736-0j -0.0015194-0j -0.00250688-0j 6.64305e-05-0j -0.0034334-0j -0.000310146-0j -0.00153514-0j -0.00217102-0j -0.00132947-0j -1.82755e-05-0j -0.001791-0j -0.00031336-0j -0.000271378-0j -0.00109676-0j -1.84649e-05-0j -0.000572234-0j -0.000223875-0j -0.00035042-0j -1.59911e-05-0j -7.15292e-05-0j -1.3192e-05-0j -4.2149e-06-0j 
-0.0542537-0j -0.0665073-0j -0.704638-0j 0.000811807-0j -0.011167-0j -0.00393122-0j -0.00746337-0j 0.0540765-0j 0.102664-0j 0.000572234-0j -0.00476969-0j -0.00261259-0j -0.00120928-0j 0.000408824-0j 0.00612559-0j 0.0217765-0j -0.00340763-0j -0.00448621-0j 0.00552109-0j -0.051058-0j -0.000863952-0j 0.0373935-0j -0.012945-0j 0.00948054-0j 0.00044186-0j -0.00347236-0j -0.0019533-0j 4.50972e-05-0j -0.000877296-0j 0.000407541-0j -0.000103933-0j 0.00431786-0j 0.01535-0j -0.0013955-0j -0.000199358-0j -0.00320267-0j -0.00374674-0j 0.00387819-0j 4.15945e-05-0j -0.0339319-0j 0.000459447-0j 0.00467513-0j -0.000809157-0j 0.00044069-0j 0.0109666-0j -0.000142428-0j -9.58604e-05-0j 0.0294438-0j -0.00857293-0j 0.00277071-0j -0.0003824-0j -0.00101563-0j -0.0367395-0j 0.00743901-0j 0.000477153-0j 0.000328245-0j -0.00928227-0j 0.000881295-0j -0.00109967-0j 
0.0419376-0j 0.00426682-0j 0.00431103-0j -0.234779-0j 0.000354453-0j -0.290525-0j -0.169473-0j 0.000438613-0j 0.000255857-0j 0.00173101-0j -0.0292554-0j 0.00201951-0j 2.55002e-05-0j 0.00123669-0j 0.00176707-0j -0.0341313-0j -0.020901-0j 0.00072888-0j 2.97502e-05-0j -0.0298649-0j 1.82182e-05-0j -0.0123186-0j 2.60314e-05-0j 1.07374e-05-0j 0.00133663-0j 0.000222771-0j 0.00150988-0j -0.0262211-0j -0.00266226-0j 0.00123281-0j 1.64087e-06-0j 0.00124559-0j 0.000251647-0j 0.00107871-0j -0.0296199-0j 0.000205469-0j 0.000889892-0j -0.00300734-0j -0.0241846-0j 0.000207598-0j 1.85356e-06-0j 0.000284325-0j -0.00245549-0j -0.0244352-0j 0.000179785-0j -0.0211615-0j 1.51342e-06-0j 0.000148315-0j -0.00248093-0j -0.00214855-0j -0.0174573-0j 1.52911e-06-0j 4.73875e-05-0j -0.00177246-0j -0.00557771-0j 1.32424e-06-0j -0.00056631-0j 1.09245e-06-0j 3.49042e-07-0j 
-0.00605318-0j 0.0586929-0j 0.0593011-0j -0.000354453-0j -0.227432-0j -0.000438613-0j -0.000255857-0j -0.281433-0j -0.164169-0j -0.00024985-0j 0.00420926-0j -0.000291491-0j -0.0501421-0j -0.000178501-0j -0.000255055-0j 0.00491081-0j 0.00300724-0j -0.000105205-0j -0.0584991-0j 0.00429696-0j -0.0358233-0j 0.0017724-0j -0.0511867-0j -0.0211135-0j -0.000192926-0j 0.00306437-0j -0.000217933-0j -1.96904e-05-0j -0.0178675-0j -0.000177941-0j -0.00649839-0j -0.000179785-0j 0.00346157-0j -0.000155699-0j -2.22427e-05-0j 0.00282636-0j -0.000128445-0j -0.0201835-0j -1.81611e-05-0j 0.00285565-0j -0.00734072-0j -4.10388e-05-0j -0.0164797-0j -1.83493e-05-0j 0.00247307-0j -1.58909e-05-0j -0.00599367-0j 0.00204018-0j -0.0166505-0j -0.0144198-0j -1.31094e-05-0j -0.00605578-0j 0.000651846-0j -0.0118957-0j -4.1885e-06-0j -0.00524446-0j -0.00380074-0j -0.00432646-0j -0.00138232-0j 
-0.000804204-0j -0.0047225-0j 0.0046061-0j 0.259853-0j -0.000392307-0j 0.00557116-0j -0.365394-0j -8.41093e-06-0j 0.000551646-0j -0.00191588-0j 0.0323798-0j -3.87266e-05-0j -2.82235e-05-0j -0.00136877-0j 0.00188802-0j 0.000654508-0j 0.0231332-0j 0.00236426-0j -5.70496e-07-0j -0.0319089-0j -2.01639e-05-0j -0.0399578-0j 2.78132e-05-0j 3.48288e-05-0j 0.00588127-0j 0.000980211-0j -2.89538e-05-0j -0.115375-0j -0.0117141-0j -0.00136448-0j 7.21994e-06-0j 0.00133084-0j -4.82563e-06-0j -2.06856e-05-0j 0.000567998-0j -0.000227413-0j 0.00191867-0j 5.76694e-05-0j 0.0267674-0j 0.000221807-0j -3.55442e-08-0j 0.0012315-0j 0.00271772-0j -0.0261077-0j -3.4476e-06-0j 0.000405797-0j -1.67505e-06-0j 0.000319778-0j -0.00265074-0j 4.1201e-05-0j -0.0376392-0j 1.63377e-06-0j 0.00020525-0j -0.00382155-0j -0.0241588-0j -2.5394e-08-0j -0.00245286-0j 2.35539e-06-0j 1.51181e-06-0j 
0.000116077-0j -0.0649611-0j 0.06336-0j 0.000392307-0j 0.251722-0j 8.41093e-06-0j -0.000551646-0j 0.00539682-0j -0.35396-0j 0.000276533-0j -0.0046588-0j 5.5897e-06-0j 0.0554972-0j 0.000197565-0j -0.000272512-0j -9.41706e-05-0j -0.00332841-0j -0.000341251-0j 0.00112179-0j 0.00459106-0j 0.0396491-0j 0.00574913-0j -0.0546902-0j -0.0684854-0j -0.000848888-0j 0.0134835-0j 4.17912e-06-0j -8.66393e-05-0j -0.0786183-0j 0.000196945-0j -0.0285934-0j -0.000192091-0j -6.63798e-05-0j 2.98571e-06-0j 4.2653e-07-0j -0.00312821-0j -0.000276936-0j 0.000387042-0j 2.01006e-05-0j 0.00305111-0j 0.000140767-0j -0.000177751-0j 0.0182397-0j -1.96052e-05-0j -4.7424e-05-0j 3.04728e-07-0j 0.00663378-0j 0.00439876-0j -0.0177902-0j 0.000276516-0j -2.82646e-05-0j -0.00647027-0j 0.00282335-0j -0.0256479-0j -1.81417e-05-0j 0.000100569-0j -0.0164622-0j -0.00932813-0j -0.00598727-0j 
-0.0366954-0j 0.00362718-0j -0.00377215-0j 0.205432-0j -0.000310146-0j -0.246972-0j 0.148289-0j 0.000372861-0j -0.000223875-0j 0.00449531-0j -0.0759741-0j -0.00176707-0j 6.62221e-05-0j 0.00318471-0j 0.00150217-0j 0.0298649-0j -0.053824-0j -0.00063777-0j -2.60314e-05-0j -0.0253878-0j 4.69152e-05-0j 0.0107788-0j 2.21291e-05-0j -9.39524e-06-0j -0.00116955-0j -0.000194925-0j 0.00392106-0j 0.0229435-0j 0.00232948-0j 0.001048-0j -1.43576e-06-0j -0.00108989-0j 0.000653509-0j 0.00277788-0j -0.0769208-0j 0.000174667-0j 0.000756489-0j -0.00780985-0j -0.0205591-0j -0.000181648-0j 4.81355e-06-0j -0.000248784-0j -0.00208739-0j 0.0213808-0j 0.00046298-0j -0.0544947-0j 1.28655e-06-0j 0.000126082-0j 0.00217081-0j -0.00553291-0j -0.0148403-0j -1.33797e-06-0j -4.1464e-05-0j -0.00150675-0j 0.00488049-0j 3.41017e-06-0j 0.000495522-0j 9.28678e-07-0j -3.05412e-07-0j 
-0.0244636-0j -0.00248898-0j -0.00251477-0j -0.675626-0j 0.00102001-0j 0.169473-0j 0.0988591-0j -0.000255857-0j -0.00014925-0j -0.00100976-0j 0.0170656-0j 0.00581156-0j -1.48751e-05-0j -0.000721404-0j -0.00103079-0j -0.0982197-0j 0.0121923-0j -0.00042518-0j 8.56123e-05-0j 0.0174212-0j -1.06273e-05-0j 0.00718586-0j -1.5185e-05-0j -6.26349e-06-0j -0.0007797-0j -0.00012995-0j -0.000880765-0j 0.0152957-0j 0.00155299-0j 0.00354767-0j -9.57172e-07-0j 0.00358444-0j -0.000146794-0j -0.000629249-0j 0.0172783-0j 0.000591279-0j -0.000519104-0j 0.00175428-0j -0.069596-0j 0.000597406-0j -1.08124e-06-0j -0.000165856-0j -0.00706616-0j -0.0703173-0j -0.000104875-0j 0.0123442-0j 4.35518e-06-0j -8.65173e-05-0j -0.00713939-0j 0.00125332-0j 0.0101835-0j 4.40031e-06-0j -2.76427e-05-0j 0.00103394-0j 0.00325366-0j -7.72476e-07-0j 0.000330348-0j -6.3726e-07-0j -2.03608e-07-0j 
-0.035791-0j 0.00377215-0j -0.00380896-0j -0.207561-0j 0.00031336-0j 0.247943-0j -0.13452-0j -0.000374327-0j 0.000203089-0j -0.00454189-0j 0.0767614-0j -0.00172352-0j -6.69084e-05-0j 0.00109332-0j -0.00156127-0j 0.0291287-0j -0.0184779-0j 0.00304559-0j -2.53898e-05-0j 0.0263867-0j 1.61061e-05-0j -0.0514727-0j -2.29997e-05-0j 4.48657e-05-0j 0.00118167-0j 0.000196945-0j 0.00382441-0j -0.0231813-0j -0.00235362-0j 0.00108989-0j 1.45064e-06-0j -0.00110052-0j 0.000637402-0j -0.000920609-0j -0.0750249-0j 0.000181648-0j 0.000706358-0j -0.00761736-0j -0.0213808-0j -0.000183421-0j 4.69491e-06-0j 0.00263584-0j -0.00217081-0j 0.0215894-0j -0.000153435-0j 0.0180599-0j 1.33797e-06-0j 0.000117726-0j 0.00219199-0j 0.00183364-0j -0.0138569-0j -1.35102e-06-0j 0.000439307-0j -0.0014069-0j -0.0517083-0j -1.13015e-06-0j -0.00525-0j 8.67136e-07-0j 3.2358e-06-0j 
0.00529653-0j 0.0498943-0j -0.0518885-0j 0.000310146-0j 0.199003-0j -0.000372861-0j 0.000223875-0j -0.239244-0j 0.143648-0j -0.000648842-0j 0.0109312-0j 0.000255055-0j -0.130215-0j -0.000459673-0j -0.00021682-0j -0.00429696-0j 0.0077442-0j 9.20542e-05-0j 0.0511867-0j 0.0036528-0j -0.0922514-0j -0.00155085-0j -0.0435134-0j 0.0184743-0j 0.00016881-0j -0.00268132-0j -0.000565956-0j 1.72291e-05-0j 0.0156341-0j -0.000151266-0j 0.00568609-0j 0.000157312-0j 0.00898946-0j -0.000400952-0j -5.77626e-05-0j 0.00240267-0j -0.00010919-0j -0.0524151-0j -1.54386e-05-0j -0.0024987-0j -0.0190633-0j 3.59089e-05-0j -0.0140093-0j 1.60556e-05-0j 0.0063686-0j -4.0922e-05-0j -0.00509516-0j 0.00173434-0j 0.0145692-0j -0.0371335-0j -1.11441e-05-0j 0.00529881-0j -0.000570366-0j -0.0101124-0j 3.66494e-06-0j -0.0135054-0j 0.00332564-0j -0.00367788-0j 0.00120953-0j 
0.00353102-0j -0.0342375-0j -0.0345923-0j -0.00102001-0j -0.654483-0j 0.000255857-0j 0.00014925-0j 0.164169-0j 0.0957655-0j 0.000145746-0j -0.0024554-0j -0.000838826-0j 0.0292496-0j 0.000104126-0j 0.000148782-0j 0.0141319-0j -0.00175423-0j 6.13695e-05-0j -0.168343-0j -0.00250656-0j 0.0208969-0j -0.0010339-0j 0.0298589-0j 0.0123162-0j 0.00011254-0j -0.00178755-0j 0.000127127-0j 1.14861e-05-0j 0.0104227-0j -0.000512063-0j 0.00379073-0j -0.000517369-0j -0.00201925-0j 9.08242e-05-0j 1.29749e-05-0j 0.00813344-0j 7.49262e-05-0j 0.0117737-0j -5.22622e-05-0j 0.00821773-0j 0.00428208-0j 2.39393e-05-0j -0.0474238-0j -5.28038e-05-0j -0.00144262-0j 9.26971e-06-0j -0.017248-0j -0.0011901-0j -0.0479153-0j 0.00841154-0j 7.64712e-06-0j -0.0174268-0j -0.000380244-0j 0.00693916-0j 2.44329e-06-0j 0.00305927-0j 0.0022171-0j 0.00252377-0j 0.000806356-0j 
0.00516598-0j 0.0518885-0j -0.0523947-0j -0.00031336-0j -0.201066-0j 0.000374327-0j -0.000203089-0j 0.240185-0j -0.130311-0j 0.000655566-0j -0.0110444-0j 0.000248768-0j 0.131565-0j -0.000157807-0j 0.00022535-0j -0.00419105-0j 0.00265861-0j -0.000439593-0j 0.0499251-0j -0.00379652-0j -0.0316702-0j 0.0074059-0j 0.0452254-0j -0.0882214-0j -0.000170559-0j 0.00270911-0j -0.000552006-0j -1.74076e-05-0j -0.0157961-0j -0.000157312-0j -0.00574502-0j 0.000158847-0j 0.00876789-0j 0.000132878-0j -5.63389e-05-0j 0.0024987-0j -0.000101954-0j -0.0511231-0j -1.60556e-05-0j -0.00252307-0j -0.0185934-0j -0.000380451-0j -0.0145692-0j 1.62123e-05-0j -0.0021106-0j 1.35618e-05-0j -0.00529881-0j 0.0016194-0j 0.0147114-0j 0.0123063-0j -1.04056e-05-0j 0.00535051-0j 0.00604297-0j -0.0094423-0j -3.88296e-05-0j 0.0044758-0j -0.0352349-0j -0.00343416-0j -0.0128149-0j 
0.000741743-0j -0.00423171-0j -0.00424835-0j 0.471337-0j -0.00071159-0j 0.00499217-0j 0.337014-0j -7.53682e-06-0j -0.0005088-0j 0.00176707-0j -0.0298649-0j -7.02445e-05-0j 2.60314e-05-0j -0.00371549-0j 0.00169181-0j 0.00118719-0j 0.0627946-0j -0.00218063-0j -1.0348e-06-0j -0.0285928-0j -5.47344e-05-0j 0.0368543-0j 2.49227e-05-0j -3.21237e-05-0j 0.00136448-0j 0.000227413-0j 2.6705e-05-0j -0.0267674-0j -0.00271772-0j 0.00240451-0j 1.67505e-06-0j 0.00241396-0j 4.45083e-06-0j -5.61506e-05-0j -0.000523882-0j 0.000400752-0j 0.00171927-0j -5.31903e-05-0j -0.0471702-0j 0.000402327-0j 3.27835e-08-0j -0.00113585-0j -0.00478924-0j -0.0473556-0j -9.35844e-06-0j 0.00110153-0j 2.95181e-06-0j 0.000286545-0j -0.00480807-0j 0.000111839-0j -0.0337275-0j 2.96342e-06-0j -0.000189308-0j -0.00342439-0j 0.0222824-0j -6.89314e-08-0j 0.00226235-0j 2.1106e-06-0j -1.39439e-06-0j 
0.0151361-0j -0.00756836-0j 0.00155593-0j -0.0847363-0j 0.000127929-0j 0.515324-0j -0.0611659-0j -0.000777999-0j 9.23439e-05-0j 0.000624754-0j -0.0105588-0j 0.00072888-0j 9.2035e-06-0j 0.00557595-0j -0.00313438-0j -0.0123186-0j -0.0942378-0j 0.000263067-0j 1.07374e-05-0j 0.0529734-0j 8.21416e-05-0j -0.00444603-0j -4.61738e-05-0j 3.87534e-06-0j 0.000482415-0j 8.04025e-05-0j 0.000544945-0j -0.00946371-0j -0.000960861-0j -0.00218673-0j 5.9222e-07-0j 0.000449557-0j 9.08242e-05-0j 0.00486366-0j -0.0106904-0j -0.000364455-0j -0.00157847-0j -0.00108541-0j 0.0428979-0j 7.49262e-05-0j 6.68984e-07-0j 0.000102618-0j 0.00435547-0j -0.00881913-0j 0.000810609-0j -0.0954121-0j -2.68447e-06-0j -0.000263078-0j -0.000895415-0j -0.0096873-0j 0.0309653-0j 5.51883e-07-0j 1.7103e-05-0j 0.00314395-0j -0.0020131-0j 5.9707e-06-0j -0.000204392-0j -1.93775e-06-0j 1.25976e-07-0j 
