-0.189615-0j -0.221217-0j -0.135467-0j -0.193565-0j -0.0798414-0j -0.0244024-0j -0.0275654-0j -0.022507-0j -0.0227403-0j -0.0196937-0j -0.0162464-0j -0.00519082-0j -0.0157022-0j -0.00226642-0j -0.0173792-0j -0.00250847-0j -0.0137395-0j -0.00915964-0j -0.0138818-0j -0.00198312-0j -0.00132208-0j -0.00200367-0j -0.0160294-0j -0.00566724-0j -0.00935047-0j -0.00231364-0j -0.000817996-0j -0.00991767-0j -0.00134962-0j -0.00143149-0j -0.00578531-0j -0.000835037-0j -0.00150924-0j -0.00021784-0j 0.071109-0j 0.0125704-0j 0.00104753-0j -0.0129131-0j -0.00228273-0j -0.000190227-0j -0.0100024-0j -0.0101061-0j -0.00913091-0j -0.00176819-0j -0.00178652-0j -0.000147349-0j -0.0112989-0j -0.00161413-0j -0.000148876-0j -0.00753262-0j -0.00659104-0j -0.000134511-0j -0.00652344-0j -0.00199739-0j -0.00133159-0j -0.00932114-0j -0.00116514-0j -0.000166449-0j -0.00466057-0j -0.00115319-0j -0.00384477-0j -0.000110966-0j -9.70952e-05-0j -0.00164776-0j -9.60993e-05-0j -0.00470887-0j -0.00082388-0j -0.000679666-0j -0.000137313-0j -0.00212769-0j -6.86567e-05-0j -0.000832418-0j -5.66389e-05-0j -0.000469112-0j -6.93682e-05-0j -0.000376126-0j -8.29281e-05-0j -3.13439e-05-0j -6.91067e-06-0j 
-0.0616118-0j -0.414285-0j -0.0440176-0j -0.297268-0j 0.360939-0j -0.00792911-0j 0.0262499-0j 0.0143823-0j 0.0686807-0j 0.0187538-0j -0.00632016-0j 0.0314035-0j -0.00510216-0j -0.000736434-0j 0.0165498-0j 0.00238876-0j -0.00446439-0j 0.0146825-0j -0.0213191-0j -0.000644379-0j 0.00211924-0j -0.00307715-0j -0.030019-0j -0.00184147-0j 0.00715352-0j -0.00433288-0j -0.000265793-0j -0.0152311-0j 0.00103252-0j -0.00219842-0j 0.0261536-0j 0.00377495-0j -0.01542-0j -0.00222569-0j -0.00384477-0j -0.000679666-0j -5.66389e-05-0j 0.0122968-0j 0.00217379-0j 0.000181149-0j -0.0032501-0j -0.0155204-0j 0.00583477-0j -0.000574543-0j -0.00274365-0j -4.78786e-05-0j 0.0107597-0j 0.00103145-0j -0.000228638-0j -0.0353866-0j -0.00256403-0j 8.59542e-05-0j 0.00416856-0j 0.00190207-0j -0.00625552-0j 0.0281519-0j -0.000453261-0j 0.000158505-0j 0.00443815-0j 0.000736904-0j -0.0341817-0j -0.000521294-0j -3.77718e-05-0j 0.0049766-0j 6.14087e-05-0j -0.00183183-0j 0.000784562-0j -0.00604252-0j 0.000414717-0j 0.0128721-0j 6.53802e-05-0j -0.000323825-0j -0.000503544-0j -0.030946-0j -2.69854e-05-0j 0.00227549-0j -0.00547053-0j 0.000189624-0j -0.000455877-0j 
-0.0754588-0j 0.171495-0j -0.0478589-0j 0.203548-0j -0.0380403-0j -0.00971113-0j 0.0213696-0j 0.0263607-0j -0.00812524-0j 0.0135534-0j 0.073146-0j 0.0263097-0j -0.00624885-0j -0.000901943-0j 0.0134729-0j 0.00194465-0j 0.0160919-0j -0.00364516-0j -0.00496006-0j 0.00232267-0j -0.000526134-0j -0.000715923-0j -0.036572-0j -0.0281746-0j -0.0143043-0j -0.00527871-0j -0.00406665-0j -0.00314587-0j -0.00206464-0j -0.000454067-0j 0.00811225-0j 0.0011709-0j 0.0262168-0j 0.00378407-0j -0.00470887-0j -0.000832418-0j -6.93682e-05-0j 0.0100106-0j 0.00176965-0j 0.00014747-0j 0.011715-0j -0.00361096-0j -0.00363373-0j 0.00207094-0j -0.000638333-0j 0.000172578-0j -0.0257792-0j -0.000642358-0j -5.31944e-05-0j 0.00583953-0j -0.0100829-0j -5.35299e-05-0j -0.00230465-0j -0.00455716-0j 0.00103229-0j 0.00980187-0j -0.00178243-0j -0.000379763-0j 0.0451355-0j -0.000407409-0j -0.00183183-0j 8.60244e-05-0j -0.000148536-0j 0.00173274-0j -3.39507e-05-0j -0.00639499-0j 0.00797891-0j -0.000323825-0j 0.000144395-0j -0.0317387-0j 0.000664909-0j -0.00113049-0j -2.69854e-05-0j 0.0181529-0j -9.42071e-05-0j -0.00561066-0j 0.00320902-0j -0.000467555-0j 0.000267418-0j 
0.0340959-0j -0.155668-0j -0.071691-0j -0.354596-0j -0.267306-0j 0.00438796-0j -0.0193975-0j -0.00393193-0j 0.0428791-0j 0.0407857-0j 0.0361484-0j 0.046427-0j 0.00282353-0j 0.000407541-0j -0.0122296-0j -0.00176519-0j -0.00240026-0j 0.00164706-0j 0.0261756-0j -0.000346447-0j 0.000237732-0j 0.00377813-0j 0.0109586-0j -0.0050083-0j -0.0214144-0j 0.00158174-0j -0.000722885-0j -0.0550376-0j -0.0030909-0j -0.00794399-0j 0.0188176-0j 0.00271608-0j 0.0383254-0j 0.00553179-0j 0.00212769-0j 0.000376126-0j 3.13439e-05-0j -0.00908679-0j -0.00160633-0j -0.000133861-0j -0.0017474-0j 0.019056-0j 0.00164189-0j -0.0003089-0j 0.00336866-0j -2.57416e-05-0j 0.0077246-0j 0.000290248-0j 0.000280722-0j -0.00530063-0j -0.0150948-0j 2.41874e-05-0j -0.00345229-0j 0.00136553-0j -0.000937028-0j -0.0170756-0j -0.00266841-0j 0.000113794-0j 0.0161179-0j -0.000610284-0j -0.0128721-0j -7.80857e-05-0j -0.000222367-0j -0.00301857-0j -5.0857e-05-0j 0.0317387-0j 0.00284927-0j -0.00227549-0j -0.000251547-0j -0.0184885-0j 0.000237439-0j 0.00561066-0j -0.000189624-0j -0.00111974-0j 0.000467555-0j -0.00326833-0j -0.000197944-0j -0.000272361-0j -1.64953e-05-0j 
-0.00751744-0j 0.0515584-0j -0.00537072-0j -0.213337-0j -0.642631-0j -0.000967453-0j 0.00642459-0j -0.000892312-0j -0.0250632-0j 0.00458995-0j 0.062631-0j 0.00273177-0j -0.00062253-0j -8.98544e-05-0j 0.00405052-0j 0.000584642-0j -0.000544713-0j -0.000363142-0j -0.0152998-0j -7.86226e-05-0j -5.24151e-05-0j -0.00220834-0j 0.00373592-0j -0.000224683-0j 0.0360466-0j 0.000539234-0j -3.24302e-05-0j -0.0109307-0j 0.00520288-0j -0.00157772-0j -0.046565-0j -0.00672108-0j 0.0589191-0j 0.00850424-0j -0.000469112-0j -8.29281e-05-0j -6.91067e-06-0j 0.00300961-0j 0.000532029-0j 4.43357e-05-0j -0.000396555-0j -0.0111384-0j -0.000362003-0j -7.01016e-05-0j -0.00196901-0j -5.8418e-06-0j 0.00263341-0j -6.39937e-05-0j -0.000164084-0j 0.00175561-0j 0.0254088-0j -5.33281e-06-0j -0.000258628-0j 0.000465525-0j 0.00031035-0j -0.0102733-0j 0.00449169-0j 3.87938e-05-0j 0.00108623-0j -4.57193e-05-0j -0.030946-0j 2.58625e-05-0j 0.000374307-0j -0.00181608-0j -3.80994e-06-0j 0.0181529-0j 0.000192019-0j -0.00547053-0j -0.00015134-0j 0.00111974-0j 1.60016e-05-0j 0.00320902-0j -0.000455877-0j -0.00113831-0j 0.000267418-0j 0.000197944-0j -0.000201227-0j 1.64953e-05-0j -1.6769e-05-0j 
0.0255206-0j 0.029774-0j 0.0182328-0j 0.0260523-0j 0.010746-0j -0.154861-0j -0.174934-0j -0.142833-0j -0.144313-0j -0.124979-0j -0.103102-0j -0.0329417-0j 0.0021134-0j -0.0290712-0j 0.0023391-0j -0.0321759-0j 0.00184922-0j 0.00123281-0j 0.00186838-0j -0.0254373-0j -0.0169582-0j -0.0257009-0j 0.00215742-0j 0.000762765-0j 0.0012585-0j -0.0296768-0j -0.0104923-0j 0.00133484-0j -0.0173115-0j -0.0183616-0j 0.000778656-0j -0.0107109-0j 0.000203131-0j -0.00279421-0j 0.00159257-0j -0.0132744-0j -0.00336551-0j 0.00173799-0j -0.0144865-0j -0.00367284-0j 0.00134624-0j 0.0013602-0j 0.00122895-0j -0.0112212-0j -0.0113375-0j -0.00284497-0j 0.00152074-0j -0.0102435-0j -0.00287445-0j 0.00101383-0j 0.000887101-0j -0.00259709-0j 0.000878002-0j -0.0126757-0j -0.00845048-0j 0.00125455-0j -0.00739417-0j -0.00321373-0j 0.000627275-0j -0.00731833-0j 0.000517476-0j -0.00214249-0j -0.00187468-0j -0.0104569-0j -0.00185545-0j 0.000633776-0j -0.00522847-0j -0.00431326-0j -0.0026512-0j 0.00028637-0j -0.0013256-0j -0.00528265-0j -0.00109356-0j 6.31387e-05-0j -0.00133933-0j -0.00238695-0j -0.000526274-0j -0.000605176-0j -0.000133429-0j 
-0.0275654-0j -0.000557193-0j -0.0196937-0j 0.0271646-0j 0.0340167-0j 0.167269-0j 0.00327373-0j 0.154277-0j -0.150475-0j 0.00233886-0j -0.216938-0j -0.139242-0j -0.00228273-0j 0.0314005-0j -4.3774e-05-0j 0.000602141-0j -0.00199739-0j -0.00133159-0j 0.00194816-0j 0.0274754-0j 0.0183169-0j -0.0267982-0j -4.03742e-05-0j -0.00082388-0j 0.00264801-0j 0.000555374-0j 0.011333-0j 0.00139183-0j -0.0364252-0j -0.0191455-0j 0.00246485-0j -0.0339056-0j 0.00107423-0j -0.0147767-0j 0.0103375-0j -0.0861655-0j -0.0218459-0j -3.25249e-05-0j 0.000271102-0j 6.87337e-05-0j -0.00145411-0j 0.00141827-0j -0.00132741-0j 0.0121203-0j -0.0118216-0j 0.00307292-0j -2.84593e-05-0j 0.0110643-0j -0.00299718-0j -1.89729e-05-0j 0.00186655-0j 0.00280518-0j -0.000948351-0j 0.000237214-0j 0.000158143-0j 0.00130811-0j -0.0155581-0j 6.0142e-05-0j -1.17389e-05-0j 0.0079047-0j 0.00163808-0j 4.00947e-05-0j -0.00394452-0j -0.0109034-0j 0.00200412-0j 0.00133353-0j 9.78458e-05-0j -0.0136537-0j -0.00276439-0j 0.00121047-0j 2.48073e-05-0j -0.0111152-0j -0.00346169-0j 0.000400915-0j -0.0028181-0j -0.0100895-0j -0.0033417-0j -0.00255803-0j -0.000847238-0j 
-0.0210534-0j -0.0245623-0j 0.0442675-0j 0.0208802-0j -0.00886501-0j 0.127754-0j 0.144313-0j -0.114477-0j 0.119052-0j -0.303437-0j -0.0826338-0j 0.0271755-0j 0.00869882-0j -0.119658-0j -0.00192966-0j 0.0265438-0j 0.0014821-0j -0.00101702-0j -0.00154134-0j -0.0203873-0j 0.0139898-0j 0.0212021-0j 0.00172912-0j 0.0030925-0j -0.00103821-0j -0.0237852-0j -0.0425395-0j 0.00324086-0j 0.0142812-0j -0.0445802-0j 0.000624072-0j -0.00858452-0j -0.000167575-0j 0.00230511-0j -0.0013138-0j 0.0109508-0j 0.00277641-0j 0.00715365-0j -0.0596271-0j -0.0151175-0j 0.00107898-0j -0.0011221-0j -0.00101383-0j -0.00899351-0j 0.00935296-0j -0.00228017-0j 0.00121884-0j 0.00845048-0j 0.0023713-0j -0.000836367-0j -0.000731821-0j 0.00214249-0j 0.00213171-0j -0.0101592-0j 0.00697129-0j 0.00100549-0j 0.00609988-0j -0.00257572-0j 0.00254318-0j -0.0177682-0j -0.000426896-0j 0.00176746-0j 0.00154653-0j -0.00838095-0j -0.00450486-0j 0.00153875-0j -0.021198-0j 0.00355826-0j -0.00212486-0j 0.000229518-0j -0.00537442-0j -0.0128258-0j 0.000902143-0j -5.20868e-05-0j -0.00325178-0j -0.00191308-0j 0.000434154-0j -0.000485032-0j 0.000110073-0j 
0.0212716-0j -0.0239569-0j 0.0151972-0j -0.0217017-0j 0.0423337-0j -0.129078-0j 0.140756-0j -0.119052-0j 0.120214-0j 0.100561-0j -0.0771578-0j -0.287922-0j -0.00878896-0j 0.120898-0j -0.0018821-0j 0.0258895-0j 0.00154134-0j 0.00102756-0j -0.00155638-0j -0.0212021-0j -0.0141348-0j 0.021409-0j -0.00173592-0j 0.00063577-0j 0.00094181-0j 0.0238787-0j -0.00874544-0j -0.00111193-0j -0.0129552-0j 0.0152953-0j 0.0030675-0j -0.0421955-0j 0.00307764-0j -0.042335-0j 0.00132741-0j -0.0110643-0j -0.00280518-0j 0.00697733-0j -0.0581574-0j -0.0147449-0j 0.0011221-0j -0.00113305-0j 0.00102434-0j -0.00935296-0j 0.00944422-0j -0.0023713-0j -0.00122363-0j -0.00853805-0j 0.00239444-0j -0.000815752-0j 0.000663872-0j -0.00216469-0j 0.000731821-0j 0.0101992-0j 0.00679946-0j -0.00104505-0j -0.00553351-0j 0.00258585-0j -0.000504721-0j -0.00609988-0j 0.00203858-0j 0.0017239-0j -0.00140294-0j 0.00871069-0j -0.00154653-0j 0.000474293-0j 0.00420695-0j -0.016992-0j 0.00220846-0j 0.00250297-0j 0.00106661-0j -0.00395333-0j -0.00430806-0j 0.00146301-0j -0.00100231-0j -0.0208628-0j -0.0121945-0j -0.00528945-0j -0.00309172-0j 
-0.0188307-0j 0.0432047-0j -0.0134533-0j -0.0192231-0j -0.00792911-0j -0.454267-0j 0.129078-0j -0.207263-0j -0.209411-0j 0.0922176-0j 0.0760756-0j 0.0243065-0j -0.0015594-0j 0.0214506-0j 0.00686148-0j -0.0943842-0j -0.00136448-0j 0.00448749-0j -0.00137862-0j 0.0187693-0j -0.0617285-0j 0.0189638-0j 0.00313061-0j -0.000562817-0j 0.00182619-0j -0.0430637-0j 0.00774193-0j -0.00098493-0j -0.0251205-0j 0.0135484-0j -0.000574543-0j 0.00790322-0j -0.000149884-0j 0.00206175-0j -0.0011751-0j 0.00979468-0j 0.00248329-0j -0.0012824-0j 0.0106891-0j 0.00271006-0j 0.00394905-0j 0.00398998-0j 0.00178331-0j -0.0329161-0j -0.0332573-0j -0.00834539-0j -0.0011221-0j -0.0148643-0j -0.00843187-0j 0.00369038-0j -0.000654561-0j -0.0037686-0j 0.00127406-0j 0.00935296-0j -0.0307601-0j 0.00182046-0j 0.0054559-0j 0.0023713-0j -0.000462844-0j -0.0106195-0j 0.000750902-0j -0.00779875-0j 0.00138326-0j -0.0151739-0j -0.00269242-0j -0.000467641-0j 0.0038579-0j -0.00625892-0j -0.00384712-0j -0.000211303-0j 0.000978112-0j 0.00389788-0j -0.00158685-0j -4.65878e-05-0j 0.000988248-0j 0.00176125-0j 0.000388319-0j 0.000446538-0j 9.84524e-05-0j 
0.0894205-0j -0.0150413-0j -0.00921087-0j -0.0131611-0j -0.00542869-0j 0.0782329-0j -0.612944-0j 0.0721566-0j 0.0729044-0j 0.063137-0j 0.0520854-0j 0.0166415-0j -0.00106765-0j 0.0146862-0j -0.00118167-0j 0.0162547-0j 0.0064794-0j -0.000622795-0j 0.00654655-0j -0.0891285-0j 0.00856696-0j -0.0900522-0j -0.00108989-0j -0.000385335-0j -0.00063577-0j 0.0149922-0j 0.00530054-0j -0.000674336-0j 0.00874544-0j 0.00927594-0j -0.000393362-0j 0.00541096-0j -0.000102618-0j 0.00141158-0j -0.000804535-0j 0.00670596-0j 0.00170019-0j -0.000878002-0j 0.00731833-0j 0.00185545-0j -0.000680098-0j -0.000687145-0j 0.00430605-0j 0.00566875-0j 0.0057275-0j 0.00143723-0j 0.00532847-0j -0.0358918-0j 0.00145212-0j -0.000512168-0j 0.00310827-0j -0.00909983-0j -0.00044355-0j -0.0444139-0j 0.00426902-0j -0.000633776-0j -0.0259081-0j -0.0112605-0j -0.000316888-0j 0.00369708-0j -0.000261419-0j 0.00108235-0j -0.0065686-0j 0.00528265-0j 0.000937339-0j -0.000320172-0j 0.00264132-0j 0.00217898-0j 0.00133933-0j -0.000144669-0j 0.000669667-0j 0.0026687-0j 0.000552447-0j -3.18965e-05-0j 0.000676607-0j 0.00120585-0j 0.000265864-0j 0.000305724-0j 6.74057e-05-0j 
0.0233019-0j 0.000471012-0j -0.0489951-0j 0.0223093-0j -0.0287553-0j 0.562126-0j -0.00276738-0j 0.126703-0j 0.127201-0j 0.00581877-0j -0.178164-0j 0.117706-0j 0.00192966-0j -0.0265438-0j -0.000147108-0j 0.00202356-0j -0.00164039-0j 0.00112563-0j -0.00164684-0j 0.0225646-0j -0.0154839-0j 0.0226533-0j -3.31579e-05-0j -0.00342278-0j -0.00223844-0j 0.000456109-0j 0.0470826-0j 0.00346268-0j 0.0307913-0j -0.0476315-0j 0.00202429-0j -0.0278455-0j -0.000908077-0j 0.0124912-0j 0.00145411-0j -0.0121203-0j -0.00307292-0j 2.74943e-05-0j -0.00022917-0j -5.81027e-05-0j 0.00474759-0j 0.00476626-0j 0.0011221-0j -0.0395721-0j -0.0397277-0j -0.0100329-0j -2.33726e-05-0j -0.00935296-0j -0.0100724-0j 1.60383e-05-0j -0.00157785-0j -0.0023713-0j -0.00235937-0j 0.000194816-0j -0.000133683-0j 0.00107431-0j 0.0131517-0j 4.93926e-05-0j -4.87686e-05-0j 0.0196658-0j -0.00138472-0j -3.38932e-05-0j 0.00333442-0j -0.00895458-0j 0.00498596-0j 0.00331764-0j 0.000406496-0j 0.0115419-0j -0.0022703-0j 0.000994114-0j 0.000103061-0j -0.0276532-0j 0.00292627-0j -0.000338905-0j -0.00701105-0j -0.00828614-0j 0.00282484-0j -0.00210082-0j 0.000716196-0j 
-0.0135928-0j 0.0308922-0j -0.00971113-0j -0.0124585-0j -0.00685237-0j -0.327907-0j -0.181504-0j 0.0760756-0j 0.069012-0j -0.129672-0j 0.211096-0j -0.223463-0j -0.00112563-0j 0.0154839-0j -0.00964832-0j 0.132719-0j -0.00098493-0j -0.00065662-0j -0.00089348-0j 0.0135484-0j 0.00903225-0j 0.0122904-0j 0.00223844-0j -0.000406263-0j -0.0025767-0j -0.0307913-0j 0.00558842-0j -0.000638333-0j 0.0354442-0j 0.00878069-0j -0.000496523-0j 0.00683-0j 0.00472256-0j -0.0649619-0j -0.000848231-0j 0.00707018-0j 0.00179254-0j 0.00180326-0j -0.0150306-0j -0.00381077-0j 0.00285058-0j 0.0025859-0j -0.000654561-0j -0.0237601-0j -0.021554-0j -0.00602402-0j 0.00157785-0j 0.0054559-0j -0.00546469-0j 0.0010519-0j -0.00181629-0j 0.00138326-0j -0.000467641-0j -0.0131517-0j -0.00876782-0j -0.000599938-0j 0.0151391-0j -0.00333442-0j 0.000650832-0j 0.00389788-0j -0.000329977-0j -0.00222295-0j 0.00383829-0j 0.00500061-0j 0.000988248-0j -0.00129762-0j -0.00542481-0j 0.00275042-0j 0.00126783-0j 0.00194262-0j -0.00137538-0j 0.0108159-0j 0.000697328-0j 0.00326998-0j 0.00274221-0j -0.0161921-0j -0.0272559-0j -0.00410526-0j -0.00691032-0j 
-0.0631323-0j -0.000845587-0j 0.0151972-0j -0.0209623-0j -0.0262499-0j -0.129078-0j 0.00749773-0j 0.234129-0j -0.228358-0j -0.00180485-0j 0.167406-0j 0.10745-0j 0.00176153-0j -0.024231-0j 3.37794e-05-0j -0.000464659-0j -0.00457457-0j -0.00506916-0j 0.00446181-0j 0.0629262-0j 0.0697297-0j -0.0613752-0j -6.12712e-05-0j 0.00063577-0j 0.00401858-0j 0.000842826-0j -0.00874544-0j -0.00107404-0j -0.0552782-0j 0.0147742-0j -0.00190207-0j 0.0261642-0j -0.000828957-0j 0.0114029-0j 0.00132741-0j -0.0110643-0j -0.00280518-0j 2.50987e-05-0j -0.000209203-0j -5.30403e-05-0j 0.0011221-0j -0.00109445-0j 0.00597876-0j -0.00935296-0j 0.00912243-0j -0.0023713-0j -6.51796e-05-0j -0.0498342-0j 0.00231285-0j -7.22267e-05-0j 0.00427492-0j -0.0126347-0j -0.0014392-0j 0.000543285-0j 0.000602025-0j 0.00198517-0j -0.0356323-0j 0.000137742-0j 9.05861e-06-0j 0.011996-0j 0.00248592-0j 0.000152634-0j -0.00903404-0j -0.0165468-0j 0.00304141-0j -0.00102906-0j -7.55054e-05-0j -0.0207206-0j -0.00419519-0j -0.000934089-0j -1.91432e-05-0j 0.00857738-0j -0.0052534-0j -0.000309377-0j 0.00217466-0j 0.00778582-0j 0.00257872-0j 0.00197398-0j 0.000653795-0j 
-0.0386605-0j 0.0151972-0j 0.00826169-0j -0.0391354-0j 0.00548494-0j -0.0790436-0j 0.265003-0j 0.214562-0j -0.0736599-0j -0.0566308-0j 0.154879-0j -0.016814-0j 0.00107871-0j -0.0148384-0j 0.00119392-0j -0.0164231-0j 0.00824452-0j 0.000629249-0j -0.00283037-0j -0.113409-0j -0.00865574-0j 0.0389336-0j -0.00324086-0j 0.00486366-0j 0.000642358-0j 0.0445802-0j -0.0669029-0j 0.000604845-0j -0.00883607-0j -0.00832005-0j -0.00116969-0j 0.0160898-0j 0.000103682-0j -0.00142621-0j 0.000812872-0j -0.00677545-0j -0.00171781-0j 0.000887101-0j -0.00739417-0j -0.00187468-0j -0.00202231-0j 0.000694266-0j -0.0018617-0j 0.0168564-0j -0.00578685-0j 0.00427368-0j 0.00678005-0j 0.0155177-0j -0.00146717-0j 0.000517476-0j -0.00134385-0j 0.00393427-0j 0.000397843-0j -0.0565131-0j -0.00431326-0j -0.00188457-0j 0.0112012-0j -0.014328-0j 0.00399973-0j -0.0033161-0j 0.000264128-0j -0.00109356-0j 0.0028399-0j 0.0157083-0j -0.000840746-0j 0.000287178-0j -0.0333385-0j -0.00220156-0j 0.0039826-0j -0.000430182-0j -0.00845248-0j -0.00239369-0j -0.000558172-0j 3.2227e-05-0j -0.000606883-0j 0.00358566-0j -0.000268619-0j 0.000909089-0j -6.81043e-05-0j 
0.0122812-0j -0.0706831-0j -0.0258227-0j -0.0121801-0j 0.00517126-0j -0.074523-0j -0.0841827-0j -0.329431-0j 0.342598-0j 0.177005-0j 0.048203-0j -0.0158524-0j 0.00101702-0j -0.0139898-0j 0.00112563-0j -0.0154839-0j -0.000864559-0j 0.00399565-0j 0.000899114-0j 0.0118926-0j -0.0549629-0j -0.0123679-0j 0.00497589-0j -0.00180396-0j -0.00298765-0j -0.0684467-0j 0.0248147-0j -0.0018905-0j 0.0410972-0j 0.0260051-0j -0.000364042-0j 0.00500764-0j 9.7752e-05-0j -0.00134464-0j 0.000766383-0j -0.00638796-0j -0.00161957-0j 0.000836367-0j -0.00697129-0j -0.00176746-0j -0.000629404-0j 0.000654561-0j -0.0029175-0j 0.00524621-0j -0.0054559-0j 0.0013301-0j -0.000710988-0j 0.024318-0j -0.00138326-0j 0.00328591-0j 0.000426896-0j 0.00616545-0j 0.00613442-0j 0.00592623-0j -0.0273887-0j 0.0028935-0j -0.00355826-0j 0.0015025-0j -0.00148352-0j -0.0511316-0j -0.00122848-0j -0.00694399-0j -0.000902143-0j -0.0241179-0j -0.0129636-0j -0.000897602-0j 0.0123655-0j 0.0102396-0j -0.00611473-0j -0.000133886-0j 0.00313508-0j 0.0074817-0j 0.0025961-0j 3.0384e-05-0j 0.00189687-0j 0.00111596-0j -0.000253256-0j 0.000282936-0j -6.42093e-05-0j 
0.0552408-0j 0.0209623-0j 0.0391354-0j -0.0184484-0j -0.037042-0j 0.112943-0j 0.365534-0j -0.101205-0j -0.105187-0j 0.258963-0j -0.0655911-0j 0.251932-0j -0.00154134-0j 0.0212021-0j 0.00164684-0j -0.0226533-0j -0.0038888-0j -0.000899114-0j -0.0040418-0j 0.053493-0j 0.0123679-0j 0.0555976-0j -0.00147569-0j 0.00273398-0j -0.000824084-0j 0.0202991-0j -0.0376078-0j -0.00286342-0j 0.0113358-0j 0.0393882-0j 0.00260765-0j -0.03587-0j -0.00269293-0j 0.0370431-0j -0.00116149-0j 0.00968124-0j 0.00245453-0j 0.00122363-0j -0.0101992-0j -0.00258585-0j 0.00095389-0j 0.00099142-0j 0.00266013-0j -0.00795087-0j -0.00826369-0j -0.00201582-0j 0.00308721-0j -0.0221727-0j -0.00209513-0j 0.000713783-0j 0.00172403-0j -0.00562155-0j 0.00188457-0j -0.0257326-0j -0.00594953-0j -0.000888386-0j -0.0143701-0j -0.0065241-0j -0.00217044-0j -0.0157083-0j -0.00178376-0j -0.00150841-0j -0.00364332-0j 0.00740488-0j -0.0039826-0j 0.00122139-0j 0.018091-0j 0.014868-0j 0.00187739-0j 0.00212776-0j 0.00458671-0j -0.0101805-0j 0.00376956-0j -0.00128013-0j -0.00258112-0j -0.0177353-0j 0.0106702-0j -0.00449651-0j 0.00270526-0j 
-0.0124084-0j -0.0689409-0j -0.00886501-0j 0.0126593-0j -0.0246946-0j 0.0752953-0j -0.0821078-0j -0.342598-0j 0.34594-0j -0.0586607-0j 0.0450087-0j 0.167954-0j -0.00102756-0j 0.0141348-0j 0.00109789-0j -0.0151022-0j -0.000899114-0j -0.00403706-0j 0.000907886-0j 0.0123679-0j 0.0555324-0j -0.0124886-0j -0.00499546-0j -0.000370866-0j 0.00271025-0j 0.0687158-0j 0.00510151-0j 0.000648625-0j -0.0372813-0j -0.00892227-0j -0.00178937-0j 0.024614-0j -0.00179529-0j 0.0246954-0j -0.000774325-0j 0.00645416-0j 0.00163635-0j 0.000815752-0j -0.00679946-0j -0.0017239-0j -0.000654561-0j 0.000660947-0j 0.00294774-0j 0.0054559-0j -0.00550913-0j 0.00138326-0j 0.000713783-0j -0.02457-0j -0.00139675-0j 0.00320492-0j -0.000387258-0j -0.00622934-0j 0.00210596-0j -0.00594953-0j -0.0267136-0j -0.00300734-0j 0.00322788-0j -0.00150841-0j 0.000294421-0j -0.0175536-0j 0.00586644-0j -0.00677283-0j 0.000818379-0j 0.0250668-0j -0.00445046-0j -0.000276671-0j -0.00245406-0j -0.048898-0j 0.0063553-0j -0.00146007-0j -0.000622188-0j 0.00230611-0j -0.0123973-0j -0.000853421-0j 0.000584678-0j 0.01217-0j 0.00711344-0j 0.00308551-0j 0.0018035-0j 
-0.0227857-0j -0.0262499-0j 0.00548494-0j 0.037042-0j -0.0449759-0j -0.0465866-0j -0.457737-0j -0.0429683-0j -0.205189-0j 0.110186-0j -0.0371334-0j 0.184508-0j 0.00063577-0j -0.00874544-0j -0.00206224-0j 0.0283675-0j -0.00165105-0j 0.000370866-0j -0.00788436-0j 0.0227113-0j -0.00510151-0j 0.108455-0j -0.00190207-0j 0.000229461-0j 0.000453261-0j 0.0261642-0j -0.0031564-0j 0.00189792-0j -0.00623491-0j -0.0261071-0j -0.00325895-0j 0.044829-0j 0.00192146-0j -0.0264309-0j 0.000479089-0j -0.00399331-0j -0.00101244-0j -0.00153228-0j 0.0127719-0j 0.00323811-0j 0.000404989-0j 0.00193397-0j -0.00109725-0j -0.00337566-0j -0.01612-0j -0.000855848-0j 0.00397922-0j 0.00914577-0j -0.00408699-0j -0.00089383-0j -0.000948246-0j 0.00231877-0j 0.000264128-0j -0.0331676-0j 0.00745026-0j 0.00178376-0j 0.00790382-0j -0.00840914-0j -0.000553029-0j -0.00220156-0j -0.00216582-0j 0.0018889-0j 0.00200389-0j -0.014868-0j -0.000558172-0j 0.000228261-0j 0.00460961-0j 0.0180525-0j -0.00376956-0j -0.00160397-0j 0.0011687-0j -0.0019026-0j 0.00457695-0j 0.00385611-0j -0.000482375-0j 0.0133694-0j -0.0321415-0j 0.00338961-0j -0.00814899-0j 
