-0.00270755-0.00929064j 0.021832-0.0170291j -0.0435746+0.0180713j -0.0363178+0.0117136j 0.00236179+0.00623606j 0.0472375+0.0156494j -0.011369-0.00148598j 0.0124483+0.0258565j 0.00170233+0.0169434j -0.0092935-0.0170435j -0.00731076-0.0279685j 0.00252134+0.0112627j 1.51714e-05+0.00284029j -0.00111818-0.00378297j 0.00213007+0.0336506j -0.00532363+0.0254975j 0.0085019-0.0199559j -0.00680379-0.01238j 
0.00495641+0.000622729j -0.0162563+0.000946246j 0.00582614-0.0343577j -0.0470404+0.00814658j 0.0285931+0.0324635j -0.00821587-0.0153377j 0.0151354-0.0252265j -0.0234901-0.0361509j -0.0248719+0.00676291j 0.0151367-0.0188872j 0.000649087-0.0046695j -0.0232445+0.00412469j 0.0534064-0.00590222j -0.0362854-0.00707734j 0.0273305+0.00163152j 0.021353+0.00747419j -0.00965207+0.00116148j 0.00217142+4.25337e-05j 
0.0114426+0.016535j 0.0211356-0.0152441j -0.0117098-0.00542523j 0.013218-0.0406197j -0.000843231-0.030706j -0.0155364-0.0272897j 0.00738122+0.034554j 0.00228467+0.00506549j 0.000922925+0.00737905j 0.021133-0.0100969j -0.0261777+0.00785808j -0.0348422+0.00988693j 0.053071+0.020844j -0.0242056-0.00430063j -0.010035+0.00195891j 0.0108828+0.0151321j -0.00281157+0.00113546j -0.010729-0.0170411j 
0.0149739-0.00788164j 0.00940017+0.0341865j -0.0405372-0.0259267j 0.0329647+0.0568233j -0.00410657-0.012707j -0.0212919-0.00899549j -0.0111633-0.0141612j 0.0182697+0.0154608j 0.0118881+0.033153j -0.0100962+0.000880437j -0.00533068+0.0225657j -0.00463285-0.00764916j -0.000253699+0.0044941j 0.00891069+0.0117397j -0.0247564-0.0128888j 0.00723296-0.00111341j -0.00171694-0.00281968j -0.0138032-0.000302541j 
-0.030761-0.0163295j 0.0344286-0.00647597j -0.0111393+0.00530234j 0.0452969+0.00349225j 0.0227354-0.0098139j 0.00397822+0.00222868j -0.00153656-0.0106045j -0.00676218+0.00994906j 0.00356722-0.0182245j 0.0292496+0.00808358j 0.0145079+0.00397703j -0.0490434+0.0047726j 0.0374649-0.000909335j -0.00573912-0.0111257j 0.0379074+0.0137755j 0.00213087-0.0083667j 0.00524065+0.00192444j 0.0108401-0.00233733j 
0.00894041+0.0125381j -0.0301993+0.00392802j -0.0392938-0.0131895j -0.000152775+0.0257001j -0.0143705-0.0307054j -0.031045+0.00259557j 0.000936703+0.0199152j 0.011108+0.0224598j -0.032282+0.010074j -0.0373514+0.00833657j 0.0181027+0.00807834j 4.40612e-05-0.0109818j 0.0180662-0.0130866j -0.0118736-0.0129412j -0.0029898+0.0198339j 0.0411796+0.00090184j 0.0101326+0.0227592j 0.0243367-0.0113831j 
0.000741032-0.000918722j 0.00492846-0.00145559j 0.0197074+0.000739697j 0.00526084+0.00480481j 0.00469482-0.0153081j 0.0236061+0.00748153j -0.0100745-0.00441167j -0.00430598+0.00111999j 0.0300662-0.0100021j 0.0301884-0.00128957j 0.0366981+3.10192e-05j -0.00877974-0.00196789j 0.00195243+0.00274758j -0.0240545-0.00598901j 0.0217639+0.0132822j 0.00315227-0.0320713j -0.00928286-0.0170213j 0.0229697-0.0220281j 
-0.00706999+0.00422076j -0.0227259-0.00754516j -0.0181987-0.0154652j 0.0326731-0.0193317j -0.046596+0.00434918j 0.0401885-0.0126893j -0.0115235+0.00942512j -0.0369923-0.0268273j -0.0515371+0.00575915j -0.0207485-0.0189284j 0.00986234-0.0103286j -0.015982+0.0025807j -0.00836958-0.00390347j -0.0140728+0.00246886j 0.0314219-0.0096742j -0.0164265+0.00834604j -0.00535996+0.0106294j -0.0425786-0.0161751j 
-0.00726275+0.00385792j -0.0342852-0.00135535j -0.0375346-0.003008j 0.0323131-0.00360581j 0.00657094+0.0280361j 0.0175427-0.0259791j -0.0148348+0.0132456j -0.0351494+0.0456634j -0.0398874+0.00125343j -0.0196501+0.0143769j 0.00978225+0.0104035j -0.0261124-0.0137371j -0.0138093-0.00540543j 0.0311103+0.0217976j 0.0126626+0.0226785j 0.0191197-0.00658576j -0.0154222+0.000459682j -0.00593339-0.00503175j 
-0.016517+0.0042767j -0.0150457-0.0163179j -0.00304009-0.00309528j 0.0321183-0.0116696j 0.0166701-0.0278758j 0.0165535+0.0220993j -0.00102542-0.000261566j 0.0315861-0.0568082j -0.0277181-0.0154656j -0.000586166-0.0190667j 0.0234393-0.0135798j -0.0335455-0.00573734j -0.00839553-0.000684091j 0.0468502+0.0328367j 0.00302581-0.00781351j 0.0117565+0.0317444j -0.0172089-0.00905688j -0.00148791+0.00415454j 
0.006433+0.00929817j 0.0269797+0.00304097j 0.0411767-0.016625j 0.00378782-0.0189633j 0.0252011-0.0306818j 0.0282364-0.0379669j -0.0302458+0.0237933j -0.0136545+0.024159j -0.00407026+0.00847791j 0.023089-0.0258089j -0.0314838-0.00749151j -0.00975934+0.0149031j 0.0216711+0.0143863j 0.000397473-0.0181138j -0.0248678-0.00438603j -0.0131213-0.00456021j -0.0313894+0.0271068j -0.00594177+0.00362965j 
-0.000455297+0.00834589j -0.00577771+0.0364876j 0.0103195+0.0254759j -0.0256724+0.0164673j 0.0420207-0.00835155j -0.0229149+0.0138369j -0.00310647+0.010217j 0.0254351+0.0202628j -0.00372277+0.039356j 0.0165758+0.0175755j 0.0115841-0.0110259j 0.03638-0.026637j 0.00209688+0.00464117j -0.0425949+0.0106806j 0.00283632-0.00283671j 0.000673717-0.00883299j -0.000574424+0.0126277j 0.0142179+0.0165581j 
0.0151565-0.0158064j 0.0274846-0.00284936j -0.00531361+0.000238844j 0.0129416+0.0243685j -0.0297296+0.0316251j 0.00622343-0.0068547j 0.0149164+0.000926293j -0.0327132+0.0515261j 0.0451151-0.00564834j -0.0130268+0.00565742j -0.0221706-0.00262318j -0.0312943-0.0143609j 0.0110154-0.00102587j 0.0239952+0.0219712j -0.00976449-0.0218006j 5.57042e-06+0.00284624j 0.0144848-0.000896017j 0.00260622+0.0204282j 
0.00619851+0.0138502j -0.0286231-0.00905597j -0.0467751-0.0366118j 0.00752532+0.0414739j -0.0261675-0.0389571j -0.0242696+0.00145075j 0.018978+0.0278467j 0.00855347+0.0144132j -0.00038968+0.00214239j -0.0166096-0.0132978j 0.0360008+0.00555181j -0.0153303-0.0192076j -0.0109987+0.0129063j 0.0427649+0.0345424j 0.015313-0.00298668j 0.0237219+0.00778787j -0.00767718-0.00929516j -0.0132487-0.0101645j 
0.0104359+0.00613135j -0.0153494+0.017482j -0.0237698+0.0235558j 0.0085703-0.052558j -0.0302733+0.0240979j 0.00270734-0.0314748j 0.015534-0.00842407j -0.007518+0.00406374j 0.0059866+0.0310213j -0.0137422+0.0288984j 0.000189524+0.0120049j -0.00668476+0.0174172j -0.0148955+0.00234607j 0.00830925+0.0014439j -0.00186712+0.00580776j 0.0181535-0.00356477j 0.0187084-0.0171869j 0.000281006-0.00625116j 
-0.0423508+0.0249213j -0.0114789-0.0163621j 0.011956+0.00569949j 0.000479005+0.00677825j 0.00401523+0.0236925j -0.0162447+0.0166877j -0.02938+0.021178j 0.0702652+0.0142262j -0.00924556+0.00341528j -0.00783834-0.00126589j 0.0197062+0.0117626j -0.038591-0.00638033j -0.0104672-0.00233144j -0.0268219+0.00818003j -0.00256483-0.00946418j -0.0304037+0.0105928j 0.0120812-0.00717327j -0.00464735-0.000973404j 
0.0195242-0.0422979j 0.0103902-0.0007566j -0.00629089+0.0013181j 0.0310108-0.0108046j 0.0344128-0.0224203j -0.00287232-0.0117709j 0.0457337-0.0333731j 0.0553752+0.00725995j 0.00394415-0.0185362j 0.0287442-0.00117815j -0.0173339+0.00957266j 0.0288647-0.00237867j 0.00151191-0.0039687j -0.017998+0.024097j 0.00913774-0.0195382j -0.0273906+0.0172998j 0.0165091-0.0134249j -0.00780311+0.00679991j 
0.000326775+0.00851332j -0.00192783+0.0219871j 0.00738101+0.00628542j -0.0195974-0.00338759j 0.00792967-0.0129546j -0.00835832-0.0108996j -0.000923641+0.00221045j 0.00330268+0.0067989j 0.000218214+0.0177746j -0.00528569-0.0178466j 0.00496387-0.00990527j -0.00726463-0.0563881j 0.00531091-1.51199e-05j -0.00620348+0.0656563j 0.009932+0.000381235j -0.00909134+0.0110723j -0.00170467+0.0126145j -0.00107365+0.0015464j 
0.0102053+0.00428089j 0.0208823+0.047333j 0.00937197+0.0442464j 0.0418276+0.0543136j -0.00664225-0.00130587j 0.0333392+0.0684034j -0.00685405-0.0333428j -0.00675444-0.0249154j 0.00161734+0.00843165j 0.0151323+0.0254115j -0.00638871-0.00756148j -0.00241895-0.00218541j 0.0131378-0.00601393j -0.0141896-0.00557649j -0.00618736-0.00450586j -0.00321865-0.0131857j -0.00740324-0.00721013j 0.000997894+0.00721545j 
0.00166142+0.0234437j -0.0183445+0.0741495j -0.0156316+0.0204107j -0.0322699-0.0242423j -0.0135122-0.0468567j -0.0241229-0.0431325j 0.0150838+0.00478429j 0.00511413+0.021834j 0.00690063+0.0881196j -0.015943+0.0167712j 0.00166956+0.00635204j -0.0119408+0.00232587j -0.00808397+0.0232424j -0.00576065+0.0120842j 0.0107009-0.0136972j 0.00143702-0.0034994j 0.020203+0.0147608j -0.00991117+0.00391886j 
-0.00305028+0.00852799j 0.00261503-0.0094595j 0.0242302+0.0149041j -0.0269273-0.0364652j 0.0340886+0.0507j -0.00393132-0.0133203j -0.00502653+0.00157557j -0.00278797-0.00368793j -0.00929868-0.0313096j -0.00749645+0.00532957j -0.00905029-0.0103777j -0.00902674+0.00151012j 0.00636333-0.010695j 0.0115001+0.0210885j -0.00259063+0.0249375j -0.00500987+0.0105123j -0.00478563+0.0043694j 0.00570577-0.00327071j 
-0.0296724-0.0731207j 0.03591-0.0150117j 0.00385559+0.00193711j -0.0329473-0.00560739j -0.0170125-0.00771102j -0.0612078-0.0126343j -0.010672-0.027988j 0.0401608+0.0186395j 0.01545-0.0381602j 0.0165448+0.000970823j 0.0138717+0.00165917j -0.00960963+0.00105364j 0.00851813-0.0032008j 0.0310705-0.00678621j 0.0155399-0.0159347j -0.00924242-0.00727627j 0.000956686-0.00755874j -0.0149456+0.00480591j 
0.0153088-0.00613446j 0.0300647+0.00861011j 0.0579091+0.00484614j -0.0143105+0.0417033j 0.0493185-0.0161232j 0.0263209+0.0408319j -0.0229991-0.0159845j -0.00369772-0.0172735j 0.0366867-0.00452089j 0.018363-0.00650021j -0.0297233+0.000736782j -0.0377314+0.0149364j 0.000855739+0.000136216j 0.0195216-0.0194738j -0.0210421-0.0213373j -0.0160219-0.00591357j -0.0123435-0.00545197j 0.00936522+0.0106675j 
0.0442122+0.016064j -0.00580635-0.0156049j -0.0375794-0.0205508j 0.00644074+0.0337382j -0.0318584-0.00820492j -0.0306016+0.0209919j 0.0294167+0.00641875j 0.0172302-0.00655768j 0.00631561-0.011629j -0.019909-4.41637e-05j 0.0177712+0.00728342j 0.0382089+0.0323472j 0.00792255+0.000476394j -0.00196957-0.0476335j 0.00605399+0.00106386j 0.0088115+0.00264942j 0.00813179+0.00272274j -0.0132907+0.00391855j 
-0.0114689-0.0286541j 0.0388633-0.000767497j -0.00143849+0.0221866j 0.0374392-0.0211504j -0.0393083+0.0138841j -6.68366e-05-0.0112187j -0.0223458-0.0394197j 0.0129543+0.014912j -0.00486199-0.0187178j 0.0163883-0.00340713j 0.0185793+0.0171407j 0.0472769-0.0399251j 0.00923838-0.0116045j -0.0342058+0.0217342j 0.00336943+0.011723j -0.0130817+0.00312777j -5.85465e-06-0.00306245j -0.00297294+0.00140736j 
0.0329952+0.0553396j 0.0190348+0.0172897j -0.0313277+0.0091354j 0.00736925+0.00989082j -0.0398171+0.027785j -0.0332284+0.0128009j 0.0444943+0.0433921j 0.0147755-0.00756913j 0.0445117+0.0285107j 0.0166961-0.000955012j 0.0233946-0.0421415j 0.0323621+0.00554648j 0.0157325+0.0173374j -0.0083212+0.0225551j 0.0213187-0.00942015j -0.00941536-0.00923565j 0.000877943+0.00225638j -0.0205429+0.00812619j 
-0.102201+0.0215423j -0.0432876-0.0588034j -0.0396485-0.0413887j 0.00471595-0.0143384j -0.00685086-0.0174298j -0.0152742-0.0131002j 0.0136265+0.0281367j -0.00462475-0.000434168j -0.0687313+0.01031j 0.019775-0.0364195j -0.028789-5.82917e-05j 0.0142759-0.0071783j -0.00885927-0.00138937j -0.0114447-0.00339128j -0.0023492-0.0195555j 0.00697826+0.00700861j 0.00547655-0.00126716j -0.00357026-0.00792637j 
-0.0547278-0.0121251j 0.0680652+0.0407388j 0.0719178+0.0183484j 0.00616053+0.0209248j 0.0297828+0.00636923j 0.0256227+0.0146203j -0.0541566+0.00520734j -0.00315034-0.0117854j -0.0164919+0.0103407j 0.0433123+0.0533751j -0.00970149-0.0181449j -0.00236586+0.0271211j -0.0133862-0.00781398j 0.00622119-0.00264295j 0.00791423+0.00700819j -0.00956757-0.000484944j 0.00589407+0.00741545j 0.0231648+0.000632408j 
-0.0670079-0.0423236j -0.0896538+0.0284958j -0.0608781+0.0134398j -0.0285035+0.0111119j -0.0242568+0.00389708j -0.024051+0.00145003j 0.0372806-0.00426508j -0.00387821-0.00445521j -0.020586-0.0384189j -0.0424289+0.0128993j 0.0160624-0.0300774j 0.000238057+0.0252929j -0.00466232+0.0162118j -0.00345767+0.00419208j -0.0262303-0.00293134j 0.0035557-0.0153696j -0.016334+6.09462e-05j -0.0044524+0.00916973j 
0.046837-0.0806675j 0.00316109-0.0782866j 0.00665241-0.0648384j -0.00348667-0.0138378j -0.000990312-0.018296j 0.0013489-0.0189853j -0.0186787+0.0559681j 0.00744924-0.00941392j 0.0220139-0.0172768j 0.00498067-0.00861917j 0.0206573-0.0222537j -0.0106878-0.00109961j -0.0143417-0.00114868j -0.00614507-0.00742551j 0.00252258-0.0250708j 0.0172702-0.00283589j -0.000411904-0.00947819j -0.0138105-0.000933839j 
