-0.0038704+0.00694808j -0.0051518-4.87929e-05j -0.00110934-0.00515008j 0.010152+0.000478055j 0.0011723+0.00322295j 0.000636682-0.000931424j -0.0029196-0.00136075j -0.00978225-0.00198277j 0.0112199-0.00515902j -0.0020635-0.00338253j 0.00589832+0.00241232j 0.00505792+0.00879383j -0.00721976+0.00674659j -0.00125122-0.0071328j 0.0072105+0.00492801j -0.00850923-0.00726285j 1.97377e-06-0.00110452j -0.000853144-0.00945509j 0.00512796-0.00832599j -0.00789568+0.00573716j 0.000865679-0.00584693j -0.000654141-0.00846711j 0.00383406-0.0100292j -0.00016926-0.00470325j -0.00206209-0.00491115j 0.00478313+0.00375954j 0.00289183+0.00134044j 0.00398697+0.0137008j 0.00884218-0.00803159j -0.00280372+0.0012876j -0.00415485+0.00719151j -0.00357586+0.000813665j 0.0101934-0.00825194j -0.00705411-0.00490707j -0.00167545+0.000573522j -0.000907089-0.00426456j 0.0068737-0.00313487j 0.00367466+0.00150368j 0.0114814+0.00811544j -0.00165473-0.013051j 
-0.000273391-0.00251648j -0.00719521+0.00132034j -0.00177847-0.00168861j -0.0058388-0.000793388j 0.00441166-0.0019051j 0.000836946+0.0134234j -0.00755768+0.00324656j -0.000548017-0.00808959j -0.00515725-0.00181828j -0.0196711-0.00296725j -0.0105113-0.000553146j 0.00794287+0.00141023j -0.0055817-0.00319787j 0.00343323+0.00461927j -0.00400002+0.0082115j 0.000304667-0.00359844j 0.000877491-0.0185887j -0.0108926-0.00100587j 0.00142535+0.00596803j -0.00250697+0.00242563j -0.000930566-0.00604268j 0.00668376+0.000547283j 0.00234982-0.00423227j 0.00269502-0.00514955j -0.00938453+0.00222688j -0.0102824+0.00228358j 0.00664204+0.00728152j -0.00553184+0.00618697j -0.00471905+0.000605914j 0.00420546-0.00497077j 0.00315977+0.00325534j -0.00150949+0.000704394j 0.00177505+0.0115039j -0.00895936+0.00476893j -0.003781+0.00340824j 0.00812506-0.00378494j -0.0106032-0.00460749j 0.00392435+0.00387779j 0.000102449-0.00178524j -0.00153919-0.00186574j 
0.00290061-0.00255738j 0.000130803+0.000840098j -0.00465646-0.00694541j 0.00816522-0.00375165j 0.00492465+0.00171618j 0.000975739-0.00668585j 0.0115172-0.00159559j -0.00177198+0.00133933j 0.000746043+0.00685329j 0.00347481+0.00500221j -0.000532198-0.0100678j -0.00510315+0.00141452j -0.00225794+0.002357j -0.000356321+0.0049786j -0.00410492-0.000107808j -0.00221158-0.00541265j -0.0007665+0.000546433j 0.00444212-0.0012617j -0.00167036-0.0037478j -0.000768825+0.00105094j -0.00260183-0.00112757j 0.000160298-0.00217821j 0.00889572-0.000433311j 0.0060279-0.00280753j 0.000502814+0.00163624j 0.00289262-0.000521736j 0.00142485-0.00317719j 0.00353328+0.00452642j 0.00114263-0.00320835j -0.0015849+0.000220792j -0.00397086-0.000587043j -0.00142172+0.00197589j 0.00276168-0.000846736j 0.00565427-0.00431506j 0.000364376-0.00262118j 0.00284381-0.000411517j 0.00302417+0.00103533j -0.00326011-0.00382257j 9.62895e-05+0.000681299j 0.000312318+0.00203214j 
-0.000679618+0.0140343j 0.0125722-0.0057151j 0.00069093+0.00700343j -0.011499-0.000136106j 0.012143+0.00219841j -7.44329e-06+0.0187074j -0.00435748-0.00567009j -0.00930726-0.00530144j 0.00204876-0.0026274j 0.00546849+0.00227816j 0.00893167+0.00189237j 0.00416087-0.000755067j 0.00643019+0.000789697j 0.001721+4.49706e-05j 0.00434184-0.00545148j -0.00368093-0.00279429j -0.00159871+0.0078007j 0.00356982-0.00110377j 0.00169275-0.00104813j -0.00206631-0.00183138j -0.000589689-0.00550784j 0.00144235+0.00521197j 0.00155385-0.00352415j 0.00312571-0.00557129j -0.00688623+0.00284911j -0.00815688+0.000872623j 0.000530505+0.00124215j -0.00316024+0.00357088j 0.00139198+0.000296468j 0.00299806-0.00292739j 0.00303049+0.000867425j -0.00214261+0.00225935j 0.00293278+0.00544523j -0.00426792+0.00486147j -0.00426658-0.00132779j 0.00495477-0.00294239j -0.00390844-0.00223937j 0.00293322+0.00193552j -0.00057933+0.0008715j 0.00131153-0.00250358j 
0.000577554+0.007984j 0.00310968-0.00207266j -0.00489252+0.00501882j -0.00364581+0.000490864j 0.00164586-0.00975153j 0.00312309+0.0103712j -0.0116673-0.000432769j -0.00130176-0.0120534j 0.00754695+0.000589753j -0.00449489-0.00241676j -0.0108403-0.000751138j -0.00726167+0.00319635j -0.00254398+0.012873j -0.00906957+0.00217697j 0.00163269+0.0102292j -0.00399202+0.000227915j -0.000684905-0.00791321j 0.00497423+0.00382807j -0.00132558-0.00246976j -0.00073553+0.00657114j -0.0072056-0.00646375j -0.000692008+0.00663201j 0.00198091+0.00742326j 0.00537904-0.00838326j -0.00436388+0.0069368j -0.00244084-0.00150535j -0.00306447+0.000983099j 0.00223061+0.00337001j -0.00245636-0.00538644j 0.00452087-0.00182196j 0.000794501-0.000220778j -0.00129643+0.00367611j 0.000245148-0.00213875j 0.00309066+0.0014181j -0.00372016-0.00355121j 0.00618317-0.00191042j -0.000989586-0.00198541j -0.000977991-0.000966668j -4.263e-05-0.00282225j 0.000119608+0.00120898j 
0.00745725-0.011193j 0.0248265+0.000181052j -0.0010544-0.00953802j -8.46034e-05-0.004535j 0.00501677+7.31254e-05j 0.00132945+0.00386839j 0.00210002+0.00116286j -0.00196094-0.000321617j -0.00742445+0.00131795j -0.00642508+0.00573644j -0.00166359+0.000919118j 0.00555985-0.00124885j -0.00404925-0.00711667j 0.00481148-0.00212287j 0.00523743+0.000103503j 0.00606395+0.00106896j 0.000220044-0.00385116j -0.0122723+0.00333183j -0.00485038-0.00348011j 0.00389771+0.000411382j -0.00368482-0.00550756j 0.00830796+0.0030263j -0.00967649+0.00495771j 0.0094374-0.00204815j -0.00423281+0.00752965j 0.00979409+0.0092144j -0.00812483+0.00417144j 0.00536339-0.0096719j -0.00167183-0.002118j 0.00532814-0.00523861j -0.00262582-0.00376576j -0.000365822+0.00776123j -0.000868886-0.00830438j 0.0107259+0.00278782j -0.00313221-0.0130362j 0.00314724-0.00471251j 0.00323537+0.00255356j -0.00594721-0.0033021j -0.000907296-0.00242041j 0.000563906+0.00582457j 
-0.00394466+0.00996899j 0.0125188-0.00066476j 0.0069011+0.0137236j -0.00455734+0.000821681j -0.00794546+0.0095473j -0.00177502-0.00807445j 0.00685709-0.00620547j -0.00511142+0.0120378j 0.00575315-0.00384129j -0.00394652-0.00470433j -0.00398259+0.00301965j 0.0144264-0.000921163j -0.000114893-0.00100953j -0.00367253-0.000355109j 0.00675191-0.00301304j -0.000384503-0.00144304j -0.000316839-0.00803055j -0.0123553+0.00270302j -0.0032689+0.00570938j -0.00338556-0.000731009j -0.00652345-0.00782669j 0.00580993+0.00529984j -0.00780749+0.0105254j 0.0169084-0.00640489j -0.000582393+0.011757j 0.0126905+0.00521102j -0.0154885-0.00304981j -0.000319748-0.0106867j 0.0115274+0.00387667j 0.00628896-0.00472196j -0.00608673-0.00617862j -0.00213358+0.00945332j 0.00360902-0.0135709j 0.0133002+0.00174963j -0.00399336-0.0212663j 0.000903104-0.00720978j 0.0128494+0.00653506j -0.00564988+0.00017768j 0.00142951+0.00970952j 0.00766142-0.0038283j 
-0.0044712-0.00680184j 0.0112396+0.00237391j 0.00385571+0.00287521j -0.00838796+0.00691145j 0.00476328+0.00160171j 0.0032211+0.00490681j 0.000499033-0.00467664j -0.00204949+0.00334443j 0.00385987-0.000890418j -0.00199206-0.00240498j -0.00151902-0.00391188j 0.00443415-0.00255054j 0.00320151+0.00228615j 0.00163879+0.00317912j -0.0100037-0.00072434j -0.00570795+0.00233115j 0.000157521-0.0020513j 0.000587943-0.000701754j -0.00102067+0.00625068j 0.000855082+4.59516e-05j 0.00600018+0.00389815j -0.00993686-0.00339461j 0.00536246-0.0128295j -0.0126569+0.0024923j -0.00341931-0.00957879j -0.0156909-0.0134022j 0.0138987-0.00125156j -0.00426862+0.0043561j -0.010381+0.000135919j -0.00298428+0.00538875j 0.00713951+0.00770218j 0.00179463-0.00798651j -0.0065788+0.0163279j -0.0194387+5.44114e-05j 0.00204717+0.0179971j -0.00015385+0.00674539j -0.0137044-0.00992753j 0.00500921+0.00406431j -0.000675443-0.00808431j -0.0051756+0.00201408j 
-0.00523119-0.00054153j 0.000940062+0.0022049j 0.00345707+0.00811128j -0.0036486+0.00713949j -0.00603508-3.13373e-06j 0.00291425-0.0046947j 0.000204458-0.000625726j 0.000295989+0.00579636j 0.00606958-0.00136847j 0.000812935-0.00490406j -0.00208024-0.00173681j 0.00144999-0.00135549j 0.00151821+0.00507668j -0.00407328+0.000263321j -0.00743885-0.00101392j -0.00557118+0.00286472j -0.000165061-0.00148507j 0.0034671+4.80761e-05j 0.00036908+0.00636881j -0.000449809+0.000407442j 0.000524498+0.0116602j -0.00816129-0.011314j 0.00388492-0.00401605j -0.0159754+0.00391258j 0.0107179-0.00292523j -0.00043818-0.00623217j 0.010984-0.00664943j -0.000422684+0.00315382j -0.00234407+0.00531051j -0.0109345+0.00463416j 0.00294792+0.000706528j 0.00504816-0.00752129j 0.000955083+0.00365345j -0.00524906-0.00228439j 0.00483766+0.0162173j -0.0105598+0.00199875j -0.00416446+0.00321737j 0.00366946+0.00129511j -0.000457544+7.25115e-05j -0.00143724-0.00146087j 
-0.000302275-0.00619844j -0.0295809-0.00264268j -0.00433463-0.00590644j -0.00280852-0.00527413j 0.00804369-0.00208259j -0.00205559+0.00905833j -0.00339962-0.00346913j -0.00363004-0.00491792j -0.000456581-0.000265449j 0.00639792+0.00459794j 0.00601505+0.00271833j -0.000670154+0.000347729j 0.00233649+0.00288948j -0.000659565-0.0032913j 0.00719856-0.0030539j 0.00162138-0.000858056j -0.00133669+0.00648502j 0.00061433+0.00360563j -0.00522232-0.00452579j 0.00374746-0.00140145j -0.00379626-0.00624177j 0.00244635+0.00681893j -0.00570097+0.00534286j 0.0102533-0.00273005j -0.00489354+0.00746805j 0.00559437+0.00471122j -0.00841971-0.00172785j 0.00556576-0.00746447j -0.00137022-0.000163682j 0.00575418-0.00258963j -0.00126094-0.00398976j -0.00221936+0.00646172j 0.000737742-0.00576961j 0.00984827+0.00198588j -0.00158616-0.0126682j 0.00499123-0.00309766j 0.00446504+0.00361499j -0.00621876-0.00344247j -0.00451613-0.00103899j 0.00431222+0.00634977j 
0.013896-0.00992763j 0.00413767+0.000690481j -0.0136034-0.00684788j 0.00564865-0.0161757j -0.0041272-0.00711724j -0.0018462-0.000956769j -0.00019528+0.0120049j 0.00212697-0.0040756j -0.0127652+0.000578928j -0.00165846+0.00343587j -0.0025098-0.00197101j -0.00301788+0.00169202j 0.000931018-0.00617164j -7.14875e-05-0.000876629j 0.00327688+0.00486231j 0.00208835-0.00213289j 0.00147961+0.000909898j -0.000649218-0.00413998j 0.00594948+9.49787e-05j -0.00344065-0.0042687j 0.00152594+0.000260532j 0.00202928+0.000336547j -0.00512432-0.000545813j -6.96604e-05+0.00177454j -5.31435e-05-0.00250312j -0.00019579+0.00246162j 0.000984+0.00374873j -0.00562425+0.0025709j 0.0063911+0.00428877j 0.000553774-0.00165648j 0.00205052+0.0035033j 1.60696e-05-0.00119879j 0.000991437-0.000512102j -0.00788107+0.00237336j -0.000922729-0.000581602j -0.00189093-0.00336708j -0.000825736-0.000154302j 0.00601704+0.00627301j 0.00470474+0.00686438j -0.000789623-0.0101192j 
-0.00258777-0.0171585j -0.0127634+0.000719852j 0.00279664+0.00528707j -0.0165364-0.0037404j 0.00182288+0.00677654j -0.00263247+0.00622728j 0.00269891-0.00354993j -0.00241685+0.0118334j -0.00809342-0.0056075j -0.000694302-0.000163603j 0.00393704+0.00353747j 0.0159888-0.00904879j 0.00748909-0.00894073j 0.00137746+0.000497954j 0.00292452-0.00926224j -0.00197364+0.0029898j -0.00069706+0.0012348j -0.0118459+0.002636j 0.00146377+0.00746149j -0.00261229-0.00443022j 0.000701785-0.000514176j -0.00118749+0.00324423j -0.0109002+0.000808011j 0.0022932+0.000797924j -0.00153892+0.00260495j 8.27784e-05-0.000546859j -0.00409113-0.0041473j -0.0041546-0.00628059j 0.00755769+0.00585802j 0.00222276-0.00106988j 0.0043898-0.00199349j 3.54639e-06+0.00129549j -0.000856734-0.000491715j -0.0026879+0.00994855j -0.00126726-0.00496839j -0.00491787-0.00164657j 0.000716444+0.00266706j 0.0049265+0.00201227j 0.0038743+0.00261969j -0.00219666-0.00416762j 
