-0.296281+0.0234041j -0.0356474-0.0209975j 0.00517186+0.0801293j -0.748314-0.00517882j 0.0701026-0.0496149j -0.261212+0.00815951j -0.151131-0.0348306j 0.121722+0.126047j 0.0277185-0.104966j -0.153204-0.0340234j 0.005864-0.0396202j 0.0291511+0.0254274j -0.0181231+0.0371661j -0.00820463-0.0405053j -0.00227688-0.0476303j 0.0561774-0.0330231j -0.00156165-0.034882j 0.0760995+0.0281475j -0.0134185+0.0778046j 0.00157227-0.020216j -0.0201391+0.0194374j -1.47963e-05-0.0141121j 0.0431128-0.0230552j 0.085857+0.0069989j -0.0526402+0.0348169j -0.00109227-0.0132845j 0.050942-0.015456j 0.000252205+0.014267j 0.0140665+0.0865539j 0.067507+0.0432819j 0.0170131+0.0417104j -0.00557506-0.00233026j 0.0287683+0.00264998j -0.00672864-0.0690149j 0.0267472-0.112624j -0.060261+0.0895496j 0.0469899+0.0731833j -0.074682-0.0276958j 0.0440352-0.131866j 0.0855777-0.0504858j 
-0.0109898-0.0565159j -0.0138951+0.0082556j -0.129511-0.0130041j -0.0337506-0.0044079j 0.105539+0.0125899j 0.0418799+0.00809853j -0.0894963-0.0217631j -0.0520705+0.0317273j -0.129286-0.103399j -0.0806922-0.0350603j 0.0607909-0.0866585j 0.0550244+0.0773251j 0.0944879-0.0398569j 0.0327685-0.274823j -0.074773+0.10516j -0.0363908-0.0499537j 0.0203385+0.110619j 0.131087+0.0248123j -0.102775-0.0295323j 0.0163301+0.164206j -0.179882+0.0536453j 0.0334012-0.158106j 0.00471117-0.0931882j -0.0163307+0.139334j 0.0206578-0.0502336j 0.0901229+0.0415841j -0.110248-0.0218007j -0.00290642-0.0934857j -0.109438-0.0351677j -0.0309119-0.0172785j -0.066865+0.0835479j -0.00345939-0.0265971j -0.167496-0.150959j 0.0587838+0.0212298j -0.119503+0.207018j 0.0822161-0.0837492j -0.119746+0.0160681j -0.0164964+0.165669j -0.0820621+0.159254j -0.0145766-0.0360778j 
0.0393734-0.0324498j -0.00826107-0.000926472j 0.059966+0.00522166j -0.019453+0.0166641j -0.00862859+0.0651769j 0.0202773-0.0270883j -0.00346002-0.0545782j -0.0178017+0.000737002j -0.0446501-0.0267661j 0.0249153-0.0362288j 0.090725+0.00304495j 0.0559802+0.0416246j 0.0790939+0.149195j 0.128482-0.0596503j -0.112315-0.0522757j -0.012856-0.0940426j -0.0599469+0.0423506j 0.0194564+0.0285263j 0.0526423-0.138964j -0.102981+0.082323j 0.0400353-0.0549422j 0.0175801+0.134885j 0.152602-0.0234328j -0.0384682-0.142489j 0.164248+0.15832j -0.008608+0.0716517j -0.0138004-0.0348725j -0.0300345+0.095357j -0.135211+0.167757j 0.177442+0.0638221j 0.0644736+0.112034j 0.00252127-0.0166847j 0.10202+0.165548j -0.0898161+0.115461j -0.0884958+0.00712292j 0.0177537+0.0337003j 0.0618676-0.0571863j -0.0149447-0.0351641j 0.109015-0.00475885j -0.132228+0.0536938j 
-0.0427723+0.0590079j 0.0276087+0.000148869j 0.0729411-0.00957084j -0.0637892+0.011716j 0.0398986+0.0592781j 0.0527507-0.0476282j -0.0404193+0.0622337j -0.0687382-0.0281111j -0.00330091-0.0769244j -0.0234884-0.0352406j 0.0519149-0.00232288j 0.0837504+0.0600432j 0.0610066+0.0372229j 0.117249-0.0455569j -0.0333529-0.0111849j -0.00564942-0.0533071j -0.03188-0.0699864j 0.0574887-0.0317871j 0.0581191+0.0470538j 0.0164129-0.101174j 0.0658403-0.125999j -0.157175-0.106313j 0.0666191+0.0752149j 0.00561466-0.0619684j -0.0914655-0.0655725j -0.0103448-0.121692j 0.0696877+0.100856j 0.0929105-0.190446j 0.0452247+0.0371779j -0.0314946-0.0361004j 0.312631-0.359672j 0.128675+0.114226j 0.00899082-0.0707702j -0.132057-0.156412j -0.146301-0.152087j -0.0970145-0.10258j -0.00308241-0.00504907j 0.0290205-0.16322j 0.087859-0.0316992j -0.142571+0.113915j 
0.0221693+0.00249696j 0.00684656-0.0231903j 0.0619402+0.0109265j 0.0379574+0.00742992j 0.00053888+0.0223588j 0.0400472-0.00919874j -0.00675868-0.000886787j -0.0583824-0.00555874j 0.000584291-0.0237167j 0.0203415-0.0128989j 0.081207+0.0147964j 0.0593724+0.0410537j 0.00772985+0.0628401j 0.0893937-0.00696871j -0.019361-0.0215318j -0.017504-0.0639921j -0.00421995-0.0598781j -0.000669289+0.0672711j 0.0248751-0.0358994j -0.039421-0.00938128j -0.0119077-0.0518205j -0.067315-0.0224743j 0.0404079+0.0189943j -0.060161-0.0194761j -0.0122053-0.0552159j -0.0615075+0.110641j 0.0693197-0.183086j 0.05883-0.132985j -0.0824533+0.105535j 0.130149+0.0131786j 0.21207-0.19414j -0.385267-0.195461j -0.252077+0.243347j 0.234322+0.143651j -0.048156+0.0655988j 0.00901942+0.126369j 0.173268-0.180595j -0.0278671+0.0528166j 0.0675489+0.0509255j -0.0308909+0.00052728j 
-0.00506866-0.0153087j -0.0167714+0.00677201j 0.0448492+0.101902j -0.0267168-0.000508663j -0.0431308-0.0918506j -0.0542081+0.011553j 0.00501714-0.0145641j 0.00831518+0.0724563j 0.110935+0.0787527j -0.0371139-0.00474319j 0.00403355+0.0607731j 0.0708837-0.109396j -0.135987+0.121424j -0.11456+0.069597j 0.039713-0.0139528j -0.0415938+0.00812122j 0.000872029-0.0213341j -0.00856878+0.0609882j 0.0408334-0.0826732j -0.104221-0.040286j -0.127884+0.0594738j -0.0719543+0.0566305j 0.00928645-0.0270485j -0.0868703-0.0831339j 0.0511677-0.227131j 0.0699306-0.0521685j -0.0629857-0.0499221j 0.00771509-0.0398552j -0.334005-0.235462j 0.188187-0.29768j -0.0200006+0.00429853j 0.168255+0.100001j -0.0436033+0.00398186j 0.0487203+0.0235555j -0.032061+0.0616484j 0.0466346+0.0391889j -0.0283256+0.0433616j -0.0185223+0.0317358j -0.0115113-0.00012226j 0.017511-0.025426j 
0.0292978+0.0150279j -0.0192829-0.0139457j 0.0639458+0.0147414j -0.0668306-0.0112186j -0.0737501+0.0151114j 0.0740046+0.0257944j 0.0408883-0.120582j 0.032778+0.0338331j -0.0738249-0.0534951j 0.0186718-0.0267557j 0.0133281-0.00110808j -0.0259498+0.0431795j -0.0685557+0.0420124j 0.136402+0.0339855j -0.0872919+0.0943228j -0.0371432-0.0690801j -0.114601-0.0349529j -0.0318819+0.0553456j 0.161648+0.155029j 0.172741+0.0489101j -0.141323-0.0629993j 0.0317978-0.113096j -0.0672546-0.0307488j -0.06442-0.145565j 0.00353248-0.155698j -0.0806166+0.0101917j 0.0100612+0.00222037j -0.503956-0.0111479j 0.135962+0.031575j -0.109116+0.0240451j -0.0764466+0.243431j -0.124715-0.0269062j 0.130992-0.0380292j -0.226213+0.184868j 0.214521-0.0443926j 0.162059-0.0117373j 0.0456424-0.0394806j -0.0995791+0.00207452j 0.0899656-0.025071j -0.0685078+0.0293084j 
0.0100283+0.0311384j 0.00870557+0.0189578j 0.0277508-0.00670504j -0.00606765+0.00180682j 0.0177978+0.0419433j 0.026318+0.00186379j 0.0049804+0.0125584j -0.0202337-0.000211559j -0.0153678-0.0425897j -0.00205156+0.0156864j -0.0231045+0.0442628j -0.107487+0.025969j -0.0151106-0.0767286j 0.0716022+0.122494j -0.0146462-0.011722j 0.0493342-0.0139817j -0.0407992-0.0637937j -0.0483485-9.9642e-05j -0.000285145-0.000207181j 0.0320772+0.000431889j -0.0925628+0.0184486j -0.0637557-0.117207j -0.148251+0.0891921j 0.00755371+0.104852j 0.0233008-0.101768j -0.0963369-0.0531548j -0.0184461+0.0657058j -0.0408955-0.0413369j 0.253984-0.334047j -0.227895-0.27633j 0.00915252-0.233921j -0.0367265-0.070768j -0.0829831-0.0175453j 0.0547974+0.0367322j 0.153587-0.0496025j 0.047092-0.0882707j 0.0953832-0.113834j 0.0485341-0.0750186j -0.0382385+0.10617j -0.00757202+0.035042j 
0.0309991+0.0313297j 0.0257367-0.0275939j -0.0277145+0.0412569j 0.0501871+0.0408473j -0.0266743-0.0267523j -0.0356921-0.102978j 0.0632509-0.00521538j 0.055416+0.0754214j 0.0789404+0.0294206j -0.0678137-0.0956272j -0.00587629+0.216679j 0.143998-0.117178j -0.047883-0.0147999j 0.0673817+0.0397389j -0.0124725+0.0392974j -0.0450212+0.0136439j 0.0548337+0.00272897j 0.130857+0.0667223j 0.203129-0.0117557j 0.055385+0.0986903j -0.0302269+0.143337j 0.218746-0.251123j 0.274847-0.168677j 0.0687325-0.120452j -0.22079-0.0571397j 0.0496655+0.112875j 0.153883+0.115643j -0.0544631-0.132188j 0.0379993-0.0165552j -0.0357465-0.0439955j 0.0549011-0.102383j -0.0468495+0.0569541j -0.0724604-0.0649293j 0.00455028+0.00379823j 0.0157153-0.000536233j -0.0136814+0.00350973j -0.0124316+0.00416907j 0.0155238-0.00290871j -0.0344435+0.0128246j 0.00822994-0.00313215j 
-0.0739267-0.0905736j -0.00233343+0.000334602j -0.0685363-0.00754537j 0.0255054-0.0283922j -0.0279348-0.0800026j 0.0275803+0.135513j -0.0322926-0.00420029j 0.0394177+0.0883321j -0.0513976-0.00163638j 0.00954113+0.0217213j 0.0265921-0.119487j -0.00739398+0.0548097j -0.0227318+0.0453679j 0.0185777-0.0308817j 0.0193263+0.0448763j -0.0487551-0.042542j -0.0513733-0.00685341j 0.0250974+0.0918114j 0.00126928+0.0992138j 0.10108-0.102226j -0.0516658-0.17596j -0.1106-0.0438976j -0.0834455+0.0193281j -0.200835-0.164152j -0.16988-0.346034j 0.0362173-0.101475j 0.00110148-0.127129j -0.120035-0.237106j -0.189156+0.0497023j 0.102789-0.0124949j 0.105461-0.0454247j -0.0951804+0.0746743j -0.116344-0.160502j -0.0129342-0.0416162j -0.0586665-0.00137147j -0.0366133+0.0121894j -0.0817829+0.0819019j -0.00572818+0.0776175j -0.0061912-0.0333984j -0.00775698-0.0496287j 
-0.203617-0.180859j 0.0965+0.0572499j -0.1712+0.0118391j 0.14211+0.0824878j 0.0461049-0.159055j -0.0894645-0.0896639j 0.0172568+0.112299j 0.101309+0.0478139j -0.0310665+0.116383j -0.0118438-0.0129003j -0.00665888+0.0589211j 0.0626482+1.96049e-05j 0.014103-0.0853482j 0.125114-0.00954318j 0.0707821-0.0470115j -0.0286693-0.0419556j -0.062648-0.0217953j 0.0564506+0.0255774j 0.016344-0.145422j 0.150465+0.0509052j 0.253693-0.0451043j 0.192646+0.104544j 0.0297153+0.0141232j -0.137491-0.222568j -0.194533+0.000220524j 0.00395318+0.0726206j 0.0329527+0.0169646j 0.0443795+0.0315634j 0.142388+0.148503j -0.0725304+0.120428j -0.101877-0.00658079j -0.178033-0.00489019j 0.0205221-0.106544j -0.0407788+0.0180435j -0.0180496+0.0314885j -0.153245+0.00753888j -0.0455261+0.0220958j 0.162963-0.00332439j -0.118742+0.0539728j -0.0119-0.0375498j 
0.136629-0.0397334j -0.0639955-0.0396798j -0.104956-0.326382j 0.012696-0.0922575j -0.062203-0.107938j -0.0313085+0.192478j 0.00862074-0.0345064j 0.0470949+0.00644446j 0.15966+0.118328j -0.0913308+0.127793j 0.0706764-0.0174326j 0.0157696+0.0299456j -0.048302-0.117204j -0.0399874-0.058211j -0.101294+0.052565j -0.0261816-0.0657436j 0.156422+0.071857j 0.152174+0.0595906j 0.0504056+0.293758j -0.170986-0.359497j 0.122898+0.0443134j 0.144691+0.160345j 0.0467862-0.028257j -0.0213242-0.132726j -0.0717845-0.096963j 0.181607-0.0344065j 0.166896-0.145746j -0.0359825+0.109379j -0.0272657-0.000745347j -0.00265342-0.103839j -0.0315943-0.0169252j 0.0569005-0.0391747j 0.0827403+0.0651951j 0.0206651+0.0714777j 0.0693761-0.000590604j 0.0345196+0.020447j 0.0424637-0.0455284j 0.0433338-0.0667223j -0.0392505+0.0296523j -0.0126696+0.0148157j 
0.20362+0.158955j -0.0421195-0.0696073j 0.0319175-0.129785j 0.00944623-0.0479007j 0.0230073+0.123848j 0.011945-0.0190055j 0.042649-0.0235281j -0.0137547-0.0798842j 0.0821282-0.0423011j -0.0517521-0.0837328j -0.0323373+0.119563j 0.102008-0.021325j 0.0451057-0.0370913j 0.013513-0.104511j -0.0625964+0.0427948j -0.0297119+0.0242143j 0.0946321+0.0337994j 0.0979485-0.0871846j 0.112898+0.195259j -0.0728419-0.0497951j -0.0670213+0.0297441j 0.0945689-0.192754j 0.173848-0.0984258j 0.143569+0.113017j -0.0566016+0.114116j 0.0746494+0.0550563j 0.13353+0.059192j 0.0102843-0.0920175j 0.0424305+0.097135j -0.0778308+0.1136j 0.0591159+0.0218472j 0.0326161-0.0113382j -0.0553181-0.0305696j 0.0639643-0.104025j -0.00713488-0.0123236j 0.0582812-0.0321527j -0.0412946+0.0186939j -0.064553+0.0758958j -0.0263737-0.0423173j 0.0738216-0.030914j 
0.00522494+0.0259188j -0.0125033-0.0263526j -0.0224823-0.19057j -0.000489005-0.0671553j 0.0504274+0.0541543j -0.0277925+0.137292j -0.0113248-0.00247033j 0.0325073-0.0742773j -0.0381944-0.0164757j 0.00182582+0.0406576j 0.0427586-0.115916j -0.0889648+0.0957011j 0.0930745-0.0427729j 0.0614193-0.100404j -0.0236805-0.0200522j 0.0328997-0.0270131j -0.0608257+0.0262048j -0.0274167-0.0359083j -0.097731+0.151962j -0.00315213-0.14599j 0.0543228-0.186758j -0.086002+0.0657066j -0.158353+0.106849j -0.053319+0.0780153j -0.0182747+0.0246128j 0.00598817-0.0848129j -0.0133648-0.0834713j 0.0340599-0.027272j 0.110314+0.118334j -0.101353+0.137852j 0.0146656-0.00977171j -0.0655796-0.0739358j -0.0247939-0.0838821j 0.022985-0.0987367j -0.0121517-0.0153537j -0.016236-0.077666j -0.0401884+0.00684021j 0.0269944+0.0616201j -0.054652+0.00810554j 0.0238254-0.0323847j 
