-0.0131125+0.00403769j -0.00353355-0.00342894j -0.000113263+0.0021271j -0.0123414+0.00337912j 0.00336809-0.00203893j -0.0137783-0.00199609j -0.0148273+0.00375961j -0.00595739-0.00105019j -0.00709316+0.00324333j 0.0099269-0.000189309j -0.00803421-0.0015002j 0.0211986-0.00164669j 0.0272994+0.00195672j -0.0131132+0.0021023j -0.00659961+0.0022673j 0.00391229-0.00114204j 0.00654793+0.00092771j 0.000550588+0.000848963j -0.00485827+0.000983958j -0.0166028+0.00236427j -0.00313966-0.00158191j 0.00533359+0.000499822j 0.00022933-0.000543314j -0.00136693-0.000846287j 0.00752112+0.000797587j 0.00253345-0.00139473j -0.00948581-0.000156807j 0.00819406-0.00174044j 0.021234-0.000609392j -0.0124695+0.00135517j 0.00880216+0.000998454j -0.00624801+0.000107751j 0.00493716-0.00230979j 0.00126734+0.000522618j -0.00179938+0.000743877j 0.00629558-0.00203354j 0.00266661+3.95491e-06j -0.00377669-0.00228665j -0.00745292-0.00121338j -0.0027057-0.000579805j 0.00848561-0.00272702j 0.00510794+0.00122347j -0.0101145+0.000329394j -0.0033304-0.00219857j -0.00217614+0.000414144j 0.00593646+0.000363577j 0.00324755+0.000138086j -0.000989142-0.0004823j 0.0142723+0.00120143j -0.00165243-0.00234381j -0.00899443-0.00131368j -0.00544551+0.00197857j 9.51864e-05+0.00132247j -0.0140348-6.53222e-05j -0.00278725-0.000190416j -0.00590761+0.00020633j 0.00147366+0.000769014j 0.0093835-0.0033591j 0.00923847+0.00153095j -0.00479002-0.000219865j 0.00272586+0.00324615j -0.00840612-0.000993095j -0.000762849-0.000284851j 0.00180207+0.000227666j 0.0060383+0.00305279j 0.00578867-0.000626659j 0.0150186-0.00369433j 0.00584117-0.00541538j -0.00365009+0.00384908j 0.00918695+0.00493836j -0.00213116+0.000839374j 0.0118391-0.000916293j 0.00784278-0.00208536j -0.0268616-6.11689e-05j 0.0115418+0.00622205j -0.00481481+0.00281559j -0.0382807+0.00365252j -0.000706991-0.0200377j -0.0882713+0.0116264j -0.0572839-0.00374543j -0.0457729+0.00536233j -0.0342878-0.00565135j -0.0339803+0.00903238j -0.0257408+0.00190114j -0.00685266-0.00190245j -0.0177863+0.00396137j -0.00253423+0.00106865j 0.0111224-0.00206793j 0.0202675-0.00549302j 0.0965206-0.000307509j 0.0518051+0.0142742j -0.927853+0.000523412j 
-0.0124052-0.000681333j 0.00443516-0.00241889j -0.00210792+3.23722e-05j -0.0090057-0.00118954j -0.0154505-0.00129406j 0.0102806-0.00101699j -0.0101198+0.000377667j 0.0139297-0.000973181j -0.000373388+0.00110408j -0.0112312-0.00111958j 0.0629519+0.00197612j -0.0287461+0.00281551j 0.0315801+0.00260976j 0.0188655+0.000408769j -0.0231801+0.00191003j -0.0218771-1.15411e-05j -0.0241656+0.000767703j -0.0541535+0.00173107j -0.0376826+0.00145337j -0.0188297-0.00109211j -0.012961-0.000161064j -0.0152234+0.00360819j 0.00952599-0.00250155j -0.0150023+0.0028352j -0.0366662+0.00585877j -0.0154027+0.000921872j -0.0395962-6.30395e-05j 0.0663837-0.00516654j -0.0210823+0.00218785j -0.0100115-0.00289652j -0.107683+0.00227019j -0.0444612-0.00674474j 0.0369986+0.00201364j 0.0730051+0.000636732j 0.0223612-0.00112857j 0.0182229+0.00499959j 0.057718-0.0021335j 0.100868-0.000529992j -0.00997142+0.00132905j -0.0298483+0.00437681j 0.0299304-0.002429j 0.0366768+0.00241363j -0.0666755-0.00697596j -0.0209843+0.00512244j 0.0282721+0.00227776j 0.100164-0.00340548j 0.0295785-7.55739e-06j -0.093812-0.00336351j 0.072395-0.000761481j 0.00278022-0.00777222j -0.00634893-0.00233534j -0.0103445+0.00569633j -0.0221876+0.00494226j -0.0141283+0.00784723j -0.0631349-0.00139337j 0.0391406-0.0036239j 0.0915086-0.00275057j -0.0257343+0.000783761j 0.0209808-0.000320794j 0.072436-0.00298899j -0.00816389-0.00100985j -0.01595+0.000824961j -0.140666-0.00552077j -0.0215785-0.00517961j 0.0471398-0.000515894j -0.135237+0.00131077j 0.123429-0.000256918j 0.0440829-0.00741023j -0.0514991+0.00341189j 0.0745915+0.00177587j -0.0395124+0.00338975j 0.0855542-0.00142816j -0.0425389+0.000529092j 0.115235-0.00316072j 0.10642+0.000756605j -0.159164-0.00130118j 0.253883+0.00149685j 0.0191078-0.00539828j 0.19772+0.00515072j 0.134644-0.0044271j -0.654404+0.000278465j -0.221182+0.000150985j -0.00190292-0.00230796j -0.189171+0.00272078j 0.0375056-0.00310041j 0.148472+0.00337001j 0.153982+0.00011475j 0.0316998+0.000602506j -0.00309501+0.0019887j -0.0195537-0.0014257j 0.0129915+0.003417j 0.0174679+0.000111737j 
-0.00818352+0.0020026j -0.00413459-0.000869412j -0.00911884+0.000264473j 0.00656209-0.000853624j -0.0444797-0.000498099j -0.0225148+0.001279j -0.00904654+0.000495736j -0.0294807+0.00117945j -0.0366781-0.000288604j -0.0127743-0.00195375j 0.000177013-0.00138154j 0.0447413+0.00144587j -0.000986826+0.00135117j -0.0185705+0.00349998j 0.0322736+0.00240828j 0.0453618+0.00154309j 0.0396533-0.000229875j 0.112857-0.000761778j 0.0624128-0.00203753j 0.0636874-0.00102797j 0.0101193+0.00156906j 0.063383+5.61398e-05j -0.0760959-0.0046892j -0.0381132+0.00459646j -0.00547854-0.000997382j 0.0230667-0.000816545j 0.0253128+0.00744486j 0.0346178-0.0024376j 0.056652-0.000211344j -0.052606+0.00246556j 0.0380858+0.00378635j 0.0685184-0.00074942j 0.00956008+0.00181704j -0.0251213-0.00165851j -0.0279913+0.00098323j -0.0100058+0.00255825j -0.0865973+0.00121079j 0.0160994-0.00294882j 0.0224123-0.000772758j 0.0105161+0.00109133j -0.0332998-0.00563619j 0.004738+0.00130669j -0.0203658+0.00606591j 0.0357875-0.000698534j 0.00827634+0.00296687j -0.104702-0.000153791j -0.12393+0.00184396j -0.0387687+0.00262032j -0.0661835+0.00080902j -0.155741-0.000709553j 0.0707392+0.00164964j 0.104263+0.00102997j -0.121153+0.00218254j -0.0204308+0.00284689j 0.041752-0.000344573j -0.0275408+0.000377641j 0.00501148-0.00339942j 0.15152-0.00984974j -0.0902837+0.000755974j 0.128119+0.00163606j -0.0569142+0.000290164j 0.0141007+0.000903092j 0.00810041+0.00681217j 0.0212044-0.00237723j 0.0679052-0.000153994j 0.18419-0.00848604j -0.0238418-0.000650205j -0.0551542-0.000982518j -0.0296119-0.00335132j -0.125795-0.00197934j -0.0304856+0.000126697j 0.106556+0.0024147j 0.00587042+0.00236237j -0.022976+0.000110623j -0.283739-0.00176478j 0.240088+0.00210812j -0.0651951+0.00405332j -0.143122+0.000614563j -0.185928+0.0043583j 0.559073+0.001379j -0.0945422-0.000795317j -0.327452-0.00372198j 0.169974-0.0023734j 0.040688+0.00224925j -0.0239945+0.000704727j -0.0186352-0.000771508j 0.0128725+0.00174711j -0.0465198+0.00167327j 0.0209626-0.00282735j 0.011793-0.000770328j 0.00402027+0.00048513j -0.00631487-0.00233564j 
-0.00217268+0.000346778j -0.00595505+0.000338889j -0.01134-0.000146142j -0.000901168+0.000551761j 0.0292577-0.000210581j 0.0223539-0.000823813j 0.0121429-0.000261036j -0.00624194-0.00237916j -0.0029641+8.44283e-05j -0.00312771+0.00146214j -0.0364509+0.000207485j -0.00731756-0.00011824j 0.0357519-0.0023921j 0.00731119+0.00143958j 0.0604387-0.0020557j -0.0274167+0.00120893j 0.026134-0.00341072j -0.019908-0.000203337j 0.0137387-0.000658497j -0.0674915-0.00174225j 0.0435825-0.00251742j 0.0194426-0.00349009j 0.0250682-0.00565738j 0.0214952-0.00280444j 0.0464424-0.00363123j -0.00369888+0.00319772j 0.001599+0.000588868j 0.0378357+0.0030326j -0.0451759+0.00430389j -0.0434541-0.00223886j 0.0176117-0.00187707j -0.0501379-0.000797749j 0.0398991-9.29309e-05j 0.0264835+0.00476277j 0.0317954+0.000769346j 0.0366502-0.00399139j -0.0277514-0.00161394j 0.0981934+0.00176475j 0.07223+0.00194712j -0.0273983+0.0010804j -0.0763431-0.00177274j -0.0510226+0.00140589j 0.0270074+0.00709778j 0.0165043-0.000444121j -0.0142457+0.00480715j -0.00782879-0.00140454j 0.0215101-0.00303869j -0.0886366-0.00256133j 0.0742066+0.00185326j 0.00700545-0.000913532j -0.00177441+0.000744457j 0.00823377-0.00257514j -0.0240796-0.00539052j 0.0444285-0.00311833j -0.0649416+0.00192011j 0.105062-0.00406107j 0.00742417-0.000341795j -0.099884-0.0034995j 0.0823536-0.00208328j 0.064891+3.44782e-05j 0.152106+0.00107084j -0.198646+0.00566891j -0.0283948+0.000328392j 0.343666-0.00231287j 0.0421391-0.00125081j 0.0248899-0.00169434j 0.132627+0.0079997j -0.0194961-0.0020674j 0.170075+0.000693763j -0.184549-7.8949e-05j -0.0277007-0.000389034j 0.00654191-0.000905678j 0.341393-0.000852074j -0.0239106+0.0014348j -0.021489+0.00098838j -0.294425+0.000571942j 0.392046+0.00184494j -0.231608+0.0016697j -0.328826-0.000760206j 0.0963632-0.00214634j 0.116701+0.00224312j 0.117872-0.00170971j -0.0280908-0.000966189j -0.0373423+0.000240814j -0.0234314-0.00151761j -0.00591249+0.00140188j -0.0222691-0.000533047j 0.00506515-0.00341286j 0.0245765+0.00116182j -0.0255241+0.000126473j 0.00155628-0.000360173j 0.00822916+0.00017404j 
0.00146434-0.00104574j -0.0110047+0.00122933j 0.00796082+0.000518624j -0.00329515-0.00146767j -0.0370946-0.000623265j -0.020609+0.00109106j -0.0563811-0.000907665j 0.00218477-0.00148267j -0.0122505-0.00021649j -0.0103268-0.000212546j -0.0329634+0.000664508j 0.0126217-0.000389076j -0.0650476-0.00239722j -0.0408749+0.000520785j 0.00371964+0.00113635j 0.0290175+0.00226666j -0.0688112+0.00174956j 0.0271467-0.0013924j 0.0322417+0.0030974j 0.0835156-0.00129011j 0.053026+0.00288135j -0.0753693+0.00496875j -0.0347139+0.00347737j -0.0299447-0.00134146j -0.017375+0.00421559j -0.00844587+0.0017048j 0.0757173-0.00138978j -0.0389708+0.00315308j -0.0263746+0.00144806j 0.04918-0.0015242j 0.0452899+0.00137985j 0.0662514-0.00585304j -0.00343231+0.00299704j -0.0412456-0.00434723j -0.0236177-0.000257493j 0.0410372+0.00240933j 0.0754628+0.00460808j 0.0266687-0.000981581j -0.0608025-3.04108e-05j 0.110254+0.00238313j -0.037034+0.00326602j 0.0471923+0.000186989j 0.087813-0.00356023j 0.0616654+0.00242471j 0.0284949-0.00121039j -0.00400113-0.00152256j -0.0605192+0.00302201j 0.0778347-0.00587314j 0.119587+0.0038636j 0.0818702-0.00158458j -0.0430694-7.94678e-05j 0.0897474+0.00242259j 0.0162942+1.01386e-05j -0.0215106+0.00619208j 0.0100916+0.00121292j 0.00729316-0.00217826j 0.0191751+0.00419111j 0.173526-0.00344912j -0.0513069-0.00314557j 0.0717331-0.00148206j -0.00883038-0.00346067j -0.043839+0.00137953j 0.0563526-0.00311015j -0.0113016-0.00103566j -0.116207+0.000956305j -0.0775919-0.00394599j -0.048189-0.000831983j -0.207396-0.00498169j 0.0764787-0.00210788j 0.248311-0.00435209j 0.0582362-0.00141687j -0.114162-0.000719485j -0.19798-0.00275731j 0.22829-0.0027803j 0.0117611+0.00126759j 0.330136+0.00155176j 0.25411-0.00132804j -0.206824+0.000124993j -0.188391-0.00172737j 0.0528452+0.000771272j -0.185398+0.00235549j 0.410117+0.0014819j -0.113615-0.00016255j -0.0584686-0.000566852j -0.0208987-0.00165291j -0.14363+0.000644712j 0.00196269+0.00313281j -0.0279861+0.000419362j 0.0614606-0.000188115j -0.00261189+0.00267621j 0.0013606-0.000744602j -0.00924173+0.0015891j 
-0.00104695+0.000561561j 0.00228582-0.000602272j 0.0109148-0.000555255j -0.00788875+0.000116031j 0.00631024+0.000655094j 0.00149917+0.0025764j 0.0663261-0.00206118j 0.00147005-0.000549518j -0.0503596+0.00092998j -0.00312197+0.000779478j 0.0256712-0.00170696j -0.00844296+0.00177282j 0.0214126+0.00200176j 0.0409788-0.00359152j 0.029975-0.00174994j -0.0241035-0.000907757j 0.0500512+0.000594922j -0.0231266-0.00199244j -0.0201329+0.00146299j -0.00324163+0.00174884j 0.0452265-0.000102096j 0.0338206-0.00237099j -0.0665257-0.00362954j 0.0139033-0.0031989j 0.118153+0.00162058j -0.113956+0.00382164j -0.00978165-0.000802738j -0.0375079-0.000814257j 0.0466595+6.65464e-05j 0.0447108-0.00119608j 0.0101925-0.00238299j -0.0112094+0.000282413j -0.0580447+0.00351267j 0.0945897+0.000834959j 0.0618504-0.00283324j 0.0023067+1.44804e-05j -0.0988992+0.00461376j -0.044182-0.00353141j -0.0409853-0.000473379j -0.0729311+0.00155729j 0.0543889+0.00215727j 0.0307135-0.00414864j -0.137674+0.00394929j 0.00983848-0.00485907j -0.0521159+5.10665e-05j -0.092958+0.00327474j -0.00461086+0.00509404j 0.0307672-0.000179911j 0.0328847+0.00286539j 0.065014+1.62231e-05j 0.0235549+0.00458243j 0.0888162+0.00319464j 0.125137-0.00602525j -0.159946+0.00137162j -0.0234063+0.0020078j -0.104714-0.00040171j 0.116306-0.00415649j 0.0652577-0.00400461j 0.083044-0.00207761j -0.00248801+0.00236511j 0.124453-6.42081e-05j -0.131582-0.00302221j -0.00275079-0.00155721j 0.0425449+0.00191857j -0.359029-0.00255842j 0.0044836+0.00369438j 0.0867122+0.00195613j -0.0887407-0.00255651j -0.223011-0.00236991j 0.081904+4.13918e-05j -0.207388-0.000231997j -0.12875-0.00137189j 0.344472-0.00162733j 0.170686-0.000795216j 0.361667-0.000174413j 0.261499+0.00254607j -0.0160524+0.00147325j 0.127141-0.000413017j -0.0686541+0.000659288j 0.0650358-0.00114468j 0.0562859+0.000527739j -0.177827-0.00121951j -0.0419553+0.0001995j 0.0879346+0.00159976j 0.0244415+0.00110729j 0.0830812+0.00149815j -0.0224111+0.00234169j 0.00981023-0.0030567j -0.00694627-0.000695493j 0.0227354-0.000718792j -0.00830579+0.000172763j 0.0157782-0.000252174j 
0.00609624+6.40679e-06j 0.00247844+0.00151079j -0.00388082+6.40356e-05j -0.000750598+0.000891358j 0.0334782+0.00160741j 0.0344394+0.00032634j 0.0739061-0.000360031j -0.0085725+0.00192018j -0.00592539+0.00092938j 0.0235273-0.00100429j -0.0949498-0.00183366j -0.0270354+0.000235338j 0.0275785+0.000786428j 0.0113759-0.00299292j 0.0685477+1.82593e-05j 0.0448967-0.00135994j 0.082101-0.00158679j 0.0190656-0.0066533j 0.0300391-0.00227729j -0.0765662-0.00310293j -0.0256156-0.00118132j 0.048107+0.00522813j -0.0256514+0.000439126j -0.00136483+0.00442143j -0.00238344+0.000441402j 0.0603364+0.000723253j -0.0161335+0.0016116j 0.0506355-0.00479351j 0.0409954-0.00658112j -0.0908563+0.00243586j 0.0398359+0.00128423j 0.0151931+0.00193259j -0.0984704+0.000301181j -0.113111-0.00665459j 0.0284297-0.00112636j -0.00689785+0.000235523j -0.116752-0.00133295j 0.140803+0.00576469j 0.0867844-8.457e-05j 0.0108416+0.000857783j -0.151612+0.00520529j 0.0348317+0.00390665j 0.0638973-0.00509987j 0.111949+0.000170283j 0.0406054+0.00314976j -0.130749+0.00195313j 0.120564+0.00941242j 0.0485535+0.00083222j 0.0570825-0.00615595j 0.0170514+0.00435608j 0.0597205-0.000775139j -0.0915364+0.00383387j 0.133179-0.00474946j 0.00330515-0.00329504j 0.00555714+0.00205865j -0.253947-0.00233875j -0.0361318+0.000131117j 0.0503557+0.0016782j 0.0371581+0.00101874j 0.283964-0.000831595j -0.00571352-0.000857407j -0.156899+0.00272492j -0.0922601-0.000978051j -0.0183379-0.000966949j 0.31523+0.00017674j 0.0838166+0.000272535j 0.0414882+0.00264687j 0.137212-0.00337451j -0.307817-0.00156006j 0.219366-0.00322641j 0.0268093-0.000485921j 0.138712+0.00204095j -0.245294+0.00168845j -0.130334+0.00102445j 0.290887-0.000181082j -0.0551957+0.000300612j 0.0882204-0.00263133j 0.0398222+0.00041192j -0.0945089-0.0016929j 0.102315+0.00286369j 0.0971952+0.000296447j 0.0801646+0.00123453j -0.0268564-0.00120934j 0.0620821-0.00163307j -0.0316803-0.000175373j 0.0581091+0.000559833j -0.039141-0.000524788j 0.0296667-0.00219904j 0.00842418+0.0007945j -0.0096365+0.000799262j -0.0100129-0.0016881j 0.00292815+3.87332e-05j 
-0.00303602+0.00016676j 0.00319879+7.48488e-05j 0.0111892-0.00126548j 0.00524272+6.00309e-05j -0.00538501-0.0014827j -0.015952+0.00112146j 0.00849355+0.000148559j 0.0148499-0.00271264j 0.0360887-0.00113549j 0.0405817+0.00122668j 0.0338951+0.000385991j -0.0126156-0.000813429j -0.00733891-6.65113e-05j -0.0359184+0.00130995j 0.0170017-0.000398031j -0.04847+0.0016585j 0.0565787-0.00258589j 0.0460032-0.00152476j -0.0033556-0.00155941j -0.0284635+0.00227346j -0.0271043-0.0025412j -0.0581577-0.00107341j -0.0333501-0.00402529j 0.0112003-0.00414104j -0.0411352+0.00545591j -0.0516013+0.00219392j -0.0495261+0.00152773j -0.00932746+0.000714337j 0.0406815+0.00528941j 0.0728524-0.00138989j -0.031939-0.00261123j 0.0561531-0.00296467j -0.0644263+0.000570663j -0.141934-0.00207877j -0.0700792+0.000660473j -0.108568+0.00331682j 0.0168239-0.00237749j -0.0459574+0.00725357j -0.011203-0.00180093j -0.140559+0.00362322j 0.0127942-0.00174071j -0.05386+0.00421478j -0.088452+0.00410473j 0.0852334+0.00027598j -0.128466+0.00157633j -0.0340288-0.00104864j -0.11237-0.00411742j 0.0442881-0.00650145j -0.057198+0.00220121j -0.0842995-0.000649524j -0.146718-0.00250621j 0.137424+0.00217067j -0.0717329+4.62476e-05j -0.139351+0.000456576j -0.0167042-1.17807e-05j 0.202043+0.00246284j 0.0610601+0.00158373j 0.00578435+3.69304e-06j 0.0379377-0.00260476j -0.0416339-0.00133491j -0.0108201+0.00165199j 0.00407935+0.00282066j -0.122171-0.00138144j -0.0951169+0.00424114j -0.151889+9.97016e-05j -0.0631375+0.000755238j 0.119974+0.0025022j 0.0960846+0.000189869j -0.390748-0.0021493j -0.00368463+0.000416681j -0.161042+0.000250471j -0.0141627-0.00302693j -0.11535-0.00120594j -0.387491+0.000816136j -0.287532+0.000458511j 0.0718995+0.000357133j 0.356518-0.00145679j -0.0682646+0.000837856j 0.0545983+0.00173595j -0.128392-0.00249605j 0.0679599+0.00176436j 0.0374844-0.000729457j -0.100273-0.000578821j -0.0331015-0.000366279j -0.0359154-0.000861521j 0.0442625-0.000238339j -0.0629391+0.000839708j -0.0339429-0.000910086j -0.00282174-3.39342e-05j 0.0337699-0.000131071j -0.0046686-0.000152623j -0.00180003-0.00012003j 
0.00176022+7.77813e-05j -0.00933082+0.00200768j 0.011471-0.00245143j 0.0108377-0.0016822j -0.015988+0.00272799j 0.0157666+0.000394527j -0.0424007-0.0016339j -0.0295533+0.00298672j 0.00420819+0.00143332j -0.0254012+0.000222128j -0.011919-0.000314892j -0.0152248+0.000682278j -0.0161808-0.00295653j 0.0511822+0.00092165j -0.00231597+1.19929e-05j 0.00122987+0.00125874j -0.0348275-0.000752985j 0.0965231-0.000559892j 0.00744751+0.000824912j 0.142136+0.00167556j -0.0925812+0.000534702j -0.0536965+0.00380387j -0.0626447+0.0045975j -0.0689344+0.00237515j -0.0209438-0.000881557j 0.0299843+0.00372889j 0.0100939+0.00281417j -0.0687591+0.000421171j 0.0326021-0.00168321j 0.0332202-0.00364013j 0.0255547-0.00219469j 0.0100406-0.00319544j -0.0121823+0.00414633j -0.027151-0.00546056j -0.092949+0.000935354j -0.0531157+0.00671154j 0.104755+0.00501522j -0.062243+0.00249892j -0.0798539-0.00516255j -0.0178153+0.000271517j 0.000905399+0.00107294j 0.0496702-0.000162709j -0.0450301+0.00311323j -0.109565+0.00323863j 0.151357-0.000663656j 0.174114-0.00126628j 0.0457694-0.000606494j 0.0492463-0.000200834j 0.170567-0.00219687j -0.0761094+0.00327071j -0.0463002-0.000224586j -0.0218446-0.0038529j 0.0323529-0.00350704j -0.0332568-0.00182846j -0.109697-0.000932024j 0.327319-0.00276883j 0.0102163-0.00504977j 0.0111166+0.00640144j 0.018411+0.00378878j -0.159082-0.000912753j 0.0412071-0.00112364j 0.0562367+0.00248634j -0.0971482-0.00070046j -0.104331-0.00479877j -0.0976418-0.00380003j -0.1296+0.00193442j 0.169923+0.00328447j -0.0536253+0.00554905j -0.00938317+0.00231612j 0.108929-0.00189889j 0.150556+5.69205e-05j 0.123427+0.0039024j 0.0268882+0.00386753j -0.311771-0.00202216j 0.313712-0.00110313j -0.144286+0.00252463j -0.194108+0.00197978j -0.0156067+0.00356055j -0.0843484-0.00245747j 0.363388+0.00122671j 0.0393781-0.00207595j 0.110129+0.000721743j 0.0914148-0.00134093j 0.0588703+0.00133206j 0.0701221+0.00133834j -0.0831622+0.00339563j -0.0809391-0.00165576j -0.0213959-0.00149337j 0.0223523-1.4067e-05j -0.0121387-0.00194852j -0.00659332-0.00356319j -0.00754431+0.000149232j 
0.00466877-0.000372732j -0.00245242-0.000787974j -0.00495805+0.000942188j -0.0148704+0.000508721j 0.00963059+0.00241365j -0.0045207+0.00056684j -0.00876526-0.000352439j 0.0130356+0.00181555j -0.0225008+0.00256772j -0.045102+0.00122229j 0.0412959-0.000271089j 0.0112741+0.00144321j 0.00540743-0.000598618j 0.0576123-0.00384154j -0.0428952+0.00118899j -0.0727447-0.000791683j -0.0866014+0.00357499j -0.0547774+0.00300766j -0.0636548-0.000854823j 0.0647432+0.000159156j 0.0738732+0.000182818j -0.00329927-0.000524145j 0.0347843+0.00571445j 0.0216654-0.00109799j -0.0355109-0.0047764j -0.00051417-0.00398583j -0.00102958-0.00500901j 0.0257199-0.0019144j 0.00376525-0.00417087j 0.0466733-0.00606342j 0.0246836-0.000400756j -0.198196-0.00161354j 0.0266566-0.00636163j -0.0834792-0.00204886j -0.135956+0.00233359j 0.027954+0.00100111j -0.063085-0.00527946j -0.00232293+7.75822e-05j 0.025306-0.00304096j -0.0253893+0.00293064j -0.0897729+0.00380633j -0.026711+0.00060604j 0.00336215+0.000237809j -0.0150906-0.00411176j 0.0466558-0.00825008j -0.0918149+0.00345879j 0.249444-0.00266785j -0.0234093+0.00148808j 0.156628-0.000965601j -0.157956+0.00284477j -0.0424999-0.00233141j -0.0495181-0.00144365j 0.0558085-0.00111588j -0.188911-0.00310536j 0.0419574+0.000682562j 0.0507787+0.00316069j -0.106402-0.00414501j -0.186939-0.00093701j 0.0880524-0.00229236j 0.0304635+0.0043673j -0.0526957+0.000632509j -0.0258902-0.00181539j -0.0495594+0.0017532j -0.208996+2.6151e-05j -0.000116773+0.00185954j 0.0365708-0.00422587j 0.0386576-0.00112791j 0.238705+0.000647441j 0.16531+0.00131163j 0.205864+0.001926j -0.288509-0.000701739j -0.470699+0.000894681j -0.0859823-0.000310891j 0.0524334+0.000241186j -0.12981+0.00170885j -0.0683123+0.000695498j -0.104889-0.00236859j -0.106668+0.00011711j -0.106533-0.000775754j 0.155824+0.00112751j 0.0393208+0.000546651j -0.0659828-0.000698685j -0.0783776+0.00112832j -0.0342646+0.00275021j -0.030069+0.00160124j 0.0167045-0.000681319j 0.0626352+0.00183672j 0.0221303+0.000253097j 0.00798673-0.000198532j -0.0183974+3.24976e-05j 0.000348225+0.000695892j 0.00772581+0.000343688j 
0.00964355+0.00124607j -0.00281594-0.00173161j -0.00182287+0.000881862j -0.0050749+0.000442319j -0.00567945+0.00205581j -0.00810647+0.000273095j 0.0181654-0.000742839j -0.00744379+0.000808503j 0.00247591-0.00183974j 0.0232602+0.00124769j 0.0552862-0.00034023j -0.025083+0.0025087j 0.107546-0.00243635j -0.0721847+0.00484063j 0.0248871-0.00311067j 0.0227582-0.000123842j 0.0540316-0.000132556j 0.0378209+0.00018611j -0.0165529+0.00232647j 0.0149307-0.00551471j 0.0842639-0.00662544j -0.0143339+0.00215692j -0.0695403+0.00348957j 0.0757935-0.00565066j -0.149517-0.00264187j -0.042334-0.00216304j -0.0369198-0.000594074j 0.112479+0.00182434j 0.00966178-0.00258557j 0.109729+1.06182e-05j -0.0310375-0.00342153j -0.0265182-0.00197307j -0.0143122-0.00696909j 0.0562125-0.00240994j 0.0697926+0.00418199j 0.0530749-0.00700595j -0.0872739+0.00640223j -0.0137711+0.000130744j -0.00196518-0.00256698j -0.0244616-0.00433011j 0.0814456-0.00246511j 0.0593909-0.000969011j 0.0738777+0.00485039j 0.0188448-0.000914176j -0.0099676-0.00134854j 0.105212-0.00391124j -0.0159556-0.000362822j 0.149132-0.00765226j -0.0641673+0.000714989j 0.00959504+0.00167708j 0.0303155-0.000197617j -0.0960635+0.00222364j -0.126848-0.00257916j 0.126713+0.00272572j -0.126527+0.00181266j -0.0358031-0.00392692j -0.139586-0.00207756j 0.044644+0.00255837j 0.0324432-0.000424983j -0.196448-0.00220007j 0.0678493-0.000535199j 0.275525+0.00165323j 0.160377-0.00247819j 0.159445-0.0047162j 0.0624424-0.00279559j 0.107485-0.000967369j 0.00221824-0.00348058j 0.0219633-0.00251537j -0.0768933+0.00092143j -0.278012-0.00122181j 0.060146-0.00150109j -0.429027-0.00281896j -0.249549-0.00111386j -0.12278-0.000565283j 0.281114+0.00263688j 0.0565232-0.000557753j 0.120337-0.000687347j -0.051833+1.35501e-06j -0.0856758-0.00203659j 0.0851531+0.00369764j -0.0936264-0.000557417j -0.0759826+0.000879974j -0.06839+0.000141135j 0.0367248-0.0027337j -0.00387207-0.0018186j 0.0727479+0.00349056j -0.028698+0.00228622j 0.0334775-0.000676502j 0.000691863-0.000243263j -0.00470128+0.00037191j -0.014537+0.000113932j 0.00437293-0.000439461j 
