-0.00642684+0.0123642j -0.0204816-0.00415029j 0.0143803+0.00809266j -0.0394313+0.0191043j -0.0182791-0.00938474j 0.0102081+2.61791e-05j -0.0261175-0.0103199j -0.0025055-0.000772337j -0.00476659-0.0124551j 0.0077005+0.00227347j 0.0151737-0.0131777j -0.00936963-0.00641303j -0.00834173-0.0184245j 0.00214446+0.016793j 0.0158478-0.0260929j 0.024569-0.00646419j -0.0247067-0.00700495j -0.00469021+0.0056167j 0.0145339+0.0427682j 0.0196638-0.012352j 0.0168326-0.0164563j 0.006829-0.011141j -0.00691257+0.0180232j -0.0405897+0.0295232j -0.00508238-0.0112256j 0.0065821-0.0438583j -0.00413643-0.00985944j 0.0233089+0.0310609j 0.0177801-0.00136965j -0.00875306+0.0127189j 0.0297304-0.0063162j -0.031173-0.00882966j 0.00194398+0.0091034j -0.0295743-0.0041534j -0.00168875-0.015318j -0.0211734+0.00957569j -0.00747264-0.0259497j -0.0200978+0.0108487j -2.65112e-05-0.00874792j -0.0175052+0.00147832j -0.019528+0.0151241j 0.0167157-0.0121113j 0.0174319-0.00588368j 0.0379138+0.0333808j 0.0285286-0.0196864j -0.00411-0.0105691j -0.0261714+0.0061092j -0.00765365-0.00752745j -0.0891837+0.000505453j 0.017838+0.103366j 0.0343261+0.0216277j 0.0424359+0.0193112j 
0.0135351-0.0101941j -0.00523547+0.013206j -0.0188001+0.0059821j -0.0281165-0.00994107j 0.0376427-0.0272462j 0.0625752+0.0277893j 0.0287099-0.0151149j -0.016272-0.0217816j 0.0493932+0.0445861j 0.0671157+0.0225851j 0.0187789+0.0348205j 0.040332+0.0548206j -0.0580246-0.0359648j 0.0967931+0.0253093j -0.00968206+0.0999974j 0.0386255+0.0694034j -0.0306319-0.00616441j -0.0680167-0.02665j 0.019762-0.0478958j -0.0319764-0.0657422j -0.0328346-0.037222j 0.0601579+0.0400249j -0.0730743-0.024725j 0.160584+0.0540321j -0.124273+0.0285478j 0.0231677+0.0571472j 0.0426753+0.0505539j 0.075138+0.0581544j -0.0632248+0.0812211j 0.0448654-0.0521856j 0.0325103-0.0862527j -0.0973902-0.00263793j -0.0357029-0.0177789j -0.025962+0.0116026j -0.00651421+0.0194696j 0.0393599+0.0154651j 0.0829114+0.0521369j 0.066902+0.0978499j -0.0793698+0.0142633j 0.0105305-0.0772708j -0.0179261+0.0779865j -0.0606705-0.0682939j 0.00683453-0.0671694j -0.0697032-0.0611796j -0.043443+0.035038j -0.064701-0.011084j -0.0276854-0.0473375j -0.0239144+0.035779j 0.0562324-0.0509554j -0.0517687-0.057826j 0.0118082+0.011094j -0.0317177-0.0267258j 
-0.00193952-0.0108857j 0.00815515-0.0125773j 0.00485232+0.0187147j 0.0133342-0.00242631j 0.0335578+0.0113485j 0.0286486+0.00893995j -0.0062182-0.0130609j 0.0554143+0.0345947j 0.0016569-0.0267456j -0.094608+0.0295176j 0.0391264-0.0176867j 0.0309031+8.21536e-05j -0.0137618+0.00168448j -0.103123-0.0266636j -0.0163999+0.02559j 0.0331687-0.000833469j -0.00662599+0.0778373j 0.0385184-0.0390362j 0.0554041-0.039094j -0.058037+0.0227057j -0.0872961+0.078135j -0.0775448+0.0268585j 0.0461061+0.026093j -0.028724-0.0763424j 0.053427+0.000931715j 0.0853931-0.0158734j -0.021316+0.0102165j -0.043829+0.0432356j -0.0324606-0.105715j -0.00910923-0.0378443j 0.0552535+0.0398414j 0.119776+0.0298404j -0.0450907+0.014172j 0.0754932-0.00534909j -0.0269157+0.129567j 0.00781154+0.0955709j -0.0961802+0.0146708j -0.0903677+0.0853491j 0.05848+0.0230817j 0.0926759+0.0274154j 0.0281399+0.0470772j -0.0579742+0.115232j -0.0314679-0.0105191j -0.0440349-0.0222301j -0.0449237+0.000531889j 0.0321686+0.0523302j 0.0664598+0.0240813j 0.00982804-0.0241818j 0.0804615+0.0603326j 0.0460024-0.11809j -0.0287278-0.0289951j 0.00351594-0.0396905j 
0.0135655-0.013749j -0.00111623+0.021559j -0.0164372+0.0311039j -0.00935073-0.000336443j 0.0462151-0.0139404j 0.0664648+0.00513727j 0.0389945+0.00147131j -0.00225112+0.0166212j 0.00629933+0.0024577j 0.0103349+0.00201421j 0.0325992-0.0419096j 0.0358234+0.0792504j -0.0562426+0.0196581j -0.0350012-0.0267021j 0.0438085-0.0394033j 0.064934+0.0371356j -0.0878209-0.0228682j -0.0340649-0.0185829j -0.00643754-0.127384j 0.0190124-0.0566966j 0.0392294-0.0744152j -0.0249158-0.0150593j 0.0751825-0.0175281j 0.0642463-0.0366795j -0.0641044-0.0237219j -0.0406984+0.00369027j -0.0103545+0.0972956j 0.00163231-0.0358095j 0.0527888-0.0109993j 0.0597885-0.0458474j -0.0538559-0.00631167j 0.086236-0.0110908j 0.0346816-0.0653117j -0.00138489-0.0274161j -0.0293642-0.00888608j 0.0769293+0.0803731j 0.0528244+0.0760115j 0.0389468-0.0849617j -0.0292423+0.00856174j 0.0187563-0.0686545j -0.0155754+0.0476799j 0.0246172+0.0316335j 0.0232175+0.0796003j -0.0312168-0.0660092j -0.0160881+0.0657534j 0.0144711-0.0757369j -0.00141814+0.01468j -0.0576996-0.0389311j 0.0467163-0.0958149j -0.0879017-0.0545594j 0.00537197+0.0192801j -0.0374007-0.0287021j 
0.0183065-0.0268212j 0.0203129-0.00473859j 0.00175702+0.00960284j -0.00135527-0.0245342j 0.0412755-0.0139995j -0.0446512+0.0464495j 0.0842647+0.028767j 0.00366435-0.0067166j -0.0134282+0.0841287j 0.129908-0.0510567j -0.0296883+0.00771805j 0.0134815+0.070735j 0.0332318+0.0541402j 0.145052+0.00916359j -0.0301868+0.203877j -0.0963526+0.0392654j 0.0326887-0.0365559j -0.0575561+0.026155j -0.0299992-0.00828228j -0.0638793-0.0477252j 0.0178699-0.039289j 0.166537-0.0374757j -0.0747444+0.00309092j 0.0820887-0.0203227j -0.164894-0.0406958j 0.00978978+0.114823j 0.0647222-0.00480239j 0.0330831-0.00199752j -0.0667584+0.0700414j 0.0203917+0.0107446j -0.0607056-0.0729517j -0.143668-0.0244001j -0.0367572-0.0585645j 0.0804215-0.0315609j -0.0124579-0.0377847j -0.0331674-0.192137j 0.146435+0.122843j 0.154497-0.0354821j 0.00490265-0.01077j -0.0226345-0.0811313j -0.000259808-0.00815547j -0.0872988-0.120899j 0.0121604-0.065248j -0.0502893-0.127617j -0.0630042-0.0405794j -0.0712733+0.0344592j 0.0271005+0.00193787j 0.00554225+0.0206109j 0.0890176+0.0316959j 0.0334429-0.125387j -0.0430221-0.0388252j -0.0216679-0.00757894j 
0.00106491-0.00785885j 0.006845+0.00190243j -0.000842078+0.0115548j -0.0274165-0.0491775j 0.0102566+0.0303301j 0.0482139+0.0163501j 0.0214704-0.00035128j 0.0400252-0.0114401j 0.0116255-0.0207075j 0.0216925+0.00912245j 0.0219098+0.0493038j 0.0899676-0.00376646j -0.0216343+0.0465679j 0.0543449+0.119903j -0.00356703+0.0453992j 0.0746938-0.00445617j 0.0158978+0.017496j 0.0226476-0.0245605j 0.0295364+0.0278541j 0.0701559-0.000157776j -0.0367413+0.0586714j -0.0973193+0.104164j -0.0499359+0.001253j 0.105048+0.0138131j -0.00877205-0.0726391j 0.148751-0.0907729j 0.0709085-0.0621595j 0.0436862+0.0815095j 0.231559+0.0134397j -0.0744615-0.00509046j 0.10321-0.0441339j 0.0930693+0.0207054j 0.0540031-0.0896094j 0.0150892-0.114772j -0.00751595-0.0320799j -0.124594-0.0197873j 0.1159+0.00825952j 0.104753+0.0399072j -0.142119-0.0621942j -0.0582915-0.0320932j 0.0485524-0.0221654j 0.00649985-0.015215j 0.0781502-0.0442244j -0.0845755+0.0277032j 0.0233003-0.0670865j -0.029976-0.0216037j 0.0154107-0.0200245j 0.0526845-0.0123937j -0.0427404+0.0128049j 0.0627877-0.00789966j 0.00725425-0.0251557j 0.00241992+0.0179945j 
-0.0141898+0.0064043j -0.00305135-0.00888133j 0.011823-0.0630114j 0.0457037+0.0121202j 0.0237598+0.0301724j -0.0378304+0.0230976j -0.0218976-0.0322803j -0.0560935-0.0296508j -0.00486937+0.0362164j 0.00887637+0.000856252j -0.0668744+0.0607743j -0.0700419-0.00980002j 0.0644697+0.0163692j 0.094809-0.0612126j -0.0368914-0.0332836j -0.0132711-0.0266917j 0.0478748-0.0252263j 0.0308642-0.0257071j -0.00334891+0.0167374j 0.00913186+0.0125692j 0.0879695+0.0234843j 0.117122-0.115523j -0.0334385-0.0431275j 0.0427641-0.033025j 0.0295229+0.0940098j 0.00679896+0.0837921j -0.0357185-0.0694007j 0.0315713-0.025688j -0.092868+0.0805469j 0.0148529+0.0342217j -0.0365865+0.0573403j -0.0279616-0.0653789j 0.000404667+0.0561128j -0.0482381+0.0504463j 0.0374807-0.0457343j 0.0671544-0.0131048j 0.0524747-0.0231002j -0.0384448+0.0260887j 0.0168843-0.0481023j -0.0039061+0.0580293j -0.0174292-0.0178236j 0.0381331-0.0357257j -0.00644497+0.0482533j 0.035799-0.022311j 0.00981373-0.0390794j -0.0157898+0.00694154j -0.000379123-0.00871697j -0.0118682+0.0356989j 0.0134944+0.0188189j -0.00941133+0.0229901j -0.0189369+0.0210747j -0.0196435+0.0155435j 
-0.00184021+0.0221215j -0.0285467-0.0068605j 0.0366801-0.0133059j -0.057255+0.0370563j 0.00943457+0.015741j 0.0736572+0.0173184j 0.0135265-0.0304609j -0.010764-0.0654812j 0.0196455+0.027167j -0.00251841-0.0378891j -0.0530373+0.0296917j 0.0296547+0.105984j -0.0438283-0.066109j 0.102652+0.0471891j -0.0586022+0.0380504j 0.175927-0.0433351j -0.0381666+0.0192578j -0.000837644-0.0495506j 0.118005+0.0067646j 0.13671-0.131954j 0.0376604-0.0648217j 0.0409978-0.111914j -0.0743986+0.0593948j 0.10887-0.081547j -0.0918286+0.0144559j 0.155259+0.0190948j 0.0129293+0.00228049j 0.161757+0.132339j 0.0636577+0.0288884j -0.037856-0.028686j 0.133734+0.0454871j 0.0139703-0.140671j 0.0112946+0.0126842j -0.169906-0.0413022j 0.123051-0.110334j -0.0510038+0.0418003j 0.0736002-0.00201865j 0.0752018+0.0514699j -0.0629814-0.163751j -0.0850953-0.00872575j 0.0221361-0.00816463j 0.0829646-2.34692e-07j 0.0102403+0.130773j -0.0134694-0.00272691j 0.0539088+0.0265793j 0.0262413-0.079108j -0.0311855+0.037314j -0.00114419+0.0177249j -0.0423467+0.0121178j 0.0311188+0.061715j 0.0143976-0.00415112j 0.00817882-0.00375369j 
0.0050298+0.00878466j -0.0307002+0.0039632j -0.0126706+0.026316j -0.0626591+0.0219163j -0.0137659-0.0272118j 0.0616162+0.0254413j 0.00286865-0.0163138j -0.0234775-0.000655461j 0.0398897+0.00488743j 0.018368-0.0173866j 0.00327289-0.0324967j 0.0583328+0.038247j -0.0802727-0.0406456j -0.0402121+0.0223305j 0.00232069+0.0941364j 0.0357293+0.117694j -0.058185+0.0557692j -0.0173785-0.0676141j 0.0212502+0.149439j -0.0907521-0.1344j -0.0828572+0.0422844j 0.0363661+0.00644631j -0.0352571+0.0676964j -0.115145+0.0862762j -0.0798536-0.0758259j 0.0518131-0.0814612j 0.00900421+0.0173945j 0.0702818+0.0696439j -0.0145847-0.093925j 0.0625542+0.0492859j 0.0520786-0.0854525j -0.162517+0.135108j -0.118036+0.0648105j 0.00604948-0.0436011j 0.00300118+0.0535339j -0.220902-0.0429772j -0.0197653-0.0632821j 0.0717026+0.126962j 0.135249-0.0752353j -0.000486259-0.1841j -0.0353138+0.0768027j -0.0271604+0.060929j -0.0116898-0.0655962j 0.0698147+0.0832553j 0.0365164-0.0656887j 0.0385045+0.0445086j 0.0195744-0.0120348j 0.00365212-0.0370773j -0.0313808+0.0432707j 0.0346636+0.0256023j 0.0414772+0.00425271j 0.0243071-0.0132801j 
-0.0265256-0.0215942j 0.0354036-0.0234382j -3.80118e-05-0.0263564j 0.0238515-0.0521622j 0.00675675+0.00403398j -0.0725789+0.00144937j -0.0461413+0.0102352j 0.0446606+0.0363687j -0.0206209-0.0486667j 0.0207139+0.0306009j 0.00439351+0.0133236j 0.0198703-0.0519542j 0.0396908+0.0863182j 0.00562728+0.0368316j 0.0756056+0.00242348j -0.0470759-0.00592292j 0.0700718-0.0721988j 0.0133863+0.0671779j -0.0683188-0.0191304j 0.0226817+0.0686698j 0.0119193+0.0803147j -0.0384103+0.0655089j -0.0273905-0.0560517j -0.00947958+0.0528133j 0.0234257-0.017449j -0.00940091-0.0750631j 0.0117024+0.0308051j -0.0214255-0.0476451j 0.202546-0.00258471j -0.00725311-0.0101751j -0.00232524+0.03875j 0.125617+0.0766045j -0.0282967-0.158777j 0.0304377-0.0837994j -0.084956-0.0115982j -0.044574-0.16756j 0.0894393-0.0851384j 0.154994-0.0551464j -0.00708574-0.0506283j 2.81076e-05+0.00429871j 0.0562429-0.0529584j 0.0251302+0.0161907j 0.107688-0.0511283j 0.0298465+0.0618155j 0.0600589-0.132587j -0.0136881-0.0341057j 0.0748828+0.00894681j 0.0654414-0.029913j -0.0157218+0.0701874j 0.068366-0.0202952j -0.0479137-0.026051j 0.0159222+0.0166746j 
-0.0224089+0.00451665j -0.0101893-0.0119551j 0.0158527+0.0290521j -0.0211259-0.00160366j 0.0562528+0.0401168j 0.0261461+0.0859832j -0.00770918-0.12074j 0.0169344+0.0436634j -0.0109161+0.0363646j -0.0764476+0.056392j 0.09755-0.00503706j -0.0484246+0.0389569j 0.0349677+0.0305692j 0.0776908-0.0562278j 0.078043-0.0083225j 0.0564157-0.00687642j -0.0688823-0.0419984j -0.076007+0.054949j 0.0574884-0.0599778j 0.0246615+0.06177j -0.039447-0.0189191j 0.101701+0.0200641j 0.0050145-0.030317j 0.126935-0.0186185j 0.0455504+0.0121545j 0.153135+0.0105808j 0.0118396+0.0684004j 0.040946+0.1595j 0.0415861+0.059837j -0.0934518-0.153077j -0.0192903-0.00195521j 0.124514-0.0965288j -0.0514594-0.0972392j -0.0575324-0.0411371j -0.158678+0.0795667j 0.130309+0.11448j 0.0128176+0.0539922j -0.101497+0.0642399j -0.0976714+0.156348j 0.117419+0.146576j -0.0173084-0.00347502j -0.0626438+0.0364099j -0.00798942-0.0981655j -0.0903539+0.0202096j 0.0306582-0.0441888j -0.00630227+0.0159214j 0.0154676+0.035188j 0.0389562-0.0228023j -0.0114229+0.0952669j 0.0744941+0.0168995j -0.00872721-0.0199863j 0.0164158+0.0145935j 
-0.00341081+0.00840347j -0.00354438-0.00466592j -0.0108029+0.0187505j -0.0449671+0.0181609j 0.0103885-0.0362078j -0.0335878+0.0418925j -0.000489844-0.0151014j -0.0414346+0.022973j -0.0177795+0.0539451j 0.0565857-0.0168756j -0.0273221-0.0789455j -0.0749985+0.0601099j 0.0402076-0.0333685j 0.0859786-0.0675768j 0.0620847+0.0316274j -0.0301972+0.0153773j -0.0380303-0.0802408j -0.115411+0.0649498j -0.0415657-0.0267177j 0.036487-0.0666942j 0.0577749-0.125839j 0.195629-0.134726j -0.0303354-0.0119749j 0.0161832+0.0747286j -0.121701+0.00490396j -0.134628+0.0620477j -0.00199581+0.0733314j 0.0203127-0.0449658j -0.0029176+0.0535923j 0.0501738+0.0354248j -0.0973396-0.00875176j -0.0577441-0.0916698j -0.0371505-0.00269919j -0.096035+0.0274389j -0.0548418-0.153603j 0.0578683-0.0973423j 0.046145-0.039027j 0.0704936-0.10488j 0.0721611-0.0215935j 0.0113698+0.000924332j -0.072711-0.0530364j 0.034625-0.0384453j 0.0097958+0.0552625j 0.0825698+0.0153728j 0.0890018+0.0195089j 0.0221059-0.0593316j -0.0355666+0.0583225j -0.00996871-0.023755j -0.0630427-0.0054372j -0.0329952+0.104067j 0.00714059+0.00652126j 0.0105+0.0161354j 
0.0169009+0.00613346j -0.0120561+0.0322655j -0.00193056+0.00993364j 0.0362584+0.0365703j -0.0583081-0.00515467j 0.102477-0.0341196j 0.0632221-0.0244733j -0.0433521-0.0352312j 0.0293841+0.0236776j -0.0127819+0.0162387j 0.0413602+0.0197954j 0.00137587-0.01068j -0.0406747+0.0108199j -0.0674141-0.00866674j 0.0839198-0.137765j -0.0797556+0.128416j -0.0748845-0.0994256j -0.0687143+0.0134004j -0.101173-0.0324509j 0.0402284+0.0220495j -0.0354472+0.00620967j -0.182482+0.199365j 0.0619646-0.0734967j 0.142595+0.17652j 0.0645129-0.102487j -0.103362-0.0893699j 0.0324661+0.0879121j 0.00508504-0.129695j 0.164563+0.0752811j 0.0673074-0.00965375j -0.0948057-0.101427j -0.0623928+0.113763j 0.0698951+0.0645721j 0.00933442+0.00446778j -0.10922+0.0571825j 0.0472812+0.011985j 0.00827998+0.0881748j 0.0497776-0.0475602j -0.106516+0.189397j -0.00725531-0.0507652j -0.0554788+0.00879175j -0.0390879-0.0136943j 0.0287653-0.0825327j -0.0881099+0.0353009j -0.0140524+0.093519j 0.0237944+0.00994443j -0.0972356-0.0784754j -0.00752465-0.00842245j 0.0326133-0.118951j -0.116468-0.00880197j 0.0301947+0.0326998j -0.00884971-0.0393131j 
-0.0126931-0.0171541j 0.0102348-0.0155369j -0.0109642-0.0212006j -0.00377038-0.00402118j -0.00383126-0.0925152j -0.0284482+0.0151907j -0.05066-0.0161793j 0.0538664-0.0474698j -0.00523333-0.000386694j -0.0370518+0.0448621j 0.0780665+0.119441j -0.0149551-0.0525324j -0.0745186-0.21116j -0.0421543+0.0297494j -0.0938224+0.100977j -0.00179685-0.129784j 0.0452073+0.112242j -0.0885011+0.097744j 0.0549465-0.0891751j 0.0199708-0.0112547j -0.101267+0.0289617j 0.0180376+0.0565877j -0.0901018-0.0194146j 0.109266+0.0815856j -0.12703+0.247316j -0.0602656+0.0139923j -0.0037085+0.103926j -0.0644055+0.1142j -0.154267+0.00597994j 0.0123141-0.0685975j 0.261081+0.0275227j 0.128217+0.119815j -0.109984-0.062617j -0.00845608+0.105022j 0.0548093+0.144823j 0.0442204+0.0024898j -0.0824209-0.169406j 0.0776586+0.0862483j -0.045572-0.0297795j 0.150192+0.0302501j 0.0538414+0.073461j -0.0484814-0.0220042j 0.0519084-0.0105351j -0.0256462+0.0692497j -0.00189586+0.0124373j -0.0269019+0.0178124j -0.0214697-0.0218582j 0.0167203+0.0233509j 0.0327079-0.0035353j -0.0230813-0.0431288j 0.0161276+0.0218943j -0.00154239-0.0178705j 
-0.0097412-0.0156253j 0.011783-0.0209111j -0.0119418+0.00521535j -0.0389345-0.0171997j 0.0541719-0.00444942j 0.0518054+0.0656767j -0.00937907-0.0117156j 0.0330135+0.0101967j 0.0406281+0.0442301j 0.0309487+0.0450883j -0.0619141-0.0759277j 0.0470741+0.00607201j 0.0272991+0.0501645j 0.0711758-0.018178j 0.0333448+0.0829027j 0.0185296+0.0945858j 0.00440288-0.0195994j 0.00657216-0.0279947j -0.00351886+0.0170977j -0.0234944-0.0317505j -0.086815+0.0568738j 0.0113757+0.00363055j -0.0851488-0.0858231j 0.120151+0.0953619j -0.0741286-0.0392625j 0.0118724+0.0332472j -0.0116768+0.0587007j 0.0856326-0.0188683j 0.126869-0.0317496j 0.0322634+0.0567589j -0.00557362-0.01691j -0.0408367+0.003436j -0.071685-0.0365199j -0.011113-0.00388634j -0.108327+0.0406638j -0.0427627-0.0713102j 0.0595563+0.0313346j 0.0776504+0.0762064j 0.0593086-0.00093349j 0.0487301-0.084328j -0.0435277+0.02114j -0.0442438+0.0237225j 0.0176344-0.0739894j 0.00387074+0.0176403j 0.0133307-0.0676953j -0.0195121+0.00612077j 0.0517107-0.00198082j 0.035055-0.0527989j 0.0103739+0.0572294j 0.0274362-0.0309678j 0.00234524+0.0018514j -0.000245982+0.00802224j 
-0.0324977-0.0119899j 0.0188852-0.0241508j 0.0533403+0.0135924j -0.00669103+0.0414818j 0.00100448-0.0801459j -0.0293242-0.00103049j 0.00786042-0.0186354j 0.0490697-0.00726518j -0.055333-0.0384793j 0.0271907+0.00958988j 0.0856996+1.01824e-05j -0.0400602+0.069701j -0.0983608-0.0281156j -0.099196-0.0363787j 0.0910601-0.0219047j -0.02233-0.00187898j -0.176488-0.0852558j -0.0922598+0.0962825j -0.0594707-0.209329j 0.0482917-0.0727546j 0.0802744-0.0429151j 0.048895-0.0324542j 0.0160854+0.0214264j 0.0262077+0.0377673j -0.15865+0.0647917j -0.0858008-0.0772613j -0.0311916+0.208489j -0.0181965+0.0236276j -0.0245983+0.048526j 0.152923-0.10437j 0.0355541+0.0315168j 0.133088+0.0617819j -0.080951-0.173438j 0.0325907-0.0365384j -0.0914447+0.0670896j 0.0975792-0.0319765j 0.106967-0.0101951j 0.0988698-0.109611j 0.0300479-0.0406452j 0.100906-0.0349075j 0.0453642+0.0757867j 0.0229733+0.0390891j 0.0306977+0.00838566j 0.0335712-0.0332786j -0.00548049-0.0219418j 0.0543116-0.0691441j 0.0750005+0.0189309j -0.0366432-0.0367535j 0.0672921+0.0484687j 0.028782-0.05059j -0.0230413-0.00496995j 0.0358587-0.00728035j 
-0.00456516-0.00703152j 0.0256734-0.010893j -0.026734-0.0115822j -0.00735174-0.0270402j 0.0162093-0.0426959j 0.0163383+0.0228475j -0.0857769+0.0417279j 0.0538051+0.0150403j 0.0377783+0.0565154j 0.000155356+0.0536443j -0.122407-0.0980367j -0.00635567-0.104165j 0.143474-0.102116j 0.0694502-0.0617602j -0.0276356+0.0961687j -0.0338395-0.0721329j 0.20582+0.0441743j -0.00288979+0.0449667j 0.00925719-0.0282397j 0.0528284+0.0480307j -0.169387+0.0217559j -0.037534-0.013845j -0.0768113-0.129331j 0.172065+0.129077j 0.00102683+0.0499094j -0.179738+0.209106j -0.0345882+0.0141381j -0.0186342-0.102234j 0.0719426-0.0884292j -0.0805662+0.117039j -0.00938412+0.0577357j 0.0352618-0.0613506j 0.0394269+0.0878557j -0.12537+0.15965j -0.00711822-0.0401023j -0.0310678-0.0624415j -0.119973-0.0656995j 0.0522205-0.0716515j 0.0161597+0.0115897j 0.0599366+0.065546j -0.0653123-0.0810825j -0.00857738+0.00034162j -0.00910465+0.10393j -0.00550511+0.0125113j 0.0423746+0.0874858j 0.0024294+0.0104223j -0.0444939+0.0649867j 0.0546507-0.0506344j -0.0332163-0.017503j -0.0667269-0.0116368j -0.00108948-0.00449441j -0.00725977-0.00565622j 
-0.0214281+0.00846831j -0.001495-0.0197383j 0.101082-0.0418632j 0.0136588+0.064333j -0.0645183+0.0153316j 0.107544-0.0985519j -0.102297+0.000131687j 0.0363974-0.0424079j 0.0923759+0.00169904j -0.0166904+0.0864063j -0.197651-0.1136j 0.0159056-0.0153226j 0.0496843+0.00858132j 0.0145931-0.0120237j 0.119478-0.105335j 0.0596729+0.0669449j -0.0105516-0.112169j 0.0790044-0.0596348j -0.0336455+0.0502851j 0.0494034+0.0263779j -0.055164+0.0116029j -0.173904+0.0261773j -0.082224-0.0401781j 0.228851+0.111579j 0.0338369-0.0779309j 0.0516148+0.0487367j 0.00402938+0.0685352j 0.0491121-0.00405646j 0.0937688-0.0521608j -0.0186834+0.0944345j 0.0145366+0.00403732j -0.0763449-0.13224j 0.020406+0.0914275j -0.0962252+0.00876377j -0.0774198+0.129795j 0.0709565+0.0532407j -0.0361335+0.110206j -0.0444893+0.0544323j -0.0949841+0.0193445j -0.0139095+0.000500282j 0.0226936+0.0730396j -0.0106573+0.0036013j -0.0360199-0.0346528j -0.0360083-0.0308751j -0.0264151-0.0107146j -0.0481883+0.0120332j -0.0123407-0.0669593j 0.000375627+0.0594277j 0.023315+0.0984878j 0.0427038-0.00627746j -0.0225729+0.0270397j 0.024461-0.00421317j 
-0.0225527+0.0207413j -0.0080227-0.0126935j 0.0252857-0.0269508j -0.00549892+0.0170971j -0.107632-0.0408049j -0.0870402-0.129487j -0.112935+0.0253594j -0.0433566+0.0336322j 0.0203344-0.109123j 0.0484934+0.0711598j -0.0109719-0.0843204j -0.0371473-0.0293447j -0.0215504-0.0126433j -0.0979741+0.0495601j 0.141437+0.0179761j -0.043034-0.00161527j -0.112091-0.106283j -0.113731+0.0338955j -0.0531409+0.106284j -0.048721+0.00971981j -0.0155322-0.101676j -0.0467372+0.0908332j -0.045649+0.0677808j -0.122944+0.136622j -0.0754401-0.0902621j -0.0467605-0.0307064j 0.0317449+0.144831j -0.0649879+0.0176948j -0.0468915-0.0210373j 0.0572233-0.00144319j 0.0237947-0.127796j -0.108607-0.0382105j -0.0602791+0.0398837j -0.0710062-0.0769891j -0.0469283+0.0272942j -0.000539202-0.0518323j 0.0284548-0.0207474j 0.039884-0.0227183j -0.0443119-0.0117047j -0.0321264-0.0325976j 0.0555333+0.0340342j 0.0147698+0.00420178j 0.0164427-0.0456499j 0.0707172+0.0284761j 0.0608817-0.00819045j 0.00458938+0.0253291j -0.0526791+0.00152481j 0.0308434+0.0562327j -0.0726019+0.0564253j 0.0174623+0.0845761j 0.00903032+0.040808j 0.0440321+0.0122858j 
0.0197005-0.0268057j 0.0531021+0.0137513j -0.0322462+0.111778j -0.112733-0.0660016j 0.0580332-0.0611319j 0.0710623+0.0270373j 0.0594394+0.112096j 0.133493+0.0485793j -0.0351968-0.0314655j 0.0857224-0.0445165j 0.00537003-0.109487j 0.145385-0.000490721j -0.0362626+0.0239047j 0.0132862+0.109983j -0.0584403+0.0106346j 0.0619217-0.0268651j 0.0586385+0.0376626j 0.110518-0.00900539j 0.0160821-0.127321j 0.0611458-0.0416627j -0.0585892-0.0366328j -0.12668+0.000491494j 0.0263092-0.0172458j 0.0720152-0.0584583j -0.0427909-0.0635938j -0.0291695+0.00183697j -0.00826433-0.101828j 0.00896505-0.0063159j 0.147367-0.0924887j -0.0464174+0.066356j -0.0291322+0.0780125j 0.118912-0.0291995j 0.0981147-0.113059j 0.0553943+0.0149363j -0.0144749-0.0620704j -0.0115487+0.0219386j 0.0204504+0.0712665j 0.0480735-0.0482288j -0.0561589-0.0247695j -0.046433-0.0662665j 0.0140216+0.00504031j 0.0337303-0.0419834j 0.0282939+0.0362258j -0.0524256-0.0897482j -0.0761016+0.0201623j -0.0575357-0.0211312j -0.0071887+0.0200645j -0.0256329-0.00969134j -0.045348-0.0310883j 0.00133003-0.0406136j -0.00736471-0.0428191j -0.0277467+0.00327788j 
0.00717261+0.00228154j 0.00401537-0.00730898j 0.0677956+0.0287894j -0.0228223+0.0807418j -0.060608-0.0104238j 0.014115+0.0080227j 0.0712393+0.0113568j 0.0406964-0.063622j -0.064713+0.0249961j 0.0355038-0.104276j -0.0141194+0.0697962j -0.0334852-0.0209573j -0.0277979+0.00493736j 0.0336494+0.0431598j -0.072285-0.112172j -0.0777883-0.00847126j -0.00601143+0.00958871j 0.0822741+0.0537288j -0.0497155+0.00809466j 0.100829-0.00300775j 0.0505674+0.0899061j -0.0117064-0.00245487j 0.00695886+0.0138593j -0.0214241+0.0291925j 0.0415656-0.00853918j 0.0200277-0.0987105j 0.0011278-0.109444j 0.0295253+0.0136959j 0.0571033+0.0621817j -0.0405673+0.0343692j 0.00669552+0.021353j -0.022594+0.0445097j 0.00174279-0.0599886j 0.0745866-0.0167608j -0.00258346+0.00490496j -0.051193-0.0668765j 0.00745573-0.0445898j 0.00169224+0.0102009j 0.015468+0.0133955j -0.037946-0.0095853j -0.017519-0.0166465j 0.0148739-0.051158j -0.00634085-0.0529252j 0.00512768+0.034306j -0.0116806-0.0506598j 0.0320576+0.00124467j 0.02952+0.0135681j 0.0287334-0.00604381j -0.00986537+0.0372605j 0.0636248-0.0126595j -0.0116207+0.0123086j -0.00191214-0.0148372j 
