0.00445633+0.0113042j -0.0223973+0.00711245j -0.0565004-0.00242849j 0.00457015+0.0112732j -0.00279304-0.00764598j -0.0121252+0.000948206j 0.00845161-0.00368306j -0.00445074+0.00791523j -0.0131126+0.0402645j 0.0144135-0.00805144j -0.00550476-0.00317138j 0.00441027+0.00405935j -0.019284-0.0133729j -0.0276599+0.00826563j 0.0395395-0.0116514j 0.00274181-0.00434171j 0.0076869+0.00273875j 0.0205458-0.0346515j 0.018418+0.0206635j 0.00370551-0.0244741j 0.00411527-0.00174482j -0.0482933-0.00184224j 0.0205224+0.0238508j 0.0531296+0.0139289j -0.0258603-0.0196154j -0.0247546-0.015057j 
0.0162822+0.0117749j -0.0230368+0.0148696j -0.0263245+0.0154422j -0.0208216+0.0251109j 0.0151419-0.00193099j 0.00444494-0.00461283j 0.036595-0.00430422j -0.0189999-0.0246209j -0.022418+0.00968445j -0.0203267+0.0016996j -0.000441827+0.0186826j 0.0412453-0.0181026j -0.0126126+0.0152243j -0.0177894+0.0180989j 0.00521722-0.0298363j -0.00431642-0.0155406j -0.0155272+0.0158305j 0.0124503-0.00120841j -0.00326715+0.00159367j 0.015906-0.0375618j -0.00817344-0.00428034j -0.0174539-0.00889965j 0.00603263+0.0248785j 0.0370487+0.00184507j -0.0119481-0.00603118j -0.0185114+0.00554485j 
-0.0339803+0.00459581j -0.00718334-0.0137246j 0.0459399+0.0240589j -0.00167684+0.00330168j -0.0171702-0.00336053j 0.0360634-0.00284595j -0.00636962-0.000578083j -0.022526-0.0325315j 0.00676947+0.0300328j 0.00322876+0.00644465j -0.0160426-0.0124356j -0.0353963+0.01087j 0.00722273+0.00861831j -0.000119874+0.00363009j 0.0125506-0.0018039j 0.00737053-0.00235453j -0.0327393-0.000116429j 0.0279295-0.00785796j 0.0384225+0.030068j 0.0309993+0.0147408j -0.0250606+0.0403547j 0.000443358-0.00713588j -0.0210568-0.0162613j -0.0400401+0.00304612j 0.00134293+0.0036561j 0.00560204-0.0132561j 
0.0200778-0.024015j 0.0135567+0.0179595j -0.0221708-0.0208696j 0.0103503+0.00739391j -0.0193153+0.0339414j -0.00602528-0.00663981j 0.00815605-0.00310894j 0.0418806+0.0115659j -0.0121225-0.00678496j 0.00310601+0.0171587j -0.0046567-0.0249294j 0.00883746-0.000861767j -0.00124728+0.0086419j 0.0130307-0.00824169j -0.012897+0.00255914j -0.00946482+0.0138049j 0.0314333+0.00347573j -0.0104851+0.000870993j -0.0484753-0.0392038j -0.0372163-0.0396828j 0.0409631-0.0533026j 0.0257985+0.00957362j 0.016082+0.00352727j 0.0152444+0.00123682j -0.00948295-0.00346835j 0.00282096-0.00427216j 
-0.026112-0.00439989j -0.0121197-0.00797114j 0.0292468+0.0180191j -0.0048323+0.000641648j -0.0119087-0.00905534j 0.0227118+0.0310289j -0.0068577-0.00199662j -0.00248336+0.012064j 0.0212302+0.00541013j -0.0170912+0.014096j 0.0193909+0.000153586j -0.0161797-0.00856717j 0.0018437-0.00418166j 0.0206936+0.0141369j 0.0108412+0.00855644j 0.00389661-0.00323592j -0.0298674+0.00368412j 0.0247072-0.0272899j 0.0231857+0.0280165j 0.00561325+0.011586j -0.0203155+0.0343199j 0.00288608-0.0149313j -0.0106566-0.00849346j -0.0180875+0.0125179j -1.07035e-05+0.00160868j 0.00456515-0.0107298j 
-0.0144662+0.00917148j 0.00305968-0.0122276j 0.0204574+0.0156109j -0.0130048+0.00434463j -0.00319593-0.00547519j 0.0106006-0.00450313j 0.00956628-0.00472104j 0.000682968-0.0031847j -0.00728137+0.00643011j -0.0116005+0.0050714j 0.00744454-0.0247564j -0.00509115+0.00650324j -0.00646712-0.0128015j -0.0159778+0.00228595j -0.00143391-0.00359778j 0.00829885-0.0222561j -0.00356605+0.0126685j 0.0146547+0.0250885j 0.00240292+0.0303155j 0.042894+0.0426491j -0.00166814+0.0263749j -0.00856382-0.00629714j -0.00964765-0.019189j -0.00472521-0.0142466j 0.0189523+0.00283919j -0.00796992-0.00432989j 
-0.00538768-0.0185381j -0.00653948+0.0102095j -0.00981321+0.0181824j -0.0217428-0.00749933j -0.0321938-0.000626216j -0.0168089+0.00956387j -0.0109752+0.000481086j -0.0117525+0.00328215j 0.011589+0.0132363j 0.0106734+0.0106935j 0.00634843+0.00157762j -0.0103753+0.0112828j -0.00441653-0.00252528j -0.00774375-0.00106617j 0.000230496-0.00134818j 0.00761723-0.0164193j 0.0113974+0.000916024j 0.00404055+0.0100202j 0.00509242-0.0177091j 0.0134659+0.000250215j 0.00823122+0.000392647j -0.00337504-0.00958569j -0.0109366-0.0126068j 0.00394994-0.0171492j 0.00195699+0.000473767j 0.00371483-0.00166222j 
0.00861863-0.0239804j -0.0172838-0.0107137j 0.0187504-0.0120425j 0.00726042-0.0013967j 0.00830573-0.00196264j -0.0110854-0.00223616j -0.0188182-0.0145597j -0.00489397-0.00575243j -0.00146373+0.00791299j -0.0144467-0.00880113j -0.0194287-0.00258851j 0.0170063+0.00511382j -0.00249829-0.0118944j 0.0140706+0.00663273j -0.0129909-0.00646122j -0.0125833-0.00878029j 0.0121624+0.0139938j -0.00608005+0.023533j -0.00447297+0.00447818j -0.0173164+0.0174089j 0.0268718+0.00307679j 0.0140133-0.00789264j -0.00349584-0.0209317j 0.00216661-0.0128419j 0.0047061-0.00567794j 0.00538766-0.00779313j 
-0.0145592+0.00979523j 0.00932454+0.00602178j 0.012232+0.0124967j -0.0159958+0.00890116j -0.0244155-0.00803047j -0.0088013-0.0337954j 0.00916668+0.0181638j 0.00104968+0.000442599j 0.00989337+0.0130193j 0.00264297-0.0119419j -0.00903452+0.00769269j -0.022692+0.0102182j 0.00103963-0.0264784j -0.00965385-0.00844412j 0.00717181+0.00861261j -0.0076353-0.0207576j 0.0131175+0.0279834j 0.00069105-0.00204511j -0.0271306+0.0283505j -0.00103157+0.0205506j 0.0193086+0.0281613j 0.00769112-0.0102458j -0.0142909-0.00654374j -0.00270661-0.0191856j 0.0107482-0.00501815j -0.00656602-0.010543j 
0.0146938-0.0172048j 0.0141053-0.00937423j 0.0250166-0.0111241j 0.0179427-0.0244107j -0.012023+0.0325323j 0.00707399+0.00175818j 0.0162705-0.00464258j 0.00165256-0.00611964j 0.0052256-0.0168058j -0.00904888+0.00845992j 0.0016255-0.0101588j -0.0109013-0.00127863j -0.00237578+0.021024j 0.0158569+0.00238423j -0.0266629+0.0452805j 0.00661262+0.029693j -0.00638391-0.0400043j -0.0414612+0.0127124j 0.0241904-0.033703j -0.0224625+0.00129193j -0.00219618-0.0249598j 0.0139642+0.0138085j -0.000301316-0.00370125j -0.0412594+0.0146605j -0.0121227+0.0203944j 0.0252571+0.00634888j 
-0.00366558+0.0339961j 0.00635894-0.00893468j -0.0372915+0.00921736j -0.00464418-0.00266566j 0.0207725-0.0178241j 0.0160049+0.00202392j -0.00368264-0.0108643j -0.0187065-0.0107308j 9.54846e-05+0.0180073j 0.00592213-0.00882705j 0.00394538+0.00845697j -0.0053316+0.00784153j -0.00195559-0.0169483j 0.00320121-0.0364486j 0.0138708-0.0256642j 0.00730041-0.0237136j -0.0394261+0.013403j 0.0250166-0.0268509j 0.0234546+0.0273484j 0.00975829-0.00149262j -0.0372568+0.0191614j -0.0146312+0.00811685j -0.0020152+0.00016982j 0.0168395-0.00228518j 0.00474776-0.00967933j -0.0156947+0.00211083j 
-0.00985556+0.0117887j 0.00851071+0.0372782j -0.0212722-0.0385397j 0.00188665+0.018225j 0.0201869+0.0143841j -0.01226-0.0156548j -0.000610234-0.0111003j -0.0129935-0.011857j -0.0156906-0.000454662j -0.013146+0.0125259j 0.00262003+0.00705251j 0.0201399-0.00235335j -0.0143432-0.0195711j 0.0129144-0.0136533j -0.0120034-0.00537809j 0.00899122-0.0133028j 0.0195544-0.0109875j -0.0332803+0.011308j -0.0328544-0.0142955j 0.0175069-0.0106714j 0.00670035-0.0315596j 0.00140871+0.0288575j 0.0195428+0.00609762j 0.0271557-0.000243984j -0.00565105-0.00664704j -0.00823235+0.00581093j 
0.0157565+0.00635791j 0.00487102-0.0365205j -0.00994171+0.0230549j 0.000846444-0.00386594j -0.0112279-0.0122826j 0.00293913+0.00869501j 0.012891-0.00520488j 0.0118651+0.00769725j 0.0164261+0.0306586j -0.00672275-0.00368143j -0.0100657-0.000344368j -0.0021303+0.0135977j 0.0122354+0.011079j 0.00513739-0.00611528j 0.00139939-0.0137311j -0.00962576-0.0201099j -0.00502359+0.0417694j 0.0215514-0.0100544j -0.0121603+0.0393039j 0.0198184+0.04192j -0.00871829+0.0253897j -0.0118582-0.0101235j 0.00413386-0.017718j 0.0170847-0.0232555j 0.0143774-0.014356j -0.00373592-0.00860886j 
-0.0217888-0.00769144j 0.0229693+0.00641473j 0.0512674-0.0256512j 0.024669-0.0105417j -0.0112979+0.0211612j 0.00429587+0.00507908j -0.0108612+0.0130736j 0.0064543+0.0105185j 0.0131152-0.0198647j 0.00155364+0.00865761j 0.00578797-0.00592574j -0.0225671+0.00779074j -0.00160193+0.0313765j 0.0254112+0.0120347j -0.0276727+0.0258473j -0.00718981+0.0332975j 0.017976-0.0315975j -0.017262+0.00943349j 0.00855117-0.0312221j -0.0117556+0.00913365j 0.0126643-0.00105929j 0.0330851-0.0141872j -0.0210325-0.00441008j -0.0608171+0.00776167j -0.00184448+0.0264306j 0.0195777+0.000875656j 
-0.0382062-0.0168904j -0.01555-0.0267414j 0.0818346+0.0403875j -0.0106125-0.00574352j -0.0235484-0.0135274j 0.0407021+0.0247498j -0.00425048+0.00879718j -0.020079+0.00528812j 0.0279497+0.0171224j -0.0200645-0.00840225j 0.0038163-0.00481878j -0.0453014+0.00427467j 0.0155974+0.02042j 0.0166629+0.0324578j -0.00444699-0.0032997j 0.00540991-0.00342717j -0.0392234+0.00917653j 0.0278017-0.000726102j 0.0450877+0.0352094j 0.0213071+0.040235j -0.0203018+0.0619038j 0.0229393-0.0497277j -0.0442081-0.0329191j -0.0633762-0.0155515j 0.0149334+0.0205718j 0.0150519-0.0156928j 
