-0.00934089+0.010762j -0.0102185-0.00226558j -0.00706453-0.00359847j 0.00106487-0.000881724j -0.00237406-0.0144035j 0.00178547+0.00421251j -0.0019895-0.0123018j -0.00908239+0.00533148j 0.0105447-0.000273083j 0.00337076-0.00229897j 0.00229784+0.000226667j 0.00515076+0.0117215j -0.0047594-0.00740632j -0.00460706+0.00125516j -0.00236964-0.00187062j -0.00216226+0.00038233j -0.00244537+0.00199188j -0.0174085+0.00322138j -0.00845751+0.0037996j -0.0117651+0.00381087j -0.000641453-0.00277035j 0.00393143+0.00362387j 0.0124725-0.00411552j 0.00585241-0.000905164j 0.0053912-0.00786125j 0.00474081-0.00377752j 0.011617-0.00320089j -0.0101469-0.00602225j 0.0188686-0.00201246j -0.0252234+0.000573995j -0.0249861-0.000972445j -0.0222939-0.013154j 0.0310954+0.025705j 0.0102794-0.0490668j 
-0.0152053-0.0102233j 0.00885326+0.000402364j 0.0161547-0.00909264j 0.00433525-0.0136097j 0.00128065-0.0277372j 0.00640848+0.0129449j 0.00529324+0.0208302j 0.00218936-0.0177724j -0.0103059-0.0125974j 0.00110673+0.00773048j 0.0079904-0.0194818j 0.0145584+0.0127612j 0.0132637-0.00506461j 0.00979028+0.00497948j -0.0230007-0.0228188j 0.00321564+0.021205j -0.0208065-0.00881825j -0.0161887+0.0378316j 0.0168314-0.0213141j 0.0291659-0.0202252j 0.0510256+0.00926211j 0.0185262+0.00948178j -0.024964+0.0089295j 0.0366035-0.0149853j 0.00443297+0.0285099j 0.0175926+0.0254191j -0.0127814-0.0332541j -0.00525086+0.00112715j 0.0179292+0.0058698j 0.00657137+0.00390647j -0.0046032+0.00442425j -0.00557783-0.00741789j 0.00494+0.00766006j 0.00782861-0.00606534j 
0.00462769+0.00234014j 0.0285684+0.0115795j -0.0230055+0.00677444j -0.0074539+0.0246091j -0.0017139-0.00685989j 0.00440961+0.0044178j -0.0139503-0.0272329j -0.00580145+0.0190762j -0.0138663-0.00873632j -0.026045-0.00280125j -0.00400533+0.00898205j -0.0370078+0.00373144j -0.0251679-0.0050501j 0.0231014-0.0139732j 0.0229379-0.00656074j 0.0230535+0.00219604j 0.00922382+0.00303306j 0.00585468+0.00914012j -0.000564368-0.0289817j 0.0136224-0.0225035j 0.0275032+0.0100117j 0.00544158+0.00595823j 0.0168624-0.0207044j 0.00602281-0.00625267j -0.0313005+0.00794757j 0.0059119-0.0159427j -0.00843062-0.0111555j 0.00176873+0.0154122j 0.0259844+0.0193056j 0.00368767+0.00713954j 0.00802303+0.00636602j 0.00373563-0.0154275j -0.00904829-0.00444841j -0.00310422-0.00386753j 
-0.0038871+0.00255447j 0.00710972+0.00634735j 0.0105824-0.00798604j 0.00175534-0.0323352j -0.0105951-0.0151185j -0.00432286+0.00385368j 0.00279845-0.0021194j 0.00921369+0.0181483j -0.00410816+0.0110976j 0.010178+0.010572j 0.0451172+0.00639423j 0.0140076-0.00118885j 0.0219313-0.00718356j 0.00275676+0.0014292j -0.021263+0.0210561j 0.0238412-0.0226724j 0.0177755+0.0217856j 0.0122405-0.0327632j -0.00648706+0.034525j -0.00463957+0.0216843j -0.0567834-0.0109201j -0.0271798-0.00630347j -0.00439691-0.0108397j 0.00715469-0.00175056j -0.007544+0.00437843j 0.00324898+0.00492383j 0.00316577-0.00100543j -0.00565789+0.0094894j 0.006241+0.00145792j -0.00441803+0.00379341j 0.00734252+0.00059473j -0.00378241-0.00503925j -0.00268316-0.010202j -0.0087731-0.00728136j 
0.00508139+0.00881099j -0.000602068-0.0183031j -0.00178719-0.0150299j 0.00337533-0.00377326j 0.00548389+0.0221028j 0.0139779+0.0421902j -0.00455368-0.00548046j -0.0171673-0.0132421j 0.00655215+0.0159069j -0.000194553+0.00135336j 0.0198743-0.0106828j 0.00203512+0.00358833j -0.0134393-5.3724e-05j -0.0384972+0.0103567j -0.00163752-0.0188147j -0.000487063+0.0343944j -0.0203699-0.00284076j 0.0116851+0.0227207j 0.0449717-0.0376174j -0.00598578+0.0166007j 0.0451154+0.0177987j -0.0141401-0.0236273j 0.0156725-0.00610625j -0.00369447+0.00274801j 0.0109126-0.00225735j -0.00961711-0.000836522j 0.0043428+0.00298619j -0.00595469-0.0093339j -0.00557358-0.0156875j -0.00694693-0.00164236j 0.00256583-0.00436942j -0.00576374+0.00417236j 0.00225021-0.00684155j -0.0110228-0.00350351j 
0.00102345+0.002789j 0.0182031-0.0308472j -0.00964565+0.0204765j -0.00811032-0.0301181j 0.00146903-0.024743j -0.0116186-0.00322335j 0.00147217+0.0148603j -0.0126163+0.00476666j 0.001977+0.0145947j -0.0204103-0.0137916j -0.0337616+0.0294507j 0.0114009+0.00215584j -0.00108669-0.0106091j -0.051347-0.004237j 0.0194042+0.0248393j 0.00864369+0.000179265j 0.0389833-0.00388479j -0.00174154-0.0192475j -0.0046177-0.00473291j 0.00250122+0.0228927j -0.0106082+0.00113033j -0.0154874+0.0020378j 0.0179141-0.0168134j -0.00224122-0.00446654j -0.00706716-0.0169623j -0.0152212-0.00834816j 0.00584146-0.00382324j -0.011711-0.00938497j -0.000944187-0.0106832j 0.000932466+0.00608021j -0.0109696-0.0011906j -0.00367649-0.00549387j 0.00582745+0.00840918j 0.00697668-0.00878024j 
-0.00792074+0.0392892j 0.00961157+0.0129964j -0.00294909-0.0166546j 0.00730399-0.0203936j 0.0015379+0.00429601j 0.0172316+0.0169397j 0.0106847+0.000716853j 0.017921-0.00348034j 0.0281456-0.0228282j -0.0189703+0.0241182j 0.0334357-0.00616508j -0.0202471+0.0197741j -0.052581-0.00863326j 0.0144609+0.00535999j -0.0144177-0.0103024j 0.0141186-0.0119215j 0.00038666-0.00971037j 0.0067937+0.0133016j -0.0024623+0.00187865j 0.00459264-0.020376j -0.00287885-0.00585287j 0.0329213+0.0146867j 0.00119344-0.00385537j 0.00742639-0.00316351j -0.00195035-0.00710742j 0.000333636-0.000173747j -0.00381603-0.00751051j -0.00579726-0.0050616j -0.00220036+0.00037224j -0.00644062+0.003583j -0.00709901-0.00140297j 0.00493202-0.00138712j -0.000126738+0.00225888j 0.0038384-0.00731884j 
0.00427124-0.0285454j -0.00692053+0.00892798j -0.0288621-0.00121782j -0.0191142-0.00733364j -0.0156732-0.00889096j 0.00133055-0.00623437j -0.0149864+0.00644639j -0.0123964+0.0400707j -0.0111231-0.0128332j -0.0161721+0.0178235j -0.00609521+0.00469239j -0.031828-0.0172441j 0.0217121-0.00332058j 0.00181622-0.010821j 0.00300799+0.00799j -0.00318236-0.010462j 0.00686894+0.0120577j -0.0121426+0.00300037j -0.0141928+0.00535464j -0.00425925-0.013296j -0.00493396+0.00394842j 0.0141219+0.00224249j 0.000117548-0.00335562j 0.000541617-0.00180524j -0.00427518+0.00449433j 0.00460142+0.00245495j 3.15631e-07+9.83315e-05j -0.000631847+0.00572305j 0.00877084-0.000444115j -0.0071238+0.000584663j 0.00130555-0.000529188j -0.0108565-0.00275022j 0.00611287-0.00482331j -0.0117642-0.0119056j 
-0.0130412+0.0100798j 0.0203992-0.0305741j -0.00980685+0.0551785j -0.0343848-0.0348533j 0.0168961-0.00621024j -0.00124771-0.00362387j -0.00547762+0.0032788j -0.010451+0.013685j -0.022956+0.00320467j -0.047271-0.0111371j 0.0194873-0.00885274j 0.0280668-0.024591j -0.00792804-0.00541087j 0.00528726+0.000234486j 0.0168465-0.00899798j -0.00791726-0.00286444j 0.0229941-0.0151723j -0.00903231-0.0130794j -0.0171055-0.00605044j 0.00349246-0.00024969j 0.0121282+0.000813887j -0.0202837-0.00609325j -0.00619355+0.00840368j -0.00371421+0.00408732j 0.00884249+0.00414076j 0.00130743+0.00321191j 0.00216697+0.00549095j 0.0081795+0.00141973j -0.00353878+0.00179322j -0.00122459-0.0029788j 0.00675811-0.0012668j 0.00522111+0.0063455j -0.00535404-0.00693501j -0.00220562+0.0077902j 
-0.0419142+0.0236601j -0.0139864-0.044073j -0.0028838-0.0047844j -0.00423367-0.0151406j 0.0152416+0.0296394j 0.000282093-0.00162512j 0.00660852+0.00598587j 0.00115298+0.00517333j 0.00366153-0.0109977j -0.0197921-0.00247725j 0.0028434+0.00808221j 0.0354799-0.0166406j -0.0198894+0.000687105j 0.000227586+0.00755129j -0.00150497-0.00610307j 0.00193235+0.00272047j -0.000771121+0.00359199j 0.000676187+0.00438462j 0.00238286+0.00397441j 0.00515457+0.00473006j -0.00422196+0.000696243j 0.00174435-0.00116199j 0.00207368-0.00630629j 0.000961381-0.00343515j -0.00555871-0.00215393j -0.00703917-0.0037682j 0.000511632-0.00239203j -0.0108118-0.00184756j 0.00660268-0.00354315j 0.00607669+0.00141256j -0.00579406+0.00112432j -0.0100875-0.00724724j 0.00759751+0.00810321j 0.00441452-0.00542774j 
-0.0100368-0.0445663j 0.0371738-0.0247662j 0.0161752+0.00224959j -0.00909529-0.0130746j -0.000773174-0.00966317j -0.00257119+0.00237096j 0.00165626-0.00969078j -0.000749715-0.0196698j -0.00392372+0.0105807j -0.0274005+0.0093459j -0.0111948+0.00900447j -0.00866825-0.00719342j 0.0269835-0.00420018j -0.00711062-0.0117203j -0.00226575+0.00620229j 0.0142099+0.00992903j -0.0113243+0.00363318j 0.0106977+0.0069093j 0.0173019+0.00295909j 0.00198419+0.00538757j -0.00500537-0.00224958j -0.00467782+0.00107823j 0.00551321-0.00266358j 0.00161389-0.000502259j -0.00713527+0.000416479j -0.00478161-0.00375333j -0.00460293-0.000883831j 0.000773344-0.00125348j 0.00520741+0.00416599j 0.00786125+0.000759989j 0.000897801+0.00124654j 0.00692177-0.00186107j -0.00592823+0.00351812j 0.00838386+0.00768651j 
