-0.112079-0.2382j 0.112919-0.236132j -0.146581+0.124702j 0.227177+0.000377485j -0.145266-0.124327j 0.064659+0.0778749j -0.0578623-0.0417153j -0.0770643+0.131734j -0.0987685-0.063244j -0.062084-0.0147804j 0.0651225-0.0175548j 0.0961141-0.0616241j 0.0753948+0.132434j 0.0573255-0.040373j -0.0644934+0.0772351j -0.0360231+0.0255931j 0.0310802-0.0109101j -0.058009-0.0741279j 0.0569591-0.0392559j 0.0091034+0.0789621j -0.074768+0.0482946j 0.0144582-0.0775614j -0.0176473-0.0182502j -0.0731258-0.0562968j 0.0066094-0.00101667j 0.099952+0.000903093j -0.00676359-0.00116009j -0.0730464+0.0540622j 0.0180392-0.0245159j 0.0148262+0.07717j 0.0722396+0.0475117j -0.00907456+0.0798336j -0.0566501-0.0388078j 0.0580652-0.0723555j 0.0319432+0.0101574j -0.0353159-0.0251738j 
-0.103905+0.0731414j -0.0339066+0.120488j -0.281608+0.203533j 0.0185757+0.0176174j 0.101987-0.33359j -0.0191981-0.154119j 0.125118-0.0438332j 0.0162076+0.0288887j -0.0280709-0.0608526j -0.0269758-0.00639259j 0.0169423+0.0225526j 0.0645763+0.00319135j -0.0319335-0.00569547j -0.00157458-0.132106j 0.151183-0.0312721j 0.0076406-0.0397089j 0.0266685+0.0171465j 0.0556+0.0631624j -0.071534+0.0393543j -0.0158195-0.0310065j -0.0407823+0.0959084j -0.0769647-0.128541j -0.0256731-0.113431j -0.0320327-0.0520008j 0.101837-0.123864j -0.0517608-0.0339779j 0.0808928-0.137512j -0.0591751-0.0142621j 0.127865-0.0132091j -0.136511-0.0314362j -0.0770231+0.0711051j 0.035301+0.00467331j -0.0141456+0.079444j -0.0794578-0.0331769j 0.0249013+0.0191239j -0.0331134+0.0201807j 
0.118192-0.059225j 0.0760439-0.162022j 0.0772355-0.0761982j -0.253578+0.0590899j -0.00464094+0.0239629j -0.120128-0.117036j 0.0561868-0.146882j 0.0340831-0.0386124j -0.0246596+0.0276647j -0.056772+0.120938j -0.0962421-0.0917538j 0.0424303-0.0275936j 0.0651504+0.046344j -0.0796374-0.0438002j 0.00125377-0.0382802j -0.0432462-0.099778j -0.0886087+0.0624605j 0.0916628-0.0395419j -0.0846364-0.0408928j -0.0544054-0.0179706j -0.00623913+0.0949116j -0.0595052+0.132999j -0.070651+0.00623766j -0.0244715-0.0246985j -0.0344157-0.0709075j 0.0768148-0.0484705j 0.0614174-0.091492j 0.0771398+0.0524174j 0.0930675-0.0486494j -0.0121572+0.0172997j -0.00575186+0.0469495j 0.00522875+0.0290295j 0.0254383-0.0482325j -0.0105003+0.0100615j 0.0144255-0.00670052j 0.00979687+0.0124764j 
0.245225-0.27025j 0.00016055+0.228216j -0.302669+0.0104941j 0.35581-0.0760822j -0.0271409-0.0235417j -0.112546-0.019732j -0.0998492-0.241074j 0.0399946+0.035268j -0.1306+0.16144j -0.0572408+0.0135502j 0.0446993+0.0331743j -0.101024+0.0558774j -0.111683-0.0594005j 0.0891415+0.070741j -0.0126046+0.035989j -0.128695-0.0657973j -0.00523511-0.0523689j 0.0162828+0.129815j 0.0206342+0.0950313j 0.105818+0.0811164j 0.0235208+0.0245514j -0.019374+0.0142469j 0.0228514-0.0723515j -0.0466271-0.0709581j 0.00889334+0.0887878j 0.0160105-0.0769927j 0.0163962-0.0647172j -0.0862374-0.0421013j -0.016756-0.020174j -0.137425-0.025863j 0.0137211-0.0459579j -0.0348457-0.0272032j -0.0213855+0.074252j -0.0162989-0.0165632j -0.0490866-0.00197371j 0.00976228-0.0208522j 
0.103685+0.26245j -0.0377967-0.0438337j -0.549437-0.00238425j 0.0182389-0.023772j 0.010182+0.00590574j 0.0694151+0.0833835j -0.102719+0.0482793j -0.0729034-0.0786674j 0.133755+0.0863045j 0.0606833+0.0520878j -0.0509753+0.00666917j 0.0503494+0.00136025j 0.0167259+0.0507833j -0.00561242-0.040795j 0.0112738+0.000276105j -0.140948+0.104052j -0.0470359+0.226037j 0.0172713-0.0120176j -0.0365874-0.120578j 0.13528-0.0213337j 0.0134459-0.0326773j 0.218929+0.135408j 0.0308162-0.0311529j 0.036432-0.0208924j -0.0319337+0.0421143j 0.0504461-0.128685j 0.0524688+0.0256607j 0.0018179+0.0533449j 0.0033301+0.01509j 0.0213782-0.0212702j -0.0270512+0.0122803j 0.00469887+0.0148232j 0.035066-0.0370868j -0.00143974-0.0127362j 0.00252807+0.0109316j -0.00466194-0.000850622j 
0.0373514+0.0225343j -0.109207-0.0556831j 0.0107163+0.00969003j 0.11253+0.00116815j 0.326184-0.149589j -0.00185979-0.00280756j 0.00693828+0.00787813j -0.00092159-0.0048015j 0.0193886+0.000888529j -0.00553455+0.00421063j 0.00466031-0.0103319j 0.0052923+0.0298909j 0.00419632-0.0610273j 0.0586267-0.108545j 0.342958+0.161179j 0.00406229-0.00228858j -0.00148759+0.0106291j -0.00131772+0.00273274j 0.0173928+0.0147288j -0.000725843-0.00338909j -0.00508639-0.00833375j 0.0226996-0.0135563j -0.0398458+0.0254346j -0.023647+0.0182285j -0.0275254+0.00873109j 0.0414753-0.0802673j -0.00420657-0.0275265j 0.0414846-0.0142337j 0.108368+0.0223178j 0.0211998-0.00960544j -0.00201766+0.032686j -0.0826809+0.0128655j 0.212129-0.0792843j -0.131519-0.0426115j 0.0122366-0.0856321j -0.0815082-0.0846387j 
-0.0860586+0.00872455j 0.0980349-0.0733214j -0.0639757+0.0168648j -0.207216+0.199409j 0.0749334+0.20706j -0.0139269-0.000969079j -0.00457318-0.0116055j 0.0133841+0.000123271j -0.0399619-0.0162069j -0.010876+0.03171j -0.00425581-0.0437667j 0.0160469-0.0903064j 0.0988126+0.0395074j -0.198147-0.133873j 0.244318-0.0256895j -0.0100245-0.013713j 0.0303772-0.00640882j -0.00145897-0.00840986j 0.0150947-0.068167j 0.00786779-0.0341116j -0.0147032+0.0100703j -0.0401244+0.0530722j 0.0838849+0.0197248j 0.0517765+0.0150664j 0.0738354-0.0177912j -0.0648453-0.0123471j -0.0154303-0.0033127j -0.0213708+0.0495094j -0.102638+0.0242193j -0.10909+0.0125214j 0.021179+0.0604833j 0.0359313+0.117783j 0.0286546-0.152967j -0.126997+0.0887523j 0.108893-0.108337j -0.0445512-0.0438531j 
-0.0453326+0.00849712j -0.0470726+0.0967355j -0.0645311+0.0670002j -0.0917763+0.189988j -0.0625928-0.0616195j -0.0101692+6.69746e-05j 0.00438635+0.00303016j 0.00826668-0.0197015j 0.00882246-0.00657674j -0.0107884+0.0146062j 0.007356-0.0342653j 0.064124-0.0264853j 0.177235+0.119551j 0.166336-0.0709046j -0.036553+0.292027j 0.00601292-0.0155174j 0.0320741+0.0238161j 0.010394-0.0180616j 0.0464804-0.0516132j 0.013246-0.00216113j -0.0179732+0.00318787j -0.0738471-0.0102496j 0.0691086-0.00966526j 0.0161844+0.00914018j 0.00185167-0.0375691j -0.0259393-0.0218675j 0.0113097+0.00909317j 0.0663606-0.112708j -0.108044-0.0463995j -0.0284274-0.0314919j 0.0961699-0.0676326j -0.0286247-0.0195583j 0.0164086+0.0319653j 0.0366768-0.0748485j 0.00911049+0.132238j -0.0507497+0.0290121j 
-0.00936702+0.0879054j 0.0770564-0.132729j -0.00895838+0.0919568j 0.147579+0.109519j 0.0455387+0.00789898j -0.0153994+0.0024412j 0.0435931+0.0176051j -0.0321693-0.0410138j 0.0845491-0.00270131j 0.0209633+0.0487295j -0.0266005-0.0213525j 0.153024+0.0763913j -0.191002+0.0902574j 0.154963+0.139586j -0.126289-0.0420512j 0.0170938-0.0197378j 0.0366888+0.0550794j -0.00425037-0.0445761j 0.0753101-0.0427215j 0.0576515-0.0824448j -0.0128691-0.0306278j -0.0655369+0.0675703j 0.0358826+0.0563108j -0.0418932+0.0273924j 0.0699169-0.059285j 0.0348804-0.105385j -0.0233471+0.000388206j -0.0867491+0.0432437j 0.129936-0.0988027j 0.0107478-0.147104j -0.0638048+0.000871293j -0.0592954-0.0557632j 0.188252-0.214659j 0.0247369-0.174984j 0.0770079-0.0841776j 0.0462492+0.0366964j 
0.0105824-0.10339j 0.0944648+0.0220511j -0.0167591+0.113809j -0.0669402+0.159187j 0.156257-0.0343368j -0.0244162+0.0151681j -0.0179398+0.0301598j 0.0338912-0.065798j 0.0571491+0.0480821j -0.0238902+0.131501j -0.174785-0.116796j 0.0185823+0.119923j -0.100173-0.330763j 0.00928925-0.130385j -0.0858444-0.156716j 0.0188643-0.00694205j 0.0138408+0.0558935j 0.016712-0.0139099j 0.0667868-0.0264686j -0.0208906-0.00275336j -0.0213221-0.0125891j -0.0641957-0.0498952j 0.0988786-0.0360424j 0.0102432-0.0215728j -0.0119938+0.0170131j 0.0699912-0.0042389j 0.00182707+0.015525j 0.0439876-0.00270022j -0.0502732-0.0568936j 0.00507757-0.0207378j -0.0139783+0.000554957j 0.0464335-0.0914523j -0.0523493+0.11783j 0.131066-0.0349655j -0.121342+0.0961727j 0.0024805-0.00103504j 
-0.0170431+0.148412j 0.0485728+0.0906857j -0.0262169-0.0449294j 0.0670933-0.0250728j 0.156521+0.108101j 0.0182189-0.0111481j 0.0210604-0.0163132j -0.0326326+0.0230336j 0.0181403+0.046695j 0.0148981-0.105488j 0.207336+0.115387j 0.0888024-0.180333j 0.037642-0.182281j 0.0553334-0.343855j -0.158454-0.0778285j 0.00383951-0.000163032j 0.00226914-0.000656637j -0.00356936-0.0203983j -0.0025426+0.0101435j 0.0536304+0.00171473j 0.0184896-0.00181964j -0.0102463+0.046792j -0.0936847+0.0322543j -0.0553587+0.00161782j 0.0375447-0.0325166j -0.0729787+0.0201238j -0.00551665+0.0237712j -0.09496-0.0205606j 0.0388929-0.0971325j 0.0395673-0.0619923j 0.00354171-0.0917807j 0.0224703-0.109697j -0.0906049+0.018461j 0.174619-0.136782j -0.0436229+0.101129j 0.0324553+0.0647852j 
0.0552835-0.0391116j -0.0756991-0.154558j 0.0968713-0.135128j -0.0428531-0.00659109j -0.0144655-0.0285321j 0.0149704-0.0310463j 0.0370289-0.0719878j -0.0338266+0.107792j -0.103091-0.140586j -0.089518+0.096137j -0.119901-0.115009j 0.149904-0.0189029j -0.00585605-0.210468j 0.0910455-0.277716j -0.273411+0.0206639j -0.0238869+0.00468886j -0.00939063-0.0646891j -0.00886211+0.00688127j -0.102861+0.0321178j 0.0524099-0.00860218j 0.0365405+0.00658009j -0.0142661+0.0076624j -0.00465845-0.0317679j 0.0225715+0.000580667j -0.0207547-0.0235378j 0.0551017+0.0789217j 0.014943+0.040734j -0.145324-0.145857j -0.0480331-0.0433254j -0.0198945-0.047315j -0.0378484-0.201822j 0.0206888+0.0449171j -0.147682+0.0156599j 0.0978543-0.0328742j 0.0322646+0.078232j 0.122971+0.146996j 
-0.084404-0.00578963j -0.0494326+0.0130948j -0.106399+0.14504j 0.0322302+0.00976926j -0.0031249-0.000630311j -0.0177354+0.0344776j -0.0111343+0.0582416j 0.00967409-0.0991127j 0.153088+0.184793j 0.0728646-0.0519888j 0.0860647+0.0720427j -0.0416918-0.0340278j -0.0846766-0.23085j 0.068232-0.123541j -0.246915-0.0484459j 0.0256388+0.000107485j 0.0126582+0.0582147j 0.00221017-0.00308605j 0.096386+0.00241856j -0.0351787+0.0192425j -0.0289836+0.000678218j -0.0773924-0.00827949j 0.0298914-0.00958601j 0.00443631-0.0111162j -0.0868821+0.0590543j -0.108217+0.00151355j -0.0241692-0.0179199j -0.136434-0.154101j 0.0087564-0.00120356j 0.0488103-0.016235j -0.0692657-0.163193j 0.00418616+0.0511017j -0.125527+0.0202255j 0.0645214+0.0383016j 0.0158857+0.0589813j 0.132107+0.129255j 
-0.0704417-0.0543854j -0.0904701-0.121799j 0.0340855-0.0514657j -0.0484873-0.0133932j -0.176874+0.0224827j 0.0114288-0.0177752j -0.0113522-0.0140555j -0.00170142+0.0747467j 0.0627111+0.0884069j -0.156512+0.0316279j 0.114817-0.176974j -0.0882275-0.254124j 0.0303214-0.217641j 0.0344512+0.00452826j -0.00852823-0.0371196j 0.0234905-0.00493228j -0.00954227+0.054094j 0.0132525-0.0574077j 0.0337514-0.0265323j 0.0811103-0.117187j 0.0431198-0.0638211j 0.0750808-0.0411317j -0.042607+0.0361987j -0.0823767-0.00167874j 0.0260782-0.0833039j 0.0273596+0.0235481j 0.0140272-0.132821j -0.059145+0.0547978j 0.224284-0.129893j 0.090944-0.0544273j -0.0602077-0.0580427j 0.0256754-0.166839j 0.149122-0.0560115j 0.0754799-0.10751j 0.0212684-0.0193789j 0.0176904+0.0153582j 
0.154729+0.0632907j 0.0890266+0.0452231j -0.00408971-0.0150352j -0.193311-0.0628591j -0.102876+0.0107816j -0.0120378+0.0167413j 0.0307122+0.00324976j -0.0163687+0.0624642j -0.0734195+0.137198j 0.210092+0.00224775j -0.0937443-0.22572j 0.172168-0.256224j -0.0979627-0.237889j 0.128279+0.0139125j -0.0147614-0.0294171j -0.017991-0.00314073j 0.0275914-0.0164284j -0.0365408+0.0157275j -0.031477+0.0346502j -0.0553304+0.0159343j -0.0424446+0.0192292j -0.0165584+0.153882j 0.0015767+0.0121785j -0.015718-0.0256025j -0.0810084-0.0366609j 0.123817-0.155724j -0.0415852+0.147529j -0.0211213+0.0466501j 0.0596483+0.125695j 0.033584-0.0744844j -0.0995399+0.0280802j -0.0866596+0.0539415j 0.125883-0.0600623j 0.0127819-0.12001j -0.0127312-0.0574781j 0.0207499-0.00230846j 
0.0320157+0.0803102j -0.029299+0.079148j 0.0301393-0.11078j -0.0640523-0.000601635j 0.0293341+0.109012j 0.0479561-0.229944j 0.115213+0.184385j 0.18639-0.0564084j 0.085383+0.0856193j 0.0841473+0.00884733j -0.085986+0.0135001j -0.0826248+0.0842958j -0.183294-0.060635j -0.114286+0.18325j -0.0453492-0.228166j -0.0389364-0.0622617j 0.0466297-0.0239265j 0.0832021-0.0441265j -0.0610934-0.0243966j 0.065124-0.0288782j 0.0160203-0.0439226j 0.0126755+0.0061864j 0.0204246+0.0653171j 0.00269711+0.0312441j -0.0559356-0.0412613j 0.0130327-0.000535164j 0.0581975-0.0384982j 0.00414752-0.0272267j -0.0224659+0.0643073j 0.00963792-0.00109359j -0.0132235-0.0420095j -0.0644692-0.0307923j 0.0597895-0.0250792j -0.0831491-0.0476696j 0.045127+0.0216924j -0.0401226+0.059612j 
0.0721433+0.0140856j 0.071976+0.00444527j -0.00564325-0.127365j -0.0138429+0.10377j 0.0377725-0.118799j 0.0720754-0.212968j 0.14192+0.150073j 0.111793+0.0180496j 0.0501006+0.0335885j 0.0264907-0.00680869j 0.0286569+0.0126395j 0.0608229-0.0224296j 0.112509+0.0165474j 0.176789-0.110297j 0.0136216+0.225644j -0.0410944-0.0762918j 0.0840558-0.034705j 0.0801253-0.0232663j -0.0408617-0.0370164j 0.0447881+0.0162175j -0.0141948-0.03517j -0.00444879-0.0041498j 0.0426178+0.0162175j -0.00142875+0.0337585j -0.0119342+0.00231764j -0.00370584+0.024967j -0.0114262-0.0046389j -0.0070294+0.0316017j 0.0455586-0.00450715j 0.00849578-0.00366926j -0.0240632+0.0299238j 0.0459217-0.00250483j -0.0473695+0.0251311j 0.0714365+0.0443046j -0.0708802-0.0537677j 0.0588612-0.0612096j 
0.134652-0.0326997j -0.137995-0.0312927j -0.0516208-0.0627611j -0.147814-4.19351e-05j -0.0518376+0.0632151j 0.00894447-0.0597474j 0.0985993+0.0569665j -0.0339772-0.00515762j 0.127297+0.062278j -0.0935685+0.175877j 0.088552+0.17845j -0.133118+0.0551584j 0.0363219-0.00438375j -0.0990715+0.055223j -0.00967864-0.0595667j -0.0428915-0.0325327j 0.0849559-0.113121j -0.0228594+0.0425039j -0.00702106-0.0476141j 0.00560639+0.0719048j -0.0805145+0.0584396j -0.0672697-0.0693134j 0.00358648-0.124964j -0.00230441+0.131495j 0.0786733+0.108291j -0.216043+0.00213946j -0.0821716+0.105124j -0.0056513-0.13922j -0.000523631-0.125921j -0.0657053+0.0625956j 0.0814746+0.0529753j -0.00499524+0.0746443j 0.00456055-0.0463064j 0.021184+0.0452681j 0.0859624+0.114937j -0.0409466+0.0344397j 
-0.119194-0.111026j -0.114562+0.11809j -0.05662-0.0121823j 0.00158977+0.01677j 0.0560424-0.0146882j -0.0410846+0.0371008j 0.198179-0.00726623j -0.178649+0.0833998j 0.167341+0.135519j 0.0148618+0.0956041j 0.0189745-0.0986011j 0.163304-0.132164j -0.183657-0.0745461j 0.194589+0.00625051j -0.0366095-0.0340078j -0.0424592-0.0241482j 0.102703-0.112304j -0.0797916+0.125276j 0.0278859+0.0174493j -0.0599329-0.026459j -0.0883119+0.0317269j 0.102562+0.153774j 0.177646-0.0207136j -0.00085333+0.121486j -0.0403534-0.18333j -0.00264675+0.0063193j -0.0354256+0.188815j 0.0115106+0.122801j 0.182111+0.00547072j -0.0886531+0.159583j -0.0846595-0.0250423j -0.0595823+0.032824j 0.0260074-0.0165458j -0.0860486-0.117806j -0.106383-0.11154j 0.038318-0.0289503j 
0.0339433-0.0521481j -0.0362557-0.0515408j -0.0309448-0.062805j 0.167437-0.000313481j -0.0285253+0.0634522j 0.010952+0.00143359j 0.0484099+0.0457663j 0.0116587-0.0375302j -0.0675077+0.0522451j 0.0743564-0.450317j -0.0715688-0.446047j 0.0692656+0.0689174j -0.0112229-0.0374104j -0.0497173+0.0433954j -0.011992+0.000974032j -0.0226236-0.00339789j 0.0168902-0.0396649j 0.0134888+0.0447994j 0.00217573+0.0117374j 0.0122012+0.133199j -0.0303087+0.0621884j -0.0659525+0.0403748j 0.171676+0.0334105j 0.0838953+0.0315926j 0.0224786+0.130786j 0.0956085+0.000460089j -0.0178301+0.127246j 0.082088-0.0355269j -0.167721+0.0373368j -0.0784252-0.0360717j 0.0324389+0.058466j -0.00903431+0.133585j -0.00498913+0.0133308j -0.0128066+0.0471116j 0.0165197+0.0420376j -0.0220159+0.00470568j 
