-0.00400359+0.00901817j 0.0173427+0.0112952j -0.029041-0.00757093j 0.0496185-0.0150197j -0.000605613+0.00484339j 0.0244136-0.029479j -0.0413604-0.0729271j -0.114361-0.216915j -0.118474+0.132396j 0.170507+0.00383126j 0.182335-0.11212j -0.00462461-0.00535766j 0.0107892-0.016688j -0.014801+0.0267856j -0.0119746-0.0282362j -0.00585711-0.014523j -0.0396515+0.00644877j 0.00143108-0.0595977j -0.153668+0.105231j -0.0529881+0.080434j -0.194118-0.0650276j -0.0777049+0.0378944j 0.0512641+0.105023j -0.00353421-0.102834j 0.0643553-0.0808437j 0.0440679+0.16188j 
-0.408068+0.155501j 0.370663+0.0417932j -0.0430719-0.0694145j -0.0960154-0.135283j 0.00663002-0.0283526j 0.0463596+0.0489343j 0.00843484+0.0155519j -0.0331905-0.0330497j -0.0174616-0.0122898j -0.0171054+0.0141256j 0.00119244-0.0119464j -0.0329099-0.0196909j -0.0433213-0.00248366j -0.035868-0.0230705j 0.0133541-0.0234822j 0.0222992-0.0467024j 0.00373949+0.00353537j 0.00269019+0.000780489j -0.0146393+0.000915335j -0.00477148-0.000612022j 0.00568234-0.00337365j 0.00198253-0.000782724j 0.00508323-0.00331281j 0.0017744-0.00298641j 0.00100588+0.00258266j 0.00203302-0.000203234j 
0.00302063-0.00082273j 0.0258633-0.00123468j -0.0117159-0.00392382j -0.00231459-0.00351667j 0.0179042+0.00362829j -0.0480509-0.00559747j -0.0214928-0.0024066j -0.0204538-0.00358771j -0.0717781+0.0577536j -0.102522+0.000797648j 0.533818-0.194812j 0.00470558+0.00191146j 0.000385445+0.0118154j -0.00604823-0.0128032j 0.015639+0.000629337j 0.00331295+0.00539309j 0.0175664-0.0141241j 5.06175e-05-0.00776042j 0.0393885-0.0206732j 0.00188679-0.00567036j 0.0299016-0.0142784j -0.0570977+0.061833j -0.0573349+0.0223258j 0.00961287-0.0152207j -0.220298-0.00202817j 0.206677+0.150477j 
-0.0240086+0.00397893j -8.70935e-05-0.00323792j -0.0584248+0.00538771j 0.0563053+0.00414345j -0.00763049-0.0111089j 0.0291553+0.0311571j -0.00029929+0.0264766j 0.0963964-0.038751j 0.192516+0.0490223j 0.387939-0.158396j -0.134791-0.12594j -0.000947016+0.0145714j -0.0100497-0.00794558j 0.0114408-0.0152565j -0.0129898+0.0343201j -0.00681843+0.00469209j -0.00468895+0.0359195j 0.0152019-0.011645j 0.0098528+0.049017j 0.00139804+0.0238696j 0.0448559-0.0221929j -0.0178999+0.00584392j -0.0889037+0.0249658j -0.168652-0.0568018j -0.165148-0.206762j -0.206179+0.0520529j 
0.00112508-0.00619078j 0.00315438-0.0233814j 0.000985533+0.00264629j -0.0118135+0.00393181j 0.0121843-0.0128088j -0.030138+0.0393835j -0.011052+0.0101894j -0.00395287+0.0409163j 0.0428127+0.0590052j -0.0502308+0.190101j -0.173264-0.463993j 0.00370719+0.0041976j -0.0167134+0.0105529j 0.00755181-0.0119193j 0.0162268+0.0123864j -0.00503393+0.009329j 0.0319303+0.00424235j -0.00189425-0.000834606j 0.0345766+0.0335115j 0.0130634-0.00568633j -0.0157749+0.0472016j -0.0756765-0.0710601j -0.0329681-0.0805486j 0.0983057+0.0704023j -0.00457704-0.215615j -0.112433+0.329571j 
-0.0137114-0.00813778j 0.0422252-0.00692371j -0.0457538-0.0257434j 0.0195185+0.012097j 0.0527292+0.000885088j -0.138605+0.0350305j -0.0801975-0.00329244j 0.0716636+0.0585862j 0.241329-0.00915495j 0.294634+0.235539j -0.0358792+0.0708379j 0.0185652+0.00787158j -0.00504197+0.0210396j -0.0226964-0.0262643j 0.0400629+0.00717125j 0.00299475+0.0198425j 0.0296498-0.0273846j -0.0122521-0.0401567j 0.0260505-0.0328335j 0.0045138+0.00354858j -0.124922-0.0394989j 0.0909889+0.03889j -0.0948031+0.0143075j 0.050867+0.26615j -0.174669+0.220598j 0.0288212+0.129364j 
-0.00120273+0.0233424j 0.0314124-0.0197965j -0.0224356+0.0623223j -0.0111034-0.0659989j 0.0472779+0.00108801j -0.109728+0.0254562j -0.049223+0.0107867j -0.0405977-0.065601j 0.234491-0.276008j -0.00603104-0.269702j -0.0318527+0.101416j -0.0133133+0.015781j -0.00424327+0.0046135j 0.0212512-0.0210725j -0.017741-0.00734674j -0.01784+0.0135337j -0.0133428-0.0341581j 0.0309443-0.0260704j -0.0404205-0.0041844j -0.0344685+0.00454573j -0.0289116+0.0110111j 0.0119594+0.0517149j -0.209072-0.187738j 0.0969285-0.0664261j 0.0422072-0.206888j -0.0102736-0.135721j 
0.00361215-0.0102629j 0.046887+0.0248709j 0.00858064-0.0489587j 0.0707935-0.0223677j -0.00146713+0.0598774j -0.0854748-0.15945j -0.160456-0.0457066j 0.13051-0.0626744j 0.253959+0.252157j 0.0184322+0.0800085j -0.0448839-0.0279319j 0.00723513-0.0111498j 0.0352767+0.00669127j -0.0206747+0.0180348j -0.0330042-0.0101683j 0.0371201+0.0226186j -0.0633735+0.0231775j -0.0639336+0.00412728j 0.0602027+0.0258277j -0.0907223-0.00100395j -0.0318631+0.0764836j -0.00273766-0.054666j -0.025322+0.312623j 0.155935-0.199294j 0.0211756+0.0786008j 0.036648-0.0491504j 
0.00364312+0.0011626j -0.0251643+0.0428822j 0.0386141+0.00435176j -0.0784006+0.0396702j 0.0427173+0.0247731j -0.00523029-0.0563263j -0.0761885+0.00998052j -0.415686+0.238398j 0.0770983+0.101173j -0.0696143+0.130631j -0.00163387-0.0204954j 0.00338327-0.0128765j 0.0150726-0.0208405j -0.0164174+0.0228369j 0.00404435-0.0330365j 0.0112849-0.0385531j -0.0482439-0.0107813j 0.092922-0.0449341j -0.116074-0.0414242j 0.0139603+0.0249578j 0.173416+0.173406j -0.0191087-0.148652j -0.134153-0.00884369j 0.027214-0.0880927j 0.051529+0.0373065j 0.0311968-0.0029068j 
-0.0110667+0.0127904j 0.0158418+0.030236j -0.0491176+0.0435906j -0.00547409+0.0311039j -0.017244+0.0216704j -0.102-0.030863j 0.458072-0.27645j 0.075471-0.0333195j -0.0436652+0.140955j 0.00610537+0.0637176j -0.0356864-0.00410241j 0.000723467+0.00686076j 0.00709086-0.0136757j -0.0049451-0.0183134j 0.0011665+0.0111397j 0.0126652-0.0300841j -0.0117058-0.0157595j -0.0157635-0.0291366j -0.0321655-0.0365095j 0.171431+0.148319j 0.0719529+0.0782948j 0.135245+0.0673845j -0.0705297+0.0270525j 0.0077463-0.0760002j 0.0032844+0.0225034j 0.00199322-0.0163745j 
0.0095279-0.0115511j 0.0382885+0.0285352j 0.0254749-0.0673459j 0.0429629+0.0795808j -0.0310766-0.0402007j -0.127147-0.0260244j 0.165454+0.203474j 0.267159+0.367053j 0.0393436-0.0562482j 0.0488372+0.0489035j 0.0113655-0.0178726j 0.00857248-0.00827975j 0.0299676+0.00228238j -0.0318604+0.0124201j 0.0282282-0.0154669j 0.028695-0.0157577j -0.052224-0.0328013j 0.0867806+0.113283j 0.0378802-0.098112j 0.00125763-0.0970659j -0.0502513+0.20133j 0.145872-0.137714j 0.0669624-0.118349j 0.0352821-0.0288315j 0.019727+0.0514077j 0.0193655+0.0117471j 
-0.0139757-0.00581631j -0.0202263-0.0148638j -0.0514564-0.0192243j -0.0653893-0.0715326j -0.00324081+0.000244375j -0.0648659-0.0985128j 0.249818+0.38299j -0.0727682-0.126458j -0.0121533-0.0548638j -0.0463421-0.0127069j -0.00876861-0.0088005j 0.00753175-0.00566275j -0.0128619+0.00913027j -0.0135465+0.0147588j -0.0232507+0.00787779j -0.0460474+0.0232084j -0.039684+0.0286926j -0.0600805-0.0615911j 0.00842432+0.0828893j 0.0779594-0.238921j 0.075288-0.184953j 0.00961495-0.138393j -0.0966142+0.179707j 0.0161305+0.0314751j -0.0127139-0.00322769j 0.0046219-0.00236954j 
0.0202635-0.034805j -0.0114362-0.0611496j 0.103653-0.101171j -0.0229132-0.00263892j -0.0474383+0.048607j -0.300552+0.300573j 0.0877539-0.133456j -0.00946265-0.117657j 0.138445-0.144439j -0.0353789-0.0319056j 0.0362473-0.012828j 0.0113751-0.0252661j 0.00229274+0.043978j -0.0264655+0.0405067j -0.0387834-0.0454809j 0.0042706+0.0114349j -0.117681-0.11618j 0.0899697+0.0592181j 0.135266+0.221136j -0.0205957-0.105836j 0.0483857+0.104881j -0.00499948+0.0548006j -0.00517964+0.0386002j 0.0611957+0.0358751j 0.00440079+0.00244208j 0.0283185+0.0120795j 
0.0398629+0.0115123j 0.0335448-0.0399989j 0.142461+0.149025j 0.0130277-0.12392j -0.087851-0.13732j -0.299046-0.29816j 0.0442963+0.0436283j 0.0236087-0.00124975j 0.0983304+0.0967365j 0.0110657-0.0624494j 0.0194138+0.0297475j -0.0271474+0.0122513j 0.000819879+0.00254877j 0.0599029-0.0399719j 0.00947059+0.0345668j 0.00749282+0.0600161j -0.0448925+0.0959004j 0.0200192-0.100673j 0.134693-0.222116j -0.0894572+0.059656j 0.117445-0.116123j -0.00435115+0.0129143j 0.0414588-0.0495432j -0.0272247-0.0348414j 0.000578122-0.0453628j -0.0119287-0.0205375j 
0.0057324-0.00655143j -0.0488739+0.0175119j 0.0150179-0.0620527j -0.0720393+0.126015j 0.248163-0.38435j 0.0608924-0.0958108j -0.00120465-0.00522364j -0.0607807+0.0622856j 0.0520281-0.0207903j -0.0205384+0.0133483j 0.0123534-0.0037394j 0.00419691+0.00348741j 0.0130114-0.00467593j -0.0132323+0.0354294j -0.0949951-0.173829j 0.00913768+0.139079j 0.0743037+0.187897j 0.077008+0.240361j -0.00587253+0.0896269j -0.0597767+0.0613156j -0.0398445-0.0308936j -0.0472966-0.0193308j -0.0227159-0.00404735j 0.0135849+0.014263j 0.0134219+0.00890699j 0.0068848+0.00406093j 
-0.00853456-0.0243411j 0.0547328-0.053314j -0.0453887-0.0534385j 0.266394-0.367448j 0.166927-0.20045j 0.131826-0.0207114j -0.0266749+0.0316227j 0.0379125-0.0731227j -0.0284578-0.0625339j 0.0348742-0.0205445j -0.00750083-0.0149966j 0.0189563-0.0182517j -0.0170001+0.0522881j -0.0376845-0.0253262j 0.0661746+0.116318j 0.144326+0.134608j -0.0523462-0.204577j 0.00473708+0.101534j -0.0419929-0.0970868j 0.089491-0.110606j -0.0519803+0.0416519j 0.0312929+0.0136614j 0.0288785+0.0155807j 0.0335874+0.0102591j -0.0285667+0.00626191j 0.011265+0.00941389j 
-0.0367092+0.00697437j -0.00458468+0.0694544j -0.0432394-0.146188j -0.0740391-0.0354997j -0.457699-0.273814j -0.0999855+0.0329408j 0.0103349+0.0179375j 0.0017883+0.0270553j -0.0460389-0.0400689j -0.0140315+0.0305199j -0.0112842-0.00986435j -0.00276428-0.0149523j 0.00347693-0.0273489j 0.00787672+0.0775751j 0.068177+0.0367228j -0.134154+0.0631858j -0.0738645+0.0806448j -0.173325+0.145829j -0.0348217+0.0361122j 0.0152729-0.0277105j 0.0131507-0.0160482j -0.0146424-0.028145j -0.00262334+0.0127338j -0.00559313+0.0157289j 0.00746932+0.0136764j -0.00125814+0.0047257j 
-0.00491733-0.0306494j -0.0758938-0.137913j -0.075793+0.106094j -0.41819-0.231755j -0.080272-0.0114959j 0.00727039-0.0565248j 0.0371187-0.0275751j -0.0687817-0.0308758j -0.0336888+0.00409992j -0.0196775-0.0388249j -0.00544284-0.00256689j 0.0348278-0.00353206j -0.0479404+0.0424187j -0.0303805-0.0862542j -0.129497+0.000238349j -0.0178069+0.149571j 0.172471-0.174696j 0.0110032-0.0178539j 0.116354-0.0399389j 0.0899893+0.0456216j -0.0526287+0.0158096j 0.0140394+0.0369288j 0.00535871+0.0334139j 0.0181124+0.0235204j -0.0157605-0.0173109j 0.00380119+0.0156021j 
0.0454958-0.0290212j 0.028028-0.0836645j -0.259446+0.247161j 0.13338+0.0703302j -0.161497+0.0411192j 0.0825576-0.153956j -0.0035083-0.0568j 0.0654828+0.0235614j -0.00761521-0.0541131j 0.0421161-0.0202023j -0.000353817-0.0132359j 0.0358283+0.0428101j -0.0144215+0.0856837j -0.153903-0.186158j -0.0276591-0.31881j -0.000723532+0.0566598j -0.0392037-0.0727489j -0.0904409+0.00683703j -0.0643042+0.0322539j -0.0660792-0.00763963j -0.0618947-0.0204744j 0.0352022-0.0258995j -0.0327932+0.0119331j 0.023868+0.0178662j -0.034174+0.00956539j 0.0102842+0.0116474j 
0.0274695+0.118791j -0.00768329+0.277727j -0.232548-0.268473j -0.048113+0.0575409j -0.0425225-0.00890111j 0.100902+0.0197858j 0.0429859-0.00250847j -0.0116799+0.0596545j 0.0233503+0.059003j 0.0282778+0.0120494j 0.00278768+0.0253001j -0.00799289+0.153953j -0.0457973-0.201069j -0.0897734-0.0846649j -0.209197+0.18302j 0.0159689-0.0509502j -0.0239988-0.015981j -0.0332625-0.00783982j 0.0469006-0.00605092j 0.0304032+0.0249863j -0.0158265+0.0312348j -0.0184941-0.010213j -0.0192654+0.00696169j -0.0201344-0.0195779j 0.00217992+0.00107434j -0.0136406-0.0159496j 
0.0501575+0.0613833j 0.303244-0.227466j -0.246413-0.0195331j 0.0622889-0.053981j -0.0765387+0.00317649j 0.134353+0.0365826j 0.0512414-0.000429669j 0.0137668-0.00837518j 0.045981-0.0214794j 0.0368698+0.0104416j 0.01585-0.00739668j 0.0181806-0.134322j 0.174687+0.203166j -0.0425979+0.270703j -0.102541-0.00327156j 0.0897512-0.0420302j -0.124683+0.0440176j 0.00706372-0.00482989j -0.0249536-0.0316129j -0.0110297+0.0434273j 0.0331011+0.027127j 0.000989551-0.0207195j 0.0395636-0.00935422j 0.0208622-0.0282668j 0.00758187+0.0203783j 0.0189819-0.00967292j 
-0.17183+0.4662j 0.0555361+0.165717j 0.0490928-0.0526774j 0.00556452+0.0304701j 0.0108061+0.0103002j -0.0306108-0.0373419j -0.0123091-0.0120543j 0.0119046-0.00143264j -0.000314314-0.00756456j -0.0038252-0.0250211j 0.000996142+0.00425872j 0.113243+0.321191j -0.00132226+0.234643j 0.0977485-0.0629384j 0.0402739-0.0856792j 0.0766333-0.0668927j 0.0154534+0.0445128j -0.0119128-0.00500224j 0.0334096-0.0327607j 0.00238537-0.00311307j -0.0315257+0.00323233j 0.00547151+0.00984439j -0.0140944+0.0121944j 0.00938112+0.0126466j -0.0170341-0.0100996j -0.00264777+0.00527876j 
-0.158384+0.114448j -0.391493-0.161713j 0.179064-0.0514219j -0.0858031-0.0370189j -0.00179712+0.0272714j 0.0329157-0.0321055j 0.00880682-0.0115268j -0.0498074+0.00474958j -0.0513745-0.00634486j 0.00569718-0.00286609j -0.0235232-0.00461394j 0.212085+0.04082j -0.146326+0.209619j -0.175344+0.0630537j 0.0835216+0.0258753j 0.018562+0.00243069j -0.0487132-0.0218522j -0.00166608+0.0247473j 0.00760947-0.0510206j -0.016239-0.0105899j 0.00474776+0.0379417j 0.00802852+0.00422867j 0.0138221+0.034102j 0.0120088+0.0132996j -0.010875+0.00969239j 0.00116444+0.0143091j 
0.538791+0.194747j 0.0743589-0.00880188j -0.0636813-0.0591471j 0.0122688-0.00557938j 0.0209482-0.00126397j -0.0445861+0.00481692j -0.0165033+0.00309994j -0.00174398-0.0033826j -0.0154162+0.00405029j -0.025633-0.00194566j 0.00142477+0.000999225j -0.192698+0.152208j -0.228865+0.0108379j 0.00295829+0.0148578j 0.0609713+0.0247113j 0.0563571+0.0633822j -0.0293745-0.0163674j -0.00221351-0.00476912j 0.0399837+0.02009j 0.000576756-0.00806526j -0.0175512-0.013463j -0.00360898+0.00564266j -0.0152638+0.00226915j -0.00611984+0.0138629j 0.00028617-0.0116692j -0.00521204+0.00270452j 
