-0.183689-0.183308j 0.117669+0.00284501j -0.185096+0.18428j -0.10543+0.177763j -0.0559765-0.025622j -0.191051-0.000186233j 0.05809-0.0241379j 0.105292+0.177514j -0.104188-0.0662437j -0.0170874-0.0270536j 0.0696015-0.109088j 0.0445654-0.0181869j -0.00476885-0.0907157j -0.0894183-0.0266714j 0.052216+0.0491859j 0.0505626-0.0487598j -0.0888999+0.025164j -0.00808743+0.0892094j 0.0458534+0.0208987j 0.0685593+0.109656j -0.0173188+0.0295558j -0.10364+0.0659649j 
0.0221622-0.0465642j 0.0545813+0.202096j 0.0863613+0.0877866j -0.00108325-0.0103901j -0.0471225-0.00173044j 0.00257469-0.00877166j -0.240965-0.0296756j -0.0979847-0.097095j 0.0153556-0.00576571j -0.00781633-0.0411274j 0.005472-0.00978418j 0.0495178-0.0217432j 0.0438349-0.0198213j 0.010529-0.0212625j 0.0201802-0.0137667j -0.0346073+0.0162852j 0.137802-0.0606436j -0.0302017-0.134126j 0.0299977-0.00493014j -0.0745911-0.0934171j 0.0500685+0.0953445j 0.113657-0.1307j 
0.0344652+0.0903229j -0.24617-0.243324j 0.262499-0.00723033j -0.0322082+0.0244222j -0.130884-0.0207831j -0.278283-0.0464955j -0.312903-0.00140951j -0.185273+0.0271871j -0.0220289-0.000841569j -0.0233661+0.0624314j -0.0312926+0.0137516j -0.10798+0.0254181j -0.0802544+0.00425334j 0.00103665+0.0238845j -0.0690449-0.10737j 0.0477301+0.128384j -0.0939029-0.108696j -0.0504004+0.0605225j -0.0552224+0.246303j 0.00383507+0.0597538j -0.163124+0.0448563j 0.0246257+0.0675673j 
-0.0815364-0.00664695j -0.0239634+0.0599159j 0.244133+0.0273263j 0.0103042-0.0240936j -0.0426101+0.0377496j 0.390686+0.0804062j 0.0293464+0.0579635j -0.199577+0.0452211j 0.0177903+0.00709714j 0.0353854-0.0278621j 0.00544064+0.00453982j 0.0328977-0.00380652j 0.0784217-0.0954973j -0.0921986-0.0470784j -0.104826+0.0602246j 0.00767285+0.121695j 0.0467886-0.0135391j -0.000636334-0.0562243j 0.0417503+0.10062j 0.0256296+0.00745226j -0.130358+0.0762308j 0.0656604+0.0807587j 
0.00533611-0.0439909j 0.0982453-0.0721565j 0.0554236-0.107518j -0.00314887+0.00608087j -0.0323485+0.00495617j -0.121219-0.00483448j -0.19806-0.0111723j -0.437841+0.133702j 0.00172234+0.00229967j 0.00646841-0.0204987j 0.0081186-0.00506214j 0.0153397+0.0177501j -0.0421466+0.0299137j 0.0128922+0.0349522j 0.0405984-0.000911256j -0.0277576-0.0654914j 0.0365939+0.0830271j 0.0852923-0.0694749j 0.0318155+0.01184j 0.0457248-0.137901j -0.0770914+0.0134303j 0.154471+0.103413j 
0.0911709+0.23565j -0.082079-0.0368926j 0.032416-0.0434402j -0.0253672+0.0330604j -0.401824-0.0993748j 0.233176+0.0111572j -0.163645-0.018857j -0.072863-0.0160456j -0.0343538-0.0362011j -0.153509+0.115766j -0.0496574+0.0131632j -0.103532-0.074011j -0.0496624+0.0722465j -0.0174884+0.061434j -0.0984599-0.0671415j -0.0792522+0.0801994j 0.0385481+0.0451777j 0.0364393-0.0279438j -0.0244821-0.00633171j -0.0208836-0.0183674j 0.0152591-0.0437614j 0.00505903-0.0205864j 
0.0153648+0.0562569j 0.316796-0.00137448j 0.00780347-0.0588088j -0.00361957+0.00768694j 0.0511071-0.000931507j -0.199419-0.00118181j -0.0477415-0.00147897j 0.00477747+0.00805917j 0.0152786+0.0105982j 0.0226752-0.0286308j 0.00569279+0.0147334j 0.0825156+0.0305968j 0.0902236+0.0997412j 0.00797568-0.198909j -0.065437-0.0219387j -0.0677245+0.0180087j 0.00609193+0.201264j 0.0895435-0.0976649j 0.0837344-0.0347437j 0.00475576-0.0150729j 0.023575+0.0261744j 0.0141387-0.010839j 
-0.0320816-0.0439266j 0.0794482-0.0303085j -0.0929837+0.235968j -0.0834787+0.0160318j -0.168357+0.0211581j -0.233157+0.0118269j -0.398945+0.0986402j -0.0144201-0.0363505j -0.00821213-0.0217359j -0.0157747-0.0428122j 0.0220959-0.0213134j 0.0254058-0.00737566j -0.0343435-0.0312145j -0.0414745+0.0429508j 0.0806629+0.0778575j 0.0968846-0.064355j 0.0165765+0.0603946j 0.0439054+0.0748565j 0.103858-0.0740863j 0.0466164+0.0151344j 0.155163+0.115983j 0.0301759-0.0394011j 
-0.0687384-0.108727j -0.096655-0.0696153j -0.000135384-0.0437264j -0.445154-0.13516j -0.18863+0.0129937j 0.116164-0.00236378j -0.0237986-0.00616885j 0.000930763-0.00489961j -0.158424+0.104706j 0.0875614+0.0168025j -0.0439349-0.13757j -0.0292362+0.0230604j -0.0832069-0.0755291j -0.0384615+0.0789989j 0.0272193-0.0599981j -0.03601+0.000831513j -0.011978+0.0302428j 0.0387931+0.027438j -0.0159968+0.0208592j -0.00763375-0.00283371j -0.00971838-0.0210831j -0.00335932+0.00374977j 
-0.241197+0.0319171j 0.0349058+0.0597662j 0.0819621-0.00663831j -0.186579-0.0429084j 0.0389957-0.058983j -0.395178+0.0806504j -0.0412934-0.0358398j 0.00820198+0.0257563j -0.0599586+0.0790845j 0.130041+0.0725379j -0.0237287+0.0139009j -0.0384985+0.101823j 0.00242965-0.047407j -0.044083-0.0171603j -0.0107595+0.125336j 0.104761+0.0597988j 0.093665-0.0436161j -0.07659-0.0986666j -0.031899-0.0071461j -0.0043097+0.00287404j -0.035941-0.0270212j -0.0158736+0.00847301j 
0.257666+0.010764j -0.249588+0.241356j 0.0382701-0.0953704j 0.186507+0.0268181j 0.311805-0.0010463j -0.276315+0.0467797j 0.127744-0.0219018j 0.0271007+0.0255349j 0.0212641-0.0674845j -0.16077-0.0388753j 0.00243361-0.0642874j -0.0578847-0.240797j -0.0523638-0.0713957j -0.0945979+0.108611j 0.0469986-0.131655j -0.0696062+0.110502j 0.00112563-0.0264938j -0.0766256-0.00267365j -0.111589-0.0220095j -0.0309159-0.0111923j -0.0255641-0.0636284j -0.0220163+0.00243882j 
-0.0906176+0.0977775j -0.0539866+0.196683j -0.0192205-0.0509018j -0.100526+0.0991592j -0.23461+0.0274655j -0.00340081-0.00787085j -0.0400216-0.000681103j 0.00102395+0.0104115j -0.115779-0.129716j -0.0480086+0.103489j 0.0747755-0.0888751j -0.0360536+0.00340019j 0.0346064-0.132426j -0.134746-0.0632283j 0.0308373+0.0189804j -0.0193952-0.0123078j -0.00860418-0.0216711j -0.0430955-0.0204369j -0.0513339-0.0209647j -0.00621069-0.00882771j 0.0047698-0.0425781j -0.0159498-0.00538869j 
0.157595-0.317669j 0.0993559+0.204935j -0.0315254-0.0129877j -0.202864-0.0163496j -0.331115+0.00730636j 0.000274981-0.0104149j -0.0875965-4.48026e-05j 0.00157171+0.00795257j 0.112558+0.0292073j -0.0858206-0.212088j -0.0162357+0.0997178j 0.138698-0.125568j -0.0848176+0.0119316j -0.0571099-0.048183j 0.085939-0.0232454j -0.0788925-0.057315j 0.00100891-0.0533205j -0.068002-0.0332122j -0.0306944-0.0450177j -0.00190073-0.0173341j 0.0249291-0.0238487j -0.00694512-0.0117245j 
-0.186838-0.168581j 0.0363772-0.0242683j 0.00077184+0.00701865j 0.580287+0.0385037j 0.0547149-0.0497103j 0.0104677-0.0354718j -0.000442386-0.000213341j -0.0121849+0.0010338j 0.041147+0.0663794j 0.0477274-0.0309891j -0.107676-0.0750333j 0.0859729+0.111649j -0.0485323-0.0592734j -0.0382384+0.0132657j 0.028218+0.00386478j 0.0155271-0.0542008j 0.0117687-0.015259j -0.00102796-0.025941j 0.00463017-0.0120729j 0.0056283-1.77904e-05j 0.00681119+0.00645794j 0.00376617-0.00232892j 
