0.122189-0.0893785j -0.0667977+0.0605314j 0.0949401-0.143229j -0.165081-0.089357j 0.0351248-0.0161594j -0.0685753+0.0709057j 0.10816-0.0543662j -0.0100273+0.0608015j -0.0492074+0.0584735j 0.0626307-0.00441849j -0.110098+0.0073416j -0.0274054-0.0376513j 0.06966-0.0378307j 0.0402764+0.0461506j -0.0529604-0.0205615j -0.0985711+0.0439523j -0.00209493+0.13176j -0.0198745+0.0128963j 0.163542-0.140014j -0.0267381+0.0353463j -0.13192+0.0848854j 0.0942063-0.0318442j -0.111422+0.0254857j -0.00141177+0.0353775j -0.0313306+0.036554j 0.0065233+0.0434089j 0.0383509-0.0338865j 0.0295595+0.00717881j 0.0262333+0.0104485j 0.0183267+0.0159906j -0.0588937+0.0054014j 0.0381141-0.0790807j 0.0511945-0.0453399j -0.0692075-0.0204399j -0.134021+0.106734j -0.0270164-0.105808j 
0.00588906-0.0276202j -0.0486713-0.0432675j -0.058816-0.0522184j -0.0486314+0.030705j -0.0713431-0.0978532j 0.0310775-0.0587993j 0.0336786+0.00122031j -0.104564+0.173931j -0.0497751+0.172759j -0.170245+0.0493569j 0.0291325+0.178492j -0.102845-0.0210429j -0.0395177-0.0374876j -0.0349141+0.0156294j 0.00833026-0.0654606j 0.143429-0.318596j 0.0206406-0.058446j -0.200711+0.108142j -0.0885995+0.0825239j -0.117508+0.0771365j 0.0839779-0.0682138j 0.0262497-0.0264168j -0.0355431+0.0420422j -0.073485+0.0310439j 0.0351917+0.0467881j -0.0381145+0.0186598j -0.00850268-0.0153928j 0.00947459-0.0120358j 0.000147868-0.00312589j 0.00774342-0.0206955j -0.0482767-0.00698865j 0.0395065+0.001753j -0.0364631+0.0676579j 0.0704006-0.000702873j 0.024663+0.0164853j -0.00365779+0.0451056j 
0.0125633-0.0329832j -0.0326738-0.0344892j -0.0437373+0.0155904j -0.034122+0.0625771j 0.0579553+0.0362825j -0.017897+0.0250529j 0.0827504+0.00621489j -0.062832+0.00122586j -0.0505893+0.124423j -0.0347873-0.0989796j 0.0794835+0.0889943j 0.031773-0.0278876j 0.0522809+0.0595574j 0.0422081-0.0325607j -0.020253-0.0191861j 0.147454-0.151147j 0.107115-0.0854468j -0.0281824+0.0350646j -0.157469+0.148208j -0.0374247+0.00215411j 0.0976479-0.100141j -0.0757092-0.027017j 0.0578087-0.0182966j -0.0868351-0.0640809j 0.0189472-0.0453665j -0.0626788-0.0353917j -0.0427283+0.02725j -0.00287984+0.00999479j 0.00869448+0.031126j 0.0171133+0.019945j -0.03909-0.0276269j -0.0529357+0.0210309j -0.0253559+0.0681995j -0.00837839-0.00260306j 0.0080254-0.0232424j -0.00415373+0.00729808j 
-0.0428816+0.13281j 0.0769926+0.0279615j -0.0145345+0.00624223j -0.0139693+0.0163814j -0.0186019-0.0834565j 0.0822705+0.0661042j -0.0372982+0.0650113j 0.041737-0.0237137j 0.0954584+0.106943j 0.097682+0.0446236j 0.0526096+0.160198j 0.134794-0.0415841j 0.0349681-0.0749165j -0.0014515+0.00375828j 0.272417+0.0313929j 0.251027-0.283334j -0.0666658+0.0538347j -0.090151-0.0698467j 0.0679314-0.100195j -0.0156493+0.128375j -0.0271268-0.0337263j 0.0098453-0.0332362j -0.0143932+0.0521175j 0.042321+0.0377819j -0.0522309+0.0223895j 0.00887588-0.00243426j -0.00804795+0.0231928j -0.000348361-0.0254251j -0.0278792+0.0298762j 0.0255192-0.0329425j 0.0506922-0.0242214j 0.00804501-0.00526085j -0.00198718-0.0335272j 0.0128784-0.0203135j -0.0115959+0.0103216j 0.00205002-0.00404484j 
0.0483921-0.0570795j 0.0612424-0.0900159j 0.0321068+0.0568302j -0.0781525+0.0182327j 0.100482+0.0113156j 0.0671811+0.181509j -0.189928+0.0804244j 0.0242612-0.115859j 0.0354136+0.28353j 0.104597-0.114219j -0.211944-0.304419j -0.033625-0.144302j 0.0254156+0.168132j 0.0662341-0.12584j -0.0121342+0.0855805j 0.0226643-0.186203j 0.124636+0.0228j 0.0534125-0.11676j 0.00634885-0.155302j 0.0349426-0.20198j -0.0436777+0.086168j 0.0779512+0.0752327j -0.0790292-0.0890352j 0.0810887-0.0129909j 0.0110073+0.0555347j 0.056036+0.0586041j 0.0090927-0.0375047j -0.00334625-0.00752107j 0.019316+0.0723686j 0.020674+0.050532j 0.037289+0.0685506j 0.00377775+0.1086j 0.0042582-0.0629061j -0.0613742+0.0450274j -0.0636334+0.0101197j -0.0662179-0.107573j 
-0.102849+0.138896j 0.0811874+0.0794457j -0.0230781-0.0533281j 0.0607608+0.0536303j -0.0136928-0.000540421j 0.0102841-0.00429416j -0.0130179+0.0389594j 0.0352848-0.0180157j -0.0498583-0.0222307j -0.0351274-0.086343j -0.240319-0.192556j -0.0332177-0.167383j -0.175507-0.262465j -0.112995+0.0223368j -0.0272818+0.0393944j -0.126883+0.093215j -0.170522+0.221844j 0.104579-0.00248533j 0.0450428-0.122849j -0.0670821-0.102517j 0.0455089+0.112396j 0.034424+0.069829j -0.00699597-0.124258j -0.0521291+0.00767215j -0.023732+0.0119741j 0.00495626+0.00147966j -0.0146598+0.0640532j -0.0167691+0.0264514j 0.0213608-0.0228648j 0.0464441-0.00280342j 0.0635631-0.0372055j 0.0299899+0.00917657j 0.0138998-0.0908198j -0.0377042-0.0633678j -0.0278289-0.0379355j 0.0351381-0.0387396j 
-0.137436+0.214163j 0.067534+0.0940237j 0.0648444-0.0309393j 0.020935+0.0126288j 0.0402896+0.0446683j -0.0779127-0.0982603j 0.0406551+0.142938j 0.136977+0.00271265j 0.0962799+0.0870431j 0.0378553-0.192652j 0.0752532+0.153755j 0.131138-0.159435j 0.0700914-0.154088j 0.0436386+0.0593682j 0.0645106+0.0913048j 0.095856-0.0923791j 0.0439133+0.185286j 0.228062-0.0202464j 0.026107+0.0563513j -0.0322647-0.0793547j 0.045067-0.00178831j -0.037997+0.0140466j 0.0225043-0.0907511j -0.0104046-0.155445j -0.0324604-0.0406929j -0.0168272-0.132444j 0.0220165+0.0669226j -0.012879+0.0279508j -0.0287969-0.0161247j -0.0138192-0.0166404j 0.0377711-0.11434j 0.0332332+0.0105937j -0.0238878-0.0276202j -0.0226071-0.0590034j 0.0458365-0.0535866j 0.0727634+0.0932422j 
-0.0362179-0.0538055j -0.0588954-0.0521534j -0.0548042-0.0966185j -0.0155869+0.00237027j -0.0593062-0.0360665j -0.06481-0.156486j -0.0356799-0.0561099j -0.0405491+0.0318194j -0.224142-0.232672j -0.17307-0.144036j 0.120146-0.141723j -0.0452007-0.0762088j -0.0485138-0.0911991j 0.00670039-0.0298817j -0.210068-0.106788j 0.194403+0.217045j -0.0226727-0.0448158j -0.137416-0.00118247j -0.0837869+0.0187946j 0.0267379-0.136609j 0.032454+0.102203j -0.0292533+0.0354162j 0.0426838-0.0250795j -0.0314939-0.0982329j -0.000937535-0.0343458j -0.0458139-0.0409638j 0.0258179-0.00772294j -0.00521207+0.00133682j -0.0212589-0.00731892j -0.0143616+0.0323188j -0.0355404+0.027308j 0.0092065+0.0096839j -0.00514318-0.0541883j 0.0397618+0.00935769j 0.0600522-0.00393822j 0.0212903+0.0306076j 
-0.0185606-0.0256694j 0.059241+0.121063j -0.0260463-0.0544576j 0.0290836+0.00424329j -0.0963341-0.048733j 0.0297347+0.0443007j 0.0746696-0.0503044j -0.145643-0.00664705j -0.178428-0.141485j -0.158163+0.101425j -0.0630389-0.140457j -0.0553169+0.011519j -0.252731-0.197323j -0.127875-0.00690997j 0.0613263+0.0395418j -0.016861-0.075454j -0.113491+0.041714j -0.0380118+0.0208039j -0.0795272-0.0904957j -0.0431098+0.110647j 0.127923+0.0568886j -0.0411148+0.0256848j 0.0483873+0.0101807j -0.0921628+0.0522545j 0.00979297+0.0543864j 0.00299003+0.0332343j -0.0188135-0.0415492j 0.00934641-0.0148212j 0.00735522+0.00756065j 0.00837243+0.00197219j -0.00798179+0.0240347j 0.00989362-0.0469121j -0.00626788-0.00846628j 0.0561227-0.029065j 0.0227668+0.0292842j 0.0125753-0.0478305j 
-0.0620124+0.100888j -0.0543072-0.0189798j -0.0163462-0.00395905j 0.0688543+0.0368584j -0.033542+0.040054j -0.0930265-0.129756j 0.0791049+0.0745797j 0.0905971+0.0407474j 0.0373093+0.0930405j -0.133409-0.0957101j -0.193556-0.0631692j -0.142799-0.096682j 0.0088424+0.088792j -0.0456913+0.0355662j -0.141387+0.0355134j -0.158962-0.0702713j 0.0435414+0.100831j 0.0394697+0.0977009j -0.0104555+0.114408j -0.0502624-0.109845j 0.00611427-0.0108507j 0.0351794+0.0221824j -0.0704184-0.0777195j 0.00274053-0.0665219j 0.00563233-0.048168j -0.0143085-0.039569j 0.0176927+0.0275302j -0.000803144+0.00134666j -0.00292024+0.00585799j 0.00734314+0.0145439j 0.0412523+0.00398592j 0.0439409+0.0715982j -0.0128348-0.0179075j -0.0525959-0.0518416j 0.0051828-0.0635311j 0.00127264+0.0456009j 
0.0225865+0.130694j 0.130709+0.187618j 0.0650458+0.0315758j 0.051763+0.0129156j 0.211957+0.0609226j -0.106359+0.0622118j 0.0435624+0.0429008j 0.0700117-0.0720225j 0.0483695+0.0693458j -0.141829-0.0279507j 0.131321+0.0676731j 0.0152804+0.0124043j -0.0612594-0.140772j 0.103709+0.00837327j -0.032702+0.119393j -0.054569-0.0879595j 0.186718+0.0604512j 0.207835+0.0944611j -0.0949101-0.0857996j 0.0618242+0.0153836j 0.0347801+0.0581714j -0.0366336-0.0618746j -0.00174231+0.0517296j -0.0332545-0.052494j -0.020526-0.00283331j -0.0432219-0.00539777j 0.050041+0.0065816j 0.01864+0.00385959j -0.0261258+0.00514081j -0.0286227-0.00711824j 0.033047-0.00912187j 0.00285824-0.00839881j 0.00436613-0.0183092j -0.0289547-0.0328335j 0.0753339+0.0574159j 0.079873+0.0724109j 
0.140532-0.0991871j -0.255327-0.173072j -0.0388969+0.059984j -0.0731889-0.00308313j 0.0787715+0.166381j -0.14607-0.0852281j -0.0645336+0.00307598j 0.027323+0.0427205j -0.0377587+0.0156718j -0.0982612-0.155629j 0.0224589+0.0210355j -0.162531+0.0131095j 0.133653+0.0657873j 0.0711009+0.0059486j -0.174879-0.0934458j 0.00875968+0.0445628j 0.0783016+0.000210503j -0.125969+0.0760736j 0.068269+0.0060977j -0.0268458-0.0270314j -0.0830372-0.00277763j 0.0699294-1.58565e-05j -0.0754379-0.0414193j 0.00614386-0.0300253j -0.000986919-0.0200466j -0.0233072-0.0482844j 0.0180223+0.0398418j 0.00774708+0.00484266j -0.0028001-0.0105111j -0.0055144-0.010232j -0.0633232-0.0139193j -0.000190206+0.0269905j -0.0040529-0.00193349j -0.0456273-0.00787654j -0.0507629-0.00464488j -0.00635266+0.05507j 
