0.0219277+0.0264991j 0.146382-0.0668658j -0.0422311+0.00973222j 0.0406707-0.0994602j 0.00149739+0.0515181j -0.192905-0.0407963j 0.0515391-0.0344228j 0.0551939-0.0210173j -0.0352642-0.0671491j -0.0500667+0.0435349j -0.129979+0.124944j -0.00187695-0.00508736j 0.0411135+0.00400839j -0.0668372-0.0592082j 0.105394-0.091537j -0.0197977-0.0162667j -0.104254+0.117496j -0.0752142-0.0426404j 0.101955+0.104752j -0.310725+0.0107622j -0.0810532-0.0111795j -0.157832+0.297321j 
-0.00448849-0.070726j -0.0517184+0.0667288j -0.0742924-0.0319071j 0.129435-0.160218j -0.0179578+0.164195j -0.103275-0.0222168j 0.0749608+0.00773785j 0.0450821+0.143061j -0.00430475+0.11357j 0.000513268-0.0311158j 0.0959934-0.0992471j 0.0831961-0.0270737j 0.0160982+0.0514057j -0.082893+0.0206914j 0.0268728-0.0370857j 0.00872116+0.180903j -0.105287-0.0159553j -0.176789+0.110359j 0.173559-0.245298j 0.193398-0.117111j -0.035889+0.0426514j 0.0348839+0.0643817j 
-0.0221014+0.0342103j 0.0266219-0.00709628j 0.0681933-0.00235318j -0.00822281+0.117408j -0.0956182+0.00542408j 0.0550493+0.0281527j -0.00814122+0.0108227j 0.0455653+0.095418j 0.0169402+0.0491691j -0.0855026+0.0711409j -0.0473365+0.00878347j -0.0552975+0.15507j -0.158948+0.014908j -0.0328723-0.0887628j -0.137167+0.115422j -0.186942-0.0113212j -0.0158087+0.00901256j -0.130862+0.0675536j -0.0304433+0.141295j -0.0190523+0.107246j 0.083268-0.000231318j 0.000505905-0.0724531j 
-0.0935744+0.124097j -0.166601-0.0289634j 0.0450582+0.0462453j 0.0421255-0.0575577j -0.191343+0.0767579j 0.0167391+0.0490324j 0.185086-0.0419117j -0.201074-0.187551j 0.0191605+0.168193j 0.174314+0.0428566j 0.321404-0.152589j -0.327177+0.156099j 0.148603+0.0102311j -0.0672933+0.000301026j -0.0501642+0.0697897j -0.0180349-0.0713889j 0.0676789-0.0244333j -0.0377193-0.111495j -0.0716217+0.0830636j -0.0379239-0.053425j 0.0361044+0.0232763j -0.0988057+0.103545j 
0.013801+0.138431j -0.125487-0.19881j 0.0582211+0.0580779j -0.0345777-0.0666631j -0.126289-0.0630873j -0.205138-0.227065j 0.195134-0.0134717j -0.177052-0.249709j 0.307887-0.272266j 0.10425+0.240159j -0.0561946+0.155796j -0.0236135+0.010888j 0.0728643-0.198105j 0.0209676+0.0362686j -0.00374744-0.0772833j 0.0236096-0.0141665j -0.0052352-0.0770738j -0.0601008-0.000167898j 0.0930057-0.0612979j 0.04801+0.0215083j 0.211706-0.0274537j 0.0145422-0.138059j 
0.0667763-0.0501948j -0.0181374+0.0282745j -0.023268-0.0955793j 0.0369441+0.0275377j 0.0163283-0.0275607j 0.105702-0.238538j -0.130812+0.162959j -0.164371-0.0241484j -0.175777+0.0233533j 0.0343517-0.0015718j -0.0576881+0.321405j 0.00976896-0.116694j -0.129553-0.0347097j 0.0385985+0.00491552j 0.0526881-0.18769j -0.036588+0.028454j -0.0144513+0.12816j 0.12404+0.0210892j -0.110465+0.0212985j 0.156814+0.0197132j -0.0762959+0.251152j 0.0159333-0.0129744j 
0.0418288-0.0925475j 0.120909+0.00948193j -0.00475368-0.0754811j -0.00447827+0.105177j 0.0615946-0.0229137j -0.0431528+0.08738j -0.0680684+0.0226481j 0.0723885+0.0476239j -0.0727042+0.060886j -0.0414645-0.161092j -0.0194953+0.0420291j 0.0476214+0.114897j 0.0837543+0.00888083j 0.137562+0.0331735j -0.0239502+0.00231779j 0.127405-0.0457442j -0.00195855-0.0916605j 0.0615907-0.132149j -0.0517607+0.0426488j -0.112528+0.0807588j -0.0144017-0.0559396j -0.0644137-0.0141902j 
-0.022941+0.0772109j -0.0550597+0.0194747j 0.00788817+0.0154606j 0.0218679-0.0118538j -0.0541574+0.0628679j -0.018992-0.0818733j 0.0843295-0.0614427j -0.0438164+0.0560786j 0.0965567+0.0226899j 0.0638328+0.0832634j 0.0734628-0.0696181j -0.0187361+0.0706207j -0.0934334+0.0424809j 0.0140793-0.0988683j -0.0167278-0.0763732j -0.133939+0.0555526j -0.0204336+0.141161j 0.0489948+0.0708893j -0.144028+0.00511513j 0.167363-0.0438334j -0.116429+0.106999j 0.0767329+0.20858j 
0.0443453-0.0797657j 0.00201057+0.0085165j 0.00961161-0.0314474j 0.0698292-0.0568195j -0.000412307+0.0578906j 0.0744001+0.00879438j -0.073971+0.136024j 0.0159923+0.0711114j -0.0160002+0.0643708j 0.0204078+0.0739248j -0.0313641+0.145455j 0.0941239-0.142013j -0.0956674-0.102328j -0.0252041+0.117646j -0.0457703+0.0213101j -0.0153861-0.0149745j 0.127674-0.13763j -0.248549+0.139046j 0.232974-0.00548551j -0.054634-0.137992j 0.0623028-0.158985j -0.129741-0.056935j 
-0.0552999-0.122241j 0.0575595+0.14207j -0.0479789-0.0543448j -0.0223668-0.0184477j -0.051439+0.0424411j -0.165322-0.0686917j 0.0272339+0.147402j -0.0422613+0.164916j 0.0234579+0.198923j -0.0533574-0.144651j -0.04843+0.192503j -0.0083212+0.107891j -0.11822-0.109142j 0.106591+0.197835j -0.103378-0.137798j 0.0817352+0.000390261j 0.16785-0.0571552j -0.0230095-0.120696j -0.0246703-0.018065j 0.109298-0.0172637j 0.0709589+0.0827371j -0.118154-0.153432j 
0.00780124-0.072011j 0.0773539-0.0206083j 0.0373245+0.000858861j 0.011476-0.0487225j -0.0674603+0.0102462j -0.00617469-0.0167743j 0.0291548-0.112363j 0.0565812+0.00573804j -0.0312792-0.0543199j 0.0369678+0.0314475j -0.0491743-0.00970747j 0.0745206+0.0474218j -0.0478265+0.172138j 0.0575529+0.0759055j 0.144806-0.310016j -0.274076-0.132847j 0.101388-0.0341415j -0.293852+0.10465j -0.151761-0.103947j 0.0916391-0.160781j 0.0559106+0.0578305j 0.0702286-0.0381653j 
0.0845617+0.112337j 0.0755737+0.0122263j 0.0647877+0.0540049j -0.0881918-0.0452995j 0.0333907-0.0387487j -0.0493814-0.0572491j 0.0599558-0.0354765j 0.0480676+0.0206877j 0.0516413-0.0794239j -0.0955326-0.245195j 0.0356769+0.0154848j 0.00456854-0.0894938j -0.0336145+0.121444j 0.000754174+0.173554j 0.142696-0.157878j 0.105418-0.0877483j 0.0186112-0.059878j -0.0814894-0.217908j -0.0374529-0.362196j 0.00138558-0.0704602j -0.00574844+0.0203411j 0.0148425+0.079167j 
0.0258873+0.0661429j -0.0432417-0.0195787j -0.0289668-0.0434146j 0.0209109-0.0240142j 0.0109283-0.0149129j 0.132951+0.0603866j -0.0353543-0.00735742j -0.14665-0.141289j -0.062186+0.0109913j -0.0911263-0.077632j 0.198581-0.043249j 0.0741059-0.22008j 0.0393883+0.0828346j -0.15401+0.275269j 0.152876+0.0596573j 0.022162-0.18217j 0.329093+0.125334j 0.0284724+0.0411512j -0.0889866+0.259144j -0.214852-0.119658j -0.105963-0.122494j -0.128052+0.161617j 
-0.00140403+0.0220702j -0.0590021+0.0473411j 0.00313116-0.00418742j 0.0227968+0.0584007j 0.067895+0.0113234j 0.0901604+0.0618316j -0.0498106-0.0255905j -0.0465035-0.156077j 0.0242889+0.0450391j 0.144124-0.1974j 0.159697+0.0786523j 0.217608+0.0424201j 0.193673-0.0176368j 0.289431-0.0937652j -0.0988459-0.193528j -0.0561092+0.00924076j -0.0976477-0.346094j 0.0132528+0.0952601j -0.0206202-0.0187759j -0.0164627-0.0193777j -0.0507849-0.0291131j -0.0419658+0.053725j 
-0.0470564-0.0537908j 0.0494721-0.00365795j -0.0573437-0.0398558j 0.0587252+0.0753154j 0.0433486-0.109538j -0.038949+0.0103456j -0.0352918+0.00667787j -0.105395-0.201177j 0.0259437-0.0413733j 0.121639-0.127476j -0.0273489-0.104496j -0.118186-0.199184j 0.176414-0.155567j -0.189057+0.00186451j -0.200952-0.146845j -0.0266114+0.239653j -0.000680532-0.0955082j -0.0477873-0.12789j 0.0574724-0.169669j 0.0500413-0.15951j -0.160318+0.0474321j 0.0173561-0.0152943j 
0.0112433-0.159212j 0.248033-0.0891359j -0.008772+0.0265881j 0.0423633+0.0491565j 0.0695246-0.0437966j -0.00873689+0.142097j -0.0947975-0.0333033j 0.0225017+0.00940915j -0.0559599+0.00172121j 0.117759+0.255215j -0.151786-0.0470161j -0.132248+0.136506j 0.133912-0.0490203j -0.0074683+0.0264921j -0.0790192-0.0219129j 0.0862498+0.191049j 0.108082+0.0640413j -0.18895-0.14783j -0.00157437+0.0011808j 0.115623-0.183413j -0.0886725-0.0562746j -0.0614622+0.192874j 
0.116158-0.0113835j 0.0555488+0.212346j 0.102962-0.047713j -0.0251863+0.0171159j 0.0873438+0.0693618j 0.205297+0.00737275j 0.0386333+0.0970844j 0.0418667-0.0200622j 0.134149+0.00157818j 0.136551+0.0896954j 0.0747853+0.0133994j -0.15922-0.166732j -0.298764-0.0943895j -0.0482081-0.0570353j -0.0240112+0.145658j -0.0733623-0.170108j 0.0186991-0.100373j -0.0534495+0.079164j 0.0659861-0.168019j -0.0148876-0.0844389j -0.077852-0.00858273j -0.020325+0.0124778j 
0.178065-0.25066j 0.113265+0.123231j 0.00984811-0.193138j 0.00975886+0.0898805j 0.160787+0.0132551j 0.0464833+0.013784j 0.0214161+0.0557895j -0.0546083-0.199631j 0.0551418-0.0640047j 0.0637372+0.101638j 0.104597+0.066056j -0.0943441+0.204481j 0.0193858-0.0300603j 0.109863+0.00716306j 0.0409933+0.193248j 0.107035-0.0731506j -0.0685241-0.0839281j -0.0525706-0.0778503j -0.121136-0.0212933j 0.157314+0.113048j -0.0595678+0.0662319j 0.0168755-0.0105694j 
-0.0198816-0.187454j -0.0686102+0.0262774j 0.0287038-0.101502j -0.0580177+0.0274711j -0.0781818-0.13837j -0.128886-0.137155j 0.0791664+0.0411603j -0.00312556-0.103451j -0.03726-0.0834821j 0.0176084-0.0464788j 0.0130569-0.0922204j -0.0799768-0.09126j 0.00457324-0.0201457j -0.208807-0.00871678j 0.0355759+0.0045839j -0.174823-0.140497j 0.0247951-0.0175598j -0.11591+0.0971932j -0.00885703+0.0573424j -0.170359+0.0336793j -0.0568187-0.103127j 0.0770802-0.202497j 
-0.0644112-0.127758j 0.0374514+0.0975372j -0.00923013+0.0224673j -0.0436996-0.0335781j 0.0341699+0.0239687j -0.0154894+0.0505375j 0.0182562-0.00341474j 0.0192616+0.085066j 0.0099156+0.0599197j 0.242662+0.276497j -0.0197771-0.0675186j -0.00510457+0.0129508j 0.00259654-0.0969703j 0.175611-0.0709673j 0.104008-0.00377887j 0.0596101-0.0896457j 0.108584+0.137432j 0.287698+0.165152j -0.0383877+0.104471j 0.0568236-0.0952515j -0.000734485-0.0277976j 0.0479476-0.0407724j 
0.0574016-0.00132586j -0.0320422+0.0464463j -0.0795013-0.116379j 0.0267582+0.0377736j 0.0701967+0.0234412j -0.0421515-0.022905j 0.0242604+0.0113056j -0.172271-0.1723j 0.0200038-0.0162037j -0.17243-0.123784j 0.221516+0.0651724j 0.249376+0.033616j 0.167948+0.0723836j 0.00497515+0.213205j 0.135013+0.0883561j 0.144555+0.031004j -0.0473565-0.00589737j 0.0192359+0.0744999j 0.0141309+0.0481647j 0.122027+0.10793j 0.0645291+0.0753764j -0.00471096-0.00985211j 
0.0991628-0.18378j -0.0265661-0.104135j 0.02052-0.0360435j -0.022534-0.00689406j 0.0763869-0.0967933j -0.0599626-0.0519944j -0.0309896+0.0469115j -0.00473982-0.0373821j -0.0447293-0.0698653j 0.0900638+0.0763825j 0.0243338+0.00995584j -0.0124598+0.0957903j 0.189332-0.0272299j 0.0852367+0.00556335j 0.0197966+0.0721189j 0.210248+0.0424983j -0.00629973-0.0361692j -0.0260923-0.0944504j 0.00425751-0.0384178j 0.0364287+0.0139898j -0.091209-0.189254j 0.0314676+0.0911939j 
0.0770296-0.0222736j 0.277082+0.144088j -0.0652249-0.0944475j 0.0725488+0.126383j 0.186211+0.0667363j 0.143985+0.209366j -0.0272797-0.0277934j -0.134119-0.182971j 0.123969+0.0837044j 0.0819583+0.0249577j 0.109105+0.0277285j -0.0345762-0.0372188j -0.0846709-0.142882j -0.0480645+0.0876572j -0.103568-0.0449225j -0.133539+0.00380114j 0.0783554+0.0425155j 0.0547155+0.0629457j -0.0128999-0.0206228j 0.0208066+0.0324952j 0.197108+0.156497j -0.0054666+0.019933j 
-0.0741051-0.212285j 0.177477+0.176971j -0.0469537-0.105099j -0.0570173+0.0633402j 0.0339559-0.00999258j -0.250601+0.031984j 0.0896847+0.0476719j 0.0833524-0.0458797j -0.072233+0.0244561j 0.0454187+0.0586881j -0.0537717-0.0266716j -0.0544875+0.0473907j 0.146069-0.0848565j -0.0753236-0.0476535j 0.110162+0.0602362j 0.00912743-0.086499j -0.155166-0.0505038j -0.0472724+0.0601289j 0.173631+0.0351368j -0.198196-0.00778j -0.0150533+0.0545246j -0.124138-0.10254j 
