-0.00834707-0.07963j -0.0267469+0.106213j 0.0185367+0.0752568j 0.00129521-0.309511j 0.0982302-0.0530881j -0.0343449-0.0198944j -0.00572699+0.0505096j -0.0857134+0.0597192j 0.00354407-0.0640022j -0.00408939+0.0371332j 0.0416353-0.0247799j -0.0205513-0.0516714j -0.0130662+0.0105731j 0.0218894-0.039732j 0.00165021-0.0548174j 0.0336594-0.0480182j -0.0415185-0.00107577j 0.0317911+0.0218903j 0.0736423+0.0138564j -0.0157586+0.072454j 0.0195012-0.0119404j 0.00359127-0.0151133j -0.00841968-0.0497848j -0.0409119+0.0129542j 0.0252741+0.0189247j -0.0261014+0.0257988j -0.0376423+0.00704692j -0.00617346-0.0170103j -0.00416425-0.00695523j -0.0217462+0.0325254j -0.0125894-0.0142754j -0.0311229-0.0381441j 0.0139881-0.0386241j -0.0530534-0.0154816j 0.0135685+0.0519905j -0.0214223+0.0103966j 
-0.0664876+0.108743j -0.0163637-0.0222436j 0.0546493+0.0393428j -0.056443-0.150695j 0.109972-0.072877j 0.0365432-0.129846j -0.275348+0.153807j -0.0159304+0.0299604j -0.214818+0.179421j -0.0290149+0.0149076j -0.0363367-0.0286493j 0.112096-0.0164931j -0.0533712+0.112157j -0.0229848+0.0596083j -0.0185385+0.115276j -0.0336337+0.138825j 0.00962227+0.0549102j 0.0671864+0.127572j -0.208594-0.0109235j 0.0447655-0.0783232j -0.130638+0.0284822j 0.0504019+0.0242349j 0.0907298-0.0113135j -0.0197409+0.0550778j -0.024061-0.0259825j -0.0389565+0.0144076j 0.0258383-0.00296196j 0.0420794+0.0238165j -0.00714696+0.0140333j -0.0183061-0.024024j -0.031793-0.0985594j 0.0397379+0.0124917j -0.0248632+0.0201781j -0.0545146-0.0700655j -0.0106537-0.0240959j 0.00790084-0.0423457j 
-0.0128484-0.0629207j 0.0532676-0.00177424j -0.0031229+0.0802679j -0.00619449-0.00210729j -0.0381763+0.0905573j 0.0768937-0.0236439j -0.047937-0.213134j 0.0313498+0.105808j -0.0868803-0.247747j -0.0604176+0.0194688j -0.03714-0.0175393j 0.199305+0.0716703j -0.0870268-0.0335915j 0.0122332+0.145716j -0.0153909-0.0207767j -0.0238493-0.0434507j -0.119881-0.0664821j -0.0167001+0.182822j 0.0343591-0.0498485j 0.0587674+0.0276215j -0.0261917-0.0687334j 0.0361278+0.00313764j 0.066055-0.00806785j -0.0227185-0.017106j -0.00785437+0.020876j -0.0278704-0.0728638j 0.0410196-0.0311961j 0.00990488-0.0332931j 0.0231472-0.0360557j 0.00710196+0.0110505j -0.0146524+0.0235594j 0.0132386+0.0323148j -0.0156446-0.0120169j 0.0837023-0.0275656j -0.0406482+0.0399653j -0.00581434-0.0144553j 
0.0432281+0.0420297j -0.0239302-0.0199471j 0.025621+0.161759j -0.00897066+0.0178227j 0.0329059-0.0518535j 0.0128373+0.0667719j 0.0560469+0.138231j -0.0367897-0.0312943j 0.109887+0.0179535j -0.0902749+0.00741653j 0.141509+0.166469j 0.0104071+0.222848j -0.0294825-0.0387806j -0.258817+0.0748597j -0.0636103-0.0343732j -0.00239932-0.177012j 0.00253658+0.0469474j -0.0439612-0.0523488j 0.10079-0.0336459j 0.157927+0.0318042j 0.00576158-0.0248635j -0.0456784-0.0312997j -0.0203875+0.0657959j -0.0645405+0.135935j 0.0324644-0.0312616j -0.00685927+0.0384997j 0.0433421+0.0148114j -0.00491836+0.0642985j -0.0193396+0.0233102j 0.0714522+0.00967474j -0.0708849-0.0811266j -0.0496617+0.0439414j 0.018681+0.00770256j -0.00888094+0.0417837j 0.032133-0.0717009j 0.00933995+0.0348438j 
0.0224101-0.00468067j -0.0242504+0.00231369j 0.0216677+0.0228242j 0.0132112+0.0112725j 0.0161918-0.0282212j -0.043113+0.0417399j 0.0160603+0.117382j 0.0043795+0.0213567j 0.0551999+0.0669803j -0.0120531-0.0415498j 0.0221257+0.10127j 0.00750338+0.0885882j 0.025917+0.0178915j -0.14676+0.0154125j 0.17814-0.00912725j 0.297095+0.09867j 0.0852422-0.173954j 0.0585048-0.0459855j -0.0379607+0.287204j -0.0945222+0.0253198j 0.0484428+0.123811j 0.0265187-0.0356683j 0.0644247+0.00876104j 0.032198+0.0332164j -0.0414482+0.0429316j 0.0256231-0.0113929j 0.010231-0.00490441j 0.0655957-0.0290255j 0.0645167-0.030928j -0.0362634+0.0536374j -0.0337548-0.00607966j 0.00346774-0.0598757j 0.00708592+0.0371636j -0.0336704+0.0323744j -0.0167499+0.0764545j 0.0217091-0.0188826j 
-0.0560749-0.149354j 0.000382705-0.0331291j -0.0409619-0.0181536j 0.048787+0.0290429j 0.00795354+0.0595554j -0.14759+0.0362366j 0.0312103-0.0284147j 0.0668771+0.00436636j -0.0324047-0.0315906j -0.00222045-0.198577j -0.174094+0.103305j 0.123271-0.00389163j 0.0456019+0.0397134j -0.0717457+0.110042j 0.0563591+0.0815898j -0.142997+0.131743j 0.212789+0.130422j 0.0106872-0.0788367j 0.0666288-0.0120348j -0.0336031+0.0745918j 0.0411481-0.0605255j 0.0800522+0.0439464j 0.0025124+0.0135241j -0.00865811-0.0069518j 0.0143076-0.0465101j -0.0102947-0.05484j -0.0464002-0.0978011j -0.0260388-0.0301444j 0.00205492+0.0401666j -0.00270625-0.00592532j 0.0266716+0.0555477j 0.00877202-0.0138323j -0.00715154-0.0193778j -0.0127333-0.0251807j 0.00778288+0.00308964j -0.00785406-0.00419752j 
0.0241643-0.0228063j -0.0116053+0.0281592j -0.0554455-0.0265554j -0.0546138+0.0186517j 0.0570894-0.0551778j -0.0471285+0.0511187j 0.0468634+0.045858j 0.0727086-0.0307468j 0.061747+0.0243956j -0.0274814+0.16743j 0.259684+0.0522583j 0.106604-0.272778j 0.0548953+0.0231715j 0.302783+0.137372j 0.0470746-0.0458372j -0.00673669-0.000739691j 0.0649024-0.0629717j 0.0869246-0.108628j 0.0337511-0.0843715j 0.0239555-0.143909j -0.0348993+0.062334j -0.0346199-0.0797483j -0.034992-0.112987j 0.0593186+0.092582j 0.0192296+0.00532955j -0.0101398+0.0363223j -0.0479046-0.0339051j -0.0224775-0.0148556j 0.0195183+0.0172498j 0.0483409+0.00562427j -0.0480749+0.0535718j 0.0340935+0.00438j 0.000275998+0.00395484j -0.0393681+0.0133321j 0.00823936+0.00938657j -0.00377654+0.0310552j 
0.0377723-0.00625112j 0.00231208+0.0162964j -0.00658841+0.062788j 0.0123317+0.00357177j -0.0311826+0.020505j 0.0765843-0.045201j 0.0592304+0.0557534j 0.0197139-0.0142803j 0.0821179-0.0252088j 0.0501085-0.00465969j 0.0472422-0.11442j 0.250221+0.040388j -0.0500378-0.0527195j -0.000761273+0.306294j -0.0610298+0.0379623j 0.0104568-0.125927j -0.0379428-0.0520187j -0.0695506-0.00795233j 0.0899247+0.0558324j 0.00510011-0.0922785j 0.026137+0.0317329j 0.00793512+0.0329568j 0.156439-0.00402152j 0.125104-0.0360402j 0.00909925+0.0112858j 0.065343-0.0299331j 0.0274513-0.0293216j 0.074323-0.0552845j 0.00747311-0.0260678j 0.00319705-0.0298592j -0.0501452+0.00822291j 0.00734633+0.0344181j 0.0187703-0.00439572j 0.0244732-0.0260165j -0.000580729+0.0026891j 0.049193-0.0844344j 
-0.0107373-0.0442457j -0.055061-0.173592j -0.0917144-0.0030267j -0.00833579-0.0264835j -0.0672425-0.0244225j -0.00306776+0.134193j 0.0245418-0.0612257j -0.0187714-0.0168404j -0.164811+0.0693035j -0.076992+0.0672349j 0.123201+0.0127769j 0.0602589+0.0787271j 0.275285+0.124866j -0.0804583+0.129286j 0.0862429-0.235081j -0.0292979+0.0897389j -0.038787-0.0172311j -0.0191572+0.0344583j 0.0300666-0.045172j 0.0569196+0.0313562j -0.0229753-0.000741228j 0.046047+0.0630689j 0.0444071-0.0026037j 0.00599054+0.0242914j -0.0212097+0.0214774j 0.00515003+5.75606e-05j -0.00769962-0.00314349j 0.0132187-0.0109258j -0.0114262+0.00477169j -0.00820043-0.00047174j 0.00142441+0.000760233j -0.00119485+0.00540207j -0.00350582-0.0121324j 0.0139546-0.0173009j -0.0069874-0.00302301j -0.00114516-0.0185178j 
-0.0501178+0.0372657j 0.0480265+0.0944379j 0.0102149-0.00998121j -0.0288115-0.0280373j 0.0674185-0.0507808j -0.0610483-0.015488j -0.0562168-0.0468913j 0.0170267+0.0431633j 0.0246575-0.0283879j -0.237324-0.00848996j -0.0290318+0.293335j 0.0783549-0.0442863j -0.0829422+0.0346963j 0.010473+0.124774j 0.108978+0.0698153j 0.0579265+0.0430245j 0.140249-0.0898509j 0.054144+0.0486973j 0.0673002-0.0338958j 0.160096+0.048579j -0.0808452-0.073121j 0.00968608-0.0753515j 0.0250547-0.00237612j -0.0660457+0.00218171j -0.0494023+0.0208957j -0.04491+0.0558752j -0.033468+0.0289896j -0.0145913+0.0161455j -0.0136261+0.0331375j -0.0167502+0.0395749j 0.0244227-0.00655965j -0.0379609-0.00379859j -0.010494+0.00256983j 0.00194707+0.00976965j -0.00331821+0.00531029j -0.0221028+0.0454336j 
-0.157472+0.101333j 0.0580564-0.0195211j -0.0306347+0.0394841j -0.0245963-0.00884098j -0.0980474-0.0225915j 0.0913651+0.155909j -0.11238-0.0342332j -0.0842225-0.125255j -0.0343864+0.0571327j -0.159902-0.0482881j 0.0273219+3.62799e-05j -0.0946333-0.031862j 0.0947631-0.108057j 0.0874713-0.0423152j -0.00764011-0.108204j 0.115961+0.0463964j -0.0115442-0.243607j -0.207589+0.0607969j -0.0287113-0.100153j 0.0330113+0.028053j -0.0100878-0.094267j 0.00594624+0.0347843j 0.0103271+0.0411797j -0.00938217-0.0877577j 0.00607797-0.00524828j -0.00575392-0.0362059j -0.0511443+0.0354364j -0.00452378+0.0120345j 0.045944+0.00168492j 0.0196877+0.00531543j 0.0839379-0.0836168j -0.0315087-0.0205277j -0.0209246-0.00748789j 0.0265572+0.0194183j 0.0108929-0.0475607j 0.0255079-0.0484647j 
0.0517334+0.0765274j 0.187871-0.0725375j -0.0496628-0.0855514j 0.0416845+0.0170407j -0.0106211-0.119052j -0.150774-0.000504436j 0.0745937+0.0426879j 0.0608921-0.0927562j -0.131377-0.195881j -0.0554056-0.0842257j 0.0557852+0.00162422j -0.0788468-0.0267503j -0.141347+0.327409j 0.000795974-0.0600886j 0.23435+0.0399628j -0.104509-0.0537902j -0.0453926-0.0864995j -0.140896-0.0380626j 0.0434131-0.00830745j -0.0434983-0.0200776j 0.0345043-0.0395472j -0.0730162+0.0253457j 0.0127728+0.00875636j 0.0270791-0.0266862j -0.00659673-0.0120157j 0.0144298-0.0298273j 0.0209368+0.00203005j 0.0219856-0.00249717j 0.00586331-0.0308307j 0.0129664-0.0251897j 0.014779-0.0236345j 0.0221122+0.0209647j 0.00995046-0.0129663j 0.0120137+0.00602986j 0.025009-0.0294492j 0.0464341-0.0510503j 
0.166267-0.0193323j 0.0214066-0.134572j -0.0320066+0.00672577j 0.00433592+0.0460728j -0.0741937+0.0961319j -0.0125849+0.0351419j 0.077827+0.0758362j -0.0682906+0.0446036j -0.161329-0.00747309j -0.0210663+0.173518j 0.0658788+0.0581743j -0.0218372+0.0569966j 0.0413523+0.145086j -0.0645707-0.0645429j 0.0366083-0.103064j -0.0370031-0.0251311j -0.144122+0.0958864j 0.147586+0.0745157j -0.0299016+0.047818j -0.0107062-0.0729026j -0.0815666+0.00732331j -0.0104264+0.0144329j 0.00262913+0.011621j -0.0538671+0.00993964j 0.0148446+0.0188595j 0.0101606+0.013375j 0.0118291-0.0302747j 0.00606218-0.0179482j -0.00695122-0.023697j 0.00221513-0.0129855j -0.0475661+0.018954j -0.00050097+0.0152049j 0.00726105+0.00651486j 0.0297793-0.0372901j -0.04338+0.0200935j -0.0376545+0.0094432j 
-0.0044367+0.100001j 0.107277-0.0233318j 0.0247577-0.0653896j -0.0103927+0.0445066j -0.0565542+0.000981114j 0.0264961-0.112776j -0.0683593+0.147474j -0.0522577+0.0402494j 0.143308-0.107762j -0.0800852+0.0712121j 0.00342763+0.0709613j -0.0209814-0.0218943j -0.180256-0.046753j 0.0268674-0.0649958j 0.0575855+0.0654795j 0.000920995-0.0707185j -0.120894-0.0754009j 0.0556972+0.0640341j -0.0576653-0.00381256j 0.0247113-0.010796j -0.0212196-0.00980492j 0.0292965+0.0310448j -0.00443557-0.00167732j -0.0281964+0.0117163j 0.00725795+0.00663827j -0.00472837+0.00938922j 0.00368585-0.00773746j 0.00723537-0.013542j 0.0462776-0.0104914j 0.0377133-0.00429943j -0.0276816-0.0143563j -0.0433215+0.00354668j 0.00332444+0.00832208j 0.0481699-0.00528306j -0.0285067-3.46937e-05j -0.000910941+0.00275626j 
