0.00308833+2.77556e-17j 0.164554+0.0639281j -0.0885947+0.0948001j -0.0874311-0.0814232j 0.122818+0.125135j -0.0575653-0.0876273j -0.173699+0.0211344j -0.0506482-0.0989875j 0.0867234+0.00117143j -0.113499-0.0716516j 0.080775+0.0123568j 0.0192242+0.0697678j -0.0643841+0.0352385j 0.013001-0.0224635j 0.0219781-0.0211075j 0.0166356-0.0187017j -0.0319535-0.0417936j 0.0492182-0.0218301j -0.0746848+0.0533119j -0.00569886+0.0101615j 0.0535463-0.0597943j -0.01449-0.0289336j 0.0655613-0.0187365j -0.074503-0.0277051j -0.0331955-0.0219981j -0.0557964-0.122534j -0.0122544+0.0396562j -0.0412562-0.0288958j -0.107657-0.138859j -0.032103-0.202901j 0.142867-0.066143j -0.0219622+0.14184j -0.0507628+0.145775j 0.124089+0.031956j 0.0828036+0.000265228j 0.157518+0.434772j 
0.0192242-0.0697678j -0.0679675-0.00491328j -0.0207238-0.0350897j 0.000595241-0.0120026j -0.0299437-0.0684074j -0.105901-0.0676575j 0.0951797-0.0106688j -0.0563557+0.0120328j 0.129128+0.0572216j 0.113189+0.0786779j -0.0703825-0.131766j -0.00590961-1.19349e-15j 0.102664-0.0641919j 0.0524223+0.0178603j 0.093149-0.0119066j 0.0678048+0.0201985j 0.168564+0.0532309j -0.0651666+0.0554391j 0.0137939+0.0105704j 0.0141344+0.0288594j 0.00303794-0.00189727j 0.00525476+0.0527738j -0.0554454-0.050505j 0.0772051+0.065688j -0.0161968+0.00845915j 0.0693961+0.0702764j 0.0148917+0.00588126j 0.0480008+0.00273835j 0.00326156+0.0646852j -0.00749636+0.0999219j -0.0108035+0.0381336j -0.0418149+0.00414028j -0.0555025-0.0252833j -0.00214285-0.0756384j -0.0486264+0.0451877j -0.0685303-0.164205j 
-0.0643841-0.0352385j 0.029832-0.00662045j 0.045962+0.011752j -0.00414899-0.0104708j -0.0727952-0.00530241j 0.150643-0.00872593j -0.123783-0.0114437j 0.0208365-0.200951j 0.115005+0.0141502j 0.0986584+0.229952j -0.0691152-0.0712388j 0.102664+0.0641919j 0.0545312-9.99201e-16j -0.0639342+0.0192167j 0.252418-0.16291j 0.158458-0.193558j -0.14537+0.124244j -0.0144695-0.104976j 0.150741-0.294447j -0.12944+0.256911j 0.012819-0.00391711j 0.0225049-0.00500406j -0.0451502+0.0929207j -0.0245795+0.197872j -0.0283442+0.0654272j -0.0125887+0.0689972j 0.00504351-0.000173731j -0.0362093-0.0526131j -0.0347489+0.0663226j 0.0661878-0.109075j -0.0189845+0.123147j 0.0955178-0.0605207j -0.00765029-0.144224j -0.101426+0.130307j 0.0673447-0.102941j 0.0531394+0.0222399j 
0.013001+0.0224635j 0.0341828+0.0383994j -0.0162178-0.0243368j 0.0490285-0.0214254j 0.0680076+0.0640267j 0.0349738+0.00485202j -0.0259696+0.00793705j 0.0287037+0.0275317j 0.0460558+0.0138374j -0.00202479-0.0666278j -0.0219089-0.0020052j 0.0524223-0.0178603j -0.0639342-0.0192167j 0.00935248+5.82867e-16j 0.190347+0.0192728j 0.0291027-0.0516911j 0.0140956+0.0132336j 0.141624+0.0778389j 0.0688765+0.0155105j -0.024763-0.0170287j 0.0800815+0.0383657j -0.0285831-0.00639782j -0.0194938+0.0147458j -0.0105237-0.0647314j -0.035357-0.011535j 0.0314125-0.0851301j 0.0334249+0.063588j 0.041507+0.0167364j -0.0120364-0.0332605j -0.028072+0.0260048j 0.0451769+0.0607862j 0.0379187+0.0194367j -0.00416458-0.103381j 0.0195707-0.0154901j 0.0221453-0.0545129j 0.014652+0.0458721j 
0.0219781+0.0211075j -0.027026-0.0030303j 0.0309912+0.0395864j -0.0455196-0.0141395j 0.0702652+0.0472467j -0.0330674-0.022064j -0.115929+0.0113595j -6.40846e-05-0.048373j 0.0796882+0.0879076j 0.0270114-0.0327516j 0.252426+0.151936j 0.093149+0.0119066j 0.252418+0.16291j 0.190347-0.0192728j -0.00633097+1.77636e-15j 0.243035-0.215252j 0.292995-0.148472j -0.0482935-0.00714837j -0.261288+0.224295j 0.0254108+0.0470975j 0.0665322-0.18799j 0.0450078-0.00392742j 0.0727391+0.0303258j 0.0189564-0.0628882j 0.0725412-0.129488j -0.0202028-0.0358878j -0.0680802+0.170691j -0.0114575+0.00999212j 0.0923982+0.00553271j 0.0363345-0.015877j -0.0234415+0.0218078j 0.120815-0.0520544j 0.0961284-0.211233j -0.0206346+0.030454j -0.120211+0.0802347j 0.0546301-0.111089j 
0.0166356+0.0187017j -0.000416554-0.0193695j 0.0553804+0.0593353j 0.0316206+0.0205643j 0.0167936+0.0160075j 0.089528+0.0223569j 0.121512+0.0814362j 0.0264706+0.0448157j 0.161636+0.25498j 0.0198981-0.00320568j 0.214733-0.0340528j 0.0678048-0.0201985j 0.158458+0.193558j 0.0291027+0.0516911j 0.243035+0.215252j 0.0176494-5.55112e-16j 0.075736+0.217486j -0.0529864+0.0510366j -0.0184896-0.099955j -0.0852542-0.204895j -0.0614373+0.0894835j 0.00758872+0.0361222j 0.0419613-0.0884226j -0.041985-0.0147296j -0.0128662+0.059439j -0.0682532+0.0810718j -0.0270121-0.0901988j 0.0417443+0.00797691j -0.0212476-0.0154411j -0.00771392+0.00572219j -0.0369502-0.0646695j -0.0993367+0.0528497j 0.0031606+0.119756j 0.0123918+0.0245712j 0.0131334+0.00860274j -0.008928+0.0366213j 
-0.0319535+0.0417936j 0.103357+0.0517566j 0.0328652+0.0423791j 0.0395242+0.0301415j 0.0134964+0.0278111j 0.095785+0.0170178j 0.0456734+0.0348374j 0.0591606-0.00691052j 0.0136791+0.137335j 0.145476-0.118167j 0.0247529+0.163017j 0.168564-0.0532309j -0.14537-0.124244j 0.0140956-0.0132336j 0.292995+0.148472j 0.075736-0.217486j 0.0169528+3.45904e-15j 0.186041+0.0368016j 0.0902606+0.0608656j -0.00776895-0.0488434j 0.0142545-0.0205029j 0.0449156-0.0783509j -0.0324126+0.035021j 0.020415-0.198906j -0.0275482-0.11572j -0.0130298-0.104402j 0.0334873+0.0962732j -0.0215574+0.000591727j -0.0297534+0.0101989j 0.0239294-0.0666219j -0.0440236-0.0101975j 0.129929-0.0638958j 0.0541182-0.101062j -0.0855339+0.0759203j 0.0682133-0.072389j 0.0564075-0.000614008j 
0.0492182+0.0218301j 0.000122578-0.0164425j -0.0439186+0.0192479j -0.0299971+0.0189505j 0.083349+0.0340397j -0.0266934+0.0316967j -0.136407-0.00238206j 0.087849-0.0365838j 0.0844723+0.0406395j 0.182565+0.00649323j -0.198923-0.272975j -0.0651666-0.0554391j -0.0144695+0.104976j 0.141624-0.0778389j -0.0482935+0.00714837j -0.0529864-0.0510366j 0.186041-0.0368016j 0.149781+3.26128e-15j 0.149468-0.0912972j 0.0509937-0.201162j -0.14452+0.0950721j 0.337466+0.0907335j -0.17078-0.0452218j 0.179316-0.0315803j 0.00309279+0.0216519j 0.155099+0.0950243j 0.0273429-0.134946j 0.0291822-0.0507709j 0.0442796-0.0732114j -0.0832712+0.00453926j -0.0910614-0.0538471j 0.194049-0.00244239j 0.0359381+0.0274447j 0.161014+0.14654j 0.0101376+0.108942j -0.0113518+0.0894679j 
-0.0746848-0.0533119j 0.0146104-0.0996358j 0.0266378-0.012837j 0.0322984-0.0127353j 0.0733318+0.00053489j -0.0698405-0.117947j 0.0135124-0.0875363j 0.0246753+0.0882449j -0.0214146-0.0012392j -0.130284-0.0870397j 0.0646296-0.0795863j 0.0137939-0.0105704j 0.150741+0.294447j 0.0688765-0.0155105j -0.261288-0.224295j -0.0184896+0.099955j 0.0902606-0.0608656j 0.149468+0.0912972j -0.047202+6.05072e-15j -0.0752631-0.161252j 0.0987179+0.0796496j -0.0266281+0.096331j -0.101634+0.00757738j -0.0895573-0.0095943j 0.0397866-0.105171j 0.0121677-0.0738955j 0.119794-0.10396j -0.0916241-0.043695j -0.0971419+0.144892j 0.101459-0.140437j -0.130016+0.103549j 0.164178-0.076639j -0.0566923+0.0334317j -0.0220421+0.105579j 0.0806371-0.0228136j 0.0306284+0.0693605j 
-0.00569886-0.0101615j 0.0100498+0.0324893j 0.0301478-0.07175j 0.0212289+0.0218075j -0.0117109-0.00325257j 0.0943119-0.0617084j 0.0227456-0.0534855j 0.00986962+0.00827174j -0.102891-0.11377j 0.00240878-0.0167849j -0.0335884-0.111354j 0.0141344-0.0288594j -0.12944-0.256911j -0.024763+0.0170287j 0.0254108-0.0470975j -0.0852542+0.204895j -0.00776895+0.0488434j 0.0509937+0.201162j -0.0752631+0.161252j -0.150556-3.69496e-16j 0.0820126+0.0727848j -0.0166212-0.0114077j -0.0964344-0.0958579j -0.0747174+0.0304898j 0.121393-0.208908j -0.0952506+0.0295488j -0.0871864+0.0712003j -0.145706+0.0185705j -0.0610685+0.168704j 0.209475-0.220463j 0.0671118-0.0359419j -0.0474666-0.0993666j 0.090585+0.0276591j -0.122834-0.0129405j -0.137433+0.0547485j 0.00584471-0.100572j 
0.0535463+0.0597943j -0.0211474-0.0150111j 0.0138821+0.0371146j -0.0528278+0.0307565j -0.0310546-0.0527924j -0.0381926+0.145348j -0.0832073+0.0532198j -0.10578-0.00678171j -0.0135572+0.0425186j 0.111731+0.0245923j 0.0830263+0.0520774j 0.00303794+0.00189727j 0.012819+0.00391711j 0.0800815-0.0383657j 0.0665322+0.18799j -0.0614373-0.0894835j 0.0142545+0.0205029j -0.14452-0.0950721j 0.0987179-0.0796496j 0.0820126-0.0727848j -0.0581331+4.57967e-15j -0.075589+0.0649075j -0.175854-0.042537j 0.102457+0.0840222j 0.102343-0.0745012j 0.168004-0.0522089j 0.1038-0.069525j -0.134525-0.0309146j -0.262124+0.270297j 0.166262-0.287476j 0.0331871+0.0546081j 0.0399849-0.0256858j -0.136865+0.0914703j 0.124661-0.0419493j 0.00388706+0.0446186j -0.0522253+0.0857677j 
-0.01449+0.0289336j -0.0776535+0.0367303j -0.0413747-0.0037253j 0.01864+0.0270414j -0.0655859-0.00668283j -0.0357672+0.0017313j -0.00426017+0.0742938j -0.104323+0.0609156j 0.0387422+0.0823999j -0.0772176-0.076091j -0.0556464+0.00396009j 0.00525476-0.0527738j 0.0225049+0.00500406j -0.0285831+0.00639782j 0.0450078+0.00392742j 0.00758872-0.0361222j 0.0449156+0.0783509j 0.337466-0.0907335j -0.0266281-0.096331j -0.0166212+0.0114077j -0.075589-0.0649075j -0.0247483+2.66454e-15j 0.216517+0.000353585j -0.00164624-0.0818373j -0.0840054-0.311297j -0.026557+0.0360278j -0.0166914-0.0216105j 0.0182081-0.197079j 0.0505473+0.10509j -0.105653-0.0443614j -0.0318282-0.141844j -0.12977-0.0304237j -0.0230246+0.103274j 0.0633124-0.0158915j 0.00206754+0.0298585j -0.0214373-0.0530174j 
0.0655613+0.0187365j -0.0574836-0.0344389j -0.0654429-0.0500956j -0.0206202-0.0451144j -0.0524188+0.00392338j 0.0109532+0.0183747j 0.0265905-0.0465308j -0.054783+0.0649535j -0.0611169-0.0698246j -0.0428422+0.11387j 0.0564709-0.100418j -0.0554454+0.050505j -0.0451502-0.0929207j -0.0194938-0.0147458j 0.0727391-0.0303258j 0.0419613+0.0884226j -0.0324126-0.035021j -0.17078+0.0452218j -0.101634-0.00757738j -0.0964344+0.0958579j -0.175854+0.042537j 0.216517-0.000353585j -0.0301985+3.89879e-16j 0.165252+0.126711j 0.0852828-0.0299061j -0.113913+0.0876311j -0.0707799+0.00516329j 0.0196107-0.0524892j 0.141198-0.100009j -0.101915-0.0822736j 0.17521-0.0132225j 0.0012435+0.0421259j 0.0577042-0.00546884j -0.0329621+0.100192j 0.0520623-0.0132957j 0.079514+0.173021j 
-0.074503+0.0277051j 0.0578326+0.0839036j 0.0195472+0.0355304j -0.000537034+0.0302691j 0.0281211+0.00603671j 0.047234+0.0284602j -0.0236641+0.0448963j 0.0476499+0.0134316j 0.0844281-0.0792135j 0.125962+0.00958306j -0.117585-0.0431104j 0.0772051-0.065688j -0.0245795-0.197872j -0.0105237+0.0647314j 0.0189564+0.0628882j -0.041985+0.0147296j 0.020415+0.198906j 0.179316+0.0315803j -0.0895573+0.0095943j -0.0747174-0.0304898j 0.102457-0.0840222j -0.00164624+0.0818373j 0.165252-0.126711j -0.209431+1.20043e-15j -0.0318165+0.00438748j 0.0223699+0.0309821j -0.092871-0.0740612j 0.00432209-0.0303195j -0.0252007-0.0430219j 0.0777451-0.0698899j -0.191315-0.212194j 0.0027584-0.0778003j 0.0177188+0.212932j 0.0875101+0.0443096j -0.0563622+0.0751331j 0.0083589+0.0135916j 
-0.0331955+0.0219981j 0.0133109+0.0653014j -0.0254335+0.00527434j 0.0420505-0.0100291j -0.0647124-0.0154083j 0.0620929+0.0491937j -0.0359022+0.000268107j 0.00413204-0.00452911j -0.0344402-0.14257j -0.0290505-0.0154684j -0.0618105+0.00389622j -0.0161968-0.00845915j -0.0283442-0.0654272j -0.035357+0.011535j 0.0725412+0.129488j -0.0128662-0.059439j -0.0275482+0.11572j 0.00309279-0.0216519j 0.0397866+0.105171j 0.121393+0.208908j 0.102343+0.0745012j -0.0840054+0.311297j 0.0852828+0.0299061j -0.0318165-0.00438748j -0.00942577+4.16334e-16j 0.139395-0.322104j 0.0785023-0.203308j 0.123102-0.086465j 0.0857466-0.00272713j -0.100667+0.139013j -0.089038+0.0700669j 0.240844-0.150136j 0.0116436-0.0855651j 0.0366164-0.00731409j -0.0257445+0.051296j -0.0265157-0.0263927j 
-0.0557964+0.122534j 0.0232605+0.144048j 0.0243163-0.0616425j -0.020265+0.00351577j 0.040371-0.00256867j 0.0326554-0.0251301j -0.0581642-0.0371685j -0.0883443-0.0292544j -0.000389267-0.0755393j 0.0352701+0.105839j 0.0855128+0.0387587j 0.0693961-0.0702764j -0.0125887-0.0689972j 0.0314125+0.0851301j -0.0202028+0.0358878j -0.0682532-0.0810718j -0.0130298+0.104402j 0.155099-0.0950243j 0.0121677+0.0738955j -0.0952506-0.0295488j 0.168004+0.0522089j -0.026557-0.0360278j -0.113913-0.0876311j 0.0223699-0.0309821j 0.139395+0.322104j 0.0165339-3.53884e-16j -0.0334891-0.00417956j -0.0583994+0.207938j 0.026384-0.123753j -0.0149871+0.0475985j 0.146622+0.0192369j -0.0314133+0.0514671j 0.0221367-0.0351009j 0.113757-0.0454476j -0.0617995+0.0112933j -0.0277055+0.10129j 
-0.0122544-0.0396562j 0.0111939-0.0253853j -0.0118423+0.0520137j 0.000613782-0.00710455j 0.0207404+0.0474197j 0.0173014+0.0896395j -0.0210306+0.108822j -0.0114592-0.113072j 0.00264518+0.150512j 0.146783-0.0599975j 0.00788612+0.0692285j 0.0148917-0.00588126j 0.00504351+0.000173731j 0.0334249-0.063588j -0.0680802-0.170691j -0.0270121+0.0901988j 0.0334873-0.0962732j 0.0273429+0.134946j 0.119794+0.10396j -0.0871864-0.0712003j 0.1038+0.069525j -0.0166914+0.0216105j -0.0707799-0.00516329j -0.092871+0.0740612j 0.0785023+0.203308j -0.0334891+0.00417956j 0.0106027+2.42861e-17j 0.0926124+0.161284j 0.0543162-0.133009j -0.111139+0.12832j -0.124099-0.0427654j -0.0901375+0.0190451j -0.0494536+0.121838j -0.00175393+0.00185806j 0.03252+0.019655j 0.00296701-0.0832882j 
-0.0412562+0.0288958j 0.0448156+0.00158188j -0.0111133+0.00565315j -0.00105289+0.00972753j 0.0141712+0.00197428j 0.0308318+0.0251972j -0.0350307+0.0172471j -0.0247504-0.0625458j 0.00687513+0.0662574j 0.0221864-0.0222023j 0.113643+0.0638563j 0.0480008-0.00273835j -0.0362093+0.0526131j 0.041507-0.0167364j -0.0114575-0.00999212j 0.0417443-0.00797691j -0.0215574-0.000591727j 0.0291822+0.0507709j -0.0916241+0.043695j -0.145706-0.0185705j -0.134525+0.0309146j 0.0182081+0.197079j 0.0196107+0.0524892j 0.00432209+0.0303195j 0.123102+0.086465j -0.0583994-0.207938j 0.0926124-0.161284j 0.161591-1.41553e-15j 0.232054+0.0259382j -0.0731886+0.0991965j 0.121747+0.0865226j 0.110693-0.0624177j 0.0534629+0.0606506j -0.169831-0.0362202j -0.107807+0.0102272j -0.0546878+0.0211005j 
-0.107657+0.138859j 0.0338319+0.0642709j -0.0487561-0.119928j 0.0261926-0.0362208j 0.00993066-0.127093j -0.0887047-0.0297533j 0.0169917-0.0204104j 0.0351708-0.0865236j -0.0650507-0.0220867j -0.04659+0.0171911j -0.0669405+0.0248068j 0.00326156-0.0646852j -0.0347489-0.0663226j -0.0120364+0.0332605j 0.0923982-0.00553271j -0.0212476+0.0154411j -0.0297534-0.0101989j 0.0442796+0.0732114j -0.0971419-0.144892j -0.0610685-0.168704j -0.262124-0.270297j 0.0505473-0.10509j 0.141198+0.100009j -0.0252007+0.0430219j 0.0857466+0.00272713j 0.026384+0.123753j 0.0543162+0.133009j 0.232054-0.0259382j 0.0240424-5.55112e-17j -0.0952628-0.040291j 0.0441096+0.0368261j 0.0110999+0.0194148j -0.0324095-0.0491686j 0.097645-0.0741731j 0.0316785+0.00591595j -0.0131296+0.0293981j 
