0.141887-5.55112e-17j 0.122383+0.0104708j -0.0644029-0.0490088j 0.0301448-0.0574044j 0.0200007-0.0177719j -0.0362654-0.0543861j 0.0472074-0.0487063j 0.116795+0.142364j -0.119535-0.132121j 0.0178422+0.038338j 0.0508836+0.0661701j -0.044995+0.0308091j 0.0314962+0.0218206j -0.0640841-0.0655262j 0.0667157-0.000217084j -0.0529136-0.0371247j -0.0215979+0.0128733j -0.0456133-0.080604j -0.0581979+0.00164305j -0.089697-0.0157178j 0.0274183+0.0486409j 0.0511861-0.0364165j 0.0533918-0.0253262j 0.0124274-0.0187756j 0.064742+0.078722j 0.071893+0.0746327j 0.0983139-0.0392145j 0.139796+0.15479j -0.149661+0.294528j 0.000402436+0.0743129j 0.0239292+0.0901188j -0.212999-0.0541118j 0.00258533-0.0287821j -0.112281-0.364591j 
-0.044995-0.0308091j 0.0278183+0.0267841j 0.0245689-0.050991j 0.0845677-0.0822432j 0.10882+0.00874461j -0.0700898-0.0676789j 0.104401+0.0517908j 0.231557+0.24167j -0.0297703+0.00971346j -0.00711856-0.0457399j -0.0248823-0.0556649j 0.116632-2.498e-16j -0.0783498-0.029231j 0.12682-0.0148348j 0.0445475-0.079841j 0.252447-0.0918037j 0.0122448-0.0618557j -0.031653+0.123904j 0.127502+0.0248786j -0.156333+0.112808j 0.0361781-0.00923824j -0.0290374+0.067234j 5.14613e-05+0.0282126j 0.0863584+0.037322j -0.156824+0.135295j 0.0670992-0.261093j -0.0181941-0.129718j 0.00898279+0.0257528j -0.0107951-0.0200877j 0.0350818+0.136902j -0.0254355-0.206994j -0.0574862+0.0763514j -0.0381879+0.0878877j 0.0492065+0.0330486j 
0.0314962-0.0218206j 0.0263209+0.0342105j 0.0253884-0.0149624j -0.0197706-0.0397278j -0.160511+0.0518453j 0.0894702-0.0202797j -0.0760212-0.0798173j -0.0972712-0.0194123j -0.00784854-0.212958j 0.0861988-0.0112515j 0.0962549+0.114098j -0.0783498+0.029231j -0.098268-5.27356e-16j 0.0810987+0.03881j 0.0669885+0.0416028j 0.294204-0.0854374j 0.134961-0.144946j -0.120501+0.0513063j -0.0224273-0.206332j -0.098203+0.35558j -0.0181565-0.05077j 0.0773111-0.0385524j -0.0235866+0.102315j -0.0325084+0.105454j 0.0588052-0.0855515j 0.15203+0.0173469j 0.214361+0.00461075j -0.197118+0.0628817j 0.0547889+0.164665j 0.037013-0.185719j 0.0908533-0.116619j 0.000125815-0.0142681j -0.0810824+0.0588396j 0.0271852+0.00837666j 
-0.0640841+0.0655262j -0.0441236-0.00722207j 0.0377555+0.0328367j 0.0556512+0.0673858j 0.0241119+0.00129068j -0.0568125+0.0162617j -0.0214597+0.00920114j 0.0148124+0.0400799j -0.101729+0.149297j 0.138599-0.0273174j -0.110926-0.055896j 0.12682+0.0148348j 0.0810987-0.03881j 0.195869+2.53186e-13j -0.0363363-0.0199159j 0.0387468-0.0492262j 0.066362+0.157304j -0.227342+0.136555j -0.0158614+0.0265661j -0.0475558-0.0778467j -0.00571734-0.0378826j -0.000420497+0.0634072j -0.0793461-0.104151j -0.048898-0.0538191j 0.0405706-0.158216j -0.0210392+0.0656011j 0.0549967+0.0572568j -0.0487035-0.0204618j -0.0957392+0.0412297j -0.0383018-0.0747195j 0.0132609+0.0574869j -0.137175+0.0504031j -0.018758+0.0714513j 0.0346992-0.0810857j 
0.0667157+0.000217084j -0.0637393-0.0463278j -0.0412438-0.0532069j 0.0557679+0.0511996j 0.0720742+0.00441253j -0.0095761-0.010846j -0.00374851-0.029597j -0.0495104+0.00773362j 0.0466787-0.135739j -0.0041041-0.0274613j 0.0236129+0.0186312j 0.0445475+0.079841j 0.0669885-0.0416028j -0.0363363+0.0199159j -0.0101478+1.38778e-16j 0.0188104+0.0112585j -0.0273533-0.0656403j -0.120034-0.0881703j 0.064855+0.0188491j -0.00708547+0.000696512j -0.0533683-0.00230627j -0.0635526+0.0401225j -0.000280007+0.0682284j 0.0171881-0.0315028j 0.0359392+0.0886391j -0.0125093-0.163555j 0.0434734-0.0068948j -0.0399792+0.173283j 0.0551069-0.0604816j 0.0843473+0.0521501j 0.0288303-0.131459j 0.141697-0.0787204j 0.00463676-0.0773596j -0.1827+0.0506792j 
-0.0529136+0.0371247j -0.115808-0.0279081j 0.0260931+0.023913j 0.0493537+0.0453989j -0.0406608+0.045138j -0.000788256-0.0244446j -0.0323706+0.022369j 0.00516204+0.0196067j -0.0540441+0.0501941j 0.27686+0.154974j 0.0262472-0.0247528j 0.252447+0.0918037j 0.294204+0.0854374j 0.0387468+0.0492262j 0.0188104-0.0112585j 0.169006-5.25968e-15j -0.0775963+0.0342198j -0.202358-0.149273j -0.0758613-0.0332245j -0.101989+0.0179779j 0.0346529-0.0147187j 0.0445521-0.0678354j 0.0816781-0.00709194j 0.0588908-0.00448521j 0.0573821+0.0473977j 0.092457+0.0250868j -0.0989373+0.00252047j -0.0215302-0.0753763j 0.06662-0.0660839j 0.0555044-0.0116767j 0.0102666-0.031601j -0.0830106-0.0265696j 0.0415806+0.0592048j 0.0717877-0.107718j 
-0.0215979-0.0128733j 0.00893417-0.0448572j 0.0503458+0.00115564j -0.0238526+0.0481536j -0.0537243-0.0237091j -0.0128064+0.0306269j 0.0514169-0.0363038j -0.0377506-0.00496744j -0.0776661+0.072325j 0.0460957+0.123766j -0.0846443+0.0982434j 0.0122448+0.0618557j 0.134961+0.144946j 0.066362-0.157304j -0.0273533+0.0656403j -0.0775963-0.0342198j 0.0173377-4.57967e-16j -0.185137+0.134974j -0.0198722+0.108097j -0.0751439-0.0601442j 0.1321+0.0487142j -0.0487269+0.0651928j -0.0879914+0.22146j -0.160844-0.0655137j 0.153913+0.176019j -0.0816895-0.192583j 0.129548-0.0890199j -0.107425+0.207624j -0.241828-0.197638j 0.118079+0.0487667j 0.273028-0.206016j 0.0573077+0.135566j -0.0749601-0.0488626j -0.0180552+0.0755834j 
-0.0456133+0.080604j -0.0694125+0.0289311j -0.212602-0.094602j 0.000668324-0.0869335j -0.0107766+0.0283987j 0.00191164+0.0125817j -0.0670986-0.0534291j -0.159741-0.04199j -0.0285898-0.0447435j -0.0729877-0.15029j -0.113893+0.198358j -0.031653-0.123904j -0.120501-0.0513063j -0.227342-0.136555j -0.120034+0.0881703j -0.202358+0.149273j -0.185137-0.134974j -0.210438+1.04777e-15j -0.221048-0.0291624j -0.102716+0.0498093j 0.188509+0.0636938j -0.151577-0.127251j 0.0383988+0.123478j -0.0478078-0.0237448j 0.00927917+0.11315j -0.00125038-0.0438476j 0.0176883-0.0667163j 0.113805-0.0695307j -0.0182651-0.0283226j -0.0974476+0.0281629j 0.0233624+0.0300914j -0.0128282+0.172056j -0.020372+0.101911j 0.0394344+0.0807775j 
-0.0581979-0.00164305j -0.056356-0.0552589j -0.00862598-0.0458659j 0.0466118-0.088474j -0.0369156+0.055438j 0.00149388-0.0193802j -0.0945882-0.0185512j -0.0018342-0.0312004j 0.0350529+0.00622996j 0.135355+0.0654666j -0.0254028+0.0176319j 0.127502-0.0248786j -0.0224273+0.206332j -0.0158614-0.0265661j 0.064855-0.0188491j -0.0758613+0.0332245j -0.0198722-0.108097j -0.221048+0.0291624j -0.068974+3.52496e-15j 0.120154-0.107642j -0.0278997+0.0391787j -0.169751+0.143059j 0.125242+0.00999421j -0.0274928+0.0760144j -0.058732-0.126216j 0.0252692+0.0459539j 0.158038+0.17989j 0.0442033+0.024157j -0.207647+0.0376636j -0.275908-0.0307992j -0.174743+0.135748j 0.0472967+0.160648j -0.0841261-0.062375j -0.0597779+0.110062j 
-0.089697+0.0157178j 0.0333056+0.108215j -0.098901-0.0704254j -0.0436618-0.0731084j -0.0341635+0.0748244j -0.0219441-0.025182j -0.0306072+0.00726703j -0.0609017-0.0643557j -0.0546626-0.0944249j -0.131915-0.186588j -0.0652119-0.0323584j -0.156333-0.112808j -0.098203-0.35558j -0.0475558+0.0778467j -0.00708547-0.000696512j -0.101989-0.0179779j -0.0751439+0.0601442j -0.102716-0.0498093j 0.120154+0.107642j -0.016524-4.57967e-16j -0.116613-0.0836211j -0.0248425-0.00321326j -0.0401561-0.105463j 0.00570597-0.0764407j 0.0348425-0.108102j 0.0559771-0.0672796j -0.0979449+0.149841j -0.112108+0.0677395j -0.127253+0.0104312j 0.0386408-0.0188733j 0.0320212-0.0330252j -0.157527-0.0264943j 0.0260945-0.0754634j 0.00951014-0.139246j 
0.0274183-0.0486409j 0.0395856+0.0167794j 0.0849412+0.0731894j -0.026441+0.00177652j -0.0513083+0.0536545j -0.0603656-0.00423367j -0.0662248+0.0401992j -0.0346099+0.00972119j -0.0389758+0.135041j 0.0472028-0.0311886j 0.0232527-0.00480561j 0.0361781+0.00923824j -0.0181565+0.05077j -0.00571734+0.0378826j -0.0533683+0.00230627j 0.0346529+0.0147187j 0.1321-0.0487142j 0.188509-0.0636938j -0.0278997-0.0391787j -0.116613+0.0836211j -0.164896-2.13718e-15j -0.0688835+0.136805j -0.129976+0.00339957j -0.215883-0.313701j 0.219521-0.050553j -0.20845+0.0756305j 0.0290152-0.103084j 0.0174489+0.0960229j 0.00470668-0.0686757j -0.138393+0.0692033j 0.0842433+0.0951469j -0.0412919-0.0122841j 0.0487594-0.0131147j -0.0117886-0.0427704j 
0.0511861+0.0364165j 0.0164723-0.0815936j -0.0165794+0.00333788j -0.0348671+0.0339506j 0.0197379-0.125595j -0.0202346+0.0032167j 0.0891455-0.00184188j 0.031787-0.0148317j 0.0345309-0.00557976j -0.0831473+0.0683608j -0.0984461+0.088521j -0.0290374-0.067234j 0.0773111+0.0385524j -0.000420497-0.0634072j -0.0635526-0.0401225j 0.0445521+0.0678354j -0.0487269-0.0651928j -0.151577+0.127251j -0.169751-0.143059j -0.0248425+0.00321326j -0.0688835-0.136805j 0.0731804+8.92515e-16j -0.0348628-0.0619494j 0.268313-0.0646936j 0.0231145+0.0409834j -0.029258+0.0751056j 0.199183+0.0998345j -0.1602-0.0732831j 0.0738789+0.137526j 0.151872-0.268165j -0.0673831+0.104368j 0.0772889-0.0153033j -0.0643437+0.070101j -0.00423675+0.078896j 
0.0533918+0.0253262j -0.0385447+0.026035j -0.0804107-0.081348j 0.00632357+0.0148456j 0.0277882+0.0371216j 0.00796062-0.028577j 0.00734052-0.00550525j -0.0439382+0.00609971j 0.0597673-0.136056j -0.0162921+0.0180584j 0.0743495+0.00256305j 5.14613e-05-0.0282126j -0.0235866-0.102315j -0.0793461+0.104151j -0.000280007-0.0682284j 0.0816781+0.00709194j -0.0879914-0.22146j 0.0383988-0.123478j 0.125242-0.00999421j -0.0401561+0.105463j -0.129976-0.00339957j -0.0348628+0.0619494j 0.0333589-2.09251e-15j 0.0475948-0.0823118j 0.0382469+0.0698125j 0.0169292-0.180116j -0.0344872+0.00839772j -0.0338356+0.0338045j 0.0488358-0.102839j 0.0736483+0.0296728j 0.0446824-0.117378j 0.00757575+0.095011j -0.0335522+0.0920121j 0.031226+0.0643082j 
0.0124274+0.0187756j -0.0424521+0.0411442j -0.118731-0.0687076j -0.0545814+0.00246977j 0.0425227+0.0291218j -0.0115982+0.0626765j 0.0371315-0.0351694j 0.0108004+0.015021j 0.059728-0.062987j -0.0586014+0.0857365j 0.0444043+0.0644782j 0.0863584-0.037322j -0.0325084-0.105454j -0.048898+0.0538191j 0.0171881+0.0315028j 0.0588908+0.00448521j -0.160844+0.0655137j -0.0478078+0.0237448j -0.0274928-0.0760144j 0.00570597+0.0764407j -0.215883+0.313701j 0.268313+0.0646936j 0.0475948+0.0823118j -0.172876-2.77556e-16j -0.158157-0.0952414j 0.0743571+0.112029j 0.0761749+0.0161505j 0.125105+0.0558475j 0.0675132+0.113831j 0.0715156+0.0556678j 0.0201901-0.0266604j -0.00515037+0.00970635j -0.00502919+0.0436226j 0.0258888+0.0169396j 
0.064742-0.078722j 0.077802+0.122864j -0.0562052-0.074375j -0.0335123-0.0376432j -0.0895495-0.0425432j 0.0588915+0.00441645j -0.0280672-0.0549908j -0.00842408-0.0795159j -0.00198025-0.132627j -0.0160551-0.00388085j 0.0559006-0.0994412j -0.156824-0.135295j 0.0588052+0.0855515j 0.0405706+0.158216j 0.0359392-0.0886391j 0.0573821-0.0473977j 0.153913-0.176019j 0.00927917-0.11315j -0.058732+0.126216j 0.0348425+0.108102j 0.219521+0.050553j 0.0231145-0.0409834j 0.0382469-0.0698125j -0.158157+0.0952414j 0.202052+2.01228e-16j -0.0088678+0.0435892j -0.00390757-0.0810609j -0.0467279-0.0964262j -0.112068-0.0449088j 0.0353081-0.0332542j 0.0635388+0.112166j 0.0105172+0.0841774j -0.0126717-0.0147374j 0.0714305-0.0157221j 
0.071893-0.0746327j 0.0397957-0.0311055j -0.0149773-0.148029j -0.0133521-0.00639294j 0.0435784+0.0879423j 0.00118751-0.0276477j 0.00216117-0.0444976j -0.0637458-0.0452964j 0.126591-0.0577306j -0.128151+0.0270944j -0.00697861+0.0754062j 0.0670992+0.261093j 0.15203-0.0173469j -0.0210392-0.0656011j -0.0125093+0.163555j 0.092457-0.0250868j -0.0816895+0.192583j -0.00125038+0.0438476j 0.0252692-0.0459539j 0.0559771+0.0672796j -0.20845-0.0756305j -0.029258-0.0751056j 0.0169292+0.180116j 0.0743571-0.112029j -0.0088678-0.0435892j 0.0229959+3.05311e-16j -0.151623+0.160044j -0.013955-0.0908245j 0.0846691-0.0480698j 0.0123628-0.0171618j -0.00605459-0.00178279j 0.00509942+0.0917248j -0.00182079+0.0929548j -0.0172892+0.0313456j 
0.0983139+0.0392145j -0.0317484+0.139325j -0.0805832+0.0278439j -0.152148-0.066382j -0.0141642+0.0698076j 0.0244147-0.0482635j -0.0835812+0.0240586j -0.116565-0.0152465j -0.167759-0.106676j -0.128102-0.080175j -0.0108039-0.0186952j -0.0181941+0.129718j 0.214361-0.00461075j 0.0549967-0.0572568j 0.0434734+0.0068948j -0.0989373-0.00252047j 0.129548+0.0890199j 0.0176883+0.0667163j 0.158038-0.17989j -0.0979449-0.149841j 0.0290152+0.103084j 0.199183-0.0998345j -0.0344872-0.00839772j 0.0761749-0.0161505j -0.00390757+0.0810609j -0.151623-0.160044j 0.0464045+4.57967e-16j 0.0962502+0.0685644j -0.0176722+0.0149188j 0.103071+0.10016j 0.0668424+0.0891073j 0.0131517-0.0155935j -0.00397518+0.0357818j 0.0588466-0.0109607j 
0.139796-0.15479j 0.0265926+0.168503j 0.0101343-0.150196j 0.0788608+0.154522j 0.0768973-0.0191159j -0.0171968-0.0459683j 0.00328391-0.0203616j 0.0169403-0.0355875j -0.0274455-0.0598259j 0.160952+0.170028j 0.0585295-0.07715j 0.00898279-0.0257528j -0.197118-0.0628817j -0.0487035+0.0204618j -0.0399792-0.173283j -0.0215302+0.0753763j -0.107425-0.207624j 0.113805+0.0695307j 0.0442033-0.024157j -0.112108-0.0677395j 0.0174489-0.0960229j -0.1602+0.0732831j -0.0338356-0.0338045j 0.125105-0.0558475j -0.0467279+0.0964262j -0.013955+0.0908245j 0.0962502-0.0685644j 0.043122+1.66533e-16j -0.00825474+0.106687j -0.147099-0.0663914j -0.00190417-0.00530793j -0.0667584-0.00580019j 0.0360336+0.00679059j 0.00444917-0.0272326j 
-0.149661-0.294528j 0.115853+0.0167565j 0.208196-0.0461591j 0.00628669+0.0180107j -0.0654586-0.00348523j -0.0420043-0.0195388j 0.0338963-0.000821584j 0.151268-0.0339294j -0.035401+0.00596474j -0.103617-0.0213296j -0.0376595-0.0309338j -0.0107951+0.0200877j 0.0547889-0.164665j -0.0957392-0.0412297j 0.0551069+0.0604816j 0.06662+0.0660839j -0.241828+0.197638j -0.0182651+0.0283226j -0.207647-0.0376636j -0.127253-0.0104312j 0.00470668+0.0686757j 0.0738789-0.137526j 0.0488358+0.102839j 0.0675132-0.113831j -0.112068+0.0449088j 0.0846691+0.0480698j -0.0176722-0.0149188j -0.00825474-0.106687j -0.162591+7.42462e-16j -0.0442777+0.00253551j 0.0383111-0.0579346j 0.0443022-0.00202339j -0.0189224-0.102927j 0.156408+0.10039j 
0.000402436-0.0743129j 0.148034+0.082516j -0.0315174-0.049964j -0.0705447-0.0229821j 0.0136917-0.131096j -0.0365015+0.028957j 0.0737494-0.0297175j 0.0908613-0.0455543j 0.0190183-0.026242j -0.171366-0.114995j -0.0529273-0.0883991j 0.0350818-0.136902j 0.037013+0.185719j -0.0383018+0.0747195j 0.0843473-0.0521501j 0.0555044+0.0116767j 0.118079-0.0487667j -0.0974476-0.0281629j -0.275908+0.0307992j 0.0386408+0.0188733j -0.138393-0.0692033j 0.151872+0.268165j 0.0736483-0.0296728j 0.0715156-0.0556678j 0.0353081+0.0332542j 0.0123628+0.0171618j 0.103071-0.10016j -0.147099+0.0663914j -0.0442777-0.00253551j 0.189579-2.77556e-17j -0.142053-0.0376819j -0.0808187+0.0501037j 0.0423237-0.0547447j -0.00391921-0.0035625j 
0.0239292-0.0901188j 0.109432+0.132786j -0.084604-0.0743255j -0.065079-0.206991j -0.0279374+0.0825016j 0.00268707-0.0483607j -0.0207577-0.00599095j -0.0254559-0.0512087j -0.000979717+0.00269338j -0.0715764-0.27937j -0.0441502-0.069434j -0.0254355+0.206994j 0.0908533+0.116619j 0.0132609-0.0574869j 0.0288303+0.131459j 0.0102666+0.031601j 0.273028+0.206016j 0.0233624-0.0300914j -0.174743-0.135748j 0.0320212+0.0330252j 0.0842433-0.0951469j -0.0673831-0.104368j 0.0446824+0.117378j 0.0201901+0.0266604j 0.0635388-0.112166j -0.00605459+0.00178279j 0.0668424-0.0891073j -0.00190417+0.00530793j 0.0383111+0.0579346j -0.142053+0.0376819j -0.0797486-1.97065e-15j -0.00844001-0.0347711j -0.0258323-0.00451166j -0.0484849-0.0162679j 
